player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Philipp Max,de GER,DF,23.0,32.9,2.0,18.0,7.0,38.9,0.55,0.21,0.11,0.29,22.7,4.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2,1116.0,1698.0,65.7,20700.0,9563.0,495.0,566.0,87.5,407.0,605.0,67.3,177.0,425.0,41.6,12.0,9.3,9.3,2.7,79.0,64.0,54.0,41.0,102.0,1698.0,1183.0,505.0,68.0,0.0,18.0,318.0,320.0,117.0,52.0,60.0,0.0,1116.0,10.0,49.0,117.0,3.56,65.0,51.0,0.0,0.0,0.0,1.0,15.0,0.46,12.0,3.0,0.0,0.0,0.0,0.0,65.0,47.0,36.0,19.0,10.0,34.0,59.0,57.6,25.0,27.0,8.0,19.0,33.0,98.0,65.0,1.0,1924.0,73.0,482.0,781.0,678.0,21.0,1924.0,13.0,5.0,38.5,8.0,61.5,761.0,3925.0,2169.0,66.0,51.0,5.0,16.0,8.0,908.0,136.0,33,2959.0,90.0,96.7,32.9,33,,32.0,0,,0,1.24,43.0,44.0,-1.0,-0.03,1.75,44.5,39.8,4.7,0.14,1.4,5.0,0.0,0.0,28.0,16.0,3.0,318.0,33.0,47.0,0.0,0.0,0.0,165.0,25.0,35.0,41.7
Marwin Hitz,ch SUI,GK,29.0,32.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,11.3,0.0,0.0,0.0,0.1,0.1,0.13,-0.1,-0.1,831.0,1152.0,72.1,28373.0,20806.0,53.0,55.0,96.4,369.0,378.0,97.6,409.0,715.0,57.2,0.0,0.0,0.1,0.0,1.0,16.0,0.0,0.0,0.0,1152.0,786.0,362.0,95.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0,4.0,0.0,5.0,0.16,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,1227.0,1043.0,1221.0,5.0,1.0,1.0,1227.0,0.0,0.0,,0.0,,572.0,3406.0,2128.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,32,2880.0,90.0,94.1,32.0,32,,32.0,0,,1,1.25,41.0,42.0,-1.0,-0.03,0.97,43.8,38.4,5.4,0.17,1.23,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,8.0,0.0,100.0
Caiuby,br BRA,FW,29.0,31.7,5.0,76.0,24.0,31.6,2.4,0.76,0.07,0.21,18.5,0.0,0.0,0.0,5.1,5.1,0.07,-0.1,-0.1,699.0,1071.0,65.3,10284.0,3184.0,375.0,522.0,71.8,182.0,281.0,64.8,67.0,108.0,62.0,7.0,4.0,3.3,3.0,32.0,68.0,29.0,18.0,84.0,1071.0,1042.0,25.0,3.0,1.0,8.0,57.0,20.0,0.0,0.0,0.0,0.0,699.0,4.0,52.0,85.0,2.68,60.0,2.0,8.0,6.0,7.0,2.0,12.0,0.38,8.0,0.0,0.0,4.0,0.0,0.0,53.0,40.0,20.0,27.0,6.0,17.0,42.0,40.5,25.0,36.0,1.0,35.0,15.0,68.0,42.0,2.0,1449.0,38.0,195.0,763.0,528.0,86.0,1449.0,86.0,39.0,45.3,47.0,54.7,796.0,5020.0,2312.0,66.0,57.0,12.0,63.0,50.0,1004.0,141.0,33,2855.0,87.0,93.3,31.7,32,,28.0,1,,0,1.24,42.0,44.0,-2.0,-0.06,0.38,43.2,38.3,5.0,0.16,0.89,8.0,0.0,0.0,68.0,48.0,7.0,57.0,15.0,40.0,0.0,0.0,0.0,137.0,159.0,137.0,53.7
Michael Gregoritsch,at AUT,"MF,FW",23.0,28.1,13.0,91.0,35.0,38.5,3.24,1.25,0.13,0.34,18.0,11.0,1.0,1.0,11.5,10.7,0.12,1.5,1.3,522.0,782.0,66.8,7449.0,2107.0,264.0,360.0,73.3,149.0,219.0,68.0,40.0,76.0,52.6,3.0,1.3,1.9,1.7,21.0,60.0,8.0,2.0,79.0,782.0,739.0,34.0,5.0,1.0,11.0,16.0,8.0,2.0,1.0,0.0,0.0,522.0,9.0,31.0,75.0,2.67,50.0,2.0,1.0,13.0,7.0,2.0,12.0,0.43,7.0,1.0,1.0,1.0,2.0,0.0,35.0,27.0,13.0,15.0,7.0,11.0,26.0,42.3,15.0,27.0,1.0,26.0,10.0,45.0,56.0,0.0,1092.0,61.0,147.0,548.0,406.0,110.0,1091.0,39.0,12.0,30.8,27.0,69.2,518.0,2532.0,1089.0,41.0,23.0,18.0,39.0,33.0,757.0,141.0,32,2527.0,79.0,82.6,28.1,30,,19.0,2,,1,1.19,37.0,39.0,-2.0,-0.07,0.1,38.3,32.6,5.7,0.2,0.62,3.0,0.0,0.0,22.0,34.0,11.0,16.0,10.0,27.0,2.0,0.0,0.0,82.0,101.0,101.0,50.0
Martin Hinteregger,at AUT,DF,24.0,29.5,0.0,26.0,4.0,15.4,0.88,0.14,0.0,0.0,18.4,1.0,0.0,0.0,2.2,2.2,0.08,-2.2,-2.2,1055.0,1352.0,78.0,21881.0,9374.0,313.0,351.0,89.2,552.0,616.0,89.6,167.0,331.0,50.5,0.0,0.3,0.8,-0.3,8.0,72.0,6.0,1.0,90.0,1352.0,1280.0,64.0,54.0,1.0,14.0,5.0,10.0,0.0,0.0,0.0,0.0,1055.0,8.0,14.0,21.0,0.71,18.0,0.0,0.0,2.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,79.0,51.0,55.0,22.0,2.0,47.0,61.0,77.0,14.0,40.0,27.0,13.0,49.0,128.0,135.0,3.0,1685.0,163.0,967.0,664.0,72.0,27.0,1685.0,11.0,2.0,18.2,9.0,81.8,878.0,5191.0,3077.0,27.0,15.0,0.0,14.0,4.0,960.0,10.0,30,2655.0,89.0,86.8,29.5,29,,29.0,1,,0,1.23,38.0,39.0,-1.0,-0.03,0.41,38.0,36.7,1.3,0.04,-0.41,3.0,0.0,0.0,27.0,22.0,0.0,5.0,49.0,51.0,0.0,0.0,0.0,155.0,59.0,50.0,54.1
Daniel Baier,de GER,MF,33.0,28.2,0.0,27.0,5.0,18.5,0.96,0.18,0.0,0.0,24.9,0.0,0.0,0.0,0.9,0.9,0.03,-0.9,-0.9,1196.0,1644.0,72.7,22390.0,8036.0,459.0,575.0,79.8,507.0,642.0,79.0,170.0,301.0,56.5,2.0,1.9,2.5,0.1,27.0,153.0,23.0,6.0,197.0,1644.0,1530.0,102.0,79.0,3.0,6.0,29.0,22.0,1.0,1.0,0.0,0.0,1196.0,12.0,34.0,73.0,2.59,57.0,3.0,0.0,6.0,5.0,2.0,7.0,0.25,5.0,1.0,0.0,1.0,0.0,0.0,83.0,62.0,38.0,40.0,5.0,46.0,83.0,55.4,37.0,26.0,5.0,21.0,57.0,140.0,41.0,1.0,1937.0,38.0,448.0,1214.0,293.0,12.0,1937.0,20.0,12.0,60.0,8.0,40.0,872.0,4836.0,2505.0,33.0,21.0,3.0,29.0,28.0,1084.0,29.0,29,2538.0,88.0,82.9,28.2,29,,23.0,0,,1,1.17,38.0,43.0,-5.0,-0.18,-0.52,39.1,35.4,3.7,0.13,0.21,6.0,0.0,0.0,45.0,57.0,0.0,29.0,57.0,62.0,0.0,0.0,0.0,213.0,29.0,38.0,43.3
Jeffrey Gouweleeuw,nl NED,DF,26.0,26.5,0.0,14.0,2.0,14.3,0.53,0.08,0.0,0.0,14.3,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,915.0,1183.0,77.3,19085.0,8862.0,298.0,348.0,85.6,422.0,479.0,88.1,165.0,299.0,55.2,0.0,0.4,0.8,-0.4,7.0,106.0,10.0,0.0,108.0,1183.0,1126.0,52.0,47.0,1.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,915.0,5.0,15.0,24.0,0.91,17.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,44.0,36.0,18.0,3.0,27.0,41.0,65.9,14.0,36.0,10.0,26.0,54.0,111.0,128.0,0.0,1488.0,134.0,794.0,631.0,77.0,26.0,1488.0,17.0,9.0,52.9,8.0,47.1,732.0,4374.0,2326.0,25.0,15.0,3.0,16.0,14.0,807.0,7.0,27,2385.0,88.0,77.9,26.5,27,,26.0,0,,0,1.26,34.0,36.0,-2.0,-0.08,0.06,34.7,31.2,3.5,0.13,0.16,4.0,0.0,0.0,31.0,8.0,5.0,3.0,54.0,44.0,0.0,0.0,0.0,143.0,58.0,56.0,50.9
Rani Khedira,de GER,"MF,DF",23.0,25.3,1.0,12.0,6.0,50.0,0.47,0.24,0.08,0.17,13.8,0.0,0.0,0.0,1.4,1.4,0.11,-0.4,-0.4,641.0,860.0,74.5,11202.0,4074.0,237.0,305.0,77.7,318.0,379.0,83.9,51.0,103.0,49.5,1.0,0.8,1.1,0.2,10.0,48.0,11.0,2.0,84.0,860.0,837.0,22.0,20.0,0.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,641.0,1.0,20.0,26.0,1.03,21.0,1.0,0.0,2.0,0.0,2.0,2.0,0.08,1.0,0.0,0.0,0.0,0.0,1.0,62.0,47.0,25.0,28.0,9.0,33.0,47.0,70.2,14.0,41.0,18.0,23.0,36.0,98.0,96.0,0.0,1138.0,116.0,454.0,518.0,171.0,33.0,1138.0,11.0,5.0,45.5,6.0,54.5,444.0,2056.0,1007.0,12.0,9.0,3.0,16.0,12.0,561.0,32.0,30,2275.0,76.0,74.3,25.3,27,,19.0,3,,1,1.13,27.0,35.0,-8.0,-0.32,-0.89,29.9,32.1,-2.2,-0.09,-0.72,8.0,0.0,0.0,48.0,32.0,1.0,8.0,36.0,47.0,0.0,0.0,0.0,88.0,55.0,61.0,47.4
Koo Ja-cheol,kr KOR,MF,28.0,22.7,2.0,30.0,7.0,23.3,1.32,0.31,0.07,0.29,16.8,0.0,0.0,0.0,3.1,3.1,0.1,-1.1,-1.1,627.0,794.0,79.0,7926.0,2174.0,337.0,396.0,85.1,139.0,171.0,81.3,39.0,63.0,61.9,0.0,1.0,0.9,-1.0,11.0,61.0,8.0,0.0,68.0,794.0,779.0,9.0,4.0,0.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,627.0,6.0,28.0,46.0,2.02,35.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,41.0,18.0,31.0,5.0,27.0,44.0,61.4,17.0,22.0,3.0,19.0,27.0,81.0,34.0,2.0,1036.0,36.0,164.0,635.0,246.0,38.0,1036.0,32.0,12.0,37.5,20.0,62.5,549.0,2580.0,983.0,20.0,14.0,4.0,37.0,39.0,703.0,70.0,28,2046.0,73.0,66.9,22.7,23,,14.0,5,,1,1.29,23.0,28.0,-5.0,-0.22,-0.4,28.1,27.9,0.2,0.01,-0.27,2.0,0.0,0.0,35.0,54.0,7.0,7.0,27.0,41.0,0.0,1.0,0.0,107.0,52.0,56.0,48.1
Alfreð Finnbogason,is ISL,FW,28.0,20.2,12.0,48.0,22.0,45.8,2.38,1.09,0.19,0.41,14.9,0.0,3.0,3.0,10.7,8.4,0.18,1.3,0.6,321.0,453.0,70.9,4518.0,838.0,157.0,197.0,79.7,100.0,139.0,71.9,21.0,32.0,65.6,3.0,3.7,2.5,-0.7,33.0,27.0,14.0,0.0,41.0,453.0,396.0,54.0,1.0,1.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,321.0,3.0,20.0,68.0,3.37,47.0,2.0,7.0,8.0,4.0,0.0,7.0,0.35,5.0,0.0,0.0,1.0,1.0,0.0,18.0,13.0,7.0,5.0,6.0,8.0,15.0,53.3,7.0,15.0,1.0,14.0,14.0,32.0,7.0,0.0,687.0,8.0,33.0,316.0,350.0,118.0,684.0,58.0,20.0,34.5,38.0,65.5,395.0,2066.0,772.0,38.0,26.0,23.0,59.0,35.0,497.0,141.0,22,1814.0,82.0,59.3,20.2,22,,10.0,0,,1,1.27,29.0,23.0,6.0,0.3,0.95,28.5,21.0,7.4,0.37,0.67,2.0,0.0,0.0,34.0,16.0,12.0,4.0,14.0,13.0,1.0,0.0,0.0,59.0,17.0,63.0,21.3
