player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Sven Ulreich,de GER,GK,28.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,734.0,951.0,77.2,20298.0,15496.0,117.0,117.0,100.0,375.0,379.0,98.9,242.0,449.0,53.9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,951.0,757.0,191.0,37.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,734.0,3.0,3.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0,1003.0,865.0,1001.0,2.0,0.0,0.0,1003.0,0.0,0.0,,0.0,,506.0,2055.0,1100.0,0.0,1.0,1.0,2.0,0.0,572.0,0.0,29,2610.0,90.0,85.3,29.0,29,,29.0,0,,3,2.48,84.0,26.0,58.0,2.0,0.8,64.8,29.2,35.6,1.23,-0.46,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,84.0,8.0,2.0,80.0
Joshua Kimmich,de GER,DF,22.0,25.9,1.0,9.0,4.0,44.4,0.35,0.15,0.11,0.25,16.3,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,1822.0,2169.0,84.0,35601.0,10321.0,695.0,750.0,92.7,836.0,967.0,86.5,272.0,394.0,69.0,10.0,6.2,6.3,3.8,53.0,137.0,52.0,22.0,176.0,2169.0,1882.0,282.0,53.0,1.0,24.0,212.0,160.0,69.0,13.0,49.0,2.0,1822.0,5.0,34.0,100.0,3.86,67.0,21.0,1.0,1.0,9.0,1.0,23.0,0.89,19.0,1.0,0.0,1.0,2.0,0.0,32.0,23.0,14.0,13.0,5.0,20.0,38.0,52.6,18.0,26.0,5.0,21.0,20.0,52.0,40.0,0.0,2353.0,79.0,543.0,1063.0,759.0,47.0,2353.0,50.0,21.0,42.0,29.0,58.0,1466.0,7203.0,3512.0,79.0,58.0,15.0,21.0,5.0,1699.0,232.0,29,2329.0,80.0,76.1,25.9,26,,22.0,3,,4,2.45,71.0,25.0,46.0,1.78,-0.44,54.9,26.9,28.0,1.08,-0.91,1.0,0.0,0.0,17.0,52.0,2.0,212.0,20.0,23.0,1.0,1.0,0.0,140.0,20.0,18.0,52.6
Mats Hummels,de GER,DF,28.0,24.6,1.0,27.0,4.0,14.8,1.1,0.16,0.04,0.25,11.0,0.0,0.0,0.0,2.0,2.0,0.07,-1.0,-1.0,1768.0,2032.0,87.0,37959.0,17092.0,430.0,488.0,88.1,1076.0,1153.0,93.3,250.0,363.0,68.9,1.0,0.3,1.6,0.7,7.0,194.0,11.0,0.0,184.0,2032.0,1991.0,37.0,33.0,2.0,22.0,5.0,4.0,0.0,0.0,0.0,0.0,1768.0,4.0,13.0,39.0,1.59,36.0,0.0,0.0,2.0,0.0,1.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,62.0,52.0,41.0,18.0,3.0,35.0,51.0,68.6,16.0,31.0,12.0,19.0,55.0,117.0,59.0,2.0,2255.0,144.0,899.0,1245.0,125.0,41.0,2255.0,22.0,12.0,54.5,10.0,45.5,1262.0,6578.0,4697.0,25.0,26.0,1.0,10.0,6.0,1584.0,13.0,26,2213.0,85.0,72.3,24.6,25,,23.0,1,,5,2.31,65.0,20.0,45.0,1.83,-0.19,55.3,24.5,30.8,1.25,-0.16,3.0,0.0,0.0,18.0,6.0,1.0,5.0,55.0,52.0,0.0,0.0,0.0,145.0,72.0,39.0,64.9
Robert Lewandowski,pl POL,FW,28.0,24.1,29.0,120.0,48.0,40.0,4.97,1.99,0.19,0.48,13.9,5.0,6.0,7.0,27.9,22.4,0.19,1.1,0.6,472.0,613.0,77.0,7147.0,1289.0,254.0,320.0,79.4,173.0,201.0,86.1,26.0,37.0,70.3,2.0,2.4,2.5,-0.4,21.0,41.0,18.0,0.0,71.0,613.0,591.0,18.0,4.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,472.0,4.0,26.0,71.0,2.94,44.0,1.0,7.0,11.0,8.0,0.0,11.0,0.46,6.0,0.0,3.0,0.0,2.0,0.0,5.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,6.0,0.0,6.0,5.0,10.0,10.0,0.0,882.0,10.0,22.0,306.0,566.0,191.0,875.0,64.0,19.0,29.7,45.0,70.3,554.0,2775.0,1097.0,44.0,34.0,26.0,43.0,31.0,780.0,220.0,30,2172.0,72.0,71.0,24.1,24,,20.0,6,,3,2.4,64.0,21.0,43.0,1.78,-0.35,58.5,21.6,37.0,1.53,0.81,1.0,0.0,0.0,37.0,37.0,25.0,15.0,5.0,3.0,2.0,0.0,0.0,51.0,49.0,61.0,44.5
Thomas Müller,de GER,"MF,FW",27.0,22.3,8.0,44.0,18.0,40.9,1.98,0.81,0.18,0.44,14.8,0.0,0.0,0.0,6.1,6.1,0.14,1.9,1.9,752.0,1025.0,73.4,12046.0,2671.0,402.0,499.0,80.6,278.0,371.0,74.9,52.0,96.0,54.2,14.0,10.3,7.9,3.7,57.0,54.0,45.0,21.0,87.0,1025.0,989.0,33.0,4.0,1.0,8.0,79.0,14.0,1.0,0.0,0.0,0.0,752.0,3.0,44.0,90.0,4.13,81.0,0.0,5.0,1.0,2.0,1.0,21.0,0.96,19.0,0.0,0.0,1.0,0.0,1.0,35.0,30.0,10.0,15.0,10.0,13.0,27.0,48.1,14.0,17.0,1.0,16.0,7.0,42.0,14.0,1.0,1209.0,16.0,102.0,467.0,645.0,141.0,1209.0,32.0,12.0,37.5,20.0,62.5,673.0,2266.0,1154.0,35.0,27.0,10.0,41.0,14.0,982.0,301.0,29,2005.0,69.0,65.5,22.3,22,,12.0,7,,1,2.48,66.0,19.0,47.0,2.11,0.66,51.3,20.8,30.5,1.4,0.29,4.0,0.0,0.0,21.0,14.0,10.0,79.0,7.0,30.0,0.0,0.0,0.0,52.0,33.0,47.0,41.3
Niklas Süle,de GER,DF,21.0,21.4,2.0,18.0,7.0,38.9,0.84,0.33,0.11,0.29,13.1,0.0,0.0,0.0,1.5,1.5,0.09,0.5,0.5,1497.0,1621.0,92.4,31576.0,10864.0,378.0,402.0,94.0,905.0,945.0,95.8,206.0,261.0,78.9,1.0,0.8,1.3,0.2,5.0,133.0,7.0,0.0,113.0,1621.0,1581.0,39.0,35.0,2.0,19.0,5.0,4.0,0.0,0.0,0.0,0.0,1497.0,1.0,3.0,18.0,0.84,17.0,0.0,0.0,1.0,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,25.0,7.0,2.0,24.0,31.0,77.4,7.0,24.0,16.0,8.0,33.0,67.0,58.0,0.0,1789.0,135.0,756.0,921.0,119.0,24.0,1789.0,7.0,3.0,42.9,4.0,57.1,1062.0,4546.0,2574.0,15.0,17.0,1.0,3.0,4.0,1318.0,8.0,27,1926.0,71.0,62.9,21.4,20,,20.0,7,,7,2.52,55.0,20.0,35.0,1.64,-0.67,44.2,22.1,22.1,1.03,-0.71,1.0,0.0,0.0,16.0,11.0,0.0,5.0,33.0,25.0,0.0,2.0,3.0,108.0,43.0,28.0,60.6
Rafinha,br BRA,DF,31.0,20.6,1.0,7.0,3.0,42.9,0.34,0.15,0.14,0.33,23.4,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5,1574.0,1798.0,87.5,29194.0,8017.0,621.0,669.0,92.8,774.0,862.0,89.8,163.0,223.0,73.1,2.0,1.7,3.0,0.3,22.0,167.0,20.0,7.0,174.0,1798.0,1607.0,190.0,29.0,0.0,13.0,59.0,159.0,2.0,0.0,2.0,0.0,1574.0,1.0,24.0,50.0,2.43,47.0,2.0,0.0,0.0,1.0,0.0,6.0,0.29,6.0,0.0,0.0,0.0,0.0,0.0,39.0,33.0,24.0,11.0,4.0,28.0,47.0,59.6,19.0,17.0,6.0,11.0,32.0,71.0,30.0,0.0,1941.0,51.0,476.0,955.0,521.0,17.0,1941.0,18.0,8.0,44.4,10.0,55.6,1121.0,4613.0,2707.0,52.0,49.0,6.0,12.0,4.0,1402.0,124.0,27,1851.0,69.0,60.5,20.6,19,,18.0,8,,5,2.52,48.0,16.0,32.0,1.56,-0.83,47.8,17.7,30.1,1.46,0.42,4.0,0.0,0.0,23.0,30.0,0.0,59.0,32.0,33.0,0.0,0.0,0.0,117.0,18.0,20.0,47.4
Jérôme Boateng,de GER,DF,28.0,18.2,1.0,13.0,3.0,23.1,0.71,0.16,0.08,0.33,18.4,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,1236.0,1445.0,85.5,28953.0,12627.0,258.0,274.0,94.2,711.0,758.0,93.8,264.0,391.0,67.5,2.0,1.7,2.9,0.3,12.0,171.0,20.0,5.0,127.0,1445.0,1391.0,43.0,38.0,2.0,25.0,19.0,4.0,1.0,0.0,0.0,0.0,1236.0,11.0,7.0,27.0,1.48,27.0,0.0,0.0,0.0,0.0,0.0,8.0,0.44,8.0,0.0,0.0,0.0,0.0,0.0,26.0,18.0,18.0,7.0,1.0,19.0,32.0,59.4,13.0,20.0,12.0,8.0,21.0,47.0,52.0,1.0,1585.0,100.0,687.0,807.0,99.0,15.0,1585.0,2.0,1.0,50.0,1.0,50.0,1051.0,4513.0,2841.0,12.0,29.0,1.0,4.0,1.0,1168.0,4.0,19,1640.0,86.0,53.6,18.2,19,,15.0,0,,7,2.79,58.0,12.0,46.0,2.52,1.38,43.3,13.6,29.7,1.63,0.72,4.0,0.0,0.0,14.0,7.0,0.0,19.0,21.0,18.0,0.0,0.0,0.0,106.0,33.0,13.0,71.7
James Rodríguez,co COL,"MF,FW",26.0,18.0,7.0,40.0,15.0,37.5,2.22,0.83,0.18,0.47,18.8,3.0,0.0,0.0,4.8,4.8,0.12,2.2,2.2,1347.0,1590.0,84.7,26078.0,7221.0,554.0,599.0,92.5,584.0,678.0,86.1,197.0,272.0,72.4,11.0,7.5,7.7,3.5,63.0,180.0,33.0,7.0,204.0,1590.0,1433.0,149.0,61.0,5.0,32.0,132.0,17.0,58.0,11.0,41.0,0.0,1347.0,8.0,27.0,110.0,6.11,75.0,25.0,2.0,6.0,1.0,1.0,16.0,0.89,14.0,1.0,0.0,0.0,1.0,0.0,35.0,27.0,10.0,15.0,10.0,15.0,30.0,50.0,15.0,16.0,1.0,15.0,12.0,47.0,4.0,0.0,1768.0,13.0,176.0,954.0,659.0,50.0,1768.0,54.0,20.0,37.0,34.0,63.0,1134.0,4994.0,2670.0,37.0,40.0,4.0,24.0,17.0,1376.0,157.0,23,1621.0,70.0,53.0,18.0,19,,11.0,4,,5,2.39,45.0,15.0,30.0,1.67,-0.46,36.8,20.0,16.8,0.93,-0.78,2.0,0.0,0.0,22.0,33.0,4.0,132.0,12.0,27.0,0.0,0.0,0.0,126.0,6.0,12.0,33.3
Arjen Robben,nl NED,"FW,MF",33.0,16.7,5.0,50.0,20.0,40.0,2.99,1.19,0.1,0.25,18.8,4.0,0.0,1.0,5.1,4.3,0.09,-0.1,0.7,711.0,882.0,80.6,11906.0,3243.0,380.0,437.0,87.0,248.0,307.0,80.8,66.0,100.0,66.0,5.0,5.1,5.1,-0.1,34.0,60.0,54.0,7.0,122.0,882.0,774.0,108.0,20.0,0.0,13.0,65.0,52.0,36.0,20.0,8.0,0.0,711.0,0.0,16.0,99.0,5.91,66.0,14.0,2.0,7.0,9.0,1.0,14.0,0.84,10.0,2.0,0.0,1.0,1.0,0.0,14.0,11.0,1.0,7.0,6.0,4.0,12.0,33.3,8.0,9.0,0.0,9.0,4.0,18.0,4.0,0.0,1050.0,3.0,34.0,356.0,668.0,67.0,1049.0,66.0,26.0,39.4,40.0,60.6,717.0,5281.0,3002.0,97.0,63.0,32.0,28.0,15.0,822.0,216.0,21,1507.0,72.0,49.2,16.7,19,,7.0,2,,3,2.57,45.0,12.0,33.0,1.97,0.17,37.8,11.8,26.0,1.55,0.5,0.0,0.0,0.0,10.0,25.0,9.0,65.0,4.0,11.0,1.0,0.0,0.0,52.0,16.0,11.0,59.3
