player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Lukáš Hrádecký,fi FIN,GK,27.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,868.0,1309.0,66.3,28682.0,22471.0,122.0,124.0,98.4,352.0,355.0,99.2,388.0,813.0,47.7,0.0,0.0,0.2,0.0,0.0,46.0,1.0,0.0,0.0,1309.0,924.0,375.0,134.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,10.0,2.0,6.0,0.18,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1386.0,972.0,1374.0,12.0,0.0,0.0,1386.0,0.0,0.0,,0.0,,738.0,4715.0,2838.0,0.0,2.0,0.0,1.0,0.0,595.0,0.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.44,45.0,45.0,0.0,0.0,,42.2,41.7,0.5,0.01,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,7.0,0.0,100.0
Marius Wolf,de GER,"MF,FW",22.0,26.3,5.0,35.0,15.0,42.9,1.33,0.57,0.14,0.33,18.9,1.0,0.0,0.0,3.3,3.3,0.1,1.7,1.7,675.0,1011.0,66.8,12037.0,5116.0,299.0,380.0,78.7,277.0,376.0,73.7,73.0,159.0,45.9,8.0,5.4,4.7,2.6,34.0,72.0,28.0,11.0,92.0,1011.0,808.0,196.0,28.0,5.0,3.0,107.0,138.0,29.0,12.0,16.0,0.0,675.0,7.0,59.0,70.0,2.66,50.0,14.0,2.0,2.0,1.0,1.0,13.0,0.49,12.0,1.0,0.0,0.0,0.0,0.0,37.0,28.0,15.0,18.0,4.0,18.0,46.0,39.1,28.0,45.0,1.0,44.0,27.0,64.0,46.0,0.0,1302.0,33.0,228.0,614.0,480.0,73.0,1302.0,85.0,42.0,49.4,43.0,50.6,648.0,3720.0,2062.0,74.0,43.0,21.0,35.0,37.0,777.0,166.0,28,2363.0,84.0,77.2,26.3,27,,22.0,1,,3,1.5,37.0,37.0,0.0,0.0,0.0,32.6,32.4,0.2,0.01,-0.03,4.0,0.0,0.0,26.0,23.0,5.0,107.0,27.0,28.0,0.0,0.0,0.0,92.0,11.0,26.0,29.7
Kevin-Prince Boateng,gh GHA,"MF,FW",30.0,26.2,6.0,46.0,16.0,34.8,1.76,0.61,0.13,0.38,17.1,1.0,0.0,0.0,4.7,4.7,0.1,1.3,1.3,849.0,1119.0,75.9,14801.0,3773.0,400.0,491.0,81.5,333.0,400.0,83.3,90.0,149.0,60.4,1.0,1.4,1.8,-0.4,17.0,105.0,21.0,3.0,143.0,1119.0,1061.0,49.0,39.0,2.0,8.0,17.0,5.0,2.0,0.0,2.0,0.0,849.0,9.0,38.0,58.0,2.21,45.0,0.0,2.0,4.0,4.0,3.0,7.0,0.27,4.0,0.0,0.0,0.0,2.0,1.0,34.0,22.0,10.0,22.0,2.0,11.0,36.0,30.6,25.0,29.0,6.0,23.0,23.0,57.0,43.0,1.0,1393.0,39.0,166.0,927.0,315.0,64.0,1393.0,42.0,24.0,57.1,18.0,42.9,845.0,3319.0,1397.0,29.0,28.0,3.0,50.0,45.0,1006.0,107.0,31,2357.0,76.0,77.0,26.2,27,,19.0,4,,0,1.58,41.0,30.0,11.0,0.42,1.83,34.0,29.9,4.1,0.16,0.61,4.0,0.0,0.0,72.0,95.0,14.0,17.0,23.0,22.0,0.0,1.0,0.0,142.0,62.0,78.0,44.3
David Abraham,ar ARG,DF,31.0,25.6,0.0,7.0,1.0,14.3,0.27,0.04,0.0,0.0,19.2,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,1088.0,1321.0,82.4,22896.0,8476.0,348.0,391.0,89.0,547.0,611.0,89.5,178.0,293.0,60.8,2.0,0.7,0.7,1.3,7.0,77.0,3.0,2.0,103.0,1321.0,1267.0,50.0,44.0,0.0,27.0,7.0,6.0,0.0,0.0,0.0,0.0,1088.0,4.0,6.0,20.0,0.78,17.0,2.0,0.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,29.0,10.0,1.0,27.0,36.0,75.0,9.0,29.0,15.0,14.0,40.0,80.0,141.0,1.0,1580.0,139.0,734.0,829.0,33.0,11.0,1580.0,10.0,8.0,80.0,2.0,20.0,824.0,4547.0,2817.0,17.0,5.0,0.0,8.0,5.0,906.0,7.0,27,2302.0,85.0,75.2,25.6,27,,25.0,0,,1,1.41,30.0,31.0,-1.0,-0.04,-0.16,30.2,29.3,1.0,0.04,0.09,3.0,0.0,0.0,11.0,20.0,0.0,7.0,40.0,32.0,0.0,0.0,1.0,113.0,78.0,42.0,65.0
Sébastien Haller,ci CIV,FW,23.0,26.1,9.0,39.0,14.0,35.9,1.5,0.54,0.18,0.5,13.3,0.0,2.0,2.0,7.4,5.8,0.15,1.6,1.2,452.0,698.0,64.8,5973.0,1106.0,274.0,383.0,71.5,125.0,206.0,60.7,19.0,33.0,57.6,4.0,4.1,2.1,-0.1,30.0,40.0,12.0,0.0,52.0,698.0,638.0,57.0,1.0,4.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,452.0,3.0,26.0,60.0,2.3,48.0,0.0,1.0,2.0,8.0,1.0,7.0,0.27,6.0,0.0,0.0,0.0,1.0,0.0,25.0,16.0,4.0,16.0,5.0,7.0,14.0,50.0,7.0,17.0,4.0,13.0,8.0,33.0,39.0,0.0,975.0,39.0,70.0,478.0,432.0,116.0,973.0,57.0,16.0,28.1,41.0,71.9,587.0,2281.0,791.0,28.0,22.0,18.0,64.0,62.0,783.0,203.0,31,2347.0,76.0,76.7,26.1,26,,16.0,5,,3,1.39,30.0,34.0,-4.0,-0.15,-0.66,29.7,32.2,-2.4,-0.09,-0.46,2.0,0.0,0.0,55.0,52.0,21.0,6.0,8.0,16.0,0.0,0.0,0.0,78.0,134.0,130.0,50.8
Simon Falette,gn GUI,DF,25.0,24.6,1.0,16.0,2.0,12.5,0.65,0.08,0.06,0.5,13.6,0.0,0.0,0.0,1.6,1.6,0.1,-0.6,-0.6,940.0,1244.0,75.6,18961.0,7259.0,302.0,355.0,85.1,512.0,605.0,84.6,116.0,241.0,48.1,0.0,0.4,0.3,-0.4,6.0,96.0,6.0,0.0,109.0,1244.0,1178.0,60.0,55.0,0.0,21.0,10.0,5.0,0.0,0.0,0.0,0.0,940.0,6.0,20.0,23.0,0.94,16.0,1.0,0.0,4.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,23.0,10.0,1.0,19.0,31.0,61.3,12.0,37.0,15.0,22.0,58.0,92.0,134.0,1.0,1531.0,116.0,638.0,855.0,52.0,18.0,1531.0,8.0,5.0,62.5,3.0,37.5,746.0,4328.0,2473.0,30.0,16.0,2.0,16.0,5.0,881.0,7.0,27,2211.0,82.0,72.3,24.6,25,,22.0,2,,0,1.52,32.0,32.0,0.0,0.0,0.0,28.4,30.8,-2.5,-0.1,-0.42,10.0,1.0,0.0,39.0,25.0,0.0,10.0,58.0,30.0,0.0,0.0,0.0,104.0,72.0,32.0,69.2
Makoto Hasebe,jp JPN,"DF,MF",33.0,23.2,0.0,2.0,1.0,50.0,0.09,0.04,0.0,0.0,26.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,1015.0,1159.0,87.6,21633.0,6594.0,263.0,286.0,92.0,549.0,599.0,91.7,180.0,233.0,77.3,0.0,0.1,0.5,-0.1,4.0,56.0,8.0,0.0,72.0,1159.0,1083.0,68.0,65.0,0.0,11.0,5.0,2.0,1.0,0.0,1.0,0.0,1015.0,8.0,9.0,17.0,0.73,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,19.0,19.0,0.0,21.0,33.0,63.6,12.0,40.0,19.0,21.0,25.0,63.0,74.0,0.0,1341.0,99.0,529.0,770.0,53.0,1.0,1341.0,1.0,1.0,100.0,0.0,0.0,750.0,4121.0,2413.0,16.0,7.0,0.0,9.0,4.0,819.0,6.0,24,2090.0,87.0,68.3,23.2,23,,22.0,1,,1,1.46,32.0,32.0,0.0,0.0,0.0,31.3,29.6,1.8,0.08,0.19,3.0,1.0,0.0,16.0,28.0,0.0,5.0,25.0,23.0,0.0,2.0,0.0,113.0,15.0,29.0,34.1
Timothy Chandler,us USA,"DF,FW",27.0,21.0,2.0,24.0,7.0,29.2,1.14,0.33,0.08,0.29,16.2,0.0,0.0,0.0,1.6,1.6,0.07,0.4,0.4,582.0,919.0,63.3,10962.0,4932.0,242.0,312.0,77.6,259.0,407.0,63.6,74.0,153.0,48.4,4.0,2.6,3.0,1.4,25.0,51.0,30.0,20.0,78.0,919.0,704.0,209.0,11.0,0.0,3.0,90.0,197.0,1.0,0.0,0.0,0.0,582.0,6.0,32.0,47.0,2.24,36.0,6.0,1.0,1.0,2.0,1.0,6.0,0.29,4.0,0.0,1.0,0.0,1.0,0.0,27.0,21.0,11.0,13.0,3.0,11.0,17.0,64.7,6.0,15.0,0.0,15.0,33.0,60.0,52.0,0.0,1106.0,40.0,237.0,523.0,359.0,42.0,1106.0,16.0,5.0,31.3,11.0,68.8,481.0,2346.0,1187.0,47.0,28.0,8.0,14.0,8.0,581.0,122.0,24,1892.0,79.0,61.8,21.0,22,,18.0,2,,2,1.54,27.0,30.0,-3.0,-0.14,-0.37,25.5,27.1,-1.6,-0.08,-0.24,3.0,0.0,0.0,23.0,19.0,4.0,90.0,33.0,21.0,0.0,0.0,0.0,63.0,31.0,40.0,43.7
Mijat Gaćinović,rs SRB,"MF,FW",22.0,20.2,1.0,37.0,17.0,45.9,1.83,0.84,0.03,0.06,19.5,0.0,0.0,0.0,3.0,3.0,0.08,-2.0,-2.0,435.0,633.0,68.7,7129.0,2009.0,222.0,283.0,78.4,153.0,209.0,73.2,46.0,89.0,51.7,3.0,2.7,2.6,0.3,21.0,51.0,16.0,3.0,65.0,633.0,597.0,30.0,16.0,3.0,4.0,38.0,2.0,12.0,3.0,9.0,0.0,435.0,6.0,33.0,51.0,2.53,28.0,4.0,4.0,4.0,5.0,6.0,5.0,0.25,2.0,0.0,1.0,0.0,1.0,1.0,56.0,44.0,21.0,27.0,8.0,20.0,52.0,38.5,32.0,38.0,1.0,37.0,39.0,95.0,22.0,1.0,897.0,15.0,120.0,485.0,310.0,62.0,897.0,59.0,19.0,32.2,40.0,67.8,447.0,2523.0,1277.0,39.0,29.0,19.0,21.0,32.0,507.0,95.0,29,1815.0,63.0,59.3,20.2,22,,9.0,7,,4,1.69,22.0,21.0,1.0,0.05,0.12,23.1,25.1,-2.0,-0.1,-0.27,4.0,0.0,0.0,25.0,36.0,1.0,38.0,39.0,44.0,1.0,0.0,0.0,116.0,16.0,29.0,35.6
Ante Rebić,hr CRO,FW,23.0,19.5,6.0,46.0,23.0,50.0,2.36,1.18,0.13,0.26,18.4,3.0,0.0,0.0,4.7,4.7,0.1,1.3,1.3,266.0,490.0,54.3,3986.0,1305.0,154.0,229.0,67.2,71.0,139.0,51.1,25.0,44.0,56.8,2.0,4.3,3.4,-2.3,26.0,28.0,32.0,6.0,59.0,490.0,479.0,6.0,1.0,2.0,2.0,36.0,4.0,0.0,0.0,0.0,0.0,266.0,5.0,46.0,68.0,3.5,39.0,0.0,9.0,10.0,8.0,2.0,9.0,0.46,6.0,0.0,0.0,2.0,1.0,0.0,37.0,29.0,7.0,21.0,9.0,7.0,24.0,29.2,17.0,27.0,2.0,25.0,6.0,43.0,13.0,0.0,759.0,13.0,55.0,307.0,415.0,97.0,759.0,90.0,38.0,42.2,52.0,57.8,487.0,3121.0,1488.0,63.0,45.0,38.0,52.0,38.0,557.0,165.0,25,1751.0,70.0,57.2,19.5,21,,6.0,4,,0,1.72,29.0,20.0,9.0,0.46,1.08,23.8,22.4,1.4,0.07,0.13,8.0,0.0,0.0,56.0,36.0,11.0,36.0,6.0,29.0,1.0,0.0,0.0,62.0,33.0,59.0,35.9
