player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kyriakos Papadopoulos,gr GRE,DF,25.0,29.0,1.0,23.0,6.0,26.1,0.79,0.21,0.04,0.17,11.9,1.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,895.0,1223.0,73.2,18368.0,8758.0,263.0,302.0,87.1,512.0,641.0,79.9,113.0,245.0,46.1,1.0,0.6,0.7,0.4,9.0,78.0,6.0,1.0,106.0,1223.0,1136.0,81.0,80.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,895.0,6.0,20.0,20.0,0.69,16.0,0.0,0.0,4.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,36.0,24.0,0.0,41.0,69.0,59.4,28.0,54.0,35.0,19.0,43.0,103.0,181.0,2.0,1587.0,205.0,775.0,751.0,71.0,50.0,1587.0,4.0,2.0,50.0,2.0,50.0,661.0,2619.0,1646.0,7.0,2.0,1.0,15.0,1.0,705.0,8.0,29,2610.0,90.0,85.3,29.0,29,,28.0,0,,1,1.03,25.0,43.0,-18.0,-0.62,0.58,32.8,45.1,-12.4,-0.43,0.74,12.0,1.0,1.0,36.0,28.0,2.0,2.0,43.0,54.0,0.0,1.0,0.0,132.0,107.0,62.0,63.3
Gideon Jung,de GER,"MF,DF",22.0,28.6,1.0,7.0,2.0,28.6,0.25,0.07,0.14,0.5,20.1,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,815.0,1048.0,77.8,15924.0,5964.0,269.0,311.0,86.5,441.0,527.0,83.7,95.0,173.0,54.9,1.0,1.1,1.0,-0.1,9.0,81.0,11.0,1.0,110.0,1048.0,1014.0,30.0,30.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,815.0,4.0,22.0,23.0,0.81,18.0,1.0,1.0,0.0,2.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,59.0,41.0,32.0,24.0,3.0,22.0,38.0,57.9,16.0,29.0,12.0,17.0,38.0,97.0,71.0,1.0,1302.0,96.0,497.0,720.0,96.0,15.0,1302.0,22.0,12.0,54.5,10.0,45.5,686.0,3019.0,1652.0,19.0,10.0,2.0,23.0,14.0,753.0,27.0,30,2570.0,86.0,84.0,28.6,29,,26.0,1,,0,0.8,19.0,46.0,-27.0,-0.95,-1.5,30.2,47.9,-17.7,-0.62,-0.54,7.0,1.0,0.0,60.0,54.0,2.0,4.0,38.0,41.0,0.0,1.0,0.0,152.0,42.0,45.0,48.3
Filip Kostić,rs SRB,"FW,MF",24.0,27.1,5.0,64.0,27.0,42.2,2.36,1.0,0.08,0.19,19.8,3.0,0.0,2.0,8.2,6.7,0.1,-3.2,-1.7,459.0,796.0,57.7,7436.0,2555.0,235.0,329.0,71.4,149.0,260.0,57.3,45.0,111.0,40.5,1.0,3.2,3.1,-2.2,29.0,30.0,29.0,19.0,59.0,796.0,729.0,60.0,4.0,1.0,10.0,125.0,28.0,24.0,8.0,13.0,0.0,459.0,7.0,57.0,81.0,3.03,54.0,7.0,4.0,5.0,8.0,3.0,4.0,0.15,2.0,0.0,1.0,1.0,0.0,0.0,48.0,38.0,16.0,21.0,11.0,20.0,41.0,48.8,21.0,42.0,1.0,41.0,10.0,58.0,12.0,0.0,1150.0,11.0,117.0,423.0,632.0,110.0,1148.0,123.0,34.0,27.6,89.0,72.4,688.0,4128.0,2109.0,90.0,44.0,35.0,46.0,40.0,746.0,196.0,30,2438.0,81.0,79.7,27.1,27,,21.0,3,,0,1.0,26.0,38.0,-12.0,-0.44,1.29,31.6,42.8,-11.2,-0.42,0.54,2.0,0.0,0.0,35.0,40.0,8.0,125.0,10.0,38.0,0.0,1.0,0.0,111.0,30.0,64.0,31.9
Douglas Santos,br BRA,DF,23.0,26.4,1.0,22.0,7.0,31.8,0.83,0.26,0.05,0.14,27.5,1.0,0.0,0.0,1.0,1.0,0.05,0.0,0.0,1040.0,1498.0,69.4,18913.0,8340.0,456.0,546.0,83.5,426.0,602.0,70.8,134.0,270.0,49.6,1.0,1.9,2.5,-0.9,22.0,114.0,32.0,16.0,129.0,1498.0,1133.0,357.0,29.0,0.0,15.0,83.0,318.0,10.0,2.0,7.0,0.0,1040.0,8.0,55.0,54.0,2.04,39.0,5.0,7.0,0.0,0.0,3.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,90.0,60.0,53.0,34.0,3.0,50.0,87.0,57.5,37.0,63.0,2.0,61.0,56.0,146.0,96.0,1.0,1871.0,89.0,545.0,969.0,396.0,15.0,1871.0,78.0,41.0,52.6,37.0,47.4,835.0,4985.0,3156.0,80.0,53.0,4.0,24.0,21.0,840.0,94.0,27,2378.0,88.0,77.7,26.4,26,,25.0,1,,3,0.78,22.0,43.0,-21.0,-0.79,-0.4,28.5,44.7,-16.1,-0.61,-0.34,6.0,0.0,0.0,39.0,19.0,1.0,83.0,56.0,60.0,0.0,0.0,0.0,156.0,35.0,39.0,47.3
Gōtoku Sakai,jp JPN,"DF,MF",26.0,25.4,0.0,18.0,5.0,27.8,0.71,0.2,0.0,0.0,24.2,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1036.0,1368.0,75.7,19068.0,7309.0,460.0,553.0,83.2,434.0,547.0,79.3,128.0,211.0,60.7,0.0,0.7,1.7,-0.7,13.0,116.0,21.0,7.0,151.0,1368.0,1167.0,199.0,22.0,0.0,18.0,40.0,174.0,3.0,1.0,0.0,0.0,1036.0,2.0,45.0,40.0,1.57,24.0,6.0,6.0,0.0,3.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,25.0,18.0,7.0,22.0,47.0,46.8,25.0,40.0,12.0,28.0,44.0,94.0,55.0,0.0,1624.0,72.0,414.0,897.0,329.0,22.0,1624.0,45.0,21.0,46.7,24.0,53.3,792.0,3947.0,1878.0,48.0,28.0,8.0,31.0,32.0,877.0,68.0,28,2289.0,82.0,74.8,25.4,26,,23.0,2,,6,0.86,24.0,40.0,-16.0,-0.63,0.3,30.1,43.4,-13.3,-0.52,0.06,2.0,0.0,0.0,30.0,26.0,0.0,40.0,44.0,40.0,0.0,0.0,0.0,130.0,37.0,42.0,46.8
Aaron Hunt,de GER,"MF,FW",30.0,23.1,3.0,29.0,7.0,24.1,1.25,0.3,0.07,0.29,24.2,10.0,1.0,1.0,2.8,2.0,0.07,0.2,0.0,896.0,1226.0,73.1,16146.0,4982.0,428.0,509.0,84.1,304.0,411.0,74.0,132.0,236.0,55.9,2.0,4.8,5.5,-2.8,60.0,100.0,30.0,4.0,134.0,1226.0,968.0,252.0,94.0,0.0,15.0,169.0,23.0,127.0,48.0,48.0,0.0,896.0,6.0,32.0,111.0,4.63,57.0,46.0,2.0,2.0,2.0,2.0,6.0,0.25,4.0,1.0,0.0,0.0,0.0,1.0,36.0,24.0,12.0,20.0,4.0,11.0,37.0,29.7,26.0,20.0,2.0,18.0,14.0,50.0,18.0,2.0,1413.0,20.0,118.0,709.0,612.0,50.0,1412.0,49.0,19.0,38.8,30.0,61.2,739.0,3542.0,1420.0,45.0,39.0,7.0,35.0,26.0,869.0,144.0,28,2081.0,74.0,68.0,23.1,26,,14.0,2,,0,1.07,21.0,34.0,-13.0,-0.56,0.45,27.5,33.9,-6.4,-0.27,0.91,1.0,0.0,0.0,27.0,41.0,5.0,169.0,14.0,24.0,0.0,0.0,0.0,114.0,17.0,26.0,39.5
Christian Mathenia,de GER,GK,25.0,24.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,414.0,711.0,58.2,14178.0,11635.0,36.0,36.0,100.0,189.0,192.0,98.4,189.0,477.0,39.6,0.0,0.1,0.0,-0.1,1.0,7.0,0.0,0.0,0.0,711.0,436.0,269.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,6.0,1.0,4.0,0.17,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,763.0,633.0,759.0,5.0,0.0,0.0,763.0,0.0,0.0,,0.0,,336.0,1970.0,1391.0,0.0,1.0,1.0,1.0,0.0,268.0,0.0,24,2160.0,90.0,70.6,24.0,24,,24.0,0,,9,0.75,18.0,38.0,-20.0,-0.83,-0.43,24.0,40.3,-16.3,-0.68,-0.49,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,100.0
Dennis Diekmeier,de GER,DF,27.0,20.8,0.0,6.0,2.0,33.3,0.29,0.1,0.0,0.0,17.0,0.0,0.0,0.0,0.6,0.6,0.1,-0.6,-0.6,547.0,900.0,60.8,10111.0,5856.0,229.0,285.0,80.4,241.0,381.0,63.3,66.0,172.0,38.4,3.0,2.0,2.4,1.0,18.0,66.0,24.0,15.0,79.0,900.0,630.0,268.0,6.0,0.0,1.0,86.0,262.0,0.0,0.0,0.0,0.0,547.0,2.0,53.0,42.0,2.02,29.0,4.0,3.0,0.0,5.0,1.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,47.0,43.0,31.0,10.0,6.0,25.0,36.0,69.4,11.0,22.0,11.0,11.0,16.0,63.0,50.0,0.0,1091.0,55.0,266.0,498.0,342.0,28.0,1091.0,37.0,17.0,45.9,20.0,54.1,455.0,2577.0,1393.0,47.0,33.0,6.0,15.0,11.0,517.0,103.0,22,1868.0,85.0,61.0,20.8,22,,20.0,0,,6,0.91,16.0,30.0,-14.0,-0.67,0.08,21.0,31.1,-10.1,-0.49,0.12,4.0,0.0,0.0,18.0,33.0,5.0,86.0,16.0,43.0,0.0,1.0,0.0,62.0,32.0,17.0,65.3
Bobby Wood,us USA,"FW,MF",24.0,17.9,2.0,38.0,9.0,23.7,2.13,0.5,0.03,0.11,15.7,0.0,1.0,1.0,5.3,4.5,0.12,-3.3,-3.5,265.0,373.0,71.0,3660.0,696.0,149.0,201.0,74.1,90.0,125.0,72.0,8.0,12.0,66.7,0.0,1.5,1.1,-1.5,18.0,16.0,9.0,0.0,29.0,373.0,328.0,42.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,265.0,3.0,11.0,36.0,2.02,23.0,0.0,5.0,6.0,1.0,1.0,2.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,13.0,8.0,2.0,4.0,7.0,3.0,9.0,33.3,6.0,4.0,0.0,4.0,2.0,15.0,13.0,0.0,585.0,13.0,38.0,275.0,283.0,82.0,584.0,39.0,16.0,41.0,23.0,59.0,360.0,1607.0,618.0,23.0,21.0,13.0,49.0,45.0,443.0,94.0,24,1609.0,67.0,52.6,17.9,18,,6.0,6,,1,0.92,14.0,26.0,-12.0,-0.67,0.07,18.4,25.9,-7.5,-0.42,0.24,2.0,1.0,1.0,31.0,25.0,7.0,5.0,2.0,8.0,0.0,0.0,0.0,49.0,65.0,98.0,39.9
Mërgim Mavraj,al ALB,DF,31.0,16.1,0.0,5.0,1.0,20.0,0.31,0.06,0.0,0.0,10.4,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,564.0,736.0,76.6,11882.0,4667.0,171.0,202.0,84.7,302.0,354.0,85.3,89.0,162.0,54.9,0.0,0.2,0.1,-0.2,3.0,38.0,2.0,1.0,49.0,736.0,692.0,43.0,39.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,564.0,1.0,15.0,7.0,0.44,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,45.0,32.0,32.0,11.0,2.0,22.0,37.0,59.5,15.0,28.0,12.0,16.0,21.0,66.0,91.0,3.0,927.0,98.0,489.0,425.0,26.0,14.0,927.0,4.0,4.0,100.0,0.0,0.0,423.0,2096.0,1212.0,4.0,2.0,0.0,5.0,5.0,429.0,0.0,17,1445.0,85.0,47.2,16.1,17,,14.0,0,,6,0.65,13.0,26.0,-13.0,-0.81,-0.2,14.2,27.4,-13.1,-0.82,-0.54,3.0,1.0,1.0,20.0,10.0,0.0,4.0,21.0,32.0,0.0,0.0,0.0,76.0,62.0,45.0,57.9
