player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Salif Sané,sn SEN,DF,26.0,32.0,4.0,28.0,10.0,35.7,0.88,0.31,0.14,0.4,18.1,2.0,0.0,0.0,1.9,1.9,0.07,2.1,2.1,1459.0,1813.0,80.5,30484.0,12944.0,414.0,486.0,85.2,799.0,898.0,89.0,227.0,374.0,60.7,1.0,0.6,1.5,0.4,10.0,98.0,7.0,1.0,138.0,1813.0,1668.0,139.0,127.0,1.0,15.0,4.0,12.0,0.0,0.0,0.0,0.0,1459.0,6.0,22.0,39.0,1.22,30.0,3.0,0.0,4.0,0.0,2.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,57.0,43.0,46.0,10.0,1.0,40.0,64.0,62.5,24.0,49.0,29.0,20.0,57.0,114.0,238.0,6.0,2258.0,294.0,1212.0,989.0,88.0,39.0,2258.0,18.0,15.0,83.3,3.0,16.7,1142.0,6952.0,4057.0,33.0,4.0,2.0,26.0,13.0,1166.0,13.0,32,2879.0,90.0,94.1,32.0,32,,31.0,0,,0,1.13,43.0,53.0,-10.0,-0.31,-0.31,43.2,53.1,-9.9,-0.31,0.23,6.0,0.0,0.0,35.0,36.0,1.0,4.0,57.0,43.0,0.0,1.0,0.0,217.0,174.0,41.0,80.9
Philipp Tschauner,de GER,GK,31.0,31.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,13.3,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,810.0,1151.0,70.4,24821.0,19154.0,110.0,112.0,98.2,331.0,342.0,96.8,362.0,687.0,52.7,0.0,0.0,0.1,0.0,0.0,14.0,0.0,0.0,0.0,1151.0,760.0,390.0,115.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,1.0,2.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0.0,1.0,8.0,5.0,1235.0,1010.0,1224.0,9.0,2.0,2.0,1235.0,1.0,1.0,100.0,0.0,0.0,558.0,3086.0,1897.0,0.0,0.0,0.0,2.0,1.0,501.0,0.0,31,2790.0,90.0,91.2,31.0,31,,31.0,0,,1,1.16,39.0,45.0,-6.0,-0.19,1.14,39.4,48.2,-8.8,-0.28,0.44,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,50.0
Julian Korb,de GER,"DF,MF",25.0,26.0,1.0,10.0,4.0,40.0,0.39,0.15,0.1,0.25,15.6,0.0,0.0,0.0,1.2,1.2,0.12,-0.2,-0.2,814.0,1199.0,67.9,14609.0,8368.0,344.0,427.0,80.6,376.0,516.0,72.9,78.0,177.0,44.1,1.0,1.6,2.7,-0.6,22.0,82.0,28.0,13.0,119.0,1199.0,872.0,320.0,14.0,0.0,2.0,64.0,306.0,0.0,0.0,0.0,0.0,814.0,7.0,58.0,44.0,1.7,36.0,3.0,1.0,2.0,1.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,52.0,41.0,27.0,19.0,6.0,37.0,68.0,54.4,31.0,30.0,2.0,28.0,22.0,74.0,77.0,0.0,1418.0,74.0,472.0,633.0,325.0,19.0,1418.0,11.0,6.0,54.5,5.0,45.5,552.0,2440.0,1295.0,28.0,23.0,3.0,18.0,10.0,662.0,98.0,28,2336.0,83.0,76.3,26.0,28,,21.0,0,,4,1.18,33.0,38.0,-5.0,-0.19,0.43,34.2,42.9,-8.6,-0.33,-0.04,8.0,0.0,0.0,41.0,15.0,2.0,64.0,22.0,41.0,0.0,0.0,0.0,104.0,13.0,27.0,32.5
Matthias Ostrzolek,de GER,"DF,MF",27.0,26.4,0.0,15.0,2.0,13.3,0.57,0.08,0.0,0.0,20.2,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,875.0,1254.0,69.8,15514.0,8069.0,389.0,467.0,83.3,374.0,507.0,73.8,98.0,198.0,49.5,1.0,1.7,2.7,-0.7,22.0,79.0,33.0,20.0,111.0,1254.0,955.0,293.0,9.0,0.0,4.0,80.0,284.0,0.0,0.0,0.0,0.0,875.0,6.0,63.0,64.0,2.42,47.0,9.0,2.0,3.0,3.0,0.0,4.0,0.15,3.0,0.0,0.0,0.0,1.0,0.0,68.0,53.0,43.0,20.0,5.0,38.0,57.0,66.7,19.0,39.0,10.0,29.0,30.0,98.0,58.0,1.0,1517.0,68.0,517.0,673.0,340.0,11.0,1517.0,18.0,7.0,38.9,11.0,61.1,690.0,3781.0,2009.0,45.0,40.0,4.0,29.0,14.0,777.0,84.0,27,2379.0,88.0,77.7,26.4,27,,25.0,0,,7,1.19,35.0,38.0,-3.0,-0.11,0.81,35.5,42.0,-6.5,-0.25,0.34,5.0,0.0,0.0,30.0,35.0,1.0,80.0,30.0,53.0,1.0,0.0,0.0,113.0,20.0,26.0,43.5
Pirmin Schwegler,ch SUI,MF,30.0,25.8,0.0,12.0,1.0,8.3,0.47,0.04,0.0,0.0,23.9,3.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,1023.0,1364.0,75.0,17260.0,6512.0,460.0,542.0,84.9,409.0,504.0,81.2,104.0,228.0,45.6,6.0,4.0,4.3,2.0,47.0,106.0,8.0,0.0,141.0,1364.0,1160.0,198.0,105.0,0.0,9.0,122.0,1.0,91.0,38.0,45.0,3.0,1023.0,6.0,24.0,78.0,3.03,28.0,42.0,0.0,0.0,6.0,2.0,8.0,0.31,3.0,5.0,0.0,0.0,0.0,0.0,81.0,57.0,25.0,55.0,1.0,42.0,70.0,60.0,28.0,33.0,9.0,24.0,49.0,130.0,46.0,1.0,1618.0,55.0,354.0,975.0,296.0,7.0,1618.0,18.0,10.0,55.6,8.0,44.4,621.0,2829.0,1404.0,16.0,14.0,1.0,18.0,19.0,838.0,21.0,29,2319.0,80.0,75.8,25.8,27,,16.0,2,,0,1.21,29.0,37.0,-8.0,-0.31,-0.07,31.5,36.4,-4.8,-0.19,0.56,10.0,0.0,0.0,60.0,54.0,0.0,122.0,49.0,57.0,0.0,0.0,0.0,103.0,40.0,21.0,65.6
Niclas Füllkrug,de GER,FW,24.0,26.5,14.0,83.0,29.0,34.9,3.13,1.09,0.13,0.38,16.3,1.0,3.0,4.0,11.9,8.7,0.1,2.1,2.3,476.0,768.0,62.0,6635.0,1248.0,279.0,408.0,68.4,126.0,211.0,59.7,29.0,48.0,60.4,3.0,3.6,3.0,-0.6,37.0,35.0,12.0,2.0,55.0,768.0,714.0,53.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,476.0,1.0,35.0,73.0,2.75,61.0,0.0,3.0,6.0,3.0,0.0,8.0,0.3,6.0,0.0,0.0,1.0,1.0,0.0,16.0,11.0,4.0,8.0,4.0,10.0,20.0,50.0,10.0,22.0,3.0,19.0,8.0,24.0,30.0,0.0,1072.0,33.0,74.0,586.0,429.0,128.0,1068.0,46.0,20.0,43.5,26.0,56.5,577.0,3040.0,1239.0,44.0,34.0,17.0,72.0,45.0,865.0,219.0,34,2387.0,70.0,78.0,26.5,26,,19.0,8,,0,1.15,37.0,41.0,-4.0,-0.15,0.65,37.4,43.8,-6.4,-0.24,0.37,2.0,0.0,0.0,60.0,46.0,11.0,17.0,8.0,11.0,0.0,0.0,0.0,65.0,153.0,132.0,53.7
Waldemar Anton,de GER,"DF,MF",21.0,25.3,1.0,23.0,5.0,21.7,0.91,0.2,0.04,0.2,17.1,0.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8,966.0,1217.0,79.4,19137.0,6198.0,314.0,371.0,84.6,515.0,598.0,86.1,126.0,204.0,61.8,0.0,0.0,0.3,0.0,2.0,66.0,2.0,1.0,101.0,1217.0,1154.0,60.0,58.0,2.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,966.0,3.0,26.0,14.0,0.55,13.0,0.0,0.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,65.0,49.0,39.0,21.0,5.0,41.0,65.0,63.1,24.0,56.0,27.0,29.0,39.0,104.0,112.0,3.0,1533.0,144.0,738.0,714.0,96.0,21.0,1533.0,30.0,19.0,63.3,11.0,36.7,782.0,4306.0,2424.0,23.0,16.0,1.0,18.0,24.0,816.0,14.0,27,2278.0,84.0,74.4,25.3,26,,25.0,1,,1,1.26,32.0,35.0,-3.0,-0.12,0.69,33.6,39.7,-6.1,-0.24,0.32,1.0,0.0,0.0,20.0,30.0,0.0,8.0,39.0,49.0,0.0,1.0,0.0,154.0,73.0,46.0,61.3
Felix Klaus,de GER,"MF,FW",24.0,22.0,4.0,57.0,24.0,42.1,2.59,1.09,0.07,0.17,22.9,10.0,0.0,0.0,4.4,4.4,0.08,-0.4,-0.4,490.0,709.0,69.1,7426.0,2512.0,259.0,335.0,77.3,153.0,209.0,73.2,36.0,83.0,43.4,2.0,2.1,3.3,-0.1,32.0,26.0,14.0,4.0,55.0,709.0,629.0,78.0,23.0,1.0,7.0,73.0,28.0,27.0,12.0,13.0,2.0,490.0,2.0,37.0,92.0,4.18,38.0,20.0,4.0,10.0,17.0,3.0,13.0,0.59,4.0,2.0,0.0,3.0,4.0,0.0,48.0,38.0,20.0,21.0,7.0,23.0,50.0,46.0,27.0,29.0,4.0,25.0,8.0,56.0,28.0,0.0,980.0,23.0,144.0,423.0,431.0,54.0,980.0,47.0,14.0,29.8,33.0,70.2,523.0,3263.0,1573.0,48.0,42.0,17.0,33.0,32.0,629.0,136.0,28,1981.0,71.0,64.7,22.0,25,,12.0,3,,1,1.18,28.0,33.0,-5.0,-0.23,0.19,26.8,35.2,-8.4,-0.38,-0.17,5.0,0.0,0.0,28.0,59.0,7.0,73.0,8.0,38.0,4.0,0.0,0.0,83.0,22.0,48.0,31.4
Marvin Bakalorz,de GER,MF,27.0,22.8,0.0,21.0,5.0,23.8,0.92,0.22,0.0,0.0,21.1,0.0,0.0,0.0,1.7,1.7,0.08,-1.7,-1.7,432.0,628.0,68.8,7138.0,2289.0,225.0,289.0,77.9,145.0,207.0,70.0,47.0,87.0,54.0,1.0,2.1,1.3,-1.1,14.0,58.0,11.0,0.0,72.0,628.0,617.0,7.0,5.0,2.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,432.0,4.0,21.0,43.0,1.88,28.0,0.0,4.0,3.0,8.0,0.0,5.0,0.22,3.0,0.0,1.0,1.0,0.0,0.0,44.0,25.0,19.0,23.0,2.0,22.0,37.0,59.5,15.0,38.0,7.0,31.0,20.0,64.0,46.0,1.0,890.0,47.0,185.0,521.0,199.0,25.0,890.0,37.0,15.0,40.5,22.0,59.5,452.0,2475.0,1022.0,21.0,24.0,4.0,32.0,36.0,527.0,62.0,28,2055.0,73.0,67.2,22.8,23,,16.0,5,,6,1.29,31.0,36.0,-5.0,-0.22,0.23,30.3,42.3,-12.0,-0.53,-0.62,4.0,0.0,0.0,33.0,53.0,3.0,11.0,20.0,25.0,0.0,0.0,0.0,91.0,32.0,27.0,54.2
Martin Harnik,at AUT,"FW,MF",30.0,21.0,9.0,49.0,23.0,46.9,2.34,1.1,0.18,0.39,12.4,0.0,0.0,0.0,8.6,8.6,0.18,0.4,0.4,387.0,597.0,64.8,6159.0,1354.0,211.0,308.0,68.5,121.0,176.0,68.8,35.0,54.0,64.8,2.0,1.4,1.2,0.6,17.0,31.0,14.0,3.0,50.0,597.0,574.0,22.0,1.0,1.0,6.0,19.0,11.0,0.0,0.0,0.0,0.0,387.0,1.0,27.0,40.0,1.91,29.0,1.0,3.0,6.0,1.0,0.0,6.0,0.29,5.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,4.0,10.0,3.0,4.0,25.0,16.0,21.0,21.0,2.0,19.0,8.0,25.0,26.0,0.0,797.0,25.0,91.0,417.0,295.0,67.0,797.0,28.0,13.0,46.4,15.0,53.6,385.0,1914.0,780.0,24.0,10.0,8.0,40.0,32.0,573.0,146.0,30,1888.0,63.0,61.7,21.0,21,,12.0,9,,2,1.17,25.0,33.0,-8.0,-0.38,-0.23,26.3,38.2,-11.9,-0.57,-0.64,2.0,0.0,0.0,40.0,21.0,6.0,19.0,8.0,10.0,0.0,1.0,0.0,60.0,59.0,66.0,47.2
