player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Oliver Baumann,de GER,GK,27.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1032.0,1449.0,71.2,29127.0,22355.0,205.0,205.0,100.0,458.0,466.0,98.3,359.0,760.0,47.2,0.0,0.0,0.1,0.0,0.0,17.0,0.0,0.0,2.0,1449.0,1089.0,353.0,92.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,7.0,1.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,1519.0,1223.0,1509.0,10.0,0.0,0.0,1519.0,0.0,0.0,,0.0,,712.0,3444.0,2118.0,0.0,0.0,0.0,2.0,0.0,742.0,0.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.62,66.0,48.0,18.0,0.53,,50.5,47.2,3.3,0.1,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83.0,8.0,1.0,88.9
Kevin Vogt,de GER,DF,25.0,31.0,0.0,4.0,0.0,0.0,0.13,0.0,0.0,,14.4,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,1977.0,2227.0,88.8,44556.0,18559.0,433.0,466.0,92.9,1147.0,1227.0,93.5,388.0,509.0,76.2,1.0,0.7,1.4,0.3,9.0,116.0,13.0,0.0,126.0,2227.0,2134.0,87.0,85.0,2.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,1977.0,6.0,11.0,33.0,1.06,30.0,2.0,0.0,0.0,1.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,30.0,7.0,1.0,23.0,34.0,67.6,11.0,37.0,23.0,14.0,25.0,63.0,114.0,2.0,2451.0,230.0,1382.0,1056.0,27.0,4.0,2451.0,4.0,2.0,50.0,2.0,50.0,1345.0,6732.0,4014.0,13.0,2.0,1.0,5.0,4.0,1703.0,6.0,31,2790.0,90.0,91.2,31.0,31,,31.0,0,,0,1.55,59.0,47.0,12.0,0.39,-1.61,47.9,43.3,4.7,0.15,0.62,9.0,0.0,0.0,20.0,33.0,0.0,0.0,25.0,28.0,0.0,1.0,1.0,207.0,31.0,25.0,55.4
Benjamin Hübner,de GER,DF,28.0,25.7,3.0,23.0,6.0,26.1,0.89,0.23,0.13,0.5,11.6,0.0,0.0,0.0,1.8,1.8,0.08,1.2,1.2,1230.0,1471.0,83.6,22256.0,9927.0,505.0,552.0,91.5,586.0,657.0,89.2,116.0,209.0,55.5,2.0,0.6,0.8,1.4,11.0,101.0,5.0,1.0,117.0,1471.0,1400.0,67.0,56.0,0.0,13.0,4.0,11.0,0.0,0.0,0.0,0.0,1230.0,4.0,27.0,26.0,1.01,20.0,1.0,0.0,2.0,2.0,1.0,4.0,0.16,2.0,0.0,0.0,1.0,1.0,0.0,71.0,56.0,43.0,27.0,1.0,31.0,46.0,67.4,15.0,40.0,18.0,22.0,51.0,122.0,114.0,0.0,1781.0,140.0,880.0,827.0,79.0,30.0,1781.0,11.0,5.0,45.5,6.0,54.5,859.0,3791.0,2319.0,21.0,10.0,0.0,11.0,3.0,1149.0,9.0,27,2315.0,86.0,75.7,25.7,27,,23.0,0,,0,1.67,49.0,34.0,15.0,0.58,0.22,35.4,35.9,-0.6,-0.02,-0.48,9.0,0.0,0.0,46.0,28.0,0.0,4.0,51.0,56.0,1.0,0.0,0.0,75.0,82.0,43.0,65.6
Pavel Kadeřábek,cz CZE,"FW,DF",25.0,24.4,2.0,23.0,6.0,26.1,0.94,0.25,0.09,0.33,13.5,0.0,0.0,0.0,2.7,2.7,0.13,-0.7,-0.7,799.0,1104.0,72.4,13158.0,4851.0,394.0,483.0,81.6,336.0,440.0,76.4,51.0,121.0,42.1,3.0,2.7,3.8,0.3,23.0,54.0,24.0,14.0,65.0,1104.0,877.0,223.0,5.0,1.0,2.0,85.0,218.0,0.0,0.0,0.0,0.0,799.0,4.0,48.0,51.0,2.09,39.0,4.0,0.0,4.0,3.0,1.0,9.0,0.37,8.0,0.0,0.0,1.0,0.0,0.0,44.0,30.0,22.0,18.0,4.0,20.0,44.0,45.5,24.0,27.0,8.0,19.0,34.0,78.0,45.0,1.0,1319.0,48.0,327.0,629.0,370.0,62.0,1319.0,22.0,9.0,40.9,13.0,59.1,552.0,3186.0,1778.0,64.0,36.0,6.0,6.0,13.0,742.0,138.0,28,2199.0,79.0,71.9,24.4,24,,22.0,4,,3,1.61,53.0,33.0,20.0,0.82,1.03,35.0,35.0,-0.1,0.0,-0.35,5.0,0.0,0.0,35.0,21.0,1.0,85.0,34.0,30.0,0.0,0.0,0.0,71.0,56.0,40.0,58.3
Mark Uth,de GER,FW,25.0,24.2,14.0,54.0,21.0,38.9,2.23,0.87,0.26,0.67,14.2,0.0,0.0,0.0,9.3,9.1,0.17,4.7,4.9,418.0,570.0,73.3,6703.0,1466.0,219.0,284.0,77.1,137.0,174.0,78.7,38.0,54.0,70.4,8.0,4.3,2.7,3.7,29.0,27.0,25.0,6.0,44.0,570.0,531.0,34.0,1.0,3.0,6.0,22.0,9.0,3.0,2.0,1.0,0.0,418.0,5.0,35.0,55.0,2.27,43.0,3.0,2.0,2.0,2.0,3.0,14.0,0.58,10.0,1.0,1.0,0.0,1.0,1.0,32.0,23.0,4.0,21.0,7.0,5.0,22.0,22.7,17.0,30.0,3.0,27.0,9.0,41.0,19.0,0.0,820.0,20.0,66.0,380.0,382.0,89.0,820.0,53.0,20.0,37.7,33.0,62.3,522.0,2890.0,957.0,31.0,28.0,16.0,54.0,48.0,625.0,158.0,31,2177.0,70.0,71.1,24.2,24,,17.0,7,,0,1.65,52.0,33.0,19.0,0.79,0.89,37.6,35.8,1.8,0.07,-0.08,5.0,0.0,0.0,50.0,25.0,26.0,22.0,9.0,23.0,1.0,0.0,0.0,42.0,24.0,47.0,33.8
Andrej Kramarić,hr CRO,"FW,MF",26.0,24.8,13.0,81.0,33.0,40.7,3.27,1.33,0.14,0.33,19.9,8.0,2.0,2.0,9.6,8.1,0.11,3.4,2.9,687.0,945.0,72.7,11446.0,3377.0,328.0,379.0,86.5,234.0,305.0,76.7,81.0,179.0,45.3,6.0,6.0,7.1,0.0,52.0,70.0,42.0,13.0,114.0,945.0,827.0,111.0,25.0,3.0,8.0,139.0,14.0,63.0,25.0,30.0,0.0,687.0,7.0,29.0,98.0,3.96,63.0,19.0,5.0,7.0,4.0,0.0,12.0,0.48,7.0,2.0,0.0,3.0,0.0,0.0,8.0,6.0,4.0,3.0,1.0,3.0,8.0,37.5,5.0,15.0,0.0,15.0,6.0,14.0,7.0,0.0,1163.0,4.0,89.0,509.0,574.0,106.0,1161.0,53.0,20.0,37.7,33.0,62.3,705.0,4747.0,2258.0,81.0,48.0,39.0,32.0,46.0,895.0,188.0,34,2228.0,66.0,72.8,24.8,22,,16.0,12,,0,1.62,50.0,38.0,12.0,0.48,-0.16,38.4,36.4,2.0,0.08,-0.06,1.0,0.0,0.0,10.0,28.0,12.0,139.0,6.0,6.0,0.0,0.0,0.0,65.0,6.0,18.0,25.0
Florian Grillitsch,at AUT,MF,21.0,21.0,1.0,18.0,6.0,33.3,0.86,0.29,0.06,0.17,23.7,0.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,882.0,1073.0,82.2,16252.0,4754.0,360.0,423.0,85.1,398.0,445.0,89.4,97.0,149.0,65.1,2.0,1.7,1.6,0.3,27.0,91.0,18.0,3.0,108.0,1073.0,1017.0,51.0,42.0,2.0,14.0,11.0,8.0,1.0,1.0,0.0,0.0,882.0,5.0,25.0,60.0,2.85,54.0,1.0,1.0,2.0,2.0,0.0,5.0,0.24,4.0,0.0,0.0,1.0,0.0,0.0,68.0,46.0,30.0,36.0,2.0,35.0,58.0,60.3,23.0,26.0,3.0,23.0,39.0,107.0,25.0,1.0,1258.0,45.0,245.0,850.0,187.0,16.0,1258.0,30.0,16.0,53.3,14.0,46.7,576.0,3066.0,1634.0,25.0,29.0,1.0,10.0,18.0,762.0,33.0,25,1888.0,76.0,61.7,21.0,21,,16.0,4,,7,1.44,41.0,29.0,12.0,0.57,0.11,35.3,28.7,6.6,0.31,0.57,5.0,0.0,0.0,29.0,43.0,0.0,11.0,39.0,46.0,0.0,0.0,0.0,120.0,28.0,33.0,45.9
Dennis Geiger,de GER,MF,19.0,17.6,2.0,21.0,4.0,19.0,1.19,0.23,0.1,0.5,21.7,0.0,0.0,0.0,1.9,1.9,0.09,0.1,0.1,707.0,822.0,86.0,12005.0,3014.0,312.0,337.0,92.6,304.0,343.0,88.6,65.0,97.0,67.0,1.0,1.3,1.5,-0.3,26.0,68.0,16.0,0.0,90.0,822.0,778.0,44.0,28.0,1.0,3.0,26.0,1.0,15.0,7.0,7.0,0.0,707.0,0.0,11.0,53.0,3.01,45.0,4.0,2.0,1.0,1.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,19.0,31.0,2.0,16.0,40.0,40.0,24.0,38.0,2.0,36.0,15.0,67.0,7.0,0.0,1002.0,18.0,176.0,619.0,215.0,17.0,1002.0,24.0,10.0,41.7,14.0,58.3,524.0,2363.0,1079.0,17.0,29.0,3.0,16.0,24.0,649.0,50.0,21,1588.0,76.0,51.9,17.6,20,,12.0,1,,1,1.71,30.0,23.0,7.0,0.4,-0.28,22.8,21.0,1.9,0.11,0.02,9.0,0.0,0.0,53.0,25.0,0.0,26.0,15.0,36.0,0.0,0.0,0.0,96.0,10.0,15.0,40.0
Serge Gnabry,de GER,FW,22.0,16.7,10.0,48.0,22.0,45.8,2.87,1.31,0.21,0.45,18.1,0.0,0.0,1.0,5.9,5.1,0.11,4.1,4.9,404.0,544.0,74.3,5886.0,1785.0,224.0,282.0,79.4,134.0,171.0,78.4,24.0,43.0,55.8,5.0,3.4,3.9,1.6,27.0,33.0,22.0,3.0,52.0,544.0,486.0,53.0,7.0,4.0,1.0,27.0,29.0,9.0,6.0,1.0,0.0,404.0,5.0,23.0,72.0,4.33,44.0,3.0,11.0,9.0,2.0,3.0,13.0,0.78,7.0,0.0,2.0,2.0,1.0,1.0,32.0,22.0,10.0,18.0,4.0,13.0,24.0,54.2,11.0,15.0,1.0,14.0,8.0,40.0,9.0,2.0,746.0,10.0,93.0,336.0,337.0,96.0,745.0,88.0,45.0,51.1,43.0,48.9,434.0,3257.0,1776.0,74.0,44.0,40.0,25.0,22.0,533.0,134.0,22,1507.0,69.0,49.2,16.7,20,,6.0,2,,0,1.77,37.0,20.0,17.0,1.02,0.96,25.9,20.8,5.0,0.3,0.41,0.0,0.0,0.0,20.0,16.0,12.0,27.0,8.0,22.0,2.0,0.0,0.0,58.0,7.0,30.0,18.9
Nico Schulz,de GER,"FW,MF",24.0,19.8,1.0,17.0,7.0,41.2,0.86,0.35,0.06,0.14,19.6,0.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,751.0,1031.0,72.8,12594.0,4091.0,380.0,445.0,85.4,295.0,402.0,73.4,63.0,124.0,50.8,2.0,2.9,2.8,-0.9,27.0,65.0,30.0,15.0,75.0,1031.0,858.0,168.0,10.0,1.0,8.0,81.0,157.0,1.0,0.0,0.0,0.0,751.0,5.0,54.0,62.0,3.14,51.0,2.0,4.0,2.0,1.0,2.0,9.0,0.46,5.0,0.0,1.0,1.0,1.0,1.0,40.0,29.0,17.0,14.0,9.0,20.0,27.0,74.1,7.0,33.0,5.0,28.0,23.0,63.0,24.0,0.0,1234.0,31.0,255.0,604.0,389.0,52.0,1234.0,44.0,18.0,40.9,26.0,59.1,635.0,4480.0,2712.0,105.0,45.0,24.0,20.0,24.0,776.0,151.0,27,1780.0,66.0,58.2,19.8,19,,17.0,8,,3,1.74,44.0,27.0,17.0,0.86,0.79,36.4,23.6,12.8,0.65,1.32,3.0,0.0,0.0,22.0,21.0,4.0,81.0,23.0,29.0,1.0,0.0,0.0,101.0,8.0,27.0,22.9
