player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jiří Pavlenka,cz CZE,GK,25.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,795.0,1176.0,67.6,26831.0,19924.0,53.0,53.0,100.0,361.0,369.0,97.8,381.0,749.0,50.9,0.0,0.0,0.1,0.0,0.0,12.0,0.0,0.0,1.0,1176.0,774.0,397.0,141.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,5.0,0.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,1.0,17.0,4.0,1272.0,1111.0,1267.0,4.0,1.0,0.0,1272.0,0.0,0.0,,0.0,,510.0,3619.0,2165.0,0.0,0.0,0.0,1.0,0.0,492.0,1.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.24,37.0,40.0,-3.0,-0.09,,38.9,45.1,-6.2,-0.18,,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,9.0,1.0,90.0
Theodor Gebre Selassie,cz CZE,"DF,FW",30.0,31.4,3.0,17.0,9.0,52.9,0.54,0.29,0.18,0.33,11.3,0.0,0.0,0.0,2.1,2.1,0.12,0.9,0.9,1124.0,1437.0,78.2,17462.0,7687.0,591.0,704.0,83.9,460.0,578.0,79.6,51.0,98.0,52.0,0.0,1.4,1.8,-1.4,22.0,89.0,11.0,4.0,114.0,1437.0,1109.0,327.0,15.0,0.0,5.0,26.0,312.0,0.0,0.0,0.0,0.0,1124.0,1.0,36.0,38.0,1.21,31.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,41.0,36.0,25.0,6.0,36.0,57.0,63.2,21.0,34.0,2.0,32.0,51.0,118.0,83.0,1.0,1743.0,84.0,427.0,929.0,397.0,42.0,1743.0,30.0,9.0,30.0,21.0,70.0,592.0,3130.0,1662.0,45.0,27.0,4.0,23.0,35.0,881.0,97.0,32,2828.0,88.0,92.4,31.4,31,,30.0,1,,0,1.28,34.0,35.0,-1.0,-0.03,0.74,35.0,40.7,-5.8,-0.18,-0.03,4.0,0.0,0.0,44.0,37.0,2.0,26.0,51.0,41.0,0.0,0.0,0.0,103.0,100.0,83.0,54.6
Thomas Delaney,dk DEN,MF,25.0,31.1,3.0,56.0,13.0,23.2,1.8,0.42,0.05,0.23,18.9,5.0,0.0,0.0,3.4,3.4,0.06,-0.4,-0.4,915.0,1294.0,70.7,16872.0,4962.0,393.0,496.0,79.2,380.0,504.0,75.4,123.0,221.0,55.7,4.0,2.8,2.3,1.2,30.0,118.0,26.0,7.0,145.0,1294.0,1250.0,34.0,27.0,0.0,11.0,28.0,7.0,0.0,0.0,0.0,0.0,915.0,10.0,40.0,63.0,2.03,48.0,3.0,1.0,5.0,5.0,1.0,4.0,0.13,3.0,0.0,0.0,0.0,0.0,1.0,79.0,61.0,27.0,46.0,6.0,36.0,53.0,67.9,17.0,37.0,12.0,25.0,43.0,122.0,74.0,4.0,1630.0,76.0,323.0,979.0,336.0,68.0,1630.0,20.0,8.0,40.0,12.0,60.0,543.0,2940.0,1266.0,27.0,25.0,6.0,27.0,27.0,1001.0,96.0,32,2796.0,87.0,91.4,31.1,31,,30.0,1,,0,1.28,33.0,36.0,-3.0,-0.1,-0.1,34.4,40.7,-6.3,-0.2,-0.27,5.0,0.0,0.0,83.0,73.0,6.0,28.0,43.0,61.0,0.0,0.0,0.0,106.0,107.0,73.0,59.4
Maximilian Eggestein,de GER,MF,20.0,29.9,2.0,43.0,14.0,32.6,1.44,0.47,0.05,0.14,17.5,0.0,0.0,0.0,4.9,4.9,0.11,-2.9,-2.9,736.0,1000.0,73.6,11977.0,4261.0,369.0,473.0,78.0,287.0,357.0,80.4,60.0,90.0,66.7,3.0,2.1,2.1,0.9,14.0,87.0,13.0,4.0,137.0,1000.0,962.0,33.0,17.0,0.0,9.0,26.0,15.0,0.0,0.0,0.0,0.0,736.0,5.0,60.0,60.0,2.01,45.0,1.0,3.0,7.0,2.0,2.0,6.0,0.2,3.0,0.0,0.0,2.0,0.0,1.0,70.0,48.0,32.0,34.0,4.0,34.0,58.0,58.6,24.0,41.0,6.0,35.0,40.0,110.0,51.0,0.0,1313.0,55.0,265.0,696.0,368.0,64.0,1313.0,48.0,19.0,39.6,29.0,60.4,570.0,3145.0,1664.0,46.0,34.0,17.0,28.0,55.0,820.0,114.0,33,2692.0,82.0,88.0,29.9,31,,21.0,2,,1,1.27,36.0,37.0,-1.0,-0.03,0.46,33.9,39.4,-5.5,-0.18,-0.02,3.0,0.0,0.0,48.0,45.0,2.0,26.0,40.0,48.0,0.0,0.0,0.0,107.0,54.0,56.0,49.1
Miloš Veljković,rs SRB,DF,21.0,29.5,1.0,5.0,1.0,20.0,0.17,0.03,0.2,1.0,10.3,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,1089.0,1414.0,77.0,26340.0,9346.0,230.0,274.0,83.9,589.0,668.0,88.2,264.0,444.0,59.5,0.0,0.5,1.1,-0.5,5.0,106.0,8.0,0.0,111.0,1414.0,1328.0,84.0,84.0,0.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,1089.0,2.0,18.0,23.0,0.78,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,30.0,13.0,2.0,30.0,52.0,57.7,22.0,34.0,12.0,22.0,34.0,79.0,134.0,1.0,1670.0,145.0,778.0,846.0,56.0,16.0,1670.0,3.0,3.0,100.0,0.0,0.0,697.0,3671.0,2384.0,14.0,4.0,1.0,6.0,2.0,988.0,2.0,30,2655.0,89.0,86.8,29.5,30,,29.0,0,,2,1.17,32.0,35.0,-3.0,-0.1,-0.1,33.1,38.4,-5.2,-0.18,0.03,2.0,0.0,0.0,21.0,27.0,1.0,8.0,34.0,32.0,0.0,1.0,1.0,89.0,46.0,49.0,48.4
Ludwig Augustinsson,se SWE,"DF,FW",23.0,28.1,1.0,24.0,6.0,25.0,0.85,0.21,0.04,0.17,18.0,1.0,0.0,0.0,1.2,1.2,0.05,-0.2,-0.2,1103.0,1450.0,76.1,19321.0,7653.0,504.0,594.0,84.8,483.0,599.0,80.6,100.0,185.0,54.1,1.0,2.1,3.0,-1.1,30.0,101.0,23.0,19.0,103.0,1450.0,1150.0,294.0,32.0,0.0,6.0,117.0,248.0,14.0,4.0,8.0,1.0,1103.0,6.0,68.0,64.0,2.27,46.0,11.0,0.0,6.0,1.0,0.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,45.0,34.0,22.0,20.0,3.0,22.0,32.0,68.8,10.0,25.0,3.0,22.0,39.0,84.0,53.0,0.0,1672.0,60.0,438.0,781.0,464.0,42.0,1672.0,12.0,2.0,16.7,10.0,83.3,632.0,3362.0,1787.0,48.0,29.0,5.0,17.0,23.0,973.0,151.0,29,2532.0,87.0,82.7,28.1,29,,26.0,0,,0,1.34,33.0,34.0,-1.0,-0.04,0.31,33.1,37.2,-4.1,-0.15,0.2,3.0,0.0,0.0,29.0,14.0,4.0,117.0,39.0,34.0,0.0,0.0,0.0,90.0,42.0,44.0,48.8
Max Kruse,de GER,FW,29.0,27.3,6.0,53.0,21.0,39.6,1.94,0.77,0.11,0.29,18.2,1.0,0.0,0.0,5.2,5.2,0.1,0.8,0.8,1035.0,1389.0,74.5,20160.0,3837.0,409.0,509.0,80.4,439.0,536.0,81.9,167.0,266.0,62.8,6.0,5.1,4.2,0.9,58.0,91.0,38.0,9.0,140.0,1389.0,1193.0,184.0,36.0,3.0,30.0,119.0,23.0,70.0,25.0,32.0,2.0,1035.0,12.0,42.0,124.0,4.55,93.0,18.0,4.0,5.0,2.0,2.0,13.0,0.48,8.0,2.0,1.0,2.0,0.0,0.0,17.0,12.0,3.0,10.0,4.0,5.0,22.0,22.7,17.0,9.0,0.0,9.0,11.0,28.0,4.0,1.0,1583.0,6.0,90.0,875.0,632.0,65.0,1583.0,60.0,28.0,46.7,32.0,53.3,783.0,4821.0,1820.0,63.0,36.0,16.0,39.0,36.0,1197.0,222.0,29,2453.0,85.0,80.2,27.3,28,,25.0,1,,0,1.31,33.0,33.0,0.0,0.0,0.44,31.1,37.7,-6.5,-0.24,-0.3,2.0,0.0,0.0,14.0,31.0,8.0,119.0,11.0,12.0,0.0,0.0,0.0,94.0,19.0,42.0,31.1
Niklas Moisander,fi FIN,DF,31.0,25.0,2.0,18.0,5.0,27.8,0.72,0.2,0.11,0.4,14.7,0.0,0.0,0.0,1.9,1.9,0.11,0.1,0.1,1235.0,1486.0,83.1,27514.0,11116.0,292.0,339.0,86.1,725.0,802.0,90.4,213.0,327.0,65.1,0.0,0.6,1.2,-0.6,8.0,108.0,9.0,0.0,126.0,1486.0,1441.0,42.0,39.0,1.0,22.0,7.0,3.0,0.0,0.0,0.0,0.0,1235.0,3.0,10.0,26.0,1.04,19.0,0.0,0.0,6.0,0.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,36.0,28.0,22.0,13.0,1.0,24.0,36.0,66.7,12.0,21.0,9.0,12.0,38.0,74.0,98.0,2.0,1708.0,121.0,765.0,891.0,69.0,21.0,1708.0,11.0,7.0,63.6,4.0,36.4,865.0,6066.0,3816.0,32.0,6.0,0.0,10.0,6.0,1067.0,5.0,25,2250.0,90.0,73.5,25.0,25,,25.0,0,,1,1.4,30.0,29.0,1.0,0.04,0.48,30.9,35.1,-4.2,-0.17,0.05,6.0,0.0,0.0,34.0,16.0,0.0,7.0,38.0,28.0,0.0,2.0,1.0,128.0,40.0,30.0,57.1
Philipp Bargfrede,de GER,MF,28.0,20.7,1.0,16.0,5.0,31.3,0.77,0.24,0.06,0.2,27.4,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,764.0,967.0,79.0,14873.0,5480.0,255.0,311.0,82.0,408.0,476.0,85.7,93.0,145.0,64.1,1.0,0.8,0.8,0.2,8.0,86.0,4.0,1.0,110.0,967.0,948.0,15.0,15.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,764.0,4.0,22.0,32.0,1.55,24.0,0.0,1.0,3.0,2.0,2.0,3.0,0.15,2.0,0.0,0.0,0.0,0.0,1.0,60.0,45.0,29.0,30.0,1.0,33.0,55.0,60.0,22.0,35.0,12.0,23.0,47.0,107.0,52.0,0.0,1180.0,67.0,332.0,773.0,94.0,3.0,1180.0,10.0,5.0,50.0,5.0,50.0,492.0,3082.0,1373.0,17.0,12.0,1.0,13.0,12.0,660.0,9.0,27,1859.0,69.0,60.8,20.7,23,,8.0,4,,5,1.26,27.0,22.0,5.0,0.24,0.84,23.8,24.8,-1.0,-0.05,0.33,5.0,0.0,0.0,42.0,27.0,0.0,4.0,47.0,45.0,0.0,0.0,0.0,139.0,39.0,35.0,52.7
Florian Kainz,at AUT,"MF,FW",24.0,19.0,3.0,34.0,11.0,32.4,1.79,0.58,0.09,0.27,21.8,5.0,0.0,0.0,3.1,3.1,0.09,-0.1,-0.1,543.0,784.0,69.3,9925.0,3570.0,246.0,302.0,81.5,213.0,286.0,74.5,70.0,144.0,48.6,3.0,3.5,2.8,-0.5,37.0,69.0,25.0,10.0,114.0,784.0,696.0,84.0,15.0,2.0,16.0,116.0,30.0,39.0,15.0,23.0,0.0,543.0,4.0,44.0,86.0,4.61,56.0,19.0,4.0,3.0,3.0,1.0,6.0,0.32,5.0,1.0,0.0,0.0,0.0,0.0,33.0,25.0,9.0,18.0,6.0,9.0,19.0,47.4,10.0,23.0,0.0,23.0,17.0,50.0,13.0,0.0,964.0,11.0,99.0,430.0,452.0,38.0,964.0,58.0,27.0,46.6,31.0,53.4,486.0,3404.0,1734.0,65.0,39.0,13.0,19.0,30.0,687.0,137.0,30,1712.0,57.0,55.9,19.0,19,,4.0,11,,3,1.13,18.0,21.0,-3.0,-0.16,-0.16,19.4,22.1,-2.7,-0.15,0.08,5.0,0.0,0.0,35.0,29.0,3.0,116.0,17.0,25.0,0.0,0.0,0.0,89.0,13.0,20.0,39.4
