player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Daniel Baier,de GER,MF,34.0,31.3,0.0,26.0,10.0,38.5,0.83,0.32,0.0,0.0,27.2,0.0,0.0,0.0,0.9,0.9,0.03,-0.9,-0.9,1229.0,1626.0,75.6,22363.0,7481.0,510.0,610.0,83.6,515.0,634.0,81.2,159.0,275.0,57.8,1.0,1.2,1.2,-0.2,22.0,131.0,12.0,1.0,187.0,1626.0,1536.0,83.0,56.0,3.0,9.0,20.0,25.0,0.0,0.0,0.0,0.0,1229.0,7.0,31.0,66.0,2.11,55.0,2.0,0.0,2.0,5.0,2.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0,62.0,39.0,21.0,37.0,4.0,24.0,66.0,36.4,42.0,27.0,8.0,19.0,60.0,122.0,48.0,2.0,1942.0,59.0,498.0,1221.0,253.0,8.0,1942.0,26.0,16.0,61.5,10.0,38.5,970.0,5085.0,2557.0,50.0,38.0,2.0,32.0,26.0,1069.0,34.0,33,2815.0,85.0,92.0,31.3,33,85.0,24.0,0,,0,0.97,46.0,59.0,-13.0,-0.42,2.16,41.3,56.3,-15.0,-0.48,-0.19,7.0,0.0,0.0,51.0,50.0,0.0,20.0,60.0,39.0,0.0,0.0,0.0,251.0,28.0,43.0,39.4
Rani Khedira,de GER,"DF,MF",24.0,29.2,4.0,14.0,5.0,35.7,0.48,0.17,0.29,0.8,12.8,0.0,0.0,0.0,1.5,1.5,0.11,2.5,2.5,1029.0,1266.0,81.3,19530.0,6803.0,338.0,405.0,83.5,550.0,621.0,88.6,105.0,172.0,61.0,1.0,0.6,0.8,0.4,8.0,43.0,10.0,2.0,72.0,1266.0,1226.0,35.0,35.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1029.0,5.0,15.0,40.0,1.37,33.0,0.0,0.0,3.0,1.0,3.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,56.0,39.0,22.0,28.0,6.0,18.0,36.0,50.0,18.0,44.0,22.0,22.0,80.0,136.0,95.0,1.0,1594.0,151.0,748.0,744.0,114.0,27.0,1594.0,6.0,2.0,33.3,4.0,66.7,784.0,3732.0,1589.0,14.0,9.0,1.0,20.0,9.0,902.0,27.0,30,2624.0,87.0,85.8,29.2,30,87.0,27.0,0,,0,1.07,43.0,53.0,-10.0,-0.34,1.72,40.3,49.1,-8.8,-0.3,1.13,6.0,0.0,0.0,46.0,23.0,0.0,7.0,80.0,39.0,0.0,0.0,0.0,148.0,60.0,60.0,50.0
Philipp Max,de GER,"DF,MF",24.0,28.5,4.0,24.0,13.0,54.2,0.84,0.46,0.17,0.31,20.2,2.0,0.0,0.0,2.4,2.4,0.1,1.6,1.6,844.0,1255.0,67.3,14487.0,6795.0,400.0,453.0,88.3,307.0,418.0,73.4,97.0,283.0,34.3,2.0,4.9,5.8,-2.9,60.0,66.0,44.0,28.0,89.0,1255.0,905.0,340.0,47.0,0.0,9.0,202.0,216.0,77.0,29.0,40.0,0.0,844.0,10.0,34.0,99.0,3.47,50.0,36.0,2.0,6.0,4.0,1.0,4.0,0.14,2.0,1.0,0.0,0.0,0.0,1.0,35.0,24.0,17.0,15.0,3.0,21.0,39.0,53.8,18.0,16.0,3.0,13.0,22.0,57.0,46.0,1.0,1451.0,58.0,333.0,637.0,501.0,34.0,1451.0,19.0,11.0,57.9,8.0,42.1,687.0,3902.0,2117.0,63.0,36.0,7.0,27.0,14.0,799.0,155.0,30,2569.0,86.0,84.0,28.5,30,86.0,24.0,0,,1,0.87,41.0,50.0,-9.0,-0.32,1.7,36.9,48.9,-12.0,-0.42,0.27,1.0,0.0,0.0,13.0,20.0,1.0,202.0,22.0,24.0,0.0,0.0,0.0,120.0,23.0,38.0,37.7
Jonathan Schmid,fr FRA,DF,28.0,28.0,3.0,17.0,9.0,52.9,0.61,0.32,0.18,0.33,27.6,8.0,0.0,0.0,0.8,0.8,0.05,2.2,2.2,1104.0,1406.0,78.5,16871.0,7832.0,630.0,686.0,91.8,326.0,422.0,77.3,93.0,190.0,48.9,7.0,3.3,3.5,3.7,46.0,69.0,31.0,13.0,109.0,1406.0,1024.0,377.0,45.0,0.0,10.0,122.0,277.0,55.0,7.0,36.0,6.0,1104.0,5.0,31.0,84.0,3.0,52.0,25.0,2.0,1.0,2.0,2.0,11.0,0.39,8.0,3.0,0.0,0.0,0.0,0.0,44.0,22.0,23.0,19.0,2.0,16.0,28.0,57.1,12.0,22.0,8.0,14.0,43.0,87.0,70.0,2.0,1654.0,83.0,474.0,727.0,471.0,16.0,1654.0,31.0,16.0,51.6,15.0,48.4,704.0,3609.0,1951.0,43.0,32.0,3.0,18.0,20.0,815.0,87.0,28,2520.0,90.0,82.4,28.0,28,90.0,28.0,0,,5,1.11,45.0,58.0,-13.0,-0.46,0.7,36.0,51.7,-15.6,-0.56,-0.54,1.0,0.0,0.0,22.0,22.0,2.0,122.0,43.0,22.0,0.0,0.0,1.0,154.0,28.0,26.0,51.9
Michael Gregoritsch,at AUT,"MF,FW",24.0,27.6,6.0,84.0,23.0,27.4,3.04,0.83,0.06,0.22,16.6,6.0,1.0,1.0,10.1,9.3,0.11,-4.1,-4.3,653.0,940.0,69.5,9384.0,2750.0,364.0,463.0,78.6,181.0,253.0,71.5,52.0,101.0,51.5,2.0,2.5,3.4,-0.5,28.0,64.0,24.0,2.0,102.0,940.0,886.0,44.0,12.0,4.0,8.0,16.0,6.0,0.0,0.0,0.0,0.0,653.0,10.0,25.0,70.0,2.53,54.0,1.0,3.0,7.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,7.0,9.0,6.0,4.0,28.0,14.3,24.0,29.0,10.0,19.0,15.0,37.0,58.0,0.0,1274.0,69.0,200.0,654.0,429.0,99.0,1273.0,33.0,14.0,42.4,19.0,57.6,623.0,2940.0,1481.0,36.0,42.0,8.0,71.0,26.0,891.0,145.0,32,2487.0,78.0,81.3,27.6,28,85.0,18.0,4,28.0,0,0.88,36.0,62.0,-26.0,-0.94,-1.88,35.5,49.7,-14.2,-0.51,-0.27,4.0,0.0,0.0,27.0,28.0,15.0,16.0,15.0,13.0,0.0,0.0,0.0,109.0,91.0,90.0,50.3
Jeffrey Gouweleeuw,nl NED,DF,27.0,23.2,0.0,8.0,2.0,25.0,0.34,0.09,0.0,0.0,19.7,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,933.0,1220.0,76.5,19130.0,8878.0,348.0,395.0,88.1,417.0,488.0,85.5,155.0,292.0,53.1,2.0,2.0,1.7,0.0,8.0,100.0,16.0,1.0,127.0,1220.0,1149.0,65.0,60.0,1.0,27.0,5.0,5.0,0.0,0.0,0.0,0.0,933.0,6.0,17.0,21.0,0.9,16.0,0.0,1.0,2.0,0.0,2.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,42.0,31.0,23.0,19.0,0.0,24.0,39.0,61.5,15.0,44.0,21.0,23.0,56.0,98.0,71.0,1.0,1487.0,146.0,775.0,689.0,49.0,9.0,1487.0,19.0,10.0,52.6,9.0,47.4,833.0,4960.0,2946.0,25.0,15.0,1.0,11.0,13.0,800.0,2.0,25,2092.0,84.0,68.4,23.2,24,87.0,22.0,1,3.0,0,0.96,35.0,46.0,-11.0,-0.47,0.36,32.6,42.3,-9.7,-0.42,0.15,4.0,0.0,0.0,21.0,9.0,0.0,5.0,56.0,31.0,0.0,0.0,0.0,171.0,45.0,38.0,54.2
André Hahn,de GER,"FW,MF",27.0,22.8,4.0,37.0,14.0,37.8,1.62,0.61,0.11,0.29,17.2,0.0,0.0,0.0,2.9,2.9,0.08,1.1,1.1,299.0,562.0,53.2,5230.0,1496.0,143.0,209.0,68.4,103.0,173.0,59.5,39.0,93.0,41.9,4.0,4.1,2.6,-0.1,30.0,18.0,22.0,16.0,29.0,562.0,535.0,23.0,0.0,0.0,4.0,82.0,19.0,0.0,0.0,0.0,0.0,299.0,4.0,47.0,51.0,2.24,39.0,2.0,0.0,8.0,1.0,1.0,7.0,0.31,3.0,0.0,0.0,4.0,0.0,0.0,64.0,38.0,22.0,39.0,3.0,22.0,53.0,41.5,31.0,28.0,2.0,26.0,27.0,91.0,32.0,0.0,863.0,35.0,152.0,386.0,336.0,64.0,863.0,43.0,17.0,39.5,26.0,60.5,429.0,2710.0,1071.0,41.0,24.0,8.0,44.0,28.0,511.0,127.0,28,2052.0,73.0,67.1,22.8,21,89.0,19.0,7,26.0,1,1.07,37.0,43.0,-6.0,-0.26,0.99,30.4,40.6,-10.2,-0.45,0.05,7.0,0.0,0.0,67.0,20.0,22.0,82.0,27.0,38.0,0.0,0.0,0.0,108.0,54.0,65.0,45.4
Koo Ja-cheol,kr KOR,MF,29.0,18.2,2.0,26.0,7.0,26.9,1.43,0.38,0.08,0.29,17.1,0.0,0.0,0.0,3.7,3.7,0.14,-1.7,-1.7,505.0,637.0,79.3,6816.0,1887.0,278.0,313.0,88.8,120.0,149.0,80.5,35.0,53.0,66.0,1.0,0.8,1.0,0.2,23.0,37.0,11.0,0.0,65.0,637.0,630.0,2.0,2.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,505.0,5.0,29.0,54.0,2.97,42.0,0.0,3.0,3.0,5.0,1.0,6.0,0.33,5.0,0.0,0.0,0.0,1.0,0.0,36.0,23.0,10.0,20.0,6.0,12.0,30.0,40.0,18.0,28.0,5.0,23.0,27.0,63.0,21.0,0.0,862.0,33.0,157.0,505.0,212.0,26.0,862.0,22.0,14.0,63.6,8.0,36.4,479.0,2423.0,986.0,24.0,19.0,1.0,39.0,41.0,564.0,48.0,26,1640.0,63.0,53.6,18.2,19,78.0,8.0,7,22.0,1,1.08,26.0,28.0,-2.0,-0.11,1.03,23.2,30.1,-7.0,-0.38,0.18,3.0,0.0,0.0,25.0,36.0,2.0,8.0,27.0,23.0,0.0,0.0,0.0,119.0,23.0,34.0,40.4
Martin Hinteregger,at AUT,DF,25.0,17.5,2.0,17.0,4.0,23.5,0.97,0.23,0.12,0.5,21.3,1.0,0.0,0.0,0.9,0.9,0.05,1.1,1.1,643.0,860.0,74.8,13126.0,5368.0,211.0,241.0,87.6,317.0,373.0,85.0,104.0,208.0,50.0,0.0,0.7,0.6,-0.7,7.0,38.0,7.0,1.0,65.0,860.0,819.0,36.0,33.0,2.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,643.0,5.0,16.0,13.0,0.74,10.0,0.0,0.0,2.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,48.0,35.0,31.0,16.0,1.0,24.0,35.0,68.6,11.0,24.0,13.0,11.0,22.0,70.0,68.0,0.0,1062.0,116.0,553.0,485.0,40.0,15.0,1062.0,6.0,2.0,33.3,4.0,66.7,571.0,3254.0,1751.0,16.0,9.0,1.0,13.0,4.0,584.0,2.0,18,1575.0,88.0,51.5,17.5,18,88.0,17.0,0,,0,0.83,24.0,30.0,-6.0,-0.34,0.51,26.9,27.8,-0.9,-0.05,0.85,0.0,0.0,0.0,17.0,14.0,2.0,4.0,22.0,35.0,0.0,0.0,0.0,109.0,54.0,35.0,60.7
Marco Richter,de GER,"MF,FW",20.0,15.8,4.0,55.0,23.0,41.8,3.47,1.45,0.07,0.17,20.5,0.0,0.0,0.0,3.5,3.5,0.06,0.5,0.5,314.0,475.0,66.1,5114.0,1341.0,162.0,211.0,76.8,90.0,132.0,68.2,40.0,65.0,61.5,6.0,2.9,1.8,3.1,16.0,31.0,18.0,5.0,45.0,475.0,447.0,25.0,2.0,5.0,3.0,33.0,6.0,0.0,0.0,0.0,0.0,314.0,3.0,23.0,65.0,4.1,39.0,2.0,15.0,6.0,3.0,0.0,12.0,0.76,8.0,0.0,2.0,2.0,0.0,0.0,13.0,8.0,4.0,5.0,4.0,7.0,20.0,35.0,13.0,16.0,1.0,15.0,13.0,26.0,9.0,1.0,708.0,9.0,70.0,327.0,329.0,62.0,708.0,65.0,35.0,53.8,30.0,46.2,443.0,2592.0,1146.0,57.0,34.0,17.0,55.0,43.0,491.0,142.0,25,1426.0,57.0,46.6,15.8,17,72.0,4.0,8,26.0,5,0.92,29.0,35.0,-6.0,-0.38,0.39,23.0,30.1,-7.1,-0.45,0.03,4.0,0.0,0.0,22.0,26.0,8.0,33.0,13.0,8.0,0.0,0.0,0.0,93.0,21.0,44.0,32.3
