player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Matthias Zimmermann,de GER,"DF,MF",26.0,33.9,1.0,15.0,4.0,26.7,0.44,0.12,0.07,0.25,26.5,0.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5,1233.0,1646.0,74.9,20711.0,9109.0,608.0,703.0,86.5,464.0,620.0,74.8,118.0,220.0,53.6,3.0,2.8,2.2,0.2,20.0,115.0,21.0,11.0,149.0,1646.0,1348.0,295.0,22.0,1.0,18.0,87.0,273.0,0.0,0.0,0.0,0.0,1233.0,3.0,40.0,57.0,1.68,45.0,6.0,1.0,2.0,1.0,2.0,7.0,0.21,6.0,0.0,1.0,0.0,0.0,0.0,97.0,64.0,69.0,24.0,4.0,45.0,90.0,50.0,45.0,51.0,18.0,33.0,67.0,164.0,90.0,2.0,2027.0,118.0,662.0,987.0,409.0,11.0,2027.0,31.0,19.0,61.3,12.0,38.7,910.0,4600.0,2525.0,56.0,44.0,2.0,40.0,12.0,1055.0,117.0,34,3049.0,90.0,99.6,33.9,34,90.0,33.0,0,,0,1.29,49.0,65.0,-16.0,-0.47,-0.47,46.9,62.3,-15.3,-0.45,-1.03,4.0,0.0,0.0,50.0,30.0,0.0,87.0,67.0,64.0,0.0,0.0,0.0,205.0,33.0,37.0,47.1
Michael Rensing,de GER,GK,34.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,652.0,1011.0,64.5,22515.0,17491.0,75.0,76.0,98.7,255.0,256.0,99.6,320.0,672.0,47.6,0.0,0.0,0.1,0.0,0.0,19.0,0.0,0.0,0.0,1011.0,593.0,413.0,95.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,5.0,1.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,2.0,4.0,13.0,2.0,1099.0,978.0,1095.0,4.0,0.0,0.0,1099.0,0.0,0.0,,0.0,,467.0,3231.0,2407.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,0,1.28,47.0,62.0,-15.0,-0.47,0.03,45.7,60.4,-14.7,-0.46,-0.17,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,31.0,14.0,1.0,93.3
Niko Gießelmann,de GER,DF,26.0,28.8,0.0,26.0,7.0,26.9,0.9,0.24,0.0,0.0,20.5,0.0,0.0,0.0,1.3,1.3,0.05,-1.3,-1.3,997.0,1373.0,72.6,18230.0,7745.0,429.0,502.0,85.5,431.0,557.0,77.4,115.0,241.0,47.7,3.0,3.2,3.1,-0.2,26.0,89.0,28.0,11.0,116.0,1373.0,1113.0,257.0,34.0,1.0,22.0,77.0,215.0,8.0,0.0,8.0,0.0,997.0,3.0,40.0,66.0,2.29,41.0,10.0,3.0,6.0,6.0,0.0,9.0,0.31,5.0,1.0,0.0,1.0,2.0,0.0,57.0,37.0,38.0,14.0,5.0,26.0,59.0,44.1,33.0,25.0,6.0,19.0,36.0,93.0,85.0,1.0,1672.0,88.0,603.0,708.0,375.0,30.0,1672.0,23.0,11.0,47.8,12.0,52.2,807.0,4227.0,2149.0,54.0,37.0,6.0,32.0,8.0,944.0,100.0,30,2593.0,86.0,84.7,28.8,29,89.0,27.0,1,19.0,2,1.43,42.0,49.0,-7.0,-0.24,1.49,39.7,47.6,-7.9,-0.27,1.15,2.0,0.0,0.0,26.0,34.0,4.0,77.0,36.0,37.0,1.0,0.0,0.0,143.0,49.0,31.0,61.3
Kaan Ayhan,tr TUR,DF,23.0,27.2,4.0,23.0,9.0,39.1,0.85,0.33,0.17,0.44,14.5,5.0,0.0,0.0,2.3,2.3,0.1,1.7,1.7,1265.0,1440.0,87.8,26586.0,8739.0,421.0,451.0,93.3,605.0,654.0,92.5,222.0,304.0,73.0,1.0,0.4,1.3,0.6,6.0,78.0,7.0,1.0,96.0,1440.0,1348.0,90.0,79.0,3.0,48.0,4.0,11.0,0.0,0.0,0.0,0.0,1265.0,2.0,9.0,25.0,0.92,21.0,1.0,0.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,53.0,29.0,38.0,15.0,0.0,23.0,47.0,48.9,24.0,34.0,16.0,18.0,59.0,112.0,118.0,3.0,1751.0,186.0,925.0,746.0,90.0,23.0,1751.0,17.0,12.0,70.6,5.0,29.4,1018.0,5809.0,3592.0,31.0,16.0,1.0,9.0,5.0,1098.0,12.0,28,2449.0,87.0,80.0,27.2,28,87.0,26.0,0,,2,1.32,38.0,52.0,-14.0,-0.51,-0.22,36.2,50.6,-14.3,-0.53,-0.39,10.0,0.0,0.0,25.0,16.0,2.0,4.0,59.0,29.0,0.0,2.0,0.0,156.0,44.0,29.0,60.3
Marcin Kamiński,pl POL,DF,26.0,27.0,0.0,8.0,1.0,12.5,0.3,0.04,0.0,0.0,18.2,2.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,980.0,1169.0,83.8,20148.0,7288.0,310.0,340.0,91.2,504.0,555.0,90.8,158.0,247.0,64.0,1.0,0.4,0.6,0.6,7.0,55.0,3.0,1.0,78.0,1169.0,1124.0,42.0,42.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,980.0,3.0,9.0,24.0,0.89,19.0,1.0,0.0,3.0,0.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,18.0,13.0,14.0,3.0,1.0,7.0,11.0,63.6,4.0,21.0,11.0,10.0,39.0,57.0,103.0,2.0,1378.0,167.0,754.0,592.0,41.0,18.0,1378.0,1.0,1.0,100.0,0.0,0.0,752.0,4123.0,2537.0,25.0,6.0,3.0,6.0,1.0,861.0,6.0,27,2430.0,90.0,79.4,27.0,27,90.0,27.0,0,,5,1.44,40.0,51.0,-11.0,-0.41,0.31,39.3,48.6,-9.3,-0.35,0.5,1.0,0.0,0.0,7.0,8.0,1.0,2.0,39.0,13.0,0.0,0.0,0.0,109.0,48.0,39.0,55.2
Kevin Stöger,at AUT,MF,24.0,23.5,1.0,33.0,10.0,30.3,1.4,0.42,0.03,0.1,25.2,5.0,0.0,0.0,2.4,2.4,0.07,-1.4,-1.4,1204.0,1467.0,82.1,23340.0,7240.0,501.0,564.0,88.8,453.0,532.0,85.2,217.0,300.0,72.3,7.0,5.6,5.0,1.4,54.0,134.0,32.0,5.0,179.0,1467.0,1316.0,147.0,66.0,8.0,39.0,85.0,8.0,58.0,17.0,34.0,0.0,1204.0,4.0,17.0,108.0,4.59,71.0,23.0,5.0,6.0,2.0,1.0,10.0,0.42,8.0,1.0,0.0,0.0,0.0,1.0,63.0,35.0,28.0,27.0,8.0,30.0,67.0,44.8,37.0,32.0,5.0,27.0,31.0,94.0,19.0,1.0,1721.0,39.0,345.0,1006.0,403.0,17.0,1721.0,41.0,27.0,65.9,14.0,34.1,982.0,5590.0,2645.0,42.0,43.0,2.0,36.0,25.0,1170.0,51.0,25,2118.0,85.0,69.2,23.5,24,88.0,20.0,1,10.0,6,1.48,41.0,46.0,-5.0,-0.21,0.84,34.8,42.6,-7.8,-0.33,0.38,8.0,0.0,0.0,48.0,60.0,1.0,85.0,31.0,35.0,0.0,0.0,0.0,193.0,4.0,11.0,26.7
Dodi Lukebakio,be BEL,"FW,MF",20.0,21.9,10.0,50.0,26.0,52.0,2.28,1.19,0.12,0.23,18.2,0.0,4.0,6.0,12.7,8.0,0.16,-2.7,-2.0,425.0,591.0,71.9,6877.0,1172.0,228.0,266.0,85.7,138.0,194.0,71.1,42.0,77.0,54.5,3.0,2.2,2.2,0.8,20.0,23.0,18.0,7.0,41.0,591.0,562.0,26.0,5.0,2.0,10.0,41.0,2.0,5.0,3.0,1.0,0.0,425.0,3.0,18.0,58.0,2.65,38.0,1.0,6.0,4.0,9.0,0.0,5.0,0.23,3.0,0.0,1.0,0.0,1.0,0.0,25.0,17.0,11.0,6.0,8.0,8.0,15.0,53.3,7.0,13.0,0.0,13.0,9.0,34.0,19.0,0.0,883.0,15.0,111.0,391.0,395.0,83.0,877.0,85.0,50.0,58.8,35.0,41.2,613.0,4475.0,1967.0,72.0,49.0,27.0,73.0,47.0,667.0,207.0,31,1972.0,64.0,64.4,21.9,22,81.0,7.0,9,22.0,1,1.29,34.0,44.0,-10.0,-0.46,0.04,31.5,37.8,-6.3,-0.29,0.45,6.0,0.0,0.0,28.0,50.0,14.0,41.0,9.0,17.0,1.0,1.0,0.0,86.0,22.0,25.0,46.8
Adam Bodzek,de GER,"MF,DF",32.0,17.7,0.0,2.0,0.0,0.0,0.11,0.0,0.0,,25.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,579.0,690.0,83.9,11314.0,4028.0,222.0,252.0,88.1,230.0,258.0,89.1,100.0,135.0,74.1,1.0,1.1,0.7,-0.1,8.0,43.0,4.0,0.0,57.0,690.0,657.0,32.0,32.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,1.0,6.0,26.0,1.47,19.0,2.0,0.0,0.0,3.0,2.0,3.0,0.17,2.0,0.0,0.0,0.0,0.0,1.0,44.0,27.0,27.0,16.0,1.0,17.0,43.0,39.5,26.0,15.0,6.0,9.0,26.0,70.0,39.0,0.0,840.0,71.0,343.0,469.0,33.0,4.0,840.0,3.0,2.0,66.7,1.0,33.3,375.0,1536.0,768.0,4.0,2.0,2.0,7.0,7.0,515.0,3.0,21,1596.0,76.0,52.2,17.7,20,79.0,11.0,1,20.0,5,1.48,28.0,29.0,-1.0,-0.06,0.87,25.9,32.6,-6.7,-0.38,0.15,5.0,1.0,0.0,32.0,41.0,0.0,0.0,26.0,27.0,0.0,2.0,0.0,63.0,34.0,21.0,61.8
Rouwen Hennings,de GER,FW,30.0,20.4,7.0,58.0,21.0,36.2,2.85,1.03,0.1,0.29,15.7,0.0,1.0,1.0,8.5,7.7,0.13,-1.5,-1.7,296.0,452.0,65.5,4468.0,1053.0,164.0,230.0,71.3,86.0,124.0,69.4,25.0,39.0,64.1,4.0,3.1,2.9,0.9,28.0,28.0,13.0,0.0,53.0,452.0,413.0,37.0,1.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,296.0,2.0,25.0,54.0,2.65,43.0,0.0,3.0,3.0,5.0,0.0,8.0,0.39,7.0,0.0,0.0,1.0,0.0,0.0,14.0,10.0,1.0,8.0,5.0,2.0,13.0,15.4,11.0,16.0,1.0,15.0,4.0,18.0,20.0,0.0,640.0,24.0,43.0,315.0,285.0,82.0,639.0,10.0,4.0,40.0,6.0,60.0,291.0,983.0,375.0,15.0,8.0,8.0,35.0,13.0,455.0,119.0,29,1833.0,63.0,59.9,20.4,19,84.0,11.0,10,23.0,5,1.41,30.0,34.0,-4.0,-0.2,0.68,27.2,39.4,-12.2,-0.6,-0.37,3.0,0.0,0.0,22.0,22.0,7.0,4.0,4.0,10.0,0.0,1.0,0.0,42.0,52.0,76.0,40.6
Benito Raman,be BEL,"MF,FW",23.0,18.7,10.0,55.0,26.0,47.3,2.94,1.39,0.18,0.38,16.9,0.0,0.0,0.0,7.4,7.4,0.14,2.6,2.6,307.0,462.0,66.5,5531.0,1788.0,145.0,192.0,75.5,118.0,159.0,74.2,37.0,68.0,54.4,4.0,2.7,2.8,1.3,21.0,46.0,22.0,9.0,59.0,462.0,440.0,18.0,1.0,2.0,13.0,36.0,15.0,2.0,0.0,0.0,0.0,307.0,4.0,23.0,57.0,3.05,41.0,0.0,7.0,7.0,2.0,0.0,11.0,0.59,7.0,0.0,3.0,1.0,0.0,0.0,35.0,20.0,14.0,16.0,5.0,11.0,53.0,20.8,42.0,30.0,2.0,28.0,15.0,50.0,8.0,0.0,750.0,15.0,120.0,305.0,346.0,70.0,750.0,83.0,37.0,44.6,46.0,55.4,473.0,3386.0,1749.0,69.0,37.0,28.0,58.0,26.0,468.0,145.0,30,1681.0,56.0,54.9,18.7,19,79.0,10.0,11,17.0,1,1.33,29.0,41.0,-12.0,-0.64,-0.38,27.7,34.9,-7.1,-0.38,0.15,1.0,0.0,0.0,26.0,18.0,1.0,36.0,15.0,20.0,0.0,1.0,0.0,88.0,5.0,14.0,26.3
