player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Waldemar Anton,de GER,DF,22.0,34.0,1.0,23.0,4.0,17.4,0.68,0.12,0.04,0.25,13.9,0.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8,1444.0,1733.0,83.3,29662.0,9494.0,422.0,485.0,87.0,801.0,884.0,90.6,207.0,306.0,67.6,0.0,0.2,0.4,-0.2,5.0,67.0,1.0,1.0,96.0,1733.0,1644.0,86.0,74.0,0.0,17.0,5.0,12.0,0.0,0.0,0.0,0.0,1444.0,3.0,25.0,27.0,0.79,21.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,32.0,33.0,14.0,2.0,22.0,50.0,44.0,28.0,56.0,33.0,23.0,69.0,118.0,169.0,3.0,2154.0,263.0,1062.0,1029.0,86.0,30.0,2154.0,26.0,17.0,65.4,9.0,34.6,1165.0,7513.0,4224.0,35.0,20.0,3.0,22.0,15.0,1227.0,17.0,34,3060.0,90.0,100.0,34.0,34,90.0,34.0,0,,0,0.62,31.0,71.0,-40.0,-1.18,,37.2,67.8,-30.6,-0.9,,4.0,0.0,0.0,25.0,19.0,0.0,5.0,69.0,32.0,0.0,1.0,1.0,215.0,83.0,73.0,53.2
Michael Esser,de GER,GK,30.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,881.0,1242.0,70.9,28914.0,21912.0,108.0,108.0,100.0,358.0,368.0,97.3,411.0,756.0,54.4,0.0,0.5,0.4,-0.5,2.0,29.0,1.0,0.0,0.0,1242.0,857.0,381.0,86.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,4.0,2.0,12.0,0.37,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,1.0,4.0,15.0,0.0,1346.0,1071.0,1327.0,19.0,1.0,1.0,1346.0,0.0,0.0,,0.0,,683.0,5087.0,3061.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,1,0.66,29.0,66.0,-37.0,-1.16,0.34,35.0,63.1,-28.2,-0.88,0.31,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,53.0,10.0,2.0,83.3
Pirmin Schwegler,ch SUI,MF,31.0,23.1,0.0,12.0,1.0,8.3,0.52,0.04,0.0,0.0,27.3,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,924.0,1207.0,76.6,15978.0,5513.0,415.0,474.0,87.6,363.0,444.0,81.8,104.0,216.0,48.1,1.0,3.0,2.9,-2.0,41.0,75.0,10.0,0.0,117.0,1207.0,1034.0,169.0,87.0,1.0,3.0,112.0,0.0,80.0,31.0,48.0,1.0,924.0,4.0,17.0,70.0,3.04,34.0,28.0,0.0,1.0,3.0,4.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0,63.0,34.0,30.0,29.0,4.0,34.0,60.0,56.7,26.0,21.0,5.0,16.0,41.0,104.0,54.0,0.0,1456.0,68.0,310.0,883.0,274.0,5.0,1456.0,21.0,16.0,76.2,5.0,23.8,564.0,2667.0,1295.0,13.0,14.0,2.0,13.0,15.0,746.0,11.0,27,2075.0,77.0,67.8,23.1,25,81.0,14.0,2,30.0,1,0.52,19.0,45.0,-26.0,-1.13,0.15,24.3,43.5,-19.2,-0.83,0.2,7.0,0.0,0.0,46.0,35.0,0.0,112.0,41.0,34.0,0.0,0.0,0.0,133.0,33.0,25.0,56.9
Walace,br BRA,MF,23.0,22.2,1.0,19.0,6.0,31.6,0.86,0.27,0.05,0.17,22.7,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,914.0,1078.0,84.8,14511.0,3795.0,469.0,536.0,87.5,334.0,373.0,89.5,66.0,90.0,73.3,1.0,0.6,0.8,0.4,15.0,67.0,8.0,0.0,88.0,1078.0,1040.0,36.0,31.0,2.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,914.0,2.0,20.0,38.0,1.71,33.0,0.0,1.0,1.0,0.0,3.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,52.0,22.0,17.0,28.0,7.0,27.0,61.0,44.3,34.0,30.0,4.0,26.0,45.0,97.0,36.0,1.0,1360.0,70.0,350.0,860.0,185.0,14.0,1360.0,39.0,25.0,64.1,14.0,35.9,746.0,4497.0,2217.0,26.0,20.0,3.0,35.0,32.0,829.0,23.0,26,1996.0,77.0,65.2,22.2,23,84.0,18.0,3,22.0,4,0.77,19.0,43.0,-24.0,-1.08,0.27,25.4,47.7,-22.3,-1.01,-0.31,5.0,0.0,0.0,30.0,26.0,2.0,1.0,45.0,22.0,0.0,0.0,0.0,209.0,54.0,38.0,58.7
Genki Haraguchi,jp JPN,"MF,DF",27.0,23.7,0.0,32.0,6.0,18.8,1.35,0.25,0.0,0.0,20.5,3.0,0.0,0.0,2.6,2.6,0.08,-2.6,-2.6,657.0,869.0,75.6,9839.0,3286.0,379.0,438.0,86.5,212.0,283.0,74.9,43.0,86.0,50.0,3.0,2.8,2.4,0.2,27.0,53.0,21.0,8.0,82.0,869.0,762.0,101.0,5.0,0.0,5.0,37.0,91.0,3.0,2.0,1.0,0.0,657.0,6.0,25.0,63.0,2.66,48.0,0.0,7.0,1.0,6.0,1.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,44.0,26.0,21.0,20.0,3.0,17.0,66.0,25.8,49.0,34.0,5.0,29.0,21.0,65.0,33.0,0.0,1148.0,41.0,276.0,532.0,355.0,40.0,1148.0,75.0,46.0,61.3,29.0,38.7,614.0,4296.0,2179.0,60.0,41.0,16.0,24.0,29.0,692.0,78.0,28,2133.0,76.0,69.7,23.7,22,88.0,20.0,6,34.0,1,0.71,23.0,46.0,-23.0,-0.97,0.68,28.0,47.4,-19.4,-0.82,0.27,1.0,0.0,0.0,32.0,35.0,1.0,37.0,21.0,26.0,0.0,1.0,0.0,118.0,27.0,30.0,47.4
Miiko Albornoz,cl CHI,"DF,MF",27.0,18.4,1.0,11.0,4.0,36.4,0.6,0.22,0.09,0.25,25.5,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,715.0,966.0,74.0,11843.0,4473.0,355.0,406.0,87.4,281.0,365.0,77.0,63.0,135.0,46.7,3.0,1.5,2.2,1.5,18.0,52.0,24.0,13.0,71.0,966.0,756.0,203.0,13.0,0.0,3.0,57.0,188.0,2.0,0.0,2.0,0.0,715.0,7.0,31.0,37.0,2.01,27.0,5.0,2.0,2.0,0.0,1.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,31.0,10.0,5.0,21.0,45.0,46.7,24.0,23.0,3.0,20.0,16.0,62.0,37.0,1.0,1154.0,54.0,337.0,541.0,288.0,15.0,1154.0,25.0,7.0,28.0,18.0,72.0,522.0,2613.0,1244.0,34.0,24.0,5.0,27.0,18.0,644.0,75.0,22,1660.0,75.0,54.2,18.4,19,85.0,16.0,3,15.0,6,0.55,19.0,44.0,-25.0,-1.36,-0.39,18.1,37.6,-19.6,-1.06,-0.35,3.0,1.0,0.0,34.0,37.0,1.0,57.0,16.0,26.0,0.0,1.0,0.0,94.0,8.0,24.0,25.0
Hendrik Weydandt,de GER,FW,23.0,19.1,6.0,62.0,20.0,32.3,3.24,1.04,0.1,0.3,13.0,0.0,0.0,0.0,8.0,8.0,0.13,-2.0,-2.0,251.0,446.0,56.3,3127.0,775.0,159.0,241.0,66.0,56.0,121.0,46.3,9.0,19.0,47.4,1.0,4.5,2.0,-3.5,27.0,23.0,10.0,4.0,31.0,446.0,413.0,30.0,0.0,1.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,251.0,3.0,8.0,53.0,2.77,36.0,0.0,4.0,7.0,6.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,7.0,8.0,3.0,3.0,24.0,12.5,21.0,14.0,4.0,10.0,5.0,23.0,44.0,0.0,781.0,50.0,86.0,382.0,317.0,100.0,781.0,36.0,11.0,30.6,25.0,69.4,364.0,1850.0,650.0,29.0,15.0,14.0,95.0,37.0,552.0,125.0,28,1723.0,62.0,56.3,19.1,18,82.0,11.0,10,25.0,4,0.57,16.0,39.0,-23.0,-1.2,-0.06,22.2,39.7,-17.5,-0.91,-0.03,1.0,0.0,0.0,35.0,27.0,9.0,20.0,5.0,12.0,0.0,0.0,0.0,59.0,124.0,118.0,51.2
Oliver Sorg,de GER,DF,28.0,17.6,0.0,4.0,2.0,50.0,0.23,0.11,0.0,0.0,30.5,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,618.0,841.0,73.5,11845.0,4157.0,263.0,294.0,89.5,250.0,339.0,73.7,94.0,166.0,56.6,0.0,0.5,0.7,-0.5,6.0,54.0,11.0,4.0,65.0,841.0,731.0,106.0,15.0,0.0,11.0,19.0,91.0,0.0,0.0,0.0,0.0,618.0,4.0,15.0,21.0,1.2,17.0,2.0,0.0,0.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,42.0,28.0,26.0,16.0,0.0,20.0,43.0,46.5,23.0,16.0,9.0,7.0,46.0,88.0,47.0,0.0,1033.0,61.0,373.0,568.0,99.0,0.0,1033.0,13.0,9.0,69.2,4.0,30.8,561.0,3225.0,1642.0,25.0,14.0,0.0,10.0,4.0,579.0,22.0,19,1580.0,83.0,51.6,17.6,18,87.0,14.0,1,13.0,6,0.58,15.0,34.0,-19.0,-1.08,0.19,19.8,32.0,-12.2,-0.69,0.42,6.0,1.0,1.0,11.0,28.0,0.0,19.0,46.0,28.0,0.0,0.0,0.0,104.0,10.0,24.0,29.4
Kevin Wimmer,at AUT,DF,25.0,18.7,0.0,3.0,0.0,0.0,0.16,0.0,0.0,,17.2,1.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2,844.0,1046.0,80.7,17953.0,7169.0,245.0,281.0,87.2,444.0,488.0,91.0,144.0,256.0,56.3,0.0,0.5,0.8,-0.5,7.0,63.0,12.0,1.0,79.0,1046.0,989.0,55.0,46.0,1.0,22.0,1.0,9.0,0.0,0.0,0.0,0.0,844.0,2.0,5.0,15.0,0.8,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,17.0,6.0,2.0,15.0,27.0,55.6,12.0,30.0,23.0,7.0,41.0,66.0,63.0,0.0,1223.0,107.0,562.0,635.0,28.0,10.0,1223.0,1.0,0.0,0.0,1.0,100.0,648.0,3231.0,2106.0,9.0,5.0,1.0,5.0,1.0,784.0,0.0,22,1683.0,77.0,55.0,18.7,17,90.0,17.0,5,30.0,10,0.32,14.0,47.0,-33.0,-1.76,-1.31,19.3,39.5,-20.2,-1.08,-0.41,5.0,0.0,0.0,20.0,5.0,1.0,1.0,41.0,17.0,0.0,0.0,0.0,68.0,29.0,23.0,55.8
Linton Maina,de GER,"FW,MF",19.0,15.7,1.0,22.0,2.0,9.1,1.4,0.13,0.05,0.5,19.0,0.0,0.0,0.0,1.6,1.6,0.07,-0.6,-0.6,374.0,505.0,74.1,5082.0,1733.0,225.0,266.0,84.6,112.0,144.0,77.8,13.0,30.0,43.3,3.0,2.7,2.8,0.3,15.0,19.0,23.0,4.0,52.0,505.0,443.0,59.0,2.0,2.0,0.0,26.0,57.0,0.0,0.0,0.0,0.0,374.0,3.0,26.0,45.0,2.86,29.0,1.0,5.0,6.0,3.0,1.0,6.0,0.38,4.0,0.0,1.0,1.0,0.0,0.0,28.0,14.0,13.0,10.0,5.0,12.0,23.0,52.2,11.0,20.0,0.0,20.0,14.0,42.0,4.0,0.0,689.0,13.0,137.0,286.0,283.0,45.0,689.0,42.0,19.0,45.2,23.0,54.8,365.0,2917.0,1684.0,61.0,40.0,16.0,41.0,18.0,397.0,89.0,20,1414.0,71.0,46.2,15.7,17,78.0,4.0,3,27.0,1,0.65,14.0,27.0,-13.0,-0.83,0.65,17.4,29.0,-11.6,-0.74,0.29,0.0,0.0,0.0,9.0,15.0,1.0,26.0,14.0,14.0,0.0,0.0,0.0,92.0,3.0,18.0,14.3
