player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rune Jarstein,no NOR,GK,33.0,30.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,702.0,1160.0,60.5,26311.0,23222.0,78.0,78.0,100.0,204.0,206.0,99.0,414.0,861.0,48.1,0.0,0.0,0.1,0.0,0.0,28.0,0.0,0.0,0.0,1160.0,785.0,368.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,7.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,1226.0,977.0,1224.0,2.0,0.0,0.0,1226.0,0.0,0.0,,0.0,,689.0,3845.0,2613.0,0.0,0.0,0.0,2.0,0.0,511.0,0.0,31,2745.0,89.0,89.7,30.5,31,89.0,30.0,0,,0,1.19,41.0,48.0,-7.0,-0.23,0.06,45.3,54.3,-9.0,-0.3,0.12,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,15.0,1.0,93.8
Valentino Lazaro,at AUT,"DF,FW",22.0,30.5,3.0,20.0,8.0,40.0,0.66,0.26,0.15,0.38,18.3,3.0,0.0,0.0,2.1,2.1,0.11,0.9,0.9,1179.0,1634.0,72.2,19266.0,8435.0,600.0,703.0,85.3,441.0,588.0,75.0,105.0,240.0,43.8,6.0,6.4,5.8,-0.4,55.0,86.0,31.0,12.0,127.0,1634.0,1235.0,389.0,68.0,0.0,11.0,156.0,263.0,58.0,12.0,45.0,0.0,1179.0,10.0,43.0,101.0,3.32,58.0,27.0,7.0,5.0,3.0,1.0,12.0,0.39,7.0,2.0,2.0,1.0,0.0,0.0,46.0,31.0,23.0,17.0,6.0,21.0,53.0,39.6,32.0,52.0,12.0,40.0,44.0,90.0,65.0,0.0,1954.0,80.0,419.0,956.0,605.0,42.0,1954.0,66.0,34.0,51.5,32.0,48.5,1013.0,5273.0,2664.0,73.0,65.0,13.0,42.0,24.0,1065.0,168.0,31,2741.0,88.0,89.6,30.5,31,88.0,29.0,0,,0,1.26,45.0,54.0,-9.0,-0.3,-0.58,46.2,57.0,-10.9,-0.36,-0.47,6.0,0.0,0.0,23.0,28.0,5.0,156.0,44.0,31.0,0.0,0.0,0.0,181.0,20.0,45.0,30.8
Ondrej Duda,sk SVK,MF,23.0,28.5,11.0,54.0,20.0,37.0,1.9,0.7,0.2,0.55,19.3,6.0,0.0,0.0,7.0,7.0,0.13,4.0,4.0,947.0,1266.0,74.8,14111.0,4031.0,527.0,639.0,82.5,282.0,370.0,76.2,80.0,135.0,59.3,5.0,5.8,4.3,-0.8,40.0,87.0,26.0,1.0,141.0,1266.0,1192.0,69.0,20.0,3.0,12.0,51.0,8.0,37.0,17.0,15.0,0.0,947.0,5.0,41.0,93.0,3.27,59.0,14.0,5.0,10.0,4.0,1.0,12.0,0.42,7.0,1.0,0.0,2.0,1.0,1.0,54.0,33.0,13.0,35.0,6.0,15.0,55.0,27.3,40.0,36.0,4.0,32.0,15.0,69.0,17.0,1.0,1601.0,25.0,167.0,990.0,465.0,55.0,1601.0,57.0,38.0,66.7,19.0,33.3,1017.0,4060.0,1663.0,36.0,35.0,11.0,72.0,41.0,1090.0,116.0,32,2563.0,80.0,83.8,28.5,30,84.0,16.0,2,17.0,1,1.25,40.0,49.0,-9.0,-0.32,-0.5,41.5,49.8,-8.3,-0.29,0.09,7.0,0.0,0.0,77.0,45.0,6.0,51.0,15.0,33.0,0.0,0.0,0.0,167.0,31.0,53.0,36.9
Salomon Kalou,ci CIV,"FW,MF",32.0,25.7,8.0,44.0,14.0,31.8,1.71,0.54,0.11,0.36,14.2,1.0,3.0,3.0,10.1,7.7,0.18,-2.1,-2.7,509.0,715.0,71.2,6959.0,2033.0,315.0,402.0,78.4,132.0,182.0,72.5,29.0,44.0,65.9,2.0,5.1,3.9,-3.1,30.0,52.0,27.0,3.0,87.0,715.0,680.0,27.0,1.0,9.0,3.0,21.0,7.0,0.0,0.0,0.0,0.0,509.0,8.0,26.0,74.0,2.87,52.0,0.0,13.0,4.0,4.0,1.0,8.0,0.31,5.0,0.0,2.0,0.0,1.0,0.0,21.0,12.0,5.0,11.0,5.0,6.0,24.0,25.0,18.0,23.0,1.0,22.0,6.0,27.0,25.0,0.0,1003.0,28.0,108.0,491.0,422.0,94.0,1000.0,77.0,55.0,71.4,22.0,28.6,687.0,4562.0,2351.0,77.0,74.0,26.0,74.0,59.0,731.0,184.0,30,2317.0,77.0,75.7,25.7,27,84.0,14.0,3,18.0,1,1.3,36.0,39.0,-3.0,-0.12,0.49,39.8,47.4,-7.7,-0.3,0.04,0.0,0.0,0.0,29.0,23.0,16.0,21.0,6.0,12.0,1.0,0.0,0.0,117.0,38.0,74.0,33.9
Fabian Lustenberger,ch SUI,"DF,MF",30.0,24.1,0.0,2.0,0.0,0.0,0.08,0.0,0.0,,9.0,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,1148.0,1332.0,86.2,22914.0,8135.0,386.0,418.0,92.3,602.0,668.0,90.1,148.0,219.0,67.6,1.0,0.6,0.3,0.4,4.0,45.0,1.0,0.0,67.0,1332.0,1271.0,57.0,55.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1148.0,4.0,8.0,17.0,0.7,14.0,1.0,0.0,1.0,0.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,45.0,30.0,23.0,21.0,1.0,15.0,33.0,45.5,18.0,39.0,18.0,21.0,39.0,84.0,108.0,2.0,1598.0,138.0,726.0,848.0,34.0,3.0,1598.0,4.0,3.0,75.0,1.0,25.0,878.0,2842.0,1021.0,2.0,9.0,3.0,8.0,5.0,927.0,5.0,29,2172.0,75.0,71.0,24.1,24,87.0,22.0,5,17.0,3,1.28,39.0,44.0,-5.0,-0.21,0.1,38.7,42.2,-3.5,-0.15,0.56,2.0,0.0,0.0,17.0,34.0,0.0,0.0,39.0,30.0,0.0,0.0,0.0,139.0,48.0,28.0,63.2
Karim Rekik,nl NED,DF,23.0,23.0,0.0,7.0,2.0,28.6,0.3,0.09,0.0,0.0,14.6,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,1031.0,1172.0,88.0,19833.0,6641.0,359.0,391.0,91.8,540.0,581.0,92.9,118.0,170.0,69.4,0.0,0.1,0.2,-0.1,2.0,37.0,4.0,0.0,76.0,1172.0,1123.0,46.0,46.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,1031.0,3.0,7.0,7.0,0.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,22.0,23.0,12.0,1.0,12.0,18.0,66.7,6.0,24.0,16.0,8.0,34.0,70.0,88.0,0.0,1405.0,137.0,672.0,696.0,43.0,8.0,1405.0,5.0,4.0,80.0,1.0,20.0,879.0,3920.0,1919.0,6.0,7.0,2.0,13.0,7.0,891.0,5.0,24,2068.0,86.0,67.6,23.0,24,86.0,22.0,0,,0,1.13,28.0,41.0,-13.0,-0.57,-1.02,33.5,45.5,-12.1,-0.52,-0.67,4.0,1.0,0.0,16.0,23.0,0.0,5.0,34.0,22.0,0.0,2.0,0.0,118.0,48.0,41.0,53.9
Vedad Ibišević,ba BIH,FW,33.0,20.1,10.0,52.0,19.0,36.5,2.59,0.95,0.17,0.47,11.0,0.0,1.0,1.0,12.4,11.8,0.23,-2.4,-2.8,313.0,437.0,71.6,4476.0,823.0,182.0,245.0,74.3,87.0,111.0,78.4,19.0,32.0,59.4,2.0,1.4,1.7,0.6,17.0,25.0,13.0,1.0,38.0,437.0,392.0,45.0,1.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,9.0,46.0,2.29,35.0,1.0,3.0,4.0,3.0,0.0,7.0,0.35,5.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,2.0,5.0,5.0,0.0,10.0,0.0,10.0,10.0,4.0,6.0,3.0,15.0,20.0,0.0,659.0,26.0,53.0,348.0,263.0,90.0,658.0,24.0,14.0,58.3,9.0,37.5,391.0,1300.0,498.0,14.0,13.0,5.0,70.0,27.0,476.0,111.0,28,1807.0,65.0,59.1,20.1,24,73.0,5.0,4,17.0,1,1.38,33.0,29.0,4.0,0.2,1.06,33.3,30.0,3.3,0.16,1.15,5.0,1.0,0.0,38.0,14.0,25.0,5.0,3.0,8.0,0.0,0.0,1.0,32.0,71.0,79.0,47.3
Arne Maier,de GER,MF,19.0,22.9,0.0,20.0,6.0,30.0,0.87,0.26,0.0,0.0,24.7,0.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,1030.0,1201.0,85.8,16827.0,4444.0,491.0,551.0,89.1,422.0,471.0,89.6,80.0,97.0,82.5,0.0,1.8,1.6,-1.8,19.0,71.0,16.0,2.0,108.0,1201.0,1149.0,45.0,37.0,0.0,6.0,9.0,7.0,0.0,0.0,0.0,0.0,1030.0,7.0,22.0,37.0,1.61,31.0,0.0,3.0,1.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,31.0,16.0,12.0,19.0,0.0,6.0,25.0,24.0,19.0,32.0,9.0,23.0,28.0,59.0,35.0,0.0,1413.0,48.0,275.0,940.0,218.0,15.0,1413.0,31.0,22.0,71.0,9.0,29.0,851.0,3786.0,1861.0,32.0,27.0,5.0,42.0,13.0,946.0,40.0,24,2064.0,86.0,67.5,22.9,23,88.0,18.0,1,45.0,0,1.29,35.0,40.0,-5.0,-0.22,0.05,33.0,43.3,-10.3,-0.45,-0.44,2.0,0.0,0.0,17.0,14.0,0.0,9.0,28.0,16.0,0.0,1.0,0.0,148.0,20.0,21.0,48.8
Marvin Plattenhardt,de GER,DF,26.0,21.4,1.0,11.0,2.0,18.2,0.51,0.09,0.09,0.5,26.7,5.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,825.0,1140.0,72.4,14470.0,6051.0,412.0,444.0,92.8,302.0,418.0,72.2,94.0,217.0,43.3,2.0,3.1,3.5,-1.1,33.0,57.0,21.0,14.0,98.0,1140.0,839.0,293.0,40.0,0.0,16.0,125.0,204.0,49.0,5.0,38.0,1.0,825.0,8.0,29.0,58.0,2.71,32.0,20.0,0.0,2.0,3.0,1.0,6.0,0.28,4.0,1.0,0.0,0.0,1.0,0.0,27.0,21.0,12.0,10.0,5.0,14.0,21.0,66.7,7.0,18.0,3.0,15.0,7.0,34.0,56.0,0.0,1299.0,55.0,296.0,671.0,343.0,8.0,1299.0,19.0,9.0,47.4,10.0,52.6,637.0,3261.0,1840.0,37.0,32.0,2.0,14.0,13.0,685.0,63.0,22,1924.0,87.0,62.9,21.4,22,87.0,20.0,0,,8,1.32,32.0,35.0,-3.0,-0.14,0.26,32.9,36.9,-4.0,-0.19,0.33,4.0,0.0,0.0,25.0,23.0,3.0,125.0,7.0,21.0,0.0,1.0,0.0,104.0,11.0,18.0,37.9
Niklas Stark,de GER,DF,23.0,20.8,1.0,11.0,4.0,36.4,0.53,0.19,0.09,0.25,11.2,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,864.0,1035.0,83.5,16090.0,6403.0,346.0,389.0,88.9,430.0,483.0,89.0,85.0,141.0,60.3,0.0,0.2,0.5,-0.2,3.0,59.0,4.0,1.0,76.0,1035.0,1008.0,23.0,19.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,864.0,4.0,10.0,11.0,0.53,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,23.0,11.0,0.0,9.0,24.0,37.5,15.0,45.0,26.0,19.0,37.0,71.0,141.0,1.0,1325.0,163.0,615.0,684.0,36.0,17.0,1325.0,2.0,1.0,50.0,1.0,50.0,707.0,3340.0,1803.0,21.0,9.0,0.0,3.0,2.0,785.0,4.0,22,1868.0,85.0,61.0,20.8,22,85.0,19.0,0,,1,1.23,29.0,31.0,-2.0,-0.1,0.36,31.2,39.7,-8.5,-0.41,-0.26,5.0,0.0,0.0,20.0,22.0,0.0,3.0,37.0,19.0,0.0,1.0,1.0,76.0,55.0,33.0,62.5
