player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Oliver Baumann,de GER,GK,28.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1023.0,1288.0,79.4,25971.0,18330.0,253.0,254.0,99.6,454.0,460.0,98.7,294.0,546.0,53.8,1.0,0.1,0.1,0.9,2.0,17.0,2.0,0.0,0.0,1288.0,945.0,339.0,91.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,4.0,2.0,6.0,0.18,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,11.0,5.0,1375.0,981.0,1341.0,36.0,0.0,0.0,1375.0,0.0,0.0,,0.0,,728.0,3705.0,2451.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,33,2970.0,90.0,97.1,33.0,33,90.0,33.0,0,,0,1.45,67.0,51.0,16.0,0.48,-1.52,74.0,50.3,23.7,0.72,1.04,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,78.0,6.0,1.0,85.7
Nico Schulz,de GER,DF,25.0,28.2,1.0,30.0,8.0,26.7,1.06,0.28,0.03,0.13,18.4,0.0,0.0,0.0,2.3,2.3,0.08,-1.3,-1.3,1170.0,1565.0,74.8,18979.0,6679.0,624.0,724.0,86.2,422.0,553.0,76.3,100.0,172.0,58.1,5.0,10.5,10.3,-5.5,61.0,77.0,48.0,26.0,103.0,1565.0,1306.0,254.0,7.0,0.0,6.0,129.0,246.0,1.0,0.0,1.0,0.0,1170.0,5.0,77.0,114.0,4.04,91.0,3.0,10.0,4.0,5.0,1.0,11.0,0.39,9.0,1.0,0.0,0.0,1.0,0.0,34.0,20.0,19.0,12.0,3.0,15.0,36.0,41.7,21.0,32.0,4.0,28.0,24.0,58.0,36.0,0.0,1871.0,49.0,399.0,839.0,668.0,97.0,1871.0,104.0,52.0,50.0,52.0,50.0,1060.0,7793.0,4548.0,166.0,82.0,36.0,49.0,22.0,1208.0,255.0,30,2537.0,85.0,82.9,28.2,29,87.0,23.0,1,20.0,1,1.4,53.0,48.0,5.0,0.18,-2.06,61.8,45.0,16.7,0.59,-0.55,6.0,0.0,0.0,30.0,22.0,9.0,129.0,24.0,20.0,2.0,0.0,0.0,158.0,9.0,19.0,32.1
Pavel Kadeřábek,cz CZE,DF,26.0,27.9,3.0,28.0,11.0,39.3,1.0,0.39,0.11,0.27,11.6,0.0,0.0,0.0,3.8,3.8,0.14,-0.8,-0.8,1057.0,1417.0,74.6,16837.0,5973.0,568.0,650.0,87.4,378.0,512.0,73.8,84.0,172.0,48.8,4.0,6.1,5.8,-2.1,43.0,57.0,45.0,28.0,91.0,1417.0,1190.0,225.0,9.0,0.0,5.0,99.0,216.0,0.0,0.0,0.0,0.0,1057.0,2.0,44.0,73.0,2.62,62.0,1.0,1.0,5.0,1.0,3.0,8.0,0.29,7.0,0.0,0.0,1.0,0.0,0.0,30.0,19.0,12.0,13.0,5.0,11.0,24.0,45.8,13.0,37.0,10.0,27.0,34.0,64.0,71.0,1.0,1690.0,84.0,401.0,744.0,554.0,63.0,1690.0,16.0,8.0,50.0,8.0,50.0,848.0,4481.0,2585.0,74.0,63.0,1.0,28.0,13.0,1035.0,224.0,29,2509.0,87.0,82.0,27.9,28,89.0,27.0,1,17.0,2,1.69,62.0,40.0,22.0,0.79,1.44,63.6,43.1,20.5,0.73,0.27,7.0,0.0,0.0,34.0,18.0,1.0,99.0,34.0,19.0,0.0,1.0,0.0,95.0,51.0,31.0,62.2
Andrej Kramarić,hr CRO,"MF,FW",27.0,26.6,17.0,104.0,38.0,36.5,3.91,1.43,0.12,0.32,18.6,8.0,5.0,6.0,21.0,16.3,0.16,-4.0,-4.3,820.0,1077.0,76.1,12282.0,3175.0,467.0,537.0,87.0,237.0,298.0,79.5,64.0,133.0,48.1,4.0,5.7,7.6,-1.7,49.0,77.0,43.0,7.0,128.0,1077.0,966.0,106.0,20.0,6.0,8.0,92.0,23.0,55.0,24.0,20.0,0.0,820.0,5.0,31.0,130.0,4.88,87.0,13.0,11.0,14.0,5.0,0.0,11.0,0.41,10.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,1.0,5.0,3.0,4.0,26.0,15.4,22.0,15.0,3.0,12.0,8.0,17.0,13.0,0.0,1347.0,23.0,136.0,541.0,684.0,151.0,1341.0,52.0,28.0,53.8,24.0,46.2,836.0,5935.0,3333.0,129.0,80.0,41.0,44.0,50.0,987.0,198.0,30,2396.0,80.0,78.3,26.6,28,83.0,18.0,2,36.0,1,1.57,55.0,38.0,17.0,0.64,0.5,59.1,39.2,19.9,0.75,0.28,2.0,0.0,0.0,7.0,19.0,10.0,92.0,8.0,4.0,0.0,0.0,0.0,112.0,8.0,20.0,28.6
Kevin Vogt,de GER,DF,26.0,26.6,0.0,4.0,1.0,25.0,0.15,0.04,0.0,0.0,15.4,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,1658.0,1860.0,89.1,35178.0,13536.0,453.0,486.0,93.2,930.0,1000.0,93.0,263.0,349.0,75.4,0.0,0.2,0.6,-0.2,6.0,107.0,2.0,0.0,126.0,1860.0,1801.0,56.0,51.0,0.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,1658.0,3.0,4.0,27.0,1.02,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,20.0,4.0,0.0,12.0,32.0,37.5,20.0,28.0,11.0,17.0,33.0,57.0,103.0,3.0,2077.0,183.0,920.0,1129.0,41.0,7.0,2077.0,4.0,3.0,75.0,1.0,25.0,1227.0,6023.0,3718.0,28.0,10.0,3.0,7.0,3.0,1434.0,6.0,28,2391.0,85.0,78.1,26.6,28,85.0,24.0,0,,0,1.68,59.0,39.0,20.0,0.75,1.02,61.3,38.6,22.7,0.85,0.76,5.0,0.0,0.0,22.0,11.0,0.0,2.0,33.0,15.0,0.0,2.0,0.0,183.0,37.0,23.0,61.7
Florian Grillitsch,at AUT,MF,22.0,26.6,0.0,32.0,10.0,31.3,1.2,0.38,0.0,0.0,24.0,0.0,0.0,0.0,1.3,1.3,0.04,-1.3,-1.3,1309.0,1579.0,82.9,25026.0,7369.0,500.0,573.0,87.3,598.0,673.0,88.9,184.0,248.0,74.2,3.0,2.9,2.5,0.1,27.0,125.0,20.0,4.0,177.0,1579.0,1502.0,73.0,58.0,3.0,18.0,14.0,14.0,1.0,0.0,0.0,0.0,1309.0,4.0,42.0,85.0,3.2,69.0,2.0,2.0,1.0,6.0,5.0,9.0,0.34,8.0,0.0,0.0,0.0,1.0,0.0,77.0,49.0,30.0,38.0,9.0,36.0,80.0,45.0,44.0,34.0,8.0,26.0,72.0,149.0,56.0,1.0,1899.0,79.0,540.0,1116.0,271.0,18.0,1899.0,32.0,24.0,75.0,8.0,25.0,1000.0,6039.0,3345.0,54.0,41.0,1.0,28.0,11.0,1144.0,14.0,30,2394.0,80.0,78.2,26.6,27,84.0,23.0,3,39.0,1,1.43,51.0,43.0,8.0,0.3,-1.05,56.7,42.4,14.4,0.54,-0.67,8.0,0.0,0.0,41.0,47.0,0.0,14.0,72.0,49.0,0.0,1.0,0.0,213.0,46.0,49.0,48.4
Joelinton,br BRA,"FW,MF",21.0,23.7,7.0,56.0,24.0,42.9,2.37,1.01,0.13,0.29,16.4,0.0,0.0,0.0,8.3,8.3,0.15,-1.3,-1.3,558.0,711.0,78.5,7047.0,1802.0,359.0,422.0,85.1,140.0,174.0,80.5,14.0,25.0,56.0,5.0,5.2,4.6,-0.2,43.0,42.0,32.0,4.0,72.0,711.0,668.0,36.0,2.0,2.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,558.0,7.0,22.0,89.0,3.76,63.0,1.0,14.0,3.0,7.0,1.0,13.0,0.55,10.0,0.0,1.0,1.0,1.0,0.0,35.0,22.0,9.0,20.0,6.0,10.0,30.0,33.3,20.0,36.0,3.0,33.0,14.0,49.0,8.0,0.0,1047.0,17.0,84.0,497.0,479.0,102.0,1047.0,84.0,47.0,56.0,37.0,44.0,643.0,3624.0,1720.0,53.0,46.0,24.0,81.0,62.0,742.0,160.0,28,2130.0,76.0,69.6,23.7,25,82.0,15.0,3,26.0,0,1.43,49.0,32.0,17.0,0.72,0.62,50.1,37.4,12.7,0.54,-0.5,5.0,0.0,0.0,56.0,28.0,4.0,7.0,14.0,22.0,1.0,0.0,0.0,110.0,62.0,96.0,39.2
Kerem Demirbay,de GER,MF,25.0,22.4,4.0,59.0,16.0,27.1,2.63,0.71,0.07,0.25,23.2,4.0,0.0,0.0,4.5,4.5,0.08,-0.5,-0.5,1094.0,1423.0,76.9,19101.0,7357.0,498.0,566.0,88.0,412.0,507.0,81.3,132.0,246.0,53.7,9.0,7.4,7.7,1.6,80.0,131.0,35.0,5.0,181.0,1423.0,1250.0,168.0,67.0,12.0,11.0,130.0,19.0,82.0,31.0,45.0,0.0,1094.0,5.0,21.0,143.0,6.38,81.0,38.0,10.0,7.0,2.0,5.0,12.0,0.54,7.0,3.0,1.0,1.0,0.0,0.0,57.0,35.0,20.0,27.0,10.0,11.0,51.0,21.6,40.0,34.0,10.0,24.0,22.0,79.0,25.0,0.0,1730.0,63.0,305.0,922.0,537.0,32.0,1730.0,76.0,58.0,76.3,18.0,23.7,1025.0,6464.0,3384.0,82.0,73.0,6.0,51.0,52.0,1121.0,66.0,26,2017.0,78.0,65.9,22.4,24,81.0,16.0,2,42.0,1,1.46,47.0,32.0,15.0,0.67,0.41,50.9,32.4,18.5,0.83,0.41,6.0,0.0,0.0,46.0,34.0,2.0,130.0,22.0,35.0,0.0,0.0,0.0,191.0,17.0,21.0,44.7
Ishak Belfodil,dz ALG,"FW,MF",26.0,20.7,16.0,88.0,36.0,40.9,4.25,1.74,0.18,0.44,13.2,1.0,0.0,0.0,12.3,12.3,0.14,3.7,3.7,323.0,463.0,69.8,3979.0,781.0,206.0,263.0,78.3,73.0,120.0,60.8,10.0,15.0,66.7,3.0,5.1,3.1,-2.1,30.0,20.0,10.0,2.0,30.0,463.0,444.0,16.0,0.0,2.0,2.0,19.0,5.0,1.0,0.0,0.0,0.0,323.0,3.0,9.0,77.0,3.72,45.0,1.0,16.0,10.0,5.0,0.0,9.0,0.43,3.0,0.0,2.0,3.0,1.0,0.0,13.0,10.0,5.0,6.0,2.0,4.0,16.0,25.0,12.0,6.0,0.0,6.0,3.0,16.0,14.0,0.0,688.0,14.0,48.0,233.0,419.0,166.0,688.0,55.0,38.0,69.1,17.0,30.9,408.0,2667.0,1345.0,63.0,29.0,39.0,38.0,32.0,538.0,210.0,28,1863.0,67.0,60.9,20.7,20,84.0,13.0,8,22.0,5,1.36,45.0,28.0,17.0,0.82,0.75,49.4,29.0,20.4,0.99,0.77,3.0,0.0,0.0,25.0,14.0,22.0,19.0,3.0,10.0,1.0,0.0,0.0,48.0,48.0,51.0,48.5
Ermin Bičakčić,ba BIH,DF,28.0,19.9,1.0,9.0,4.0,44.4,0.45,0.2,0.11,0.25,7.9,0.0,0.0,0.0,1.5,1.5,0.18,-0.5,-0.5,1034.0,1174.0,88.1,17920.0,6994.0,461.0,504.0,91.5,496.0,537.0,92.4,68.0,109.0,62.4,2.0,0.7,1.0,1.3,5.0,108.0,6.0,1.0,133.0,1174.0,1130.0,41.0,24.0,0.0,5.0,7.0,17.0,0.0,0.0,0.0,0.0,1034.0,3.0,5.0,19.0,0.96,18.0,0.0,0.0,1.0,0.0,0.0,5.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,18.0,11.0,3.0,13.0,22.0,59.1,9.0,36.0,15.0,21.0,56.0,88.0,79.0,1.0,1411.0,119.0,549.0,789.0,78.0,14.0,1411.0,0.0,0.0,,0.0,,761.0,4535.0,2783.0,47.0,17.0,1.0,5.0,8.0,908.0,4.0,25,1790.0,72.0,58.5,19.9,20,84.0,17.0,5,23.0,3,1.72,41.0,30.0,11.0,0.55,0.06,43.1,30.7,12.3,0.62,-0.16,0.0,0.0,0.0,18.0,16.0,2.0,7.0,56.0,19.0,0.0,1.0,1.0,84.0,53.0,31.0,63.1
