player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jonathan Tah,de GER,DF,22.0,32.6,3.0,12.0,4.0,33.3,0.37,0.12,0.25,0.75,10.6,0.0,0.0,0.0,1.1,1.1,0.1,1.9,1.9,2242.0,2503.0,89.6,43318.0,11330.0,723.0,783.0,92.3,1257.0,1354.0,92.8,223.0,298.0,74.8,1.0,0.6,0.9,0.4,7.0,187.0,9.0,1.0,214.0,2503.0,2444.0,54.0,52.0,1.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,2242.0,5.0,12.0,26.0,0.8,25.0,0.0,0.0,1.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,44.0,30.0,30.0,10.0,4.0,17.0,32.0,53.1,15.0,39.0,26.0,13.0,45.0,89.0,142.0,1.0,2810.0,196.0,1018.0,1723.0,82.0,28.0,2810.0,20.0,17.0,85.0,3.0,15.0,1622.0,8543.0,5052.0,23.0,15.0,2.0,15.0,12.0,1969.0,5.0,33,2937.0,89.0,96.0,32.6,33,89.0,31.0,0,,0,1.73,67.0,51.0,16.0,0.49,-0.24,56.7,42.8,13.9,0.43,0.14,3.0,0.0,0.0,16.0,13.0,2.0,3.0,45.0,30.0,0.0,2.0,0.0,267.0,74.0,33.0,69.2
Kai Havertz,de GER,"MF,FW",19.0,32.2,17.0,84.0,39.0,46.4,2.61,1.21,0.17,0.36,17.1,3.0,3.0,3.0,12.1,9.7,0.12,4.9,4.3,1573.0,1827.0,86.1,23164.0,4753.0,863.0,959.0,90.0,488.0,544.0,89.7,109.0,133.0,82.0,3.0,3.0,5.0,0.0,35.0,123.0,45.0,2.0,207.0,1827.0,1790.0,33.0,15.0,5.0,21.0,23.0,10.0,3.0,0.0,0.0,0.0,1573.0,4.0,35.0,127.0,3.95,96.0,1.0,7.0,8.0,12.0,3.0,18.0,0.56,16.0,0.0,0.0,1.0,1.0,0.0,26.0,17.0,10.0,11.0,5.0,8.0,32.0,25.0,24.0,31.0,4.0,27.0,16.0,42.0,29.0,0.0,2217.0,35.0,204.0,1214.0,825.0,124.0,2214.0,87.0,48.0,55.2,39.0,44.8,1265.0,7385.0,3251.0,107.0,68.0,29.0,75.0,68.0,1831.0,263.0,34,2894.0,85.0,94.6,32.2,33,86.0,27.0,1,45.0,0,1.71,65.0,49.0,16.0,0.5,-0.04,56.6,41.4,15.2,0.47,0.97,2.0,0.0,0.0,24.0,52.0,4.0,23.0,16.0,17.0,0.0,0.0,0.0,160.0,55.0,62.0,47.0
Lukáš Hrádecký,fi FIN,GK,28.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1066.0,1355.0,78.7,29888.0,21458.0,154.0,154.0,100.0,523.0,535.0,97.8,387.0,659.0,58.7,0.0,0.1,0.3,-0.1,1.0,17.0,1.0,0.0,0.0,1355.0,1080.0,273.0,80.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,2.0,2.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1418.0,1019.0,1403.0,15.0,0.0,0.0,1418.0,0.0,0.0,,0.0,,754.0,4675.0,2831.0,0.0,0.0,0.0,1.0,0.0,822.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,1,1.81,68.0,47.0,21.0,0.66,2.66,56.2,39.0,17.2,0.54,1.98,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,7.0,0.0,100.0
Kevin Volland,de GER,FW,26.0,31.3,14.0,87.0,43.0,49.4,2.78,1.38,0.16,0.33,14.2,2.0,0.0,0.0,13.8,13.8,0.16,0.2,0.2,675.0,929.0,72.7,9794.0,2590.0,366.0,440.0,83.2,208.0,273.0,76.2,43.0,77.0,55.8,9.0,8.4,6.8,0.6,43.0,54.0,41.0,14.0,93.0,929.0,853.0,70.0,2.0,5.0,2.0,49.0,14.0,1.0,0.0,0.0,0.0,675.0,6.0,43.0,90.0,2.88,64.0,0.0,8.0,7.0,10.0,1.0,17.0,0.54,11.0,0.0,0.0,2.0,4.0,0.0,33.0,20.0,7.0,14.0,12.0,13.0,27.0,48.1,14.0,17.0,1.0,16.0,6.0,39.0,33.0,0.0,1280.0,37.0,121.0,583.0,584.0,161.0,1280.0,56.0,31.0,55.4,25.0,44.6,653.0,3139.0,1377.0,65.0,32.0,28.0,95.0,57.0,964.0,263.0,34,2814.0,83.0,92.0,31.3,32,87.0,24.0,2,19.0,0,1.71,65.0,49.0,16.0,0.51,0.15,55.4,40.1,15.3,0.49,0.85,4.0,0.0,0.0,40.0,51.0,22.0,49.0,6.0,20.0,3.0,1.0,0.0,89.0,34.0,57.0,37.4
Julian Brandt,de GER,"MF,FW",22.0,29.6,7.0,65.0,25.0,38.5,2.19,0.84,0.11,0.28,18.6,3.0,0.0,0.0,8.0,8.0,0.12,-1.0,-1.0,1443.0,1877.0,76.9,22326.0,6507.0,767.0,878.0,87.4,430.0,538.0,79.9,145.0,265.0,54.7,11.0,9.3,8.9,1.7,86.0,126.0,65.0,9.0,198.0,1877.0,1698.0,173.0,53.0,6.0,22.0,147.0,20.0,98.0,49.0,40.0,0.0,1443.0,6.0,44.0,176.0,5.94,123.0,27.0,11.0,10.0,4.0,1.0,31.0,1.05,22.0,5.0,1.0,2.0,1.0,0.0,27.0,16.0,13.0,10.0,4.0,7.0,43.0,16.3,36.0,27.0,1.0,26.0,17.0,44.0,12.0,1.0,2198.0,12.0,252.0,1034.0,936.0,112.0,2198.0,97.0,55.0,56.7,42.0,43.3,1170.0,7752.0,3635.0,107.0,78.0,29.0,76.0,50.0,1678.0,291.0,33,2666.0,81.0,87.1,29.6,30,85.0,20.0,3,35.0,1,1.67,64.0,46.0,18.0,0.61,0.84,52.6,38.7,13.9,0.47,0.37,0.0,0.0,0.0,13.0,22.0,3.0,147.0,17.0,16.0,0.0,0.0,0.0,189.0,28.0,35.0,44.4
Wendell,br BRA,DF,25.0,25.3,2.0,9.0,4.0,44.4,0.36,0.16,0.11,0.25,26.1,1.0,1.0,2.0,2.8,1.3,0.14,-0.8,-0.3,1614.0,1917.0,84.2,25850.0,8645.0,803.0,870.0,92.3,650.0,756.0,86.0,98.0,168.0,58.3,2.0,1.9,2.5,0.1,16.0,95.0,14.0,5.0,128.0,1917.0,1656.0,258.0,29.0,2.0,15.0,37.0,227.0,2.0,1.0,1.0,0.0,1614.0,3.0,42.0,40.0,1.58,35.0,1.0,0.0,1.0,1.0,2.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,75.0,48.0,47.0,24.0,4.0,34.0,57.0,59.6,23.0,49.0,13.0,36.0,29.0,104.0,66.0,0.0,2199.0,83.0,610.0,1298.0,308.0,17.0,2197.0,15.0,7.0,46.7,8.0,53.3,975.0,4690.0,2861.0,51.0,41.0,2.0,27.0,6.0,1376.0,64.0,28,2277.0,81.0,74.4,25.3,25,88.0,22.0,3,28.0,5,1.75,54.0,39.0,15.0,0.59,0.36,43.3,34.1,9.2,0.36,-0.22,5.0,0.0,0.0,37.0,13.0,1.0,37.0,29.0,48.0,0.0,0.0,0.0,160.0,40.0,41.0,49.4
Sven Bender,de GER,DF,29.0,22.1,0.0,14.0,3.0,21.4,0.63,0.14,0.0,0.0,13.0,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,1515.0,1676.0,90.4,29326.0,9731.0,502.0,549.0,91.4,831.0,881.0,94.3,165.0,205.0,80.5,0.0,0.2,0.3,-0.2,3.0,53.0,4.0,0.0,94.0,1676.0,1635.0,34.0,33.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1515.0,7.0,9.0,14.0,0.63,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,25.0,15.0,0.0,18.0,30.0,60.0,12.0,31.0,14.0,17.0,52.0,92.0,98.0,0.0,1939.0,132.0,798.0,1103.0,49.0,18.0,1939.0,6.0,5.0,83.3,1.0,16.7,1000.0,5272.0,2410.0,12.0,7.0,1.0,13.0,3.0,1303.0,0.0,27,1991.0,74.0,65.1,22.1,25,79.0,19.0,2,3.0,2,1.81,49.0,35.0,14.0,0.63,0.38,38.4,27.5,10.9,0.49,0.21,3.0,0.0,0.0,21.0,12.0,2.0,0.0,52.0,25.0,0.0,0.0,1.0,152.0,73.0,49.0,59.8
Mitchell Weiser,de GER,DF,24.0,23.5,1.0,12.0,6.0,50.0,0.51,0.26,0.08,0.17,20.1,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,1271.0,1601.0,79.4,17889.0,7146.0,769.0,844.0,91.1,378.0,477.0,79.2,56.0,132.0,42.4,3.0,3.6,4.3,-0.6,30.0,82.0,41.0,15.0,113.0,1601.0,1354.0,244.0,16.0,2.0,6.0,84.0,228.0,0.0,0.0,0.0,0.0,1271.0,3.0,42.0,59.0,2.51,48.0,3.0,3.0,1.0,1.0,3.0,6.0,0.26,5.0,0.0,0.0,1.0,0.0,0.0,63.0,37.0,34.0,22.0,7.0,26.0,50.0,52.0,24.0,31.0,3.0,28.0,27.0,90.0,48.0,0.0,1888.0,65.0,404.0,908.0,590.0,42.0,1888.0,58.0,30.0,51.7,28.0,48.3,792.0,3919.0,2231.0,72.0,44.0,9.0,41.0,30.0,1220.0,180.0,30,2111.0,70.0,69.0,23.5,22,86.0,16.0,8,28.0,4,1.8,52.0,38.0,14.0,0.6,0.31,41.8,30.8,10.9,0.46,0.15,3.0,0.0,0.0,32.0,38.0,4.0,84.0,27.0,37.0,0.0,1.0,1.0,109.0,21.0,44.0,32.3
Charles Aránguiz,cl CHI,MF,29.0,21.0,2.0,23.0,5.0,21.7,1.09,0.24,0.09,0.4,23.3,3.0,0.0,0.0,1.4,1.4,0.06,0.6,0.6,1457.0,1661.0,87.7,23354.0,7729.0,739.0,796.0,92.8,525.0,576.0,91.1,120.0,155.0,77.4,7.0,3.4,3.5,3.6,30.0,170.0,24.0,5.0,207.0,1661.0,1593.0,60.0,43.0,2.0,11.0,24.0,3.0,14.0,7.0,7.0,0.0,1457.0,8.0,25.0,72.0,3.42,64.0,4.0,0.0,3.0,1.0,0.0,13.0,0.62,12.0,0.0,0.0,1.0,0.0,0.0,48.0,30.0,21.0,22.0,5.0,21.0,66.0,31.8,45.0,31.0,2.0,29.0,25.0,73.0,27.0,1.0,1888.0,44.0,302.0,1244.0,353.0,37.0,1888.0,16.0,9.0,56.3,7.0,43.8,865.0,3968.0,2115.0,27.0,27.0,1.0,28.0,27.0,1381.0,63.0,24,1891.0,79.0,61.8,21.0,22,82.0,15.0,2,48.0,2,1.83,43.0,26.0,17.0,0.81,0.81,38.9,22.1,16.9,0.8,1.0,3.0,0.0,0.0,27.0,32.0,0.0,24.0,25.0,30.0,0.0,0.0,0.0,160.0,12.0,11.0,52.2
Leon Bailey,jm JAM,FW,20.0,21.3,5.0,56.0,17.0,30.4,2.63,0.8,0.09,0.29,21.0,13.0,0.0,0.0,5.0,5.0,0.09,0.0,0.0,623.0,950.0,65.6,9939.0,2836.0,327.0,403.0,81.1,194.0,277.0,70.0,63.0,170.0,37.1,1.0,4.4,4.7,-3.4,47.0,37.0,33.0,15.0,72.0,950.0,831.0,117.0,21.0,0.0,13.0,163.0,24.0,71.0,37.0,30.0,1.0,623.0,2.0,45.0,90.0,4.23,54.0,14.0,9.0,7.0,6.0,0.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,15.0,11.0,9.0,2.0,4.0,6.0,20.0,30.0,14.0,20.0,0.0,20.0,14.0,29.0,11.0,0.0,1203.0,17.0,145.0,454.0,626.0,87.0,1203.0,77.0,53.0,68.8,24.0,31.2,664.0,4893.0,2471.0,102.0,46.0,26.0,63.0,43.0,834.0,240.0,29,1914.0,66.0,62.5,21.3,21,80.0,8.0,8,30.0,1,1.55,36.0,36.0,0.0,0.0,-1.34,33.9,29.2,4.7,0.22,-0.53,4.0,0.0,0.0,17.0,34.0,6.0,163.0,14.0,11.0,0.0,0.0,0.0,126.0,13.0,14.0,48.1
