player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Tim Leibold,de GER,DF,24.0,30.7,0.0,27.0,5.0,18.5,0.88,0.16,0.0,0.0,22.8,3.0,0.0,1.0,2.0,1.2,0.04,-2.0,-1.2,1225.0,1594.0,76.9,20828.0,7777.0,623.0,696.0,89.5,427.0,532.0,80.3,129.0,259.0,49.8,2.0,2.7,3.4,-0.7,37.0,60.0,23.0,7.0,111.0,1594.0,1247.0,341.0,57.0,2.0,32.0,94.0,252.0,32.0,8.0,21.0,1.0,1225.0,6.0,34.0,81.0,2.64,46.0,21.0,1.0,5.0,6.0,2.0,3.0,0.1,1.0,1.0,0.0,0.0,1.0,0.0,62.0,42.0,45.0,16.0,1.0,33.0,71.0,46.5,38.0,23.0,3.0,20.0,38.0,100.0,57.0,0.0,1880.0,82.0,592.0,875.0,436.0,32.0,1879.0,48.0,25.0,52.1,23.0,47.9,878.0,5762.0,3236.0,85.0,55.0,13.0,39.0,19.0,1055.0,106.0,32,2765.0,86.0,90.4,30.7,32,86.0,29.0,0,,0,0.59,23.0,62.0,-39.0,-1.27,-0.35,32.1,44.9,-12.8,-0.42,0.92,6.0,1.0,0.0,31.0,42.0,2.0,94.0,38.0,42.0,2.0,1.0,0.0,188.0,34.0,25.0,57.6
Lukas Mühl,de GER,DF,21.0,31.0,1.0,12.0,2.0,16.7,0.39,0.06,0.08,0.5,13.5,0.0,0.0,0.0,1.0,1.0,0.09,0.0,0.0,1227.0,1465.0,83.8,25664.0,7797.0,340.0,377.0,90.2,702.0,764.0,91.9,171.0,292.0,58.6,0.0,0.8,0.8,-0.8,4.0,55.0,1.0,0.0,70.0,1465.0,1423.0,38.0,32.0,1.0,23.0,3.0,6.0,0.0,0.0,0.0,0.0,1227.0,4.0,7.0,14.0,0.45,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,34.0,49.0,6.0,2.0,32.0,51.0,62.7,19.0,53.0,18.0,35.0,48.0,105.0,139.0,2.0,1798.0,213.0,1011.0,759.0,42.0,18.0,1798.0,8.0,7.0,87.5,1.0,12.5,991.0,5927.0,3704.0,14.0,7.0,0.0,7.0,4.0,1153.0,5.0,31,2790.0,90.0,91.2,31.0,31,90.0,31.0,0,,2,0.58,23.0,62.0,-39.0,-1.26,-0.26,33.0,47.5,-14.5,-0.47,0.43,4.0,0.0,0.0,25.0,7.0,0.0,3.0,48.0,34.0,0.0,0.0,1.0,123.0,46.0,49.0,48.4
Hanno Behrens,de GER,MF,28.0,29.3,4.0,35.0,6.0,17.1,1.19,0.2,0.06,0.33,17.4,0.0,2.0,4.0,7.9,4.8,0.14,-3.9,-2.8,617.0,920.0,67.1,9110.0,2953.0,332.0,436.0,76.1,211.0,300.0,70.3,37.0,92.0,40.2,1.0,1.5,2.2,-0.5,21.0,45.0,13.0,0.0,78.0,920.0,885.0,30.0,25.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,617.0,5.0,31.0,61.0,2.08,48.0,0.0,1.0,9.0,2.0,1.0,4.0,0.14,2.0,0.0,0.0,2.0,0.0,0.0,46.0,26.0,29.0,17.0,0.0,21.0,47.0,44.7,26.0,43.0,13.0,30.0,33.0,79.0,49.0,0.0,1233.0,82.0,372.0,603.0,271.0,77.0,1229.0,16.0,8.0,50.0,8.0,50.0,500.0,2637.0,1278.0,25.0,20.0,4.0,41.0,15.0,692.0,54.0,30,2639.0,88.0,86.2,29.3,30,88.0,26.0,0,,0,0.63,25.0,58.0,-33.0,-1.13,0.8,30.7,44.4,-13.7,-0.47,0.29,3.0,0.0,0.0,40.0,23.0,3.0,4.0,33.0,26.0,0.0,1.0,0.0,145.0,99.0,131.0,43.0
Georg Margreitter,at AUT,DF,29.0,22.9,2.0,16.0,4.0,25.0,0.7,0.17,0.13,0.5,12.2,0.0,0.0,0.0,1.2,1.2,0.07,0.8,0.8,992.0,1216.0,81.6,20854.0,7967.0,299.0,327.0,91.4,533.0,606.0,88.0,151.0,260.0,58.1,0.0,0.3,0.7,-0.3,3.0,67.0,8.0,1.0,113.0,1216.0,1178.0,37.0,34.0,0.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,992.0,1.0,7.0,20.0,0.87,15.0,1.0,0.0,1.0,2.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,39.0,24.0,28.0,8.0,3.0,31.0,38.0,81.6,7.0,29.0,26.0,3.0,26.0,65.0,141.0,0.0,1494.0,195.0,767.0,673.0,60.0,26.0,1494.0,9.0,5.0,55.6,4.0,44.4,788.0,4347.0,2686.0,18.0,5.0,0.0,8.0,7.0,957.0,5.0,27,2064.0,76.0,67.5,22.9,22,90.0,22.0,5,16.0,2,0.59,20.0,55.0,-35.0,-1.53,-0.89,25.1,36.6,-11.5,-0.5,0.01,2.0,0.0,0.0,10.0,14.0,1.0,3.0,26.0,24.0,1.0,0.0,0.0,94.0,59.0,34.0,63.4
Christian Mathenia,de GER,GK,26.0,21.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,565.0,888.0,63.6,18770.0,14715.0,60.0,61.0,98.4,254.0,260.0,97.7,250.0,560.0,44.6,0.0,0.1,0.1,-0.1,1.0,22.0,1.0,0.0,0.0,888.0,606.0,277.0,59.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,5.0,0.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,18.0,2.0,962.0,810.0,959.0,3.0,0.0,0.0,962.0,1.0,1.0,100.0,0.0,0.0,431.0,2552.0,1808.0,0.0,0.0,0.0,1.0,0.0,430.0,0.0,22,1932.0,88.0,63.1,21.5,22,88.0,21.0,0,,7,0.45,17.0,40.0,-23.0,-1.07,0.44,22.5,34.4,-11.9,-0.55,-0.12,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,13.0,1.0,92.9
Mikael Ishak,se SWE,FW,25.0,21.3,4.0,37.0,13.0,35.1,1.74,0.61,0.11,0.31,19.4,1.0,0.0,1.0,4.5,3.8,0.1,-0.5,0.2,293.0,425.0,68.9,4042.0,721.0,170.0,224.0,75.9,91.0,124.0,73.4,13.0,22.0,59.1,3.0,2.1,2.1,0.9,21.0,11.0,10.0,3.0,27.0,425.0,359.0,64.0,1.0,0.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,293.0,2.0,18.0,50.0,2.35,35.0,0.0,1.0,7.0,6.0,1.0,5.0,0.23,4.0,0.0,0.0,1.0,0.0,0.0,9.0,6.0,3.0,6.0,0.0,3.0,16.0,18.8,13.0,8.0,3.0,5.0,3.0,12.0,10.0,0.0,580.0,15.0,52.0,293.0,242.0,56.0,579.0,23.0,16.0,69.6,7.0,30.4,314.0,1408.0,591.0,25.0,17.0,11.0,45.0,21.0,387.0,100.0,29,1917.0,66.0,62.6,21.3,22,82.0,12.0,7,17.0,1,0.59,20.0,41.0,-21.0,-0.99,0.67,23.7,31.3,-7.6,-0.36,0.4,1.0,0.0,0.0,24.0,33.0,14.0,9.0,3.0,6.0,0.0,0.0,0.0,66.0,32.0,80.0,28.6
Robert Bauer,de GER,DF,23.0,19.1,0.0,8.0,1.0,12.5,0.42,0.05,0.0,0.0,27.8,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,583.0,824.0,70.8,9851.0,4200.0,271.0,315.0,86.0,248.0,332.0,74.7,48.0,118.0,40.7,0.0,1.1,1.0,-1.1,12.0,54.0,10.0,4.0,72.0,824.0,617.0,202.0,23.0,0.0,5.0,51.0,167.0,12.0,0.0,11.0,0.0,583.0,5.0,31.0,30.0,1.57,17.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,32.0,13.0,3.0,20.0,39.0,51.3,19.0,19.0,5.0,14.0,28.0,76.0,80.0,0.0,1037.0,99.0,362.0,465.0,220.0,4.0,1037.0,7.0,4.0,57.1,3.0,42.9,388.0,2253.0,1293.0,31.0,24.0,1.0,16.0,6.0,476.0,49.0,22,1722.0,78.0,56.3,19.1,19,87.0,14.0,3,24.0,7,0.41,13.0,39.0,-26.0,-1.36,-0.28,20.5,28.6,-8.1,-0.42,0.19,4.0,1.0,1.0,19.0,17.0,0.0,51.0,28.0,29.0,0.0,0.0,0.0,85.0,13.0,26.0,33.3
Ondřej Petrák,cz CZE,MF,26.0,18.0,0.0,14.0,4.0,28.6,0.78,0.22,0.0,0.0,23.5,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,608.0,715.0,85.0,9889.0,2903.0,277.0,319.0,86.8,263.0,289.0,91.0,40.0,64.0,62.5,0.0,0.3,0.3,-0.3,6.0,50.0,1.0,1.0,44.0,715.0,696.0,16.0,15.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,608.0,3.0,10.0,21.0,1.16,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,17.0,18.0,1.0,14.0,25.0,56.0,11.0,18.0,4.0,14.0,40.0,76.0,22.0,0.0,884.0,44.0,267.0,535.0,88.0,10.0,884.0,7.0,5.0,71.4,2.0,28.6,393.0,1811.0,796.0,6.0,3.0,1.0,17.0,11.0,502.0,15.0,22,1624.0,74.0,53.1,18.0,18,87.0,14.0,4,15.0,5,0.59,15.0,35.0,-20.0,-1.11,0.27,20.5,27.8,-7.3,-0.4,0.22,5.0,0.0,0.0,29.0,17.0,0.0,3.0,40.0,24.0,0.0,1.0,0.0,82.0,43.0,12.0,78.2
Eduard Löwen,de GER,"MF,FW",21.0,18.0,3.0,37.0,13.0,35.1,2.05,0.72,0.08,0.23,25.0,7.0,0.0,0.0,3.1,3.1,0.08,-0.1,-0.1,540.0,729.0,74.1,9520.0,3427.0,254.0,309.0,82.2,204.0,251.0,81.3,66.0,112.0,58.9,2.0,1.9,1.9,0.1,15.0,66.0,14.0,3.0,98.0,729.0,689.0,38.0,22.0,3.0,7.0,16.0,14.0,0.0,0.0,0.0,0.0,540.0,2.0,25.0,50.0,2.77,36.0,1.0,2.0,7.0,4.0,0.0,6.0,0.33,3.0,0.0,1.0,2.0,0.0,0.0,30.0,22.0,14.0,13.0,3.0,11.0,34.0,32.4,23.0,15.0,2.0,13.0,8.0,38.0,23.0,0.0,955.0,36.0,196.0,526.0,247.0,21.0,955.0,63.0,29.0,46.0,34.0,54.0,553.0,3707.0,1997.0,46.0,32.0,6.0,36.0,35.0,632.0,59.0,22,1623.0,74.0,53.0,18.0,17,88.0,13.0,5,26.0,1,0.68,17.0,37.0,-20.0,-1.11,0.27,19.7,28.4,-8.8,-0.49,0.05,3.0,0.0,0.0,18.0,26.0,0.0,16.0,8.0,22.0,0.0,0.0,0.0,121.0,18.0,31.0,36.7
Virgil Misidjan,nl NED,"MF,FW",25.0,17.1,1.0,23.0,8.0,34.8,1.34,0.47,0.04,0.13,19.5,0.0,0.0,0.0,2.5,2.5,0.11,-1.5,-1.5,269.0,395.0,68.1,3858.0,943.0,170.0,203.0,83.7,64.0,106.0,60.4,21.0,39.0,53.8,1.0,0.9,2.6,0.1,8.0,15.0,15.0,5.0,39.0,395.0,373.0,21.0,1.0,2.0,3.0,48.0,13.0,0.0,0.0,0.0,0.0,269.0,1.0,21.0,35.0,2.04,20.0,0.0,4.0,3.0,8.0,0.0,3.0,0.17,2.0,0.0,0.0,0.0,1.0,0.0,21.0,13.0,10.0,5.0,6.0,4.0,25.0,16.0,21.0,17.0,0.0,17.0,9.0,30.0,5.0,0.0,650.0,5.0,86.0,269.0,316.0,38.0,650.0,96.0,41.0,42.7,55.0,57.3,465.0,4137.0,1852.0,62.0,50.0,10.0,54.0,46.0,474.0,135.0,23,1543.0,67.0,50.4,17.1,17,81.0,10.0,6,27.0,1,0.52,11.0,42.0,-31.0,-1.81,-1.16,14.7,29.3,-14.6,-0.85,-0.7,5.0,0.0,0.0,35.0,54.0,10.0,48.0,9.0,13.0,1.0,0.0,0.0,84.0,17.0,25.0,40.5
