player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Matthias Zimmermann,de GER,"DF,MF",27.0,32.5,1.0,16.0,1.0,6.3,0.49,0.03,0.06,1.0,22.9,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,1154.0,1638.0,70.5,20507.0,8384.0,515.0,612.0,84.2,500.0,680.0,73.5,115.0,260.0,44.2,2.0,2.2,2.4,-0.2,25.0,130.0,34.0,21.0,193.0,1638.0,1378.0,251.0,13.0,2.0,14.0,125.0,238.0,0.0,0.0,0.0,0.0,1154.0,9.0,38.0,61.0,1.88,52.0,6.0,1.0,0.0,1.0,1.0,7.0,0.22,6.0,1.0,0.0,0.0,0.0,0.0,62.0,47.0,26.0,27.0,9.0,31.0,64.0,48.4,33.0,41.0,15.0,26.0,43.0,105.0,59.0,0.0,1946.0,88.0,504.0,939.0,517.0,22.0,1946.0,35.0,15.0,42.9,20.0,57.1,861.0,4267.0,2368.0,59.0,39.0,3.0,30.0,8.0,1090.0,118.0,34,2923.0,86.0,95.5,32.5,33,88.0,30.0,1,25.0,0,0.88,35.0,65.0,-30.0,-0.92,-0.27,34.0,59.6,-25.6,-0.79,-1.26,4.0,0.0,0.0,37.0,23.0,7.0,125.0,43.0,47.0,0.0,1.0,0.0,149.0,31.0,38.0,44.9
Kaan Ayhan,tr TUR,DF,24.0,30.3,2.0,29.0,5.0,17.2,0.96,0.16,0.07,0.4,17.9,8.0,0.0,0.0,2.2,2.2,0.07,-0.2,-0.2,1502.0,1816.0,82.7,31572.0,12222.0,535.0,579.0,92.4,677.0,764.0,88.6,265.0,413.0,64.2,3.0,2.3,1.7,0.7,18.0,124.0,14.0,3.0,161.0,1816.0,1670.0,140.0,55.0,4.0,67.0,23.0,85.0,0.0,0.0,0.0,0.0,1502.0,6.0,20.0,47.0,1.55,41.0,0.0,0.0,3.0,1.0,2.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,26.0,11.0,1.0,20.0,37.0,54.1,17.0,28.0,15.0,13.0,45.0,83.0,72.0,1.0,2051.0,117.0,850.0,1010.0,210.0,26.0,2051.0,18.0,14.0,77.8,4.0,22.2,1144.0,6618.0,4266.0,52.0,25.0,2.0,10.0,4.0,1358.0,25.0,31,2731.0,88.0,89.2,30.3,31,88.0,29.0,0,,0,0.94,34.0,54.0,-20.0,-0.66,2.35,34.0,51.2,-17.2,-0.57,1.52,10.0,0.0,0.0,36.0,20.0,3.0,23.0,45.0,25.0,0.0,1.0,0.0,165.0,43.0,57.0,43.0
Rouwen Hennings,de GER,FW,31.0,27.3,15.0,69.0,23.0,33.3,2.53,0.84,0.16,0.48,17.4,2.0,4.0,4.0,10.8,7.7,0.11,4.2,3.3,434.0,642.0,67.6,6451.0,1200.0,242.0,315.0,76.8,143.0,203.0,70.4,26.0,49.0,53.1,0.0,1.1,1.6,-1.1,22.0,31.0,13.0,5.0,58.0,642.0,559.0,80.0,0.0,3.0,5.0,30.0,4.0,0.0,0.0,0.0,0.0,434.0,3.0,26.0,63.0,2.31,48.0,2.0,1.0,6.0,5.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,7.0,2.0,3.0,18.0,16.7,15.0,12.0,0.0,12.0,2.0,13.0,33.0,0.0,880.0,40.0,70.0,423.0,394.0,99.0,876.0,29.0,12.0,41.4,17.0,58.6,382.0,1538.0,487.0,13.0,14.0,8.0,41.0,18.0,575.0,164.0,32,2459.0,77.0,80.4,27.3,27,88.0,22.0,5,18.0,1,0.94,31.0,56.0,-25.0,-0.92,-0.02,30.7,47.2,-16.5,-0.6,0.65,4.0,0.0,0.0,24.0,32.0,11.0,30.0,2.0,5.0,0.0,1.0,0.0,67.0,48.0,84.0,36.4
André Hoffmann,de GER,DF,26.0,27.0,2.0,14.0,4.0,28.6,0.52,0.15,0.14,0.5,15.9,0.0,0.0,0.0,1.1,1.1,0.08,0.9,0.9,1221.0,1377.0,88.7,25592.0,8471.0,318.0,347.0,91.6,711.0,761.0,93.4,177.0,240.0,73.8,1.0,0.4,0.6,0.6,2.0,31.0,2.0,0.0,53.0,1377.0,1316.0,60.0,52.0,0.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,1221.0,1.0,9.0,12.0,0.44,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,48.0,22.0,30.0,18.0,0.0,16.0,50.0,32.0,34.0,22.0,9.0,13.0,56.0,104.0,90.0,0.0,1631.0,171.0,964.0,646.0,33.0,18.0,1631.0,2.0,2.0,100.0,0.0,0.0,880.0,4397.0,1839.0,3.0,6.0,1.0,6.0,1.0,1031.0,2.0,29,2428.0,84.0,79.3,27.0,27,87.0,23.0,2,43.0,3,1.0,30.0,51.0,-21.0,-0.78,0.65,27.5,45.8,-18.3,-0.68,0.26,7.0,0.0,0.0,19.0,13.0,0.0,2.0,56.0,22.0,0.0,0.0,0.0,132.0,66.0,51.0,56.4
Erik Thommy,de GER,"MF,FW",24.0,25.1,6.0,61.0,21.0,34.4,2.43,0.84,0.1,0.29,22.6,2.0,0.0,0.0,4.6,4.6,0.07,1.4,1.4,618.0,888.0,69.6,10085.0,2815.0,314.0,371.0,84.6,221.0,284.0,77.8,54.0,135.0,40.0,4.0,4.9,3.8,-0.9,39.0,43.0,25.0,12.0,90.0,888.0,779.0,105.0,32.0,2.0,11.0,144.0,23.0,50.0,10.0,31.0,0.0,618.0,4.0,44.0,100.0,3.98,47.0,19.0,15.0,6.0,13.0,0.0,14.0,0.56,6.0,4.0,3.0,0.0,1.0,0.0,40.0,23.0,16.0,16.0,8.0,15.0,39.0,38.5,24.0,23.0,2.0,21.0,16.0,56.0,20.0,1.0,1174.0,22.0,178.0,453.0,567.0,60.0,1174.0,67.0,45.0,67.2,22.0,32.8,665.0,5050.0,2745.0,108.0,65.0,26.0,43.0,44.0,760.0,177.0,34,2259.0,66.0,73.8,25.1,25,81.0,11.0,9,25.0,0,0.88,32.0,46.0,-14.0,-0.56,1.35,27.6,44.4,-16.8,-0.67,0.24,3.0,0.0,0.0,17.0,59.0,7.0,144.0,16.0,23.0,1.0,0.0,1.0,139.0,14.0,34.0,29.2
Niko Gießelmann,de GER,DF,27.0,22.9,1.0,14.0,3.0,21.4,0.61,0.13,0.07,0.33,22.2,2.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,871.0,1170.0,74.4,17485.0,7062.0,302.0,359.0,84.1,441.0,542.0,81.4,124.0,235.0,52.8,1.0,1.6,2.2,-0.6,24.0,69.0,28.0,12.0,100.0,1170.0,904.0,266.0,53.0,1.0,14.0,81.0,193.0,20.0,3.0,17.0,0.0,871.0,0.0,16.0,48.0,2.1,29.0,14.0,0.0,2.0,3.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,31.0,11.0,4.0,22.0,45.0,48.9,23.0,23.0,6.0,17.0,27.0,73.0,55.0,1.0,1376.0,68.0,515.0,587.0,289.0,14.0,1376.0,13.0,7.0,53.8,6.0,46.2,585.0,3267.0,1591.0,34.0,24.0,1.0,22.0,6.0,723.0,60.0,25,2057.0,82.0,67.2,22.9,22,88.0,20.0,3,39.0,8,0.88,22.0,46.0,-24.0,-1.05,-0.42,24.4,40.3,-15.9,-0.7,0.1,6.0,0.0,0.0,26.0,41.0,1.0,81.0,27.0,31.0,0.0,0.0,0.0,96.0,34.0,27.0,55.7
Adam Bodzek,de GER,MF,33.0,22.4,0.0,9.0,4.0,44.4,0.4,0.18,0.0,0.0,18.0,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,574.0,714.0,80.4,10807.0,3248.0,234.0,283.0,82.7,239.0,284.0,84.2,85.0,111.0,76.6,0.0,0.3,0.5,-0.3,8.0,59.0,2.0,1.0,74.0,714.0,690.0,21.0,19.0,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,574.0,3.0,7.0,25.0,1.12,22.0,1.0,0.0,0.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,21.0,20.0,1.0,14.0,46.0,30.4,32.0,34.0,11.0,23.0,25.0,67.0,39.0,0.0,907.0,70.0,299.0,511.0,100.0,12.0,907.0,5.0,3.0,60.0,2.0,40.0,342.0,1437.0,551.0,4.0,7.0,0.0,17.0,10.0,486.0,13.0,28,2015.0,72.0,65.8,22.4,22,84.0,15.0,6,27.0,0,0.89,24.0,44.0,-20.0,-0.89,0.05,25.1,42.7,-17.6,-0.79,-0.17,10.0,0.0,0.0,32.0,33.0,0.0,2.0,25.0,26.0,0.0,1.0,0.0,118.0,33.0,24.0,57.9
Alfredo Morales,us USA,MF,29.0,19.2,1.0,20.0,4.0,20.0,1.04,0.21,0.05,0.25,19.9,0.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,411.0,594.0,69.2,6988.0,2236.0,202.0,268.0,75.4,149.0,207.0,72.0,47.0,69.0,68.1,2.0,0.9,0.7,1.1,10.0,50.0,10.0,2.0,76.0,594.0,586.0,5.0,3.0,2.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,411.0,3.0,13.0,41.0,2.14,32.0,0.0,4.0,1.0,2.0,2.0,5.0,0.26,3.0,0.0,1.0,0.0,1.0,0.0,31.0,15.0,11.0,16.0,4.0,11.0,35.0,31.4,24.0,17.0,6.0,11.0,18.0,49.0,37.0,0.0,806.0,43.0,185.0,447.0,186.0,30.0,806.0,26.0,15.0,57.7,11.0,42.3,353.0,1698.0,659.0,15.0,21.0,2.0,30.0,27.0,460.0,54.0,27,1730.0,64.0,56.5,19.2,18,86.0,13.0,9,20.0,2,0.89,19.0,45.0,-26.0,-1.35,-1.01,18.9,38.9,-20.1,-1.05,-0.72,6.0,0.0,0.0,28.0,29.0,2.0,12.0,18.0,15.0,1.0,0.0,0.0,122.0,90.0,70.0,56.3
Florian Kastenmeier,de GER,GK,22.0,17.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,436.0,626.0,69.6,13520.0,10130.0,61.0,61.0,100.0,188.0,188.0,100.0,183.0,368.0,49.7,0.0,0.4,0.1,-0.4,2.0,13.0,1.0,0.0,0.0,626.0,457.0,164.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,5.0,0.0,4.0,0.24,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,670.0,552.0,663.0,7.0,0.0,0.0,670.0,3.0,3.0,100.0,0.0,0.0,331.0,2043.0,1223.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,17,1530.0,90.0,50.0,17.0,17,90.0,17.0,0,,17,0.88,18.0,31.0,-13.0,-0.76,0.29,17.4,26.0,-8.6,-0.51,0.45,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,44.0,4.0,0.0,100.0
Zack Steffen,us USA,GK,24.0,17.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,433.0,617.0,70.2,13915.0,10793.0,66.0,66.0,100.0,168.0,171.0,98.2,197.0,376.0,52.4,0.0,0.1,0.0,-0.1,1.0,4.0,0.0,0.0,0.0,617.0,406.0,210.0,66.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,1.0,0.0,6.0,0.35,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,667.0,566.0,661.0,6.0,0.0,0.0,667.0,0.0,0.0,,0.0,,301.0,1752.0,1144.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,17,1530.0,90.0,50.0,17.0,17,90.0,17.0,0,,0,0.88,18.0,36.0,-18.0,-1.06,-0.29,18.5,34.7,-16.2,-0.95,-0.45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,1.0,87.5
