player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rune Jarstein,no NOR,GK,34.0,28.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,674.0,1015.0,66.4,23500.0,19103.0,87.0,87.0,100.0,233.0,247.0,94.3,352.0,674.0,52.2,0.0,0.3,0.1,-0.3,1.0,20.0,0.0,0.0,1.0,1015.0,698.0,312.0,88.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,5.0,0.0,8.0,0.28,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1.0,5.0,11.0,3.0,1083.0,955.0,1082.0,1.0,0.0,0.0,1083.0,1.0,1.0,100.0,0.0,0.0,586.0,3699.0,2513.0,0.0,0.0,0.0,1.0,0.0,427.0,0.0,29,2547.0,88.0,83.2,28.3,29,88.0,28.0,0,,2,1.31,39.0,46.0,-7.0,-0.25,0.45,35.7,44.5,-8.9,-0.31,0.14,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,36.0,10.0,0.0,100.0
Marko Grujić,rs SRB,MF,23.0,26.8,4.0,36.0,13.0,36.1,1.34,0.48,0.11,0.31,18.0,0.0,0.0,0.0,4.9,4.9,0.14,-0.9,-0.9,863.0,1101.0,78.4,14938.0,3961.0,392.0,468.0,83.8,344.0,422.0,81.5,92.0,120.0,76.7,1.0,0.7,1.2,0.3,11.0,83.0,14.0,2.0,123.0,1101.0,1076.0,22.0,18.0,1.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,863.0,3.0,24.0,48.0,1.79,40.0,0.0,4.0,3.0,1.0,0.0,7.0,0.26,6.0,0.0,1.0,0.0,0.0,0.0,56.0,34.0,21.0,30.0,5.0,19.0,63.0,30.2,44.0,43.0,9.0,34.0,22.0,78.0,69.0,0.0,1424.0,92.0,313.0,902.0,226.0,34.0,1424.0,42.0,30.0,71.4,12.0,28.6,669.0,3639.0,1618.0,22.0,23.0,3.0,36.0,27.0,892.0,41.0,29,2415.0,83.0,78.9,26.8,29,83.0,22.0,0,,4,1.21,35.0,44.0,-9.0,-0.34,-0.06,32.1,41.8,-9.6,-0.36,-0.1,9.0,0.0,0.0,63.0,28.0,0.0,5.0,22.0,34.0,0.0,1.0,0.0,157.0,98.0,45.0,68.5
Dedryck Boyata,be BEL,DF,28.0,27.1,4.0,16.0,4.0,25.0,0.59,0.15,0.25,1.0,9.0,0.0,0.0,0.0,1.5,1.5,0.1,2.5,2.5,1226.0,1373.0,89.3,26484.0,7910.0,290.0,319.0,90.9,741.0,800.0,92.6,190.0,234.0,81.2,1.0,0.8,1.0,0.2,2.0,41.0,1.0,0.0,52.0,1373.0,1350.0,21.0,20.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1226.0,2.0,5.0,9.0,0.33,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,17.0,5.0,2.0,4.0,12.0,33.3,8.0,39.0,32.0,7.0,62.0,86.0,158.0,1.0,1688.0,226.0,929.0,722.0,44.0,28.0,1688.0,10.0,9.0,90.0,1.0,10.0,961.0,5070.0,2674.0,11.0,2.0,0.0,8.0,4.0,1105.0,4.0,28,2436.0,87.0,79.6,27.1,28,87.0,25.0,0,,0,1.29,39.0,40.0,-1.0,-0.04,1.41,33.3,41.5,-8.1,-0.3,0.18,8.0,1.0,0.0,23.0,7.0,2.0,0.0,62.0,18.0,0.0,3.0,0.0,141.0,76.0,31.0,71.0
Vladimír Darida,cz CZE,MF,28.0,25.1,3.0,43.0,14.0,32.6,1.72,0.56,0.07,0.21,20.7,0.0,0.0,0.0,3.1,3.1,0.07,-0.1,-0.1,835.0,1162.0,71.9,15945.0,4529.0,325.0,392.0,82.9,365.0,465.0,78.5,121.0,216.0,56.0,4.0,4.5,3.6,-0.5,49.0,70.0,26.0,11.0,117.0,1162.0,1045.0,110.0,45.0,2.0,18.0,99.0,12.0,49.0,11.0,31.0,1.0,835.0,7.0,38.0,84.0,3.35,59.0,15.0,1.0,5.0,3.0,1.0,6.0,0.24,6.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,14.0,31.0,5.0,11.0,48.0,22.9,37.0,44.0,7.0,37.0,27.0,77.0,19.0,2.0,1465.0,38.0,255.0,815.0,418.0,42.0,1465.0,36.0,24.0,66.7,12.0,33.3,780.0,4513.0,1807.0,43.0,43.0,8.0,49.0,44.0,919.0,106.0,28,2256.0,81.0,73.7,25.1,25,85.0,17.0,3,45.0,2,1.21,37.0,43.0,-6.0,-0.24,0.32,31.1,38.2,-7.0,-0.28,0.21,8.0,1.0,1.0,38.0,24.0,2.0,99.0,27.0,27.0,0.0,0.0,0.0,146.0,17.0,43.0,28.3
Dodi Lukebakio,be BEL,"FW,MF",21.0,22.6,7.0,40.0,18.0,45.0,1.77,0.8,0.18,0.39,16.5,2.0,0.0,0.0,7.5,7.5,0.19,-0.5,-0.5,463.0,620.0,74.7,7462.0,1511.0,242.0,288.0,84.0,144.0,200.0,72.0,50.0,80.0,62.5,6.0,4.7,3.8,1.3,36.0,26.0,20.0,5.0,39.0,620.0,566.0,53.0,9.0,1.0,6.0,56.0,10.0,21.0,11.0,8.0,1.0,463.0,1.0,17.0,68.0,3.01,44.0,7.0,10.0,4.0,3.0,0.0,12.0,0.53,3.0,2.0,4.0,3.0,0.0,0.0,25.0,18.0,13.0,8.0,4.0,10.0,28.0,35.7,18.0,22.0,4.0,18.0,10.0,35.0,14.0,0.0,885.0,11.0,105.0,405.0,389.0,64.0,885.0,65.0,46.0,70.8,19.0,29.2,543.0,3954.0,1754.0,68.0,46.0,23.0,68.0,46.0,629.0,166.0,30,2031.0,68.0,66.4,22.6,24,76.0,6.0,6,37.0,4,1.13,28.0,37.0,-9.0,-0.4,-0.22,27.8,36.5,-8.7,-0.39,-0.15,2.0,0.0,0.0,26.0,27.0,10.0,56.0,10.0,18.0,0.0,0.0,0.0,88.0,20.0,28.0,41.7
Per Ciljan Skjelbred,no NOR,MF,32.0,18.1,0.0,1.0,0.0,0.0,0.06,0.0,0.0,,12.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,600.0,731.0,82.1,10711.0,3507.0,247.0,285.0,86.7,277.0,325.0,85.2,61.0,85.0,71.8,0.0,0.1,0.3,-0.1,2.0,53.0,3.0,1.0,75.0,731.0,704.0,24.0,17.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,600.0,3.0,9.0,21.0,1.16,20.0,0.0,0.0,0.0,0.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,18.0,29.0,3.0,17.0,41.0,41.5,24.0,14.0,3.0,11.0,23.0,73.0,17.0,0.0,880.0,40.0,237.0,570.0,84.0,3.0,880.0,15.0,13.0,86.7,2.0,13.3,434.0,2723.0,1415.0,14.0,13.0,1.0,14.0,5.0,525.0,17.0,24,1628.0,68.0,53.2,18.1,21,75.0,10.0,3,15.0,5,1.5,30.0,19.0,11.0,0.61,1.99,24.8,22.8,2.0,0.11,0.95,4.0,0.0,0.0,22.0,9.0,0.0,5.0,23.0,30.0,0.0,0.0,0.0,106.0,14.0,17.0,45.2
Lukas Klünter,de GER,DF,23.0,20.9,0.0,2.0,0.0,0.0,0.1,0.0,0.0,,20.7,0.0,0.0,0.0,0.3,0.3,0.14,-0.3,-0.3,557.0,818.0,68.1,9606.0,4292.0,250.0,299.0,83.6,265.0,368.0,72.0,34.0,99.0,34.3,2.0,1.6,1.1,0.4,11.0,22.0,12.0,8.0,49.0,818.0,623.0,189.0,22.0,0.0,5.0,32.0,167.0,0.0,0.0,0.0,0.0,557.0,6.0,23.0,24.0,1.15,19.0,3.0,2.0,0.0,0.0,0.0,5.0,0.24,4.0,1.0,0.0,0.0,0.0,0.0,44.0,31.0,26.0,16.0,2.0,20.0,30.0,66.7,10.0,16.0,4.0,12.0,27.0,71.0,61.0,1.0,1049.0,88.0,371.0,510.0,178.0,8.0,1049.0,28.0,13.0,46.4,15.0,53.6,424.0,2820.0,1458.0,44.0,27.0,1.0,22.0,13.0,471.0,44.0,23,1878.0,82.0,61.4,20.9,20,90.0,20.0,3,26.0,10,1.35,29.0,38.0,-9.0,-0.43,-0.28,26.3,32.6,-6.3,-0.3,0.1,5.0,0.0,0.0,34.0,27.0,3.0,32.0,27.0,31.0,0.0,1.0,0.0,100.0,25.0,28.0,47.2
Niklas Stark,de GER,DF,24.0,19.2,1.0,10.0,2.0,20.0,0.52,0.1,0.1,0.5,12.2,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,728.0,886.0,82.2,14490.0,5695.0,255.0,284.0,89.8,365.0,415.0,88.0,96.0,151.0,63.6,0.0,0.6,0.4,-0.6,4.0,40.0,2.0,0.0,52.0,886.0,857.0,28.0,27.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,728.0,1.0,12.0,15.0,0.78,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,24.0,10.0,2.0,9.0,21.0,42.9,12.0,27.0,12.0,15.0,21.0,57.0,97.0,2.0,1101.0,123.0,531.0,539.0,37.0,18.0,1101.0,4.0,2.0,50.0,2.0,50.0,567.0,3127.0,1780.0,11.0,6.0,0.0,4.0,6.0,683.0,3.0,21,1731.0,82.0,56.6,19.2,20,84.0,15.0,1,45.0,6,1.0,26.0,40.0,-14.0,-0.73,-0.93,24.1,30.6,-6.4,-0.34,0.0,8.0,0.0,0.0,26.0,8.0,0.0,2.0,21.0,20.0,0.0,0.0,1.0,73.0,31.0,25.0,55.4
Maximilian Mittelstädt,de GER,"DF,FW",22.0,21.0,1.0,22.0,5.0,22.7,1.05,0.24,0.05,0.2,21.4,0.0,0.0,0.0,0.9,0.9,0.04,0.1,0.1,813.0,1157.0,70.3,15271.0,5604.0,398.0,463.0,86.0,277.0,384.0,72.1,118.0,242.0,48.8,3.0,1.7,2.5,1.3,22.0,79.0,25.0,10.0,120.0,1157.0,931.0,223.0,29.0,0.0,33.0,105.0,176.0,18.0,7.0,9.0,0.0,813.0,3.0,31.0,48.0,2.29,35.0,8.0,2.0,1.0,1.0,1.0,6.0,0.29,1.0,2.0,2.0,1.0,0.0,0.0,61.0,38.0,31.0,25.0,5.0,26.0,54.0,48.1,28.0,38.0,6.0,32.0,53.0,114.0,64.0,0.0,1452.0,75.0,440.0,667.0,359.0,27.0,1452.0,26.0,18.0,69.2,8.0,30.8,639.0,3595.0,1911.0,53.0,46.0,10.0,27.0,25.0,756.0,101.0,26,1887.0,73.0,61.7,21.0,19,88.0,16.0,7,30.0,3,1.31,30.0,37.0,-7.0,-0.33,-0.03,23.8,32.2,-8.4,-0.4,-0.16,4.0,0.0,0.0,24.0,22.0,0.0,105.0,53.0,38.0,0.0,0.0,0.0,153.0,42.0,19.0,68.9
Marvin Plattenhardt,de GER,DF,27.0,15.5,0.0,4.0,0.0,0.0,0.26,0.0,0.0,,23.0,2.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,545.0,748.0,72.9,10561.0,4752.0,236.0,267.0,88.4,219.0,289.0,75.8,84.0,158.0,53.2,5.0,2.9,2.2,2.1,26.0,34.0,7.0,6.0,42.0,748.0,526.0,216.0,36.0,0.0,9.0,70.0,160.0,20.0,5.0,14.0,0.0,545.0,6.0,19.0,43.0,2.77,18.0,19.0,0.0,2.0,3.0,1.0,7.0,0.45,4.0,3.0,0.0,0.0,0.0,0.0,18.0,12.0,13.0,4.0,1.0,12.0,17.0,70.6,5.0,18.0,7.0,11.0,11.0,29.0,47.0,0.0,881.0,57.0,323.0,401.0,174.0,3.0,881.0,7.0,3.0,42.9,4.0,57.1,349.0,1805.0,958.0,21.0,18.0,2.0,11.0,14.0,405.0,35.0,17,1396.0,82.0,45.6,15.5,17,82.0,14.0,0,,12,1.29,23.0,24.0,-1.0,-0.06,0.48,21.5,26.0,-4.5,-0.29,0.09,1.0,0.0,0.0,11.0,16.0,1.0,70.0,11.0,12.0,0.0,0.0,0.0,87.0,17.0,15.0,53.1
