player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Moussa Niakhate,sn SEN,DF,23.0,33.0,1.0,11.0,5.0,45.5,0.33,0.15,0.09,0.2,13.0,0.0,0.0,0.0,1.0,1.0,0.09,0.0,0.0,1201.0,1518.0,79.1,23745.0,9272.0,416.0,473.0,87.9,623.0,714.0,87.3,146.0,279.0,52.3,2.0,1.1,1.5,0.9,12.0,84.0,7.0,1.0,129.0,1518.0,1435.0,79.0,49.0,1.0,11.0,8.0,30.0,0.0,0.0,0.0,0.0,1201.0,4.0,19.0,31.0,0.94,26.0,2.0,0.0,2.0,1.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,29.0,6.0,0.0,16.0,29.0,55.2,13.0,40.0,26.0,14.0,40.0,75.0,124.0,4.0,1851.0,218.0,927.0,836.0,100.0,29.0,1851.0,18.0,6.0,33.3,12.0,66.7,1041.0,6283.0,3913.0,37.0,20.0,4.0,17.0,7.0,1080.0,14.0,33,2970.0,90.0,97.1,33.0,33,90.0,33.0,0,,0,1.12,44.0,57.0,-13.0,-0.39,7.61,47.6,56.3,-8.7,-0.26,2.52,7.0,0.0,0.0,57.0,27.0,1.0,8.0,40.0,22.0,0.0,1.0,0.0,181.0,86.0,49.0,63.7
Robin Quaison,se SWE,"FW,MF",25.0,28.9,13.0,70.0,27.0,38.6,2.42,0.93,0.17,0.44,17.8,2.0,1.0,1.0,11.4,10.6,0.15,1.6,1.4,394.0,575.0,68.5,5544.0,1296.0,236.0,287.0,82.2,110.0,155.0,71.0,25.0,50.0,50.0,2.0,3.0,2.3,-1.0,28.0,31.0,18.0,0.0,61.0,575.0,530.0,32.0,2.0,7.0,2.0,11.0,9.0,2.0,1.0,0.0,0.0,394.0,13.0,19.0,70.0,2.42,48.0,1.0,10.0,6.0,3.0,2.0,6.0,0.21,4.0,0.0,2.0,0.0,0.0,0.0,25.0,17.0,15.0,7.0,3.0,11.0,32.0,34.4,21.0,27.0,5.0,22.0,11.0,36.0,8.0,0.0,852.0,9.0,105.0,390.0,371.0,89.0,851.0,66.0,44.0,66.7,22.0,33.3,521.0,2873.0,1141.0,36.0,37.0,17.0,54.0,50.0,565.0,155.0,32,2602.0,81.0,85.0,28.9,31,83.0,19.0,1,20.0,2,1.06,37.0,55.0,-18.0,-0.62,-0.03,40.5,50.1,-9.6,-0.33,0.04,2.0,0.0,0.0,25.0,34.0,17.0,11.0,11.0,17.0,0.0,0.0,0.0,95.0,27.0,66.0,29.0
Ridle Baku,de GER,"DF,MF",21.0,26.1,1.0,22.0,6.0,27.3,0.84,0.23,0.05,0.17,22.9,0.0,0.0,0.0,1.0,1.0,0.05,0.0,0.0,827.0,1167.0,70.9,14478.0,5145.0,389.0,474.0,82.1,321.0,437.0,73.5,91.0,178.0,51.1,3.0,3.4,4.1,-0.4,27.0,81.0,36.0,16.0,109.0,1167.0,989.0,173.0,19.0,3.0,11.0,83.0,154.0,0.0,0.0,0.0,0.0,827.0,5.0,27.0,82.0,3.14,65.0,5.0,4.0,2.0,6.0,0.0,12.0,0.46,11.0,1.0,0.0,0.0,0.0,0.0,54.0,31.0,25.0,22.0,7.0,26.0,53.0,49.1,27.0,45.0,7.0,38.0,42.0,96.0,57.0,0.0,1510.0,78.0,439.0,675.0,416.0,21.0,1510.0,59.0,33.0,55.9,26.0,44.1,803.0,4129.0,1884.0,42.0,40.0,6.0,40.0,22.0,805.0,118.0,30,2351.0,78.0,76.8,26.1,26,86.0,23.0,4,31.0,1,1.03,32.0,54.0,-22.0,-0.84,-0.97,36.5,46.0,-9.5,-0.36,-0.12,5.0,1.0,0.0,33.0,41.0,2.0,83.0,42.0,31.0,0.0,0.0,0.0,180.0,30.0,35.0,46.2
Jean-Paul Boëtius,nl NED,MF,25.0,25.2,4.0,36.0,12.0,33.3,1.43,0.48,0.11,0.33,20.0,0.0,0.0,0.0,3.7,3.7,0.1,0.3,0.3,690.0,923.0,74.8,11332.0,3789.0,362.0,432.0,83.8,208.0,263.0,79.1,82.0,130.0,63.1,5.0,3.5,2.6,1.5,36.0,92.0,23.0,1.0,128.0,923.0,883.0,33.0,11.0,11.0,12.0,13.0,10.0,0.0,0.0,0.0,0.0,690.0,7.0,21.0,88.0,3.5,70.0,2.0,4.0,4.0,5.0,3.0,13.0,0.52,9.0,0.0,2.0,0.0,1.0,1.0,63.0,33.0,21.0,31.0,11.0,20.0,57.0,35.1,37.0,38.0,1.0,37.0,26.0,89.0,6.0,0.0,1262.0,13.0,172.0,705.0,401.0,42.0,1262.0,66.0,35.0,53.0,31.0,47.0,770.0,4271.0,2122.0,56.0,40.0,15.0,75.0,39.0,835.0,100.0,28,2266.0,81.0,74.1,25.2,26,84.0,19.0,2,36.0,5,0.93,34.0,56.0,-22.0,-0.87,-0.99,34.1,49.6,-15.5,-0.62,-1.07,5.0,0.0,0.0,48.0,59.0,0.0,13.0,26.0,33.0,0.0,0.0,0.0,139.0,18.0,40.0,31.0
Jerry St. Juste,nl NED,DF,22.0,23.5,2.0,12.0,2.0,16.7,0.51,0.09,0.17,1.0,14.8,0.0,0.0,0.0,0.7,0.7,0.06,1.3,1.3,869.0,1017.0,85.4,16766.0,6468.0,306.0,336.0,91.1,459.0,502.0,91.4,92.0,138.0,66.7,2.0,1.2,0.3,0.8,5.0,49.0,2.0,1.0,56.0,1017.0,960.0,52.0,46.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,869.0,5.0,11.0,15.0,0.64,12.0,0.0,0.0,2.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,46.0,25.0,34.0,10.0,2.0,14.0,34.0,41.2,20.0,35.0,19.0,16.0,52.0,98.0,86.0,1.0,1295.0,180.0,732.0,528.0,51.0,15.0,1295.0,12.0,10.0,83.3,2.0,16.7,734.0,3884.0,2124.0,12.0,10.0,1.0,20.0,7.0,727.0,5.0,25,2113.0,85.0,69.1,23.5,24,88.0,20.0,1,8.0,1,1.16,30.0,43.0,-13.0,-0.55,0.21,32.7,41.1,-8.4,-0.36,-0.07,7.0,0.0,0.0,22.0,23.0,1.0,6.0,52.0,25.0,0.0,0.0,0.0,126.0,51.0,63.0,44.7
Robin Zentner,de GER,GK,24.0,21.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,509.0,794.0,64.1,15139.0,11801.0,111.0,113.0,98.2,216.0,224.0,96.4,180.0,452.0,39.8,0.0,0.1,0.1,-0.1,1.0,23.0,0.0,0.0,3.0,794.0,550.0,241.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,3.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,857.0,720.0,849.0,8.0,0.0,0.0,857.0,0.0,0.0,,0.0,,455.0,2598.0,1688.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,22,1935.0,88.0,63.2,21.5,22,88.0,21.0,0,,3,1.18,31.0,40.0,-9.0,-0.42,0.54,30.3,35.9,-5.6,-0.26,0.2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,13.0,2.0,86.7
Pierre Kunde,cm CMR,MF,24.0,20.7,4.0,39.0,11.0,28.2,1.88,0.53,0.1,0.36,24.2,4.0,0.0,0.0,3.2,3.2,0.08,0.8,0.8,790.0,1019.0,77.5,14687.0,4586.0,351.0,407.0,86.2,307.0,378.0,81.2,108.0,180.0,60.0,0.0,1.2,1.0,-1.2,11.0,91.0,15.0,6.0,118.0,1019.0,939.0,77.0,57.0,2.0,16.0,29.0,11.0,9.0,3.0,6.0,0.0,790.0,3.0,11.0,43.0,2.07,32.0,2.0,5.0,2.0,2.0,0.0,4.0,0.19,1.0,0.0,3.0,0.0,0.0,0.0,34.0,17.0,15.0,18.0,1.0,12.0,30.0,40.0,18.0,16.0,4.0,12.0,26.0,60.0,55.0,0.0,1269.0,77.0,312.0,779.0,203.0,18.0,1269.0,43.0,34.0,79.1,9.0,20.9,727.0,4413.0,2377.0,52.0,26.0,4.0,26.0,18.0,762.0,35.0,28,1866.0,67.0,61.0,20.7,22,79.0,10.0,6,23.0,5,1.29,31.0,44.0,-13.0,-0.63,-0.02,30.1,39.0,-8.9,-0.43,-0.24,6.0,0.0,0.0,26.0,11.0,0.0,29.0,26.0,17.0,0.0,1.0,0.0,148.0,18.0,25.0,41.9
Aarón Martín,es ESP,DF,22.0,19.9,0.0,9.0,3.0,33.3,0.45,0.15,0.0,0.0,23.8,1.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,649.0,907.0,71.6,9947.0,3939.0,379.0,427.0,88.8,193.0,285.0,67.7,56.0,142.0,39.4,0.0,2.9,3.8,-2.9,32.0,33.0,16.0,9.0,44.0,907.0,633.0,270.0,44.0,1.0,1.0,136.0,167.0,58.0,30.0,28.0,0.0,649.0,4.0,14.0,54.0,2.71,30.0,21.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,17.0,8.0,4.0,9.0,22.0,40.9,13.0,11.0,5.0,6.0,30.0,59.0,36.0,0.0,1072.0,48.0,288.0,450.0,351.0,11.0,1072.0,28.0,19.0,67.9,9.0,32.1,527.0,3129.0,1546.0,40.0,26.0,3.0,15.0,15.0,514.0,90.0,22,1792.0,81.0,58.6,19.9,21,84.0,16.0,1,25.0,9,1.0,29.0,49.0,-20.0,-1.0,-0.93,27.5,40.6,-13.1,-0.66,-0.77,2.0,0.0,0.0,18.0,12.0,2.0,136.0,30.0,15.0,0.0,0.0,0.0,86.0,14.0,21.0,40.0
Levin Öztunalı,de GER,"MF,FW",23.0,19.8,4.0,35.0,10.0,28.6,1.77,0.51,0.11,0.4,22.3,0.0,0.0,0.0,2.5,2.5,0.07,1.5,1.5,345.0,549.0,62.8,5276.0,1937.0,188.0,249.0,75.5,100.0,164.0,61.0,32.0,59.0,54.2,3.0,2.8,2.3,0.2,27.0,37.0,31.0,9.0,76.0,549.0,518.0,26.0,1.0,5.0,5.0,42.0,23.0,2.0,0.0,1.0,0.0,345.0,5.0,23.0,65.0,3.29,51.0,0.0,6.0,3.0,5.0,0.0,6.0,0.3,4.0,0.0,1.0,0.0,1.0,0.0,28.0,19.0,13.0,12.0,3.0,12.0,35.0,34.3,23.0,27.0,1.0,26.0,9.0,37.0,14.0,2.0,792.0,28.0,137.0,295.0,387.0,65.0,792.0,66.0,40.0,60.6,26.0,39.4,441.0,3212.0,1774.0,65.0,62.0,17.0,51.0,19.0,447.0,118.0,27,1778.0,66.0,58.1,19.8,19,82.0,11.0,8,29.0,7,1.19,27.0,40.0,-13.0,-0.66,-0.1,30.4,32.7,-2.4,-0.12,0.52,1.0,0.0,0.0,25.0,15.0,11.0,42.0,9.0,19.0,1.0,0.0,0.0,107.0,21.0,21.0,50.0
Edimilson Fernandes,ch SUI,"MF,DF",23.0,16.5,1.0,23.0,2.0,8.7,1.39,0.12,0.04,0.5,26.1,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,599.0,700.0,85.6,10349.0,3284.0,265.0,296.0,89.5,244.0,275.0,88.7,61.0,86.0,70.9,0.0,0.3,0.7,-0.3,8.0,55.0,6.0,2.0,61.0,700.0,689.0,11.0,10.0,3.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,599.0,0.0,8.0,32.0,1.94,26.0,0.0,2.0,2.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,12.0,15.0,6.0,15.0,33.0,45.5,18.0,17.0,9.0,8.0,32.0,65.0,47.0,1.0,915.0,64.0,248.0,538.0,140.0,6.0,915.0,21.0,14.0,66.7,7.0,33.3,517.0,2862.0,1219.0,12.0,8.0,1.0,31.0,22.0,568.0,29.0,24,1484.0,62.0,48.5,16.5,18,78.0,10.0,6,13.0,3,1.08,22.0,32.0,-10.0,-0.61,0.02,23.5,30.9,-7.4,-0.45,-0.21,7.0,1.0,1.0,19.0,5.0,0.0,15.0,32.0,20.0,0.0,0.0,0.0,113.0,15.0,14.0,51.7
