player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Sebastian Vasiliadis,gr GRE,MF,21.0,31.2,1.0,37.0,8.0,21.6,1.19,0.26,0.03,0.13,22.1,0.0,0.0,0.0,1.6,1.6,0.04,-0.6,-0.6,806.0,1070.0,75.3,14065.0,3674.0,349.0,423.0,82.5,331.0,382.0,86.6,86.0,167.0,51.5,1.0,2.5,1.9,-1.5,27.0,78.0,10.0,1.0,100.0,1070.0,1027.0,40.0,29.0,1.0,22.0,12.0,9.0,2.0,0.0,1.0,0.0,806.0,3.0,36.0,69.0,2.21,56.0,1.0,7.0,2.0,2.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,73.0,45.0,34.0,31.0,8.0,28.0,81.0,34.6,53.0,47.0,6.0,41.0,34.0,107.0,50.0,0.0,1470.0,69.0,410.0,783.0,315.0,31.0,1470.0,79.0,51.0,64.6,28.0,35.4,830.0,4555.0,2374.0,48.0,36.0,8.0,57.0,39.0,835.0,53.0,32,2808.0,88.0,91.8,31.2,32,88.0,28.0,0,,0,0.53,33.0,64.0,-31.0,-0.99,1.15,35.8,59.0,-23.2,-0.74,0.99,10.0,0.0,0.0,49.0,24.0,0.0,12.0,34.0,45.0,0.0,0.0,0.0,211.0,20.0,28.0,41.7
Jamilu Collins,ng NGA,DF,24.0,29.6,1.0,18.0,1.0,5.6,0.61,0.03,0.06,1.0,26.8,1.0,0.0,1.0,2.1,1.3,0.07,-1.1,-0.3,1307.0,1770.0,73.8,21559.0,8757.0,643.0,742.0,86.7,516.0,652.0,79.1,114.0,239.0,47.7,2.0,1.4,1.2,0.6,19.0,113.0,7.0,3.0,133.0,1770.0,1436.0,324.0,20.0,1.0,7.0,41.0,304.0,0.0,0.0,0.0,0.0,1307.0,10.0,68.0,49.0,1.65,35.0,4.0,5.0,1.0,3.0,1.0,5.0,0.17,4.0,0.0,1.0,0.0,0.0,0.0,69.0,43.0,44.0,21.0,4.0,37.0,62.0,59.7,25.0,53.0,19.0,34.0,70.0,139.0,91.0,1.0,2195.0,124.0,843.0,1039.0,341.0,17.0,2194.0,79.0,42.0,53.2,37.0,46.8,1125.0,6853.0,3855.0,101.0,59.0,9.0,43.0,21.0,1163.0,57.0,30,2668.0,89.0,87.2,29.6,30,89.0,29.0,0,,0,0.67,31.0,60.0,-29.0,-0.98,0.86,33.8,57.2,-23.4,-0.79,0.3,9.0,1.0,1.0,45.0,28.0,0.0,41.0,70.0,43.0,0.0,2.0,1.0,214.0,31.0,29.0,51.7
Leopold Zingerle,de GER,GK,25.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1010.0,1217.0,83.0,25360.0,15594.0,198.0,198.0,100.0,541.0,554.0,97.7,270.0,458.0,59.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1217.0,912.0,299.0,66.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,6.0,0.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,1284.0,1055.0,1274.0,10.0,0.0,0.0,1284.0,0.0,0.0,,0.0,,804.0,4241.0,2249.0,0.0,0.0,0.0,1.0,0.0,672.0,0.0,28,2520.0,90.0,82.4,28.0,28,90.0,28.0,0,,3,0.68,29.0,57.0,-28.0,-1.0,0.5,32.0,55.0,-23.0,-0.82,0.02,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,8.0,1.0,88.9
Christopher Antwi-Adjei,gh GHA,"MF,FW",25.0,27.4,1.0,46.0,8.0,17.4,1.68,0.29,0.02,0.13,17.9,1.0,0.0,0.0,3.8,3.8,0.08,-2.8,-2.8,593.0,854.0,69.4,9279.0,3011.0,326.0,395.0,82.5,184.0,268.0,68.7,52.0,96.0,54.2,2.0,4.2,3.1,-2.2,42.0,34.0,28.0,8.0,68.0,854.0,703.0,145.0,6.0,1.0,9.0,69.0,107.0,31.0,14.0,5.0,0.0,593.0,6.0,35.0,95.0,3.46,62.0,12.0,7.0,3.0,10.0,1.0,6.0,0.22,4.0,1.0,1.0,0.0,0.0,0.0,25.0,16.0,13.0,9.0,3.0,9.0,33.0,27.3,24.0,29.0,2.0,27.0,15.0,40.0,14.0,0.0,1153.0,20.0,175.0,494.0,509.0,78.0,1153.0,70.0,35.0,50.0,35.0,50.0,693.0,5597.0,2767.0,114.0,59.0,45.0,63.0,40.0,713.0,155.0,34,2470.0,73.0,80.7,27.4,28,83.0,20.0,6,24.0,0,0.59,30.0,60.0,-30.0,-1.09,-0.03,31.5,54.2,-22.8,-0.83,-0.01,2.0,0.0,0.0,17.0,39.0,4.0,69.0,15.0,16.0,0.0,0.0,0.0,132.0,22.0,39.0,36.1
Klaus Gjasula,al ALB,MF,29.0,25.3,2.0,14.0,4.0,28.6,0.55,0.16,0.14,0.5,14.5,0.0,0.0,1.0,2.1,1.3,0.1,-0.1,0.7,891.0,1165.0,76.5,17435.0,5647.0,326.0,396.0,82.3,390.0,470.0,83.0,141.0,214.0,65.9,1.0,1.4,0.9,-0.4,28.0,101.0,5.0,0.0,114.0,1165.0,1144.0,18.0,17.0,2.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,891.0,3.0,29.0,54.0,2.13,48.0,0.0,1.0,3.0,0.0,2.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,69.0,39.0,30.0,35.0,4.0,30.0,61.0,49.2,31.0,33.0,6.0,27.0,32.0,101.0,50.0,2.0,1434.0,97.0,500.0,779.0,168.0,25.0,1433.0,25.0,20.0,80.0,5.0,20.0,801.0,3433.0,1590.0,13.0,14.0,1.0,31.0,23.0,846.0,24.0,29,2280.0,79.0,74.5,25.3,28,79.0,12.0,1,80.0,1,0.69,27.0,52.0,-25.0,-0.99,0.4,28.3,49.4,-21.1,-0.83,-0.02,17.0,0.0,0.0,50.0,17.0,0.0,5.0,32.0,39.0,0.0,0.0,0.0,179.0,49.0,47.0,51.0
Sebastian Schonlau,de GER,DF,24.0,23.0,2.0,12.0,4.0,33.3,0.52,0.17,0.17,0.5,11.7,0.0,0.0,0.0,1.6,1.6,0.13,0.4,0.4,1288.0,1470.0,87.6,25820.0,9545.0,385.0,424.0,90.8,719.0,773.0,93.0,170.0,239.0,71.1,0.0,0.2,0.2,-0.2,4.0,35.0,0.0,0.0,88.0,1470.0,1408.0,59.0,57.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,1288.0,3.0,8.0,22.0,0.96,16.0,0.0,0.0,2.0,2.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,64.0,43.0,50.0,14.0,0.0,41.0,66.0,62.1,25.0,36.0,15.0,21.0,40.0,104.0,138.0,1.0,1785.0,254.0,1073.0,694.0,37.0,14.0,1785.0,10.0,9.0,90.0,1.0,10.0,1107.0,7028.0,4056.0,14.0,4.0,0.0,21.0,2.0,1125.0,3.0,23,2070.0,90.0,67.6,23.0,23,90.0,23.0,0,,0,0.78,24.0,44.0,-20.0,-0.87,0.68,26.8,43.5,-16.7,-0.73,0.31,2.0,0.0,0.0,20.0,21.0,1.0,2.0,40.0,43.0,0.0,1.0,0.0,147.0,53.0,46.0,53.5
Kai Pröger,de GER,"MF,FW",27.0,23.1,2.0,50.0,14.0,28.0,2.16,0.61,0.04,0.14,21.3,3.0,0.0,0.0,3.3,3.3,0.07,-1.3,-1.3,311.0,619.0,50.2,5541.0,2114.0,155.0,201.0,77.1,84.0,167.0,50.3,52.0,157.0,33.1,6.0,3.9,3.9,2.1,42.0,14.0,14.0,9.0,32.0,619.0,467.0,147.0,40.0,2.0,1.0,188.0,29.0,78.0,35.0,39.0,0.0,311.0,5.0,47.0,91.0,3.94,30.0,27.0,17.0,8.0,8.0,1.0,10.0,0.43,5.0,2.0,1.0,0.0,2.0,0.0,43.0,22.0,21.0,17.0,5.0,17.0,58.0,29.3,41.0,34.0,6.0,28.0,14.0,57.0,20.0,1.0,959.0,27.0,182.0,330.0,477.0,70.0,959.0,120.0,67.0,55.8,53.0,44.2,531.0,4609.0,2215.0,77.0,40.0,33.0,64.0,32.0,499.0,129.0,31,2079.0,67.0,67.9,23.1,22,86.0,15.0,9,21.0,3,0.61,29.0,47.0,-18.0,-0.78,0.96,26.7,43.1,-16.4,-0.71,0.36,0.0,0.0,0.0,12.0,25.0,10.0,188.0,14.0,22.0,1.0,0.0,0.0,124.0,10.0,21.0,32.3
Laurent Jans,lu LUX,DF,26.0,17.5,0.0,8.0,0.0,0.0,0.46,0.0,0.0,,26.7,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,627.0,861.0,72.8,10772.0,5033.0,306.0,358.0,85.5,246.0,324.0,75.9,62.0,127.0,48.8,1.0,0.8,0.9,0.2,10.0,44.0,13.0,8.0,61.0,861.0,678.0,180.0,5.0,0.0,12.0,39.0,175.0,0.0,0.0,0.0,0.0,627.0,3.0,22.0,24.0,1.37,18.0,1.0,2.0,1.0,0.0,2.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,42.0,25.0,30.0,8.0,4.0,22.0,48.0,45.8,26.0,25.0,10.0,15.0,19.0,61.0,49.0,1.0,1051.0,70.0,465.0,397.0,199.0,6.0,1051.0,16.0,12.0,75.0,4.0,25.0,496.0,2914.0,1562.0,37.0,26.0,4.0,19.0,7.0,495.0,30.0,22,1571.0,71.0,51.3,17.5,19,80.0,10.0,3,19.0,12,0.68,19.0,33.0,-14.0,-0.8,0.59,21.0,31.3,-10.2,-0.59,0.49,2.0,0.0,0.0,8.0,9.0,0.0,39.0,19.0,25.0,0.0,0.0,0.0,101.0,21.0,19.0,52.5
Streli Mamba,de GER,FW,25.0,16.9,5.0,23.0,10.0,43.5,1.36,0.59,0.22,0.5,16.4,0.0,0.0,0.0,4.6,4.6,0.2,0.4,0.4,203.0,274.0,74.1,2469.0,369.0,125.0,153.0,81.7,53.0,68.0,77.9,2.0,8.0,25.0,2.0,1.1,0.8,0.9,9.0,12.0,1.0,0.0,14.0,274.0,240.0,33.0,0.0,3.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,203.0,1.0,11.0,27.0,1.6,17.0,1.0,3.0,1.0,4.0,1.0,3.0,0.18,1.0,0.0,1.0,1.0,0.0,0.0,15.0,9.0,0.0,9.0,6.0,1.0,13.0,7.7,12.0,12.0,2.0,10.0,6.0,21.0,2.0,0.0,421.0,5.0,37.0,225.0,168.0,44.0,421.0,25.0,15.0,60.0,10.0,40.0,255.0,1748.0,773.0,32.0,21.0,17.0,40.0,22.0,279.0,73.0,24,1521.0,63.0,49.7,16.9,18,74.0,7.0,6,30.0,6,0.67,19.0,29.0,-10.0,-0.59,0.99,19.8,30.4,-10.6,-0.63,0.4,5.0,0.0,0.0,36.0,28.0,11.0,6.0,6.0,9.0,1.0,0.0,0.0,36.0,18.0,26.0,40.9
Mohamed Dräger,tn TUN,DF,23.0,16.2,1.0,14.0,2.0,14.3,0.87,0.12,0.07,0.5,21.4,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,621.0,821.0,75.6,11118.0,3465.0,275.0,328.0,83.8,256.0,321.0,79.8,73.0,101.0,72.3,3.0,1.2,1.1,1.8,15.0,27.0,12.0,3.0,45.0,821.0,646.0,172.0,11.0,1.0,8.0,42.0,161.0,0.0,0.0,0.0,0.0,621.0,3.0,28.0,30.0,1.86,20.0,5.0,1.0,2.0,2.0,0.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,32.0,21.0,22.0,8.0,2.0,14.0,33.0,42.4,19.0,17.0,5.0,12.0,18.0,50.0,39.0,0.0,1036.0,49.0,334.0,481.0,241.0,26.0,1036.0,45.0,15.0,33.3,30.0,66.7,563.0,4068.0,1982.0,61.0,32.0,13.0,26.0,20.0,570.0,61.0,18,1455.0,81.0,47.5,16.2,16,85.0,10.0,2,47.0,15,0.33,17.0,42.0,-25.0,-1.55,-0.87,17.2,34.9,-17.7,-1.09,-0.51,2.0,0.0,0.0,16.0,22.0,0.0,42.0,18.0,21.0,0.0,0.0,0.0,91.0,8.0,13.0,38.1
