player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Bastian Oczipka,de GER,DF,30.0,33.5,0.0,9.0,3.0,33.3,0.27,0.09,0.0,0.0,24.4,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1355.0,1790.0,75.7,22528.0,8389.0,681.0,762.0,89.4,515.0,642.0,80.2,132.0,287.0,46.0,5.0,2.9,4.3,2.1,42.0,86.0,32.0,12.0,136.0,1790.0,1377.0,403.0,72.0,0.0,4.0,147.0,258.0,73.0,11.0,53.0,1.0,1355.0,10.0,43.0,74.0,2.21,46.0,25.0,3.0,0.0,0.0,0.0,15.0,0.45,11.0,3.0,1.0,0.0,0.0,0.0,72.0,50.0,42.0,21.0,9.0,36.0,62.0,58.1,26.0,35.0,6.0,29.0,37.0,109.0,68.0,0.0,2118.0,106.0,636.0,973.0,544.0,26.0,2118.0,68.0,38.0,55.9,30.0,44.1,1118.0,7499.0,4226.0,102.0,72.0,11.0,29.0,9.0,1153.0,95.0,34,3015.0,89.0,98.5,33.5,33,90.0,33.0,1,45.0,0,1.15,38.0,57.0,-19.0,-0.57,1.43,37.7,51.2,-13.5,-0.4,0.32,4.0,0.0,0.0,26.0,35.0,4.0,147.0,37.0,50.0,0.0,1.0,0.0,184.0,27.0,38.0,41.5
Jonjoe Kenny,eng ENG,DF,22.0,30.2,2.0,12.0,5.0,41.7,0.4,0.17,0.17,0.4,20.8,0.0,0.0,0.0,1.3,1.3,0.11,0.7,0.7,1168.0,1580.0,73.9,19996.0,8529.0,577.0,673.0,85.7,444.0,581.0,76.4,120.0,230.0,52.2,3.0,1.4,1.5,1.6,15.0,100.0,31.0,9.0,136.0,1580.0,1209.0,359.0,17.0,0.0,13.0,59.0,342.0,0.0,0.0,0.0,0.0,1168.0,12.0,38.0,42.0,1.39,37.0,2.0,0.0,2.0,0.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,49.0,29.0,24.0,19.0,6.0,26.0,51.0,51.0,25.0,45.0,10.0,35.0,26.0,75.0,79.0,0.0,1874.0,85.0,521.0,928.0,441.0,25.0,1874.0,20.0,11.0,55.0,9.0,45.0,853.0,3890.0,2088.0,40.0,32.0,6.0,37.0,20.0,954.0,125.0,31,2717.0,88.0,88.8,30.2,31,88.0,23.0,0,,0,1.19,36.0,49.0,-13.0,-0.43,1.41,33.8,47.6,-13.7,-0.45,-0.43,5.0,0.0,0.0,28.0,9.0,4.0,59.0,26.0,29.0,0.0,1.0,0.0,176.0,30.0,31.0,49.2
Alexander Nübel,de GER,GK,22.0,25.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,717.0,1002.0,71.6,19832.0,13337.0,125.0,126.0,99.2,354.0,357.0,99.2,234.0,511.0,45.8,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1002.0,727.0,271.0,64.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,4.0,0.0,4.0,0.16,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,9.0,6.0,1068.0,883.0,1065.0,3.0,0.0,0.0,1068.0,0.0,0.0,,0.0,,557.0,2691.0,1652.0,0.0,1.0,1.0,2.0,0.0,535.0,0.0,26,2315.0,89.0,75.7,25.7,26,89.0,25.0,0,,4,1.27,31.0,40.0,-9.0,-0.35,0.98,28.5,35.9,-7.4,-0.29,0.49,1.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,29.0,13.0,0.0,100.0
Daniel Caligiuri,it ITA,"MF,FW",31.0,25.5,2.0,43.0,11.0,25.6,1.69,0.43,0.02,0.09,23.1,8.0,1.0,1.0,3.4,2.6,0.06,-1.4,-1.6,626.0,1001.0,62.5,10228.0,4141.0,327.0,427.0,76.6,197.0,305.0,64.6,66.0,138.0,47.8,2.0,3.2,3.7,-1.2,40.0,60.0,27.0,2.0,105.0,1001.0,832.0,160.0,64.0,3.0,4.0,123.0,30.0,66.0,3.0,50.0,1.0,626.0,9.0,53.0,89.0,3.49,41.0,26.0,4.0,7.0,8.0,3.0,6.0,0.24,3.0,1.0,0.0,0.0,2.0,0.0,58.0,37.0,18.0,25.0,15.0,27.0,74.0,36.5,47.0,67.0,6.0,61.0,25.0,83.0,39.0,0.0,1394.0,48.0,201.0,616.0,601.0,56.0,1393.0,77.0,42.0,54.5,35.0,45.5,676.0,4020.0,1773.0,66.0,47.0,21.0,67.0,58.0,773.0,131.0,28,2293.0,82.0,74.9,25.5,26,84.0,16.0,2,52.0,0,1.29,26.0,42.0,-16.0,-0.63,-0.16,26.5,38.8,-12.3,-0.48,-0.31,5.0,0.0,0.0,25.0,41.0,1.0,123.0,25.0,37.0,0.0,0.0,0.0,171.0,58.0,45.0,56.3
Amine Harit,ma MAR,"MF,FW",22.0,23.4,6.0,28.0,11.0,39.3,1.2,0.47,0.18,0.45,22.0,0.0,1.0,1.0,3.3,2.5,0.09,2.7,2.5,754.0,913.0,82.6,10689.0,3118.0,453.0,512.0,88.5,188.0,225.0,83.6,60.0,80.0,75.0,4.0,3.8,3.0,0.2,44.0,71.0,35.0,1.0,134.0,913.0,863.0,46.0,22.0,8.0,6.0,22.0,15.0,9.0,2.0,5.0,0.0,754.0,4.0,19.0,92.0,3.94,70.0,7.0,5.0,2.0,8.0,0.0,10.0,0.43,7.0,0.0,2.0,0.0,1.0,0.0,16.0,7.0,8.0,5.0,3.0,6.0,25.0,24.0,19.0,13.0,0.0,13.0,7.0,23.0,2.0,1.0,1146.0,6.0,103.0,598.0,467.0,58.0,1145.0,91.0,60.0,65.9,31.0,34.1,866.0,6156.0,3131.0,94.0,71.0,18.0,76.0,64.0,931.0,149.0,25,2102.0,84.0,68.7,23.4,24,87.0,16.0,1,15.0,0,1.36,30.0,37.0,-7.0,-0.3,0.92,26.6,35.4,-8.9,-0.38,0.08,3.0,0.0,0.0,19.0,70.0,8.0,22.0,7.0,7.0,1.0,0.0,0.0,118.0,8.0,28.0,22.2
Weston McKennie,us USA,"MF,DF",20.0,23.0,3.0,32.0,8.0,25.0,1.39,0.35,0.09,0.38,18.8,0.0,0.0,0.0,2.7,2.7,0.08,0.3,0.3,844.0,1067.0,79.1,14343.0,4048.0,380.0,468.0,81.2,332.0,384.0,86.5,87.0,132.0,65.9,0.0,2.9,1.4,-2.9,17.0,65.0,12.0,0.0,94.0,1067.0,1021.0,41.0,16.0,3.0,9.0,9.0,25.0,0.0,0.0,0.0,0.0,844.0,5.0,15.0,50.0,2.17,33.0,1.0,5.0,9.0,1.0,1.0,2.0,0.09,1.0,0.0,1.0,0.0,0.0,0.0,38.0,20.0,17.0,16.0,5.0,13.0,40.0,32.5,27.0,38.0,12.0,26.0,46.0,84.0,39.0,0.0,1339.0,74.0,365.0,724.0,267.0,41.0,1339.0,46.0,27.0,58.7,19.0,41.3,643.0,3861.0,1847.0,34.0,34.0,6.0,30.0,20.0,804.0,71.0,28,2074.0,74.0,67.8,23.0,24,82.0,17.0,4,26.0,0,1.14,26.0,41.0,-15.0,-0.65,-0.19,25.7,31.9,-6.1,-0.27,0.44,8.0,0.0,0.0,37.0,15.0,0.0,9.0,46.0,20.0,0.0,1.0,0.0,175.0,63.0,43.0,59.4
Omar Mascarell,es ESP,MF,26.0,22.5,0.0,10.0,2.0,20.0,0.44,0.09,0.0,0.0,24.8,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,1119.0,1326.0,84.4,22588.0,5995.0,327.0,365.0,89.6,620.0,679.0,91.3,151.0,221.0,68.3,1.0,1.2,1.6,-0.2,10.0,80.0,8.0,0.0,80.0,1326.0,1268.0,53.0,50.0,3.0,15.0,4.0,1.0,2.0,0.0,1.0,0.0,1119.0,5.0,19.0,21.0,0.93,17.0,1.0,0.0,0.0,0.0,3.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,42.0,23.0,17.0,22.0,3.0,21.0,57.0,36.8,36.0,46.0,14.0,32.0,62.0,104.0,40.0,0.0,1587.0,90.0,592.0,910.0,100.0,6.0,1587.0,13.0,12.0,92.3,1.0,7.7,832.0,4719.0,1868.0,6.0,9.0,1.0,14.0,12.0,941.0,10.0,23,2026.0,88.0,66.2,22.5,23,88.0,20.0,0,,0,1.57,32.0,30.0,2.0,0.09,2.0,27.7,35.0,-7.3,-0.32,0.25,4.0,0.0,0.0,26.0,18.0,0.0,4.0,62.0,23.0,0.0,0.0,0.0,166.0,58.0,51.0,53.2
Ozan Kabak,tr TUR,DF,19.0,19.7,3.0,11.0,7.0,63.6,0.56,0.35,0.27,0.43,9.7,0.0,0.0,0.0,1.8,1.8,0.17,1.2,1.2,846.0,1040.0,81.3,17441.0,6322.0,274.0,306.0,89.5,447.0,516.0,86.6,118.0,197.0,59.9,1.0,0.5,0.3,0.5,3.0,65.0,1.0,0.0,62.0,1040.0,1022.0,17.0,15.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,846.0,1.0,6.0,11.0,0.56,8.0,0.0,0.0,3.0,0.0,0.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,37.0,23.0,28.0,9.0,0.0,14.0,21.0,66.7,7.0,33.0,19.0,14.0,37.0,74.0,97.0,0.0,1306.0,183.0,687.0,592.0,40.0,21.0,1306.0,23.0,20.0,87.0,3.0,13.0,760.0,4555.0,2816.0,13.0,12.0,2.0,22.0,6.0,801.0,2.0,26,1777.0,68.0,58.1,19.7,21,82.0,18.0,5,10.0,4,1.15,22.0,37.0,-15.0,-0.76,-0.41,19.8,36.5,-16.8,-0.85,-1.06,4.0,0.0,0.0,22.0,13.0,0.0,1.0,37.0,23.0,0.0,1.0,0.0,118.0,75.0,34.0,68.8
Benito Raman,be BEL,FW,24.0,17.8,4.0,34.0,16.0,47.1,1.91,0.9,0.12,0.25,17.2,0.0,0.0,0.0,4.3,4.3,0.13,-0.3,-0.3,220.0,346.0,63.6,3347.0,724.0,122.0,169.0,72.2,64.0,92.0,69.6,19.0,34.0,55.9,3.0,2.0,1.4,1.0,15.0,13.0,7.0,2.0,22.0,346.0,309.0,34.0,1.0,0.0,7.0,19.0,11.0,1.0,1.0,0.0,0.0,220.0,3.0,18.0,27.0,1.52,18.0,0.0,4.0,3.0,2.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,4.0,9.0,5.0,7.0,24.0,29.2,17.0,11.0,1.0,10.0,7.0,25.0,1.0,0.0,516.0,5.0,61.0,209.0,257.0,63.0,516.0,40.0,24.0,60.0,16.0,40.0,278.0,1827.0,752.0,32.0,19.0,15.0,44.0,19.0,311.0,89.0,25,1601.0,64.0,52.3,17.8,19,75.0,4.0,6,29.0,4,1.08,19.0,31.0,-12.0,-0.67,-0.18,18.8,29.2,-10.5,-0.59,-0.38,2.0,0.0,0.0,19.0,9.0,17.0,19.0,7.0,9.0,0.0,0.0,0.0,60.0,6.0,30.0,16.7
Suat Serdar,de GER,MF,22.0,17.8,7.0,36.0,14.0,38.9,2.03,0.79,0.19,0.5,20.7,0.0,0.0,0.0,3.1,3.1,0.09,3.9,3.9,359.0,479.0,74.9,6187.0,1643.0,161.0,201.0,80.1,149.0,176.0,84.7,35.0,57.0,61.4,0.0,1.0,1.1,-1.0,11.0,40.0,7.0,0.0,65.0,479.0,475.0,2.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,359.0,2.0,20.0,35.0,1.97,25.0,0.0,4.0,1.0,3.0,2.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,56.0,37.0,16.0,33.0,7.0,18.0,61.0,29.5,43.0,39.0,7.0,32.0,24.0,80.0,7.0,0.0,761.0,22.0,144.0,467.0,184.0,31.0,761.0,82.0,53.0,64.6,29.0,35.4,462.0,3028.0,1552.0,32.0,29.0,7.0,42.0,44.0,426.0,52.0,20,1599.0,80.0,52.3,17.8,19,83.0,12.0,1,27.0,0,1.65,28.0,28.0,0.0,0.0,1.23,23.3,29.4,-6.1,-0.34,0.13,2.0,0.0,0.0,29.0,34.0,1.0,1.0,24.0,37.0,0.0,0.0,0.0,163.0,20.0,6.0,76.9
