player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rafał Gikiewicz,pl POL,GK,31.0,33.0,0.0,2.0,1.0,50.0,0.06,0.03,0.0,0.0,9.0,0.0,0.0,0.0,0.3,0.3,0.13,-0.3,-0.3,865.0,1354.0,63.9,32976.0,27645.0,69.0,71.0,97.2,317.0,329.0,96.4,479.0,946.0,50.6,0.0,0.3,0.2,-0.3,2.0,60.0,2.0,0.0,0.0,1354.0,921.0,427.0,158.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,6.0,1.0,10.0,0.3,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,2.0,3.0,26.0,4.0,1463.0,1107.0,1453.0,7.0,3.0,2.0,1463.0,0.0,0.0,,0.0,,799.0,4798.0,3493.0,0.0,1.0,1.0,1.0,0.0,638.0,0.0,33,2970.0,90.0,97.1,33.0,33,90.0,33.0,0,,1,1.24,41.0,54.0,-13.0,-0.39,3.61,41.0,52.0,-11.0,-0.33,1.5,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,38.0,10.0,0.0,100.0
Christopher Trimmel,at AUT,"DF,MF",32.0,31.8,0.0,5.0,3.0,60.0,0.16,0.09,0.0,0.0,24.8,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,1085.0,1593.0,68.1,19480.0,8511.0,502.0,577.0,87.0,380.0,515.0,73.8,166.0,395.0,42.0,8.0,6.3,8.4,1.7,67.0,59.0,23.0,19.0,85.0,1593.0,1032.0,553.0,97.0,1.0,7.0,267.0,334.0,122.0,58.0,57.0,2.0,1085.0,8.0,45.0,98.0,3.08,33.0,62.0,2.0,1.0,0.0,0.0,9.0,0.28,1.0,8.0,0.0,0.0,0.0,0.0,71.0,41.0,35.0,32.0,4.0,32.0,54.0,59.3,22.0,31.0,10.0,21.0,51.0,122.0,88.0,1.0,1904.0,110.0,572.0,825.0,530.0,15.0,1904.0,31.0,22.0,71.0,9.0,29.0,699.0,4049.0,2073.0,47.0,41.0,3.0,26.0,9.0,725.0,69.0,32,2863.0,89.0,93.6,31.8,32,89.0,31.0,0,,0,1.19,38.0,53.0,-15.0,-0.47,0.44,39.5,49.4,-10.0,-0.31,1.0,6.0,0.0,0.0,35.0,22.0,1.0,267.0,51.0,41.0,0.0,1.0,0.0,174.0,43.0,31.0,58.1
Marvin Friedrich,de GER,DF,23.0,31.0,2.0,28.0,4.0,14.3,0.9,0.13,0.07,0.5,13.4,0.0,0.0,0.0,2.5,2.5,0.09,-0.5,-0.5,920.0,1214.0,75.8,18844.0,8306.0,294.0,335.0,87.8,450.0,528.0,85.2,147.0,289.0,50.9,0.0,0.1,0.7,-0.1,2.0,87.0,4.0,1.0,96.0,1214.0,1168.0,41.0,39.0,0.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,920.0,5.0,16.0,28.0,0.9,16.0,1.0,2.0,5.0,3.0,1.0,3.0,0.1,0.0,0.0,0.0,1.0,2.0,0.0,45.0,31.0,30.0,14.0,1.0,12.0,37.0,32.4,25.0,46.0,24.0,22.0,42.0,87.0,110.0,0.0,1557.0,157.0,815.0,684.0,85.0,38.0,1557.0,19.0,12.0,63.2,7.0,36.8,864.0,4549.0,2471.0,14.0,11.0,0.0,16.0,8.0,858.0,9.0,31,2789.0,90.0,91.1,31.0,31,90.0,30.0,0,,1,1.19,38.0,55.0,-17.0,-0.55,-0.55,37.5,50.2,-12.7,-0.41,-0.37,11.0,1.0,1.0,38.0,16.0,0.0,6.0,42.0,31.0,0.0,0.0,0.0,189.0,94.0,74.0,56.0
Sebastian Andersson,se SWE,FW,28.0,29.8,12.0,63.0,35.0,55.6,2.11,1.17,0.17,0.31,12.3,0.0,1.0,2.0,11.9,10.3,0.16,0.1,0.7,463.0,800.0,57.9,5556.0,1147.0,280.0,424.0,66.0,113.0,209.0,54.1,10.0,27.0,37.0,1.0,1.9,1.5,-0.9,23.0,42.0,9.0,2.0,54.0,800.0,778.0,18.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,463.0,4.0,26.0,58.0,1.95,44.0,0.0,4.0,5.0,5.0,0.0,8.0,0.27,1.0,0.0,2.0,4.0,1.0,0.0,20.0,10.0,0.0,12.0,8.0,4.0,19.0,21.1,15.0,19.0,3.0,16.0,5.0,25.0,36.0,0.0,1167.0,42.0,80.0,524.0,573.0,120.0,1165.0,52.0,21.0,40.4,31.0,59.6,637.0,2876.0,854.0,34.0,29.0,12.0,94.0,67.0,937.0,204.0,33,2682.0,81.0,87.6,29.8,31,85.0,19.0,2,20.0,0,1.15,34.0,51.0,-17.0,-0.57,-0.57,37.1,46.6,-9.5,-0.32,0.47,5.0,0.0,0.0,62.0,40.0,21.0,31.0,5.0,10.0,0.0,0.0,0.0,89.0,243.0,207.0,54.0
Robert Andrich,de GER,MF,24.0,28.6,1.0,49.0,7.0,14.3,1.71,0.24,0.02,0.14,24.9,4.0,0.0,0.0,2.6,2.6,0.05,-1.6,-1.6,857.0,1214.0,70.6,13887.0,5187.0,389.0,492.0,79.1,339.0,452.0,75.0,71.0,157.0,45.2,2.0,2.1,2.7,-0.1,32.0,109.0,30.0,9.0,151.0,1214.0,1174.0,35.0,20.0,5.0,10.0,39.0,2.0,7.0,2.0,2.0,0.0,857.0,5.0,24.0,83.0,2.9,55.0,4.0,5.0,11.0,6.0,2.0,6.0,0.21,4.0,0.0,0.0,0.0,1.0,1.0,52.0,27.0,28.0,18.0,6.0,19.0,60.0,31.7,41.0,27.0,7.0,20.0,47.0,99.0,36.0,0.0,1542.0,60.0,350.0,897.0,312.0,28.0,1542.0,41.0,28.0,68.3,13.0,31.7,768.0,3284.0,1325.0,25.0,22.0,5.0,36.0,17.0,831.0,31.0,30,2572.0,86.0,84.1,28.6,30,86.0,23.0,0,,0,1.07,33.0,51.0,-18.0,-0.63,-0.81,35.8,45.9,-10.1,-0.36,0.14,13.0,1.0,1.0,65.0,37.0,0.0,39.0,47.0,27.0,1.0,0.0,0.0,189.0,46.0,33.0,58.2
Christian Gentner,de GER,MF,33.0,27.1,3.0,35.0,11.0,31.4,1.29,0.41,0.09,0.27,18.1,0.0,0.0,0.0,2.4,2.4,0.07,0.6,0.6,743.0,1054.0,70.5,11091.0,3515.0,392.0,493.0,79.5,248.0,333.0,74.5,52.0,107.0,48.6,2.0,2.5,2.5,-0.5,27.0,93.0,24.0,8.0,109.0,1054.0,985.0,61.0,20.0,2.0,2.0,29.0,4.0,0.0,0.0,0.0,0.0,743.0,8.0,33.0,68.0,2.5,48.0,3.0,1.0,4.0,9.0,3.0,7.0,0.26,4.0,0.0,0.0,0.0,3.0,0.0,53.0,28.0,16.0,32.0,5.0,22.0,73.0,30.1,51.0,46.0,8.0,38.0,54.0,107.0,50.0,0.0,1385.0,64.0,281.0,784.0,331.0,45.0,1385.0,24.0,15.0,62.5,9.0,37.5,655.0,2750.0,1183.0,23.0,27.0,4.0,35.0,13.0,756.0,71.0,31,2443.0,79.0,79.8,27.1,29,83.0,17.0,2,24.0,2,1.29,35.0,39.0,-4.0,-0.15,1.75,34.2,38.0,-3.9,-0.14,1.16,4.0,0.0,0.0,31.0,40.0,4.0,29.0,54.0,28.0,1.0,0.0,0.0,166.0,33.0,30.0,52.4
Marius Bülter,de GER,"MF,FW",26.0,25.8,7.0,41.0,15.0,36.6,1.59,0.58,0.17,0.47,20.0,0.0,0.0,0.0,3.7,3.7,0.09,3.3,3.3,379.0,639.0,59.3,5567.0,1699.0,211.0,271.0,77.9,123.0,210.0,58.6,22.0,79.0,27.8,1.0,3.8,2.5,-2.8,26.0,25.0,20.0,10.0,49.0,639.0,606.0,30.0,1.0,2.0,3.0,73.0,27.0,0.0,0.0,0.0,0.0,379.0,3.0,29.0,49.0,1.9,34.0,0.0,11.0,3.0,1.0,0.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,38.0,22.0,19.0,13.0,6.0,17.0,54.0,31.5,37.0,37.0,3.0,34.0,11.0,49.0,20.0,1.0,1006.0,24.0,188.0,432.0,408.0,69.0,1006.0,106.0,55.0,51.9,51.0,48.1,596.0,3959.0,1773.0,70.0,44.0,23.0,69.0,46.0,613.0,132.0,32,2321.0,73.0,75.8,25.8,28,80.0,12.0,4,21.0,2,1.19,29.0,47.0,-18.0,-0.7,-0.82,31.5,44.6,-13.1,-0.51,-0.54,1.0,0.0,0.0,33.0,26.0,9.0,73.0,11.0,22.0,0.0,0.0,0.0,134.0,28.0,58.0,32.6
Christopher Lenz,de GER,"DF,MF",24.0,25.2,0.0,14.0,2.0,14.3,0.56,0.08,0.0,0.0,25.2,1.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,836.0,1177.0,71.0,13553.0,6060.0,433.0,498.0,86.9,288.0,398.0,72.4,82.0,180.0,45.6,3.0,2.9,3.2,0.1,24.0,53.0,20.0,10.0,79.0,1177.0,855.0,318.0,9.0,0.0,4.0,64.0,309.0,0.0,0.0,0.0,0.0,836.0,4.0,35.0,60.0,2.38,43.0,9.0,4.0,2.0,2.0,0.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,63.0,37.0,37.0,20.0,6.0,26.0,49.0,53.1,23.0,46.0,11.0,35.0,43.0,106.0,65.0,0.0,1489.0,93.0,465.0,667.0,374.0,14.0,1489.0,38.0,23.0,60.5,15.0,39.5,611.0,3378.0,1650.0,48.0,43.0,6.0,35.0,12.0,636.0,80.0,26,2267.0,87.0,74.1,25.2,26,87.0,24.0,0,,0,1.15,32.0,44.0,-12.0,-0.48,0.09,32.7,42.6,-9.9,-0.39,-0.06,2.0,0.0,0.0,34.0,21.0,1.0,64.0,43.0,37.0,0.0,0.0,0.0,156.0,46.0,42.0,52.3
Neven Subotić,rs SRB,DF,30.0,21.8,1.0,12.0,3.0,25.0,0.55,0.14,0.08,0.33,12.5,0.0,0.0,0.0,1.2,1.2,0.1,-0.2,-0.2,557.0,786.0,70.9,11232.0,5074.0,196.0,239.0,82.0,240.0,306.0,78.4,102.0,196.0,52.0,0.0,0.5,0.7,-0.5,5.0,61.0,6.0,1.0,72.0,786.0,761.0,23.0,23.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,557.0,2.0,13.0,17.0,0.78,14.0,0.0,0.0,2.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,12.0,16.0,2.0,8.0,32.0,25.0,24.0,21.0,8.0,13.0,34.0,64.0,89.0,0.0,1015.0,102.0,458.0,501.0,64.0,14.0,1015.0,4.0,3.0,75.0,1.0,25.0,493.0,2433.0,1205.0,12.0,8.0,0.0,17.0,5.0,496.0,5.0,23,1965.0,85.0,64.2,21.8,23,85.0,16.0,0,,8,1.04,26.0,38.0,-12.0,-0.55,-0.14,24.3,36.4,-12.1,-0.55,-0.5,3.0,1.0,1.0,17.0,4.0,0.0,8.0,34.0,18.0,0.0,1.0,0.0,107.0,68.0,21.0,76.4
Keven Schlotterbeck,de GER,DF,22.0,21.5,0.0,11.0,3.0,27.3,0.51,0.14,0.0,0.0,18.7,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,665.0,843.0,78.9,14168.0,5142.0,181.0,222.0,81.5,369.0,423.0,87.2,109.0,174.0,62.6,0.0,0.0,0.5,0.0,1.0,33.0,2.0,1.0,40.0,843.0,809.0,32.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,665.0,2.0,8.0,8.0,0.37,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,27.0,36.0,15.0,1.0,17.0,29.0,58.6,12.0,40.0,21.0,19.0,40.0,92.0,113.0,1.0,1138.0,151.0,679.0,444.0,28.0,12.0,1138.0,11.0,10.0,90.9,1.0,9.1,539.0,2984.0,1490.0,5.0,4.0,0.0,7.0,3.0,517.0,1.0,23,1939.0,84.0,63.4,21.5,23,84.0,20.0,0,,2,1.35,25.0,35.0,-10.0,-0.46,0.1,23.8,31.2,-7.4,-0.34,0.1,6.0,1.0,0.0,21.0,32.0,1.0,1.0,40.0,27.0,0.0,0.0,0.0,141.0,60.0,53.0,53.1
