player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Stefan Ortega,de GER,GK,27.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1405.0,1957.0,71.8,46203.0,34403.0,167.0,168.0,99.4,647.0,659.0,98.2,590.0,1119.0,52.7,1.0,0.6,0.8,0.4,5.0,112.0,10.0,0.0,2.0,1957.0,1554.0,394.0,144.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.0,9.0,1.0,24.0,0.71,19.0,5.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,2043.0,1421.0,2006.0,37.0,0.0,0.0,2043.0,1.0,1.0,100.0,0.0,0.0,1390.0,7187.0,4759.0,0.0,0.0,0.0,2.0,0.0,1182.0,0.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.03,26.0,52.0,-26.0,-0.76,,32.9,56.8,-23.9,-0.7,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,7.0,0.0,100.0
Ritsu Doan,jp JPN,"MF,FW",22.0,30.8,5.0,69.0,21.0,30.4,2.24,0.68,0.07,0.24,19.9,7.0,0.0,0.0,5.2,5.1,0.07,-0.2,-0.1,518.0,838.0,61.8,8608.0,3365.0,265.0,325.0,81.5,166.0,260.0,63.8,63.0,173.0,36.4,2.0,3.6,3.8,-1.6,45.0,49.0,28.0,9.0,86.0,838.0,690.0,145.0,76.0,4.0,10.0,138.0,11.0,57.0,27.0,21.0,1.0,518.0,3.0,32.0,99.0,3.22,42.0,23.0,20.0,7.0,6.0,1.0,7.0,0.23,4.0,0.0,2.0,1.0,0.0,0.0,53.0,31.0,22.0,19.0,12.0,19.0,52.0,36.5,33.0,42.0,1.0,41.0,31.0,84.0,11.0,0.0,1287.0,10.0,151.0,557.0,606.0,88.0,1287.0,123.0,62.0,50.4,61.0,49.6,736.0,4483.0,2203.0,88.0,48.0,33.0,110.0,51.0,786.0,169.0,34,2768.0,81.0,90.5,30.8,33,83.0,14,1,26.0,0,1.03,23.0,46.0,-23.0,-0.75,0.18,29.5,51.2,-21.6,-0.7,-0.01,1.0,0.0,0.0,30.0,64.0,5.0,138.0,31.0,31.0,1.0,0.0,0.0,140.0,18.0,47.0,27.7
Fabian Klos,de GER,FW,32.0,30.1,5.0,52.0,19.0,36.5,1.73,0.63,0.08,0.21,14.7,0.0,1.0,2.0,7.9,6.3,0.12,-2.9,-2.3,441.0,831.0,53.1,6528.0,1746.0,250.0,426.0,58.7,130.0,234.0,55.6,33.0,67.0,49.3,2.0,4.8,3.9,-2.8,32.0,64.0,16.0,1.0,79.0,831.0,781.0,44.0,3.0,3.0,10.0,28.0,5.0,2.0,0.0,0.0,0.0,441.0,6.0,26.0,68.0,2.26,49.0,0.0,2.0,6.0,8.0,3.0,4.0,0.13,3.0,0.0,1.0,0.0,0.0,0.0,24.0,13.0,9.0,11.0,4.0,7.0,26.0,26.9,19.0,20.0,6.0,14.0,4.0,28.0,29.0,0.0,1135.0,35.0,84.0,542.0,516.0,131.0,1133.0,34.0,8.0,23.5,26.0,76.5,551.0,2371.0,955.0,24.0,22.0,4.0,83.0,29.0,843.0,141.0,34,2709.0,80.0,88.5,30.1,32,83.0,14,2,25.0,0,1.03,25.0,44.0,-19.0,-0.63,1.16,29.6,47.1,-17.5,-0.58,1.06,4.0,0.0,0.0,48.0,56.0,12.0,28.0,4.0,13.0,0.0,0.0,0.0,69.0,218.0,171.0,56.0
Amos Pieper,de GER,DF,22.0,29.8,1.0,14.0,5.0,35.7,0.47,0.17,0.07,0.2,15.2,0.0,0.0,0.0,1.2,1.2,0.09,-0.2,-0.2,1269.0,1540.0,82.4,27784.0,8492.0,312.0,355.0,87.9,733.0,807.0,90.8,217.0,349.0,62.2,1.0,0.5,0.9,0.5,6.0,62.0,12.0,1.0,86.0,1540.0,1487.0,50.0,41.0,0.0,18.0,6.0,9.0,0.0,0.0,0.0,0.0,1269.0,3.0,5.0,19.0,0.64,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,58.0,32.0,39.0,17.0,2.0,20.0,33.0,60.6,13.0,48.0,35.0,13.0,66.0,124.0,160.0,3.0,1901.0,269.0,1156.0,695.0,57.0,20.0,1901.0,11.0,8.0,72.7,3.0,27.3,1077.0,5068.0,2911.0,21.0,4.0,0.0,11.0,2.0,1153.0,6.0,30,2682.0,89.0,87.6,29.8,30,89.0,28,0,,0,1.03,22.0,47.0,-25.0,-0.84,-0.6,29.5,48.7,-19.1,-0.64,0.49,6.0,0.0,0.0,21.0,24.0,0.0,6.0,66.0,32.0,0.0,3.0,0.0,138.0,69.0,68.0,50.4
Cédric Brunner,ch SUI,DF,26.0,29.5,0.0,6.0,1.0,16.7,0.2,0.03,0.0,0.0,15.7,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,1022.0,1455.0,70.2,18770.0,7399.0,448.0,521.0,86.0,431.0,572.0,75.3,123.0,295.0,41.7,1.0,1.3,2.1,-0.3,16.0,73.0,25.0,16.0,87.0,1455.0,1145.0,304.0,20.0,0.0,8.0,66.0,283.0,1.0,0.0,1.0,0.0,1022.0,6.0,29.0,40.0,1.36,27.0,8.0,2.0,0.0,1.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,42.0,22.0,24.0,15.0,3.0,27.0,40.0,67.5,13.0,30.0,10.0,20.0,42.0,84.0,96.0,0.0,1748.0,125.0,671.0,822.0,267.0,8.0,1748.0,31.0,23.0,74.2,8.0,25.8,803.0,3362.0,1482.0,28.0,23.0,1.0,22.0,12.0,835.0,41.0,31,2655.0,86.0,86.8,29.5,30,86.0,23,1,78.0,0,1.13,24.0,40.0,-16.0,-0.54,1.68,28.2,46.2,-18.0,-0.61,0.69,6.0,0.0,0.0,33.0,30.0,1.0,66.0,42.0,22.0,0.0,0.0,0.0,196.0,46.0,32.0,59.0
Manuel Prietl,at AUT,MF,28.0,28.0,1.0,18.0,5.0,27.8,0.64,0.18,0.06,0.2,27.4,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2,777.0,978.0,79.4,14061.0,3957.0,304.0,370.0,82.2,382.0,444.0,86.0,69.0,110.0,62.7,1.0,1.8,2.0,-0.8,10.0,62.0,8.0,1.0,67.0,978.0,965.0,13.0,12.0,2.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,777.0,0.0,17.0,33.0,1.18,25.0,0.0,3.0,1.0,1.0,3.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,65.0,44.0,33.0,28.0,4.0,12.0,73.0,16.4,61.0,34.0,7.0,27.0,45.0,110.0,24.0,0.0,1248.0,59.0,446.0,705.0,111.0,16.0,1248.0,27.0,20.0,74.1,7.0,25.9,606.0,2645.0,1059.0,14.0,12.0,0.0,34.0,10.0,669.0,18.0,28,2517.0,90.0,82.3,28.0,28,90.0,27,0,,1,1.0,20.0,43.0,-23.0,-0.82,-0.33,27.5,50.0,-22.5,-0.8,-0.58,3.0,0.0,0.0,38.0,9.0,0.0,6.0,45.0,44.0,0.0,0.0,0.0,162.0,33.0,31.0,51.6
Joakim Nilsson,se SWE,DF,26.0,24.0,0.0,6.0,2.0,33.3,0.25,0.08,0.0,0.0,9.8,0.0,0.0,0.0,0.9,0.9,0.14,-0.9,-0.9,894.0,1087.0,82.2,17969.0,6239.0,259.0,300.0,86.3,524.0,580.0,90.3,102.0,177.0,57.6,0.0,0.2,0.4,-0.2,2.0,34.0,2.0,1.0,47.0,1087.0,1041.0,42.0,38.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,894.0,4.0,9.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,23.0,12.0,1.0,14.0,23.0,60.9,9.0,29.0,22.0,7.0,39.0,75.0,111.0,0.0,1331.0,179.0,809.0,499.0,30.0,15.0,1331.0,4.0,3.0,75.0,1.0,25.0,698.0,2873.0,1653.0,5.0,0.0,0.0,7.0,1.0,763.0,5.0,25,2162.0,86.0,70.7,24.0,24,89.0,23,1,16.0,8,1.12,20.0,33.0,-13.0,-0.54,0.76,25.7,38.9,-13.3,-0.55,0.51,1.0,0.0,0.0,12.0,14.0,1.0,2.0,39.0,24.0,0.0,0.0,1.0,102.0,73.0,40.0,64.6
Marcel Hartel,de GER,MF,24.0,18.7,0.0,21.0,6.0,28.6,1.12,0.32,0.0,0.0,23.6,2.0,0.0,0.0,1.2,1.2,0.06,-1.2,-1.2,572.0,782.0,73.1,9630.0,2549.0,277.0,314.0,88.2,225.0,289.0,77.9,52.0,125.0,41.6,0.0,1.3,1.6,-1.3,15.0,51.0,15.0,6.0,69.0,782.0,681.0,98.0,50.0,0.0,3.0,61.0,1.0,24.0,12.0,9.0,0.0,572.0,3.0,23.0,37.0,1.98,26.0,6.0,2.0,0.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,35.0,19.0,15.0,18.0,2.0,20.0,40.0,50.0,20.0,17.0,4.0,13.0,26.0,61.0,16.0,1.0,947.0,29.0,189.0,509.0,258.0,19.0,947.0,25.0,17.0,68.0,8.0,32.0,467.0,2233.0,911.0,18.0,13.0,1.0,22.0,16.0,536.0,39.0,22,1681.0,76.0,54.9,18.7,20,83.0,6,2,12.0,11,0.86,15.0,30.0,-15.0,-0.8,-0.09,16.4,31.6,-15.2,-0.82,-0.25,1.0,0.0,0.0,5.0,15.0,5.0,61.0,26.0,19.0,0.0,0.0,0.0,117.0,11.0,19.0,36.7
Anderson Lucoqui,ao ANG,DF,23.0,17.8,0.0,8.0,1.0,12.5,0.45,0.06,0.0,0.0,29.5,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2,472.0,724.0,65.2,8357.0,3211.0,205.0,257.0,79.8,220.0,318.0,69.2,39.0,97.0,40.2,0.0,0.2,0.4,-0.2,6.0,37.0,6.0,2.0,45.0,724.0,536.0,187.0,17.0,0.0,3.0,16.0,170.0,0.0,0.0,0.0,0.0,472.0,1.0,26.0,27.0,1.51,16.0,3.0,0.0,1.0,7.0,0.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,40.0,25.0,23.0,17.0,0.0,20.0,40.0,50.0,20.0,30.0,7.0,23.0,27.0,67.0,53.0,0.0,960.0,64.0,361.0,449.0,160.0,3.0,960.0,22.0,12.0,54.5,10.0,45.5,394.0,2022.0,826.0,18.0,16.0,1.0,32.0,17.0,388.0,23.0,21,1604.0,76.0,52.4,17.8,18,86.0,12,3,16.0,7,1.1,13.0,23.0,-10.0,-0.56,0.43,16.2,30.7,-14.5,-0.81,-0.23,5.0,0.0,0.0,27.0,39.0,0.0,16.0,27.0,25.0,0.0,0.0,0.0,104.0,25.0,24.0,51.0
Mike van der Hoorn,nl NED,DF,27.0,15.1,0.0,5.0,2.0,40.0,0.33,0.13,0.0,0.0,11.1,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,724.0,839.0,86.3,15831.0,5250.0,184.0,201.0,91.5,427.0,452.0,94.5,109.0,169.0,64.5,0.0,0.2,0.3,-0.2,3.0,29.0,3.0,0.0,36.0,839.0,812.0,24.0,24.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,3.0,4.0,5.0,0.33,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,5.0,0.0,1.0,3.0,33.3,2.0,12.0,8.0,4.0,27.0,35.0,73.0,0.0,972.0,134.0,601.0,357.0,17.0,13.0,972.0,1.0,1.0,100.0,0.0,0.0,552.0,2610.0,1437.0,4.0,1.0,0.0,3.0,3.0,645.0,3.0,22,1356.0,62.0,44.3,15.1,15,89.0,13,7,3.0,12,1.14,10.0,25.0,-15.0,-1.0,-0.41,10.8,27.8,-17.0,-1.13,-0.77,3.0,0.0,0.0,11.0,8.0,0.0,0.0,27.0,4.0,0.0,2.0,0.0,82.0,48.0,28.0,63.2
