player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mats Hummels,de GER,DF,31.0,31.3,5.0,30.0,16.0,53.3,0.96,0.51,0.17,0.31,10.6,0.0,0.0,0.0,4.6,4.6,0.16,0.4,0.4,2320.0,2654.0,87.4,51168.0,17573.0,535.0,595.0,89.9,1384.0,1484.0,93.3,390.0,523.0,74.6,0.0,0.8,1.1,-0.8,12.0,140.0,10.0,0.0,149.0,2654.0,2578.0,71.0,64.0,0.0,27.0,1.0,7.0,0.0,0.0,0.0,0.0,2320.0,5.0,11.0,33.0,1.06,30.0,0.0,0.0,2.0,1.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,58.0,40.0,34.0,18.0,6.0,26.0,42.0,61.9,16.0,31.0,22.0,9.0,73.0,131.0,122.0,2.0,2993.0,265.0,1286.0,1632.0,93.0,45.0,2993.0,10.0,7.0,70.0,3.0,30.0,1823.0,9383.0,5362.0,17.0,18.0,1.0,9.0,2.0,2093.0,7.0,33,2813.0,85.0,91.9,31.3,32,87.0,27,1,28.0,0,1.85,67.0,45.0,22.0,0.7,-1.85,62.2,38.4,23.8,0.76,0.45,6.0,0.0,0.0,27.0,15.0,7.0,1.0,73.0,40.0,0.0,0.0,0.0,232.0,127.0,46.0,73.4
Erling Haaland,no NOR,FW,20.0,26.7,27.0,89.0,47.0,52.8,3.33,1.76,0.28,0.53,12.8,0.0,2.0,4.0,23.5,20.3,0.23,3.5,4.7,333.0,468.0,71.2,4220.0,806.0,205.0,268.0,76.5,96.0,124.0,77.4,6.0,17.0,35.3,6.0,3.5,3.2,2.5,27.0,19.0,20.0,0.0,39.0,468.0,424.0,38.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,333.0,6.0,15.0,68.0,2.54,42.0,0.0,14.0,10.0,2.0,0.0,18.0,0.67,10.0,0.0,6.0,2.0,0.0,0.0,7.0,2.0,1.0,3.0,3.0,1.0,4.0,25.0,3.0,19.0,4.0,15.0,4.0,11.0,16.0,0.0,713.0,24.0,37.0,268.0,416.0,173.0,709.0,47.0,30.0,63.8,16.0,34.0,349.0,2120.0,1105.0,47.0,16.0,30.0,52.0,11.0,516.0,157.0,28,2407.0,86.0,78.7,26.7,27,88.0,23,1,27.0,0,1.93,64.0,33.0,31.0,1.16,1.43,54.5,33.0,21.5,0.81,0.38,2.0,0.0,0.0,20.0,22.0,16.0,6.0,4.0,2.0,0.0,0.0,0.0,55.0,37.0,34.0,52.1
Marco Reus,de GER,"MF,FW",31.0,25.3,8.0,54.0,24.0,44.4,2.13,0.95,0.15,0.33,16.7,6.0,0.0,2.0,10.2,7.5,0.14,-2.2,0.5,890.0,1131.0,78.7,13010.0,3208.0,490.0,564.0,86.9,274.0,335.0,81.8,63.0,94.0,67.0,6.0,7.0,6.4,-1.0,49.0,70.0,34.0,3.0,107.0,1131.0,1051.0,78.0,34.0,5.0,6.0,58.0,12.0,17.0,8.0,4.0,0.0,890.0,2.0,30.0,102.0,4.03,63.0,11.0,8.0,8.0,10.0,2.0,15.0,0.59,9.0,2.0,0.0,1.0,2.0,1.0,33.0,16.0,9.0,16.0,8.0,9.0,33.0,27.3,24.0,22.0,2.0,20.0,14.0,47.0,13.0,0.0,1389.0,20.0,117.0,575.0,709.0,147.0,1387.0,65.0,42.0,64.6,23.0,35.4,812.0,4637.0,1947.0,61.0,39.0,23.0,47.0,24.0,1042.0,208.0,32,2279.0,71.0,74.5,25.3,27,80.0,7,5,23.0,1,1.94,58.0,29.0,29.0,1.15,1.15,51.3,27.2,24.2,0.95,0.9,1.0,0.0,0.0,27.0,34.0,10.0,58.0,14.0,16.0,3.0,0.0,0.0,83.0,12.0,20.0,37.5
Manuel Akanji,ch SUI,DF,25.0,26.1,2.0,19.0,4.0,21.1,0.73,0.15,0.11,0.5,13.9,0.0,0.0,0.0,1.7,1.7,0.09,0.3,0.3,1961.0,2137.0,91.8,37492.0,12871.0,698.0,744.0,93.8,1018.0,1067.0,95.4,216.0,273.0,79.1,0.0,0.3,0.8,-0.3,3.0,151.0,6.0,0.0,159.0,2137.0,2076.0,56.0,44.0,1.0,25.0,2.0,12.0,0.0,0.0,0.0,0.0,1961.0,5.0,8.0,22.0,0.84,16.0,1.0,0.0,3.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,41.0,22.0,23.0,12.0,6.0,19.0,31.0,61.3,12.0,23.0,10.0,13.0,49.0,90.0,70.0,1.0,2358.0,189.0,943.0,1331.0,96.0,29.0,2358.0,10.0,9.0,90.0,1.0,10.0,1543.0,8495.0,5042.0,26.0,15.0,2.0,9.0,9.0,1804.0,7.0,28,2350.0,84.0,76.8,26.1,26,89.0,23,2,25.0,0,1.82,60.0,37.0,23.0,0.88,0.12,53.4,30.9,22.5,0.86,0.59,4.0,0.0,0.0,22.0,18.0,0.0,2.0,49.0,22.0,1.0,1.0,0.0,148.0,46.0,30.0,60.5
Raphaël Guerreiro,pt POR,DF,26.0,24.6,5.0,37.0,15.0,40.5,1.5,0.61,0.14,0.33,20.0,3.0,0.0,0.0,3.8,3.8,0.1,1.2,1.2,1841.0,2151.0,85.6,27469.0,10173.0,1054.0,1151.0,91.6,613.0,704.0,87.1,112.0,172.0,65.1,10.0,7.4,8.7,2.6,55.0,188.0,56.0,10.0,243.0,2151.0,1907.0,241.0,33.0,8.0,9.0,70.0,178.0,30.0,13.0,8.0,0.0,1841.0,3.0,23.0,97.0,3.94,83.0,7.0,3.0,1.0,3.0,0.0,15.0,0.61,13.0,1.0,0.0,1.0,0.0,0.0,30.0,13.0,14.0,8.0,8.0,16.0,31.0,51.6,15.0,21.0,4.0,17.0,28.0,58.0,31.0,1.0,2384.0,61.0,489.0,1153.0,754.0,94.0,2384.0,48.0,32.0,66.7,16.0,33.3,1419.0,6892.0,4115.0,86.0,59.0,17.0,40.0,19.0,1733.0,169.0,27,2218.0,82.0,72.5,24.6,25,87.0,19,2,16.0,1,1.96,58.0,34.0,24.0,0.97,0.44,50.4,29.6,20.8,0.84,0.43,1.0,0.0,0.0,10.0,12.0,2.0,70.0,28.0,13.0,0.0,0.0,0.0,174.0,6.0,17.0,26.1
Jadon Sancho,eng ENG,"FW,MF",20.0,22.9,8.0,51.0,16.0,31.4,2.23,0.7,0.14,0.44,16.8,2.0,1.0,1.0,6.6,5.8,0.11,1.4,1.2,1139.0,1460.0,78.0,16184.0,4547.0,674.0,788.0,85.5,344.0,421.0,81.7,67.0,127.0,52.8,11.0,7.7,8.0,3.3,67.0,64.0,82.0,3.0,178.0,1460.0,1314.0,136.0,23.0,6.0,1.0,105.0,41.0,70.0,27.0,30.0,0.0,1139.0,10.0,31.0,125.0,5.46,87.0,22.0,8.0,5.0,3.0,0.0,19.0,0.83,15.0,1.0,1.0,1.0,1.0,0.0,18.0,11.0,4.0,10.0,4.0,7.0,16.0,43.8,9.0,20.0,1.0,19.0,16.0,34.0,9.0,0.0,1757.0,15.0,132.0,641.0,1006.0,114.0,1756.0,138.0,77.0,55.8,61.0,44.2,1111.0,7145.0,3649.0,114.0,77.0,48.0,72.0,35.0,1371.0,276.0,26,2062.0,79.0,67.4,22.9,24,83.0,14,2,30.0,1,1.85,45.0,28.0,17.0,0.74,-0.34,44.0,26.3,17.7,0.77,0.15,0.0,0.0,0.0,1.0,22.0,9.0,105.0,16.0,11.0,0.0,0.0,0.0,115.0,2.0,6.0,25.0
Emre Can,de GER,"DF,MF",26.0,23.7,1.0,17.0,4.0,23.5,0.72,0.17,0.06,0.25,18.8,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,1552.0,1793.0,86.6,29259.0,9149.0,579.0,638.0,90.8,799.0,868.0,92.1,159.0,244.0,65.2,4.0,2.9,3.0,1.1,17.0,128.0,21.0,5.0,133.0,1793.0,1726.0,64.0,35.0,1.0,22.0,18.0,29.0,0.0,0.0,0.0,0.0,1552.0,3.0,8.0,41.0,1.73,34.0,2.0,3.0,0.0,0.0,2.0,8.0,0.34,8.0,0.0,0.0,0.0,0.0,0.0,43.0,34.0,20.0,20.0,3.0,20.0,37.0,54.1,17.0,35.0,10.0,25.0,48.0,91.0,52.0,0.0,2038.0,142.0,714.0,1149.0,199.0,30.0,2038.0,36.0,30.0,83.3,6.0,16.7,1285.0,7106.0,4220.0,53.0,44.0,2.0,20.0,15.0,1481.0,32.0,28,2133.0,76.0,69.7,23.7,23,86.0,19,5,31.0,3,1.86,53.0,32.0,21.0,0.89,0.11,44.8,31.0,13.9,0.59,-0.46,5.0,0.0,0.0,35.0,21.0,1.0,18.0,48.0,34.0,0.0,2.0,0.0,184.0,44.0,21.0,67.7
Gio Reyna,us USA,"MF,FW",17.0,22.0,4.0,38.0,12.0,31.6,1.73,0.55,0.11,0.33,16.6,0.0,0.0,0.0,4.1,4.1,0.11,-0.1,-0.1,754.0,957.0,78.8,10611.0,2195.0,456.0,533.0,85.6,227.0,274.0,82.8,33.0,68.0,48.5,5.0,5.2,3.8,-0.2,35.0,48.0,27.0,1.0,64.0,957.0,885.0,66.0,10.0,3.0,4.0,60.0,19.0,31.0,11.0,18.0,0.0,754.0,6.0,28.0,73.0,3.32,44.0,8.0,8.0,3.0,10.0,0.0,10.0,0.46,6.0,1.0,1.0,1.0,1.0,0.0,24.0,13.0,9.0,8.0,7.0,9.0,25.0,36.0,16.0,14.0,1.0,13.0,10.0,34.0,11.0,0.0,1193.0,13.0,103.0,532.0,568.0,96.0,1193.0,74.0,44.0,59.5,30.0,40.5,725.0,4684.0,2298.0,65.0,51.0,33.0,54.0,44.0,946.0,215.0,32,1976.0,62.0,64.6,22.0,23,80.0,9,9,16.0,0,1.97,44.0,31.0,13.0,0.59,-0.74,42.2,26.6,15.6,0.71,-0.04,1.0,0.0,0.0,26.0,48.0,4.0,60.0,10.0,13.0,1.0,0.0,0.0,87.0,17.0,39.0,30.4
Jude Bellingham,eng ENG,MF,17.0,18.9,1.0,33.0,8.0,24.2,1.75,0.42,0.03,0.13,19.8,0.0,0.0,0.0,2.5,2.5,0.08,-1.5,-1.5,866.0,1049.0,82.6,14258.0,3234.0,413.0,478.0,86.4,338.0,380.0,88.9,74.0,101.0,73.3,3.0,3.2,3.4,-0.2,14.0,74.0,22.0,1.0,93.0,1049.0,1022.0,22.0,15.0,3.0,6.0,20.0,2.0,0.0,0.0,0.0,0.0,866.0,5.0,23.0,39.0,2.07,33.0,0.0,1.0,1.0,3.0,1.0,7.0,0.37,7.0,0.0,0.0,0.0,0.0,0.0,49.0,31.0,11.0,29.0,9.0,19.0,46.0,41.3,27.0,37.0,5.0,32.0,24.0,73.0,13.0,0.0,1299.0,20.0,195.0,730.0,384.0,52.0,1299.0,47.0,28.0,59.6,19.0,40.4,736.0,3119.0,1352.0,28.0,35.0,6.0,44.0,31.0,981.0,80.0,29,1697.0,59.0,55.5,18.9,19,76.0,5,10,26.0,2,1.79,43.0,29.0,14.0,0.74,-0.25,37.8,20.9,16.8,0.89,0.38,6.0,1.0,1.0,40.0,52.0,1.0,20.0,24.0,31.0,0.0,1.0,0.0,117.0,26.0,26.0,50.0
Roman Bürki,ch SUI,GK,29.0,18.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,514.0,630.0,81.6,12846.0,8711.0,97.0,97.0,100.0,277.0,279.0,99.3,139.0,252.0,55.2,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,630.0,498.0,131.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,514.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,670.0,575.0,665.0,4.0,1.0,1.0,670.0,0.0,0.0,,0.0,,390.0,1662.0,913.0,0.0,0.0,0.0,1.0,0.0,370.0,0.0,19,1665.0,88.0,54.4,18.5,18,90.0,18,1,45.0,9,1.68,38.0,30.0,8.0,0.43,-0.92,35.1,24.2,10.9,0.59,-0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,50.0
