player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Christian Günter,de GER,"DF,MF",27.0,34.0,3.0,26.0,7.0,26.9,0.76,0.21,0.12,0.43,23.4,1.0,0.0,0.0,1.0,1.0,0.04,2.0,2.0,1187.0,1645.0,72.2,20960.0,8419.0,561.0,648.0,86.6,457.0,597.0,76.5,141.0,294.0,48.0,3.0,5.9,6.4,-2.9,68.0,89.0,50.0,37.0,115.0,1645.0,1222.0,413.0,57.0,0.0,19.0,213.0,300.0,56.0,28.0,19.0,0.0,1187.0,10.0,49.0,108.0,3.18,78.0,22.0,2.0,2.0,3.0,1.0,10.0,0.29,9.0,1.0,0.0,0.0,0.0,0.0,34.0,19.0,18.0,13.0,3.0,15.0,43.0,34.9,28.0,38.0,9.0,29.0,29.0,63.0,40.0,0.0,1905.0,54.0,433.0,807.0,676.0,52.0,1905.0,35.0,16.0,45.7,19.0,54.3,893.0,4087.0,2245.0,67.0,51.0,16.0,37.0,14.0,1116.0,188.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.32,52.0,52.0,0.0,0.0,,45.5,52.4,-6.9,-0.2,,2.0,0.0,0.0,31.0,18.0,2.0,213.0,29.0,19.0,0.0,0.0,0.0,131.0,14.0,16.0,46.7
Philipp Lienhart,at AUT,DF,24.0,33.3,4.0,10.0,4.0,40.0,0.3,0.12,0.4,1.0,8.5,0.0,0.0,0.0,1.9,1.9,0.19,2.1,2.1,1661.0,1957.0,84.9,35640.0,11078.0,403.0,456.0,88.4,1021.0,1075.0,95.0,230.0,393.0,58.5,0.0,0.2,0.3,-0.2,5.0,64.0,1.0,0.0,76.0,1957.0,1858.0,97.0,82.0,0.0,40.0,3.0,15.0,0.0,0.0,0.0,0.0,1661.0,2.0,14.0,17.0,0.51,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,12.0,7.0,2.0,9.0,20.0,45.0,11.0,30.0,21.0,9.0,42.0,63.0,100.0,0.0,2192.0,220.0,1278.0,865.0,63.0,15.0,2192.0,7.0,4.0,57.1,3.0,42.9,1368.0,7865.0,4247.0,16.0,13.0,1.0,11.0,2.0,1495.0,7.0,34,2993.0,88.0,97.8,33.3,34,88.0,32,0,,0,1.32,50.0,51.0,-1.0,-0.03,-1.37,44.3,51.3,-7.0,-0.21,-0.35,4.0,0.0,0.0,16.0,35.0,3.0,3.0,42.0,13.0,0.0,0.0,0.0,169.0,59.0,43.0,57.8
Florian Müller,de GER,GK,22.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,912.0,1333.0,68.4,25817.0,18738.0,142.0,143.0,99.3,509.0,517.0,98.5,259.0,668.0,38.8,0.0,0.0,0.1,0.0,0.0,21.0,1.0,0.0,0.0,1333.0,992.0,339.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,2.0,2.0,11.0,0.35,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.13,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,10.0,1.0,1420.0,1209.0,1412.0,8.0,0.0,0.0,1420.0,1.0,1.0,100.0,0.0,0.0,798.0,3468.0,1836.0,0.0,0.0,0.0,3.0,0.0,731.0,0.0,31,2790.0,90.0,91.2,31.0,31,90.0,31,0,,0,1.32,45.0,46.0,-1.0,-0.03,-0.37,41.2,45.6,-4.3,-0.14,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,100.0
Nicolas Höfler,de GER,MF,30.0,30.3,1.0,20.0,8.0,40.0,0.66,0.26,0.05,0.13,16.6,0.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,1169.0,1393.0,83.9,20176.0,6241.0,499.0,581.0,85.9,537.0,588.0,91.3,92.0,132.0,69.7,3.0,1.3,1.8,1.7,15.0,100.0,13.0,2.0,122.0,1393.0,1315.0,74.0,38.0,2.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,1169.0,4.0,31.0,46.0,1.52,33.0,2.0,1.0,4.0,4.0,2.0,11.0,0.36,6.0,0.0,1.0,2.0,1.0,1.0,54.0,28.0,16.0,31.0,7.0,23.0,59.0,39.0,36.0,34.0,10.0,24.0,66.0,120.0,41.0,2.0,1686.0,79.0,451.0,1024.0,230.0,27.0,1686.0,49.0,34.0,69.4,15.0,30.6,893.0,4515.0,2235.0,26.0,20.0,3.0,29.0,15.0,985.0,14.0,31,2729.0,88.0,89.2,30.3,30,89.0,29,1,45.0,0,1.42,49.0,43.0,6.0,0.2,1.83,41.9,45.8,-3.9,-0.13,0.7,11.0,0.0,0.0,70.0,34.0,0.0,10.0,66.0,28.0,1.0,2.0,0.0,183.0,62.0,45.0,57.9
Baptiste Santamaria,fr FRA,MF,25.0,24.5,1.0,29.0,8.0,27.6,1.18,0.33,0.03,0.13,23.2,0.0,0.0,0.0,2.2,2.2,0.08,-1.2,-1.2,777.0,1043.0,74.5,13595.0,3702.0,358.0,444.0,80.6,321.0,394.0,81.5,74.0,131.0,56.5,2.0,1.4,1.5,0.6,15.0,65.0,12.0,4.0,96.0,1043.0,1021.0,19.0,14.0,1.0,9.0,35.0,2.0,0.0,0.0,0.0,0.0,777.0,3.0,30.0,40.0,1.63,31.0,0.0,3.0,4.0,1.0,1.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,51.0,38.0,19.0,24.0,8.0,20.0,54.0,37.0,34.0,36.0,7.0,29.0,52.0,103.0,34.0,1.0,1350.0,58.0,305.0,783.0,276.0,36.0,1350.0,29.0,19.0,65.5,10.0,34.5,631.0,3003.0,1256.0,30.0,16.0,9.0,56.0,28.0,786.0,58.0,30,2209.0,74.0,72.2,24.5,28,78.0,13,2,18.0,0,1.23,37.0,36.0,1.0,0.04,0.15,32.3,32.3,0.0,0.0,0.73,5.0,0.0,0.0,32.0,26.0,1.0,35.0,52.0,38.0,0.0,0.0,1.0,172.0,56.0,38.0,59.6
Jonathan Schmid,fr FRA,"MF,DF",30.0,26.6,2.0,21.0,9.0,42.9,0.79,0.34,0.1,0.22,21.6,6.0,0.0,0.0,1.1,1.1,0.05,0.9,0.9,995.0,1333.0,74.6,18132.0,7591.0,432.0,510.0,84.7,436.0,556.0,78.4,110.0,198.0,55.6,2.0,2.4,3.0,-0.4,24.0,82.0,36.0,18.0,130.0,1333.0,1017.0,311.0,20.0,0.0,15.0,92.0,289.0,2.0,0.0,2.0,0.0,995.0,5.0,37.0,59.0,2.22,44.0,9.0,3.0,1.0,2.0,0.0,7.0,0.26,4.0,3.0,0.0,0.0,0.0,0.0,37.0,19.0,17.0,13.0,7.0,16.0,30.0,53.3,14.0,26.0,10.0,16.0,28.0,65.0,38.0,0.0,1563.0,63.0,416.0,691.0,469.0,41.0,1563.0,39.0,19.0,48.7,20.0,51.3,719.0,3429.0,1986.0,49.0,34.0,9.0,29.0,13.0,822.0,122.0,31,2393.0,77.0,78.2,26.6,27,85.0,17,4,27.0,0,1.32,38.0,40.0,-2.0,-0.08,-0.35,35.2,39.9,-4.7,-0.18,0.12,4.0,0.0,0.0,17.0,17.0,0.0,92.0,28.0,19.0,0.0,0.0,0.0,146.0,15.0,19.0,44.1
Vincenzo Grifo,it ITA,"MF,FW",27.0,25.7,9.0,54.0,23.0,42.6,2.1,0.89,0.09,0.22,20.7,7.0,4.0,4.0,8.1,4.9,0.09,0.9,0.1,838.0,1148.0,73.0,15258.0,4435.0,372.0,432.0,86.1,306.0,407.0,75.2,121.0,221.0,54.8,10.0,7.1,5.9,2.9,65.0,79.0,33.0,5.0,135.0,1148.0,1008.0,137.0,53.0,4.0,20.0,134.0,10.0,64.0,26.0,29.0,0.0,838.0,3.0,33.0,127.0,4.94,76.0,34.0,4.0,8.0,5.0,0.0,17.0,0.66,11.0,3.0,1.0,1.0,1.0,0.0,18.0,7.0,6.0,7.0,5.0,14.0,34.0,41.2,20.0,13.0,0.0,13.0,27.0,45.0,18.0,1.0,1397.0,18.0,186.0,627.0,603.0,69.0,1393.0,57.0,31.0,54.4,26.0,45.6,815.0,4630.0,2181.0,68.0,56.0,22.0,58.0,34.0,954.0,153.0,31,2313.0,75.0,75.6,25.7,27,81.0,8,4,33.0,1,1.35,44.0,40.0,4.0,0.16,0.64,36.0,39.2,-3.2,-0.12,0.32,2.0,0.0,0.0,11.0,18.0,2.0,134.0,27.0,7.0,0.0,0.0,0.0,135.0,12.0,13.0,48.0
Lucas Höler,de GER,"FW,MF",26.0,23.2,4.0,42.0,12.0,28.6,1.81,0.52,0.1,0.33,12.7,0.0,0.0,0.0,8.5,8.5,0.21,-4.5,-4.5,439.0,679.0,64.7,6142.0,1063.0,276.0,367.0,75.2,123.0,191.0,64.4,21.0,36.0,58.3,4.0,2.8,1.8,1.2,21.0,29.0,11.0,1.0,46.0,679.0,655.0,22.0,3.0,2.0,3.0,22.0,4.0,0.0,0.0,0.0,0.0,439.0,2.0,37.0,55.0,2.37,34.0,0.0,3.0,8.0,10.0,0.0,8.0,0.35,5.0,0.0,0.0,2.0,1.0,0.0,36.0,24.0,13.0,19.0,4.0,12.0,32.0,37.5,20.0,19.0,2.0,17.0,16.0,52.0,14.0,0.0,973.0,18.0,128.0,430.0,429.0,100.0,973.0,48.0,27.0,56.3,21.0,43.8,555.0,3091.0,1405.0,57.0,33.0,17.0,87.0,31.0,725.0,148.0,33,2089.0,63.0,68.3,23.2,22,78.0,7,11,33.0,0,1.36,34.0,35.0,-1.0,-0.04,-0.14,32.4,33.1,-0.7,-0.03,0.55,5.0,0.0,0.0,26.0,77.0,13.0,22.0,16.0,24.0,1.0,0.0,0.0,103.0,71.0,65.0,52.2
Manuel Gulde,de GER,DF,29.0,21.7,2.0,9.0,6.0,66.7,0.41,0.28,0.22,0.33,10.7,0.0,0.0,0.0,0.8,0.8,0.09,1.2,1.2,898.0,1030.0,87.2,17088.0,5226.0,304.0,333.0,91.3,504.0,543.0,92.8,82.0,133.0,61.7,0.0,0.0,0.4,0.0,0.0,37.0,0.0,0.0,54.0,1030.0,1007.0,21.0,20.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,898.0,2.0,6.0,11.0,0.51,9.0,0.0,0.0,1.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,12.0,12.0,3.0,5.0,21.0,23.8,16.0,25.0,15.0,10.0,37.0,64.0,64.0,0.0,1210.0,118.0,631.0,537.0,48.0,16.0,1210.0,5.0,3.0,60.0,2.0,40.0,670.0,2734.0,1488.0,9.0,5.0,1.0,3.0,2.0,787.0,7.0,27,1954.0,72.0,63.9,21.7,22,85.0,14,5,17.0,7,1.48,35.0,31.0,4.0,0.18,0.51,31.6,32.8,-1.3,-0.06,0.4,3.0,0.0,0.0,17.0,20.0,2.0,3.0,37.0,15.0,0.0,0.0,0.0,97.0,47.0,36.0,56.6
Roland Sallai,hu HUN,"MF,FW",23.0,18.5,8.0,46.0,19.0,41.3,2.49,1.03,0.15,0.37,16.7,3.0,1.0,1.0,6.4,5.6,0.12,1.6,1.4,336.0,485.0,69.3,5384.0,1821.0,175.0,217.0,80.6,115.0,149.0,77.2,34.0,64.0,53.1,3.0,1.4,1.3,1.6,15.0,44.0,16.0,7.0,65.0,485.0,473.0,4.0,1.0,1.0,2.0,46.0,3.0,0.0,0.0,0.0,0.0,336.0,8.0,23.0,43.0,2.33,30.0,0.0,0.0,3.0,10.0,0.0,8.0,0.43,5.0,0.0,0.0,1.0,2.0,0.0,18.0,14.0,7.0,9.0,2.0,5.0,13.0,38.5,8.0,11.0,1.0,10.0,11.0,29.0,8.0,0.0,690.0,9.0,84.0,318.0,300.0,55.0,689.0,44.0,16.0,36.4,28.0,63.6,410.0,2937.0,1300.0,54.0,33.0,9.0,43.0,16.0,513.0,118.0,28,1661.0,59.0,54.3,18.5,22,70.0,1,6,20.0,0,1.32,29.0,29.0,0.0,0.0,0.0,23.7,28.1,-4.4,-0.24,-0.08,5.0,0.0,0.0,49.0,56.0,12.0,46.0,11.0,14.0,2.0,0.0,0.0,60.0,36.0,53.0,40.4
