player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Amine Harit,ma MAR,"MF,FW",23.0,23.3,2.0,22.0,5.0,22.7,0.94,0.21,0.09,0.4,21.4,1.0,0.0,0.0,1.5,1.5,0.07,0.5,0.5,639.0,869.0,73.5,10046.0,3127.0,323.0,391.0,82.6,211.0,264.0,79.9,64.0,120.0,53.3,5.0,5.1,4.0,-0.1,51.0,42.0,39.0,3.0,93.0,869.0,763.0,103.0,46.0,7.0,7.0,71.0,8.0,42.0,13.0,25.0,0.0,639.0,3.0,25.0,99.0,4.24,59.0,16.0,10.0,2.0,11.0,1.0,7.0,0.3,6.0,1.0,0.0,0.0,0.0,0.0,22.0,13.0,8.0,11.0,3.0,10.0,23.0,43.5,13.0,9.0,1.0,8.0,17.0,39.0,7.0,1.0,1117.0,12.0,159.0,545.0,447.0,49.0,1117.0,142.0,90.0,63.4,52.0,36.6,782.0,5435.0,2762.0,83.0,70.0,18.0,65.0,60.0,856.0,152.0,28,2101.0,75.0,68.7,23.3,25,80.0,11,3,31.0,1,0.5,20.0,60.0,-40.0,-1.71,0.26,19.9,45.3,-25.4,-1.09,0.32,4.0,0.0,0.0,28.0,79.0,7.0,71.0,17.0,13.0,2.0,0.0,0.0,99.0,6.0,22.0,21.4
Suat Serdar,de GER,MF,23.0,21.7,1.0,32.0,9.0,28.1,1.47,0.41,0.03,0.11,20.4,0.0,0.0,0.0,2.1,2.1,0.07,-1.1,-1.1,455.0,609.0,74.7,8383.0,2163.0,186.0,237.0,78.5,196.0,233.0,84.1,59.0,80.0,73.8,3.0,1.3,0.9,1.7,14.0,49.0,11.0,0.0,67.0,609.0,585.0,19.0,11.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,455.0,5.0,26.0,36.0,1.66,25.0,1.0,1.0,2.0,6.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,55.0,35.0,18.0,33.0,4.0,17.0,52.0,32.7,35.0,29.0,4.0,25.0,23.0,78.0,21.0,0.0,899.0,44.0,187.0,526.0,203.0,44.0,899.0,63.0,39.0,61.9,24.0,38.1,505.0,3232.0,1622.0,44.0,23.0,6.0,54.0,41.0,526.0,52.0,25,1953.0,78.0,63.8,21.7,24,81.0,18,1,12.0,0,0.36,13.0,56.0,-43.0,-1.98,-0.52,17.9,43.4,-25.5,-1.17,0.05,3.0,0.0,0.0,28.0,47.0,0.0,3.0,23.0,35.0,1.0,0.0,1.0,148.0,14.0,19.0,42.4
Benjamin Stambouli,fr FRA,"DF,MF",29.0,21.7,0.0,2.0,1.0,50.0,0.09,0.05,0.0,0.0,22.7,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,780.0,1075.0,72.6,14948.0,6659.0,299.0,374.0,79.9,357.0,439.0,81.3,104.0,210.0,49.5,2.0,0.4,0.9,1.6,8.0,68.0,10.0,0.0,102.0,1075.0,993.0,72.0,36.0,1.0,11.0,10.0,36.0,0.0,0.0,0.0,0.0,780.0,10.0,15.0,23.0,1.06,17.0,3.0,0.0,0.0,2.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,24.0,18.0,3.0,15.0,37.0,40.5,22.0,42.0,14.0,28.0,49.0,94.0,45.0,1.0,1305.0,132.0,553.0,651.0,109.0,3.0,1305.0,23.0,17.0,73.9,6.0,26.1,647.0,3124.0,1606.0,16.0,19.0,1.0,17.0,14.0,709.0,9.0,24,1956.0,82.0,63.9,21.7,22,86.0,19,2,37.0,6,0.42,12.0,56.0,-44.0,-2.02,-0.64,17.0,44.5,-27.5,-1.26,-0.2,5.0,0.0,0.0,21.0,17.0,2.0,10.0,49.0,29.0,0.0,0.0,0.0,151.0,33.0,30.0,52.4
Ralf Fährmann,de GER,GK,31.0,20.8,0.0,1.0,0.0,0.0,0.05,0.0,0.0,,7.2,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,533.0,824.0,64.7,14348.0,9652.0,101.0,101.0,100.0,259.0,269.0,96.3,169.0,445.0,38.0,0.0,0.1,0.0,-0.1,2.0,8.0,0.0,0.0,0.0,824.0,558.0,263.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,3.0,1.0,6.0,0.29,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,3.0,898.0,725.0,889.0,11.0,1.0,1.0,898.0,0.0,0.0,,0.0,,462.0,2566.0,1552.0,0.0,1.0,1.0,0.0,1.0,361.0,0.0,22,1876.0,85.0,61.3,20.8,22,85.0,20,0,,2,0.55,18.0,50.0,-32.0,-1.54,0.67,18.2,41.0,-22.7,-1.09,0.26,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,7.0,0.0,100.0
Omar Mascarell,es ESP,MF,27.0,19.6,1.0,10.0,3.0,30.0,0.51,0.15,0.1,0.33,26.3,1.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,725.0,894.0,81.1,13883.0,3943.0,281.0,324.0,86.7,324.0,369.0,87.8,106.0,152.0,69.7,1.0,0.6,1.0,0.4,5.0,53.0,6.0,0.0,69.0,894.0,849.0,40.0,31.0,1.0,14.0,16.0,0.0,9.0,5.0,4.0,0.0,725.0,5.0,18.0,16.0,0.82,12.0,3.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,41.0,24.0,15.0,19.0,7.0,21.0,54.0,38.9,33.0,40.0,14.0,26.0,37.0,78.0,32.0,1.0,1115.0,68.0,344.0,693.0,90.0,3.0,1115.0,16.0,8.0,50.0,8.0,50.0,547.0,2589.0,890.0,10.0,8.0,0.0,16.0,11.0,636.0,5.0,24,1762.0,73.0,57.6,19.6,21,80.0,15,3,26.0,3,0.38,12.0,47.0,-35.0,-1.79,0.02,16.5,40.2,-23.7,-1.21,-0.04,6.0,0.0,0.0,26.0,9.0,0.0,16.0,37.0,24.0,0.0,0.0,0.0,123.0,27.0,26.0,50.9
Bastian Oczipka,de GER,"DF,FW",31.0,21.4,0.0,8.0,0.0,0.0,0.37,0.0,0.0,,24.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,865.0,1121.0,77.2,14129.0,5790.0,456.0,509.0,89.6,329.0,410.0,80.2,67.0,143.0,46.9,2.0,1.7,1.8,0.3,24.0,58.0,20.0,10.0,71.0,1121.0,887.0,230.0,27.0,0.0,7.0,72.0,183.0,20.0,10.0,10.0,0.0,865.0,4.0,28.0,44.0,2.06,29.0,14.0,0.0,0.0,1.0,0.0,4.0,0.19,3.0,1.0,0.0,0.0,0.0,0.0,33.0,20.0,22.0,10.0,1.0,7.0,21.0,33.3,14.0,22.0,4.0,18.0,24.0,57.0,41.0,0.0,1322.0,72.0,449.0,627.0,257.0,8.0,1322.0,26.0,9.0,34.6,17.0,65.4,690.0,3727.0,1861.0,40.0,29.0,1.0,26.0,15.0,742.0,60.0,27,1922.0,71.0,62.8,21.4,20,89.0,18,7,21.0,6,0.52,16.0,60.0,-44.0,-2.06,-0.72,19.5,47.4,-27.9,-1.31,-0.31,1.0,0.0,0.0,14.0,15.0,1.0,72.0,24.0,20.0,0.0,0.0,0.0,109.0,16.0,26.0,38.1
Timo Becker,de GER,DF,23.0,18.2,0.0,5.0,1.0,20.0,0.27,0.05,0.0,0.0,19.7,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,593.0,788.0,75.3,10248.0,3492.0,261.0,312.0,83.7,269.0,327.0,82.3,51.0,97.0,52.6,0.0,0.4,0.3,-0.4,3.0,28.0,8.0,4.0,44.0,788.0,672.0,114.0,17.0,0.0,6.0,23.0,97.0,0.0,0.0,0.0,0.0,593.0,2.0,27.0,10.0,0.55,6.0,1.0,1.0,0.0,2.0,0.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,34.0,23.0,28.0,6.0,0.0,16.0,25.0,64.0,9.0,18.0,4.0,14.0,22.0,56.0,58.0,0.0,991.0,93.0,459.0,405.0,140.0,10.0,991.0,29.0,15.0,51.7,14.0,48.3,485.0,2676.0,1300.0,21.0,20.0,1.0,26.0,14.0,562.0,48.0,20,1640.0,82.0,53.6,18.2,18,89.0,16,2,23.0,2,0.6,17.0,44.0,-27.0,-1.48,0.67,15.1,33.7,-18.7,-1.02,0.36,1.0,0.0,0.0,9.0,9.0,0.0,23.0,22.0,23.0,0.0,0.0,0.0,93.0,19.0,25.0,43.2
Mark Uth,de GER,"FW,MF",28.0,16.6,3.0,35.0,10.0,28.6,2.11,0.6,0.09,0.3,20.3,4.0,0.0,0.0,3.2,3.2,0.09,-0.2,-0.2,409.0,562.0,72.8,7311.0,1840.0,190.0,227.0,83.7,138.0,171.0,80.7,58.0,115.0,50.4,1.0,1.9,1.7,-0.9,23.0,32.0,7.0,1.0,53.0,562.0,471.0,87.0,31.0,3.0,16.0,72.0,1.0,40.0,16.0,24.0,0.0,409.0,4.0,11.0,46.0,2.77,23.0,14.0,1.0,4.0,3.0,1.0,2.0,0.12,1.0,0.0,0.0,0.0,1.0,0.0,25.0,13.0,13.0,10.0,2.0,5.0,23.0,21.7,18.0,21.0,0.0,21.0,5.0,30.0,10.0,0.0,763.0,13.0,107.0,390.0,272.0,40.0,763.0,40.0,18.0,45.0,22.0,55.0,424.0,2460.0,990.0,34.0,20.0,6.0,50.0,21.0,512.0,69.0,20,1494.0,75.0,48.8,16.6,18,79.0,12,2,37.0,0,0.5,14.0,46.0,-32.0,-1.93,-0.26,17.1,39.4,-22.3,-1.34,-0.3,5.0,0.0,0.0,28.0,28.0,10.0,72.0,5.0,13.0,0.0,0.0,0.0,67.0,7.0,12.0,36.8
Sead Kolašinac,ba BIH,"DF,MF",27.0,15.8,1.0,6.0,1.0,16.7,0.38,0.06,0.17,1.0,15.1,0.0,0.0,0.0,0.3,0.3,0.06,0.7,0.7,583.0,738.0,79.0,8755.0,3095.0,310.0,356.0,87.1,230.0,285.0,80.7,23.0,50.0,46.0,1.0,1.4,0.9,-0.4,13.0,28.0,9.0,4.0,51.0,738.0,628.0,109.0,14.0,0.0,0.0,19.0,94.0,0.0,0.0,0.0,0.0,583.0,1.0,12.0,22.0,1.39,16.0,0.0,4.0,0.0,1.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,10.0,7.0,3.0,8.0,18.0,44.4,10.0,17.0,5.0,12.0,20.0,40.0,17.0,0.0,872.0,49.0,270.0,416.0,192.0,29.0,872.0,24.0,15.0,62.5,9.0,37.5,439.0,2295.0,1470.0,33.0,19.0,6.0,19.0,8.0,520.0,61.0,17,1426.0,84.0,46.6,15.8,16,88.0,14,1,17.0,0,0.53,12.0,38.0,-26.0,-1.64,0.29,11.4,27.2,-15.8,-1.0,0.36,5.0,0.0,0.0,19.0,13.0,2.0,19.0,20.0,17.0,0.0,1.0,0.0,104.0,14.0,21.0,40.0
Malick Thiaw,de GER,DF,18.0,16.1,1.0,8.0,4.0,50.0,0.5,0.25,0.13,0.25,9.3,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,613.0,764.0,80.2,11772.0,4068.0,206.0,243.0,84.8,342.0,387.0,88.4,58.0,109.0,53.2,0.0,0.1,0.1,-0.1,2.0,22.0,1.0,0.0,28.0,764.0,713.0,49.0,20.0,0.0,5.0,2.0,29.0,0.0,0.0,0.0,0.0,613.0,2.0,10.0,6.0,0.37,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,24.0,17.0,1.0,15.0,26.0,57.7,11.0,17.0,12.0,5.0,33.0,75.0,70.0,0.0,967.0,155.0,555.0,370.0,45.0,14.0,967.0,4.0,2.0,50.0,2.0,50.0,519.0,2150.0,956.0,4.0,8.0,2.0,13.0,3.0,582.0,10.0,19,1452.0,76.0,47.5,16.1,15,89.0,14,4,31.0,9,0.53,5.0,40.0,-35.0,-2.17,-0.71,10.9,30.2,-19.3,-1.19,-0.01,5.0,1.0,1.0,26.0,7.0,2.0,2.0,33.0,27.0,0.0,0.0,1.0,86.0,36.0,33.0,52.2
