player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gregor Kobel,ch SUI,GK,22.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1009.0,1222.0,82.6,22272.0,16279.0,364.0,364.0,100.0,419.0,425.0,98.6,198.0,401.0,49.4,0.0,0.1,0.1,-0.1,1.0,11.0,1.0,0.0,0.0,1222.0,885.0,335.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,2.0,1.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,1.0,1301.0,1110.0,1298.0,3.0,0.0,0.0,1301.0,1.0,1.0,100.0,0.0,0.0,710.0,3637.0,1941.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,0,1.27,54.0,54.0,0.0,0.0,-1.0,49.7,50.0,-0.2,-0.01,0.52,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,65.0,4.0,2.0,66.7
Wataru Endo,jp JPN,MF,27.0,32.8,3.0,28.0,14.0,50.0,0.85,0.43,0.11,0.21,19.9,0.0,0.0,0.0,2.6,2.6,0.09,0.4,0.4,1526.0,1830.0,83.4,25197.0,8849.0,722.0,815.0,88.6,643.0,736.0,87.4,114.0,170.0,67.1,3.0,1.8,2.2,1.2,26.0,172.0,19.0,1.0,187.0,1830.0,1794.0,31.0,25.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,1526.0,5.0,32.0,74.0,2.25,62.0,1.0,0.0,2.0,4.0,5.0,6.0,0.18,5.0,0.0,0.0,0.0,1.0,0.0,65.0,44.0,25.0,34.0,6.0,29.0,71.0,40.8,42.0,53.0,14.0,39.0,51.0,116.0,59.0,0.0,2202.0,116.0,581.0,1391.0,253.0,22.0,2202.0,53.0,39.0,73.6,14.0,26.4,1178.0,5513.0,2914.0,35.0,31.0,4.0,50.0,53.0,1483.0,39.0,33,2955.0,90.0,96.6,32.8,33,90.0,31,0,,0,1.36,56.0,53.0,3.0,0.09,1.81,50.2,49.8,0.4,0.01,1.0,5.0,0.0,0.0,45.0,52.0,0.0,2.0,51.0,44.0,1.0,0.0,0.0,249.0,67.0,47.0,58.8
Marc-Oliver Kempf,de GER,DF,25.0,30.3,2.0,17.0,6.0,35.3,0.56,0.2,0.12,0.33,17.1,0.0,0.0,0.0,1.1,1.1,0.07,0.9,0.9,1545.0,1897.0,81.4,29043.0,11760.0,612.0,680.0,90.0,746.0,853.0,87.5,170.0,300.0,56.7,1.0,0.5,1.6,0.5,10.0,165.0,19.0,2.0,199.0,1897.0,1744.0,145.0,78.0,0.0,25.0,10.0,67.0,0.0,0.0,0.0,0.0,1545.0,8.0,24.0,37.0,1.22,33.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,49.0,26.0,28.0,18.0,3.0,29.0,49.0,59.2,20.0,40.0,25.0,15.0,68.0,117.0,103.0,1.0,2225.0,217.0,868.0,1264.0,119.0,21.0,2225.0,22.0,18.0,81.8,4.0,18.2,1181.0,6276.0,3936.0,51.0,27.0,1.0,17.0,15.0,1407.0,13.0,32,2727.0,85.0,89.1,30.3,32,85.0,25,0,,0,1.38,48.0,49.0,-1.0,-0.03,-0.57,46.1,45.4,0.7,0.02,0.43,5.0,0.0,0.0,35.0,38.0,0.0,10.0,68.0,26.0,0.0,1.0,1.0,207.0,93.0,49.0,65.5
Waldemar Anton,de GER,DF,24.0,30.1,0.0,12.0,4.0,33.3,0.4,0.13,0.0,0.0,14.9,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,1835.0,2097.0,87.5,34500.0,14015.0,630.0,678.0,92.9,1039.0,1118.0,92.9,147.0,243.0,60.5,1.0,0.9,1.1,0.1,9.0,69.0,10.0,3.0,116.0,2097.0,1993.0,100.0,60.0,1.0,6.0,11.0,40.0,0.0,0.0,0.0,0.0,1835.0,4.0,22.0,31.0,1.03,26.0,0.0,0.0,2.0,1.0,2.0,5.0,0.17,4.0,0.0,0.0,0.0,1.0,0.0,31.0,20.0,17.0,14.0,0.0,12.0,31.0,38.7,19.0,28.0,18.0,10.0,47.0,78.0,114.0,0.0,2415.0,359.0,1273.0,1068.0,84.0,28.0,2415.0,17.0,13.0,76.5,4.0,23.5,1480.0,8920.0,4907.0,24.0,16.0,5.0,24.0,25.0,1663.0,12.0,31,2711.0,87.0,88.6,30.1,30,90.0,29,1,18.0,1,1.29,50.0,52.0,-2.0,-0.07,-0.84,45.8,45.2,0.7,0.02,0.4,3.0,0.0,0.0,24.0,34.0,1.0,11.0,47.0,20.0,0.0,1.0,0.0,228.0,50.0,34.0,59.5
Borna Sosa,hr CRO,"DF,FW",22.0,22.7,0.0,14.0,3.0,21.4,0.62,0.13,0.0,0.0,22.1,2.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,894.0,1281.0,69.8,13823.0,5317.0,526.0,595.0,88.4,269.0,398.0,67.6,69.0,199.0,34.7,9.0,5.6,6.4,3.4,57.0,59.0,43.0,26.0,88.0,1281.0,1026.0,251.0,26.0,0.0,3.0,211.0,181.0,44.0,15.0,21.0,0.0,894.0,4.0,34.0,85.0,3.75,58.0,20.0,1.0,2.0,3.0,1.0,12.0,0.53,9.0,3.0,0.0,0.0,0.0,0.0,14.0,10.0,6.0,6.0,2.0,8.0,25.0,32.0,17.0,23.0,4.0,19.0,31.0,45.0,74.0,0.0,1495.0,90.0,356.0,596.0,558.0,38.0,1495.0,41.0,27.0,65.9,14.0,34.1,807.0,5113.0,2891.0,88.0,60.0,12.0,28.0,15.0,928.0,200.0,26,2042.0,79.0,66.7,22.7,25,80.0,16,1,32.0,2,1.58,38.0,33.0,5.0,0.22,0.57,33.5,31.6,2.0,0.09,0.33,2.0,0.0,0.0,17.0,14.0,2.0,211.0,31.0,10.0,0.0,1.0,0.0,107.0,19.0,18.0,51.4
Orel Mangala,be BEL,MF,22.0,23.4,1.0,26.0,8.0,30.8,1.11,0.34,0.04,0.13,21.2,0.0,0.0,0.0,1.2,1.2,0.05,-0.2,-0.2,847.0,1012.0,83.7,13120.0,3892.0,453.0,509.0,89.0,301.0,349.0,86.2,56.0,84.0,66.7,3.0,1.5,1.4,1.5,19.0,72.0,9.0,0.0,116.0,1012.0,1000.0,11.0,8.0,1.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,847.0,1.0,19.0,59.0,2.52,49.0,0.0,3.0,2.0,3.0,2.0,6.0,0.26,4.0,0.0,0.0,0.0,1.0,1.0,27.0,15.0,13.0,11.0,3.0,17.0,28.0,60.7,11.0,27.0,10.0,17.0,26.0,53.0,30.0,0.0,1276.0,61.0,256.0,736.0,307.0,36.0,1276.0,82.0,53.0,64.6,29.0,35.4,723.0,4109.0,2018.0,43.0,44.0,10.0,51.0,42.0,893.0,76.0,24,2109.0,88.0,68.9,23.4,24,88.0,22,0,,1,1.46,44.0,35.0,9.0,0.38,1.14,38.7,35.9,2.8,0.12,0.46,4.0,0.0,0.0,33.0,29.0,0.0,10.0,26.0,15.0,0.0,0.0,0.0,166.0,10.0,11.0,47.6
Silas Katompa,cd COD,"DF,FW",21.0,21.3,11.0,41.0,15.0,36.6,1.92,0.7,0.2,0.53,16.2,0.0,3.0,3.0,7.3,5.0,0.12,3.7,3.0,318.0,477.0,66.7,4729.0,1331.0,179.0,237.0,75.5,110.0,154.0,71.4,18.0,44.0,40.9,4.0,4.4,3.2,-0.4,23.0,17.0,16.0,4.0,33.0,477.0,453.0,24.0,0.0,2.0,1.0,29.0,24.0,0.0,0.0,0.0,0.0,318.0,0.0,20.0,60.0,2.82,38.0,0.0,8.0,8.0,5.0,1.0,8.0,0.38,5.0,0.0,1.0,1.0,0.0,1.0,48.0,29.0,19.0,19.0,10.0,21.0,44.0,47.7,23.0,29.0,1.0,28.0,22.0,70.0,11.0,2.0,783.0,24.0,147.0,294.0,368.0,100.0,780.0,86.0,48.0,55.8,38.0,44.2,469.0,4286.0,1908.0,74.0,34.0,44.0,68.0,42.0,459.0,165.0,25,1919.0,77.0,62.7,21.3,24,79.0,9,1,16.0,0,1.44,40.0,33.0,7.0,0.33,0.8,36.0,33.0,2.9,0.14,0.43,6.0,0.0,0.0,33.0,41.0,13.0,29.0,22.0,29.0,1.0,0.0,0.0,126.0,14.0,26.0,35.0
Sasa Kalajdzic,at AUT,FW,23.0,23.7,16.0,68.0,29.0,42.6,2.87,1.22,0.24,0.55,14.0,0.0,0.0,0.0,10.4,10.4,0.15,5.6,5.6,455.0,669.0,68.0,5933.0,998.0,282.0,369.0,76.4,121.0,178.0,68.0,17.0,29.0,58.6,5.0,3.7,3.2,1.3,26.0,24.0,9.0,0.0,46.0,669.0,609.0,58.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,455.0,2.0,22.0,52.0,2.19,40.0,0.0,1.0,4.0,7.0,0.0,9.0,0.38,6.0,0.0,1.0,0.0,2.0,0.0,16.0,12.0,4.0,5.0,7.0,2.0,17.0,11.8,15.0,10.0,1.0,9.0,9.0,25.0,21.0,0.0,936.0,24.0,51.0,469.0,423.0,118.0,936.0,31.0,15.0,48.4,16.0,51.6,454.0,1779.0,538.0,18.0,16.0,9.0,79.0,30.0,731.0,166.0,33,2136.0,65.0,69.8,23.7,23,81.0,10,10,27.0,1,1.27,37.0,36.0,1.0,0.04,0.04,31.0,36.1,-5.1,-0.21,-0.63,1.0,0.0,0.0,31.0,35.0,3.0,4.0,9.0,12.0,1.0,0.0,0.0,61.0,93.0,72.0,56.4
Gonzalo Castro,de GER,MF,33.0,19.2,4.0,30.0,11.0,36.7,1.56,0.57,0.13,0.36,19.3,2.0,0.0,0.0,3.3,3.3,0.11,0.7,0.7,661.0,905.0,73.0,10794.0,3675.0,334.0,388.0,86.1,224.0,293.0,76.5,70.0,133.0,52.6,2.0,2.8,3.0,-0.8,42.0,68.0,26.0,0.0,119.0,905.0,776.0,125.0,45.0,2.0,1.0,81.0,26.0,54.0,16.0,33.0,1.0,661.0,4.0,34.0,79.0,4.11,49.0,21.0,3.0,5.0,0.0,1.0,6.0,0.31,3.0,2.0,1.0,0.0,0.0,0.0,21.0,7.0,6.0,9.0,6.0,8.0,23.0,34.8,15.0,16.0,3.0,13.0,8.0,29.0,12.0,0.0,1074.0,22.0,121.0,537.0,429.0,43.0,1074.0,34.0,20.0,58.8,14.0,41.2,541.0,2992.0,1757.0,55.0,41.0,9.0,31.0,17.0,679.0,108.0,26,1729.0,67.0,56.5,19.2,23,73.0,2,3,19.0,3,1.42,29.0,31.0,-2.0,-0.1,-0.31,26.6,29.5,-2.9,-0.15,-0.29,9.0,0.0,0.0,15.0,15.0,1.0,81.0,8.0,7.0,0.0,0.0,0.0,88.0,10.0,14.0,41.7
Konstantinos Mavropanos,gr GRE,DF,22.0,16.3,0.0,15.0,4.0,26.7,0.92,0.25,0.0,0.0,13.0,0.0,0.0,0.0,1.6,1.6,0.11,-1.6,-1.6,848.0,1081.0,78.4,16426.0,6606.0,332.0,371.0,89.5,394.0,473.0,83.3,108.0,192.0,56.3,0.0,0.3,0.5,-0.3,5.0,66.0,5.0,2.0,82.0,1081.0,931.0,146.0,42.0,0.0,27.0,5.0,104.0,0.0,0.0,0.0,0.0,848.0,4.0,14.0,13.0,0.8,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,29.0,12.0,1.0,27.0,46.0,58.7,19.0,25.0,10.0,15.0,59.0,101.0,66.0,1.0,1315.0,121.0,576.0,662.0,88.0,21.0,1315.0,14.0,9.0,64.3,5.0,35.7,616.0,2707.0,1442.0,10.0,12.0,1.0,17.0,7.0,716.0,2.0,21,1463.0,70.0,47.8,16.3,19,74.0,8,2,31.0,4,1.48,24.0,22.0,2.0,0.12,0.18,19.2,23.7,-4.5,-0.28,-0.49,5.0,0.0,0.0,23.0,17.0,1.0,5.0,59.0,29.0,0.0,1.0,0.0,129.0,46.0,18.0,71.9
