player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Wout Weghorst,nl NED,FW,27.0,32.7,20.0,90.0,43.0,47.8,2.75,1.32,0.2,0.42,13.3,0.0,2.0,3.0,17.0,14.8,0.17,3.0,3.2,523.0,797.0,65.6,7141.0,1417.0,327.0,452.0,72.3,135.0,195.0,69.2,32.0,42.0,76.2,8.0,5.2,4.0,2.8,43.0,37.0,17.0,0.0,59.0,797.0,770.0,22.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,523.0,5.0,28.0,77.0,2.36,59.0,0.0,2.0,11.0,5.0,0.0,13.0,0.4,10.0,0.0,0.0,3.0,0.0,0.0,13.0,8.0,2.0,8.0,3.0,4.0,20.0,20.0,16.0,17.0,3.0,14.0,4.0,17.0,26.0,0.0,1094.0,29.0,69.0,528.0,505.0,179.0,1091.0,33.0,18.0,54.5,15.0,45.5,561.0,2035.0,711.0,22.0,14.0,15.0,73.0,27.0,839.0,184.0,34,2941.0,87.0,96.1,32.7,33,89.0,24,1,14.0,0,1.79,58.0,35.0,23.0,0.7,-0.05,47.8,40.4,7.4,0.23,0.63,3.0,0.0,0.0,30.0,27.0,36.0,3.0,4.0,8.0,0.0,0.0,0.0,97.0,96.0,77.0,55.5
Koen Casteels,be BEL,GK,28.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,951.0,1253.0,75.9,27496.0,19003.0,139.0,139.0,100.0,482.0,485.0,99.4,329.0,625.0,52.6,0.0,0.0,0.1,0.0,0.0,14.0,0.0,0.0,0.0,1253.0,993.0,258.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,2.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,9.0,2.0,1311.0,1029.0,1302.0,10.0,0.0,0.0,1311.0,1.0,1.0,100.0,0.0,0.0,783.0,3840.0,1992.0,0.0,1.0,1.0,1.0,0.0,715.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,,0,1.88,58.0,33.0,25.0,0.78,1.28,47.3,38.9,8.4,0.26,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,58.0,11.0,1.0,91.7
John Brooks,us USA,DF,27.0,30.8,2.0,19.0,5.0,26.3,0.62,0.16,0.11,0.4,10.9,0.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4,1612.0,1943.0,83.0,35222.0,12537.0,339.0,404.0,83.9,1032.0,1133.0,91.1,230.0,367.0,62.7,0.0,0.4,0.6,-0.4,6.0,112.0,4.0,0.0,144.0,1943.0,1843.0,92.0,87.0,0.0,22.0,2.0,5.0,0.0,0.0,0.0,0.0,1612.0,8.0,10.0,26.0,0.84,22.0,0.0,1.0,1.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,47.0,29.0,33.0,14.0,0.0,30.0,54.0,55.6,24.0,35.0,10.0,25.0,55.0,102.0,134.0,0.0,2282.0,210.0,1036.0,1206.0,53.0,29.0,2282.0,11.0,6.0,54.5,5.0,45.5,1340.0,7653.0,4485.0,28.0,13.0,2.0,11.0,4.0,1417.0,6.0,32,2774.0,87.0,90.7,30.8,31,89.0,30,1,18.0,0,1.81,56.0,34.0,22.0,0.71,0.08,45.5,37.8,7.7,0.25,0.5,5.0,0.0,0.0,30.0,17.0,0.0,2.0,55.0,29.0,0.0,2.0,1.0,197.0,97.0,36.0,72.9
Ridle Baku,de GER,"FW,DF",22.0,29.8,6.0,35.0,12.0,34.3,1.18,0.4,0.17,0.5,18.7,0.0,0.0,0.0,3.4,3.4,0.1,2.6,2.6,1095.0,1484.0,73.8,17435.0,5110.0,575.0,668.0,86.1,432.0,575.0,75.1,67.0,136.0,49.3,7.0,4.1,5.0,2.9,44.0,62.0,49.0,17.0,104.0,1484.0,1263.0,217.0,10.0,0.0,4.0,102.0,203.0,4.0,1.0,0.0,0.0,1095.0,4.0,49.0,95.0,3.19,76.0,3.0,5.0,4.0,6.0,1.0,15.0,0.5,14.0,0.0,1.0,0.0,0.0,0.0,50.0,31.0,20.0,20.0,10.0,22.0,53.0,41.5,31.0,54.0,4.0,50.0,40.0,90.0,33.0,1.0,1843.0,41.0,358.0,821.0,685.0,75.0,1843.0,73.0,37.0,50.7,35.0,47.9,989.0,5064.0,2450.0,69.0,45.0,14.0,61.0,38.0,1141.0,243.0,32,2678.0,84.0,87.5,29.8,31,86.0,19,1,19.0,0,1.84,58.0,36.0,22.0,0.74,0.27,44.8,37.4,7.4,0.25,0.38,1.0,0.0,0.0,33.0,39.0,10.0,102.0,40.0,31.0,0.0,0.0,0.0,173.0,16.0,48.0,25.0
Xaver Schlager,at AUT,MF,22.0,29.2,2.0,48.0,4.0,8.3,1.65,0.14,0.04,0.5,22.1,0.0,0.0,0.0,3.1,3.1,0.06,-1.1,-1.1,961.0,1273.0,75.5,16260.0,4704.0,456.0,569.0,80.1,393.0,468.0,84.0,84.0,147.0,57.1,4.0,3.9,2.7,0.1,24.0,112.0,24.0,0.0,141.0,1273.0,1230.0,29.0,22.0,7.0,10.0,9.0,5.0,0.0,0.0,0.0,0.0,961.0,14.0,33.0,61.0,2.09,50.0,1.0,3.0,3.0,3.0,1.0,6.0,0.21,5.0,0.0,0.0,1.0,0.0,0.0,66.0,40.0,20.0,38.0,8.0,22.0,68.0,32.4,46.0,50.0,6.0,44.0,54.0,120.0,38.0,0.0,1647.0,54.0,314.0,1005.0,368.0,36.0,1647.0,52.0,41.0,78.8,11.0,21.2,879.0,4800.0,2601.0,47.0,37.0,7.0,65.0,32.0,931.0,62.0,32,2626.0,82.0,85.8,29.2,30,84.0,15,2,47.0,0,1.72,51.0,33.0,18.0,0.62,-0.63,41.9,36.1,5.8,0.2,-0.01,7.0,0.0,0.0,45.0,33.0,1.0,9.0,54.0,40.0,1.0,0.0,0.0,247.0,38.0,47.0,44.7
Maximilian Arnold,de GER,MF,26.0,28.7,3.0,55.0,15.0,27.3,1.91,0.52,0.05,0.2,29.4,12.0,0.0,0.0,2.4,2.4,0.04,0.6,0.6,1323.0,1664.0,79.5,27177.0,8485.0,456.0,519.0,87.9,586.0,677.0,86.6,248.0,391.0,63.4,6.0,4.2,5.2,1.8,49.0,139.0,25.0,3.0,180.0,1664.0,1395.0,259.0,140.0,3.0,20.0,139.0,11.0,105.0,53.0,33.0,0.0,1323.0,10.0,19.0,108.0,3.76,48.0,42.0,2.0,6.0,10.0,0.0,12.0,0.42,5.0,4.0,1.0,0.0,2.0,0.0,47.0,32.0,20.0,26.0,1.0,18.0,49.0,36.7,31.0,24.0,3.0,21.0,49.0,96.0,57.0,0.0,1964.0,85.0,368.0,1188.0,432.0,11.0,1964.0,19.0,17.0,89.5,2.0,10.5,939.0,4472.0,2243.0,30.0,37.0,2.0,29.0,22.0,1097.0,33.0,30,2585.0,86.0,84.5,28.7,30,86.0,23,0,,0,1.87,53.0,30.0,23.0,0.8,0.61,43.0,32.9,10.1,0.35,0.97,7.0,1.0,0.0,39.0,62.0,0.0,139.0,49.0,32.0,0.0,1.0,0.0,240.0,39.0,27.0,59.1
Maxence Lacroix,fr FRA,DF,20.0,28.8,1.0,16.0,2.0,12.5,0.56,0.07,0.06,0.5,9.8,0.0,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4,1473.0,1777.0,82.9,32179.0,11861.0,305.0,364.0,83.8,944.0,1023.0,92.3,217.0,350.0,62.0,1.0,0.3,0.6,0.7,4.0,98.0,5.0,0.0,126.0,1777.0,1726.0,47.0,47.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,1473.0,4.0,15.0,25.0,0.87,20.0,0.0,2.0,3.0,0.0,0.0,4.0,0.14,3.0,0.0,0.0,1.0,0.0,0.0,49.0,29.0,37.0,12.0,0.0,24.0,45.0,53.3,21.0,51.0,21.0,30.0,65.0,114.0,140.0,1.0,2163.0,213.0,1130.0,1007.0,48.0,27.0,2163.0,16.0,13.0,81.3,3.0,18.8,1300.0,6895.0,3571.0,21.0,11.0,4.0,19.0,8.0,1349.0,6.0,30,2590.0,86.0,84.6,28.8,29,89.0,27,1,13.0,2,1.77,49.0,32.0,17.0,0.59,-0.75,41.0,36.1,4.9,0.17,-0.21,5.0,0.0,0.0,25.0,27.0,0.0,6.0,65.0,29.0,0.0,0.0,0.0,206.0,61.0,60.0,50.4
Josip Brekalo,hr CRO,FW,22.0,20.2,7.0,47.0,21.0,44.7,2.33,1.04,0.15,0.33,20.8,2.0,0.0,0.0,3.6,3.6,0.08,3.4,3.4,649.0,873.0,74.3,11300.0,2496.0,284.0,348.0,81.6,275.0,344.0,79.9,68.0,119.0,57.1,3.0,3.8,3.4,-0.8,38.0,54.0,26.0,7.0,82.0,873.0,794.0,77.0,13.0,1.0,12.0,58.0,17.0,39.0,21.0,10.0,0.0,649.0,2.0,25.0,82.0,4.07,57.0,11.0,8.0,5.0,1.0,0.0,11.0,0.55,7.0,0.0,1.0,2.0,1.0,0.0,22.0,10.0,10.0,7.0,5.0,8.0,29.0,27.6,21.0,18.0,0.0,18.0,17.0,39.0,3.0,1.0,1092.0,4.0,96.0,503.0,508.0,54.0,1092.0,45.0,29.0,64.4,16.0,35.6,687.0,4340.0,2030.0,69.0,51.0,20.0,62.0,31.0,788.0,155.0,29,1814.0,63.0,59.3,20.2,22,76.0,4,7,21.0,2,1.83,35.0,22.0,13.0,0.64,-0.15,27.0,24.2,2.8,0.14,-0.16,1.0,0.0,0.0,8.0,16.0,2.0,58.0,17.0,10.0,0.0,0.0,0.0,122.0,10.0,14.0,41.7
Yannick Gerhardt,de GER,"MF,FW",26.0,21.5,2.0,31.0,11.0,35.5,1.44,0.51,0.06,0.18,15.2,0.0,0.0,0.0,3.9,3.9,0.13,-1.9,-1.9,540.0,745.0,72.5,8430.0,2579.0,271.0,343.0,79.0,213.0,269.0,79.2,30.0,55.0,54.5,4.0,3.4,2.7,0.6,25.0,51.0,14.0,4.0,74.0,745.0,699.0,40.0,5.0,1.0,3.0,39.0,23.0,8.0,6.0,1.0,0.0,540.0,6.0,24.0,45.0,2.09,33.0,5.0,1.0,4.0,2.0,0.0,6.0,0.28,5.0,0.0,0.0,1.0,0.0,0.0,52.0,32.0,14.0,32.0,6.0,21.0,52.0,40.4,31.0,34.0,4.0,30.0,21.0,73.0,30.0,0.0,1019.0,39.0,192.0,499.0,337.0,61.0,1019.0,28.0,14.0,50.0,14.0,50.0,526.0,2803.0,1324.0,51.0,29.0,11.0,41.0,29.0,612.0,107.0,29,1936.0,67.0,63.3,21.5,21,85.0,16,8,20.0,5,1.76,39.0,24.0,15.0,0.7,-0.02,29.2,28.4,0.8,0.04,-0.45,3.0,0.0,0.0,36.0,26.0,5.0,39.0,21.0,32.0,0.0,0.0,0.0,109.0,31.0,43.0,41.9
Paulo Otávio,br BRA,DF,25.0,19.3,0.0,14.0,4.0,28.6,0.73,0.21,0.0,0.0,23.9,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,721.0,988.0,73.0,12293.0,4086.0,325.0,376.0,86.4,322.0,439.0,73.3,56.0,123.0,45.5,2.0,1.8,2.4,0.2,14.0,39.0,22.0,14.0,58.0,988.0,812.0,175.0,4.0,0.0,3.0,71.0,170.0,1.0,0.0,0.0,0.0,721.0,1.0,26.0,37.0,1.92,32.0,0.0,3.0,0.0,2.0,0.0,4.0,0.21,3.0,0.0,1.0,0.0,0.0,0.0,60.0,40.0,32.0,22.0,6.0,34.0,62.0,54.8,28.0,51.0,7.0,44.0,42.0,102.0,59.0,0.0,1306.0,44.0,368.0,630.0,328.0,17.0,1306.0,40.0,19.0,47.5,21.0,52.5,627.0,4150.0,2348.0,69.0,67.0,5.0,39.0,11.0,686.0,83.0,23,1737.0,76.0,56.8,19.3,19,89.0,15,4,13.0,2,1.52,30.0,19.0,11.0,0.57,-0.31,26.7,23.2,3.5,0.18,-0.05,7.0,1.0,0.0,27.0,32.0,0.0,71.0,42.0,40.0,0.0,1.0,0.0,105.0,23.0,34.0,40.4
