player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jude Bellingham,eng ENG,MF,18.0,31.0,3.0,44.0,12.0,27.3,1.42,0.39,0.07,0.25,18.1,0.0,0.0,0.0,4.8,4.8,0.11,-1.8,-1.8,1256.0,1517.0,82.8,19850.0,4875.0,650.0,723.0,89.9,437.0,504.0,86.7,102.0,156.0,65.4,8.0,6.0,4.6,2.0,38.0,104.0,37.0,3.0,144.0,1517.0,1475.0,33.0,23.0,12.0,18.0,14.0,9.0,1.0,0.0,0.0,0.0,1256.0,9.0,25.0,104.0,3.35,72.0,0.0,13.0,5.0,11.0,3.0,17.0,0.55,11.0,0.0,2.0,0.0,2.0,2.0,52.0,34.0,15.0,31.0,6.0,21.0,53.0,39.6,32.0,50.0,4.0,46.0,42.0,94.0,32.0,0.0,1959.0,48.0,331.0,1124.0,515.0,84.0,1959.0,96.0,55.0,57.3,41.0,42.7,1242.0,6020.0,2770.0,78.0,44.0,23.0,82.0,62.0,1499.0,138.0,32,2790.0,87.0,91.2,31.0,32,87.0,27,0,,0,2.06,76.0,46.0,30.0,0.97,-0.03,58.5,41.4,17.1,0.55,0.32,9.0,0.0,0.0,39.0,91.0,5.0,14.0,42.0,34.0,0.0,0.0,0.0,178.0,28.0,42.0,40.0
Gregor Kobel,ch SUI,GK,23.0,28.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,840.0,1024.0,82.0,19421.0,12069.0,215.0,215.0,100.0,444.0,448.0,99.1,173.0,349.0,49.6,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1024.0,784.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,3.0,0.0,4.0,0.14,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,1101.0,934.0,1096.0,5.0,0.0,0.0,1101.0,0.0,0.0,,0.0,,652.0,3204.0,1602.0,0.0,0.0,0.0,2.0,0.0,561.0,0.0,29,2565.0,88.0,83.8,28.5,29,88.0,28,0,,0,2.17,73.0,39.0,34.0,1.19,1.37,54.0,38.3,15.7,0.55,0.18,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,3.0,0.0,100.0
Marco Reus,de GER,"MF,FW",32.0,27.8,9.0,51.0,22.0,43.1,1.83,0.79,0.18,0.41,15.8,8.0,0.0,0.0,11.5,11.5,0.23,-2.5,-2.5,1003.0,1242.0,80.8,13424.0,3446.0,581.0,675.0,86.1,267.0,327.0,81.7,54.0,79.0,68.4,13.0,7.9,6.2,5.1,52.0,80.0,38.0,3.0,119.0,1242.0,1172.0,62.0,39.0,12.0,4.0,40.0,4.0,8.0,4.0,1.0,0.0,1003.0,8.0,28.0,105.0,3.78,78.0,9.0,1.0,5.0,10.0,2.0,26.0,0.93,18.0,1.0,1.0,1.0,4.0,1.0,45.0,30.0,13.0,21.0,11.0,16.0,42.0,38.1,26.0,23.0,6.0,17.0,12.0,57.0,41.0,1.0,1579.0,52.0,195.0,750.0,641.0,114.0,1579.0,66.0,28.0,42.4,38.0,57.6,954.0,4878.0,2065.0,57.0,51.0,13.0,62.0,33.0,1171.0,172.0,29,2503.0,86.0,81.8,27.8,29,86.0,18,0,,0,2.1,73.0,45.0,28.0,1.01,0.2,55.5,39.8,15.7,0.56,0.23,2.0,0.0,0.0,22.0,44.0,10.0,40.0,12.0,30.0,3.0,0.0,0.0,112.0,8.0,24.0,25.0
Manuel Akanji,ch SUI,DF,26.0,25.1,1.0,13.0,3.0,23.1,0.52,0.12,0.08,0.33,11.2,1.0,0.0,0.0,1.9,1.9,0.15,-0.9,-0.9,1819.0,2013.0,90.4,36320.0,13836.0,585.0,629.0,93.0,973.0,1018.0,95.6,235.0,314.0,74.8,0.0,0.1,0.7,-0.1,2.0,122.0,2.0,0.0,115.0,2013.0,1944.0,66.0,59.0,1.0,26.0,3.0,7.0,0.0,0.0,0.0,0.0,1819.0,3.0,10.0,16.0,0.64,12.0,2.0,1.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,20.0,11.0,2.0,22.0,32.0,68.8,10.0,26.0,15.0,11.0,35.0,68.0,58.0,0.0,2195.0,198.0,963.0,1182.0,65.0,21.0,2195.0,9.0,8.0,88.9,1.0,11.1,1517.0,7984.0,4478.0,18.0,12.0,0.0,8.0,1.0,1649.0,8.0,26,2261.0,87.0,73.9,25.1,25,89.0,23,1,45.0,0,2.0,64.0,44.0,20.0,0.8,-0.67,47.9,38.0,10.0,0.4,-0.48,3.0,0.0,0.0,19.0,24.0,1.0,3.0,35.0,23.0,0.0,0.0,1.0,164.0,51.0,35.0,59.3
Julian Brandt,de GER,"MF,FW",25.0,23.1,9.0,34.0,15.0,44.1,1.47,0.65,0.26,0.6,17.1,0.0,0.0,0.0,4.9,4.9,0.14,4.1,4.1,1022.0,1324.0,77.2,15112.0,4257.0,564.0,655.0,86.1,312.0,379.0,82.3,74.0,155.0,47.7,8.0,4.6,6.3,3.4,44.0,72.0,40.0,6.0,126.0,1324.0,1202.0,117.0,17.0,7.0,5.0,128.0,11.0,89.0,38.0,40.0,0.0,1022.0,5.0,22.0,97.0,4.2,60.0,26.0,7.0,4.0,0.0,0.0,22.0,0.95,14.0,5.0,2.0,1.0,0.0,0.0,37.0,19.0,13.0,20.0,4.0,17.0,54.0,31.5,37.0,19.0,2.0,17.0,24.0,61.0,14.0,1.0,1575.0,24.0,178.0,788.0,622.0,50.0,1575.0,65.0,38.0,58.5,27.0,41.5,929.0,5020.0,2137.0,66.0,50.0,19.0,58.0,31.0,1148.0,171.0,31,2078.0,67.0,67.9,23.1,22,81.0,8,9,34.0,0,2.03,63.0,33.0,30.0,1.3,1.02,47.4,29.9,17.5,0.76,0.74,3.0,0.0,0.0,12.0,16.0,2.0,128.0,24.0,19.0,0.0,0.0,0.0,129.0,15.0,24.0,38.5
Axel Witsel,be BEL,"MF,DF",32.0,21.6,2.0,8.0,2.0,25.0,0.37,0.09,0.25,1.0,20.8,0.0,0.0,0.0,0.8,0.8,0.1,1.2,1.2,1217.0,1305.0,93.3,19643.0,5320.0,571.0,610.0,93.6,541.0,562.0,96.3,62.0,71.0,87.3,0.0,0.7,0.8,-0.7,6.0,87.0,4.0,0.0,86.0,1305.0,1253.0,52.0,48.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1217.0,0.0,9.0,25.0,1.16,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,12.0,23.0,7.0,18.0,30.0,60.0,12.0,24.0,9.0,15.0,27.0,69.0,38.0,0.0,1491.0,82.0,423.0,958.0,116.0,11.0,1491.0,7.0,5.0,71.4,2.0,28.6,934.0,3991.0,1619.0,10.0,11.0,2.0,17.0,14.0,1049.0,8.0,29,1941.0,67.0,63.4,21.6,22,83.0,12,7,17.0,4,2.24,50.0,32.0,18.0,0.83,-0.37,37.8,29.0,8.7,0.4,-0.32,4.0,0.0,0.0,26.0,30.0,1.0,0.0,27.0,27.0,0.0,2.0,0.0,152.0,31.0,15.0,67.4
Erling Haaland,no NOR,FW,21.0,21.2,22.0,74.0,31.0,41.9,3.49,1.46,0.22,0.52,13.9,0.0,6.0,6.0,17.9,13.2,0.18,4.1,2.8,331.0,476.0,69.5,3628.0,787.0,210.0,266.0,78.9,70.0,109.0,64.2,2.0,4.0,50.0,8.0,5.4,5.0,2.6,23.0,14.0,24.0,1.0,41.0,476.0,416.0,55.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,331.0,5.0,17.0,61.0,2.87,44.0,0.0,6.0,8.0,3.0,0.0,16.0,0.75,11.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,7.0,1.0,3.0,31.0,0.0,701.0,31.0,52.0,290.0,365.0,149.0,695.0,24.0,13.0,54.2,11.0,45.8,334.0,1437.0,754.0,40.0,15.0,24.0,58.0,16.0,511.0,137.0,24,1911.0,80.0,62.5,21.2,21,87.0,14,3,27.0,0,2.08,58.0,38.0,20.0,0.94,-0.08,42.2,28.8,13.4,0.63,0.29,3.0,0.0,0.0,17.0,14.0,14.0,8.0,1.0,1.0,0.0,0.0,0.0,40.0,38.0,27.0,58.5
Raphaël Guerreiro,pt POR,DF,27.0,19.9,4.0,32.0,10.0,31.3,1.6,0.5,0.09,0.3,25.4,8.0,1.0,1.0,2.9,2.1,0.06,1.1,0.9,1294.0,1525.0,84.9,17644.0,6995.0,795.0,872.0,91.2,391.0,453.0,86.3,49.0,91.0,53.8,2.0,2.1,2.7,-0.1,28.0,96.0,22.0,5.0,118.0,1525.0,1324.0,196.0,39.0,2.0,2.0,39.0,140.0,17.0,4.0,8.0,1.0,1294.0,5.0,22.0,59.0,2.96,40.0,13.0,2.0,4.0,0.0,0.0,11.0,0.55,9.0,0.0,0.0,2.0,0.0,0.0,35.0,19.0,19.0,12.0,4.0,16.0,31.0,51.6,15.0,18.0,2.0,16.0,25.0,60.0,14.0,1.0,1724.0,44.0,419.0,866.0,452.0,29.0,1723.0,49.0,26.0,53.1,23.0,46.9,1016.0,4823.0,2717.0,61.0,52.0,7.0,30.0,13.0,1205.0,95.0,23,1795.0,78.0,58.7,19.9,21,82.0,10,2,36.0,0,1.78,45.0,36.0,9.0,0.45,-1.26,32.5,25.6,6.9,0.35,-0.42,1.0,0.0,0.0,12.0,8.0,1.0,39.0,25.0,19.0,0.0,0.0,0.0,130.0,5.0,6.0,45.5
Mats Hummels,de GER,DF,32.0,19.6,1.0,12.0,3.0,25.0,0.61,0.15,0.08,0.33,9.7,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,1333.0,1530.0,87.1,27073.0,9577.0,376.0,413.0,91.0,784.0,859.0,91.3,159.0,215.0,74.0,2.0,0.7,0.9,1.3,3.0,57.0,5.0,0.0,78.0,1530.0,1480.0,47.0,40.0,5.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1333.0,3.0,12.0,14.0,0.71,10.0,1.0,0.0,2.0,1.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0,34.0,22.0,20.0,13.0,1.0,20.0,36.0,55.6,16.0,18.0,13.0,5.0,32.0,66.0,66.0,1.0,1711.0,169.0,834.0,841.0,47.0,15.0,1711.0,8.0,6.0,75.0,2.0,25.0,1043.0,5154.0,2909.0,18.0,11.0,0.0,12.0,2.0,1165.0,4.0,23,1765.0,77.0,57.7,19.6,20,85.0,15,3,21.0,1,2.09,48.0,23.0,25.0,1.27,0.72,34.6,26.7,8.0,0.41,-0.27,4.0,0.0,0.0,16.0,12.0,1.0,1.0,32.0,22.0,0.0,2.0,0.0,128.0,64.0,34.0,65.3
Donyell Malen,nl NED,FW,22.0,18.7,5.0,47.0,21.0,44.7,2.51,1.12,0.11,0.24,16.5,0.0,0.0,0.0,4.6,4.6,0.1,0.4,0.4,394.0,542.0,72.7,4863.0,1149.0,241.0,308.0,78.2,95.0,137.0,69.3,13.0,24.0,54.2,3.0,4.1,2.1,-1.1,21.0,19.0,18.0,5.0,39.0,542.0,511.0,29.0,1.0,2.0,2.0,27.0,7.0,3.0,0.0,1.0,0.0,394.0,2.0,13.0,63.0,3.37,39.0,0.0,8.0,8.0,8.0,0.0,12.0,0.64,6.0,0.0,1.0,3.0,2.0,0.0,13.0,10.0,4.0,5.0,4.0,7.0,13.0,53.8,6.0,10.0,0.0,10.0,10.0,23.0,11.0,0.0,757.0,14.0,71.0,284.0,411.0,92.0,757.0,54.0,34.0,63.0,20.0,37.0,490.0,2984.0,1405.0,61.0,34.0,33.0,53.0,27.0,578.0,144.0,27,1684.0,62.0,55.0,18.7,20,76.0,3,7,23.0,0,2.07,44.0,25.0,19.0,1.02,0.1,30.8,25.2,5.6,0.3,-0.5,2.0,0.0,0.0,10.0,31.0,9.0,27.0,10.0,10.0,2.0,0.0,0.0,62.0,9.0,18.0,33.3
