player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kevin Trapp,de GER,GK,31.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,823.0,1257.0,65.5,22069.0,16348.0,198.0,199.0,99.5,370.0,381.0,97.1,249.0,665.0,37.4,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1257.0,925.0,326.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,6.0,0.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,2.0,1342.0,1126.0,1333.0,10.0,0.0,0.0,1342.0,0.0,0.0,,0.0,,755.0,3468.0,2119.0,0.0,1.0,1.0,0.0,0.0,657.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,,0,1.28,44.0,46.0,-2.0,-0.06,0.94,38.5,44.9,-6.4,-0.2,-0.73,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,5.0,0.0,100.0
Obite N'Dicka,fr FRA,DF,21.0,31.7,4.0,26.0,5.0,19.2,0.82,0.16,0.15,0.8,9.0,0.0,0.0,0.0,2.6,2.6,0.1,1.4,1.4,1581.0,1892.0,83.6,27387.0,9785.0,684.0,751.0,91.1,790.0,889.0,88.9,92.0,202.0,45.5,4.0,1.5,1.2,2.5,11.0,68.0,8.0,2.0,114.0,1892.0,1832.0,54.0,34.0,1.0,10.0,12.0,20.0,0.0,0.0,0.0,0.0,1581.0,6.0,17.0,28.0,0.88,24.0,1.0,1.0,2.0,0.0,0.0,7.0,0.22,5.0,0.0,0.0,2.0,0.0,0.0,60.0,34.0,29.0,27.0,4.0,44.0,59.0,74.6,15.0,46.0,20.0,26.0,48.0,108.0,137.0,0.0,2288.0,235.0,1119.0,1059.0,132.0,36.0,2288.0,16.0,13.0,81.3,3.0,18.8,1317.0,6206.0,2933.0,37.0,26.0,2.0,21.0,6.0,1444.0,11.0,32,2857.0,89.0,93.4,31.7,32,89.0,31,0,,1,1.22,43.0,46.0,-3.0,-0.09,0.35,39.0,42.6,-3.6,-0.11,0.66,3.0,0.0,0.0,42.0,14.0,4.0,12.0,48.0,34.0,0.0,1.0,1.0,211.0,112.0,66.0,62.9
Filip Kostić,rs SRB,"DF,FW",28.0,28.0,4.0,51.0,18.0,35.3,1.82,0.64,0.08,0.22,22.8,9.0,0.0,0.0,2.4,2.4,0.05,1.6,1.6,1007.0,1621.0,62.1,19966.0,7472.0,392.0,501.0,78.2,434.0,637.0,68.1,157.0,348.0,45.1,9.0,9.2,9.7,-0.2,87.0,80.0,53.0,43.0,101.0,1621.0,1207.0,409.0,69.0,2.0,21.0,369.0,221.0,119.0,47.0,64.0,1.0,1007.0,5.0,61.0,141.0,5.03,74.0,48.0,5.0,12.0,2.0,0.0,13.0,0.46,8.0,4.0,0.0,1.0,0.0,0.0,44.0,17.0,26.0,9.0,9.0,20.0,53.0,37.7,33.0,24.0,1.0,23.0,15.0,59.0,24.0,0.0,1919.0,38.0,298.0,787.0,858.0,77.0,1919.0,76.0,26.0,34.2,50.0,65.8,988.0,6752.0,3476.0,130.0,66.0,36.0,51.0,33.0,1104.0,245.0,31,2522.0,81.0,82.4,28.0,28,86.0,23,3,35.0,0,1.19,39.0,42.0,-3.0,-0.11,0.06,34.6,40.5,-5.9,-0.21,-0.29,2.0,0.0,0.0,16.0,22.0,3.0,369.0,15.0,17.0,0.0,0.0,0.0,192.0,10.0,13.0,43.5
Djibril Sow,ch SUI,MF,24.0,26.8,2.0,16.0,3.0,18.8,0.6,0.11,0.13,0.67,25.9,0.0,0.0,0.0,0.6,0.6,0.04,1.4,1.4,1012.0,1231.0,82.2,17569.0,4979.0,449.0,522.0,86.0,444.0,498.0,89.2,97.0,142.0,68.3,3.0,1.7,2.1,1.3,19.0,112.0,19.0,3.0,140.0,1231.0,1208.0,19.0,14.0,5.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,1012.0,4.0,27.0,57.0,2.12,45.0,2.0,0.0,2.0,4.0,4.0,7.0,0.26,6.0,0.0,0.0,0.0,1.0,0.0,57.0,33.0,28.0,25.0,4.0,22.0,60.0,36.7,38.0,35.0,8.0,27.0,50.0,107.0,20.0,1.0,1508.0,57.0,297.0,959.0,268.0,12.0,1508.0,21.0,12.0,57.1,9.0,42.9,833.0,3846.0,1738.0,34.0,27.0,3.0,42.0,14.0,911.0,32.0,31,2415.0,78.0,78.9,26.8,28,84.0,18,3,19.0,0,1.32,37.0,36.0,1.0,0.04,0.73,35.2,36.3,-1.1,-0.04,0.56,5.0,0.0,0.0,42.0,38.0,0.0,9.0,50.0,33.0,0.0,1.0,0.0,199.0,27.0,31.0,46.6
Rafael Borré,co COL,FW,25.0,26.4,8.0,53.0,24.0,45.3,2.01,0.91,0.15,0.33,14.5,0.0,0.0,0.0,7.5,7.5,0.14,0.5,0.5,489.0,694.0,70.5,6740.0,1241.0,292.0,370.0,78.9,146.0,207.0,70.5,20.0,30.0,66.7,4.0,3.5,2.7,0.5,29.0,32.0,23.0,1.0,60.0,694.0,644.0,48.0,1.0,4.0,1.0,20.0,7.0,1.0,0.0,0.0,0.0,489.0,2.0,31.0,66.0,2.5,46.0,0.0,6.0,8.0,6.0,0.0,9.0,0.34,6.0,0.0,2.0,1.0,0.0,0.0,31.0,22.0,4.0,13.0,14.0,7.0,33.0,21.2,26.0,24.0,4.0,20.0,5.0,36.0,9.0,0.0,995.0,10.0,59.0,476.0,477.0,104.0,995.0,56.0,29.0,51.8,27.0,48.2,594.0,2536.0,1015.0,43.0,28.0,16.0,95.0,30.0,724.0,168.0,31,2378.0,77.0,77.7,26.4,28,82.0,13,3,25.0,1,1.32,41.0,40.0,1.0,0.04,0.7,34.8,35.6,-0.8,-0.03,0.57,5.0,0.0,0.0,40.0,26.0,17.0,20.0,5.0,22.0,0.0,0.0,0.0,89.0,46.0,124.0,27.1
Tuta,br BRA,DF,22.0,24.3,4.0,15.0,6.0,40.0,0.62,0.25,0.27,0.67,11.7,0.0,0.0,0.0,2.2,2.2,0.15,1.8,1.8,1089.0,1397.0,78.0,21010.0,7230.0,379.0,429.0,88.3,589.0,677.0,87.0,107.0,237.0,45.1,0.0,0.1,0.4,-0.1,4.0,67.0,2.0,1.0,63.0,1397.0,1319.0,74.0,31.0,2.0,9.0,5.0,43.0,0.0,0.0,0.0,0.0,1089.0,4.0,19.0,16.0,0.66,13.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,20.0,22.0,4.0,26.0,47.0,55.3,21.0,43.0,15.0,28.0,41.0,87.0,76.0,1.0,1681.0,175.0,844.0,768.0,84.0,19.0,1681.0,18.0,16.0,88.9,2.0,11.1,960.0,5020.0,2754.0,26.0,17.0,3.0,24.0,7.0,941.0,9.0,26,2183.0,84.0,71.3,24.3,26,84.0,19,0,,4,1.31,36.0,37.0,-1.0,-0.04,0.27,30.5,34.5,-3.9,-0.16,-0.01,4.0,1.0,1.0,37.0,12.0,1.0,5.0,41.0,28.0,0.0,0.0,0.0,213.0,54.0,46.0,54.0
Jesper Lindstrøm,dk DEN,"MF,FW",21.0,22.0,5.0,54.0,18.0,33.3,2.46,0.82,0.09,0.28,17.1,3.0,0.0,0.0,8.0,8.0,0.15,-3.0,-3.0,413.0,587.0,70.4,5975.0,1580.0,224.0,281.0,79.7,126.0,174.0,72.4,29.0,58.0,50.0,4.0,5.5,4.8,-1.5,47.0,26.0,16.0,6.0,43.0,587.0,542.0,45.0,10.0,1.0,4.0,54.0,8.0,24.0,6.0,11.0,0.0,413.0,0.0,18.0,89.0,4.05,58.0,11.0,10.0,7.0,3.0,0.0,8.0,0.36,5.0,2.0,0.0,1.0,0.0,0.0,28.0,13.0,6.0,13.0,9.0,12.0,36.0,33.3,24.0,30.0,0.0,30.0,24.0,52.0,11.0,1.0,912.0,10.0,90.0,377.0,458.0,95.0,912.0,71.0,33.0,46.5,37.0,52.1,565.0,3558.0,1835.0,80.0,37.0,40.0,84.0,32.0,588.0,154.0,29,1976.0,68.0,64.6,22.0,26,72.0,5,3,31.0,2,1.34,28.0,27.0,1.0,0.05,0.46,30.3,26.8,3.5,0.16,0.89,0.0,0.0,0.0,23.0,16.0,3.0,54.0,24.0,13.0,0.0,0.0,0.0,111.0,5.0,28.0,15.2
Martin Hinteregger,at AUT,DF,28.0,24.7,1.0,16.0,4.0,25.0,0.65,0.16,0.06,0.25,19.8,1.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2,1079.0,1403.0,76.9,21300.0,9360.0,354.0,410.0,86.3,603.0,704.0,85.7,106.0,242.0,43.8,0.0,0.7,1.0,-0.7,8.0,74.0,6.0,0.0,78.0,1403.0,1333.0,69.0,54.0,5.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,1079.0,1.0,12.0,19.0,0.77,12.0,0.0,0.0,5.0,1.0,1.0,3.0,0.12,1.0,0.0,0.0,1.0,1.0,0.0,45.0,28.0,28.0,16.0,1.0,28.0,43.0,65.1,15.0,36.0,16.0,20.0,42.0,87.0,78.0,3.0,1678.0,177.0,878.0,761.0,46.0,21.0,1678.0,8.0,3.0,37.5,5.0,62.5,881.0,4473.0,1669.0,5.0,6.0,1.0,21.0,4.0,878.0,4.0,27,2222.0,82.0,72.6,24.7,25,88.0,24,2,9.0,2,1.22,32.0,37.0,-5.0,-0.2,-0.31,29.5,36.4,-6.9,-0.28,-0.44,6.0,0.0,0.0,28.0,31.0,0.0,0.0,42.0,28.0,0.0,1.0,0.0,199.0,60.0,55.0,52.2
Daichi Kamada,jp JPN,MF,24.0,23.8,4.0,36.0,8.0,22.2,1.51,0.34,0.11,0.5,16.5,0.0,0.0,0.0,4.6,4.6,0.13,-0.6,-0.6,672.0,869.0,77.3,10743.0,2689.0,341.0,407.0,83.8,264.0,316.0,83.5,44.0,77.0,57.1,3.0,2.8,1.9,0.2,31.0,72.0,26.0,1.0,128.0,869.0,824.0,41.0,0.0,4.0,5.0,27.0,7.0,12.0,7.0,3.0,1.0,672.0,4.0,18.0,82.0,3.45,63.0,4.0,4.0,5.0,4.0,2.0,7.0,0.29,6.0,0.0,1.0,0.0,0.0,0.0,40.0,21.0,7.0,26.0,7.0,11.0,40.0,27.5,29.0,18.0,0.0,18.0,8.0,48.0,10.0,0.0,1121.0,15.0,114.0,627.0,395.0,73.0,1121.0,55.0,30.0,54.5,25.0,45.5,685.0,3830.0,1871.0,57.0,42.0,14.0,60.0,21.0,767.0,142.0,32,2139.0,67.0,69.9,23.8,23,83.0,9,9,27.0,1,1.13,35.0,29.0,6.0,0.25,1.23,30.5,30.4,0.2,0.01,0.55,0.0,0.0,0.0,23.0,25.0,6.0,27.0,8.0,21.0,0.0,0.0,0.0,130.0,17.0,41.0,29.3
Kristijan Jakić,hr CRO,MF,24.0,20.9,1.0,30.0,7.0,23.3,1.44,0.34,0.03,0.14,19.0,0.0,0.0,0.0,1.7,1.7,0.06,-0.7,-0.7,618.0,834.0,74.1,10214.0,3712.0,317.0,390.0,81.3,228.0,296.0,77.0,57.0,93.0,61.3,0.0,0.5,1.1,-0.5,8.0,67.0,7.0,1.0,90.0,834.0,809.0,20.0,17.0,9.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,618.0,5.0,19.0,30.0,1.44,21.0,0.0,0.0,4.0,4.0,1.0,3.0,0.14,1.0,0.0,0.0,1.0,1.0,0.0,37.0,22.0,10.0,21.0,6.0,15.0,62.0,24.2,47.0,33.0,3.0,30.0,21.0,58.0,25.0,1.0,1077.0,46.0,219.0,679.0,192.0,28.0,1077.0,28.0,14.0,50.0,14.0,50.0,535.0,2587.0,1158.0,23.0,19.0,3.0,31.0,25.0,608.0,27.0,26,1879.0,72.0,61.4,20.9,21,81.0,13,5,35.0,1,1.35,29.0,32.0,-3.0,-0.14,-0.07,21.5,27.7,-6.2,-0.3,-0.37,6.0,0.0,0.0,31.0,19.0,1.0,8.0,21.0,22.0,0.0,0.0,0.0,165.0,34.0,37.0,47.9
