player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Yann Sommer,ch SUI,GK,32.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1096.0,1439.0,76.2,27929.0,18554.0,228.0,229.0,99.6,549.0,556.0,98.7,309.0,638.0,48.4,1.0,0.4,0.1,0.6,1.0,13.0,1.0,0.0,2.0,1439.0,1118.0,316.0,95.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.0,5.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,8.0,3.0,1521.0,1108.0,1508.0,16.0,0.0,0.0,1521.0,0.0,0.0,,0.0,,975.0,4563.0,2800.0,0.0,0.0,0.0,1.0,0.0,839.0,0.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,1,1.33,53.0,60.0,-7.0,-0.21,-0.21,54.8,54.1,0.6,0.02,-0.26,2.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,73.0,8.0,0.0,100.0
Nico Elvedi,ch SUI,DF,24.0,27.0,1.0,13.0,1.0,7.7,0.48,0.04,0.08,1.0,10.0,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,1615.0,1754.0,92.1,30022.0,9817.0,531.0,581.0,91.4,938.0,979.0,95.8,124.0,153.0,81.0,0.0,0.1,0.3,-0.1,4.0,38.0,1.0,0.0,73.0,1754.0,1666.0,87.0,76.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1615.0,1.0,11.0,15.0,0.56,12.0,0.0,1.0,1.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,23.0,17.0,0.0,22.0,36.0,61.1,14.0,33.0,22.0,11.0,34.0,74.0,83.0,1.0,1992.0,204.0,1074.0,888.0,41.0,23.0,1992.0,7.0,6.0,85.7,1.0,14.3,1177.0,5347.0,2774.0,13.0,8.0,0.0,9.0,6.0,1323.0,3.0,28,2430.0,87.0,79.4,27.0,28,87.0,26,0,,0,1.21,37.0,54.0,-17.0,-0.63,-2.06,43.2,46.8,-3.5,-0.13,-0.81,3.0,1.0,0.0,21.0,21.0,0.0,0.0,34.0,24.0,0.0,0.0,0.0,158.0,72.0,38.0,65.5
Matthias Ginter,de GER,DF,27.0,26.2,1.0,31.0,14.0,45.2,1.18,0.54,0.03,0.07,13.9,1.0,0.0,0.0,2.0,2.0,0.07,-1.0,-1.0,1451.0,1759.0,82.5,25960.0,10355.0,595.0,653.0,91.1,712.0,804.0,88.6,121.0,235.0,51.5,0.0,1.8,1.8,-1.8,16.0,104.0,18.0,6.0,125.0,1759.0,1682.0,62.0,48.0,3.0,23.0,20.0,14.0,0.0,0.0,0.0,0.0,1451.0,15.0,21.0,50.0,1.99,41.0,1.0,0.0,5.0,2.0,1.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,36.0,22.0,20.0,13.0,3.0,27.0,40.0,67.5,13.0,21.0,10.0,11.0,33.0,69.0,76.0,0.0,1996.0,132.0,867.0,961.0,176.0,44.0,1996.0,10.0,6.0,60.0,4.0,40.0,1227.0,6114.0,3665.0,36.0,25.0,2.0,11.0,3.0,1432.0,40.0,28,2355.0,84.0,77.0,26.2,27,87.0,24,1,10.0,3,1.43,39.0,49.0,-10.0,-0.38,-0.77,43.9,39.9,3.9,0.16,0.47,2.0,0.0,0.0,9.0,29.0,2.0,20.0,33.0,22.0,0.0,0.0,0.0,136.0,74.0,44.0,62.7
Kouadio Koné,fr FRA,MF,20.0,24.3,2.0,29.0,10.0,34.5,1.2,0.41,0.07,0.2,22.2,0.0,0.0,0.0,1.5,1.5,0.05,0.5,0.5,978.0,1145.0,85.4,14537.0,5252.0,539.0,604.0,89.2,368.0,403.0,91.3,40.0,72.0,55.6,0.0,0.5,1.0,-0.5,12.0,87.0,10.0,1.0,109.0,1145.0,1117.0,27.0,26.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,978.0,1.0,20.0,49.0,2.11,38.0,0.0,5.0,1.0,5.0,0.0,4.0,0.17,2.0,0.0,0.0,0.0,2.0,0.0,60.0,37.0,29.0,28.0,3.0,25.0,42.0,59.5,17.0,27.0,4.0,23.0,34.0,94.0,12.0,0.0,1471.0,40.0,355.0,918.0,224.0,24.0,1471.0,92.0,67.0,72.8,25.0,27.2,881.0,4290.0,2239.0,41.0,24.0,12.0,66.0,46.0,1014.0,36.0,27,2183.0,81.0,71.3,24.3,26,83.0,12,1,30.0,1,1.44,43.0,40.0,3.0,0.12,1.15,39.7,37.0,2.7,0.11,0.25,10.0,0.0,0.0,39.0,60.0,1.0,2.0,34.0,37.0,1.0,0.0,0.0,147.0,20.0,20.0,50.0
Breel Embolo,ch SUI,FW,24.0,24.1,9.0,48.0,23.0,47.9,1.99,0.96,0.19,0.39,13.7,0.0,0.0,0.0,8.4,8.4,0.19,-0.4,-0.4,398.0,541.0,73.6,5163.0,1225.0,244.0,312.0,78.2,105.0,128.0,82.0,17.0,26.0,65.4,3.0,4.7,3.4,-1.7,34.0,37.0,21.0,0.0,64.0,541.0,502.0,36.0,1.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,398.0,3.0,18.0,82.0,3.56,60.0,0.0,3.0,4.0,14.0,1.0,10.0,0.43,7.0,0.0,0.0,1.0,1.0,1.0,16.0,11.0,1.0,12.0,3.0,3.0,8.0,37.5,5.0,14.0,2.0,12.0,6.0,22.0,7.0,0.0,833.0,15.0,36.0,428.0,378.0,102.0,833.0,76.0,42.0,55.3,34.0,44.7,514.0,2762.0,1110.0,38.0,35.0,19.0,90.0,60.0,665.0,158.0,29,2166.0,75.0,70.8,24.1,24,85.0,18,5,24.0,0,1.41,39.0,36.0,3.0,0.12,1.13,38.8,37.8,1.0,0.04,0.02,3.0,0.0,0.0,41.0,71.0,20.0,2.0,6.0,11.0,2.0,0.0,0.0,57.0,35.0,64.0,35.4
Florian Neuhaus,de GER,MF,24.0,23.6,4.0,48.0,19.0,39.6,2.04,0.81,0.08,0.21,21.3,1.0,0.0,0.0,4.9,4.9,0.11,-0.9,-0.9,874.0,1101.0,79.4,14973.0,5596.0,400.0,474.0,84.4,354.0,426.0,83.1,84.0,128.0,65.6,4.0,2.2,2.9,1.8,20.0,96.0,18.0,1.0,133.0,1101.0,1058.0,36.0,33.0,11.0,14.0,14.0,2.0,1.0,1.0,0.0,0.0,874.0,7.0,16.0,61.0,2.7,53.0,0.0,2.0,2.0,3.0,1.0,6.0,0.27,6.0,0.0,0.0,0.0,0.0,0.0,55.0,28.0,24.0,26.0,5.0,27.0,64.0,42.2,37.0,38.0,6.0,32.0,31.0,86.0,19.0,4.0,1393.0,42.0,301.0,830.0,274.0,40.0,1393.0,51.0,35.0,68.6,16.0,31.4,765.0,3603.0,2061.0,48.0,33.0,12.0,38.0,25.0,965.0,58.0,29,2121.0,73.0,69.3,23.6,24,82.0,13,5,32.0,5,1.31,40.0,45.0,-5.0,-0.21,-0.02,40.4,38.8,1.6,0.07,0.11,2.0,0.0,0.0,18.0,32.0,0.0,14.0,31.0,28.0,0.0,0.0,0.0,134.0,10.0,8.0,55.6
Jonas Hofmann,de GER,"MF,FW",29.0,23.1,12.0,54.0,22.0,40.7,2.34,0.95,0.22,0.55,16.3,4.0,0.0,0.0,8.1,8.1,0.15,3.9,3.9,961.0,1265.0,76.0,15692.0,4485.0,490.0,551.0,88.9,314.0,392.0,80.1,108.0,205.0,52.7,5.0,6.6,6.4,-1.6,70.0,64.0,24.0,3.0,95.0,1265.0,1059.0,198.0,78.0,6.0,5.0,138.0,26.0,91.0,28.0,49.0,3.0,961.0,8.0,36.0,143.0,6.19,84.0,46.0,5.0,4.0,3.0,1.0,12.0,0.52,10.0,0.0,2.0,0.0,0.0,0.0,30.0,20.0,6.0,17.0,7.0,17.0,42.0,40.5,25.0,23.0,0.0,23.0,12.0,42.0,10.0,0.0,1494.0,21.0,193.0,749.0,563.0,93.0,1494.0,44.0,21.0,47.7,23.0,52.3,783.0,4080.0,1913.0,60.0,31.0,25.0,45.0,23.0,1022.0,161.0,26,2078.0,80.0,67.9,23.1,24,85.0,18,2,18.0,0,1.31,37.0,48.0,-11.0,-0.48,-0.84,41.6,35.0,6.6,0.29,0.79,1.0,0.0,0.0,23.0,20.0,7.0,138.0,12.0,20.0,0.0,0.0,0.0,112.0,4.0,15.0,21.1
Alassane Pléa,fr FRA,"MF,FW",28.0,23.0,10.0,59.0,23.0,39.0,2.57,1.0,0.12,0.3,17.7,0.0,3.0,3.0,8.0,5.7,0.1,1.0,0.3,561.0,771.0,72.8,9200.0,2946.0,280.0,350.0,80.0,192.0,241.0,79.7,59.0,87.0,67.8,6.0,7.4,7.5,-1.4,55.0,81.0,37.0,4.0,133.0,771.0,724.0,41.0,7.0,20.0,7.0,31.0,5.0,4.0,2.0,1.0,0.0,561.0,6.0,32.0,105.0,4.77,83.0,1.0,7.0,8.0,5.0,1.0,9.0,0.41,8.0,0.0,0.0,1.0,0.0,0.0,18.0,14.0,6.0,9.0,3.0,7.0,20.0,35.0,13.0,9.0,1.0,8.0,4.0,22.0,9.0,0.0,988.0,15.0,66.0,504.0,430.0,86.0,985.0,64.0,32.0,50.0,32.0,50.0,595.0,3432.0,1694.0,52.0,34.0,24.0,40.0,21.0,761.0,141.0,33,2070.0,63.0,67.6,23.0,24,80.0,12,9,15.0,1,1.27,41.0,45.0,-4.0,-0.17,0.1,39.5,36.5,2.9,0.13,0.28,4.0,0.0,0.0,20.0,25.0,13.0,31.0,4.0,14.0,0.0,0.0,0.0,88.0,14.0,35.0,28.6
Ramy Bensebaini,dz ALG,DF,26.0,22.4,4.0,28.0,7.0,25.0,1.25,0.31,0.07,0.29,17.4,1.0,2.0,2.0,3.7,2.1,0.07,0.3,-0.1,1046.0,1288.0,81.2,18107.0,6272.0,476.0,534.0,89.1,454.0,523.0,86.8,95.0,163.0,58.3,1.0,0.9,1.3,0.1,13.0,53.0,10.0,3.0,72.0,1288.0,1148.0,132.0,30.0,2.0,5.0,15.0,99.0,1.0,0.0,0.0,0.0,1046.0,8.0,26.0,31.0,1.45,24.0,2.0,0.0,1.0,1.0,3.0,4.0,0.19,3.0,0.0,0.0,1.0,0.0,0.0,42.0,30.0,24.0,15.0,3.0,27.0,44.0,61.4,17.0,33.0,7.0,26.0,39.0,81.0,77.0,1.0,1590.0,131.0,604.0,795.0,207.0,39.0,1588.0,29.0,16.0,55.2,13.0,44.8,843.0,3930.0,2085.0,26.0,17.0,4.0,28.0,13.0,964.0,66.0,23,2020.0,88.0,66.0,22.4,22,90.0,21,1,46.0,0,1.09,37.0,48.0,-11.0,-0.49,-0.84,34.4,37.0,-2.6,-0.12,-0.43,6.0,0.0,0.0,34.0,42.0,4.0,15.0,39.0,30.0,0.0,1.0,0.0,148.0,53.0,30.0,63.9
Joe Scally,us USA,DF,18.0,21.2,1.0,18.0,6.0,33.3,0.85,0.28,0.06,0.17,18.5,0.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,795.0,1010.0,78.7,12839.0,4055.0,410.0,474.0,86.5,307.0,381.0,80.6,59.0,101.0,58.4,2.0,1.9,2.0,0.1,18.0,44.0,17.0,9.0,57.0,1010.0,790.0,219.0,12.0,3.0,2.0,35.0,207.0,0.0,0.0,0.0,0.0,795.0,1.0,20.0,41.0,1.93,35.0,2.0,0.0,2.0,2.0,0.0,5.0,0.24,3.0,0.0,0.0,2.0,0.0,0.0,40.0,30.0,21.0,14.0,5.0,17.0,41.0,41.5,24.0,27.0,4.0,23.0,22.0,62.0,38.0,0.0,1293.0,58.0,346.0,653.0,310.0,31.0,1293.0,44.0,21.0,47.7,23.0,52.3,653.0,3569.0,1366.0,35.0,23.0,6.0,58.0,13.0,737.0,104.0,30,1909.0,64.0,62.4,21.2,20,87.0,16,10,16.0,3,1.23,31.0,41.0,-10.0,-0.47,-0.71,34.0,38.6,-4.6,-0.22,-0.67,4.0,0.0,0.0,27.0,36.0,2.0,35.0,22.0,30.0,0.0,0.0,0.0,89.0,18.0,18.0,50.0
