player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Silvan Widmer,ch SUI,DF,28.0,32.4,4.0,22.0,8.0,36.4,0.68,0.25,0.18,0.5,16.2,0.0,0.0,0.0,2.4,2.4,0.11,1.6,1.6,1060.0,1502.0,70.6,17087.0,7457.0,533.0,637.0,83.7,422.0,580.0,72.8,74.0,206.0,35.9,5.0,3.0,3.2,2.0,21.0,81.0,25.0,8.0,117.0,1502.0,1165.0,334.0,17.0,1.0,1.0,62.0,315.0,1.0,1.0,0.0,0.0,1060.0,3.0,22.0,61.0,1.88,48.0,6.0,1.0,1.0,3.0,2.0,10.0,0.31,9.0,0.0,0.0,0.0,0.0,1.0,60.0,28.0,32.0,20.0,8.0,36.0,61.0,59.0,25.0,44.0,16.0,28.0,43.0,103.0,59.0,2.0,1827.0,88.0,548.0,797.0,500.0,52.0,1827.0,38.0,19.0,50.0,19.0,50.0,768.0,3535.0,1778.0,51.0,35.0,5.0,26.0,13.0,914.0,135.0,33,2920.0,88.0,95.4,32.4,33,88.0,28,0,,0,1.36,46.0,43.0,3.0,0.09,-1.19,47.3,41.8,5.5,0.17,-0.45,1.0,0.0,0.0,36.0,20.0,1.0,62.0,43.0,28.0,0.0,1.0,0.0,165.0,34.0,38.0,47.2
Stefan Bell,de GER,DF,29.0,31.8,2.0,22.0,5.0,22.7,0.69,0.16,0.09,0.4,10.2,0.0,0.0,0.0,1.7,1.7,0.08,0.3,0.3,1180.0,1545.0,76.4,21345.0,9558.0,496.0,571.0,86.9,567.0,678.0,83.6,105.0,237.0,44.3,0.0,1.4,1.0,-1.4,10.0,75.0,6.0,2.0,93.0,1545.0,1495.0,45.0,39.0,0.0,4.0,16.0,6.0,0.0,0.0,0.0,0.0,1180.0,5.0,21.0,23.0,0.72,21.0,0.0,0.0,2.0,0.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,54.0,23.0,37.0,16.0,1.0,30.0,63.0,47.6,33.0,26.0,15.0,11.0,41.0,95.0,112.0,1.0,1842.0,216.0,1045.0,698.0,112.0,46.0,1842.0,9.0,7.0,77.8,2.0,22.2,903.0,3630.0,1778.0,13.0,9.0,2.0,12.0,4.0,1040.0,15.0,33,2864.0,87.0,93.6,31.8,33,87.0,27,0,,0,1.39,46.0,41.0,5.0,0.16,0.16,48.0,41.5,6.4,0.2,0.18,9.0,0.0,0.0,52.0,7.0,6.0,16.0,41.0,23.0,0.0,1.0,1.0,205.0,107.0,58.0,64.8
Robin Zentner,de GER,GK,26.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,698.0,1008.0,69.2,18451.0,12740.0,179.0,180.0,99.4,302.0,310.0,97.4,208.0,502.0,41.4,0.0,0.0,0.1,0.0,0.0,29.0,1.0,0.0,2.0,1008.0,705.0,297.0,61.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,6.0,0.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,21.0,1.0,1092.0,886.0,1069.0,22.0,1.0,1.0,1092.0,0.0,0.0,,0.0,,582.0,3171.0,1658.0,0.0,1.0,1.0,2.0,0.0,423.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,,2,1.31,46.0,42.0,4.0,0.12,-0.38,48.4,41.1,7.3,0.23,0.62,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,68.0,9.0,2.0,81.8
Jonathan Burkardt,de GER,"FW,MF",21.0,29.0,11.0,78.0,33.0,42.3,2.69,1.14,0.13,0.3,14.4,0.0,1.0,1.0,12.8,12.0,0.15,-1.8,-2.0,399.0,602.0,66.3,5907.0,1265.0,203.0,272.0,74.6,144.0,199.0,72.4,22.0,39.0,56.4,3.0,2.7,2.4,0.3,32.0,32.0,19.0,4.0,64.0,602.0,563.0,34.0,0.0,0.0,4.0,35.0,3.0,0.0,0.0,0.0,0.0,399.0,5.0,30.0,79.0,2.72,53.0,1.0,4.0,12.0,7.0,2.0,6.0,0.21,5.0,0.0,1.0,0.0,0.0,0.0,17.0,8.0,0.0,10.0,7.0,6.0,25.0,24.0,19.0,31.0,5.0,26.0,8.0,25.0,16.0,0.0,986.0,21.0,79.0,436.0,493.0,160.0,985.0,79.0,40.0,50.6,39.0,49.4,619.0,3444.0,1599.0,65.0,37.0,34.0,117.0,62.0,717.0,200.0,34,2611.0,77.0,85.3,29.0,32,80.0,9,2,34.0,0,1.35,41.0,39.0,2.0,0.07,-0.53,43.9,38.6,5.3,0.18,-0.05,0.0,0.0,0.0,24.0,42.0,10.0,35.0,8.0,8.0,0.0,0.0,0.0,106.0,36.0,81.0,30.8
Moussa Niakhate,sn SEN,DF,25.0,28.5,4.0,10.0,3.0,30.0,0.35,0.11,0.2,0.67,15.1,0.0,2.0,2.0,3.9,2.3,0.23,0.1,-0.3,1206.0,1611.0,74.9,22233.0,10148.0,472.0,536.0,88.1,583.0,734.0,79.4,128.0,277.0,46.2,0.0,0.5,1.3,-0.5,11.0,92.0,11.0,3.0,112.0,1611.0,1322.0,287.0,57.0,1.0,9.0,16.0,230.0,0.0,0.0,0.0,0.0,1206.0,2.0,19.0,39.0,1.37,31.0,6.0,1.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,25.0,13.0,2.0,20.0,33.0,60.6,13.0,37.0,11.0,26.0,50.0,90.0,69.0,1.0,1865.0,185.0,835.0,843.0,202.0,23.0,1863.0,13.0,11.0,84.6,2.0,15.4,865.0,4062.0,2330.0,27.0,20.0,1.0,21.0,12.0,959.0,14.0,30,2567.0,86.0,83.9,28.5,29,88.0,28,1,15.0,0,1.4,45.0,37.0,8.0,0.28,0.83,44.4,36.6,7.8,0.27,0.51,1.0,0.0,0.0,30.0,23.0,3.0,16.0,50.0,23.0,0.0,1.0,0.0,207.0,56.0,27.0,67.5
Karim Onisiwo,at AUT,FW,29.0,26.2,5.0,65.0,19.0,29.2,2.48,0.72,0.08,0.26,13.6,0.0,0.0,0.0,8.2,8.2,0.13,-3.2,-3.2,333.0,567.0,58.7,4743.0,1305.0,189.0,272.0,69.5,98.0,152.0,64.5,22.0,44.0,50.0,8.0,6.6,4.7,1.4,40.0,24.0,26.0,7.0,51.0,567.0,523.0,41.0,0.0,1.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,333.0,3.0,33.0,92.0,3.51,63.0,1.0,14.0,5.0,9.0,0.0,12.0,0.46,10.0,0.0,1.0,1.0,0.0,0.0,18.0,10.0,4.0,6.0,8.0,7.0,22.0,31.8,15.0,27.0,2.0,25.0,7.0,25.0,8.0,0.0,992.0,10.0,54.0,386.0,568.0,168.0,992.0,121.0,49.0,40.5,72.0,59.5,585.0,3695.0,1626.0,82.0,34.0,44.0,127.0,45.0,725.0,237.0,31,2361.0,76.0,77.2,26.2,28,82.0,10,3,26.0,0,1.35,39.0,35.0,4.0,0.15,0.02,41.2,33.9,7.3,0.28,0.38,0.0,0.0,0.0,44.0,32.0,27.0,50.0,7.0,10.0,0.0,0.0,0.0,82.0,58.0,88.0,39.7
Aarón Martín,es ESP,DF,24.0,25.5,1.0,18.0,5.0,27.8,0.71,0.2,0.06,0.2,21.5,5.0,0.0,0.0,1.0,1.0,0.05,0.0,0.0,768.0,1126.0,68.2,13643.0,5220.0,377.0,427.0,88.3,274.0,364.0,75.3,104.0,272.0,38.2,1.0,5.0,4.8,-4.0,46.0,57.0,29.0,17.0,69.0,1126.0,872.0,249.0,27.0,1.0,4.0,180.0,126.0,96.0,53.0,35.0,0.0,768.0,5.0,24.0,68.0,2.67,37.0,26.0,0.0,3.0,1.0,1.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,54.0,33.0,32.0,18.0,4.0,24.0,55.0,43.6,31.0,24.0,4.0,20.0,20.0,74.0,35.0,0.0,1343.0,39.0,333.0,607.0,412.0,19.0,1343.0,44.0,28.0,63.6,16.0,36.4,646.0,3161.0,1443.0,32.0,24.0,1.0,33.0,15.0,710.0,87.0,28,2292.0,82.0,74.9,25.5,25,88.0,20,3,31.0,3,1.46,44.0,35.0,9.0,0.35,0.82,41.5,33.2,8.3,0.32,0.53,7.0,0.0,0.0,31.0,18.0,0.0,180.0,20.0,33.0,0.0,0.0,0.0,161.0,12.0,15.0,44.4
Alexander Hack,de GER,DF,27.0,23.0,3.0,23.0,5.0,21.7,1.0,0.22,0.13,0.6,16.4,1.0,0.0,0.0,2.8,2.8,0.12,0.2,0.2,895.0,1135.0,78.9,17415.0,8428.0,338.0,394.0,85.8,412.0,490.0,84.1,129.0,195.0,66.2,1.0,1.2,0.9,-0.2,10.0,71.0,7.0,1.0,74.0,1135.0,1064.0,68.0,60.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,895.0,3.0,16.0,27.0,1.17,22.0,0.0,0.0,3.0,1.0,1.0,4.0,0.17,3.0,0.0,0.0,1.0,0.0,0.0,52.0,26.0,35.0,17.0,0.0,29.0,46.0,63.0,17.0,31.0,14.0,17.0,51.0,103.0,95.0,1.0,1430.0,172.0,767.0,611.0,60.0,31.0,1430.0,12.0,7.0,58.3,5.0,41.7,653.0,2500.0,1395.0,5.0,6.0,0.0,15.0,1.0,716.0,7.0,28,2074.0,74.0,67.8,23.0,24,80.0,17,4,38.0,1,1.39,40.0,23.0,17.0,0.74,1.83,37.7,26.8,10.9,0.47,0.87,6.0,1.0,0.0,28.0,34.0,2.0,5.0,51.0,26.0,0.0,1.0,0.0,172.0,67.0,47.0,58.8
Anton Stach,de GER,MF,22.0,20.7,1.0,49.0,12.0,24.5,2.37,0.58,0.02,0.08,25.6,9.0,0.0,0.0,2.1,2.1,0.04,-1.1,-1.1,671.0,955.0,70.3,10929.0,3639.0,346.0,438.0,79.0,226.0,318.0,71.1,65.0,119.0,54.6,6.0,4.5,4.4,1.5,32.0,82.0,25.0,4.0,103.0,955.0,902.0,49.0,22.0,3.0,4.0,53.0,1.0,26.0,15.0,10.0,0.0,671.0,4.0,28.0,59.0,2.85,35.0,10.0,2.0,5.0,7.0,0.0,10.0,0.48,8.0,1.0,0.0,1.0,0.0,0.0,28.0,19.0,14.0,13.0,1.0,15.0,38.0,39.5,23.0,24.0,5.0,19.0,51.0,79.0,25.0,0.0,1265.0,48.0,252.0,725.0,316.0,29.0,1265.0,44.0,29.0,65.9,15.0,34.1,586.0,3577.0,1789.0,48.0,36.0,4.0,53.0,21.0,676.0,50.0,29,1861.0,64.0,60.8,20.7,20,83.0,9,9,22.0,2,1.17,31.0,33.0,-2.0,-0.1,-0.62,28.5,30.7,-2.2,-0.11,-0.76,6.0,0.0,0.0,35.0,43.0,0.0,53.0,51.0,19.0,0.0,0.0,0.0,176.0,52.0,20.0,72.2
Leandro Barreiro Martins,lu LUX,MF,21.0,19.9,1.0,32.0,10.0,31.3,1.61,0.5,0.03,0.1,19.5,0.0,0.0,0.0,2.5,2.5,0.08,-1.5,-1.5,375.0,536.0,70.0,5457.0,1742.0,204.0,252.0,81.0,136.0,186.0,73.1,16.0,35.0,45.7,2.0,2.7,1.6,-0.7,15.0,35.0,15.0,1.0,54.0,536.0,525.0,6.0,5.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,375.0,5.0,18.0,32.0,1.61,19.0,0.0,2.0,5.0,5.0,1.0,4.0,0.2,2.0,0.0,0.0,0.0,2.0,0.0,63.0,32.0,23.0,27.0,13.0,29.0,50.0,58.0,21.0,23.0,6.0,17.0,32.0,95.0,23.0,0.0,806.0,31.0,187.0,396.0,231.0,37.0,806.0,13.0,5.0,38.5,8.0,61.5,378.0,1542.0,636.0,15.0,13.0,1.0,41.0,13.0,410.0,53.0,31,1789.0,58.0,58.5,19.9,20,78.0,7,11,22.0,2,1.48,25.0,24.0,1.0,0.05,-0.23,28.6,24.6,4.0,0.2,0.02,3.0,0.0,0.0,41.0,27.0,0.0,8.0,32.0,32.0,2.0,0.0,0.0,109.0,25.0,27.0,48.1
