player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Péter Gulácsi,hu HUN,GK,31.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,950.0,1176.0,80.8,23404.0,15166.0,231.0,231.0,100.0,477.0,480.0,99.4,240.0,461.0,52.1,0.0,0.0,0.1,0.0,0.0,17.0,3.0,0.0,6.0,1176.0,901.0,273.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,2.0,0.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,1235.0,1006.0,1206.0,31.0,0.0,0.0,1235.0,0.0,0.0,,0.0,,704.0,3227.0,1767.0,0.0,0.0,0.0,2.0,1.0,647.0,0.0,33,2967.0,90.0,97.0,33.0,33,90.0,32,0,,0,1.76,71.0,34.0,37.0,1.12,3.06,63.0,38.6,24.4,0.74,0.65,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,6.0,0.0,100.0
Christopher Nkunku,fr FRA,"FW,MF",23.0,30.3,20.0,81.0,39.0,48.1,2.68,1.29,0.23,0.49,16.3,8.0,1.0,1.0,16.1,15.3,0.19,3.9,3.7,813.0,1037.0,78.4,11116.0,2829.0,452.0,523.0,86.4,237.0,294.0,80.6,45.0,80.0,56.3,13.0,9.7,10.0,3.3,64.0,47.0,60.0,6.0,117.0,1037.0,979.0,56.0,15.0,12.0,4.0,64.0,11.0,29.0,14.0,6.0,0.0,813.0,2.0,25.0,145.0,4.79,92.0,9.0,17.0,12.0,13.0,2.0,31.0,1.02,19.0,0.0,5.0,2.0,4.0,1.0,23.0,10.0,10.0,11.0,2.0,9.0,35.0,25.7,26.0,23.0,2.0,21.0,15.0,38.0,15.0,0.0,1396.0,18.0,91.0,535.0,791.0,192.0,1395.0,99.0,66.0,66.7,32.0,32.3,856.0,4874.0,2388.0,100.0,55.0,52.0,109.0,50.0,1093.0,284.0,34,2723.0,80.0,89.0,30.3,31,84.0,18,3,41.0,0,1.71,65.0,34.0,31.0,1.02,-0.04,59.0,37.3,21.7,0.72,-0.01,2.0,0.0,0.0,31.0,61.0,13.0,64.0,15.0,10.0,3.0,0.0,0.0,103.0,26.0,28.0,48.1
Willi Orban,hu HUN,DF,28.0,29.4,2.0,21.0,8.0,38.1,0.72,0.27,0.1,0.25,12.0,0.0,0.0,0.0,2.8,2.8,0.15,-0.8,-0.8,1820.0,2045.0,89.0,32747.0,11967.0,656.0,714.0,91.9,1033.0,1109.0,93.1,106.0,170.0,62.4,1.0,1.4,1.7,-0.4,6.0,99.0,5.0,1.0,89.0,2045.0,1984.0,57.0,49.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1820.0,4.0,13.0,18.0,0.61,15.0,0.0,0.0,2.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,20.0,11.0,1.0,13.0,25.0,52.0,12.0,40.0,24.0,16.0,44.0,76.0,123.0,2.0,2372.0,239.0,1139.0,1162.0,77.0,43.0,2372.0,6.0,4.0,66.7,2.0,33.3,1376.0,7017.0,3953.0,8.0,4.0,0.0,14.0,2.0,1636.0,7.0,30,2642.0,88.0,86.3,29.4,30,88.0,26,0,,0,1.73,63.0,29.0,34.0,1.16,0.94,53.9,31.9,22.0,0.75,0.22,1.0,0.0,0.0,12.0,29.0,3.0,3.0,44.0,22.0,0.0,0.0,0.0,163.0,100.0,63.0,61.3
Joško Gvardiol,hr CRO,DF,19.0,26.8,2.0,23.0,7.0,30.4,0.86,0.26,0.09,0.29,16.3,0.0,0.0,0.0,2.5,2.5,0.11,-0.5,-0.5,1769.0,2121.0,83.4,30575.0,13299.0,817.0,902.0,90.6,765.0,852.0,89.8,155.0,261.0,59.4,2.0,1.9,4.0,0.1,11.0,170.0,18.0,1.0,157.0,2121.0,1992.0,118.0,54.0,10.0,13.0,8.0,54.0,0.0,0.0,0.0,0.0,1769.0,11.0,37.0,33.0,1.23,25.0,5.0,1.0,2.0,0.0,0.0,6.0,0.22,6.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,28.0,17.0,2.0,22.0,39.0,56.4,17.0,30.0,11.0,19.0,51.0,98.0,62.0,2.0,2431.0,190.0,990.0,1278.0,190.0,32.0,2431.0,49.0,37.0,75.5,12.0,24.5,1488.0,6817.0,3794.0,47.0,33.0,5.0,28.0,20.0,1695.0,25.0,29,2409.0,83.0,78.7,26.8,28,85.0,23,1,33.0,3,1.76,59.0,28.0,31.0,1.16,0.61,52.9,30.2,22.7,0.85,0.6,7.0,0.0,0.0,41.0,34.0,1.0,8.0,51.0,31.0,0.0,0.0,1.0,230.0,53.0,35.0,60.2
Angeliño,es ESP,DF,24.0,25.5,2.0,12.0,6.0,50.0,0.47,0.23,0.17,0.33,16.1,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8,1082.0,1516.0,71.4,17957.0,6443.0,546.0,608.0,89.8,381.0,519.0,73.4,109.0,291.0,37.5,5.0,5.2,8.4,-0.2,52.0,68.0,54.0,36.0,73.0,1516.0,1201.0,304.0,47.0,0.0,6.0,187.0,205.0,52.0,26.0,9.0,0.0,1082.0,11.0,20.0,83.0,3.25,53.0,22.0,3.0,4.0,1.0,0.0,8.0,0.31,5.0,3.0,0.0,0.0,0.0,0.0,28.0,21.0,14.0,13.0,1.0,14.0,30.0,46.7,16.0,24.0,3.0,21.0,29.0,57.0,40.0,0.0,1708.0,46.0,401.0,703.0,617.0,60.0,1708.0,19.0,14.0,73.7,5.0,26.3,782.0,2986.0,1429.0,35.0,21.0,11.0,30.0,19.0,1039.0,177.0,29,2298.0,79.0,75.1,25.5,26,86.0,21,3,20.0,2,1.66,48.0,31.0,17.0,0.67,-1.46,45.5,30.8,14.6,0.57,-0.59,3.0,0.0,0.0,15.0,35.0,4.0,187.0,29.0,21.0,0.0,0.0,0.0,155.0,11.0,21.0,34.4
Kevin Kampl,si SVN,MF,30.0,21.1,0.0,8.0,2.0,25.0,0.38,0.09,0.0,0.0,21.3,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,1372.0,1508.0,91.0,21256.0,5448.0,683.0,718.0,95.1,557.0,601.0,92.7,70.0,97.0,72.2,1.0,1.9,1.6,-0.9,16.0,109.0,17.0,1.0,147.0,1508.0,1437.0,69.0,59.0,3.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,1372.0,2.0,18.0,40.0,1.89,37.0,1.0,0.0,0.0,1.0,1.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,41.0,19.0,16.0,20.0,5.0,10.0,42.0,23.8,32.0,24.0,5.0,19.0,24.0,65.0,17.0,0.0,1667.0,38.0,309.0,1100.0,275.0,11.0,1667.0,15.0,10.0,66.7,5.0,33.3,1057.0,5156.0,2586.0,39.0,31.0,4.0,26.0,14.0,1243.0,35.0,27,1899.0,70.0,62.1,21.1,25,75.0,10,2,13.0,4,1.37,38.0,23.0,15.0,0.71,-0.84,40.4,24.5,15.9,0.75,0.08,4.0,0.0,0.0,36.0,12.0,0.0,8.0,24.0,19.0,0.0,1.0,0.0,155.0,8.0,12.0,40.0
André Silva,pt POR,FW,25.0,23.1,11.0,55.0,23.0,41.8,2.38,1.0,0.15,0.35,11.8,0.0,3.0,3.0,12.6,10.7,0.2,-1.6,-2.7,412.0,568.0,72.5,4828.0,1121.0,249.0,319.0,78.1,101.0,136.0,74.3,8.0,16.0,50.0,3.0,3.3,3.0,-0.3,16.0,22.0,25.0,2.0,50.0,568.0,520.0,44.0,1.0,4.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,412.0,4.0,17.0,51.0,2.21,34.0,0.0,4.0,8.0,4.0,1.0,15.0,0.65,10.0,0.0,1.0,3.0,1.0,0.0,13.0,9.0,2.0,3.0,8.0,4.0,13.0,30.8,9.0,20.0,2.0,18.0,2.0,15.0,15.0,0.0,863.0,19.0,43.0,386.0,443.0,142.0,860.0,53.0,23.0,43.4,30.0,56.6,473.0,2023.0,798.0,36.0,22.0,24.0,90.0,47.0,645.0,172.0,33,2076.0,63.0,67.8,23.1,24,77.0,9,9,26.0,1,1.67,50.0,28.0,22.0,0.95,-0.24,41.4,29.8,11.5,0.5,-0.68,1.0,0.0,0.0,20.0,28.0,16.0,7.0,2.0,9.0,0.0,0.0,0.0,66.0,37.0,65.0,36.3
Mohamed Simakan,fr FRA,DF,21.0,22.3,1.0,12.0,3.0,25.0,0.54,0.13,0.08,0.33,12.7,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,1205.0,1402.0,85.9,20457.0,7283.0,535.0,588.0,91.0,549.0,599.0,91.7,85.0,155.0,54.8,0.0,0.7,0.7,-0.7,7.0,75.0,6.0,1.0,80.0,1402.0,1350.0,46.0,37.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,1205.0,6.0,4.0,18.0,0.81,15.0,0.0,0.0,2.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,48.0,27.0,25.0,21.0,2.0,27.0,41.0,65.9,14.0,22.0,11.0,11.0,40.0,88.0,46.0,1.0,1638.0,138.0,728.0,822.0,105.0,26.0,1638.0,24.0,16.0,66.7,8.0,33.3,949.0,4599.0,2329.0,19.0,18.0,0.0,24.0,8.0,1091.0,10.0,28,2009.0,72.0,65.7,22.3,23,81.0,15,5,30.0,2,1.82,48.0,20.0,28.0,1.25,0.65,45.1,22.4,22.7,1.02,0.86,5.0,0.0,0.0,25.0,34.0,0.0,6.0,40.0,27.0,0.0,0.0,0.0,159.0,63.0,21.0,75.0
Nordi Mukiele,fr FRA,"DF,FW",23.0,20.5,1.0,22.0,7.0,31.8,1.07,0.34,0.05,0.14,12.7,0.0,0.0,0.0,1.9,1.9,0.09,-0.9,-0.9,851.0,1147.0,74.2,14008.0,5492.0,411.0,491.0,83.7,338.0,423.0,79.9,70.0,132.0,53.0,3.0,3.5,2.8,-0.5,14.0,42.0,30.0,6.0,76.0,1147.0,981.0,164.0,22.0,0.0,5.0,34.0,142.0,0.0,0.0,0.0,0.0,851.0,2.0,31.0,29.0,1.42,25.0,1.0,1.0,1.0,1.0,0.0,5.0,0.24,4.0,0.0,0.0,0.0,1.0,0.0,35.0,22.0,23.0,9.0,3.0,14.0,27.0,51.9,13.0,31.0,5.0,26.0,31.0,66.0,44.0,2.0,1401.0,63.0,407.0,661.0,348.0,66.0,1401.0,40.0,20.0,50.0,20.0,50.0,681.0,3221.0,1479.0,26.0,21.0,6.0,35.0,22.0,829.0,100.0,28,1842.0,66.0,60.2,20.5,21,81.0,12,7,20.0,4,1.64,46.0,26.0,20.0,0.98,-0.13,37.9,27.4,10.5,0.51,-0.52,3.0,0.0,0.0,19.0,25.0,8.0,34.0,31.0,22.0,1.0,1.0,0.0,125.0,47.0,23.0,67.1
Emil Forsberg,se SWE,MF,29.0,19.0,6.0,38.0,11.0,28.9,2.0,0.58,0.05,0.18,19.0,2.0,4.0,4.0,8.0,4.8,0.13,-2.0,-2.8,624.0,766.0,81.5,8731.0,2325.0,357.0,406.0,87.9,191.0,225.0,84.9,30.0,61.0,49.2,2.0,3.5,3.4,-1.5,24.0,53.0,33.0,2.0,80.0,766.0,713.0,50.0,22.0,11.0,4.0,38.0,4.0,20.0,8.0,12.0,0.0,624.0,3.0,11.0,56.0,2.96,39.0,8.0,5.0,2.0,2.0,0.0,7.0,0.37,4.0,1.0,1.0,0.0,1.0,0.0,21.0,12.0,2.0,11.0,8.0,7.0,22.0,31.8,15.0,18.0,0.0,18.0,2.0,23.0,2.0,1.0,951.0,8.0,69.0,481.0,413.0,61.0,947.0,31.0,23.0,74.2,8.0,25.8,592.0,3087.0,1391.0,39.0,40.0,12.0,55.0,26.0,743.0,118.0,31,1706.0,55.0,55.8,19.0,20,70.0,5,11,27.0,0,1.58,33.0,16.0,17.0,0.9,-0.3,35.2,21.0,14.3,0.75,0.08,2.0,0.0,0.0,11.0,22.0,4.0,38.0,2.0,12.0,0.0,0.0,0.0,58.0,9.0,18.0,33.3
