player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Maximilian Arnold,de GER,MF,27.0,33.3,4.0,39.0,15.0,38.5,1.17,0.45,0.1,0.27,32.0,12.0,0.0,0.0,1.7,1.7,0.04,2.3,2.3,1453.0,1869.0,77.7,30069.0,10473.0,487.0,550.0,88.5,662.0,753.0,87.9,263.0,468.0,56.2,2.0,4.7,6.7,-2.7,57.0,151.0,29.0,10.0,171.0,1869.0,1602.0,255.0,145.0,5.0,40.0,182.0,7.0,102.0,63.0,33.0,1.0,1453.0,12.0,21.0,106.0,3.19,56.0,45.0,2.0,0.0,3.0,0.0,4.0,0.12,2.0,1.0,0.0,0.0,1.0,0.0,37.0,20.0,19.0,16.0,2.0,20.0,50.0,40.0,30.0,43.0,15.0,28.0,37.0,74.0,55.0,0.0,2158.0,104.0,510.0,1276.0,397.0,5.0,2158.0,14.0,12.0,85.7,2.0,14.3,1104.0,4711.0,2079.0,18.0,28.0,2.0,31.0,17.0,1267.0,24.0,34,2994.0,88.0,97.8,33.3,34,88.0,31,0,,0,1.24,43.0,53.0,-10.0,-0.3,1.06,46.8,46.9,-0.1,0.0,-0.72,4.0,0.0,0.0,47.0,57.0,1.0,182.0,37.0,20.0,0.0,1.0,0.0,243.0,33.0,28.0,54.1
John Brooks,us USA,DF,28.0,29.1,1.0,11.0,1.0,9.1,0.38,0.03,0.09,1.0,14.6,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,1443.0,1736.0,83.1,29973.0,11427.0,416.0,470.0,88.5,829.0,908.0,91.3,187.0,311.0,60.1,1.0,0.4,1.2,0.6,7.0,101.0,8.0,1.0,130.0,1736.0,1654.0,77.0,67.0,1.0,34.0,4.0,9.0,0.0,0.0,0.0,0.0,1443.0,5.0,13.0,20.0,0.69,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,25.0,25.0,18.0,4.0,36.0,60.0,60.0,24.0,33.0,19.0,14.0,41.0,88.0,125.0,1.0,2047.0,217.0,1018.0,967.0,72.0,26.0,2047.0,13.0,9.0,69.2,4.0,30.8,1210.0,5970.0,3192.0,22.0,17.0,2.0,23.0,5.0,1283.0,4.0,31,2615.0,84.0,85.5,29.1,29,88.0,24,2,32.0,3,1.32,38.0,44.0,-6.0,-0.21,0.8,41.0,40.6,0.4,0.01,0.0,2.0,0.0,0.0,9.0,16.0,1.0,4.0,41.0,25.0,0.0,1.0,0.0,188.0,67.0,37.0,64.4
Maxence Lacroix,fr FRA,DF,21.0,27.7,0.0,17.0,3.0,17.6,0.61,0.11,0.0,0.0,14.0,0.0,0.0,0.0,1.5,1.5,0.09,-1.5,-1.5,1240.0,1538.0,80.6,25668.0,9563.0,353.0,421.0,83.8,716.0,794.0,90.2,163.0,269.0,60.6,0.0,0.9,1.1,-0.9,7.0,79.0,8.0,0.0,117.0,1538.0,1459.0,72.0,68.0,2.0,12.0,7.0,4.0,0.0,0.0,0.0,0.0,1240.0,7.0,22.0,26.0,0.94,20.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,33.0,41.0,16.0,2.0,29.0,40.0,72.5,11.0,35.0,16.0,19.0,60.0,119.0,144.0,0.0,1931.0,269.0,1057.0,807.0,79.0,26.0,1931.0,36.0,31.0,86.1,5.0,13.9,1055.0,5776.0,3228.0,17.0,18.0,1.0,25.0,11.0,1126.0,12.0,29,2491.0,86.0,81.4,27.7,29,86.0,23,0,,0,1.1,32.0,47.0,-15.0,-0.54,-1.17,37.8,37.9,-0.2,-0.01,-0.11,5.0,3.0,1.0,36.0,25.0,1.0,7.0,60.0,33.0,0.0,3.0,1.0,183.0,75.0,45.0,62.5
Koen Casteels,be BEL,GK,29.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,843.0,1079.0,78.1,24035.0,16216.0,144.0,145.0,99.3,389.0,395.0,98.5,307.0,532.0,57.7,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1079.0,817.0,260.0,56.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,2.0,2.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1143.0,916.0,1136.0,11.0,0.0,0.0,1143.0,2.0,2.0,100.0,0.0,0.0,681.0,3155.0,1653.0,0.0,0.0,0.0,1.0,0.0,605.0,0.0,28,2520.0,90.0,82.4,28.0,28,90.0,28,0,,0,1.39,39.0,40.0,-1.0,-0.04,1.63,40.5,38.7,1.8,0.06,0.29,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,0.0,100.0
Ridle Baku,de GER,"DF,FW",23.0,27.2,3.0,36.0,8.0,22.2,1.32,0.29,0.08,0.38,21.2,0.0,0.0,0.0,1.8,1.8,0.05,1.2,1.2,1011.0,1338.0,75.6,17055.0,5684.0,485.0,568.0,85.4,414.0,521.0,79.5,87.0,155.0,56.1,5.0,5.3,5.4,-0.3,39.0,67.0,36.0,11.0,104.0,1338.0,1109.0,222.0,17.0,2.0,5.0,73.0,200.0,5.0,1.0,0.0,0.0,1011.0,7.0,31.0,82.0,3.02,60.0,4.0,4.0,7.0,7.0,0.0,9.0,0.33,5.0,0.0,0.0,1.0,3.0,0.0,62.0,37.0,30.0,24.0,8.0,25.0,65.0,38.5,40.0,43.0,1.0,42.0,21.0,83.0,52.0,1.0,1702.0,50.0,461.0,740.0,517.0,60.0,1702.0,71.0,36.0,50.7,35.0,49.3,920.0,4838.0,2368.0,74.0,40.0,16.0,60.0,23.0,991.0,171.0,34,2446.0,72.0,79.9,27.2,28,83.0,18,6,21.0,0,1.24,40.0,40.0,0.0,0.0,1.61,40.0,36.8,3.1,0.12,0.51,4.0,0.0,0.0,28.0,37.0,9.0,73.0,21.0,37.0,0.0,0.0,0.0,166.0,28.0,35.0,44.4
Sebastiaan Bornauw,be BEL,DF,22.0,22.3,1.0,13.0,4.0,30.8,0.58,0.18,0.08,0.25,11.0,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,1007.0,1177.0,85.6,20537.0,7223.0,247.0,292.0,84.6,652.0,704.0,92.6,101.0,158.0,63.9,0.0,0.2,0.4,-0.2,3.0,33.0,0.0,0.0,35.0,1177.0,1136.0,36.0,31.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1007.0,5.0,2.0,5.0,0.22,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,23.0,5.0,2.0,16.0,25.0,64.0,9.0,29.0,8.0,21.0,42.0,72.0,97.0,1.0,1419.0,205.0,849.0,545.0,31.0,26.0,1419.0,4.0,2.0,50.0,2.0,50.0,818.0,2979.0,1077.0,0.0,1.0,1.0,5.0,3.0,906.0,5.0,27,2007.0,74.0,65.6,22.3,23,85.0,18,4,14.0,5,0.96,30.0,37.0,-7.0,-0.31,0.03,32.3,30.1,2.2,0.1,0.25,4.0,0.0,0.0,22.0,5.0,2.0,0.0,42.0,19.0,0.0,1.0,0.0,107.0,63.0,47.0,57.3
Jérôme Roussillon,fr FRA,DF,28.0,19.7,1.0,12.0,5.0,41.7,0.61,0.25,0.08,0.2,23.8,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,675.0,918.0,73.5,11140.0,4068.0,328.0,414.0,79.2,269.0,339.0,79.4,54.0,94.0,57.4,0.0,1.6,1.2,-1.6,15.0,43.0,19.0,8.0,64.0,918.0,749.0,162.0,7.0,0.0,4.0,50.0,155.0,0.0,0.0,0.0,0.0,675.0,7.0,19.0,35.0,1.77,29.0,2.0,2.0,1.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,8.0,6.0,0.0,10.0,16.0,62.5,6.0,24.0,5.0,19.0,14.0,28.0,34.0,2.0,1116.0,57.0,268.0,582.0,275.0,22.0,1116.0,53.0,30.0,56.6,23.0,43.4,583.0,2832.0,1403.0,42.0,24.0,10.0,29.0,17.0,653.0,91.0,26,1775.0,68.0,58.0,19.7,18,84.0,8,8,34.0,3,1.15,25.0,24.0,1.0,0.05,0.89,27.8,26.0,1.8,0.09,0.18,5.0,0.0,0.0,10.0,24.0,5.0,50.0,14.0,9.0,0.0,0.0,0.0,97.0,13.0,9.0,59.1
Lukas Nmecha,de GER,"FW,MF",22.0,18.1,8.0,52.0,22.0,42.3,2.88,1.22,0.15,0.36,12.8,0.0,0.0,0.0,8.8,8.8,0.17,-0.8,-0.8,258.0,395.0,65.3,3581.0,640.0,156.0,214.0,72.9,71.0,101.0,70.3,15.0,31.0,48.4,0.0,2.1,2.9,-2.1,14.0,13.0,17.0,3.0,25.0,395.0,372.0,21.0,0.0,2.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,258.0,2.0,11.0,54.0,2.99,34.0,0.0,7.0,7.0,6.0,0.0,6.0,0.33,4.0,0.0,0.0,1.0,1.0,0.0,12.0,5.0,5.0,5.0,2.0,5.0,19.0,26.3,14.0,9.0,1.0,8.0,4.0,16.0,10.0,0.0,623.0,8.0,54.0,286.0,289.0,95.0,623.0,39.0,22.0,56.4,17.0,43.6,372.0,2050.0,899.0,32.0,28.0,13.0,76.0,27.0,471.0,130.0,25,1627.0,65.0,53.2,18.1,18,80.0,7,7,26.0,0,1.24,26.0,30.0,-4.0,-0.22,0.22,26.9,23.1,3.8,0.21,0.42,5.0,0.0,0.0,31.0,29.0,6.0,21.0,4.0,5.0,1.0,0.0,0.0,47.0,33.0,32.0,50.8
Yannick Gerhardt,de GER,"MF,DF",27.0,17.5,1.0,14.0,3.0,21.4,0.8,0.17,0.07,0.33,15.6,0.0,0.0,0.0,2.2,2.2,0.16,-1.2,-1.2,592.0,808.0,73.3,9477.0,3284.0,307.0,370.0,83.0,226.0,287.0,78.7,39.0,80.0,48.8,3.0,1.5,1.6,1.5,11.0,52.0,19.0,4.0,90.0,808.0,743.0,62.0,6.0,4.0,4.0,32.0,46.0,3.0,3.0,0.0,0.0,592.0,3.0,24.0,37.0,2.12,29.0,1.0,0.0,3.0,3.0,1.0,6.0,0.34,5.0,0.0,0.0,1.0,0.0,0.0,42.0,20.0,18.0,17.0,7.0,22.0,36.0,61.1,14.0,24.0,1.0,23.0,25.0,67.0,25.0,1.0,1021.0,39.0,221.0,560.0,256.0,34.0,1021.0,21.0,14.0,66.7,7.0,33.3,544.0,2907.0,1448.0,42.0,33.0,3.0,34.0,15.0,600.0,79.0,27,1574.0,58.0,51.4,17.5,17,80.0,8,10,21.0,6,1.44,26.0,28.0,-2.0,-0.11,0.43,26.8,24.0,2.8,0.16,0.3,2.0,0.0,0.0,18.0,24.0,2.0,32.0,25.0,20.0,0.0,0.0,0.0,115.0,26.0,25.0,51.0
Wout Weghorst,nl NED,FW,28.0,17.3,6.0,36.0,19.0,52.8,2.09,1.1,0.14,0.26,11.9,1.0,1.0,2.0,7.9,6.3,0.18,-1.9,-1.3,303.0,432.0,70.1,3994.0,727.0,192.0,254.0,75.6,76.0,111.0,68.5,15.0,17.0,88.2,1.0,1.9,1.5,-0.9,17.0,18.0,7.0,0.0,33.0,432.0,412.0,18.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,303.0,2.0,9.0,38.0,2.2,28.0,0.0,1.0,5.0,3.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,3.0,3.0,7.0,7.0,17.0,41.2,10.0,10.0,3.0,7.0,2.0,15.0,11.0,1.0,593.0,15.0,51.0,313.0,233.0,74.0,591.0,8.0,7.0,87.5,1.0,12.5,324.0,1217.0,376.0,16.0,9.0,9.0,49.0,18.0,452.0,88.0,18,1553.0,86.0,50.8,17.3,17,90.0,17,1,23.0,0,1.0,15.0,29.0,-14.0,-0.81,-0.99,21.8,24.7,-2.9,-0.17,-0.36,2.0,0.0,0.0,17.0,31.0,15.0,2.0,2.0,7.0,0.0,0.0,0.0,57.0,45.0,43.0,51.1
