player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Manuel Riemann,de GER,GK,33.0,34.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,11.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1065.0,1761.0,60.5,41782.0,36334.0,86.0,87.0,98.9,302.0,312.0,96.8,677.0,1348.0,50.2,0.0,0.1,0.8,-0.1,2.0,136.0,7.0,1.0,18.0,1761.0,1297.0,453.0,191.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1065.0,11.0,3.0,21.0,0.62,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,5.0,8.0,23.0,7.0,1879.0,1193.0,1736.0,148.0,1.0,1.0,1879.0,0.0,0.0,,0.0,,1072.0,5772.0,3752.0,1.0,0.0,0.0,1.0,0.0,887.0,0.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.03,40.0,72.0,-32.0,-0.94,,40.0,65.7,-25.7,-0.76,,3.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,105.0,11.0,3.0,78.6
Anthony Losilla,fr FRA,MF,36.0,30.2,2.0,27.0,8.0,29.6,0.89,0.26,0.07,0.25,17.2,0.0,0.0,0.0,1.9,1.9,0.07,0.1,0.1,650.0,962.0,67.6,10825.0,3793.0,311.0,413.0,75.3,266.0,376.0,70.7,52.0,110.0,47.3,2.0,2.2,2.2,-0.2,14.0,62.0,8.0,2.0,93.0,962.0,951.0,8.0,6.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,650.0,3.0,20.0,41.0,1.36,32.0,0.0,0.0,4.0,2.0,3.0,6.0,0.2,5.0,0.0,0.0,1.0,0.0,0.0,76.0,49.0,32.0,34.0,10.0,38.0,77.0,49.4,39.0,39.0,12.0,27.0,37.0,113.0,67.0,0.0,1286.0,90.0,366.0,705.0,234.0,39.0,1286.0,20.0,9.0,45.0,10.0,50.0,410.0,1715.0,645.0,13.0,14.0,1.0,24.0,10.0,551.0,42.0,31,2720.0,88.0,88.9,30.2,31,88.0,26,0,,0,1.1,39.0,64.0,-25.0,-0.83,1.03,35.3,59.3,-24.0,-0.8,-0.35,6.0,1.0,0.0,47.0,17.0,3.0,10.0,37.0,49.0,0.0,1.0,0.0,203.0,92.0,76.0,54.8
Philipp Hofmann,de GER,FW,29.0,29.2,8.0,52.0,21.0,40.4,1.78,0.72,0.15,0.38,12.8,0.0,0.0,0.0,8.8,8.8,0.17,-0.8,-0.8,433.0,743.0,58.3,5894.0,1381.0,269.0,418.0,64.4,130.0,240.0,54.2,15.0,24.0,62.5,2.0,2.7,3.2,-0.7,27.0,41.0,17.0,0.0,71.0,743.0,716.0,23.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,433.0,4.0,12.0,59.0,2.02,46.0,0.0,2.0,3.0,7.0,1.0,7.0,0.24,6.0,0.0,1.0,0.0,0.0,0.0,18.0,11.0,0.0,13.0,5.0,5.0,12.0,41.7,7.0,20.0,8.0,12.0,6.0,24.0,48.0,0.0,992.0,59.0,82.0,497.0,419.0,117.0,992.0,21.0,9.0,42.9,10.0,47.6,403.0,1203.0,321.0,7.0,8.0,3.0,50.0,37.0,747.0,117.0,34,2631.0,77.0,86.0,29.2,31,82.0,16,3,29.0,0,1.03,34.0,60.0,-26.0,-0.89,0.37,34.7,51.9,-17.2,-0.59,1.18,5.0,0.0,0.0,46.0,41.0,16.0,4.0,6.0,11.0,0.0,0.0,0.0,82.0,214.0,171.0,55.6
Kevin Stöger,at AUT,MF,28.0,28.9,5.0,45.0,11.0,24.4,1.56,0.38,0.04,0.18,25.8,7.0,3.0,3.0,4.4,2.1,0.05,0.6,-0.1,1114.0,1607.0,69.3,20465.0,7740.0,504.0,609.0,82.8,414.0,570.0,72.6,163.0,321.0,50.8,3.0,5.7,7.8,-2.7,68.0,153.0,46.0,11.0,214.0,1607.0,1351.0,242.0,99.0,9.0,8.0,156.0,18.0,85.0,37.0,37.0,1.0,1114.0,14.0,36.0,138.0,4.78,81.0,40.0,3.0,5.0,7.0,2.0,11.0,0.38,8.0,2.0,0.0,0.0,1.0,0.0,84.0,45.0,38.0,32.0,14.0,31.0,94.0,33.0,63.0,27.0,4.0,23.0,26.0,110.0,21.0,1.0,1917.0,32.0,281.0,1081.0,571.0,37.0,1914.0,52.0,22.0,42.3,21.0,40.4,901.0,4339.0,2056.0,43.0,40.0,3.0,43.0,35.0,1134.0,98.0,32,2599.0,81.0,84.9,28.9,29,85.0,18,3,48.0,0,1.0,33.0,62.0,-29.0,-1.0,-0.42,35.0,55.6,-20.6,-0.71,0.28,3.0,0.0,0.0,41.0,54.0,0.0,156.0,26.0,45.0,0.0,0.0,0.0,181.0,11.0,42.0,20.8
Ivan Ordets,ua UKR,DF,30.0,27.2,0.0,17.0,1.0,5.9,0.62,0.04,0.0,0.0,11.7,0.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4,731.0,1005.0,72.7,14758.0,4989.0,195.0,269.0,72.5,452.0,542.0,83.4,75.0,160.0,46.9,0.0,0.8,1.0,-0.8,8.0,30.0,3.0,0.0,53.0,1005.0,980.0,23.0,10.0,1.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,731.0,2.0,4.0,22.0,0.81,15.0,0.0,1.0,4.0,2.0,0.0,2.0,0.07,0.0,0.0,0.0,1.0,1.0,0.0,31.0,19.0,21.0,9.0,1.0,16.0,28.0,57.1,12.0,34.0,17.0,17.0,57.0,88.0,139.0,0.0,1335.0,184.0,716.0,520.0,103.0,66.0,1335.0,3.0,2.0,66.7,1.0,33.3,531.0,1737.0,647.0,3.0,4.0,1.0,9.0,4.0,600.0,14.0,30,2449.0,82.0,80.0,27.2,28,87.0,24,2,4.0,2,1.17,39.0,58.0,-19.0,-0.7,1.22,34.0,54.2,-20.2,-0.74,0.07,4.0,0.0,0.0,32.0,23.0,3.0,1.0,57.0,19.0,1.0,1.0,0.0,150.0,138.0,70.0,66.3
Erhan Mašović,rs SRB,"DF,MF",23.0,24.2,4.0,17.0,10.0,58.8,0.7,0.41,0.24,0.4,14.0,1.0,0.0,0.0,2.6,2.6,0.15,1.4,1.4,662.0,821.0,80.6,12688.0,4290.0,223.0,259.0,86.1,367.0,407.0,90.2,62.0,127.0,48.8,0.0,1.0,1.0,-1.0,10.0,41.0,2.0,0.0,60.0,821.0,798.0,21.0,15.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,662.0,2.0,10.0,18.0,0.74,15.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31.0,28.0,21.0,1.0,30.0,51.0,58.8,21.0,30.0,14.0,16.0,27.0,77.0,79.0,0.0,1078.0,127.0,558.0,464.0,61.0,28.0,1078.0,5.0,2.0,40.0,3.0,60.0,522.0,2209.0,911.0,4.0,1.0,0.0,10.0,3.0,541.0,5.0,29,2178.0,75.0,71.2,24.2,23,89.0,21,6,23.0,1,1.0,30.0,46.0,-16.0,-0.66,0.97,29.7,46.2,-16.5,-0.68,0.26,3.0,0.0,0.0,24.0,5.0,0.0,2.0,27.0,31.0,0.0,1.0,1.0,146.0,46.0,54.0,46.0
Danilo Soares,br BRA,DF,30.0,19.6,0.0,2.0,0.0,0.0,0.1,0.0,0.0,,29.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,751.0,1004.0,74.8,13624.0,5004.0,333.0,383.0,86.9,312.0,412.0,75.7,92.0,159.0,57.9,0.0,1.3,1.1,-1.3,11.0,82.0,14.0,5.0,93.0,1004.0,798.0,199.0,9.0,1.0,2.0,17.0,189.0,1.0,0.0,1.0,0.0,751.0,7.0,20.0,34.0,1.73,30.0,1.0,0.0,0.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,72.0,46.0,42.0,23.0,7.0,43.0,72.0,59.7,29.0,29.0,6.0,23.0,30.0,102.0,56.0,1.0,1251.0,90.0,469.0,643.0,154.0,2.0,1251.0,22.0,8.0,36.4,12.0,54.5,507.0,2188.0,908.0,17.0,18.0,2.0,17.0,13.0,522.0,24.0,23,1766.0,77.0,57.7,19.6,23,77.0,13,0,,4,1.17,26.0,40.0,-14.0,-0.71,0.54,24.9,32.5,-7.6,-0.39,0.88,6.0,0.0,0.0,28.0,24.0,0.0,17.0,30.0,46.0,0.0,2.0,0.0,175.0,24.0,18.0,57.1
Christopher Antwi-Adjei,gh GHA,"FW,MF",28.0,22.0,3.0,29.0,8.0,27.6,1.32,0.36,0.1,0.38,20.6,0.0,0.0,0.0,2.2,2.2,0.08,0.8,0.8,432.0,712.0,60.7,6857.0,2576.0,234.0,287.0,81.5,145.0,243.0,59.7,37.0,116.0,31.9,6.0,3.8,3.8,2.2,33.0,17.0,30.0,15.0,36.0,712.0,513.0,195.0,3.0,2.0,2.0,63.0,180.0,4.0,0.0,0.0,0.0,432.0,4.0,32.0,79.0,3.59,46.0,16.0,5.0,3.0,9.0,0.0,12.0,0.54,7.0,1.0,2.0,0.0,2.0,0.0,23.0,15.0,7.0,8.0,8.0,10.0,29.0,34.5,19.0,17.0,0.0,17.0,5.0,28.0,16.0,0.0,996.0,7.0,102.0,304.0,605.0,63.0,996.0,80.0,31.0,38.8,39.0,48.8,525.0,3766.0,1485.0,67.0,49.0,20.0,89.0,32.0,560.0,231.0,29,1981.0,68.0,64.7,22.0,22,81.0,10,7,29.0,2,1.21,32.0,40.0,-8.0,-0.36,1.64,29.3,38.3,-9.0,-0.41,0.99,2.0,0.0,0.0,24.0,40.0,15.0,63.0,5.0,15.0,1.0,0.0,0.0,109.0,16.0,45.0,26.2
Takuma Asano,jp JPN,"FW,MF",27.0,19.0,3.0,53.0,18.0,34.0,2.78,0.95,0.06,0.17,16.1,0.0,0.0,0.0,5.6,5.6,0.11,-2.6,-2.6,237.0,342.0,69.3,3302.0,967.0,147.0,183.0,80.3,72.0,98.0,73.5,8.0,23.0,34.8,3.0,2.1,2.1,0.9,22.0,18.0,18.0,7.0,34.0,342.0,336.0,4.0,1.0,2.0,0.0,28.0,2.0,1.0,0.0,0.0,0.0,237.0,2.0,16.0,56.0,2.94,39.0,1.0,2.0,7.0,6.0,1.0,8.0,0.42,6.0,0.0,1.0,1.0,0.0,0.0,14.0,9.0,4.0,4.0,6.0,7.0,16.0,43.8,9.0,17.0,1.0,16.0,8.0,22.0,8.0,0.0,556.0,12.0,65.0,213.0,289.0,80.0,556.0,35.0,13.0,37.1,16.0,45.7,343.0,2354.0,919.0,32.0,19.0,16.0,62.0,31.0,391.0,119.0,25,1713.0,69.0,56.0,19.0,21,75.0,4,4,33.0,0,0.88,24.0,38.0,-14.0,-0.74,0.47,26.8,37.4,-10.6,-0.56,0.45,1.0,0.0,0.0,10.0,24.0,7.0,28.0,8.0,9.0,0.0,0.0,0.0,82.0,19.0,28.0,40.4
Simon Zoller,de GER,FW,31.0,16.2,3.0,30.0,9.0,30.0,1.85,0.56,0.1,0.33,12.6,0.0,0.0,0.0,4.1,4.1,0.14,-1.1,-1.1,208.0,332.0,62.7,3203.0,725.0,118.0,171.0,69.0,72.0,115.0,62.6,13.0,19.0,68.4,2.0,1.1,0.5,0.9,9.0,16.0,4.0,0.0,21.0,332.0,308.0,23.0,0.0,2.0,2.0,16.0,7.0,0.0,0.0,0.0,0.0,208.0,1.0,16.0,20.0,1.24,16.0,1.0,1.0,1.0,1.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,8.0,1.0,4.0,12.0,33.3,8.0,14.0,1.0,13.0,6.0,17.0,21.0,0.0,460.0,22.0,63.0,218.0,181.0,55.0,460.0,7.0,2.0,28.6,2.0,28.6,201.0,707.0,238.0,10.0,1.0,6.0,19.0,6.0,268.0,61.0,27,1457.0,54.0,47.6,16.2,19,72.0,4,8,12.0,2,0.96,17.0,39.0,-22.0,-1.36,-0.8,17.0,32.9,-15.9,-0.98,-0.43,5.0,0.0,0.0,21.0,8.0,7.0,16.0,6.0,4.0,0.0,1.0,0.0,57.0,15.0,20.0,42.9
