player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marvin Schwäbe,de GER,GK,27.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1091.0,1390.0,78.5,28445.0,18655.0,168.0,170.0,98.8,636.0,646.0,98.5,287.0,569.0,50.4,0.0,0.0,0.1,0.0,0.0,22.0,1.0,0.0,1.0,1390.0,1135.0,253.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.0,2.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,2.0,1457.0,1025.0,1439.0,20.0,0.0,0.0,1457.0,0.0,0.0,,0.0,,940.0,4444.0,2678.0,0.0,1.0,1.0,1.0,0.0,911.0,0.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.24,49.0,54.0,-5.0,-0.15,,47.9,42.6,5.3,0.16,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,6.0,1.0,85.7
Ellyes Skhiri,tn TUN,MF,27.0,31.7,7.0,32.0,11.0,34.4,1.01,0.35,0.22,0.64,15.3,0.0,0.0,0.0,5.3,5.3,0.17,1.7,1.7,1505.0,1717.0,87.7,26548.0,8222.0,615.0,688.0,89.4,739.0,804.0,91.9,126.0,152.0,82.9,1.0,1.8,1.8,-0.8,27.0,112.0,13.0,2.0,155.0,1717.0,1647.0,65.0,52.0,1.0,9.0,13.0,12.0,0.0,0.0,0.0,0.0,1505.0,5.0,23.0,56.0,1.76,48.0,0.0,1.0,5.0,0.0,2.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,79.0,44.0,29.0,42.0,8.0,26.0,66.0,39.4,40.0,52.0,12.0,40.0,56.0,135.0,48.0,0.0,2056.0,105.0,583.0,1207.0,287.0,54.0,2056.0,32.0,24.0,75.0,8.0,25.0,1123.0,6762.0,3462.0,50.0,35.0,7.0,27.0,20.0,1263.0,61.0,32,2856.0,89.0,93.3,31.7,32,89.0,31,0,,0,1.25,46.0,52.0,-6.0,-0.19,-0.63,45.3,40.8,4.5,0.14,-0.22,5.0,0.0,0.0,34.0,11.0,4.0,13.0,56.0,44.0,0.0,0.0,0.0,250.0,40.0,22.0,64.5
Jonas Hector,de GER,DF,32.0,31.4,0.0,25.0,5.0,20.0,0.8,0.16,0.0,0.0,16.2,0.0,0.0,0.0,1.7,1.7,0.07,-1.7,-1.7,1378.0,1830.0,75.3,24579.0,7977.0,609.0,681.0,89.4,596.0,744.0,80.1,145.0,307.0,47.2,2.0,3.9,4.3,-1.9,32.0,86.0,16.0,9.0,129.0,1830.0,1449.0,375.0,69.0,1.0,4.0,114.0,280.0,23.0,12.0,4.0,0.0,1378.0,6.0,46.0,74.0,2.36,49.0,12.0,5.0,1.0,4.0,3.0,6.0,0.19,4.0,1.0,0.0,0.0,1.0,0.0,112.0,66.0,59.0,43.0,10.0,66.0,113.0,58.4,47.0,61.0,9.0,52.0,39.0,151.0,74.0,1.0,2247.0,127.0,668.0,1061.0,545.0,56.0,2247.0,59.0,33.0,55.9,15.0,25.4,1125.0,5762.0,2579.0,54.0,44.0,9.0,36.0,19.0,1226.0,122.0,32,2824.0,88.0,92.3,31.4,32,88.0,30,0,,0,1.28,48.0,50.0,-2.0,-0.06,1.08,46.0,39.2,6.9,0.22,0.82,3.0,0.0,0.0,23.0,77.0,1.0,114.0,39.0,66.0,0.0,1.0,0.0,221.0,56.0,33.0,62.9
Florian Kainz,at AUT,"MF,FW",29.0,26.0,6.0,51.0,19.0,37.3,1.96,0.73,0.06,0.16,22.2,6.0,3.0,3.0,6.0,3.6,0.07,0.0,-0.6,759.0,1207.0,62.9,15078.0,6097.0,285.0,341.0,83.6,319.0,443.0,72.0,134.0,325.0,41.2,10.0,8.7,8.7,1.3,70.0,82.0,57.0,18.0,159.0,1207.0,943.0,251.0,62.0,8.0,10.0,251.0,26.0,152.0,61.0,66.0,0.0,759.0,13.0,51.0,127.0,4.87,67.0,44.0,6.0,4.0,5.0,1.0,17.0,0.65,13.0,2.0,0.0,1.0,1.0,0.0,21.0,10.0,7.0,12.0,2.0,8.0,26.0,30.8,18.0,27.0,6.0,21.0,32.0,53.0,30.0,1.0,1496.0,24.0,207.0,641.0,673.0,45.0,1493.0,82.0,33.0,40.2,35.0,42.7,812.0,4905.0,2154.0,64.0,54.0,8.0,39.0,36.0,877.0,147.0,32,2344.0,73.0,76.6,26.0,31,75.0,5,1,31.0,0,1.22,37.0,38.0,-1.0,-0.04,0.46,36.3,31.3,5.0,0.19,0.16,6.0,1.0,1.0,30.0,40.0,1.0,251.0,32.0,10.0,1.0,1.0,0.0,151.0,9.0,31.0,22.5
Benno Schmitz,de GER,DF,27.0,26.9,1.0,10.0,2.0,20.0,0.37,0.07,0.1,0.5,19.5,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,938.0,1499.0,62.6,16734.0,8969.0,398.0,488.0,81.6,435.0,644.0,67.5,91.0,272.0,33.5,0.0,2.4,3.1,-2.4,19.0,108.0,42.0,19.0,149.0,1499.0,1183.0,307.0,13.0,1.0,1.0,96.0,294.0,0.0,0.0,0.0,0.0,938.0,9.0,49.0,52.0,1.93,42.0,9.0,0.0,0.0,1.0,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,64.0,42.0,31.0,28.0,5.0,42.0,82.0,51.2,40.0,34.0,4.0,30.0,26.0,90.0,57.0,0.0,1757.0,83.0,485.0,799.0,483.0,22.0,1757.0,11.0,3.0,27.3,7.0,63.6,777.0,3363.0,1919.0,48.0,39.0,3.0,24.0,8.0,915.0,126.0,31,2420.0,78.0,79.1,26.9,30,80.0,18,1,29.0,0,1.16,34.0,38.0,-4.0,-0.15,-0.01,33.1,33.4,-0.3,-0.01,-0.8,6.0,0.0,0.0,32.0,18.0,0.0,96.0,26.0,42.0,0.0,0.0,2.0,152.0,30.0,30.0,50.0
Timo Hübers,de GER,DF,26.0,28.4,3.0,15.0,7.0,46.7,0.53,0.25,0.2,0.43,10.9,0.0,0.0,0.0,1.8,1.8,0.12,1.2,1.2,1400.0,1702.0,82.3,28853.0,9551.0,334.0,381.0,87.7,908.0,1010.0,89.9,149.0,274.0,54.4,0.0,0.1,0.6,-0.1,2.0,60.0,4.0,0.0,84.0,1702.0,1627.0,73.0,45.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1400.0,2.0,10.0,13.0,0.46,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,35.0,8.0,0.0,24.0,52.0,46.2,28.0,27.0,13.0,14.0,58.0,101.0,153.0,0.0,2020.0,272.0,1191.0,787.0,57.0,24.0,2020.0,6.0,6.0,100.0,0.0,0.0,1146.0,5506.0,2832.0,10.0,7.0,0.0,10.0,2.0,1217.0,2.0,29,2559.0,88.0,83.6,28.4,28,90.0,28,1,39.0,0,1.31,44.0,45.0,-1.0,-0.04,0.68,40.2,35.3,5.0,0.18,0.12,8.0,0.0,0.0,31.0,23.0,1.0,2.0,58.0,28.0,0.0,1.0,1.0,232.0,94.0,65.0,59.1
Linton Maina,de GER,"FW,MF",23.0,24.9,3.0,35.0,13.0,37.1,1.41,0.52,0.09,0.23,15.3,0.0,0.0,0.0,4.6,4.6,0.13,-1.6,-1.6,474.0,684.0,69.3,6857.0,1622.0,279.0,332.0,84.0,155.0,213.0,72.8,23.0,62.0,37.1,7.0,5.9,4.8,1.1,35.0,32.0,25.0,9.0,61.0,684.0,640.0,43.0,5.0,1.0,1.0,87.0,15.0,18.0,10.0,5.0,0.0,474.0,1.0,47.0,71.0,2.85,54.0,5.0,5.0,5.0,1.0,1.0,12.0,0.48,9.0,0.0,2.0,0.0,1.0,0.0,18.0,12.0,5.0,11.0,2.0,7.0,30.0,23.3,23.0,19.0,0.0,19.0,5.0,23.0,9.0,0.0,932.0,11.0,81.0,349.0,523.0,99.0,932.0,68.0,22.0,32.4,38.0,55.9,597.0,5016.0,2421.0,90.0,53.0,37.0,55.0,26.0,626.0,173.0,33,2239.0,68.0,73.2,24.9,27,77.0,1,6,28.0,1,1.24,37.0,36.0,1.0,0.04,0.7,34.6,30.2,4.4,0.18,0.08,1.0,0.0,0.0,17.0,21.0,18.0,87.0,5.0,12.0,0.0,0.0,0.0,104.0,1.0,26.0,3.7
Eric Martel,de GER,MF,20.0,22.4,1.0,28.0,8.0,28.6,1.25,0.36,0.04,0.13,20.6,0.0,0.0,0.0,1.7,1.7,0.06,-0.7,-0.7,695.0,888.0,78.3,11692.0,2691.0,307.0,360.0,85.3,321.0,385.0,83.4,48.0,84.0,57.1,1.0,0.8,1.3,0.2,7.0,50.0,8.0,4.0,72.0,888.0,876.0,10.0,9.0,1.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,695.0,2.0,25.0,30.0,1.34,23.0,0.0,3.0,3.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,66.0,41.0,29.0,30.0,7.0,30.0,60.0,50.0,30.0,29.0,9.0,20.0,33.0,99.0,49.0,0.0,1196.0,72.0,333.0,661.0,213.0,35.0,1196.0,13.0,7.0,53.8,5.0,38.5,595.0,2557.0,839.0,17.0,20.0,1.0,35.0,25.0,651.0,46.0,29,2019.0,70.0,66.0,22.4,23,81.0,14,6,25.0,4,1.21,29.0,33.0,-4.0,-0.18,-0.09,30.2,27.3,3.0,0.13,-0.07,6.0,0.0,0.0,40.0,27.0,0.0,20.0,33.0,41.0,0.0,0.0,0.0,154.0,57.0,51.0,52.8
Julian Chabot,de GER,DF,24.0,20.0,0.0,14.0,3.0,21.4,0.7,0.15,0.0,0.0,9.1,0.0,0.0,0.0,1.6,1.6,0.11,-1.6,-1.6,975.0,1184.0,82.3,18978.0,6050.0,320.0,359.0,89.1,560.0,635.0,88.2,89.0,171.0,52.0,2.0,2.0,0.8,0.0,4.0,45.0,0.0,0.0,52.0,1184.0,1106.0,76.0,43.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,975.0,2.0,5.0,15.0,0.75,10.0,0.0,0.0,3.0,1.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,36.0,23.0,19.0,14.0,3.0,20.0,35.0,57.1,15.0,30.0,18.0,12.0,41.0,77.0,105.0,0.0,1434.0,228.0,831.0,572.0,35.0,17.0,1434.0,8.0,4.0,50.0,1.0,12.5,765.0,3090.0,1438.0,5.0,6.0,1.0,4.0,2.0,825.0,2.0,21,1803.0,86.0,58.9,20.0,21,86.0,18,0,,5,1.38,30.0,24.0,6.0,0.3,1.09,28.7,22.4,6.3,0.31,0.39,3.0,0.0,0.0,29.0,20.0,2.0,3.0,41.0,23.0,0.0,0.0,0.0,124.0,90.0,46.0,66.2
Dejan Ljubicic,at AUT,"MF,FW",24.0,19.0,5.0,34.0,14.0,41.2,1.79,0.74,0.12,0.29,22.1,0.0,1.0,1.0,3.3,2.6,0.08,1.7,1.4,445.0,615.0,72.4,6899.0,1962.0,249.0,301.0,82.7,142.0,185.0,76.8,36.0,66.0,54.5,1.0,2.1,1.9,-1.1,27.0,39.0,22.0,6.0,65.0,615.0,598.0,10.0,1.0,2.0,2.0,42.0,2.0,2.0,1.0,1.0,0.0,445.0,7.0,24.0,56.0,2.95,47.0,1.0,2.0,5.0,1.0,0.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,7.0,14.0,4.0,13.0,40.0,32.5,27.0,20.0,1.0,19.0,8.0,33.0,8.0,1.0,809.0,15.0,116.0,376.0,334.0,58.0,808.0,47.0,19.0,40.4,25.0,53.2,476.0,2683.0,1290.0,37.0,32.0,10.0,39.0,16.0,530.0,95.0,27,1710.0,63.0,55.9,19.0,20,73.0,4,7,37.0,0,1.3,27.0,27.0,0.0,0.0,0.33,27.2,22.9,4.2,0.22,0.15,3.0,0.0,0.0,26.0,12.0,5.0,42.0,8.0,14.0,0.0,0.0,0.0,117.0,9.0,22.0,29.0
