player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Lukáš Hrádecký,fi FIN,GK,32.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,792.0,1101.0,71.9,20694.0,14943.0,173.0,176.0,98.3,377.0,385.0,97.9,238.0,535.0,44.5,0.0,0.0,0.1,0.0,0.0,10.0,1.0,0.0,0.0,1101.0,825.0,276.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1163.0,1007.0,1153.0,10.0,0.0,0.0,1163.0,0.0,0.0,,0.0,,667.0,3717.0,2176.0,0.0,0.0,0.0,3.0,0.0,549.0,0.0,33,2969.0,90.0,97.0,33.0,33,90.0,32,0,,0,1.52,56.0,47.0,9.0,0.27,1.26,48.9,42.3,6.6,0.2,-1.76,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,10.0,0.0,100.0
Moussa Diaby,fr FRA,"FW,MF",23.0,30.0,9.0,79.0,34.0,43.0,2.63,1.13,0.11,0.26,17.8,0.0,0.0,1.0,11.0,10.3,0.13,-2.0,-1.3,741.0,1003.0,73.9,11048.0,2666.0,428.0,516.0,82.9,226.0,292.0,77.4,53.0,94.0,56.4,8.0,8.2,7.0,-0.2,58.0,46.0,52.0,15.0,104.0,1003.0,938.0,57.0,6.0,12.0,5.0,95.0,28.0,13.0,4.0,5.0,0.0,741.0,8.0,31.0,110.0,3.67,74.0,5.0,14.0,14.0,3.0,0.0,16.0,0.53,10.0,0.0,4.0,0.0,2.0,0.0,14.0,8.0,4.0,8.0,2.0,7.0,14.0,50.0,7.0,8.0,0.0,8.0,5.0,19.0,3.0,0.0,1279.0,3.0,88.0,539.0,666.0,139.0,1278.0,105.0,51.0,48.6,45.0,42.9,849.0,5736.0,3178.0,125.0,73.0,55.0,64.0,42.0,1040.0,258.0,33,2699.0,82.0,88.2,30.0,33,82.0,16,0,,0,1.52,49.0,39.0,10.0,0.33,0.83,44.9,35.8,9.1,0.3,0.44,4.0,0.0,0.0,18.0,24.0,10.0,95.0,5.0,8.0,1.0,0.0,0.0,87.0,2.0,20.0,9.1
Edmond Tapsoba,bf BFA,DF,23.0,31.9,1.0,13.0,1.0,7.7,0.41,0.03,0.0,0.0,14.9,0.0,1.0,2.0,2.8,1.2,0.09,-1.8,-1.2,1891.0,2211.0,85.5,35396.0,13773.0,714.0,783.0,91.2,953.0,1044.0,91.3,199.0,322.0,61.8,0.0,1.0,1.5,-1.0,5.0,154.0,9.0,0.0,169.0,2211.0,2095.0,112.0,74.0,9.0,6.0,3.0,14.0,0.0,0.0,0.0,0.0,1891.0,4.0,20.0,31.0,0.97,28.0,1.0,1.0,0.0,1.0,0.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0,51.0,30.0,35.0,12.0,4.0,30.0,42.0,71.4,12.0,40.0,17.0,23.0,36.0,87.0,109.0,1.0,2522.0,254.0,1143.0,1286.0,109.0,20.0,2520.0,25.0,16.0,64.0,2.0,8.0,1516.0,9044.0,5323.0,40.0,14.0,0.0,15.0,12.0,1668.0,10.0,33,2871.0,87.0,93.8,31.9,32,89.0,30,1,29.0,0,1.42,52.0,47.0,5.0,0.16,-1.27,49.5,39.7,9.7,0.3,0.84,5.0,0.0,0.0,28.0,17.0,2.0,3.0,36.0,30.0,1.0,2.0,1.0,270.0,55.0,43.0,56.1
Jeremie Frimpong,nl NED,"DF,MF",21.0,30.1,8.0,38.0,19.0,50.0,1.26,0.63,0.21,0.42,11.9,0.0,0.0,0.0,7.6,7.6,0.2,0.4,0.4,982.0,1232.0,79.7,12784.0,3814.0,684.0,768.0,89.1,230.0,302.0,76.2,30.0,69.0,43.5,7.0,6.2,6.3,0.8,45.0,39.0,27.0,11.0,62.0,1232.0,992.0,239.0,13.0,0.0,4.0,70.0,226.0,0.0,0.0,0.0,0.0,982.0,1.0,35.0,103.0,3.42,65.0,2.0,20.0,6.0,10.0,0.0,16.0,0.53,9.0,0.0,5.0,0.0,2.0,0.0,53.0,27.0,22.0,26.0,5.0,23.0,44.0,52.3,21.0,24.0,3.0,21.0,16.0,69.0,40.0,0.0,1621.0,47.0,349.0,670.0,636.0,122.0,1621.0,165.0,85.0,51.5,51.0,30.9,909.0,7276.0,4495.0,155.0,103.0,46.0,88.0,49.0,1009.0,250.0,34,2708.0,80.0,88.5,30.1,32,82.0,16,2,41.0,0,1.47,50.0,40.0,10.0,0.33,0.84,46.3,36.7,9.6,0.32,0.59,4.0,0.0,0.0,22.0,58.0,8.0,70.0,16.0,27.0,1.0,0.0,0.0,118.0,12.0,23.0,34.3
Jonathan Tah,de GER,DF,26.0,27.6,1.0,10.0,2.0,20.0,0.36,0.07,0.1,0.5,9.7,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,1455.0,1637.0,88.9,27748.0,9605.0,495.0,533.0,92.9,812.0,875.0,92.8,137.0,196.0,69.9,0.0,0.5,0.3,-0.5,6.0,59.0,3.0,0.0,56.0,1637.0,1591.0,44.0,30.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1455.0,2.0,8.0,15.0,0.54,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,21.0,4.0,0.0,12.0,18.0,66.7,6.0,30.0,18.0,12.0,40.0,65.0,118.0,0.0,1895.0,223.0,952.0,915.0,40.0,19.0,1895.0,9.0,7.0,77.8,1.0,11.1,1075.0,6032.0,2961.0,8.0,4.0,0.0,5.0,10.0,1269.0,4.0,33,2487.0,75.0,81.3,27.6,28,86.0,24,5,13.0,0,1.48,44.0,45.0,-1.0,-0.04,-1.45,39.6,36.8,2.9,0.1,-0.79,6.0,0.0,0.0,22.0,3.0,2.0,3.0,40.0,12.0,0.0,0.0,0.0,167.0,57.0,46.0,55.3
Robert Andrich,de GER,MF,27.0,26.7,2.0,30.0,9.0,30.0,1.12,0.34,0.07,0.22,21.6,1.0,0.0,0.0,1.6,1.6,0.05,0.4,0.4,1218.0,1455.0,83.7,19896.0,5759.0,594.0,675.0,88.0,496.0,581.0,85.4,82.0,123.0,66.7,2.0,1.2,0.9,0.8,18.0,77.0,11.0,2.0,99.0,1455.0,1404.0,49.0,42.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,1218.0,2.0,12.0,45.0,1.68,37.0,0.0,0.0,4.0,1.0,3.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0,61.0,38.0,30.0,27.0,4.0,26.0,45.0,57.8,19.0,27.0,9.0,18.0,42.0,103.0,55.0,2.0,1724.0,113.0,540.0,1021.0,171.0,19.0,1724.0,7.0,5.0,71.4,1.0,14.3,743.0,3500.0,1660.0,12.0,18.0,1.0,20.0,4.0,1073.0,8.0,29,2406.0,83.0,78.6,26.7,28,85.0,24,1,15.0,0,1.55,50.0,38.0,12.0,0.45,1.0,40.9,34.9,6.0,0.23,-0.13,7.0,0.0,0.0,35.0,20.0,0.0,4.0,42.0,38.0,0.0,0.0,1.0,153.0,56.0,43.0,56.6
Piero Hincapié,ec ECU,DF,20.0,27.3,1.0,17.0,6.0,35.3,0.62,0.22,0.06,0.17,16.6,0.0,0.0,0.0,1.3,1.3,0.08,-0.3,-0.3,1480.0,1798.0,82.3,23892.0,7623.0,754.0,822.0,91.7,611.0,707.0,86.4,93.0,199.0,46.7,1.0,1.0,1.1,0.0,10.0,66.0,6.0,3.0,83.0,1798.0,1646.0,152.0,32.0,2.0,4.0,26.0,102.0,0.0,0.0,0.0,0.0,1480.0,0.0,30.0,21.0,0.77,17.0,0.0,1.0,1.0,1.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,28.0,20.0,3.0,25.0,38.0,65.8,13.0,41.0,20.0,21.0,31.0,82.0,83.0,1.0,2112.0,173.0,862.0,1067.0,195.0,28.0,2112.0,31.0,14.0,45.2,15.0,48.4,1173.0,6019.0,3607.0,46.0,36.0,8.0,21.0,9.0,1395.0,42.0,30,2457.0,82.0,80.3,27.3,27,87.0,16,3,39.0,0,1.6,46.0,32.0,14.0,0.51,1.41,38.9,33.3,5.6,0.2,-0.24,13.0,3.0,2.0,40.0,35.0,1.0,26.0,31.0,34.0,0.0,2.0,0.0,177.0,59.0,48.0,55.1
Mitchel Bakker,nl NED,"DF,MF",22.0,18.4,3.0,17.0,8.0,47.1,0.92,0.43,0.18,0.38,18.9,0.0,0.0,0.0,1.7,1.7,0.1,1.3,1.3,764.0,968.0,78.9,11670.0,3583.0,443.0,505.0,87.7,258.0,328.0,78.7,47.0,93.0,50.5,2.0,2.0,1.3,0.0,17.0,36.0,14.0,2.0,57.0,968.0,790.0,177.0,14.0,1.0,8.0,26.0,162.0,1.0,0.0,0.0,0.0,764.0,1.0,20.0,37.0,2.01,30.0,4.0,0.0,0.0,2.0,1.0,4.0,0.22,3.0,0.0,0.0,0.0,0.0,1.0,16.0,8.0,9.0,7.0,0.0,6.0,15.0,40.0,9.0,20.0,2.0,18.0,15.0,31.0,20.0,2.0,1139.0,32.0,331.0,570.0,250.0,29.0,1139.0,39.0,11.0,28.2,21.0,53.8,575.0,2706.0,1353.0,28.0,17.0,8.0,23.0,15.0,702.0,65.0,28,1659.0,59.0,54.2,18.4,19,80.0,11,9,15.0,4,1.5,33.0,28.0,5.0,0.27,0.08,25.1,22.9,2.2,0.12,-0.29,6.0,1.0,1.0,18.0,14.0,2.0,26.0,15.0,8.0,0.0,0.0,0.0,114.0,12.0,13.0,48.0
Exequiel Palacios,ar ARG,MF,23.0,18.4,4.0,17.0,4.0,23.5,0.93,0.22,0.06,0.25,26.3,0.0,3.0,3.0,3.0,0.6,0.04,1.0,0.4,1022.0,1204.0,84.9,15831.0,5084.0,513.0,578.0,88.8,418.0,473.0,88.4,51.0,77.0,66.2,2.0,1.3,1.6,0.7,15.0,95.0,11.0,1.0,105.0,1204.0,1152.0,46.0,37.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,1022.0,6.0,15.0,51.0,2.78,44.0,0.0,1.0,1.0,3.0,2.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,20.0,33.0,6.0,29.0,48.0,60.4,19.0,29.0,2.0,27.0,33.0,92.0,28.0,0.0,1430.0,54.0,364.0,861.0,220.0,16.0,1427.0,16.0,10.0,62.5,5.0,31.3,745.0,2951.0,1349.0,12.0,15.0,2.0,19.0,24.0,959.0,27.0,25,1654.0,66.0,54.1,18.4,19,78.0,11,6,27.0,1,1.6,32.0,25.0,7.0,0.38,0.32,29.4,20.4,9.0,0.49,0.51,4.0,0.0,0.0,23.0,40.0,1.0,5.0,33.0,36.0,0.0,1.0,0.0,172.0,13.0,14.0,48.1
Kerem Demirbay,de GER,MF,29.0,17.2,4.0,31.0,6.0,19.4,1.81,0.35,0.13,0.67,24.3,8.0,0.0,0.0,2.2,2.2,0.07,1.8,1.8,827.0,1069.0,77.4,14183.0,4379.0,397.0,446.0,89.0,304.0,360.0,84.4,94.0,193.0,48.7,3.0,3.0,4.0,0.0,30.0,70.0,13.0,5.0,86.0,1069.0,940.0,124.0,56.0,3.0,8.0,90.0,7.0,55.0,29.0,20.0,0.0,827.0,5.0,19.0,51.0,2.98,25.0,21.0,2.0,2.0,1.0,0.0,6.0,0.35,3.0,3.0,0.0,0.0,0.0,0.0,36.0,18.0,16.0,17.0,3.0,18.0,34.0,52.9,16.0,26.0,6.0,20.0,16.0,52.0,11.0,0.0,1253.0,42.0,247.0,700.0,313.0,16.0,1253.0,24.0,8.0,33.3,12.0,50.0,624.0,3184.0,1510.0,22.0,20.0,4.0,25.0,21.0,817.0,21.0,25,1544.0,62.0,50.5,17.2,17,79.0,7,8,26.0,7,1.36,25.0,26.0,-1.0,-0.06,-0.59,27.2,23.5,3.7,0.22,-0.08,5.0,0.0,0.0,31.0,22.0,0.0,90.0,16.0,18.0,0.0,0.0,0.0,100.0,9.0,11.0,45.0
