player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Unai Núñez,es ESP,DF,20.0,32.7,1.0,21.0,2.0,9.5,0.64,0.06,0.05,0.5,8.6,0.0,0.0,0.0,3.2,3.2,0.15,-2.2,-2.2,1220.0,1489.0,81.9,26641.0,9465.0,334.0,383.0,87.2,641.0,707.0,90.7,233.0,365.0,63.8,0.0,0.5,0.3,-0.5,3.0,94.0,4.0,0.0,119.0,1489.0,1429.0,55.0,40.0,1.0,25.0,3.0,15.0,0.0,0.0,0.0,0.0,1220.0,5.0,10.0,16.0,0.49,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,73.0,52.0,54.0,19.0,0.0,38.0,56.0,67.9,18.0,52.0,27.0,25.0,67.0,140.0,155.0,2.0,1870.0,183.0,899.0,917.0,73.0,32.0,1870.0,20.0,17.0,85.0,3.0,15.0,1068.0,6144.0,3809.0,28.0,15.0,1.0,16.0,14.0,1078.0,10.0,33,2941.0,89.0,86.0,32.7,33,89.0,32,0,,1,1.09,35.0,42.0,-7.0,-0.21,-0.03,44.7,44.2,0.6,0.02,0.25,11.0,0.0,0.0,42.0,24.0,0.0,3.0,67.0,52.0,0.0,0.0,0.0,172.0,70.0,43.0,61.9
Iñaki Williams,gh GHA,"FW,MF",23.0,31.7,7.0,74.0,26.0,35.1,2.34,0.82,0.09,0.27,14.1,0.0,0.0,0.0,9.2,9.2,0.12,-2.2,-2.2,555.0,761.0,72.9,8171.0,1619.0,311.0,383.0,81.2,177.0,241.0,73.4,39.0,58.0,67.2,6.0,5.0,5.2,1.0,33.0,29.0,31.0,11.0,64.0,761.0,723.0,34.0,2.0,4.0,1.0,63.0,14.0,0.0,0.0,0.0,0.0,555.0,4.0,32.0,73.0,2.3,52.0,0.0,7.0,8.0,5.0,1.0,10.0,0.32,7.0,0.0,2.0,1.0,0.0,0.0,28.0,17.0,11.0,15.0,2.0,8.0,41.0,19.5,33.0,24.0,2.0,22.0,17.0,45.0,13.0,0.0,1140.0,16.0,105.0,402.0,654.0,186.0,1140.0,121.0,61.0,50.4,60.0,49.6,772.0,5309.0,2294.0,90.0,61.0,54.0,89.0,63.0,853.0,261.0,38,2851.0,75.0,83.4,31.7,31,87.0,24,7,23.0,0,1.13,34.0,41.0,-7.0,-0.22,-0.06,41.0,39.6,1.4,0.04,0.36,3.0,0.0,0.0,31.0,41.0,26.0,63.0,17.0,17.0,0.0,0.0,0.0,110.0,38.0,47.0,44.7
Kepa Arrizabalaga,es ESP,GK,22.0,30.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,700.0,1056.0,66.3,27639.0,23096.0,24.0,25.0,96.0,246.0,249.0,98.8,429.0,771.0,55.6,0.0,0.3,0.1,-0.3,1.0,32.0,0.0,0.0,0.0,1056.0,748.0,301.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,7.0,2.0,7.0,0.23,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,1114.0,927.0,1112.0,2.0,0.0,0.0,1114.0,0.0,0.0,,0.0,,591.0,3678.0,2457.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,30,2700.0,90.0,78.9,30.0,30,90.0,30,0,,1,1.0,31.0,43.0,-12.0,-0.4,-0.9,38.5,40.3,-1.9,-0.06,-0.22,3.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,47.0,5.0,1.0,83.3
Raúl García,es ESP,"MF,FW",31.0,29.2,10.0,76.0,30.0,39.5,2.6,1.03,0.09,0.23,16.1,1.0,3.0,3.0,9.9,7.5,0.1,0.1,-0.5,498.0,901.0,55.3,7630.0,2785.0,279.0,426.0,65.5,158.0,271.0,58.3,39.0,102.0,38.2,1.0,3.5,3.2,-2.5,23.0,78.0,25.0,7.0,110.0,901.0,877.0,9.0,3.0,9.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,498.0,15.0,43.0,67.0,2.3,47.0,0.0,0.0,8.0,9.0,3.0,7.0,0.24,2.0,0.0,0.0,4.0,1.0,0.0,82.0,51.0,28.0,36.0,18.0,26.0,71.0,36.6,45.0,55.0,3.0,52.0,30.0,112.0,23.0,0.0,1263.0,28.0,154.0,644.0,476.0,110.0,1260.0,20.0,11.0,55.0,9.0,45.0,665.0,2623.0,975.0,31.0,23.0,5.0,53.0,38.0,894.0,138.0,34,2627.0,77.0,76.8,29.2,30,83.0,17,4,32.0,0,1.18,31.0,34.0,-3.0,-0.1,0.46,40.4,38.8,1.6,0.06,0.31,10.0,0.0,0.0,79.0,74.0,16.0,40.0,30.0,51.0,2.0,0.0,0.0,121.0,121.0,87.0,58.2
Markel Susaeta,es ESP,"FW,MF",29.0,25.2,3.0,27.0,12.0,44.4,1.07,0.48,0.11,0.25,19.3,3.0,0.0,0.0,2.0,2.0,0.08,1.0,1.0,746.0,1013.0,73.6,12787.0,3245.0,368.0,428.0,86.0,254.0,314.0,80.9,100.0,205.0,48.8,2.0,5.3,4.9,-3.3,54.0,65.0,23.0,14.0,85.0,1013.0,868.0,142.0,48.0,2.0,12.0,154.0,8.0,85.0,36.0,44.0,0.0,746.0,3.0,31.0,100.0,3.98,41.0,37.0,5.0,8.0,8.0,1.0,5.0,0.2,2.0,2.0,0.0,1.0,0.0,0.0,42.0,29.0,16.0,15.0,11.0,16.0,65.0,24.6,49.0,17.0,0.0,17.0,18.0,60.0,13.0,0.0,1234.0,14.0,134.0,551.0,567.0,60.0,1233.0,71.0,37.0,52.1,34.0,47.9,816.0,5269.0,2181.0,61.0,46.0,18.0,43.0,47.0,859.0,167.0,34,2264.0,67.0,66.2,25.2,26,80.0,12,8,22.0,4,1.09,31.0,34.0,-3.0,-0.12,0.27,33.2,34.2,-1.0,-0.04,-0.07,2.0,0.0,0.0,20.0,50.0,10.0,154.0,18.0,29.0,1.0,0.0,0.0,142.0,9.0,24.0,27.3
Mikel San José,es ESP,MF,28.0,23.9,1.0,20.0,5.0,25.0,0.84,0.21,0.05,0.2,19.2,1.0,0.0,0.0,1.6,1.6,0.08,-0.6,-0.6,800.0,1025.0,78.0,14622.0,4586.0,341.0,412.0,82.8,348.0,420.0,82.9,93.0,139.0,66.9,1.0,1.2,1.4,-0.2,12.0,97.0,12.0,2.0,121.0,1025.0,993.0,29.0,20.0,7.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,800.0,3.0,24.0,38.0,1.59,33.0,0.0,2.0,2.0,0.0,1.0,3.0,0.13,1.0,0.0,0.0,2.0,0.0,0.0,52.0,37.0,19.0,23.0,10.0,19.0,73.0,26.0,54.0,43.0,13.0,30.0,41.0,93.0,30.0,0.0,1259.0,64.0,294.0,790.0,192.0,30.0,1259.0,32.0,20.0,62.5,12.0,37.5,601.0,2693.0,1379.0,16.0,30.0,1.0,22.0,20.0,726.0,36.0,26,2155.0,83.0,63.0,23.9,24,86.0,20,2,51.0,7,1.0,24.0,36.0,-12.0,-0.5,-0.79,29.2,33.0,-3.9,-0.16,-0.39,5.0,0.0,0.0,39.0,8.0,0.0,11.0,41.0,37.0,0.0,0.0,2.0,151.0,67.0,58.0,53.6
Iñigo Lekue,es ESP,"DF,FW",24.0,23.5,0.0,18.0,5.0,27.8,0.77,0.21,0.0,0.0,26.7,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,922.0,1231.0,74.9,15319.0,4906.0,472.0,545.0,86.6,344.0,444.0,77.5,83.0,166.0,50.0,1.0,1.4,1.7,-0.4,19.0,74.0,30.0,14.0,109.0,1231.0,1005.0,216.0,16.0,0.0,5.0,72.0,200.0,0.0,0.0,0.0,0.0,922.0,10.0,35.0,53.0,2.26,40.0,4.0,5.0,1.0,1.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,71.0,42.0,37.0,26.0,8.0,34.0,53.0,64.2,19.0,29.0,3.0,26.0,16.0,87.0,46.0,1.0,1498.0,64.0,338.0,738.0,449.0,30.0,1498.0,75.0,43.0,57.3,32.0,42.7,784.0,5350.0,2691.0,81.0,53.0,12.0,26.0,19.0,826.0,147.0,32,2111.0,66.0,61.7,23.5,22,87.0,19,10,20.0,6,1.31,24.0,30.0,-6.0,-0.26,-0.12,30.4,37.3,-6.9,-0.29,-0.72,3.0,0.0,0.0,25.0,12.0,1.0,72.0,16.0,42.0,0.0,1.0,0.0,136.0,27.0,29.0,48.2
Aritz Aduriz,es ESP,FW,36.0,23.9,9.0,56.0,23.0,41.1,2.34,0.96,0.11,0.26,13.5,0.0,3.0,5.0,11.1,7.6,0.13,-2.1,-1.6,337.0,518.0,65.1,4422.0,934.0,218.0,296.0,73.6,86.0,143.0,60.1,12.0,30.0,40.0,1.0,1.5,1.6,-0.5,11.0,41.0,11.0,0.0,45.0,518.0,497.0,20.0,1.0,2.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,337.0,1.0,15.0,35.0,1.46,19.0,0.0,2.0,6.0,7.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,2.0,6.0,3.0,1.0,6.0,16.7,5.0,6.0,0.0,6.0,3.0,14.0,18.0,0.0,702.0,20.0,41.0,314.0,350.0,108.0,697.0,24.0,19.0,79.2,5.0,20.8,411.0,1876.0,691.0,27.0,19.0,10.0,43.0,42.0,575.0,150.0,33,2152.0,65.0,62.9,23.9,21,86.0,15,12,30.0,2,1.12,26.0,24.0,2.0,0.08,0.79,29.8,27.4,2.4,0.1,0.31,5.0,0.0,0.0,42.0,39.0,35.0,20.0,3.0,8.0,0.0,0.0,0.0,45.0,99.0,77.0,56.3
Ander Iturraspe,es ESP,MF,28.0,21.2,0.0,6.0,1.0,16.7,0.28,0.05,0.0,0.0,26.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1013.0,1275.0,79.5,19925.0,5809.0,425.0,494.0,86.0,388.0,467.0,83.1,181.0,263.0,68.8,0.0,2.0,2.4,-2.0,22.0,113.0,13.0,5.0,124.0,1275.0,1127.0,138.0,92.0,3.0,19.0,74.0,1.0,41.0,21.0,19.0,0.0,1013.0,10.0,13.0,53.0,2.51,35.0,16.0,0.0,0.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,42.0,31.0,18.0,22.0,2.0,10.0,32.0,31.3,22.0,22.0,7.0,15.0,35.0,77.0,57.0,0.0,1466.0,75.0,338.0,879.0,261.0,2.0,1466.0,6.0,5.0,83.3,1.0,16.7,715.0,3023.0,1463.0,12.0,19.0,0.0,19.0,11.0,832.0,25.0,30,1904.0,63.0,55.7,21.2,20,80.0,13,10,31.0,2,1.1,22.0,28.0,-6.0,-0.28,-0.16,30.7,30.8,-0.1,-0.01,0.03,7.0,0.0,0.0,29.0,22.0,0.0,74.0,35.0,31.0,0.0,1.0,0.0,176.0,41.0,31.0,56.9
Óscar de Marcos,es ESP,"DF,FW",28.0,18.4,1.0,13.0,6.0,46.2,0.71,0.33,0.08,0.17,16.8,0.0,0.0,0.0,2.2,2.2,0.17,-1.2,-1.2,706.0,921.0,76.7,11694.0,3605.0,364.0,422.0,86.3,266.0,335.0,79.4,61.0,113.0,54.0,2.0,2.4,2.1,-0.4,21.0,64.0,25.0,14.0,83.0,921.0,758.0,160.0,10.0,2.0,8.0,58.0,150.0,0.0,0.0,0.0,0.0,706.0,3.0,25.0,41.0,2.23,34.0,2.0,2.0,2.0,1.0,0.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0,28.0,21.0,11.0,15.0,2.0,13.0,29.0,44.8,16.0,15.0,2.0,13.0,19.0,47.0,36.0,0.0,1083.0,46.0,211.0,494.0,384.0,39.0,1083.0,19.0,11.0,57.9,8.0,42.1,531.0,2700.0,1533.0,42.0,33.0,7.0,18.0,11.0,640.0,149.0,21,1658.0,79.0,48.5,18.4,20,82.0,14,1,23.0,1,1.24,22.0,23.0,-1.0,-0.05,0.3,25.8,19.0,6.8,0.37,0.75,5.0,0.0,0.0,17.0,10.0,4.0,58.0,19.0,21.0,1.0,0.0,0.0,86.0,21.0,17.0,55.3
