player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marko Dmitrović,rs SRB,GK,25.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,580.0,1163.0,49.9,26463.0,23662.0,46.0,47.0,97.9,134.0,136.0,98.5,399.0,974.0,41.0,0.0,0.0,0.2,0.0,1.0,82.0,1.0,0.0,1.0,1163.0,785.0,373.0,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,5.0,0.0,8.0,0.22,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,11.0,36.4,7.0,1.0,0.0,1.0,2.0,6.0,26.0,2.0,1243.0,912.0,1231.0,15.0,0.0,0.0,1243.0,6.0,5.0,83.3,1.0,16.7,598.0,3789.0,2557.0,0.0,0.0,0.0,2.0,1.0,452.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,2,1.31,40.0,49.0,-9.0,-0.25,-1.75,39.1,41.9,-2.9,-0.08,0.24,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,80.0,13.0,1.0,92.9
Dani García,es ESP,MF,27.0,30.8,0.0,20.0,1.0,5.0,0.65,0.03,0.0,0.0,28.3,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,1312.0,1636.0,80.2,27130.0,6341.0,472.0,561.0,84.1,577.0,691.0,83.5,248.0,335.0,74.0,1.0,1.1,1.0,-0.1,18.0,190.0,11.0,3.0,192.0,1636.0,1577.0,55.0,46.0,0.0,39.0,12.0,6.0,1.0,0.0,0.0,0.0,1312.0,4.0,15.0,56.0,1.82,50.0,3.0,0.0,0.0,0.0,3.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,80.0,59.0,23.0,47.0,10.0,31.0,80.0,38.8,49.0,28.0,4.0,24.0,70.0,150.0,25.0,0.0,1890.0,44.0,267.0,1339.0,297.0,6.0,1890.0,15.0,8.0,53.3,7.0,46.7,940.0,3662.0,1613.0,24.0,30.0,2.0,29.0,9.0,1108.0,32.0,32,2775.0,87.0,81.1,30.8,32,87.0,26,0,,3,1.53,42.0,38.0,4.0,0.13,1.53,35.6,35.4,0.2,0.01,0.53,14.0,0.0,0.0,46.0,25.0,0.0,12.0,70.0,59.0,0.0,1.0,0.0,235.0,42.0,27.0,60.9
Takashi Inui,jp JPN,"MF,FW",29.0,29.2,5.0,64.0,21.0,32.8,2.19,0.72,0.08,0.24,19.7,0.0,0.0,0.0,4.6,4.6,0.07,0.4,0.4,710.0,936.0,75.9,10659.0,1703.0,407.0,470.0,86.6,234.0,303.0,77.2,45.0,93.0,48.4,2.0,1.9,1.9,0.1,26.0,39.0,17.0,10.0,68.0,936.0,891.0,40.0,5.0,4.0,16.0,67.0,23.0,12.0,1.0,7.0,1.0,710.0,5.0,27.0,82.0,2.8,52.0,4.0,8.0,5.0,11.0,2.0,12.0,0.41,7.0,1.0,0.0,2.0,2.0,0.0,39.0,21.0,12.0,19.0,8.0,13.0,42.0,31.0,29.0,36.0,0.0,36.0,18.0,57.0,10.0,0.0,1278.0,9.0,116.0,526.0,653.0,94.0,1278.0,87.0,40.0,46.0,47.0,54.0,825.0,5563.0,2602.0,99.0,56.0,34.0,68.0,55.0,924.0,217.0,34,2631.0,77.0,76.9,29.2,31,83.0,19,3,22.0,1,1.35,38.0,39.0,-1.0,-0.03,0.54,32.2,34.9,-2.6,-0.09,0.01,4.0,0.0,0.0,40.0,49.0,5.0,67.0,18.0,21.0,0.0,0.0,0.0,127.0,13.0,32.0,28.9
Kike,es ESP,FW,27.0,27.3,8.0,71.0,26.0,36.6,2.6,0.95,0.11,0.31,12.9,0.0,0.0,0.0,9.4,9.4,0.13,-1.4,-1.4,501.0,709.0,70.7,6144.0,781.0,317.0,401.0,79.1,120.0,174.0,69.0,14.0,35.0,40.0,1.0,0.6,0.8,0.4,14.0,20.0,6.0,1.0,41.0,709.0,676.0,31.0,1.0,0.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,501.0,2.0,33.0,64.0,2.34,35.0,0.0,2.0,8.0,18.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,14.0,8.0,1.0,7.0,6.0,2.0,11.0,18.2,9.0,15.0,1.0,14.0,10.0,24.0,14.0,0.0,995.0,13.0,53.0,386.0,567.0,140.0,995.0,30.0,13.0,43.3,17.0,56.7,658.0,2829.0,852.0,32.0,25.0,14.0,103.0,45.0,783.0,183.0,35,2460.0,70.0,71.9,27.3,28,83.0,17,7,18.0,1,1.29,27.0,37.0,-10.0,-0.37,-0.74,29.9,32.6,-2.7,-0.1,-0.02,5.0,0.0,0.0,47.0,76.0,13.0,15.0,10.0,8.0,0.0,0.0,0.0,101.0,95.0,133.0,41.7
José Ángel,es ESP,DF,27.0,27.0,0.0,15.0,0.0,0.0,0.56,0.0,0.0,,27.1,4.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,1003.0,1645.0,61.0,20949.0,9014.0,347.0,431.0,80.5,434.0,630.0,68.9,197.0,486.0,40.5,8.0,4.1,3.6,3.9,45.0,119.0,35.0,29.0,128.0,1645.0,1223.0,411.0,66.0,0.0,33.0,226.0,304.0,41.0,5.0,36.0,0.0,1003.0,11.0,57.0,76.0,2.82,36.0,30.0,6.0,2.0,2.0,0.0,11.0,0.41,5.0,4.0,1.0,1.0,0.0,0.0,61.0,44.0,36.0,19.0,6.0,38.0,58.0,65.5,20.0,31.0,1.0,30.0,38.0,99.0,76.0,0.0,1893.0,65.0,458.0,905.0,546.0,10.0,1893.0,38.0,27.0,71.1,11.0,28.9,841.0,3676.0,1724.0,44.0,54.0,3.0,25.0,16.0,910.0,89.0,30,2426.0,81.0,70.9,27.0,28,85.0,21,2,30.0,5,1.37,31.0,35.0,-4.0,-0.15,0.03,29.6,32.5,-2.9,-0.11,-0.05,4.0,0.0,0.0,20.0,17.0,1.0,226.0,38.0,44.0,0.0,0.0,0.0,187.0,36.0,29.0,55.4
Anaitz Arbilla,es ESP,DF,30.0,26.8,2.0,17.0,4.0,23.5,0.63,0.15,0.12,0.5,24.2,8.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2,1235.0,1559.0,79.2,29963.0,11577.0,334.0,383.0,87.2,561.0,638.0,87.9,331.0,499.0,66.3,1.0,0.4,0.8,0.6,8.0,143.0,10.0,1.0,158.0,1559.0,1447.0,101.0,59.0,0.0,88.0,11.0,40.0,2.0,0.0,1.0,0.0,1235.0,11.0,16.0,39.0,1.45,29.0,3.0,1.0,4.0,1.0,1.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0,38.0,30.0,24.0,12.0,2.0,21.0,40.0,52.5,19.0,21.0,10.0,11.0,78.0,116.0,108.0,2.0,1829.0,99.0,677.0,1080.0,97.0,6.0,1829.0,21.0,20.0,95.2,1.0,4.8,1025.0,6787.0,3240.0,34.0,14.0,2.0,18.0,3.0,999.0,2.0,29,2414.0,83.0,70.6,26.8,26,90.0,26,3,25.0,1,1.41,35.0,37.0,-2.0,-0.07,0.28,30.8,30.3,0.4,0.02,0.37,8.0,0.0,0.0,26.0,11.0,0.0,11.0,78.0,30.0,0.0,2.0,1.0,238.0,44.0,35.0,55.7
Joan Jordán,es ESP,MF,23.0,27.0,6.0,38.0,16.0,42.1,1.41,0.59,0.13,0.31,20.6,4.0,1.0,2.0,4.1,2.6,0.07,1.9,2.4,1013.0,1301.0,77.9,18719.0,4160.0,460.0,526.0,87.5,358.0,449.0,79.7,159.0,254.0,62.6,4.0,3.1,3.6,0.9,39.0,93.0,24.0,7.0,130.0,1301.0,1180.0,116.0,46.0,3.0,31.0,114.0,1.0,66.0,20.0,40.0,1.0,1013.0,5.0,16.0,79.0,2.93,48.0,18.0,5.0,3.0,4.0,1.0,5.0,0.19,4.0,1.0,0.0,0.0,0.0,0.0,31.0,24.0,8.0,19.0,4.0,10.0,68.0,14.7,58.0,24.0,0.0,24.0,30.0,61.0,12.0,0.0,1537.0,16.0,140.0,831.0,587.0,46.0,1535.0,64.0,42.0,65.6,22.0,34.4,888.0,4221.0,1863.0,42.0,56.0,7.0,41.0,40.0,1005.0,109.0,35,2427.0,69.0,71.0,27.0,25,88.0,20,10,22.0,2,1.4,31.0,33.0,-2.0,-0.07,0.29,27.9,30.3,-2.3,-0.09,0.02,2.0,1.0,1.0,37.0,17.0,5.0,114.0,30.0,24.0,0.0,0.0,0.0,176.0,36.0,35.0,50.7
Ander Capa,es ESP,DF,25.0,25.0,0.0,6.0,1.0,16.7,0.24,0.04,0.0,0.0,20.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,1062.0,1492.0,71.2,18906.0,7912.0,513.0,604.0,84.9,408.0,543.0,75.1,123.0,251.0,49.0,1.0,1.5,2.1,-0.5,14.0,95.0,26.0,14.0,143.0,1492.0,1131.0,350.0,23.0,3.0,2.0,95.0,327.0,0.0,0.0,0.0,0.0,1062.0,11.0,62.0,44.0,1.76,38.0,1.0,4.0,0.0,1.0,0.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,57.0,38.0,34.0,14.0,9.0,25.0,38.0,65.8,13.0,21.0,2.0,19.0,52.0,109.0,50.0,1.0,1764.0,49.0,350.0,817.0,619.0,21.0,1764.0,61.0,34.0,55.7,27.0,44.3,829.0,5224.0,2987.0,81.0,82.0,11.0,36.0,24.0,907.0,122.0,33,2249.0,68.0,65.8,25.0,25,85.0,20,8,15.0,3,1.36,28.0,36.0,-8.0,-0.32,-0.47,27.1,29.6,-2.5,-0.1,-0.02,4.0,0.0,0.0,34.0,9.0,6.0,95.0,52.0,38.0,0.0,0.0,0.0,114.0,28.0,12.0,70.0
Paulo Oliveira,pt POR,DF,25.0,24.6,0.0,13.0,3.0,23.1,0.53,0.12,0.0,0.0,10.8,0.0,0.0,0.0,1.1,1.1,0.08,-1.1,-1.1,658.0,897.0,73.4,14770.0,5154.0,162.0,200.0,81.0,344.0,423.0,81.3,143.0,254.0,56.3,0.0,0.3,0.2,-0.3,5.0,60.0,2.0,1.0,67.0,897.0,863.0,32.0,26.0,1.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,658.0,2.0,4.0,15.0,0.61,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,41.0,22.0,28.0,13.0,0.0,16.0,22.0,72.7,6.0,23.0,9.0,14.0,62.0,103.0,140.0,0.0,1187.0,121.0,494.0,659.0,41.0,20.0,1187.0,2.0,2.0,100.0,0.0,0.0,508.0,2335.0,962.0,7.0,4.0,0.0,8.0,2.0,542.0,0.0,26,2214.0,85.0,64.7,24.6,25,88.0,23,1,24.0,7,1.5,31.0,33.0,-2.0,-0.08,0.22,27.3,26.6,0.7,0.03,0.34,3.0,0.0,0.0,15.0,12.0,0.0,1.0,62.0,22.0,0.0,0.0,1.0,115.0,70.0,62.0,53.0
Rubén Peña,es ESP,"DF,MF",26.0,19.2,1.0,12.0,2.0,16.7,0.62,0.1,0.08,0.5,21.2,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,664.0,955.0,69.5,11799.0,4717.0,315.0,399.0,78.9,241.0,328.0,73.5,89.0,170.0,52.4,0.0,1.0,1.8,-1.0,17.0,65.0,21.0,13.0,78.0,955.0,790.0,160.0,4.0,0.0,4.0,70.0,154.0,0.0,0.0,0.0,0.0,664.0,5.0,28.0,44.0,2.29,35.0,3.0,3.0,2.0,1.0,0.0,3.0,0.16,2.0,0.0,0.0,1.0,0.0,0.0,41.0,28.0,20.0,17.0,4.0,20.0,42.0,47.6,22.0,24.0,6.0,18.0,30.0,71.0,31.0,0.0,1152.0,32.0,232.0,574.0,369.0,18.0,1152.0,40.0,20.0,50.0,20.0,50.0,600.0,3108.0,1409.0,37.0,30.0,4.0,37.0,16.0,621.0,67.0,28,1732.0,62.0,50.6,19.2,18,84.0,12,10,22.0,10,1.5,20.0,23.0,-3.0,-0.16,0.0,19.2,22.7,-3.5,-0.18,-0.18,1.0,0.0,0.0,15.0,18.0,5.0,70.0,30.0,28.0,0.0,0.0,0.0,130.0,14.0,21.0,40.0
