player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Juanfran,es ESP,DF,28.0,34.0,0.0,24.0,7.0,29.2,0.71,0.21,0.0,0.0,23.4,0.0,0.0,0.0,1.3,1.3,0.05,-1.3,-1.3,1335.0,1869.0,71.4,22134.0,10014.0,682.0,785.0,86.9,478.0,644.0,74.2,129.0,312.0,41.3,1.0,3.9,3.4,-2.9,31.0,130.0,41.0,27.0,157.0,1869.0,1537.0,326.0,25.0,1.0,14.0,161.0,299.0,2.0,0.0,1.0,0.0,1335.0,6.0,56.0,64.0,1.88,52.0,6.0,4.0,1.0,1.0,0.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,64.0,44.0,38.0,22.0,4.0,35.0,65.0,53.8,30.0,29.0,11.0,18.0,63.0,127.0,121.0,0.0,2246.0,145.0,693.0,999.0,588.0,35.0,2246.0,72.0,47.0,65.3,25.0,34.7,1107.0,6657.0,3670.0,96.0,65.0,6.0,21.0,22.0,1242.0,164.0,35,3057.0,87.0,89.4,34.0,34,89.0,32,1,20.0,2,0.8,33.0,64.0,-31.0,-0.91,0.82,47.2,51.9,-4.7,-0.14,0.47,3.0,0.0,0.0,24.0,32.0,1.0,161.0,63.0,44.0,0.0,1.0,0.0,201.0,39.0,31.0,55.7
Lucas Pérez,es ESP,FW,28.0,31.1,8.0,51.0,22.0,43.1,1.64,0.71,0.1,0.23,16.0,4.0,3.0,4.0,9.8,6.6,0.13,-1.8,-1.6,680.0,1001.0,67.9,11110.0,3608.0,353.0,432.0,81.7,215.0,307.0,70.0,77.0,184.0,41.8,6.0,10.9,9.0,-4.9,79.0,53.0,41.0,7.0,107.0,1001.0,763.0,231.0,37.0,7.0,7.0,168.0,18.0,111.0,52.0,34.0,1.0,680.0,7.0,26.0,138.0,4.44,74.0,45.0,9.0,4.0,6.0,0.0,13.0,0.42,5.0,5.0,0.0,1.0,2.0,0.0,17.0,12.0,5.0,8.0,4.0,1.0,32.0,3.1,31.0,19.0,1.0,18.0,9.0,26.0,1.0,0.0,1239.0,6.0,56.0,444.0,759.0,124.0,1235.0,70.0,32.0,45.7,37.0,52.9,648.0,3491.0,1454.0,56.0,34.0,29.0,61.0,42.0,796.0,215.0,35,2797.0,80.0,81.8,31.1,31,87.0,28,4,23.0,0,0.77,32.0,63.0,-31.0,-1.0,0.01,44.3,48.1,-3.7,-0.12,0.37,3.0,0.0,0.0,25.0,33.0,37.0,168.0,9.0,12.0,3.0,0.0,0.0,112.0,4.0,15.0,21.1
Guilherme,br BRA,MF,26.0,29.3,0.0,41.0,2.0,4.9,1.4,0.07,0.0,0.0,23.4,1.0,0.0,0.0,2.6,2.6,0.06,-2.6,-2.6,1207.0,1441.0,83.8,23061.0,6300.0,480.0,536.0,89.6,521.0,596.0,87.4,173.0,243.0,71.2,0.0,1.6,1.6,-1.6,15.0,108.0,9.0,2.0,152.0,1441.0,1356.0,83.0,58.0,2.0,31.0,28.0,4.0,20.0,10.0,0.0,0.0,1207.0,2.0,16.0,46.0,1.57,34.0,6.0,1.0,2.0,0.0,3.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,79.0,56.0,35.0,37.0,7.0,28.0,77.0,36.4,49.0,36.0,9.0,27.0,46.0,125.0,62.0,0.0,1733.0,73.0,425.0,1085.0,241.0,25.0,1733.0,35.0,26.0,74.3,9.0,25.7,914.0,3861.0,1619.0,15.0,19.0,2.0,27.0,16.0,1065.0,23.0,31,2639.0,85.0,77.2,29.3,31,85.0,25,0,,1,0.77,29.0,57.0,-28.0,-0.95,0.2,39.4,41.8,-2.4,-0.08,0.46,11.0,0.0,0.0,56.0,46.0,0.0,28.0,46.0,56.0,0.0,0.0,1.0,212.0,38.0,33.0,53.5
Luisinho,pt POR,DF,32.0,29.1,1.0,16.0,4.0,25.0,0.55,0.14,0.06,0.25,24.4,0.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5,1206.0,1580.0,76.3,19835.0,8603.0,609.0,680.0,89.6,482.0,614.0,78.5,92.0,212.0,43.4,1.0,2.1,2.2,-1.1,18.0,89.0,22.0,17.0,115.0,1580.0,1254.0,319.0,16.0,1.0,11.0,88.0,303.0,0.0,0.0,0.0,0.0,1206.0,7.0,36.0,49.0,1.68,34.0,3.0,4.0,3.0,5.0,0.0,5.0,0.17,4.0,0.0,1.0,0.0,0.0,0.0,111.0,77.0,64.0,40.0,7.0,65.0,96.0,67.7,31.0,24.0,4.0,20.0,55.0,166.0,113.0,0.0,1942.0,96.0,685.0,858.0,418.0,20.0,1942.0,61.0,43.0,70.5,18.0,29.5,945.0,4987.0,2421.0,64.0,51.0,10.0,19.0,14.0,1076.0,87.0,30,2622.0,87.0,76.7,29.1,29,90.0,28,1,21.0,2,0.67,29.0,60.0,-31.0,-1.06,-0.27,41.4,45.8,-4.4,-0.15,0.16,12.0,0.0,0.0,43.0,49.0,2.0,88.0,55.0,77.0,0.0,0.0,0.0,157.0,19.0,23.0,45.2
Rubén,es ESP,GK,33.0,27.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,442.0,712.0,62.1,16078.0,12538.0,44.0,45.0,97.8,159.0,160.0,99.4,237.0,501.0,47.3,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,712.0,392.0,316.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,4.0,0.0,6.0,0.22,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,765.0,675.0,763.0,2.0,0.0,0.0,765.0,0.0,0.0,,0.0,,314.0,2206.0,1718.0,0.0,0.0,0.0,1.0,0.0,196.0,0.0,28,2478.0,89.0,72.5,27.5,27,90.0,27,1,48.0,0,0.68,25.0,58.0,-33.0,-1.2,-0.72,36.0,43.3,-7.3,-0.26,-0.28,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,1.0,83.3
Adrián López,es ESP,"FW,MF",29.0,26.1,9.0,61.0,19.0,31.1,2.34,0.73,0.15,0.47,12.8,1.0,0.0,0.0,7.7,7.7,0.13,1.3,1.3,610.0,904.0,67.5,8324.0,2436.0,377.0,496.0,76.0,188.0,275.0,68.4,21.0,45.0,46.7,6.0,5.7,3.7,0.3,34.0,52.0,23.0,4.0,104.0,904.0,884.0,7.0,0.0,6.0,3.0,29.0,2.0,1.0,1.0,0.0,0.0,610.0,13.0,28.0,77.0,2.96,56.0,0.0,8.0,6.0,7.0,0.0,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,11.0,8.0,5.0,7.0,25.0,28.0,18.0,22.0,4.0,18.0,10.0,34.0,49.0,0.0,1196.0,48.0,161.0,508.0,538.0,124.0,1196.0,69.0,38.0,55.1,31.0,44.9,728.0,4857.0,2477.0,83.0,51.0,39.0,55.0,57.0,933.0,205.0,30,2345.0,78.0,68.6,26.1,26,86.0,20,4,28.0,0,0.63,22.0,54.0,-32.0,-1.23,-0.73,36.6,41.3,-4.7,-0.18,0.03,1.0,0.0,0.0,16.0,29.0,12.0,29.0,10.0,14.0,0.0,0.0,0.0,116.0,75.0,76.0,49.7
Celso Borges,cr CRC,MF,29.0,25.6,3.0,32.0,8.0,25.0,1.25,0.31,0.09,0.38,14.3,1.0,0.0,0.0,3.4,3.4,0.11,-0.4,-0.4,952.0,1236.0,77.0,14993.0,4829.0,568.0,690.0,82.3,273.0,336.0,81.3,85.0,147.0,57.8,3.0,2.4,1.5,0.6,24.0,116.0,15.0,3.0,131.0,1236.0,1202.0,29.0,26.0,1.0,16.0,17.0,3.0,0.0,0.0,0.0,0.0,952.0,5.0,18.0,53.0,2.07,46.0,0.0,2.0,4.0,0.0,1.0,5.0,0.2,4.0,0.0,0.0,1.0,0.0,0.0,61.0,39.0,34.0,22.0,5.0,15.0,47.0,31.9,32.0,39.0,7.0,32.0,34.0,95.0,36.0,0.0,1474.0,54.0,293.0,910.0,280.0,49.0,1474.0,17.0,14.0,82.4,3.0,17.6,736.0,3092.0,1337.0,26.0,22.0,0.0,17.0,25.0,952.0,72.0,32,2300.0,72.0,67.3,25.6,26,80.0,16,6,38.0,2,0.88,26.0,43.0,-17.0,-0.67,1.02,34.6,38.2,-3.6,-0.14,0.14,4.0,1.0,1.0,35.0,13.0,4.0,17.0,34.0,39.0,0.0,0.0,0.0,176.0,116.0,74.0,61.1
Fabian Schär,ch SUI,DF,25.0,24.7,2.0,18.0,6.0,33.3,0.73,0.24,0.11,0.33,20.2,3.0,0.0,0.0,3.0,3.0,0.17,-1.0,-1.0,758.0,957.0,79.2,17100.0,7069.0,233.0,260.0,89.6,353.0,400.0,88.3,166.0,272.0,61.0,2.0,0.6,0.8,1.4,7.0,53.0,3.0,0.0,45.0,957.0,874.0,72.0,71.0,4.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,758.0,11.0,3.0,24.0,0.97,19.0,1.0,0.0,0.0,1.0,3.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,59.0,45.0,45.0,14.0,0.0,32.0,61.0,52.5,29.0,36.0,20.0,16.0,45.0,104.0,141.0,1.0,1269.0,186.0,760.0,481.0,47.0,24.0,1269.0,20.0,14.0,70.0,6.0,30.0,597.0,3289.0,1869.0,18.0,15.0,2.0,13.0,5.0,663.0,5.0,25,2219.0,89.0,64.9,24.7,25,89.0,24,0,,8,0.88,27.0,56.0,-29.0,-1.18,-0.5,31.3,42.8,-11.6,-0.47,-0.8,10.0,0.0,0.0,39.0,22.0,3.0,1.0,45.0,45.0,0.0,0.0,0.0,131.0,43.0,35.0,55.1
Sidnei,br BRA,DF,27.0,19.8,1.0,8.0,2.0,25.0,0.4,0.1,0.13,0.5,10.0,0.0,0.0,0.0,1.0,1.0,0.13,0.0,0.0,642.0,769.0,83.5,13907.0,4492.0,185.0,203.0,91.1,329.0,372.0,88.4,121.0,181.0,66.9,1.0,0.5,0.5,0.5,5.0,24.0,6.0,2.0,44.0,769.0,739.0,29.0,29.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,642.0,1.0,2.0,13.0,0.66,8.0,0.0,1.0,3.0,0.0,1.0,4.0,0.2,3.0,0.0,1.0,0.0,0.0,0.0,41.0,28.0,30.0,11.0,0.0,18.0,25.0,72.0,7.0,26.0,9.0,17.0,31.0,72.0,101.0,1.0,987.0,143.0,573.0,388.0,42.0,23.0,987.0,21.0,16.0,76.2,5.0,23.8,509.0,3284.0,1525.0,15.0,9.0,4.0,14.0,3.0,525.0,3.0,21,1778.0,85.0,52.0,19.8,21,85.0,19,0,,3,0.86,21.0,34.0,-13.0,-0.66,0.71,26.8,25.9,0.9,0.05,0.49,4.0,0.0,0.0,12.0,11.0,0.0,4.0,31.0,28.0,0.0,0.0,0.0,139.0,38.0,29.0,56.7
Raúl Albentosa,es ESP,DF,28.0,19.4,1.0,11.0,2.0,18.2,0.57,0.1,0.09,0.5,9.6,0.0,0.0,0.0,1.5,1.5,0.13,-0.5,-0.5,607.0,775.0,78.3,14038.0,5509.0,136.0,162.0,84.0,334.0,386.0,86.5,135.0,214.0,63.1,0.0,0.2,0.2,-0.2,3.0,28.0,1.0,0.0,27.0,775.0,738.0,34.0,33.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,607.0,3.0,8.0,6.0,0.31,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,9.0,4.0,0.0,7.0,20.0,35.0,13.0,26.0,19.0,7.0,26.0,39.0,92.0,1.0,955.0,122.0,622.0,302.0,35.0,28.0,955.0,3.0,2.0,66.7,1.0,33.3,395.0,1492.0,606.0,1.0,3.0,0.0,6.0,0.0,546.0,5.0,20,1748.0,87.0,51.1,19.4,19,90.0,18,1,45.0,8,0.7,19.0,34.0,-15.0,-0.77,0.47,27.7,27.6,0.1,0.01,0.4,5.0,0.0,0.0,15.0,14.0,1.0,2.0,26.0,6.0,0.0,1.0,0.0,73.0,39.0,18.0,68.4
