player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jonathan Calleri,ar ARG,FW,23.0,34.5,9,94,23,24.5,2.72,0.67,0.04,0.17,15.8,0,5,5,13.5,9.6,0.1,-4.5,-5.6,464,748,62.0,6581,1358,259,371,69.8,127,207,61.4,31,73,42.5,3,2.8,2.7,0.2,27,32,15,1,64,748,644,98,3,1,12,30,2,0,0,0,0,464,6,21,65,1.88,41,2,5,9,8,0,6,0.17,4,0,0,1,1,0,24,16,5,10,9,4,23,17.4,19,15,2,13,7,31,35,0,1136,37,81,480,583,176,1131,64,31,48.4,33,51.6,650,3103,1106,47,29,21,117,64,838,188,37,3109,84,90.9,34.5,34,89.0,29,3,33.0,0,0.59,21,67,-46,-1.33,-0.17,35.4,63.3,-27.9,-0.81,0.39,7,0,0,73,75,39,30,7,16,1,1,0,84,105,132,44.3
Ximo Navarro,es ESP,DF,27.0,29.0,0,3,1,33.3,0.1,0.03,0.0,0.0,26.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,1130,1372,82.4,20643,7460,473,522,90.6,523,591,88.5,113,207,54.6,1,0.5,0.4,0.5,5,56,3,0,76,1372,1259,111,90,1,10,11,21,0,0,0,0,1130,2,17,14,0.48,10,1,1,1,1,0,1,0.03,1,0,0,0,0,0,63,43,44,19,0,28,50,56.0,22,27,16,11,66,129,131,4,1691,171,918,735,61,5,1691,42,36,85.7,6,14.3,965,5276,3098,31,11,0,28,14,973,21,31,2608,84,76.3,29.0,29,88.0,28,2,22.0,4,0.68,14,49,-35,-1.21,0.45,26.5,55.8,-29.3,-1.01,-0.71,12,0,0,28,51,0,11,66,43,0,1,1,203,29,30,49.2
Leandro Chichizola,ar ARG,GK,27.0,27.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,807,1142,70.7,23394,17039,125,127,98.4,386,394,98.0,295,614,48.0,0,0.0,0.0,0.0,1,9,0,0,0,1142,809,328,98,0,3,0,0,0,0,0,0,807,5,1,5,0.19,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,2,6,33.3,4,0,0,0,4,6,29,3,1237,974,1235,3,0,0,1237,5,5,100.0,0,0.0,678,3800,2531,0,0,0,4,0,545,0,27,2430,90,71.1,27.0,27,90.0,27,0,,11,0.63,18,47,-29,-1.07,0.84,27.5,48.9,-21.4,-0.79,0.17,2,0,0,0,6,0,0,4,0,0,0,0,38,12,2,85.7
Michel,br BRA,DF,27.0,23.7,0,6,3,50.0,0.25,0.13,0.0,0.0,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,963,1200,80.3,14048,5510,578,630,91.7,308,385,80.0,48,109,44.0,1,1.2,1.6,-0.2,23,51,25,15,78,1200,962,233,15,2,1,64,218,0,0,0,0,963,5,29,36,1.52,32,3,0,0,1,0,1,0.04,1,0,0,0,0,0,33,24,21,8,4,14,25,56.0,11,21,11,10,39,72,64,1,1411,81,404,636,380,28,1411,22,14,63.6,8,36.4,762,3303,1527,36,40,3,34,19,828,119,28,2130,76,62.3,23.7,26,81.0,17,2,11.0,3,0.68,14,37,-23,-0.97,0.91,21.5,41.2,-19.7,-0.83,0.03,5,1,1,38,43,6,64,39,24,0,0,0,124,32,28,53.3
Dani Castellano,es ESP,DF,29.0,22.5,0,4,0,0.0,0.18,0.0,0.0,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,831,1079,77.0,12247,4996,474,537,88.3,291,385,75.6,38,89,42.7,2,0.7,0.6,1.3,9,52,8,5,55,1079,853,223,27,0,4,39,196,0,0,0,0,831,3,26,26,1.16,21,1,2,0,2,0,3,0.13,2,0,1,0,0,0,46,29,29,16,1,25,48,52.1,23,28,7,21,42,88,64,1,1329,83,431,681,232,12,1329,40,24,60.0,16,40.0,690,4339,2255,60,29,5,30,25,725,61,24,2025,84,59.2,22.5,23,88.0,20,1,5.0,5,0.79,19,40,-21,-0.93,0.94,27.0,38.0,-11.0,-0.49,0.87,5,0,0,17,30,4,39,42,29,0,0,0,109,26,26,50.0
Jonathan Viera,es ESP,MF,27.0,22.1,4,36,13,36.1,1.63,0.59,0.08,0.23,25.3,10,1,3,5.9,3.5,0.1,-1.9,-0.5,1271,1557,81.6,18812,5418,718,801,89.6,398,488,81.6,84,146,57.5,3,6.4,6.1,-3.4,63,139,53,2,179,1557,1421,121,69,21,17,55,9,41,18,13,0,1271,15,23,126,5.69,83,15,10,1,16,1,9,0.41,8,0,1,0,0,0,36,25,10,22,4,3,28,10.7,25,21,0,21,11,47,2,0,1785,7,155,1075,590,35,1782,99,65,65.7,34,34.3,1253,7917,3945,91,98,9,41,54,1478,87,23,1993,87,58.3,22.1,23,87.0,22,0,,0,0.78,18,46,-28,-1.26,0.12,25.5,41.0,-15.5,-0.7,0.34,4,0,0,21,69,3,55,11,25,2,0,0,101,8,19,29.6
Álex Gálvez,es ESP,DF,28.0,18.0,0,16,4,25.0,0.89,0.22,0.0,0.0,24.1,9,0,0,0.8,0.8,0.05,-0.8,-0.8,770,952,80.9,15922,6403,263,291,90.4,368,421,87.4,127,213,59.6,0,0.1,0.1,-0.1,1,58,0,0,63,952,877,74,69,0,22,2,5,0,0,0,0,770,1,10,8,0.44,6,0,2,0,0,0,0,0.0,0,0,0,0,0,0,50,36,26,24,0,22,41,53.7,19,20,11,9,43,93,74,2,1159,110,595,548,34,10,1159,9,8,88.9,1,11.1,611,3054,1654,8,5,1,8,9,626,3,18,1619,90,47.3,18.0,18,90.0,17,0,,0,0.56,9,31,-22,-1.22,0.18,16.7,33.2,-16.5,-0.92,-0.14,5,1,0,34,18,4,2,43,36,0,1,0,137,39,30,56.5
Javi Castellano,es ESP,MF,29.0,17.4,0,4,2,50.0,0.23,0.11,0.0,0.0,30.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,971,1085,89.5,15593,4532,520,568,91.5,355,380,93.4,74,93,79.6,0,0.1,0.2,-0.1,3,52,1,0,60,1085,1034,51,47,0,6,3,4,0,0,0,0,971,0,10,13,0.75,12,0,0,0,1,0,0,0.0,0,0,0,0,0,0,47,27,20,25,2,20,37,54.1,17,23,6,17,38,85,16,1,1233,37,365,794,82,3,1233,12,7,58.3,5,41.7,697,2384,1119,7,4,1,13,5,828,10,23,1566,68,45.8,17.4,17,85.0,12,6,21.0,9,0.65,10,34,-24,-1.38,-0.12,18.7,33.4,-14.6,-0.84,0.01,4,0,0,14,26,0,3,38,27,0,1,0,91,27,30,47.4
Vicente Gómez,es ESP,MF,28.0,16.9,0,14,0,0.0,0.83,0.0,0.0,,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,774,891,86.9,11575,2445,424,460,92.2,273,313,87.2,42,60,70.0,0,0.4,0.5,-0.4,5,39,4,1,56,891,867,21,21,2,3,10,0,0,0,0,0,774,3,12,18,1.06,15,0,0,2,1,0,1,0.06,1,0,0,0,0,0,21,13,6,11,4,10,29,34.5,19,18,4,14,17,38,14,1,1026,28,214,661,153,21,1026,13,7,53.8,6,46.2,581,2941,1268,17,14,3,25,23,798,59,25,1525,61,44.6,16.9,17,81.0,9,8,18.0,8,0.56,8,37,-29,-1.71,-0.71,14.1,30.3,-16.2,-0.96,-0.2,3,0,0,22,29,0,10,17,13,0,0,0,64,32,25,56.1
Tana,es ESP,"MF,FW",26.0,17.2,1,14,6,42.9,0.81,0.35,0.07,0.17,20.5,0,0,0,2.0,2.0,0.15,-1.0,-1.0,694,832,83.4,9639,2925,434,473,91.8,179,214,83.6,44,81,54.3,1,1.2,2.4,-0.2,21,62,20,3,94,832,763,64,20,4,4,51,5,39,14,19,0,694,5,7,58,3.36,42,10,1,0,4,1,2,0.12,2,0,0,0,0,0,31,24,13,14,4,12,36,33.3,24,8,0,8,23,54,5,0,984,18,134,505,358,22,984,38,19,50.0,19,50.0,671,3237,1476,40,36,3,37,40,748,84,24,1552,65,45.4,17.2,16,81.0,8,8,32.0,1,0.67,10,30,-20,-1.16,0.29,16.9,30.5,-13.5,-0.78,0.11,2,0,0,11,36,0,51,23,24,0,0,0,92,2,20,9.1
