player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Luis Hernández,es ESP,DF,28.0,36.0,0.0,4.0,0.0,0.0,0.11,0.0,0.0,,12.6,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,1154.0,1463.0,78.9,24432.0,11329.0,347.0,388.0,89.4,592.0,688.0,86.0,206.0,352.0,58.5,1.0,0.4,1.0,0.6,6.0,88.0,8.0,2.0,105.0,1463.0,1352.0,109.0,68.0,1.0,18.0,8.0,40.0,0.0,0.0,0.0,0.0,1154.0,2.0,17.0,18.0,0.5,14.0,3.0,0.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,49.0,43.0,37.0,9.0,3.0,17.0,33.0,51.5,16.0,32.0,21.0,11.0,77.0,126.0,185.0,1.0,1798.0,198.0,913.0,813.0,86.0,10.0,1798.0,3.0,3.0,100.0,0.0,0.0,837.0,3137.0,1467.0,4.0,6.0,1.0,3.0,4.0,898.0,4.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,0.56,23.0,57.0,-34.0,-0.94,0.56,36.5,54.6,-18.1,-0.5,0.95,8.0,0.0,0.0,42.0,10.0,3.0,8.0,77.0,43.0,0.0,3.0,0.0,190.0,48.0,40.0,54.5
Roberto Rosales,ve VEN,DF,28.0,34.7,1.0,18.0,6.0,33.3,0.52,0.17,0.06,0.17,25.7,3.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4,1359.0,1936.0,70.2,24397.0,12465.0,673.0,783.0,86.0,467.0,664.0,70.3,194.0,393.0,49.4,0.0,3.8,3.7,-3.8,54.0,132.0,36.0,25.0,153.0,1936.0,1481.0,442.0,52.0,0.0,17.0,168.0,345.0,44.0,23.0,19.0,1.0,1359.0,13.0,52.0,91.0,2.62,52.0,30.0,3.0,2.0,2.0,2.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,104.0,69.0,52.0,40.0,12.0,50.0,84.0,59.5,34.0,37.0,13.0,24.0,58.0,162.0,104.0,1.0,2315.0,126.0,695.0,1055.0,584.0,18.0,2315.0,34.0,18.0,52.9,16.0,47.1,1085.0,4286.0,1986.0,47.0,48.0,3.0,44.0,24.0,1172.0,113.0,35,3123.0,89.0,91.3,34.7,35,89.0,33,0,,1,0.57,24.0,53.0,-29.0,-0.84,1.59,35.4,51.7,-16.3,-0.47,0.96,10.0,0.0,0.0,47.0,22.0,3.0,168.0,58.0,69.0,1.0,2.0,0.0,245.0,49.0,47.0,51.0
Roberto,es ESP,GK,31.0,34.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,8.9,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,519.0,998.0,52.0,21747.0,18799.0,24.0,24.0,100.0,165.0,168.0,98.2,330.0,804.0,41.0,0.0,0.1,0.1,-0.1,2.0,18.0,0.0,0.0,0.0,998.0,556.0,440.0,161.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,2.0,0.0,3.0,0.09,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,15.0,0.0,1074.0,943.0,1068.0,5.0,1.0,1.0,1074.0,0.0,0.0,,0.0,,469.0,3027.0,2372.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,3,0.59,23.0,51.0,-28.0,-0.82,1.43,32.7,50.1,-17.4,-0.51,0.39,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,13.0,1.0,92.9
Adrián González,es ESP,"MF,FW",29.0,26.0,3.0,34.0,11.0,32.4,1.31,0.42,0.06,0.18,20.3,0.0,1.0,1.0,3.6,2.8,0.08,-0.6,-0.8,851.0,1074.0,79.2,15241.0,4082.0,399.0,477.0,83.6,312.0,361.0,86.4,110.0,156.0,70.5,0.0,1.2,0.9,-1.2,18.0,103.0,8.0,1.0,114.0,1074.0,1043.0,22.0,16.0,2.0,30.0,15.0,2.0,2.0,1.0,1.0,0.0,851.0,9.0,25.0,47.0,1.79,32.0,2.0,1.0,6.0,4.0,2.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,14.0,22.0,4.0,12.0,50.0,24.0,38.0,25.0,8.0,17.0,38.0,78.0,34.0,0.0,1300.0,52.0,246.0,857.0,207.0,35.0,1299.0,13.0,8.0,61.5,5.0,38.5,687.0,2791.0,925.0,8.0,14.0,0.0,27.0,37.0,832.0,39.0,29,2340.0,81.0,68.4,26.0,27,85.0,24,2,18.0,3,0.66,21.0,41.0,-20.0,-0.77,0.65,27.4,40.4,-13.0,-0.5,0.18,8.0,1.0,0.0,39.0,31.0,2.0,15.0,38.0,25.0,0.0,0.0,0.0,147.0,63.0,89.0,41.4
Chory Castro,uy URU,"MF,FW",32.0,22.9,4.0,31.0,8.0,25.8,1.35,0.35,0.1,0.38,19.4,2.0,1.0,1.0,3.4,2.4,0.08,0.6,0.6,672.0,1013.0,66.3,11487.0,3929.0,368.0,438.0,84.0,187.0,294.0,63.6,88.0,187.0,47.1,2.0,2.5,2.6,-0.5,32.0,74.0,30.0,16.0,100.0,1013.0,889.0,111.0,32.0,2.0,18.0,133.0,45.0,33.0,8.0,16.0,1.0,672.0,13.0,37.0,61.0,2.66,42.0,12.0,1.0,2.0,2.0,2.0,3.0,0.13,2.0,1.0,0.0,0.0,0.0,0.0,37.0,24.0,15.0,14.0,8.0,11.0,32.0,34.4,21.0,21.0,2.0,19.0,23.0,60.0,13.0,0.0,1249.0,27.0,187.0,574.0,505.0,39.0,1248.0,51.0,28.0,54.9,23.0,45.1,752.0,4161.0,2030.0,64.0,57.0,8.0,47.0,32.0,812.0,114.0,26,2061.0,79.0,60.3,22.9,26,79.0,10,0,,2,0.73,18.0,29.0,-11.0,-0.48,1.24,21.9,30.0,-8.1,-0.35,0.5,5.0,1.0,1.0,23.0,28.0,3.0,133.0,23.0,24.0,0.0,0.0,0.0,162.0,21.0,19.0,52.5
Diego Rolán,uy URU,"FW,MF",24.0,21.6,5.0,36.0,17.0,47.2,1.66,0.79,0.14,0.29,13.0,0.0,0.0,0.0,5.6,5.6,0.16,-0.6,-0.6,472.0,606.0,77.9,6500.0,1331.0,296.0,347.0,85.3,119.0,157.0,75.8,29.0,49.0,59.2,0.0,1.3,1.0,-1.3,20.0,37.0,17.0,3.0,57.0,606.0,568.0,36.0,2.0,3.0,2.0,27.0,5.0,1.0,0.0,0.0,0.0,472.0,2.0,18.0,60.0,2.77,35.0,1.0,8.0,6.0,7.0,3.0,2.0,0.09,0.0,0.0,1.0,0.0,1.0,0.0,33.0,25.0,7.0,13.0,13.0,9.0,44.0,20.5,35.0,18.0,1.0,17.0,12.0,45.0,9.0,0.0,882.0,7.0,91.0,403.0,401.0,83.0,882.0,91.0,42.0,46.2,49.0,53.8,619.0,4053.0,1666.0,59.0,45.0,14.0,71.0,59.0,647.0,165.0,26,1946.0,75.0,56.9,21.6,21,86.0,17,5,27.0,0,0.35,14.0,42.0,-28.0,-1.29,-0.75,21.8,41.0,-19.2,-0.89,-0.78,0.0,0.0,0.0,28.0,48.0,19.0,27.0,12.0,25.0,1.0,0.0,0.0,107.0,11.0,41.0,21.2
Recio,es ESP,MF,26.0,20.4,1.0,25.0,3.0,12.0,1.22,0.15,0.0,0.0,25.2,5.0,1.0,1.0,1.8,1.0,0.04,-0.8,-1.0,812.0,1027.0,79.1,13953.0,4200.0,397.0,455.0,87.3,285.0,343.0,83.1,95.0,161.0,59.0,2.0,2.1,1.9,-0.1,24.0,81.0,13.0,2.0,97.0,1027.0,905.0,115.0,73.0,5.0,13.0,68.0,0.0,40.0,21.0,14.0,0.0,812.0,7.0,18.0,50.0,2.45,25.0,14.0,3.0,1.0,4.0,3.0,3.0,0.15,0.0,2.0,0.0,0.0,1.0,0.0,54.0,42.0,26.0,23.0,5.0,17.0,62.0,27.4,45.0,15.0,3.0,12.0,30.0,84.0,17.0,0.0,1210.0,27.0,213.0,720.0,296.0,22.0,1209.0,28.0,17.0,60.7,11.0,39.3,720.0,3626.0,1556.0,35.0,25.0,4.0,30.0,26.0,730.0,33.0,22,1837.0,84.0,53.7,20.4,21,87.0,16,1,11.0,0,0.5,12.0,30.0,-18.0,-0.88,0.2,19.6,31.9,-12.3,-0.6,-0.11,11.0,1.0,1.0,42.0,44.0,1.0,68.0,30.0,42.0,0.0,0.0,0.0,145.0,21.0,21.0,50.0
Ignasi Miquel,es ESP,DF,24.0,19.7,0.0,9.0,1.0,11.1,0.46,0.05,0.0,0.0,11.5,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,517.0,727.0,71.1,11500.0,4896.0,139.0,169.0,82.2,273.0,330.0,82.7,102.0,207.0,49.3,1.0,0.4,0.2,0.6,2.0,31.0,0.0,0.0,42.0,727.0,670.0,52.0,24.0,1.0,14.0,2.0,28.0,0.0,0.0,0.0,0.0,517.0,5.0,6.0,11.0,0.56,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,11.0,7.0,1.0,4.0,15.0,26.7,11.0,23.0,13.0,10.0,33.0,52.0,113.0,0.0,947.0,117.0,506.0,400.0,47.0,21.0,947.0,12.0,10.0,83.3,2.0,16.7,424.0,2207.0,1097.0,6.0,4.0,0.0,8.0,5.0,473.0,2.0,20,1773.0,89.0,51.8,19.7,20,89.0,18,0,,2,0.45,9.0,27.0,-18.0,-0.91,0.12,18.2,27.3,-9.1,-0.46,0.19,5.0,1.0,0.0,41.0,14.0,0.0,2.0,33.0,10.0,0.0,1.0,0.0,87.0,44.0,42.0,51.2
Manuel Iturra,cl CHI,MF,33.0,17.6,0.0,2.0,1.0,50.0,0.11,0.06,0.0,0.0,14.9,0.0,0.0,0.0,0.4,0.4,0.21,-0.4,-0.4,478.0,606.0,78.9,8850.0,2515.0,202.0,242.0,83.5,194.0,227.0,85.5,69.0,110.0,62.7,0.0,0.7,0.7,-0.7,7.0,54.0,8.0,2.0,56.0,606.0,582.0,21.0,13.0,1.0,7.0,9.0,7.0,1.0,0.0,1.0,0.0,478.0,3.0,3.0,16.0,0.91,12.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,45.0,36.0,27.0,7.0,22.0,55.0,40.0,33.0,19.0,2.0,17.0,29.0,99.0,23.0,0.0,788.0,39.0,248.0,470.0,87.0,4.0,788.0,26.0,19.0,73.1,7.0,26.9,374.0,1605.0,716.0,5.0,8.0,2.0,16.0,23.0,420.0,11.0,20,1583.0,79.0,46.3,17.6,18,85.0,15,2,24.0,0,0.45,10.0,27.0,-17.0,-0.97,0.01,18.7,26.8,-8.1,-0.46,0.17,6.0,0.0,0.0,43.0,21.0,0.0,9.0,29.0,45.0,0.0,0.0,0.0,122.0,22.0,22.0,50.0
Diego González,es ESP,DF,22.0,15.9,1.0,13.0,3.0,23.1,0.82,0.19,0.08,0.33,16.7,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,408.0,561.0,72.7,7452.0,2373.0,161.0,188.0,85.6,199.0,252.0,79.0,40.0,102.0,39.2,0.0,0.6,0.5,-0.6,3.0,26.0,4.0,1.0,22.0,561.0,475.0,81.0,13.0,1.0,2.0,7.0,68.0,0.0,0.0,0.0,0.0,408.0,5.0,5.0,11.0,0.69,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,20.0,7.0,0.0,18.0,26.0,69.2,8.0,25.0,10.0,15.0,19.0,46.0,69.0,0.0,731.0,75.0,311.0,333.0,87.0,17.0,731.0,3.0,1.0,33.3,2.0,66.7,306.0,1167.0,386.0,4.0,7.0,0.0,6.0,4.0,340.0,11.0,18,1429.0,79.0,41.8,15.9,17,82.0,12,1,38.0,11,0.39,9.0,29.0,-20.0,-1.26,-0.49,17.2,26.0,-8.8,-0.55,0.0,5.0,0.0,0.0,27.0,3.0,1.0,7.0,19.0,19.0,0.0,1.0,0.0,49.0,34.0,27.0,55.7
