player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Víctor Laguardia,es ESP,DF,28.0,36.0,1.0,17.0,4.0,23.5,0.47,0.11,0.06,0.25,13.0,1.0,0.0,0.0,1.7,1.7,0.1,-0.7,-0.7,896.0,1279.0,70.1,20270.0,9717.0,251.0,312.0,80.4,456.0,554.0,82.3,182.0,382.0,47.6,2.0,1.0,1.6,1.0,6.0,90.0,5.0,0.0,92.0,1279.0,1184.0,87.0,77.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,896.0,8.0,11.0,19.0,0.53,12.0,3.0,0.0,2.0,2.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,47.0,34.0,37.0,10.0,0.0,24.0,33.0,72.7,9.0,42.0,19.0,23.0,53.0,100.0,232.0,0.0,1692.0,237.0,936.0,715.0,57.0,34.0,1692.0,0.0,0.0,,0.0,,672.0,3285.0,1900.0,11.0,5.0,0.0,6.0,3.0,808.0,11.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,0,1.36,37.0,44.0,-7.0,-0.19,1.81,39.4,49.2,-9.7,-0.27,0.91,13.0,0.0,0.0,26.0,14.0,2.0,1.0,53.0,34.0,0.0,1.0,1.0,147.0,79.0,70.0,53.0
Fernando Pacheco,es ESP,GK,26.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,587.0,1048.0,56.0,23015.0,19770.0,52.0,53.0,98.1,163.0,166.0,98.2,372.0,824.0,45.1,0.0,0.1,0.1,-0.1,3.0,11.0,0.0,0.0,0.0,1048.0,595.0,448.0,154.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,5.0,0.0,10.0,0.29,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,1139.0,881.0,1137.0,2.0,0.0,0.0,1139.0,0.0,0.0,,0.0,,456.0,3358.0,2763.0,0.0,1.0,1.0,0.0,0.0,328.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,1,1.26,34.0,46.0,-12.0,-0.34,-0.68,38.0,49.9,-11.9,-0.34,-0.29,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,8.0,1.0,88.9
Jony,es ESP,"MF,FW",27.0,33.0,5.0,55.0,23.0,41.8,1.67,0.7,0.09,0.22,21.9,10.0,0.0,0.0,4.6,4.6,0.08,0.4,0.4,657.0,1192.0,55.1,13032.0,5515.0,283.0,373.0,75.9,215.0,342.0,62.9,140.0,387.0,36.2,11.0,9.6,7.7,1.4,85.0,49.0,60.0,40.0,76.0,1192.0,863.0,323.0,97.0,8.0,27.0,291.0,118.0,96.0,42.0,36.0,1.0,657.0,6.0,50.0,137.0,4.15,68.0,49.0,10.0,4.0,4.0,2.0,13.0,0.39,6.0,6.0,1.0,0.0,0.0,0.0,20.0,14.0,6.0,7.0,7.0,7.0,37.0,18.9,30.0,18.0,0.0,18.0,22.0,42.0,12.0,2.0,1589.0,7.0,198.0,595.0,833.0,81.0,1589.0,138.0,62.0,44.9,76.0,55.1,839.0,6630.0,3406.0,119.0,90.0,40.0,109.0,60.0,898.0,220.0,36,2971.0,83.0,86.9,33.0,34,86.0,18.0,2,27.0,0,1.36,35.0,37.0,-2.0,-0.06,1.74,37.3,45.4,-8.1,-0.25,0.54,3.0,0.0,0.0,34.0,31.0,13.0,291.0,22.0,14.0,0.0,0.0,0.0,186.0,5.0,27.0,15.6
Jonathan Calleri,ar ARG,FW,24.0,31.9,9.0,78.0,18.0,23.1,2.45,0.56,0.09,0.39,15.1,0.0,2.0,2.0,8.5,6.9,0.09,0.5,0.1,418.0,743.0,56.3,5955.0,1412.0,242.0,376.0,64.4,113.0,203.0,55.7,29.0,60.0,48.3,2.0,3.6,2.1,-1.6,31.0,38.0,20.0,7.0,76.0,743.0,721.0,16.0,0.0,2.0,5.0,48.0,1.0,0.0,0.0,0.0,0.0,418.0,6.0,33.0,80.0,2.51,53.0,0.0,8.0,7.0,11.0,1.0,4.0,0.13,1.0,0.0,0.0,1.0,2.0,0.0,20.0,13.0,3.0,11.0,6.0,1.0,24.0,4.2,23.0,34.0,7.0,27.0,7.0,27.0,53.0,0.0,1184.0,58.0,127.0,505.0,568.0,146.0,1182.0,67.0,41.0,61.2,26.0,38.8,582.0,3351.0,1311.0,63.0,36.0,20.0,114.0,75.0,848.0,189.0,34,2869.0,84.0,83.9,31.9,33,86.0,23.0,1,24.0,0,1.35,34.0,37.0,-3.0,-0.09,1.21,36.6,41.2,-4.6,-0.14,1.08,6.0,0.0,0.0,70.0,70.0,15.0,48.0,7.0,13.0,2.0,0.0,0.0,86.0,198.0,234.0,45.8
Rubén Duarte,es ESP,DF,22.0,30.8,0.0,23.0,8.0,34.8,0.75,0.26,0.0,0.0,26.8,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7,814.0,1230.0,66.2,14285.0,6793.0,411.0,481.0,85.4,300.0,445.0,67.4,93.0,256.0,36.3,0.0,1.7,1.7,-1.7,25.0,89.0,22.0,15.0,105.0,1230.0,968.0,258.0,27.0,0.0,7.0,80.0,226.0,5.0,5.0,0.0,0.0,814.0,4.0,27.0,55.0,1.79,38.0,3.0,0.0,6.0,8.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,72.0,35.0,45.0,20.0,7.0,34.0,64.0,53.1,30.0,46.0,12.0,34.0,57.0,129.0,130.0,1.0,1625.0,138.0,596.0,753.0,287.0,19.0,1625.0,10.0,5.0,50.0,5.0,50.0,602.0,3184.0,1533.0,34.0,31.0,1.0,19.0,7.0,667.0,81.0,33,2772.0,84.0,81.1,30.8,33,84.0,28.0,0,,1,1.12,26.0,41.0,-15.0,-0.49,-1.04,30.5,41.9,-11.4,-0.37,-0.28,10.0,1.0,0.0,35.0,61.0,1.0,80.0,57.0,35.0,0.0,0.0,0.0,148.0,51.0,44.0,53.7
Ximo Navarro,es ESP,DF,28.0,28.1,2.0,13.0,3.0,23.1,0.46,0.11,0.15,0.67,19.8,0.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3,763.0,996.0,76.6,14090.0,5699.0,313.0,363.0,86.2,345.0,418.0,82.5,91.0,166.0,54.8,2.0,1.5,1.5,0.5,10.0,49.0,13.0,13.0,68.0,996.0,824.0,171.0,39.0,0.0,6.0,43.0,130.0,0.0,0.0,0.0,0.0,763.0,1.0,22.0,28.0,0.99,17.0,2.0,4.0,1.0,4.0,0.0,4.0,0.14,3.0,0.0,0.0,0.0,1.0,0.0,57.0,35.0,44.0,12.0,1.0,32.0,45.0,71.1,13.0,25.0,11.0,14.0,47.0,104.0,143.0,1.0,1331.0,147.0,575.0,601.0,170.0,13.0,1331.0,21.0,15.0,71.4,6.0,28.6,556.0,3511.0,1716.0,35.0,27.0,1.0,26.0,14.0,588.0,38.0,31,2533.0,82.0,74.1,28.1,28,89.0,26.0,3,17.0,6,1.45,29.0,35.0,-6.0,-0.21,0.29,31.8,36.5,-4.7,-0.17,0.58,7.0,0.0,0.0,18.0,37.0,0.0,43.0,47.0,35.0,0.0,1.0,0.0,150.0,45.0,42.0,51.7
Tomás Pina Isla,es ESP,MF,30.0,26.0,2.0,12.0,2.0,16.7,0.46,0.08,0.17,1.0,17.1,0.0,0.0,0.0,1.4,1.4,0.12,0.6,0.6,876.0,1066.0,82.2,14800.0,5302.0,407.0,481.0,84.6,376.0,423.0,88.9,71.0,99.0,71.7,0.0,1.2,1.0,-1.2,22.0,102.0,8.0,1.0,132.0,1066.0,1055.0,8.0,6.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,876.0,3.0,21.0,53.0,2.04,46.0,1.0,1.0,0.0,5.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,64.0,41.0,23.0,36.0,5.0,18.0,46.0,39.1,28.0,15.0,4.0,11.0,41.0,105.0,43.0,1.0,1316.0,65.0,304.0,856.0,171.0,26.0,1316.0,16.0,10.0,62.5,6.0,37.5,644.0,2745.0,1146.0,12.0,11.0,1.0,28.0,18.0,736.0,14.0,28,2340.0,84.0,68.4,26.0,27,86.0,23.0,1,19.0,1,1.29,26.0,34.0,-8.0,-0.31,-0.06,29.9,37.8,-7.9,-0.3,0.04,13.0,0.0,0.0,58.0,51.0,1.0,7.0,41.0,41.0,0.0,1.0,0.0,219.0,57.0,53.0,51.8
Manu García,es ESP,MF,32.0,25.9,1.0,28.0,5.0,17.9,1.08,0.19,0.04,0.2,17.1,0.0,0.0,0.0,2.9,2.9,0.1,-1.9,-1.9,698.0,955.0,73.1,11470.0,3374.0,358.0,447.0,80.1,252.0,329.0,76.6,63.0,106.0,59.4,1.0,0.7,0.9,0.3,12.0,68.0,5.0,2.0,97.0,955.0,934.0,17.0,13.0,0.0,9.0,16.0,3.0,0.0,0.0,0.0,0.0,698.0,4.0,24.0,41.0,1.58,28.0,0.0,1.0,3.0,7.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,83.0,48.0,29.0,40.0,14.0,24.0,77.0,31.2,53.0,42.0,7.0,35.0,23.0,106.0,67.0,0.0,1265.0,81.0,322.0,756.0,201.0,41.0,1265.0,19.0,13.0,68.4,6.0,31.6,558.0,2554.0,1081.0,19.0,11.0,4.0,26.0,26.0,679.0,35.0,34,2330.0,69.0,68.1,25.9,25,87.0,21.0,9,17.0,3,1.35,26.0,36.0,-10.0,-0.39,-0.3,26.8,34.1,-7.3,-0.28,0.11,6.0,0.0,0.0,62.0,53.0,4.0,16.0,23.0,48.0,0.0,1.0,1.0,190.0,103.0,70.0,59.5
Martin Agirregabiria,es ESP,DF,22.0,22.6,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,23.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,653.0,964.0,67.7,10341.0,4920.0,340.0,413.0,82.3,246.0,343.0,71.7,47.0,137.0,34.3,0.0,0.5,0.9,-0.5,8.0,54.0,14.0,6.0,89.0,964.0,752.0,208.0,9.0,0.0,6.0,42.0,197.0,0.0,0.0,0.0,0.0,653.0,4.0,35.0,22.0,0.97,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,32.0,10.0,3.0,28.0,46.0,60.9,18.0,33.0,11.0,22.0,27.0,72.0,65.0,1.0,1200.0,89.0,403.0,595.0,218.0,9.0,1200.0,39.0,26.0,66.7,13.0,33.3,478.0,2887.0,1656.0,36.0,21.0,4.0,20.0,11.0,567.0,56.0,27,2032.0,75.0,59.4,22.6,23,88.0,18.0,4,5.0,4,1.37,24.0,30.0,-6.0,-0.27,0.06,24.4,31.6,-7.2,-0.32,-0.01,4.0,0.0,0.0,24.0,28.0,0.0,42.0,27.0,29.0,0.0,0.0,0.0,116.0,19.0,27.0,41.3
Guillermo Maripán,cl CHI,DF,24.0,22.3,2.0,15.0,4.0,26.7,0.67,0.18,0.13,0.5,9.7,0.0,0.0,0.0,2.5,2.5,0.17,-0.5,-0.5,533.0,709.0,75.2,12091.0,5470.0,150.0,182.0,82.4,256.0,293.0,87.4,121.0,209.0,57.9,2.0,1.0,0.4,1.0,3.0,31.0,1.0,0.0,48.0,709.0,638.0,70.0,70.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,1.0,8.0,18.0,0.81,11.0,1.0,0.0,5.0,1.0,0.0,5.0,0.22,2.0,1.0,0.0,2.0,0.0,0.0,46.0,26.0,34.0,12.0,0.0,26.0,38.0,68.4,12.0,35.0,19.0,16.0,40.0,86.0,133.0,2.0,1000.0,168.0,576.0,395.0,36.0,28.0,1000.0,4.0,2.0,50.0,2.0,50.0,365.0,1940.0,1147.0,10.0,4.0,1.0,5.0,1.0,420.0,1.0,23,2008.0,87.0,58.7,22.3,22,90.0,21.0,1,30.0,5,1.61,27.0,26.0,1.0,0.04,0.81,25.3,31.5,-6.2,-0.28,0.09,5.0,0.0,0.0,16.0,9.0,1.0,0.0,40.0,26.0,0.0,1.0,0.0,89.0,95.0,37.0,72.0
Wakaso,gh GHA,MF,28.0,18.5,1.0,31.0,6.0,19.4,1.67,0.32,0.03,0.17,26.9,1.0,0.0,0.0,1.2,1.2,0.04,-0.2,-0.2,503.0,678.0,74.2,10190.0,3051.0,179.0,217.0,82.5,222.0,276.0,80.4,88.0,144.0,61.1,1.0,0.4,0.6,0.6,8.0,66.0,12.0,4.0,80.0,678.0,648.0,25.0,7.0,0.0,15.0,24.0,14.0,2.0,0.0,1.0,0.0,503.0,5.0,14.0,29.0,1.56,19.0,2.0,1.0,4.0,2.0,1.0,3.0,0.16,2.0,0.0,0.0,0.0,0.0,1.0,46.0,30.0,23.0,19.0,4.0,12.0,36.0,33.3,24.0,37.0,9.0,28.0,16.0,62.0,19.0,2.0,889.0,30.0,215.0,546.0,144.0,6.0,889.0,28.0,19.0,67.9,9.0,32.1,450.0,2656.0,1209.0,18.0,19.0,0.0,23.0,17.0,500.0,34.0,29,1669.0,58.0,48.8,18.5,18,82.0,12.0,11,17.0,6,1.41,17.0,21.0,-4.0,-0.22,0.14,17.5,26.9,-9.4,-0.51,-0.37,9.0,0.0,0.0,33.0,31.0,1.0,24.0,16.0,30.0,0.0,0.0,0.0,138.0,18.0,38.0,32.1
