player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jan Oblak,si SVN,GK,25.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,476.0,864.0,55.1,17872.0,15366.0,55.0,56.0,98.2,163.0,168.0,97.0,258.0,637.0,40.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,864.0,495.0,366.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,3.0,0.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,1.0,930.0,818.0,929.0,1.0,0.0,0.0,930.0,1.0,1.0,100.0,0.0,0.0,379.0,3046.0,2442.0,0.0,0.0,0.0,2.0,0.0,257.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,0,2.03,53.0,27.0,26.0,0.7,0.7,45.4,39.2,6.2,0.17,0.96,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32.0,7.0,1.0,87.5
Antoine Griezmann,fr FRA,"FW,MF",27.0,35.5,15.0,110.0,42.0,38.2,3.1,1.18,0.11,0.29,19.8,16.0,3.0,3.0,13.9,11.6,0.11,1.1,0.4,1123.0,1510.0,74.4,16009.0,4255.0,647.0,764.0,84.7,290.0,391.0,74.2,92.0,175.0,52.6,8.0,7.7,7.4,0.3,73.0,79.0,60.0,5.0,136.0,1510.0,1341.0,160.0,52.0,22.0,16.0,101.0,12.0,61.0,26.0,20.0,0.0,1123.0,9.0,42.0,134.0,3.77,94.0,20.0,4.0,9.0,6.0,1.0,14.0,0.39,9.0,1.0,0.0,4.0,0.0,0.0,31.0,19.0,8.0,13.0,10.0,8.0,28.0,28.6,20.0,18.0,1.0,17.0,12.0,43.0,21.0,0.0,1830.0,26.0,159.0,689.0,1003.0,138.0,1827.0,44.0,20.0,45.5,24.0,54.5,1027.0,5363.0,2501.0,87.0,75.0,37.0,57.0,49.0,1380.0,241.0,37,3198.0,86.0,93.5,35.5,37,86.0,31.0,0,,0,1.97,52.0,29.0,23.0,0.65,-0.57,44.5,38.8,5.7,0.16,0.3,5.0,0.0,0.0,18.0,35.0,12.0,101.0,12.0,19.0,0.0,0.0,0.0,118.0,41.0,56.0,42.3
Saúl Ñíguez,es ESP,"MF,DF",23.0,32.5,4.0,51.0,19.0,37.3,1.57,0.58,0.08,0.21,19.9,1.0,0.0,1.0,5.0,4.1,0.08,-1.0,-0.1,1232.0,1619.0,76.1,18291.0,5554.0,679.0,774.0,87.7,417.0,556.0,75.0,71.0,140.0,50.7,1.0,1.3,2.1,-0.3,15.0,110.0,19.0,4.0,120.0,1619.0,1516.0,97.0,13.0,4.0,8.0,49.0,81.0,0.0,0.0,0.0,0.0,1232.0,6.0,41.0,46.0,1.42,32.0,0.0,5.0,5.0,4.0,0.0,7.0,0.22,6.0,0.0,0.0,1.0,0.0,0.0,83.0,56.0,35.0,41.0,7.0,32.0,81.0,39.5,49.0,57.0,10.0,47.0,42.0,125.0,86.0,1.0,2045.0,97.0,468.0,1059.0,540.0,66.0,2044.0,52.0,34.0,65.4,18.0,34.6,1001.0,5580.0,2537.0,56.0,43.0,10.0,46.0,32.0,1272.0,109.0,33,2925.0,89.0,85.5,32.5,32,90.0,32.0,1,45.0,1,2.0,46.0,26.0,20.0,0.62,-0.48,38.6,35.2,3.4,0.1,-0.25,10.0,0.0,0.0,55.0,26.0,7.0,49.0,42.0,56.0,0.0,1.0,1.0,204.0,93.0,60.0,60.8
Rodri,es ESP,MF,22.0,30.4,3.0,27.0,7.0,25.9,0.89,0.23,0.11,0.43,17.2,0.0,0.0,0.0,2.7,2.7,0.1,0.3,0.3,1756.0,1933.0,90.8,29871.0,8377.0,816.0,877.0,93.0,695.0,755.0,92.1,177.0,211.0,83.9,1.0,1.4,1.2,-0.4,17.0,163.0,8.0,0.0,152.0,1933.0,1892.0,38.0,37.0,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1756.0,3.0,11.0,46.0,1.51,41.0,1.0,1.0,3.0,0.0,0.0,4.0,0.13,3.0,0.0,0.0,1.0,0.0,0.0,103.0,70.0,45.0,50.0,8.0,39.0,75.0,52.0,36.0,35.0,11.0,24.0,41.0,144.0,68.0,0.0,2243.0,119.0,541.0,1417.0,301.0,29.0,2243.0,24.0,19.0,79.2,5.0,20.8,1299.0,6242.0,2692.0,26.0,31.0,3.0,20.0,29.0,1489.0,13.0,34,2735.0,80.0,80.0,30.4,32,83.0,23.0,2,35.0,3,2.03,42.0,20.0,22.0,0.72,0.2,38.8,32.5,6.3,0.21,0.33,5.0,0.0,0.0,59.0,43.0,1.0,2.0,41.0,70.0,0.0,0.0,0.0,280.0,77.0,35.0,68.8
Koke,es ESP,MF,26.0,28.7,3.0,21.0,6.0,28.6,0.73,0.21,0.14,0.5,20.9,1.0,0.0,0.0,1.5,1.5,0.07,1.5,1.5,1715.0,2081.0,82.4,25958.0,7698.0,915.0,982.0,93.2,517.0,617.0,83.8,153.0,296.0,51.7,5.0,4.8,6.1,0.2,61.0,154.0,26.0,4.0,174.0,2081.0,1892.0,179.0,72.0,14.0,18.0,118.0,12.0,87.0,33.0,40.0,0.0,1715.0,10.0,27.0,107.0,3.72,72.0,28.0,0.0,5.0,2.0,0.0,8.0,0.28,5.0,1.0,0.0,1.0,1.0,0.0,84.0,46.0,41.0,32.0,11.0,34.0,86.0,39.5,52.0,25.0,5.0,20.0,31.0,115.0,37.0,1.0,2335.0,48.0,398.0,1248.0,697.0,27.0,2335.0,17.0,13.0,76.5,4.0,23.5,1293.0,4773.0,2184.0,24.0,30.0,4.0,30.0,39.0,1689.0,72.0,30,2586.0,86.0,75.6,28.7,29,88.0,26.0,1,24.0,0,2.0,42.0,22.0,20.0,0.7,0.05,37.6,31.9,5.6,0.2,0.23,10.0,1.0,1.0,34.0,38.0,2.0,118.0,31.0,46.0,1.0,0.0,0.0,176.0,15.0,17.0,46.9
Diego Godín,uy URU,DF,32.0,27.9,3.0,14.0,8.0,57.1,0.5,0.29,0.21,0.38,7.8,0.0,0.0,0.0,2.6,2.6,0.18,0.4,0.4,844.0,1056.0,79.9,16070.0,7223.0,341.0,391.0,87.2,366.0,430.0,85.1,116.0,194.0,59.8,1.0,0.3,0.7,0.7,3.0,49.0,2.0,0.0,60.0,1056.0,994.0,54.0,53.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,844.0,8.0,3.0,13.0,0.47,10.0,0.0,0.0,2.0,0.0,1.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,52.0,30.0,33.0,19.0,0.0,20.0,42.0,47.6,22.0,22.0,9.0,13.0,45.0,97.0,141.0,2.0,1347.0,191.0,701.0,596.0,59.0,32.0,1347.0,11.0,10.0,90.9,1.0,9.1,626.0,3235.0,1789.0,12.0,11.0,0.0,12.0,0.0,710.0,3.0,30,2509.0,84.0,73.4,27.9,28,88.0,27.0,2,16.0,1,2.03,41.0,24.0,17.0,0.61,-0.28,35.9,32.0,3.9,0.14,0.0,6.0,0.0,0.0,32.0,24.0,0.0,0.0,45.0,30.0,0.0,0.0,1.0,138.0,83.0,51.0,61.9
Filipe Luís,br BRA,DF,32.0,22.6,2.0,10.0,6.0,60.0,0.44,0.27,0.2,0.33,20.6,0.0,0.0,0.0,0.8,0.8,0.08,1.2,1.2,1254.0,1537.0,81.6,18297.0,6454.0,720.0,776.0,92.8,406.0,500.0,81.2,68.0,160.0,42.5,2.0,1.1,1.9,0.9,15.0,95.0,25.0,7.0,110.0,1537.0,1310.0,225.0,31.0,0.0,7.0,54.0,194.0,0.0,0.0,0.0,0.0,1254.0,2.0,29.0,30.0,1.33,25.0,1.0,2.0,1.0,0.0,1.0,3.0,0.13,2.0,0.0,1.0,0.0,0.0,0.0,66.0,36.0,33.0,25.0,8.0,32.0,58.0,55.2,26.0,18.0,3.0,15.0,44.0,110.0,47.0,0.0,1757.0,71.0,462.0,871.0,438.0,33.0,1757.0,30.0,23.0,76.7,7.0,23.3,1045.0,5658.0,3360.0,71.0,62.0,6.0,15.0,19.0,1102.0,67.0,27,2030.0,75.0,59.4,22.6,24,80.0,15.0,3,40.0,2,1.96,33.0,18.0,15.0,0.67,-0.05,23.5,24.7,-1.2,-0.06,-0.48,4.0,0.0,0.0,26.0,14.0,2.0,54.0,44.0,36.0,0.0,1.0,0.0,143.0,18.0,10.0,64.3
Thomas Partey,gh GHA,MF,25.0,23.0,3.0,36.0,7.0,19.4,1.57,0.3,0.08,0.43,25.3,2.0,0.0,0.0,1.5,1.5,0.04,1.5,1.5,1133.0,1381.0,82.0,19019.0,6337.0,570.0,646.0,88.2,396.0,458.0,86.5,126.0,195.0,64.6,4.0,1.3,2.1,2.7,19.0,121.0,19.0,1.0,147.0,1381.0,1308.0,64.0,25.0,8.0,14.0,27.0,18.0,17.0,9.0,8.0,0.0,1133.0,9.0,14.0,61.0,2.65,46.0,7.0,3.0,2.0,3.0,0.0,10.0,0.43,6.0,1.0,2.0,0.0,1.0,0.0,66.0,42.0,32.0,25.0,9.0,21.0,49.0,42.9,28.0,26.0,5.0,21.0,49.0,115.0,22.0,2.0,1626.0,38.0,312.0,976.0,354.0,13.0,1626.0,42.0,36.0,85.7,6.0,14.3,985.0,4888.0,2567.0,36.0,39.0,3.0,30.0,19.0,1119.0,27.0,32,2070.0,65.0,60.5,23.0,22,82.0,16.0,10,27.0,4,2.03,33.0,21.0,12.0,0.52,-0.41,30.5,28.7,1.9,0.08,-0.15,9.0,1.0,1.0,31.0,21.0,0.0,27.0,49.0,42.0,0.0,0.0,0.0,144.0,39.0,31.0,55.7
Thomas Lemar,fr FRA,MF,22.0,20.2,3.0,26.0,12.0,46.2,1.29,0.59,0.12,0.25,20.9,1.0,0.0,0.0,3.0,3.0,0.12,0.0,0.0,825.0,1020.0,80.9,11702.0,3077.0,486.0,540.0,90.0,220.0,275.0,80.0,55.0,99.0,55.6,3.0,3.3,3.2,-0.3,38.0,61.0,28.0,5.0,84.0,1020.0,945.0,71.0,16.0,6.0,13.0,73.0,5.0,49.0,14.0,27.0,0.0,825.0,4.0,23.0,63.0,3.12,40.0,12.0,3.0,2.0,6.0,0.0,7.0,0.35,6.0,0.0,0.0,0.0,1.0,0.0,38.0,21.0,23.0,11.0,4.0,19.0,42.0,45.2,23.0,26.0,1.0,25.0,22.0,60.0,7.0,1.0,1259.0,8.0,168.0,579.0,529.0,34.0,1259.0,79.0,48.0,60.8,31.0,39.2,872.0,5201.0,2372.0,64.0,49.0,11.0,36.0,47.0,958.0,125.0,31,1817.0,59.0,53.1,20.2,22,70.0,5.0,9,30.0,1,1.97,29.0,11.0,18.0,0.89,0.44,23.6,19.4,4.1,0.2,0.13,4.0,0.0,0.0,23.0,33.0,7.0,73.0,22.0,21.0,0.0,0.0,0.0,106.0,8.0,25.0,24.2
Ángel Correa,ar ARG,"MF,FW",23.0,21.3,3.0,32.0,11.0,34.4,1.5,0.52,0.09,0.27,21.4,0.0,0.0,0.0,2.2,2.2,0.07,0.8,0.8,547.0,753.0,72.6,7219.0,1909.0,323.0,390.0,82.8,149.0,207.0,72.0,22.0,42.0,52.4,2.0,4.6,3.5,-2.6,37.0,51.0,22.0,2.0,77.0,753.0,743.0,7.0,2.0,13.0,5.0,34.0,2.0,2.0,1.0,1.0,0.0,547.0,3.0,34.0,85.0,3.99,62.0,0.0,7.0,5.0,8.0,3.0,11.0,0.52,9.0,0.0,0.0,1.0,0.0,1.0,38.0,19.0,19.0,12.0,7.0,10.0,53.0,18.9,43.0,28.0,5.0,23.0,17.0,55.0,20.0,0.0,1051.0,25.0,146.0,437.0,493.0,100.0,1051.0,101.0,63.0,62.4,38.0,37.6,690.0,4190.0,2077.0,71.0,55.0,26.0,64.0,61.0,760.0,151.0,36,1919.0,53.0,56.1,21.3,20,73.0,5.0,16,28.0,1,1.94,32.0,22.0,10.0,0.47,-0.49,27.8,25.9,1.9,0.09,-0.12,7.0,1.0,0.0,38.0,36.0,11.0,34.0,17.0,19.0,1.0,0.0,0.0,123.0,10.0,25.0,28.6
