player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Aïssa Mandi,dz ALG,DF,26.0,34.0,1.0,6.0,3.0,50.0,0.18,0.09,0.17,0.33,13.4,0.0,0.0,0.0,0.6,0.6,0.11,0.4,0.4,2407.0,2616.0,92.0,42318.0,15490.0,1064.0,1127.0,94.4,1072.0,1143.0,93.8,215.0,256.0,84.0,1.0,1.5,1.9,-0.5,16.0,182.0,10.0,3.0,172.0,2616.0,2499.0,116.0,97.0,1.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,2407.0,1.0,16.0,39.0,1.15,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,52.0,34.0,27.0,20.0,5.0,12.0,29.0,41.4,17.0,39.0,23.0,16.0,41.0,93.0,71.0,2.0,2851.0,221.0,1065.0,1529.0,269.0,24.0,2851.0,9.0,7.0,77.8,2.0,22.2,1651.0,6992.0,4283.0,23.0,38.0,3.0,11.0,5.0,2198.0,17.0,35,3059.0,87.0,89.4,34.0,34,89.0,32.0,1,45.0,1,1.34,40.0,46.0,-6.0,-0.18,0.32,40.1,45.2,-5.1,-0.15,-0.85,10.0,0.0,0.0,56.0,22.0,1.0,19.0,41.0,34.0,0.0,0.0,0.0,143.0,53.0,38.0,58.2
Pau López,es ESP,GK,23.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1015.0,1248.0,81.3,24142.0,16870.0,234.0,236.0,99.2,537.0,548.0,98.0,243.0,457.0,53.2,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1248.0,924.0,320.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,4.0,2.0,6.0,0.18,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,17.0,2.0,1308.0,1064.0,1291.0,17.0,0.0,0.0,1308.0,0.0,0.0,,0.0,,667.0,3277.0,2267.0,0.0,0.0,0.0,1.0,0.0,633.0,0.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,5,1.3,40.0,47.0,-7.0,-0.21,-0.01,39.1,43.5,-4.4,-0.13,-0.53,3.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,56.0,7.0,0.0,100.0
Marc Bartra,es ESP,DF,27.0,32.5,1.0,10.0,4.0,40.0,0.31,0.12,0.1,0.25,24.9,1.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,1991.0,2278.0,87.4,37979.0,13815.0,707.0,752.0,94.0,1059.0,1131.0,93.6,203.0,345.0,58.8,0.0,0.1,0.6,-0.1,4.0,125.0,5.0,0.0,109.0,2278.0,2205.0,67.0,66.0,0.0,25.0,5.0,1.0,0.0,0.0,0.0,0.0,1991.0,6.0,16.0,22.0,0.68,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,55.0,55.0,26.0,5.0,41.0,76.0,53.9,35.0,46.0,21.0,25.0,60.0,146.0,132.0,2.0,2679.0,236.0,1175.0,1398.0,125.0,21.0,2679.0,22.0,13.0,59.1,9.0,40.9,1569.0,9118.0,5799.0,32.0,43.0,3.0,26.0,13.0,1894.0,10.0,33,2928.0,89.0,85.6,32.5,33,89.0,31.0,0,,4,1.42,38.0,43.0,-5.0,-0.15,0.4,42.4,41.3,1.1,0.03,0.67,4.0,0.0,0.0,30.0,39.0,4.0,5.0,60.0,55.0,0.0,1.0,0.0,164.0,74.0,48.0,60.7
Sergio Canales,es ESP,MF,27.0,29.5,7.0,64.0,23.0,35.9,2.17,0.78,0.08,0.22,23.2,14.0,2.0,2.0,7.0,5.4,0.08,0.0,-0.4,1581.0,1898.0,83.3,25620.0,5038.0,787.0,846.0,93.0,585.0,664.0,88.1,133.0,254.0,52.4,2.0,4.8,5.5,-2.8,55.0,106.0,38.0,9.0,181.0,1898.0,1705.0,183.0,76.0,9.0,23.0,143.0,9.0,93.0,38.0,34.0,1.0,1581.0,10.0,31.0,95.0,3.22,63.0,20.0,6.0,1.0,4.0,1.0,7.0,0.24,5.0,0.0,1.0,0.0,1.0,0.0,44.0,30.0,19.0,18.0,7.0,11.0,53.0,20.8,42.0,34.0,3.0,31.0,9.0,53.0,8.0,1.0,2193.0,19.0,290.0,1037.0,905.0,73.0,2191.0,78.0,58.0,74.4,20.0,25.6,1375.0,9073.0,4259.0,113.0,94.0,13.0,68.0,54.0,1684.0,182.0,32,2655.0,83.0,77.6,29.5,30,87.0,25.0,2,29.0,1,1.28,34.0,43.0,-9.0,-0.31,-0.42,34.3,38.8,-4.5,-0.15,-0.41,5.0,0.0,0.0,28.0,50.0,11.0,143.0,9.0,30.0,0.0,0.0,0.0,150.0,6.0,22.0,21.4
Giovani Lo Celso,ar ARG,"MF,FW",22.0,26.6,9.0,60.0,25.0,41.7,2.25,0.94,0.12,0.28,20.3,2.0,2.0,4.0,8.2,5.0,0.08,0.8,2.0,1194.0,1461.0,81.7,18078.0,4211.0,632.0,713.0,88.6,425.0,487.0,87.3,66.0,106.0,62.3,4.0,4.0,3.8,0.0,27.0,119.0,40.0,1.0,175.0,1461.0,1398.0,50.0,33.0,15.0,11.0,15.0,9.0,5.0,0.0,2.0,2.0,1194.0,13.0,49.0,84.0,3.15,62.0,1.0,4.0,6.0,9.0,2.0,16.0,0.6,12.0,0.0,0.0,1.0,2.0,1.0,52.0,31.0,16.0,28.0,8.0,9.0,35.0,25.7,26.0,24.0,1.0,23.0,17.0,69.0,8.0,0.0,1802.0,14.0,168.0,957.0,706.0,100.0,1798.0,103.0,63.0,61.2,40.0,38.8,1238.0,8578.0,4404.0,127.0,96.0,23.0,69.0,54.0,1466.0,125.0,32,2397.0,75.0,70.1,26.6,27,85.0,19.0,5,21.0,1,1.25,35.0,39.0,-4.0,-0.15,0.2,35.7,34.7,1.0,0.04,0.33,5.0,0.0,0.0,36.0,67.0,1.0,15.0,17.0,31.0,1.0,0.0,0.0,107.0,16.0,23.0,41.0
Andrés Guardado,mx MEX,"MF,DF",31.0,25.9,0.0,26.0,5.0,19.2,1.0,0.19,0.0,0.0,23.5,2.0,0.0,0.0,1.4,1.4,0.06,-1.4,-1.4,1453.0,1684.0,86.3,25347.0,5869.0,685.0,744.0,92.1,583.0,653.0,89.3,144.0,205.0,70.2,4.0,3.6,3.2,0.4,31.0,118.0,26.0,5.0,151.0,1684.0,1565.0,110.0,51.0,7.0,27.0,49.0,34.0,23.0,2.0,7.0,5.0,1453.0,9.0,21.0,71.0,2.74,59.0,6.0,1.0,0.0,5.0,0.0,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,9.0,12.0,3.0,11.0,47.0,23.4,36.0,27.0,1.0,26.0,28.0,52.0,28.0,1.0,1881.0,42.0,317.0,1081.0,498.0,25.0,1881.0,35.0,24.0,68.6,11.0,31.4,1205.0,6391.0,3232.0,57.0,59.0,6.0,37.0,23.0,1407.0,85.0,31,2335.0,75.0,68.3,25.9,27,82.0,19.0,4,30.0,0,1.26,31.0,40.0,-9.0,-0.35,-0.43,33.9,33.5,0.5,0.02,0.25,8.0,0.0,0.0,44.0,38.0,2.0,49.0,28.0,15.0,0.0,1.0,0.0,155.0,15.0,27.0,35.7
William Carvalho,pt POR,MF,26.0,26.5,0.0,10.0,2.0,20.0,0.38,0.08,0.0,0.0,18.8,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,1696.0,1912.0,88.7,28860.0,7849.0,806.0,876.0,92.0,660.0,717.0,92.1,176.0,223.0,78.9,5.0,1.8,2.4,3.2,18.0,195.0,24.0,0.0,199.0,1912.0,1871.0,37.0,36.0,7.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,1696.0,4.0,18.0,63.0,2.38,55.0,0.0,5.0,0.0,2.0,1.0,9.0,0.34,8.0,0.0,1.0,0.0,0.0,0.0,45.0,27.0,20.0,21.0,4.0,16.0,29.0,55.2,13.0,8.0,0.0,8.0,12.0,57.0,30.0,0.0,2083.0,61.0,377.0,1419.0,305.0,12.0,2083.0,58.0,43.0,74.1,15.0,25.9,1309.0,6052.0,3162.0,47.0,33.0,2.0,17.0,35.0,1676.0,31.0,30,2385.0,80.0,69.7,26.5,26,87.0,20.0,4,29.0,0,1.27,32.0,37.0,-5.0,-0.19,0.07,31.3,38.3,-7.0,-0.26,-0.67,7.0,0.0,0.0,24.0,35.0,2.0,3.0,12.0,27.0,0.0,0.0,0.0,202.0,40.0,17.0,70.2
Loren Morón,es ESP,FW,24.0,21.7,6.0,58.0,28.0,48.3,2.67,1.29,0.1,0.21,14.2,0.0,0.0,0.0,8.9,8.6,0.15,-2.9,-2.6,259.0,355.0,73.0,3182.0,581.0,159.0,190.0,83.7,70.0,96.0,72.9,6.0,14.0,42.9,0.0,1.2,0.6,-1.2,11.0,13.0,7.0,0.0,26.0,355.0,317.0,36.0,2.0,1.0,3.0,11.0,5.0,0.0,0.0,0.0,0.0,259.0,2.0,25.0,37.0,1.7,20.0,0.0,3.0,3.0,10.0,1.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,18.0,12.0,4.0,11.0,3.0,6.0,27.0,22.2,21.0,24.0,1.0,23.0,6.0,24.0,18.0,0.0,625.0,20.0,52.0,291.0,287.0,92.0,625.0,44.0,15.0,34.1,29.0,65.9,371.0,1812.0,556.0,15.0,18.0,6.0,59.0,43.0,436.0,115.0,33,1957.0,59.0,57.2,21.7,22,80.0,10.0,11,18.0,4,1.12,24.0,27.0,-3.0,-0.14,0.17,27.5,24.4,3.1,0.14,0.48,4.0,0.0,0.0,30.0,47.0,25.0,11.0,6.0,12.0,2.0,0.0,0.0,35.0,23.0,52.0,30.7
Junior Firpo,es ESP,"DF,FW",21.0,21.5,3.0,19.0,7.0,36.8,0.88,0.33,0.16,0.43,13.4,0.0,0.0,0.0,2.2,2.2,0.12,0.8,0.8,914.0,1138.0,80.3,13603.0,3975.0,534.0,602.0,88.7,311.0,391.0,79.5,47.0,84.0,56.0,4.0,2.2,3.1,1.8,20.0,49.0,14.0,2.0,83.0,1138.0,949.0,184.0,20.0,1.0,6.0,35.0,164.0,0.0,0.0,0.0,0.0,914.0,5.0,20.0,36.0,1.67,27.0,0.0,5.0,1.0,2.0,1.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,16.0,14.0,8.0,10.0,24.0,41.7,14.0,27.0,2.0,25.0,23.0,61.0,48.0,0.0,1361.0,49.0,319.0,588.0,469.0,80.0,1361.0,45.0,31.0,68.9,14.0,31.1,717.0,3958.0,2420.0,73.0,40.0,21.0,25.0,15.0,861.0,171.0,24,1937.0,81.0,56.6,21.5,22,87.0,20.0,2,17.0,1,1.46,22.0,30.0,-8.0,-0.37,-0.37,27.1,28.1,-1.0,-0.05,0.03,7.0,0.0,0.0,30.0,26.0,4.0,35.0,23.0,25.0,1.0,0.0,0.0,105.0,34.0,22.0,60.7
Francis Guerrero,es ESP,"DF,FW",22.0,19.8,0.0,10.0,3.0,30.0,0.51,0.15,0.0,0.0,18.0,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,776.0,997.0,77.8,10786.0,3486.0,482.0,546.0,88.3,227.0,290.0,78.3,35.0,77.0,45.5,1.0,1.4,2.1,-0.4,14.0,25.0,20.0,8.0,44.0,997.0,836.0,158.0,13.0,0.0,4.0,66.0,145.0,0.0,0.0,0.0,0.0,776.0,3.0,42.0,33.0,1.67,27.0,2.0,0.0,0.0,4.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,51.0,28.0,25.0,16.0,10.0,23.0,41.0,56.1,18.0,15.0,1.0,14.0,21.0,72.0,47.0,4.0,1207.0,40.0,356.0,442.0,420.0,37.0,1207.0,31.0,15.0,48.4,16.0,51.6,657.0,3839.0,2107.0,59.0,48.0,17.0,23.0,19.0,779.0,153.0,22,1778.0,81.0,52.0,19.8,22,81.0,10.0,0,,4,1.32,18.0,21.0,-3.0,-0.15,0.12,20.6,20.4,0.2,0.01,0.15,2.0,0.0,0.0,9.0,39.0,1.0,66.0,21.0,28.0,0.0,0.0,0.0,79.0,8.0,21.0,27.6
