player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Diego López,es ESP,GK,36.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,835.0,1205.0,69.3,25991.0,19055.0,94.0,94.0,100.0,403.0,411.0,98.1,336.0,694.0,48.4,0.0,0.0,0.1,0.0,1.0,17.0,0.0,0.0,1.0,1205.0,741.0,460.0,127.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,4.0,0.0,4.0,0.11,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,9.0,3.0,1277.0,1125.0,1273.0,4.0,0.0,0.0,1277.0,1.0,1.0,100.0,0.0,0.0,580.0,3627.0,2582.0,0.0,1.0,1.0,2.0,0.0,461.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.39,48.0,50.0,-2.0,-0.05,,48.9,53.8,-4.9,-0.13,,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,6.0,1.0,85.7
Marc Roca,es ESP,MF,21.0,34.6,1.0,23.0,9.0,39.1,0.67,0.26,0.04,0.11,25.9,0.0,0.0,0.0,1.7,1.7,0.07,-0.7,-0.7,1702.0,1965.0,86.6,32538.0,10561.0,680.0,766.0,88.8,749.0,832.0,90.0,241.0,299.0,80.6,2.0,3.6,2.9,-1.6,23.0,196.0,21.0,0.0,259.0,1965.0,1894.0,69.0,65.0,12.0,31.0,5.0,2.0,2.0,2.0,0.0,0.0,1702.0,2.0,14.0,70.0,2.02,64.0,1.0,0.0,3.0,0.0,2.0,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0,71.0,45.0,36.0,26.0,9.0,28.0,70.0,40.0,42.0,43.0,21.0,22.0,36.0,107.0,60.0,3.0,2273.0,141.0,641.0,1373.0,277.0,17.0,2273.0,40.0,29.0,72.5,11.0,27.5,1306.0,6007.0,3353.0,29.0,31.0,4.0,21.0,24.0,1541.0,23.0,35,3112.0,89.0,91.0,34.6,35,89.0,31.0,0,,1,1.49,46.0,44.0,2.0,0.06,1.23,44.8,48.3,-3.4,-0.1,0.31,9.0,0.0,0.0,60.0,27.0,0.0,5.0,36.0,45.0,0.0,0.0,0.0,236.0,43.0,40.0,51.8
Borja Iglesias,es ESP,FW,25.0,34.2,17.0,87.0,35.0,40.2,2.55,1.02,0.16,0.4,15.2,0.0,3.0,3.0,16.0,13.6,0.16,1.0,0.4,477.0,688.0,69.3,6574.0,925.0,294.0,385.0,76.4,129.0,181.0,71.3,24.0,39.0,61.5,3.0,4.1,2.5,-1.1,42.0,24.0,11.0,1.0,31.0,688.0,610.0,78.0,2.0,5.0,4.0,12.0,2.0,1.0,0.0,1.0,0.0,477.0,0.0,42.0,82.0,2.4,52.0,0.0,8.0,12.0,10.0,0.0,11.0,0.32,6.0,0.0,1.0,4.0,0.0,0.0,23.0,14.0,7.0,8.0,8.0,5.0,24.0,20.8,19.0,14.0,6.0,8.0,7.0,30.0,41.0,0.0,1073.0,52.0,108.0,462.0,521.0,154.0,1070.0,51.0,23.0,45.1,27.0,52.9,647.0,3399.0,1291.0,52.0,32.0,25.0,109.0,65.0,771.0,251.0,37,3075.0,83.0,89.9,34.2,35,86.0,25.0,2,29.0,0,1.41,45.0,42.0,3.0,0.09,1.39,45.1,48.5,-3.5,-0.1,0.26,5.0,0.0,0.0,56.0,51.0,45.0,12.0,7.0,14.0,0.0,0.0,0.0,85.0,59.0,75.0,44.0
Sergi Darder,es ESP,MF,24.0,30.1,4.0,55.0,16.0,29.1,1.83,0.53,0.07,0.25,23.5,1.0,0.0,0.0,2.9,2.9,0.05,1.1,1.1,1010.0,1307.0,77.3,17918.0,5586.0,468.0,535.0,87.5,402.0,494.0,81.4,120.0,200.0,60.0,2.0,3.8,3.9,-1.8,37.0,125.0,30.0,7.0,169.0,1307.0,1222.0,73.0,37.0,13.0,10.0,56.0,4.0,32.0,8.0,9.0,8.0,1010.0,12.0,29.0,86.0,2.86,61.0,9.0,5.0,7.0,3.0,1.0,4.0,0.13,2.0,1.0,0.0,1.0,0.0,0.0,60.0,35.0,23.0,32.0,5.0,25.0,69.0,36.2,44.0,18.0,3.0,15.0,22.0,82.0,30.0,0.0,1595.0,37.0,276.0,873.0,478.0,44.0,1595.0,55.0,33.0,60.0,22.0,40.0,990.0,5904.0,2829.0,53.0,42.0,10.0,45.0,23.0,1123.0,96.0,34,2709.0,80.0,79.2,30.1,32,84.0,21.0,2,12.0,1,1.44,39.0,39.0,0.0,0.0,0.25,40.1,42.5,-2.5,-0.08,0.22,8.0,1.0,1.0,31.0,30.0,1.0,56.0,22.0,35.0,0.0,0.0,0.0,143.0,17.0,24.0,41.5
Mario Hermoso,es ESP,DF,23.0,31.2,3.0,27.0,11.0,40.7,0.87,0.35,0.11,0.27,24.1,7.0,0.0,0.0,2.6,2.6,0.12,0.4,0.4,1355.0,1625.0,83.4,29066.0,10469.0,424.0,465.0,91.2,669.0,760.0,88.0,245.0,353.0,69.4,0.0,0.4,0.9,-0.4,5.0,72.0,2.0,0.0,84.0,1625.0,1551.0,65.0,60.0,4.0,47.0,1.0,5.0,0.0,0.0,0.0,0.0,1355.0,9.0,11.0,21.0,0.67,14.0,0.0,1.0,5.0,0.0,1.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,38.0,24.0,29.0,7.0,2.0,21.0,39.0,53.8,18.0,34.0,25.0,9.0,37.0,75.0,175.0,2.0,1954.0,265.0,1084.0,823.0,70.0,27.0,1954.0,12.0,9.0,75.0,3.0,25.0,1002.0,4647.0,2836.0,21.0,8.0,1.0,6.0,6.0,1217.0,11.0,32,2806.0,88.0,82.0,31.2,31,90.0,30.0,1,27.0,0,1.47,42.0,36.0,6.0,0.19,1.37,38.8,43.1,-4.3,-0.14,-0.06,7.0,0.0,0.0,22.0,29.0,2.0,1.0,37.0,24.0,0.0,2.0,0.0,181.0,70.0,43.0,61.9
Dídac Vilà,es ESP,DF,29.0,26.2,0.0,25.0,8.0,32.0,0.96,0.31,0.0,0.0,17.4,0.0,0.0,0.0,1.9,1.9,0.08,-1.9,-1.9,1009.0,1418.0,71.2,17286.0,6271.0,498.0,572.0,87.1,413.0,563.0,73.4,86.0,201.0,42.8,2.0,3.0,3.6,-1.0,20.0,77.0,25.0,7.0,119.0,1418.0,1163.0,245.0,25.0,0.0,16.0,77.0,220.0,0.0,0.0,0.0,0.0,1009.0,10.0,46.0,41.0,1.57,33.0,3.0,0.0,3.0,2.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,67.0,31.0,33.0,26.0,8.0,31.0,58.0,53.4,27.0,41.0,12.0,29.0,53.0,120.0,94.0,1.0,1761.0,108.0,542.0,767.0,468.0,58.0,1761.0,16.0,9.0,56.3,7.0,43.8,878.0,5013.0,2983.0,76.0,58.0,5.0,28.0,17.0,984.0,168.0,27,2354.0,87.0,68.8,26.2,27,87.0,23.0,0,,4,1.26,30.0,38.0,-8.0,-0.31,-0.81,34.8,39.4,-4.6,-0.18,-0.16,11.0,0.0,0.0,38.0,29.0,1.0,77.0,53.0,31.0,0.0,1.0,0.0,131.0,48.0,34.0,58.5
Esteban Granero,es ESP,MF,31.0,22.4,3.0,30.0,7.0,23.3,1.34,0.31,0.1,0.43,24.3,13.0,0.0,0.0,1.8,1.8,0.06,1.2,1.2,988.0,1201.0,82.3,17134.0,4971.0,443.0,494.0,89.7,403.0,459.0,87.8,106.0,183.0,57.9,1.0,1.5,2.5,-0.5,29.0,87.0,16.0,3.0,113.0,1201.0,1048.0,149.0,84.0,5.0,10.0,76.0,1.0,64.0,10.0,31.0,3.0,988.0,4.0,18.0,79.0,3.53,46.0,23.0,2.0,3.0,3.0,2.0,6.0,0.27,3.0,2.0,0.0,0.0,0.0,1.0,50.0,32.0,26.0,18.0,6.0,17.0,50.0,34.0,33.0,42.0,8.0,34.0,26.0,76.0,34.0,2.0,1423.0,63.0,290.0,777.0,376.0,6.0,1423.0,40.0,34.0,85.0,6.0,15.0,799.0,4404.0,2010.0,39.0,36.0,2.0,26.0,36.0,936.0,36.0,28,2013.0,72.0,58.9,22.4,24,81.0,13.0,4,19.0,7,1.21,26.0,30.0,-4.0,-0.18,-0.31,27.4,33.7,-6.3,-0.28,-0.38,11.0,0.0,0.0,38.0,42.0,0.0,76.0,26.0,32.0,0.0,1.0,0.0,133.0,21.0,29.0,42.0
Óscar Melendo,es ESP,"MF,FW",20.0,22.2,0.0,9.0,5.0,55.6,0.41,0.23,0.0,0.0,21.0,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,746.0,889.0,83.9,11225.0,2730.0,389.0,435.0,89.4,266.0,304.0,87.5,52.0,73.0,71.2,5.0,4.0,3.0,1.0,34.0,63.0,40.0,3.0,126.0,889.0,866.0,16.0,6.0,13.0,1.0,13.0,1.0,9.0,3.0,0.0,0.0,746.0,7.0,19.0,70.0,3.15,58.0,3.0,2.0,1.0,5.0,1.0,7.0,0.32,5.0,0.0,0.0,0.0,1.0,1.0,17.0,8.0,7.0,6.0,4.0,10.0,26.0,38.5,16.0,17.0,1.0,16.0,13.0,30.0,9.0,0.0,1055.0,11.0,148.0,554.0,367.0,25.0,1055.0,50.0,34.0,68.0,16.0,32.0,713.0,4315.0,1935.0,46.0,62.0,3.0,38.0,31.0,846.0,104.0,32,1997.0,62.0,58.4,22.2,22,81.0,6.0,10,22.0,6,1.34,34.0,20.0,14.0,0.63,1.64,33.2,29.6,3.5,0.16,0.69,3.0,0.0,0.0,11.0,56.0,0.0,13.0,13.0,8.0,0.0,0.0,0.0,99.0,8.0,35.0,18.6
Javi López,es ESP,DF,32.0,21.6,0.0,7.0,1.0,14.3,0.32,0.05,0.0,0.0,19.2,0.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,848.0,1112.0,76.3,13724.0,4920.0,427.0,473.0,90.3,355.0,455.0,78.0,53.0,121.0,43.8,1.0,0.9,1.4,0.1,17.0,63.0,21.0,7.0,86.0,1112.0,887.0,217.0,20.0,1.0,5.0,57.0,197.0,0.0,0.0,0.0,0.0,848.0,8.0,30.0,38.0,1.76,36.0,1.0,0.0,1.0,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,63.0,40.0,37.0,22.0,4.0,28.0,60.0,46.7,32.0,27.0,5.0,22.0,40.0,103.0,90.0,0.0,1372.0,93.0,475.0,621.0,293.0,8.0,1372.0,26.0,19.0,73.1,7.0,26.9,690.0,3590.0,1926.0,43.0,37.0,3.0,21.0,16.0,742.0,79.0,23,1948.0,85.0,57.0,21.6,21,89.0,18.0,2,36.0,7,1.26,25.0,33.0,-8.0,-0.37,-0.74,26.3,32.8,-6.5,-0.3,-0.4,5.0,1.0,1.0,32.0,35.0,0.0,57.0,40.0,40.0,0.0,0.0,0.0,112.0,31.0,27.0,53.4
David López,es ESP,DF,28.0,20.2,0.0,9.0,2.0,22.2,0.45,0.1,0.0,0.0,18.1,0.0,0.0,0.0,1.0,1.0,0.11,-1.0,-1.0,1070.0,1213.0,88.2,21115.0,8037.0,360.0,402.0,89.6,549.0,589.0,93.2,147.0,201.0,73.1,0.0,0.3,0.4,-0.3,5.0,72.0,6.0,1.0,81.0,1213.0,1148.0,64.0,61.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,1070.0,1.0,7.0,21.0,1.04,18.0,0.0,1.0,1.0,1.0,0.0,3.0,0.15,1.0,0.0,0.0,1.0,1.0,0.0,27.0,18.0,15.0,10.0,2.0,10.0,22.0,45.5,12.0,18.0,12.0,6.0,28.0,55.0,65.0,2.0,1372.0,141.0,687.0,634.0,60.0,21.0,1372.0,9.0,6.0,66.7,3.0,33.3,835.0,4849.0,2939.0,23.0,9.0,1.0,6.0,2.0,935.0,9.0,21,1819.0,87.0,53.2,20.2,21,87.0,20.0,0,,0,1.38,24.0,29.0,-5.0,-0.25,-0.42,26.4,30.6,-4.2,-0.21,-0.17,4.0,0.0,0.0,18.0,17.0,0.0,2.0,28.0,18.0,1.0,1.0,1.0,101.0,51.0,39.0,56.7
