player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Portu,es ESP,"FW,MF",26.0,31.3,9.0,36.0,17.0,47.2,1.15,0.54,0.22,0.47,13.7,0.0,1.0,1.0,7.9,7.1,0.2,1.1,0.9,480.0,701.0,68.5,6769.0,1838.0,280.0,348.0,80.5,149.0,222.0,67.1,22.0,50.0,44.0,2.0,4.2,4.7,-2.2,33.0,38.0,35.0,13.0,85.0,701.0,686.0,11.0,5.0,4.0,3.0,72.0,4.0,0.0,0.0,0.0,0.0,480.0,4.0,35.0,82.0,2.62,63.0,0.0,7.0,4.0,6.0,2.0,8.0,0.26,7.0,0.0,0.0,1.0,0.0,0.0,33.0,24.0,8.0,15.0,10.0,12.0,43.0,27.9,31.0,16.0,1.0,15.0,8.0,41.0,5.0,0.0,996.0,4.0,76.0,377.0,558.0,133.0,995.0,70.0,32.0,45.7,38.0,54.3,685.0,4329.0,2206.0,98.0,64.0,27.0,66.0,64.0,761.0,269.0,34,2821.0,83.0,82.5,31.3,33,85.0,20.0,1,24.0,0,0.79,31.0,47.0,-16.0,-0.51,-0.51,35.6,39.1,-3.5,-0.11,0.75,3.0,0.0,0.0,26.0,42.0,11.0,72.0,8.0,24.0,0.0,0.0,0.0,104.0,24.0,83.0,22.4
Yassine Bounou,ma MAR,GK,27.0,31.8,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,7.4,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1,660.0,984.0,67.1,21715.0,15369.0,51.0,51.0,100.0,312.0,319.0,97.8,296.0,611.0,48.4,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,984.0,633.0,349.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,2.0,0.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,1062.0,975.0,1060.0,1.0,1.0,1.0,1062.0,1.0,1.0,100.0,0.0,0.0,530.0,3130.0,2043.0,0.0,1.0,1.0,2.0,1.0,396.0,0.0,32,2861.0,89.0,83.7,31.8,32,89.0,31.0,0,,1,1.06,33.0,43.0,-10.0,-0.31,0.65,38.8,42.5,-3.7,-0.12,0.78,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,5.0,0.0,100.0
Pere Pons,es ESP,MF,25.0,31.0,1.0,19.0,6.0,31.6,0.61,0.19,0.05,0.17,21.0,0.0,0.0,0.0,1.6,1.6,0.09,-0.6,-0.6,932.0,1199.0,77.7,15015.0,4308.0,464.0,563.0,82.4,363.0,446.0,81.4,68.0,107.0,63.6,2.0,2.0,1.2,0.0,17.0,86.0,11.0,2.0,117.0,1199.0,1183.0,13.0,12.0,3.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,932.0,3.0,21.0,50.0,1.61,38.0,0.0,4.0,3.0,5.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,83.0,46.0,34.0,38.0,11.0,30.0,82.0,36.6,52.0,48.0,12.0,36.0,35.0,118.0,39.0,0.0,1557.0,56.0,324.0,974.0,283.0,24.0,1557.0,53.0,27.0,50.9,26.0,49.1,740.0,4155.0,2061.0,46.0,41.0,8.0,45.0,38.0,945.0,57.0,34,2792.0,82.0,81.6,31.0,32,86.0,25.0,2,18.0,3,0.97,27.0,42.0,-15.0,-0.48,-0.34,33.1,42.0,-8.9,-0.29,-0.25,4.0,0.0,0.0,70.0,49.0,0.0,11.0,35.0,46.0,0.0,1.0,0.0,177.0,48.0,68.0,41.4
Juanpe,es ESP,DF,27.0,30.7,0.0,21.0,6.0,28.6,0.68,0.2,0.0,0.0,13.9,0.0,0.0,0.0,1.7,1.7,0.08,-1.7,-1.7,1277.0,1579.0,80.9,26167.0,10792.0,385.0,434.0,88.7,708.0,798.0,88.7,176.0,309.0,57.0,0.0,0.2,0.3,-0.2,5.0,63.0,3.0,0.0,91.0,1579.0,1472.0,100.0,80.0,0.0,21.0,4.0,20.0,0.0,0.0,0.0,0.0,1277.0,7.0,15.0,14.0,0.46,9.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,25.0,32.0,15.0,1.0,24.0,45.0,53.3,21.0,31.0,15.0,16.0,57.0,105.0,138.0,0.0,1896.0,173.0,1016.0,833.0,64.0,36.0,1896.0,12.0,10.0,83.3,2.0,16.7,979.0,4921.0,3049.0,18.0,3.0,0.0,10.0,1.0,1167.0,3.0,33,2767.0,84.0,80.9,30.7,31,88.0,29.0,2,23.0,1,0.94,31.0,44.0,-13.0,-0.42,-0.01,36.9,41.5,-4.6,-0.15,0.48,8.0,0.0,0.0,38.0,10.0,2.0,4.0,57.0,25.0,0.0,1.0,0.0,140.0,106.0,56.0,65.4
Bernardo Espinosa,co COL,DF,29.0,30.3,1.0,15.0,6.0,40.0,0.5,0.2,0.07,0.17,9.1,0.0,0.0,0.0,2.1,2.1,0.14,-1.1,-1.1,1198.0,1397.0,85.8,26059.0,8879.0,273.0,306.0,89.2,730.0,801.0,91.1,190.0,263.0,72.2,1.0,1.2,1.1,-0.2,9.0,21.0,3.0,0.0,49.0,1397.0,1351.0,42.0,41.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1198.0,4.0,6.0,18.0,0.59,16.0,0.0,0.0,2.0,0.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,20.0,14.0,16.0,4.0,0.0,8.0,17.0,47.1,9.0,46.0,31.0,15.0,40.0,60.0,197.0,5.0,1748.0,279.0,1055.0,626.0,72.0,46.0,1748.0,3.0,3.0,100.0,0.0,0.0,807.0,3010.0,1310.0,0.0,3.0,0.0,10.0,3.0,1031.0,6.0,31,2727.0,88.0,79.7,30.3,31,88.0,29.0,0,,4,0.97,31.0,43.0,-12.0,-0.4,0.12,33.9,43.3,-9.5,-0.31,-0.34,6.0,2.0,2.0,33.0,6.0,3.0,0.0,40.0,14.0,0.0,1.0,0.0,128.0,130.0,66.0,66.3
Cristhian Stuani,uy URU,FW,31.0,30.3,19.0,72.0,34.0,47.2,2.37,1.12,0.19,0.41,12.0,0.0,5.0,5.0,14.1,10.4,0.15,4.9,3.6,343.0,507.0,67.7,4589.0,572.0,208.0,284.0,73.2,106.0,155.0,68.4,8.0,17.0,47.1,0.0,1.0,1.0,-1.0,14.0,19.0,4.0,0.0,30.0,507.0,437.0,69.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,343.0,1.0,11.0,49.0,1.62,24.0,1.0,4.0,5.0,15.0,0.0,8.0,0.26,3.0,0.0,2.0,0.0,3.0,0.0,23.0,13.0,7.0,13.0,3.0,5.0,20.0,25.0,15.0,13.0,1.0,12.0,4.0,27.0,39.0,0.0,821.0,39.0,72.0,423.0,331.0,138.0,816.0,29.0,14.0,48.3,15.0,51.7,429.0,1661.0,461.0,12.0,14.0,7.0,61.0,37.0,592.0,129.0,32,2729.0,85.0,79.8,30.3,30,89.0,26.0,2,25.0,0,0.97,29.0,40.0,-11.0,-0.36,0.29,36.1,37.1,-1.0,-0.03,1.03,9.0,0.0,0.0,89.0,74.0,24.0,3.0,4.0,13.0,2.0,0.0,0.0,60.0,114.0,112.0,50.4
Borja García,es ESP,"MF,FW",27.0,29.2,1.0,32.0,13.0,40.6,1.1,0.45,0.03,0.08,22.2,0.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,1085.0,1345.0,80.7,17344.0,4003.0,587.0,655.0,89.6,348.0,426.0,81.7,106.0,176.0,60.2,3.0,4.8,3.7,-1.8,36.0,88.0,40.0,4.0,148.0,1345.0,1309.0,32.0,9.0,21.0,15.0,42.0,11.0,8.0,2.0,3.0,0.0,1085.0,4.0,23.0,78.0,2.67,61.0,4.0,2.0,3.0,7.0,1.0,6.0,0.21,5.0,0.0,0.0,0.0,1.0,0.0,39.0,27.0,17.0,15.0,7.0,22.0,44.0,50.0,22.0,23.0,2.0,21.0,38.0,77.0,17.0,0.0,1643.0,20.0,249.0,985.0,436.0,32.0,1643.0,61.0,37.0,60.7,24.0,39.3,1117.0,5416.0,2385.0,59.0,62.0,5.0,62.0,52.0,1312.0,169.0,33,2629.0,80.0,76.9,29.2,30,84.0,19.0,3,38.0,0,1.03,31.0,38.0,-7.0,-0.24,0.78,32.6,39.5,-6.9,-0.24,0.03,0.0,1.0,0.0,19.0,103.0,4.0,42.0,38.0,27.0,0.0,0.0,0.0,206.0,20.0,34.0,37.0
Álex Granell,es ESP,"MF,DF",29.0,26.6,0.0,39.0,7.0,17.9,1.47,0.26,0.0,0.0,29.2,8.0,0.0,0.0,1.2,1.2,0.03,-1.2,-1.2,1088.0,1533.0,71.0,21139.0,8385.0,457.0,531.0,86.1,435.0,559.0,77.8,169.0,369.0,45.8,4.0,6.0,6.0,-2.0,50.0,142.0,37.0,21.0,182.0,1533.0,1284.0,237.0,128.0,3.0,35.0,173.0,42.0,66.0,40.0,21.0,0.0,1088.0,12.0,24.0,94.0,3.54,55.0,29.0,3.0,1.0,6.0,0.0,5.0,0.19,1.0,4.0,0.0,0.0,0.0,0.0,64.0,28.0,30.0,31.0,3.0,34.0,83.0,41.0,49.0,34.0,5.0,29.0,35.0,99.0,36.0,1.0,1794.0,51.0,362.0,1030.0,420.0,11.0,1794.0,31.0,21.0,67.7,10.0,32.3,944.0,4603.0,2504.0,46.0,42.0,2.0,24.0,27.0,1119.0,80.0,32,2391.0,75.0,69.9,26.6,26,87.0,20.0,6,21.0,3,1.03,28.0,40.0,-12.0,-0.45,-0.1,31.2,35.8,-4.6,-0.17,0.23,5.0,0.0,0.0,33.0,48.0,1.0,173.0,35.0,28.0,0.0,0.0,0.0,164.0,30.0,32.0,48.4
Pedro Porro,es ESP,DF,18.0,24.6,0.0,23.0,6.0,26.1,0.94,0.24,0.0,0.0,22.9,0.0,0.0,0.0,1.6,1.6,0.07,-1.6,-1.6,837.0,1246.0,67.2,14762.0,5366.0,397.0,474.0,83.8,328.0,467.0,70.2,92.0,206.0,44.7,4.0,2.9,3.3,1.1,25.0,71.0,34.0,20.0,109.0,1246.0,976.0,264.0,13.0,1.0,12.0,124.0,251.0,0.0,0.0,0.0,0.0,837.0,6.0,54.0,49.0,1.99,37.0,2.0,2.0,3.0,4.0,1.0,7.0,0.28,5.0,1.0,0.0,1.0,0.0,0.0,51.0,31.0,28.0,16.0,7.0,32.0,80.0,40.0,48.0,36.0,2.0,34.0,39.0,90.0,60.0,1.0,1554.0,63.0,435.0,671.0,472.0,26.0,1554.0,58.0,30.0,51.7,28.0,48.3,790.0,4724.0,2842.0,82.0,65.0,7.0,52.0,18.0,798.0,145.0,32,2211.0,69.0,64.6,24.6,25,85.0,16.0,7,14.0,5,1.06,25.0,33.0,-8.0,-0.33,0.27,28.0,36.0,-8.0,-0.33,-0.24,4.0,0.0,0.0,24.0,35.0,0.0,124.0,39.0,31.0,0.0,0.0,0.0,179.0,18.0,35.0,34.0
Pedro Alcalá,es ESP,DF,29.0,20.8,1.0,15.0,3.0,20.0,0.72,0.14,0.07,0.33,20.2,4.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,686.0,869.0,78.9,14910.0,5012.0,168.0,200.0,84.0,408.0,462.0,88.3,106.0,190.0,55.8,1.0,0.6,0.4,0.4,5.0,30.0,5.0,0.0,47.0,869.0,823.0,44.0,43.0,0.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,686.0,2.0,8.0,14.0,0.67,10.0,0.0,0.0,3.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,23.0,9.0,0.0,15.0,23.0,65.2,8.0,21.0,18.0,3.0,36.0,68.0,120.0,0.0,1110.0,178.0,647.0,435.0,35.0,18.0,1110.0,5.0,4.0,80.0,1.0,20.0,530.0,2477.0,1404.0,13.0,7.0,1.0,7.0,5.0,600.0,3.0,25,1868.0,75.0,54.6,20.8,20,88.0,18.0,5,23.0,10,1.16,21.0,32.0,-11.0,-0.53,-0.24,23.7,28.1,-4.5,-0.21,0.06,9.0,0.0,0.0,21.0,13.0,2.0,3.0,36.0,23.0,0.0,0.0,0.0,106.0,84.0,46.0,64.6
