player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
José Campaña,es ESP,MF,25.0,35.7,4.0,23.0,9.0,39.1,0.64,0.25,0.17,0.44,23.3,3.0,0.0,0.0,1.8,1.8,0.08,2.2,2.2,1617.0,2021.0,80.0,27765.0,9200.0,755.0,863.0,87.5,611.0,722.0,84.6,177.0,302.0,58.6,9.0,5.1,5.0,3.9,58.0,162.0,26.0,6.0,215.0,2021.0,1796.0,217.0,96.0,1.0,34.0,149.0,7.0,114.0,65.0,31.0,3.0,1617.0,8.0,28.0,111.0,3.11,69.0,35.0,1.0,3.0,3.0,0.0,15.0,0.42,7.0,6.0,1.0,1.0,0.0,0.0,65.0,45.0,31.0,29.0,5.0,27.0,86.0,31.4,59.0,51.0,7.0,44.0,48.0,113.0,46.0,1.0,2359.0,106.0,512.0,1315.0,565.0,36.0,2358.0,80.0,48.0,60.0,32.0,40.0,1167.0,7783.0,4301.0,87.0,54.0,9.0,42.0,31.0,1462.0,84.0,36,3210.0,89.0,93.9,35.7,36,89.0,33.0,0,,0,1.19,56.0,61.0,-5.0,-0.14,0.72,52.4,71.3,-18.9,-0.53,0.93,11.0,0.0,0.0,42.0,35.0,4.0,149.0,48.0,45.0,0.0,1.0,0.0,268.0,41.0,45.0,47.7
José Luis Morales,es ESP,"FW,MF",31.0,35.5,12.0,60.0,28.0,46.7,1.69,0.79,0.15,0.32,15.5,0.0,3.0,5.0,13.6,9.7,0.16,-1.6,-0.7,528.0,799.0,66.1,7840.0,2236.0,312.0,378.0,82.5,142.0,204.0,69.6,44.0,101.0,43.6,5.0,6.0,3.5,-1.0,44.0,35.0,45.0,7.0,87.0,799.0,753.0,41.0,3.0,4.0,5.0,71.0,28.0,3.0,0.0,1.0,0.0,528.0,5.0,60.0,116.0,3.27,67.0,0.0,23.0,8.0,17.0,1.0,17.0,0.48,7.0,0.0,5.0,1.0,4.0,0.0,21.0,15.0,6.0,10.0,5.0,8.0,49.0,16.3,41.0,22.0,1.0,21.0,12.0,33.0,17.0,0.0,1174.0,16.0,154.0,396.0,655.0,175.0,1169.0,145.0,69.0,47.6,76.0,52.4,760.0,6307.0,2961.0,120.0,70.0,73.0,81.0,85.0,864.0,265.0,37,3195.0,86.0,93.4,35.5,35,90.0,32.0,2,29.0,0,1.16,53.0,62.0,-9.0,-0.25,-1.05,49.9,69.9,-20.0,-0.56,0.34,7.0,0.0,0.0,31.0,52.0,22.0,71.0,12.0,15.0,3.0,0.0,0.0,127.0,15.0,41.0,26.8
Rober,es ESP,DF,23.0,31.7,1.0,8.0,1.0,12.5,0.25,0.03,0.13,1.0,8.9,0.0,0.0,0.0,0.9,0.9,0.11,0.1,0.1,898.0,1106.0,81.2,17657.0,7066.0,339.0,394.0,86.0,392.0,443.0,88.5,148.0,221.0,67.0,0.0,0.7,0.3,-0.7,8.0,50.0,5.0,1.0,86.0,1106.0,1041.0,59.0,55.0,0.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,898.0,6.0,12.0,24.0,0.76,20.0,0.0,1.0,2.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,41.0,29.0,33.0,6.0,2.0,24.0,48.0,50.0,24.0,52.0,36.0,16.0,51.0,92.0,129.0,2.0,1414.0,215.0,731.0,637.0,59.0,24.0,1414.0,10.0,10.0,100.0,0.0,0.0,615.0,3774.0,2333.0,19.0,8.0,0.0,20.0,5.0,691.0,5.0,33,2854.0,86.0,83.5,31.7,32,88.0,31.0,1,45.0,2,1.18,49.0,58.0,-9.0,-0.28,-0.6,45.1,67.0,-22.0,-0.69,-0.64,6.0,0.0,0.0,28.0,13.0,1.0,1.0,51.0,29.0,0.0,1.0,1.0,191.0,60.0,66.0,47.6
Enis Bardhi,mk MKD,MF,23.0,31.5,3.0,66.0,18.0,27.3,2.09,0.57,0.05,0.17,24.5,21.0,0.0,0.0,3.6,3.6,0.06,-0.6,-0.6,864.0,1188.0,72.7,13783.0,4114.0,432.0,528.0,81.8,291.0,364.0,79.9,83.0,171.0,48.5,4.0,3.8,2.7,0.2,29.0,94.0,26.0,6.0,150.0,1188.0,1084.0,98.0,39.0,3.0,15.0,72.0,7.0,33.0,13.0,15.0,0.0,864.0,6.0,40.0,84.0,2.67,63.0,6.0,6.0,4.0,4.0,1.0,9.0,0.29,7.0,1.0,1.0,0.0,0.0,0.0,70.0,43.0,30.0,34.0,6.0,28.0,87.0,32.2,59.0,35.0,3.0,32.0,31.0,101.0,36.0,1.0,1564.0,57.0,307.0,745.0,545.0,40.0,1564.0,72.0,43.0,59.7,29.0,40.3,838.0,4858.0,2567.0,68.0,62.0,8.0,69.0,56.0,995.0,128.0,36,2836.0,79.0,82.9,31.5,31,86.0,23.0,5,32.0,0,1.14,51.0,51.0,0.0,0.0,1.08,47.4,61.4,-14.0,-0.44,0.83,6.0,0.0,0.0,61.0,47.0,5.0,72.0,31.0,43.0,1.0,1.0,0.0,198.0,10.0,27.0,27.0
Jason,es ESP,"DF,FW",24.0,25.9,2.0,32.0,9.0,28.1,1.24,0.35,0.06,0.22,20.6,3.0,0.0,0.0,3.2,3.2,0.1,-1.2,-1.2,559.0,837.0,66.8,8956.0,3477.0,280.0,342.0,81.9,191.0,269.0,71.0,51.0,126.0,40.5,5.0,4.8,2.5,0.2,30.0,51.0,22.0,9.0,75.0,837.0,697.0,132.0,5.0,3.0,6.0,68.0,111.0,8.0,4.0,4.0,0.0,559.0,8.0,41.0,67.0,2.59,44.0,4.0,5.0,0.0,11.0,3.0,7.0,0.27,6.0,0.0,1.0,0.0,0.0,0.0,44.0,25.0,22.0,11.0,11.0,20.0,71.0,28.2,51.0,25.0,4.0,21.0,46.0,90.0,27.0,0.0,1149.0,51.0,261.0,519.0,391.0,34.0,1149.0,78.0,29.0,37.2,49.0,62.8,576.0,4087.0,2209.0,71.0,47.0,6.0,44.0,34.0,665.0,124.0,30,2330.0,78.0,68.1,25.9,26,86.0,19.0,4,21.0,6,1.27,37.0,39.0,-2.0,-0.08,0.34,32.5,47.9,-15.4,-0.59,-0.03,10.0,0.0,0.0,26.0,51.0,3.0,68.0,46.0,25.0,0.0,1.0,0.0,139.0,33.0,32.0,50.8
Roger Martí,es ESP,FW,27.0,21.0,13.0,69.0,28.0,40.6,3.29,1.34,0.16,0.39,16.0,0.0,2.0,2.0,12.8,11.3,0.16,0.2,-0.3,243.0,367.0,66.2,3411.0,602.0,125.0,158.0,79.1,64.0,103.0,62.1,19.0,34.0,55.9,0.0,1.0,0.7,-1.0,16.0,15.0,5.0,1.0,30.0,367.0,351.0,13.0,1.0,3.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,243.0,3.0,26.0,37.0,1.76,23.0,0.0,2.0,5.0,7.0,0.0,2.0,0.1,0.0,0.0,1.0,0.0,1.0,0.0,8.0,6.0,1.0,4.0,3.0,1.0,19.0,5.3,18.0,14.0,1.0,13.0,4.0,12.0,9.0,0.0,566.0,12.0,48.0,237.0,287.0,90.0,564.0,27.0,11.0,40.7,16.0,59.3,333.0,1550.0,625.0,27.0,10.0,9.0,43.0,19.0,429.0,104.0,31,1887.0,61.0,55.2,21.0,23,78.0,9.0,8,13.0,6,0.84,32.0,41.0,-9.0,-0.43,-0.55,30.0,46.2,-16.2,-0.77,-0.42,5.0,0.0,0.0,38.0,32.0,8.0,17.0,4.0,6.0,1.0,0.0,0.0,48.0,21.0,53.0,28.4
Rubén Rochina,es ESP,MF,27.0,20.0,4.0,46.0,12.0,26.1,2.3,0.6,0.09,0.33,26.4,4.0,0.0,0.0,2.4,2.4,0.05,1.6,1.6,707.0,1039.0,68.0,13464.0,4800.0,326.0,386.0,84.5,214.0,304.0,70.4,136.0,269.0,50.6,5.0,5.2,4.4,-0.2,30.0,103.0,26.0,5.0,128.0,1039.0,903.0,127.0,46.0,15.0,31.0,85.0,4.0,39.0,34.0,1.0,1.0,707.0,9.0,28.0,78.0,3.84,43.0,12.0,10.0,5.0,7.0,1.0,11.0,0.54,6.0,3.0,1.0,1.0,0.0,0.0,51.0,33.0,26.0,16.0,9.0,23.0,81.0,28.4,58.0,29.0,0.0,29.0,21.0,72.0,19.0,1.0,1314.0,23.0,215.0,733.0,387.0,17.0,1314.0,92.0,65.0,70.7,27.0,29.3,687.0,4465.0,2083.0,53.0,44.0,6.0,51.0,57.0,876.0,68.0,27,1800.0,67.0,52.6,20.0,23,75.0,4.0,4,18.0,2,1.19,29.0,29.0,0.0,0.0,0.39,28.3,36.9,-8.6,-0.42,0.35,13.0,2.0,2.0,49.0,53.0,1.0,85.0,21.0,33.0,0.0,0.0,0.0,130.0,24.0,20.0,54.5
Oier Olazábal,es ESP,GK,28.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,355.0,580.0,61.2,12351.0,9967.0,27.0,28.0,96.4,139.0,143.0,97.2,189.0,404.0,46.8,0.0,0.1,0.0,-0.1,1.0,6.0,0.0,0.0,0.0,580.0,283.0,292.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,5.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,15.0,2.0,655.0,591.0,653.0,2.0,0.0,0.0,655.0,0.0,0.0,,0.0,,227.0,1810.0,1457.0,0.0,0.0,0.0,1.0,0.0,104.0,0.0,21,1890.0,90.0,55.3,21.0,21,90.0,21.0,0,,14,1.24,32.0,40.0,-8.0,-0.38,-0.44,29.5,46.1,-16.6,-0.79,-0.46,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,4.0,1.0,80.0
Toño,es ESP,"DF,FW",28.0,19.6,1.0,14.0,4.0,28.6,0.71,0.2,0.07,0.25,25.2,1.0,0.0,0.0,1.3,1.3,0.09,-0.3,-0.3,645.0,875.0,73.7,9464.0,4231.0,386.0,441.0,87.5,201.0,261.0,77.0,33.0,95.0,34.7,2.0,1.2,1.4,0.8,15.0,54.0,19.0,5.0,67.0,875.0,663.0,203.0,19.0,0.0,4.0,49.0,182.0,2.0,0.0,0.0,0.0,645.0,9.0,30.0,33.0,1.68,25.0,2.0,3.0,2.0,0.0,1.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,12.0,3.0,2.0,10.0,21.0,47.6,11.0,20.0,5.0,15.0,14.0,31.0,42.0,0.0,1062.0,54.0,329.0,458.0,301.0,36.0,1062.0,65.0,34.0,52.3,31.0,47.7,490.0,3228.0,1941.0,57.0,29.0,11.0,21.0,16.0,582.0,97.0,21,1763.0,84.0,51.5,19.6,21,84.0,17.0,0,,3,1.76,34.0,25.0,9.0,0.46,1.33,28.2,37.5,-9.4,-0.48,0.22,4.0,0.0,0.0,11.0,18.0,9.0,49.0,14.0,13.0,0.0,1.0,1.0,107.0,7.0,15.0,31.8
Erick Cabaco,uy URU,DF,23.0,18.1,2.0,10.0,3.0,30.0,0.55,0.17,0.2,0.67,10.8,0.0,0.0,0.0,1.5,1.5,0.15,0.5,0.5,514.0,710.0,72.4,10250.0,4914.0,208.0,236.0,88.1,219.0,281.0,77.9,79.0,171.0,46.2,0.0,0.1,0.3,-0.1,3.0,64.0,6.0,0.0,65.0,710.0,657.0,50.0,40.0,0.0,18.0,2.0,10.0,0.0,0.0,0.0,0.0,514.0,3.0,4.0,12.0,0.66,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,19.0,3.0,0.0,12.0,29.0,41.4,17.0,29.0,14.0,15.0,29.0,51.0,69.0,0.0,891.0,108.0,422.0,438.0,35.0,12.0,891.0,3.0,1.0,33.3,2.0,66.7,389.0,2294.0,1586.0,20.0,7.0,0.0,8.0,3.0,480.0,2.0,21,1632.0,78.0,47.7,18.1,20,81.0,12.0,1,11.0,6,1.24,23.0,35.0,-12.0,-0.66,-0.91,23.7,36.7,-13.0,-0.72,-0.25,11.0,2.0,1.0,33.0,13.0,1.0,2.0,29.0,13.0,0.0,1.0,0.0,69.0,38.0,34.0,52.8
