player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mikel Oyarzabal,es ESP,"FW,MF",21.0,35.0,13.0,63.0,25.0,39.7,1.8,0.71,0.16,0.4,16.4,0.0,3.0,3.0,11.1,8.8,0.14,1.9,1.2,720.0,1013.0,71.1,10783.0,2678.0,421.0,506.0,83.2,217.0,300.0,72.3,51.0,97.0,52.6,2.0,5.0,3.5,-3.0,45.0,53.0,21.0,5.0,109.0,1013.0,940.0,68.0,23.0,9.0,6.0,64.0,20.0,22.0,13.0,4.0,2.0,720.0,5.0,51.0,100.0,2.85,69.0,10.0,10.0,5.0,5.0,1.0,15.0,0.43,8.0,2.0,2.0,1.0,2.0,0.0,36.0,20.0,15.0,15.0,6.0,12.0,49.0,24.5,37.0,54.0,3.0,51.0,14.0,50.0,26.0,0.0,1449.0,37.0,204.0,603.0,666.0,131.0,1446.0,95.0,47.0,49.5,48.0,50.5,875.0,5826.0,2961.0,97.0,81.0,29.0,107.0,77.0,1020.0,213.0,37,3153.0,85.0,92.2,35.0,36,87.0,28.0,1,25.0,0,1.35,42.0,41.0,1.0,0.03,0.7,45.8,43.8,2.0,0.06,0.35,2.0,0.0,0.0,32.0,38.0,11.0,64.0,14.0,20.0,1.0,0.0,1.0,137.0,43.0,68.0,38.7
Igor Zubeldia,es ESP,MF,21.0,28.3,0.0,15.0,4.0,26.7,0.53,0.14,0.0,0.0,27.3,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1031.0,1207.0,85.4,19069.0,4583.0,403.0,456.0,88.4,493.0,533.0,92.5,113.0,163.0,69.3,1.0,1.0,0.7,0.0,8.0,82.0,6.0,1.0,89.0,1207.0,1182.0,21.0,20.0,0.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,1031.0,4.0,18.0,17.0,0.6,14.0,0.0,1.0,0.0,0.0,2.0,4.0,0.14,3.0,0.0,1.0,0.0,0.0,0.0,61.0,35.0,32.0,24.0,5.0,22.0,54.0,40.7,32.0,30.0,6.0,24.0,45.0,106.0,60.0,0.0,1473.0,92.0,451.0,937.0,112.0,4.0,1473.0,44.0,38.0,86.4,6.0,13.6,750.0,4733.0,2296.0,22.0,20.0,0.0,19.0,28.0,880.0,12.0,33,2549.0,77.0,74.5,28.3,29,85.0,23.0,4,18.0,2,1.39,28.0,37.0,-9.0,-0.32,-1.14,31.1,36.8,-5.7,-0.2,-0.91,7.0,0.0,0.0,37.0,13.0,0.0,2.0,45.0,35.0,0.0,0.0,0.0,200.0,59.0,52.0,53.2
Willian José,br BRA,FW,26.0,26.3,11.0,48.0,19.0,39.6,1.83,0.72,0.13,0.32,17.4,1.0,5.0,7.0,11.7,6.5,0.13,-0.7,-0.5,569.0,775.0,73.4,9810.0,1574.0,294.0,357.0,82.4,167.0,223.0,74.9,80.0,117.0,68.4,5.0,3.7,3.2,1.3,36.0,35.0,21.0,2.0,60.0,775.0,722.0,48.0,4.0,8.0,30.0,13.0,2.0,0.0,0.0,0.0,0.0,569.0,5.0,29.0,65.0,2.47,57.0,0.0,1.0,5.0,1.0,1.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,3.0,1.0,2.0,7.0,28.6,5.0,11.0,5.0,6.0,1.0,6.0,27.0,0.0,968.0,30.0,79.0,510.0,387.0,83.0,961.0,30.0,19.0,63.3,11.0,36.7,609.0,2792.0,838.0,18.0,21.0,4.0,48.0,54.0,812.0,190.0,31,2367.0,76.0,69.2,26.3,28,82.0,18.0,3,24.0,2,1.32,34.0,27.0,7.0,0.27,0.95,35.7,31.5,4.3,0.16,0.43,5.0,1.0,0.0,34.0,31.0,18.0,13.0,1.0,3.0,0.0,0.0,0.0,62.0,42.0,46.0,47.7
Gerónimo Rulli,ar ARG,GK,26.0,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,782.0,1095.0,71.4,22376.0,15005.0,85.0,86.0,98.8,430.0,436.0,98.6,266.0,565.0,47.1,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1095.0,758.0,332.0,114.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,5.0,1.0,5.0,0.19,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1.0,3.0,12.0,6.0,1162.0,952.0,1152.0,11.0,0.0,0.0,1162.0,0.0,0.0,,0.0,,574.0,2635.0,1726.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,27,2430.0,90.0,71.1,27.0,27,90.0,27.0,0,,11,1.44,36.0,35.0,1.0,0.04,0.22,36.0,38.4,-2.4,-0.09,-0.41,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,12.0,2.0,85.7
Joseba Zaldúa,es ESP,DF,26.0,23.8,1.0,5.0,2.0,40.0,0.21,0.08,0.2,0.5,24.9,0.0,0.0,0.0,0.1,0.1,0.03,0.9,0.9,956.0,1244.0,76.8,15178.0,6156.0,547.0,613.0,89.2,329.0,426.0,77.2,66.0,133.0,49.6,2.0,1.9,2.1,0.1,14.0,74.0,31.0,16.0,94.0,1244.0,950.0,287.0,22.0,0.0,2.0,73.0,265.0,0.0,0.0,0.0,0.0,956.0,7.0,43.0,46.0,1.94,36.0,1.0,4.0,0.0,4.0,1.0,5.0,0.21,4.0,0.0,0.0,0.0,0.0,1.0,36.0,27.0,23.0,10.0,3.0,15.0,32.0,46.9,17.0,19.0,3.0,16.0,38.0,74.0,72.0,0.0,1495.0,82.0,440.0,673.0,391.0,23.0,1495.0,37.0,20.0,54.1,17.0,45.9,664.0,4311.0,2391.0,70.0,43.0,12.0,31.0,11.0,840.0,110.0,26,2139.0,82.0,62.5,23.8,25,85.0,21.0,1,21.0,3,1.35,29.0,29.0,0.0,0.0,0.07,31.6,31.0,0.6,0.03,-0.01,7.0,0.0,0.0,33.0,64.0,0.0,73.0,38.0,27.0,0.0,1.0,0.0,90.0,46.0,26.0,63.9
Aritz Elustondo,es ESP,DF,24.0,25.0,1.0,10.0,5.0,50.0,0.4,0.2,0.1,0.2,10.2,0.0,0.0,0.0,1.5,1.5,0.15,-0.5,-0.5,965.0,1236.0,78.1,17700.0,6583.0,370.0,422.0,87.7,510.0,611.0,83.5,78.0,159.0,49.1,0.0,0.6,0.9,-0.6,9.0,44.0,12.0,9.0,71.0,1236.0,1100.0,131.0,36.0,1.0,9.0,28.0,95.0,0.0,0.0,0.0,0.0,965.0,5.0,23.0,25.0,1.0,20.0,0.0,1.0,1.0,1.0,2.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,47.0,29.0,31.0,14.0,2.0,26.0,41.0,63.4,15.0,23.0,7.0,16.0,39.0,86.0,150.0,0.0,1541.0,167.0,746.0,659.0,149.0,31.0,1541.0,19.0,16.0,84.2,3.0,15.8,722.0,4275.0,2566.0,25.0,14.0,2.0,13.0,3.0,833.0,24.0,27,2254.0,83.0,65.9,25.0,24,88.0,22.0,3,44.0,3,1.3,28.0,35.0,-7.0,-0.28,-0.74,32.9,34.8,-1.9,-0.08,-0.31,5.0,0.0,0.0,22.0,27.0,0.0,28.0,39.0,29.0,0.0,0.0,0.0,137.0,64.0,39.0,62.1
Mikel Merino,es ESP,MF,22.0,22.8,3.0,24.0,10.0,41.7,1.05,0.44,0.13,0.3,16.1,0.0,0.0,0.0,2.9,2.9,0.12,0.1,0.1,873.0,1110.0,78.6,15160.0,4570.0,403.0,479.0,84.1,349.0,426.0,81.9,94.0,143.0,65.7,3.0,2.4,2.7,0.6,13.0,111.0,17.0,4.0,142.0,1110.0,1093.0,13.0,10.0,10.0,19.0,15.0,2.0,0.0,0.0,0.0,0.0,873.0,4.0,15.0,43.0,1.88,35.0,0.0,2.0,2.0,4.0,0.0,8.0,0.35,5.0,0.0,1.0,0.0,2.0,0.0,50.0,28.0,19.0,25.0,6.0,14.0,52.0,26.9,38.0,37.0,2.0,35.0,29.0,79.0,37.0,1.0,1401.0,57.0,291.0,839.0,286.0,39.0,1401.0,42.0,29.0,69.0,13.0,31.0,768.0,3806.0,1927.0,31.0,33.0,5.0,44.0,47.0,963.0,62.0,29,2055.0,71.0,60.1,22.8,24,81.0,14.0,5,23.0,1,1.38,27.0,29.0,-2.0,-0.09,-0.15,31.7,30.8,0.9,0.04,0.02,10.0,1.0,1.0,70.0,37.0,1.0,15.0,29.0,28.0,2.0,0.0,0.0,156.0,83.0,42.0,66.4
Theo Hernández,fr FRA,DF,20.0,22.0,1.0,24.0,5.0,20.8,1.09,0.23,0.04,0.2,24.0,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4,937.0,1167.0,80.3,13917.0,4109.0,541.0,606.0,89.3,333.0,398.0,83.7,38.0,88.0,43.2,2.0,1.8,1.7,0.2,18.0,44.0,17.0,8.0,72.0,1167.0,951.0,213.0,16.0,2.0,12.0,58.0,197.0,0.0,0.0,0.0,0.0,937.0,3.0,34.0,48.0,2.19,31.0,4.0,4.0,3.0,3.0,3.0,4.0,0.18,2.0,0.0,0.0,0.0,1.0,1.0,54.0,33.0,30.0,15.0,9.0,28.0,44.0,63.6,16.0,21.0,5.0,16.0,33.0,87.0,42.0,3.0,1448.0,60.0,419.0,676.0,380.0,33.0,1448.0,83.0,42.0,50.6,41.0,49.4,815.0,6132.0,3777.0,87.0,78.0,16.0,37.0,26.0,897.0,117.0,24,1976.0,82.0,57.8,22.0,22,88.0,19.0,2,15.0,3,1.17,26.0,30.0,-4.0,-0.18,-0.37,27.0,27.8,-0.8,-0.04,-0.16,5.0,1.0,0.0,29.0,70.0,4.0,58.0,33.0,33.0,0.0,0.0,0.0,126.0,22.0,16.0,57.9
Héctor Moreno,mx MEX,DF,30.0,21.5,1.0,6.0,1.0,16.7,0.28,0.05,0.17,1.0,10.4,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,1037.0,1221.0,84.9,20185.0,7557.0,347.0,369.0,94.0,566.0,615.0,92.0,110.0,196.0,56.1,0.0,0.5,0.6,-0.5,4.0,65.0,2.0,0.0,94.0,1221.0,1136.0,77.0,61.0,0.0,16.0,5.0,16.0,0.0,0.0,0.0,0.0,1037.0,8.0,11.0,13.0,0.61,11.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,12.0,4.0,0.0,9.0,17.0,52.9,8.0,34.0,19.0,15.0,31.0,47.0,73.0,0.0,1401.0,139.0,682.0,685.0,44.0,17.0,1401.0,4.0,2.0,50.0,2.0,50.0,820.0,5256.0,3234.0,27.0,4.0,1.0,5.0,3.0,946.0,6.0,25,1933.0,77.0,56.5,21.5,21,90.0,21.0,4,10.0,7,1.56,30.0,29.0,1.0,0.05,0.17,29.6,27.3,2.3,0.11,0.18,2.0,0.0,0.0,17.0,13.0,3.0,5.0,31.0,9.0,0.0,0.0,0.0,95.0,37.0,24.0,60.7
Asier Illarramendi,es ESP,MF,28.0,20.2,1.0,14.0,4.0,28.6,0.69,0.2,0.07,0.25,24.9,2.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,1060.0,1267.0,83.7,19327.0,6015.0,429.0,480.0,89.4,483.0,548.0,88.1,120.0,180.0,66.7,1.0,1.4,1.6,-0.4,11.0,117.0,10.0,0.0,144.0,1267.0,1174.0,88.0,79.0,7.0,7.0,19.0,5.0,4.0,1.0,3.0,0.0,1060.0,5.0,19.0,34.0,1.68,22.0,5.0,1.0,4.0,1.0,1.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0,39.0,24.0,22.0,14.0,3.0,21.0,51.0,41.2,30.0,36.0,9.0,27.0,31.0,70.0,46.0,1.0,1468.0,79.0,395.0,944.0,142.0,4.0,1468.0,10.0,7.0,70.0,3.0,30.0,796.0,4551.0,2294.0,24.0,19.0,0.0,22.0,13.0,911.0,6.0,23,1821.0,79.0,53.2,20.2,20,88.0,16.0,3,22.0,1,1.22,23.0,21.0,2.0,0.1,0.27,25.5,24.0,1.4,0.07,0.09,8.0,0.0,0.0,34.0,35.0,0.0,19.0,31.0,24.0,0.0,0.0,0.0,182.0,28.0,50.0,35.9
