player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
José Luis Gayà,es ESP,DF,23.0,34.9,1.0,15.0,3.0,20.0,0.43,0.09,0.07,0.33,20.8,1.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,1437.0,1816.0,79.1,23651.0,8165.0,735.0,817.0,90.0,567.0,694.0,81.7,114.0,217.0,52.5,1.0,2.3,3.1,-1.3,25.0,127.0,36.0,15.0,158.0,1816.0,1492.0,317.0,56.0,0.0,10.0,97.0,261.0,0.0,0.0,0.0,0.0,1437.0,7.0,41.0,66.0,1.89,58.0,2.0,4.0,0.0,2.0,0.0,5.0,0.14,4.0,0.0,0.0,0.0,1.0,0.0,83.0,59.0,56.0,20.0,7.0,46.0,80.0,57.5,34.0,48.0,6.0,42.0,43.0,126.0,105.0,1.0,2211.0,119.0,725.0,995.0,511.0,61.0,2211.0,68.0,39.0,57.4,29.0,42.6,1056.0,6167.0,3680.0,96.0,50.0,16.0,31.0,17.0,1249.0,159.0,35,3137.0,90.0,91.7,34.9,35,90.0,34.0,0,,0,1.63,47.0,30.0,17.0,0.49,0.81,55.4,36.4,18.9,0.54,0.91,10.0,0.0,0.0,35.0,55.0,3.0,97.0,43.0,59.0,1.0,1.0,0.0,192.0,34.0,44.0,43.6
Daniel Parejo,es ESP,MF,29.0,34.0,9.0,38.0,15.0,39.5,1.12,0.44,0.11,0.27,25.5,10.0,5.0,6.0,8.1,3.4,0.09,0.9,0.6,1973.0,2421.0,81.5,38483.0,14887.0,790.0,874.0,90.4,812.0,936.0,86.8,325.0,499.0,65.1,7.0,7.8,7.7,-0.8,81.0,254.0,36.0,7.0,292.0,2421.0,2069.0,338.0,164.0,6.0,50.0,188.0,4.0,170.0,50.0,74.0,14.0,1973.0,14.0,32.0,167.0,4.91,101.0,57.0,2.0,4.0,2.0,1.0,19.0,0.56,13.0,5.0,0.0,0.0,1.0,0.0,73.0,42.0,41.0,24.0,8.0,31.0,90.0,34.4,59.0,41.0,7.0,34.0,46.0,119.0,26.0,2.0,2692.0,85.0,550.0,1508.0,670.0,43.0,2686.0,50.0,36.0,72.0,14.0,28.0,1377.0,6562.0,3369.0,49.0,38.0,6.0,32.0,23.0,1749.0,48.0,36,3061.0,85.0,89.5,34.0,35,87.0,32.0,1,8.0,0,1.67,48.0,31.0,17.0,0.5,0.75,55.9,39.0,16.9,0.5,0.27,5.0,1.0,0.0,27.0,54.0,0.0,188.0,46.0,42.0,0.0,0.0,0.0,270.0,29.0,20.0,59.2
Neto,br BRA,GK,29.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,490.0,849.0,57.7,16756.0,14227.0,50.0,50.0,100.0,206.0,211.0,97.6,230.0,584.0,39.4,0.0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,1.0,849.0,466.0,383.0,108.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1.0,3.0,9.0,3.0,912.0,803.0,905.0,7.0,0.0,0.0,912.0,0.0,0.0,,0.0,,378.0,2770.0,2221.0,0.0,0.0,0.0,3.0,0.0,200.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,3,1.56,46.0,34.0,12.0,0.35,-0.65,55.8,39.7,16.1,0.47,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,100.0
Gabriel Paulista,br BRA,DF,27.0,29.1,0.0,11.0,2.0,18.2,0.38,0.07,0.0,0.0,11.3,0.0,0.0,0.0,1.1,1.0,0.09,-1.1,-1.0,1127.0,1300.0,86.7,23545.0,9286.0,350.0,380.0,92.1,587.0,649.0,90.4,180.0,246.0,73.2,1.0,0.2,0.3,0.8,5.0,57.0,2.0,0.0,56.0,1300.0,1231.0,69.0,67.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,1127.0,0.0,5.0,20.0,0.69,16.0,1.0,0.0,2.0,0.0,1.0,4.0,0.14,3.0,0.0,0.0,1.0,0.0,0.0,29.0,16.0,20.0,6.0,3.0,14.0,28.0,50.0,14.0,37.0,21.0,16.0,70.0,99.0,162.0,1.0,1638.0,229.0,889.0,716.0,38.0,15.0,1638.0,6.0,3.0,50.0,3.0,50.0,805.0,4292.0,2315.0,6.0,5.0,1.0,11.0,3.0,920.0,0.0,30,2623.0,87.0,76.7,29.1,30,87.0,28.0,0,,3,1.53,38.0,28.0,10.0,0.34,-0.33,45.1,33.6,11.5,0.39,-0.32,6.0,0.0,0.0,25.0,30.0,1.0,0.0,70.0,16.0,0.0,1.0,0.0,158.0,60.0,25.0,70.6
Rodrigo,es ESP,FW,27.0,28.1,8.0,79.0,30.0,38.0,2.81,1.07,0.1,0.27,14.9,0.0,0.0,1.0,13.8,13.0,0.16,-5.8,-5.0,625.0,875.0,71.4,9351.0,2139.0,352.0,437.0,80.5,173.0,247.0,70.0,48.0,79.0,60.8,6.0,4.3,4.0,1.7,30.0,54.0,32.0,2.0,111.0,875.0,837.0,29.0,1.0,7.0,12.0,30.0,7.0,2.0,0.0,0.0,0.0,625.0,9.0,32.0,84.0,2.99,62.0,1.0,6.0,7.0,7.0,1.0,14.0,0.5,12.0,1.0,0.0,0.0,0.0,1.0,21.0,10.0,6.0,9.0,6.0,3.0,17.0,17.6,14.0,17.0,1.0,16.0,3.0,24.0,18.0,0.0,1165.0,19.0,97.0,497.0,591.0,144.0,1164.0,76.0,43.0,56.6,33.0,43.4,761.0,5134.0,2229.0,91.0,59.0,42.0,66.0,35.0,958.0,218.0,33,2528.0,77.0,73.9,28.1,29,83.0,20.0,4,29.0,1,1.7,41.0,23.0,18.0,0.64,0.84,47.7,30.4,17.3,0.62,0.57,5.0,1.0,1.0,23.0,41.0,14.0,30.0,3.0,10.0,1.0,0.0,0.0,74.0,48.0,77.0,38.4
Carlos Soler,es ESP,MF,21.0,27.3,2.0,41.0,14.0,34.1,1.5,0.51,0.05,0.14,19.2,0.0,0.0,0.0,4.1,4.1,0.1,-2.1,-2.1,741.0,985.0,75.2,11632.0,4071.0,387.0,462.0,83.8,252.0,325.0,77.5,63.0,111.0,56.8,6.0,4.1,5.2,1.9,34.0,81.0,36.0,12.0,123.0,985.0,948.0,30.0,12.0,4.0,3.0,67.0,9.0,9.0,6.0,3.0,0.0,741.0,7.0,29.0,66.0,2.41,44.0,5.0,5.0,6.0,6.0,0.0,10.0,0.37,6.0,1.0,0.0,1.0,2.0,0.0,41.0,28.0,15.0,23.0,3.0,16.0,65.0,24.6,49.0,46.0,6.0,40.0,19.0,60.0,37.0,0.0,1302.0,51.0,243.0,611.0,469.0,64.0,1302.0,55.0,24.0,43.6,31.0,56.4,727.0,4109.0,2030.0,48.0,48.0,8.0,47.0,30.0,883.0,147.0,31,2460.0,79.0,71.9,27.3,27,85.0,18.0,4,42.0,6,1.74,35.0,26.0,9.0,0.33,-0.33,44.4,30.2,14.2,0.52,0.19,9.0,0.0,0.0,52.0,50.0,1.0,67.0,19.0,28.0,1.0,1.0,1.0,149.0,23.0,28.0,45.1
Daniel Wass,dk DEN,"DF,MF",29.0,26.2,1.0,29.0,3.0,10.3,1.11,0.11,0.03,0.33,23.6,6.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4,1033.0,1357.0,76.1,16222.0,5850.0,563.0,639.0,88.1,368.0,470.0,78.3,69.0,158.0,43.7,3.0,4.3,3.2,-1.3,31.0,92.0,24.0,9.0,118.0,1357.0,1178.0,176.0,30.0,4.0,10.0,72.0,134.0,12.0,2.0,9.0,0.0,1033.0,3.0,30.0,62.0,2.37,47.0,4.0,1.0,2.0,5.0,3.0,4.0,0.15,2.0,0.0,0.0,0.0,2.0,0.0,35.0,25.0,9.0,19.0,7.0,20.0,42.0,47.6,22.0,23.0,4.0,19.0,34.0,69.0,49.0,0.0,1568.0,79.0,379.0,750.0,449.0,41.0,1568.0,17.0,10.0,58.8,7.0,41.2,728.0,3535.0,2047.0,60.0,30.0,8.0,27.0,12.0,971.0,137.0,32,2354.0,74.0,68.8,26.2,26,85.0,18.0,6,26.0,5,1.66,41.0,27.0,14.0,0.54,0.37,46.6,32.9,13.7,0.52,0.18,4.0,0.0,0.0,28.0,42.0,2.0,72.0,34.0,25.0,1.0,0.0,1.0,130.0,40.0,50.0,44.4
Ezequiel Garay,ar ARG,DF,31.0,23.7,2.0,13.0,6.0,46.2,0.55,0.25,0.15,0.33,11.1,0.0,0.0,0.0,1.6,1.6,0.12,0.4,0.4,896.0,1075.0,83.3,18868.0,6953.0,266.0,293.0,90.8,480.0,529.0,90.7,142.0,235.0,60.4,0.0,0.5,0.7,-0.5,4.0,89.0,3.0,0.0,82.0,1075.0,1019.0,54.0,53.0,1.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,896.0,2.0,4.0,12.0,0.51,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,15.0,3.0,2.0,9.0,18.0,50.0,9.0,30.0,23.0,7.0,16.0,36.0,140.0,0.0,1317.0,172.0,656.0,610.0,61.0,26.0,1317.0,2.0,2.0,100.0,0.0,0.0,634.0,4211.0,2418.0,16.0,10.0,1.0,4.0,0.0,793.0,2.0,24,2136.0,89.0,62.5,23.7,24,89.0,23.0,0,,3,1.58,31.0,23.0,8.0,0.34,-0.22,39.9,24.2,15.7,0.66,0.51,4.0,0.0,0.0,19.0,13.0,0.0,2.0,16.0,17.0,0.0,1.0,0.0,89.0,70.0,41.0,63.1
Santi Mina,es ESP,FW,22.0,20.6,7.0,43.0,22.0,51.2,2.09,1.07,0.16,0.32,11.7,0.0,0.0,0.0,8.1,7.9,0.18,-1.1,-0.9,343.0,479.0,71.6,5097.0,815.0,194.0,246.0,78.9,101.0,137.0,73.7,24.0,34.0,70.6,5.0,3.9,3.1,1.1,16.0,21.0,11.0,3.0,34.0,479.0,448.0,26.0,3.0,3.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,343.0,5.0,17.0,35.0,1.7,28.0,0.0,3.0,2.0,2.0,0.0,5.0,0.24,4.0,0.0,1.0,0.0,0.0,0.0,17.0,10.0,1.0,15.0,1.0,3.0,25.0,12.0,22.0,19.0,2.0,17.0,4.0,21.0,20.0,0.0,699.0,19.0,49.0,336.0,321.0,76.0,699.0,31.0,12.0,38.7,19.0,61.3,416.0,1685.0,667.0,23.0,18.0,12.0,55.0,48.0,537.0,133.0,30,1852.0,62.0,54.2,20.6,23,77.0,9.0,7,10.0,2,1.63,30.0,21.0,9.0,0.44,0.04,34.5,21.9,12.5,0.61,0.31,4.0,0.0,0.0,40.0,41.0,13.0,9.0,4.0,10.0,1.0,0.0,0.0,53.0,40.0,73.0,35.4
Cristiano Piccini,it ITA,DF,25.0,20.8,1.0,12.0,3.0,25.0,0.58,0.14,0.08,0.33,21.6,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,779.0,1013.0,76.9,12997.0,4576.0,396.0,443.0,89.4,308.0,394.0,78.2,60.0,127.0,47.2,0.0,0.2,1.3,-0.2,5.0,53.0,19.0,9.0,75.0,1013.0,801.0,206.0,10.0,1.0,9.0,40.0,196.0,0.0,0.0,0.0,0.0,779.0,6.0,26.0,28.0,1.35,21.0,1.0,3.0,1.0,2.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,25.0,7.0,0.0,13.0,26.0,50.0,13.0,27.0,7.0,20.0,27.0,59.0,64.0,1.0,1249.0,78.0,353.0,574.0,337.0,15.0,1249.0,56.0,30.0,53.6,26.0,46.4,616.0,4061.0,2195.0,66.0,57.0,6.0,21.0,13.0,693.0,71.0,23,1868.0,81.0,54.6,20.8,21,86.0,19.0,2,34.0,3,1.48,30.0,22.0,8.0,0.39,-0.08,34.7,25.0,9.7,0.47,0.0,3.0,0.0,0.0,18.0,14.0,0.0,40.0,27.0,23.0,0.0,0.0,0.0,120.0,26.0,19.0,57.8
