player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jordi Masip,es ESP,GK,29.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,602.0,1158.0,52.0,22388.0,19028.0,45.0,45.0,100.0,232.0,236.0,98.3,324.0,866.0,37.4,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1158.0,692.0,457.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,9.0,1.0,6.0,0.17,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1217.0,1090.0,1213.0,4.0,0.0,0.0,1217.0,0.0,0.0,,0.0,,522.0,3955.0,3052.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,3,1.11,28.0,45.0,-17.0,-0.49,0.18,36.7,54.3,-17.6,-0.5,-0.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.0,4.0,2.0,66.7
Nacho,es ESP,DF,29.0,35.0,1.0,17.0,5.0,29.4,0.49,0.14,0.06,0.2,23.2,0.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4,1274.0,1841.0,69.2,22285.0,9036.0,590.0,673.0,87.7,537.0,700.0,76.7,124.0,354.0,35.0,3.0,3.7,3.3,-0.7,42.0,94.0,44.0,18.0,151.0,1841.0,1492.0,337.0,32.0,4.0,18.0,148.0,303.0,2.0,0.0,0.0,0.0,1274.0,12.0,69.0,81.0,2.31,66.0,9.0,1.0,3.0,2.0,0.0,8.0,0.23,6.0,0.0,0.0,2.0,0.0,0.0,110.0,66.0,73.0,30.0,7.0,67.0,100.0,67.0,33.0,43.0,10.0,33.0,45.0,155.0,113.0,2.0,2228.0,141.0,718.0,879.0,643.0,38.0,2228.0,23.0,13.0,56.5,10.0,43.5,1035.0,5513.0,3415.0,81.0,83.0,11.0,28.0,10.0,1204.0,179.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,0,1.17,32.0,45.0,-13.0,-0.37,1.63,37.4,53.5,-16.1,-0.46,-0.02,10.0,0.0,0.0,29.0,36.0,6.0,148.0,45.0,66.0,0.0,0.0,0.0,183.0,29.0,38.0,43.3
Fernando Calero,es ESP,DF,22.0,34.8,1.0,10.0,2.0,20.0,0.29,0.06,0.1,0.5,10.6,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,1218.0,1466.0,83.1,23897.0,9547.0,414.0,450.0,92.0,640.0,715.0,89.5,150.0,262.0,57.3,0.0,0.3,0.6,-0.3,5.0,102.0,7.0,0.0,102.0,1466.0,1378.0,84.0,76.0,0.0,13.0,4.0,8.0,0.0,0.0,0.0,0.0,1218.0,4.0,10.0,24.0,0.69,20.0,1.0,0.0,3.0,0.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,51.0,31.0,33.0,18.0,0.0,23.0,38.0,60.5,15.0,55.0,31.0,24.0,55.0,106.0,170.0,0.0,1832.0,226.0,1004.0,779.0,58.0,21.0,1832.0,12.0,12.0,100.0,0.0,0.0,907.0,4472.0,2534.0,19.0,14.0,1.0,12.0,4.0,1032.0,7.0,36,3130.0,87.0,91.5,34.8,35,89.0,34.0,1,6.0,0,1.11,30.0,46.0,-16.0,-0.46,0.47,37.8,52.9,-15.1,-0.43,0.3,7.0,0.0,0.0,35.0,12.0,0.0,4.0,55.0,31.0,0.0,2.0,0.0,160.0,69.0,89.0,43.7
Kiko Olivas,es ESP,DF,29.0,34.4,0.0,6.0,1.0,16.7,0.17,0.03,0.0,0.0,8.8,0.0,0.0,0.0,1.3,1.3,0.21,-1.3,-1.3,1195.0,1359.0,87.9,22635.0,7140.0,443.0,484.0,91.5,598.0,639.0,93.6,135.0,200.0,67.5,0.0,0.2,1.0,-0.2,4.0,59.0,2.0,0.0,75.0,1359.0,1301.0,55.0,48.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,1195.0,3.0,7.0,13.0,0.38,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,35.0,15.0,1.0,22.0,48.0,45.8,26.0,31.0,18.0,13.0,46.0,97.0,173.0,2.0,1689.0,227.0,935.0,726.0,46.0,18.0,1689.0,19.0,19.0,100.0,0.0,0.0,853.0,4979.0,3062.0,28.0,14.0,2.0,9.0,7.0,942.0,3.0,35,3100.0,89.0,90.6,34.4,35,89.0,33.0,0,,0,1.17,31.0,45.0,-14.0,-0.41,1.0,37.3,53.2,-15.8,-0.46,0.0,6.0,0.0,0.0,17.0,37.0,1.0,0.0,46.0,38.0,0.0,3.0,0.0,201.0,63.0,64.0,49.6
Rubén Alcaraz,es ESP,MF,27.0,33.1,3.0,51.0,11.0,21.6,1.54,0.33,0.06,0.27,25.9,11.0,0.0,1.0,3.5,2.7,0.05,-0.5,0.3,1438.0,1757.0,81.8,29343.0,7859.0,556.0,603.0,92.2,604.0,681.0,88.7,254.0,402.0,63.2,2.0,0.9,1.1,1.1,20.0,172.0,2.0,0.0,181.0,1757.0,1645.0,106.0,92.0,2.0,54.0,39.0,0.0,14.0,8.0,3.0,1.0,1438.0,6.0,29.0,62.0,1.87,43.0,4.0,3.0,3.0,8.0,1.0,5.0,0.15,3.0,0.0,1.0,0.0,1.0,0.0,96.0,54.0,50.0,40.0,6.0,32.0,89.0,36.0,57.0,59.0,10.0,49.0,38.0,134.0,52.0,1.0,2152.0,93.0,559.0,1332.0,288.0,21.0,2151.0,30.0,23.0,76.7,7.0,23.3,1201.0,6376.0,3051.0,45.0,33.0,3.0,33.0,40.0,1324.0,21.0,34,2976.0,88.0,87.0,33.1,34,88.0,31.0,0,,1,1.18,29.0,43.0,-14.0,-0.42,0.59,34.7,49.6,-14.9,-0.45,0.06,13.0,0.0,0.0,69.0,109.0,1.0,39.0,38.0,54.0,0.0,0.0,0.0,268.0,49.0,66.0,42.6
Óscar Plano,es ESP,"MF,FW",27.0,29.9,3.0,46.0,14.0,30.4,1.54,0.47,0.07,0.21,18.8,1.0,0.0,0.0,4.2,4.2,0.09,-1.2,-1.2,609.0,841.0,72.4,9641.0,2452.0,334.0,396.0,84.3,199.0,264.0,75.4,54.0,110.0,49.1,4.0,3.8,3.0,0.2,31.0,57.0,20.0,3.0,96.0,841.0,785.0,49.0,11.0,1.0,5.0,59.0,4.0,32.0,11.0,14.0,2.0,609.0,7.0,23.0,73.0,2.44,47.0,7.0,5.0,4.0,7.0,3.0,6.0,0.2,4.0,1.0,0.0,0.0,1.0,0.0,63.0,45.0,23.0,28.0,12.0,14.0,48.0,29.2,34.0,19.0,3.0,16.0,22.0,85.0,28.0,1.0,1181.0,31.0,177.0,562.0,462.0,63.0,1181.0,42.0,26.0,61.9,16.0,38.1,667.0,4398.0,1919.0,70.0,40.0,9.0,65.0,34.0,757.0,131.0,33,2693.0,82.0,78.7,29.9,30,87.0,23.0,3,25.0,1,0.97,29.0,46.0,-17.0,-0.57,-0.32,35.1,45.7,-10.6,-0.36,0.49,8.0,0.0,0.0,68.0,66.0,8.0,59.0,22.0,45.0,2.0,2.0,0.0,132.0,34.0,64.0,34.7
Míchel,es ESP,MF,30.0,28.4,1.0,20.0,4.0,20.0,0.71,0.14,0.05,0.25,28.0,2.0,0.0,1.0,1.5,0.7,0.03,-0.5,0.3,1395.0,1752.0,79.6,27266.0,7715.0,561.0,637.0,88.1,565.0,662.0,85.3,227.0,361.0,62.9,2.0,4.2,3.2,-2.2,53.0,145.0,13.0,5.0,214.0,1752.0,1524.0,219.0,112.0,3.0,52.0,136.0,3.0,102.0,33.0,33.0,3.0,1395.0,9.0,29.0,100.0,3.52,59.0,32.0,3.0,0.0,2.0,4.0,6.0,0.21,2.0,3.0,0.0,0.0,1.0,0.0,60.0,38.0,25.0,31.0,4.0,18.0,73.0,24.7,55.0,40.0,4.0,36.0,43.0,103.0,30.0,1.0,2024.0,49.0,430.0,1163.0,452.0,12.0,2023.0,29.0,21.0,72.4,8.0,27.6,1038.0,5290.0,2714.0,34.0,37.0,7.0,37.0,25.0,1234.0,39.0,35,2553.0,73.0,74.6,28.4,27,87.0,20.0,8,25.0,2,1.17,26.0,35.0,-9.0,-0.32,0.72,32.4,44.0,-11.6,-0.41,0.2,9.0,0.0,0.0,43.0,22.0,4.0,136.0,43.0,38.0,0.0,1.0,0.0,228.0,22.0,46.0,32.4
Javi Moyano,es ESP,DF,32.0,23.3,0.0,6.0,2.0,33.3,0.26,0.09,0.0,0.0,16.9,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,706.0,969.0,72.9,12180.0,5100.0,336.0,382.0,88.0,302.0,396.0,76.3,58.0,146.0,39.7,0.0,0.3,0.6,-0.3,10.0,48.0,9.0,2.0,69.0,969.0,732.0,228.0,16.0,0.0,13.0,34.0,212.0,0.0,0.0,0.0,0.0,706.0,9.0,16.0,23.0,0.99,19.0,1.0,0.0,2.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,17.0,6.0,2.0,15.0,30.0,50.0,15.0,20.0,9.0,11.0,25.0,50.0,88.0,2.0,1161.0,96.0,421.0,513.0,231.0,15.0,1161.0,9.0,8.0,88.9,1.0,11.1,451.0,2024.0,1085.0,19.0,18.0,2.0,13.0,11.0,553.0,59.0,27,2098.0,78.0,61.3,23.3,25,82.0,14.0,2,21.0,7,1.26,15.0,23.0,-8.0,-0.34,0.41,21.2,32.8,-11.6,-0.5,-0.1,3.0,0.0,0.0,8.0,22.0,0.0,34.0,25.0,17.0,0.0,0.0,0.0,110.0,25.0,35.0,41.7
Enes Ünal,tr TUR,FW,21.0,23.9,6.0,50.0,13.0,26.0,2.09,0.54,0.06,0.23,16.2,1.0,3.0,3.0,7.9,5.6,0.11,-1.9,-2.6,367.0,539.0,68.1,4751.0,1034.0,239.0,317.0,75.4,78.0,115.0,67.8,17.0,34.0,50.0,3.0,1.5,0.7,1.5,19.0,39.0,6.0,1.0,46.0,539.0,508.0,24.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,367.0,7.0,13.0,47.0,1.97,34.0,0.0,4.0,4.0,4.0,1.0,6.0,0.25,3.0,0.0,1.0,0.0,2.0,0.0,17.0,10.0,3.0,4.0,10.0,4.0,24.0,16.7,20.0,17.0,4.0,13.0,2.0,19.0,18.0,0.0,791.0,27.0,56.0,398.0,342.0,83.0,788.0,38.0,18.0,47.4,20.0,52.6,451.0,2286.0,953.0,35.0,15.0,13.0,57.0,37.0,618.0,121.0,33,2148.0,65.0,62.8,23.9,24,82.0,11.0,9,20.0,1,1.0,26.0,30.0,-4.0,-0.17,0.89,27.1,34.5,-7.4,-0.31,0.4,7.0,0.0,0.0,42.0,39.0,17.0,8.0,2.0,10.0,0.0,0.0,0.0,67.0,99.0,146.0,40.4
Toni Villa,es ESP,"MF,FW",23.0,19.6,2.0,35.0,14.0,40.0,1.79,0.72,0.06,0.14,23.4,1.0,0.0,0.0,1.9,1.9,0.06,0.1,0.1,442.0,602.0,73.4,6705.0,1684.0,251.0,303.0,82.8,132.0,170.0,77.6,34.0,67.0,50.7,2.0,2.2,2.3,-0.2,24.0,41.0,13.0,5.0,69.0,602.0,590.0,8.0,2.0,0.0,2.0,43.0,4.0,1.0,0.0,1.0,0.0,442.0,4.0,20.0,71.0,3.63,50.0,0.0,9.0,6.0,4.0,2.0,5.0,0.26,2.0,0.0,1.0,1.0,1.0,0.0,51.0,32.0,24.0,18.0,9.0,20.0,47.0,42.6,27.0,15.0,0.0,15.0,12.0,63.0,10.0,0.0,841.0,5.0,116.0,368.0,383.0,66.0,841.0,86.0,54.0,62.8,32.0,37.2,584.0,4398.0,2332.0,76.0,48.0,32.0,46.0,61.0,607.0,132.0,26,1762.0,68.0,51.5,19.6,21,79.0,5.0,5,20.0,3,1.15,13.0,23.0,-10.0,-0.51,-0.02,18.3,27.3,-8.9,-0.46,0.0,3.0,0.0,0.0,28.0,41.0,3.0,43.0,12.0,32.0,0.0,0.0,0.0,108.0,3.0,18.0,14.3
