player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marc-André ter Stegen,de GER,GK,27.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1253.0,1431.0,87.6,29479.0,20950.0,331.0,333.0,99.4,599.0,614.0,97.6,318.0,477.0,66.7,2.0,0.7,0.2,1.3,2.0,9.0,2.0,0.0,1.0,1431.0,1166.0,264.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,1.0,1.0,5.0,0.14,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,2.0,4.0,17.0,6.0,1498.0,1204.0,1491.0,8.0,0.0,0.0,1498.0,0.0,0.0,,0.0,,843.0,4026.0,2785.0,0.0,0.0,0.0,2.0,0.0,874.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,1,2.17,79.0,36.0,43.0,1.19,-1.31,60.7,37.3,23.5,0.65,-1.64,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,59.0,11.0,1.0,91.7
Gerard Piqué,es ESP,DF,32.0,34.4,1.0,14.0,6.0,42.9,0.41,0.17,0.07,0.17,9.5,1.0,0.0,0.0,2.4,2.4,0.17,-1.4,-1.4,2470.0,2692.0,91.8,47603.0,15133.0,816.0,875.0,93.3,1355.0,1424.0,95.2,254.0,325.0,78.2,0.0,0.3,0.7,-0.3,5.0,181.0,2.0,0.0,169.0,2692.0,2580.0,111.0,92.0,1.0,34.0,0.0,10.0,0.0,0.0,0.0,0.0,2470.0,1.0,13.0,13.0,0.38,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,20.0,11.0,1.0,16.0,26.0,61.5,10.0,39.0,24.0,15.0,36.0,68.0,157.0,0.0,3002.0,345.0,1253.0,1670.0,99.0,28.0,3002.0,8.0,6.0,75.0,2.0,25.0,1868.0,10683.0,6844.0,29.0,25.0,0.0,13.0,11.0,2162.0,4.0,35,3092.0,88.0,90.4,34.4,35,88.0,31.0,0,,0,2.09,71.0,36.0,35.0,1.02,-2.55,57.1,36.4,20.8,0.6,-1.39,15.0,0.0,0.0,32.0,19.0,0.0,0.0,36.0,23.0,0.0,2.0,0.0,220.0,127.0,45.0,73.8
Lionel Messi,ar ARG,FW,32.0,32.0,25.0,154.0,63.0,40.9,4.81,1.97,0.13,0.32,20.9,43.0,5.0,5.0,19.4,15.4,0.1,5.6,4.6,1675.0,2130.0,78.6,24251.0,8742.0,961.0,1077.0,89.2,486.0,602.0,80.7,124.0,225.0,55.1,21.0,15.4,14.0,5.6,88.0,228.0,122.0,4.0,323.0,2130.0,1908.0,198.0,89.0,36.0,15.0,114.0,17.0,77.0,41.0,8.0,2.0,1675.0,24.0,40.0,232.0,7.25,133.0,18.0,39.0,13.0,28.0,1.0,37.0,1.16,24.0,5.0,4.0,1.0,3.0,0.0,21.0,10.0,4.0,7.0,10.0,3.0,21.0,14.3,18.0,9.0,0.0,9.0,7.0,28.0,1.0,0.0,2538.0,0.0,48.0,1132.0,1403.0,208.0,2533.0,263.0,182.0,69.2,81.0,30.8,1860.0,11499.0,6488.0,220.0,203.0,63.0,69.0,78.0,2175.0,252.0,33,2880.0,87.0,84.2,32.0,32,89.0,31.0,1,45.0,0,2.18,72.0,30.0,42.0,1.31,0.31,58.2,32.0,26.2,0.82,0.51,4.0,0.0,0.0,20.0,70.0,13.0,114.0,7.0,10.0,1.0,0.0,0.0,56.0,10.0,3.0,76.9
Antoine Griezmann,fr FRA,FW,28.0,28.3,9.0,55.0,23.0,41.8,1.94,0.81,0.16,0.39,14.9,0.0,0.0,0.0,7.2,7.2,0.13,1.8,1.8,924.0,1147.0,80.6,12266.0,2108.0,573.0,657.0,87.2,224.0,269.0,83.3,55.0,77.0,71.4,4.0,4.5,4.8,-0.5,32.0,49.0,31.0,3.0,83.0,1147.0,1106.0,38.0,4.0,7.0,13.0,22.0,5.0,7.0,1.0,2.0,0.0,924.0,3.0,28.0,60.0,2.12,52.0,1.0,1.0,3.0,3.0,0.0,10.0,0.35,9.0,0.0,0.0,1.0,0.0,0.0,33.0,18.0,12.0,11.0,10.0,9.0,34.0,26.5,25.0,22.0,3.0,19.0,12.0,45.0,20.0,1.0,1381.0,29.0,129.0,575.0,689.0,139.0,1381.0,34.0,20.0,58.8,14.0,41.2,805.0,3314.0,1433.0,40.0,33.0,21.0,43.0,22.0,1096.0,229.0,35,2549.0,73.0,74.5,28.3,31,81.0,15.0,4,13.0,1,2.17,61.0,29.0,32.0,1.13,-0.52,45.0,27.1,17.9,0.63,-0.42,2.0,0.0,0.0,10.0,21.0,16.0,22.0,12.0,18.0,0.0,0.0,0.0,84.0,29.0,29.0,50.0
Sergio Busquets,es ESP,MF,31.0,27.6,2.0,10.0,4.0,40.0,0.36,0.14,0.2,0.5,16.4,0.0,0.0,0.0,1.3,1.3,0.13,0.7,0.7,2317.0,2587.0,89.6,37094.0,11317.0,1099.0,1182.0,93.0,929.0,1015.0,91.5,176.0,216.0,81.5,2.0,2.8,3.2,-0.8,22.0,224.0,28.0,0.0,220.0,2587.0,2492.0,86.0,84.0,13.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,2317.0,9.0,19.0,61.0,2.21,55.0,0.0,0.0,0.0,1.0,5.0,9.0,0.33,8.0,0.0,0.0,0.0,0.0,1.0,80.0,44.0,23.0,43.0,14.0,41.0,71.0,57.7,30.0,36.0,5.0,31.0,44.0,124.0,24.0,2.0,2826.0,76.0,602.0,1794.0,437.0,16.0,2826.0,27.0,23.0,85.2,4.0,14.8,1544.0,5510.0,2859.0,12.0,41.0,0.0,16.0,14.0,2156.0,17.0,33,2483.0,75.0,72.6,27.6,29,81.0,16.0,4,36.0,3,2.33,68.0,29.0,39.0,1.41,0.55,49.3,27.2,22.1,0.8,0.24,9.0,0.0,0.0,46.0,51.0,0.0,1.0,44.0,44.0,0.0,1.0,0.0,219.0,38.0,33.0,53.5
Clément Lenglet,fr FRA,DF,24.0,26.9,2.0,10.0,3.0,30.0,0.37,0.11,0.2,0.67,15.1,0.0,0.0,0.0,0.8,0.8,0.08,1.2,1.2,1985.0,2153.0,92.2,36904.0,12890.0,743.0,788.0,94.3,1027.0,1078.0,95.3,187.0,242.0,77.3,1.0,0.5,0.4,0.5,6.0,146.0,1.0,0.0,125.0,2153.0,2086.0,63.0,50.0,1.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,1985.0,4.0,6.0,14.0,0.52,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,44.0,31.0,29.0,15.0,0.0,16.0,32.0,50.0,16.0,29.0,15.0,14.0,35.0,79.0,79.0,1.0,2373.0,236.0,964.0,1354.0,57.0,12.0,2373.0,10.0,5.0,50.0,5.0,50.0,1610.0,8366.0,5480.0,25.0,19.0,0.0,4.0,6.0,1810.0,0.0,28,2424.0,87.0,70.9,26.9,28,87.0,24.0,0,,6,2.14,61.0,28.0,33.0,1.23,-0.13,49.4,27.1,22.4,0.83,0.32,11.0,2.0,2.0,32.0,25.0,2.0,0.0,35.0,31.0,0.0,1.0,0.0,139.0,59.0,38.0,60.8
Sergi Roberto,es ESP,"DF,MF",27.0,26.0,1.0,6.0,2.0,33.3,0.23,0.08,0.17,0.5,14.7,0.0,0.0,0.0,0.6,0.6,0.1,0.4,0.4,1955.0,2155.0,90.7,26837.0,6112.0,1166.0,1241.0,94.0,613.0,660.0,92.9,69.0,87.0,79.3,2.0,2.5,3.0,-0.5,25.0,120.0,40.0,4.0,151.0,2155.0,2019.0,131.0,22.0,1.0,4.0,30.0,106.0,3.0,0.0,0.0,0.0,1955.0,5.0,20.0,61.0,2.35,56.0,0.0,2.0,1.0,1.0,1.0,10.0,0.38,10.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,16.0,11.0,8.0,15.0,25.0,60.0,10.0,12.0,3.0,9.0,33.0,68.0,36.0,0.0,2340.0,65.0,398.0,1262.0,696.0,58.0,2340.0,26.0,17.0,65.4,9.0,34.6,1516.0,7424.0,4399.0,78.0,80.0,8.0,28.0,22.0,1853.0,174.0,30,2339.0,78.0,68.4,26.0,27,84.0,21.0,3,20.0,2,2.17,56.0,27.0,29.0,1.12,-0.47,40.3,26.8,13.5,0.52,-0.69,8.0,0.0,0.0,18.0,39.0,2.0,30.0,33.0,22.0,0.0,0.0,0.0,117.0,28.0,21.0,57.1
Jordi Alba,es ESP,DF,30.0,24.3,2.0,7.0,3.0,42.9,0.29,0.12,0.29,0.67,16.4,0.0,0.0,0.0,1.4,1.4,0.2,0.6,0.6,1858.0,2149.0,86.5,26342.0,7785.0,1109.0,1203.0,92.2,566.0,652.0,86.8,95.0,137.0,69.3,5.0,4.3,4.2,0.7,30.0,120.0,40.0,11.0,150.0,2149.0,1938.0,206.0,33.0,3.0,9.0,65.0,171.0,2.0,0.0,0.0,0.0,1858.0,5.0,33.0,51.0,2.1,50.0,1.0,0.0,0.0,0.0,0.0,6.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,9.0,7.0,4.0,6.0,27.0,22.2,21.0,12.0,3.0,9.0,37.0,57.0,40.0,0.0,2307.0,66.0,459.0,1074.0,782.0,64.0,2307.0,21.0,12.0,57.1,9.0,42.9,1399.0,5468.0,2912.0,42.0,28.0,8.0,17.0,6.0,1734.0,244.0,27,2187.0,81.0,63.9,24.3,25,86.0,21.0,2,23.0,2,2.04,53.0,23.0,30.0,1.23,-0.08,41.8,23.3,18.5,0.76,0.06,7.0,0.0,0.0,18.0,18.0,5.0,65.0,37.0,13.0,0.0,0.0,0.0,129.0,6.0,15.0,28.6
Frenkie de Jong,nl NED,MF,22.0,23.5,2.0,4.0,4.0,100.0,0.17,0.17,0.5,0.5,12.0,0.0,0.0,0.0,1.3,1.3,0.32,0.7,0.7,1519.0,1660.0,91.5,22524.0,5475.0,881.0,940.0,93.7,462.0,493.0,93.7,102.0,114.0,89.5,2.0,2.4,2.7,-0.4,25.0,157.0,19.0,0.0,146.0,1660.0,1629.0,26.0,9.0,6.0,8.0,3.0,16.0,1.0,0.0,0.0,0.0,1519.0,5.0,19.0,52.0,2.21,48.0,0.0,1.0,0.0,2.0,1.0,9.0,0.38,8.0,0.0,0.0,0.0,1.0,0.0,26.0,19.0,7.0,12.0,7.0,7.0,22.0,31.8,15.0,17.0,7.0,10.0,21.0,47.0,9.0,0.0,1809.0,31.0,305.0,1042.0,489.0,35.0,1809.0,57.0,46.0,80.7,11.0,19.3,1294.0,7746.0,4083.0,77.0,74.0,6.0,30.0,29.0,1517.0,82.0,29,2115.0,73.0,61.8,23.5,24,83.0,14.0,5,23.0,1,2.1,52.0,26.0,26.0,1.11,-0.41,41.2,25.3,16.0,0.68,-0.15,3.0,1.0,1.0,23.0,31.0,1.0,3.0,21.0,19.0,0.0,0.0,0.0,139.0,14.0,19.0,42.4
Nélson Semedo,pt POR,DF,25.0,23.3,1.0,8.0,2.0,25.0,0.34,0.09,0.13,0.5,17.8,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,1469.0,1661.0,88.4,19687.0,4556.0,913.0,986.0,92.6,404.0,458.0,88.2,69.0,88.0,78.4,2.0,2.1,2.3,-0.1,12.0,80.0,21.0,1.0,99.0,1661.0,1489.0,170.0,15.0,1.0,2.0,22.0,155.0,0.0,0.0,0.0,0.0,1469.0,2.0,27.0,31.0,1.33,22.0,0.0,3.0,0.0,5.0,1.0,7.0,0.3,4.0,0.0,0.0,0.0,3.0,0.0,51.0,30.0,27.0,18.0,6.0,21.0,36.0,58.3,15.0,18.0,3.0,15.0,22.0,73.0,30.0,0.0,1878.0,48.0,416.0,901.0,570.0,45.0,1878.0,68.0,48.0,70.6,20.0,29.4,1216.0,6451.0,3650.0,71.0,63.0,16.0,34.0,27.0,1379.0,154.0,32,2097.0,66.0,61.3,23.3,24,79.0,18.0,8,24.0,3,2.09,49.0,25.0,24.0,1.03,-0.6,41.3,23.8,17.6,0.75,0.04,2.0,0.0,0.0,21.0,30.0,3.0,22.0,22.0,30.0,2.0,1.0,0.0,128.0,12.0,12.0,50.0
