player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Diego López,es ESP,GK,37.0,35.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,666.0,1140.0,58.4,21963.0,17449.0,102.0,102.0,100.0,273.0,280.0,97.5,287.0,750.0,38.3,0.0,0.0,0.1,0.0,1.0,29.0,0.0,0.0,0.0,1140.0,701.0,435.0,132.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,666.0,4.0,0.0,6.0,0.17,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,4.0,8.0,1.0,1216.0,1025.0,1206.0,11.0,0.0,0.0,1216.0,3.0,3.0,100.0,0.0,0.0,569.0,4049.0,2990.0,0.0,0.0,0.0,1.0,0.0,384.0,0.0,36,3232.0,90.0,94.5,35.9,36,90.0,35.0,0,,0,0.58,25.0,58.0,-33.0,-0.92,-1.88,35.7,50.1,-14.4,-0.4,-1.36,5.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,60.0,6.0,1.0,85.7
Marc Roca,es ESP,MF,22.0,33.4,2.0,30.0,3.0,10.0,0.9,0.09,0.0,0.0,29.7,3.0,2.0,2.0,2.6,1.0,0.03,-0.6,-1.0,1374.0,1734.0,79.2,27039.0,9800.0,537.0,620.0,86.6,580.0,680.0,85.3,218.0,350.0,62.3,1.0,3.1,2.9,-2.1,28.0,223.0,23.0,5.0,261.0,1734.0,1638.0,88.0,66.0,2.0,43.0,55.0,1.0,19.0,8.0,8.0,0.0,1374.0,8.0,15.0,71.0,2.12,51.0,13.0,2.0,4.0,0.0,1.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,82.0,52.0,29.0,44.0,9.0,29.0,82.0,35.4,53.0,28.0,10.0,18.0,31.0,113.0,53.0,2.0,2022.0,82.0,422.0,1320.0,299.0,18.0,2020.0,26.0,15.0,57.7,11.0,42.3,1124.0,5385.0,2797.0,24.0,26.0,3.0,37.0,24.0,1286.0,14.0,35,3008.0,86.0,88.0,33.4,35,86.0,24.0,0,,0,0.69,22.0,52.0,-30.0,-0.9,-0.68,29.9,45.9,-16.0,-0.48,-1.27,8.0,0.0,0.0,79.0,23.0,0.0,55.0,31.0,52.0,0.0,0.0,0.0,210.0,31.0,48.0,39.2
Sergi Darder,es ESP,MF,25.0,29.5,2.0,52.0,9.0,17.3,1.76,0.3,0.04,0.22,24.2,0.0,0.0,0.0,3.4,3.4,0.07,-1.4,-1.4,805.0,1090.0,73.9,14722.0,4159.0,361.0,456.0,79.2,303.0,381.0,79.5,111.0,186.0,59.7,1.0,2.7,2.8,-1.7,31.0,102.0,19.0,3.0,125.0,1090.0,984.0,102.0,45.0,4.0,18.0,57.0,10.0,36.0,12.0,18.0,2.0,805.0,4.0,14.0,84.0,2.84,58.0,15.0,3.0,5.0,2.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,47.0,23.0,11.0,26.0,10.0,17.0,58.0,29.3,41.0,30.0,1.0,29.0,24.0,71.0,23.0,1.0,1347.0,24.0,196.0,747.0,426.0,35.0,1347.0,42.0,20.0,47.6,22.0,52.4,770.0,4043.0,1691.0,34.0,38.0,4.0,39.0,29.0,884.0,118.0,36,2658.0,74.0,77.7,29.5,29,86.0,21.0,7,24.0,1,0.67,22.0,48.0,-26.0,-0.88,-0.29,31.4,40.3,-8.9,-0.3,0.11,4.0,0.0,0.0,34.0,26.0,2.0,57.0,24.0,23.0,0.0,0.0,0.0,142.0,26.0,19.0,57.8
David López,es ESP,"DF,MF",29.0,27.3,4.0,16.0,11.0,68.8,0.59,0.4,0.25,0.36,13.7,0.0,0.0,0.0,1.3,1.3,0.08,2.7,2.7,1113.0,1401.0,79.4,20200.0,7529.0,446.0,524.0,85.1,519.0,583.0,89.0,117.0,229.0,51.1,2.0,1.1,1.1,0.9,14.0,91.0,9.0,4.0,108.0,1401.0,1349.0,48.0,45.0,1.0,12.0,12.0,3.0,0.0,0.0,0.0,0.0,1113.0,4.0,10.0,36.0,1.32,32.0,2.0,0.0,0.0,1.0,1.0,5.0,0.18,3.0,0.0,0.0,0.0,1.0,1.0,38.0,20.0,15.0,20.0,3.0,13.0,41.0,31.7,28.0,28.0,13.0,15.0,35.0,73.0,63.0,3.0,1634.0,110.0,606.0,897.0,148.0,24.0,1634.0,6.0,4.0,66.7,2.0,33.3,898.0,4372.0,2397.0,18.0,12.0,0.0,25.0,14.0,997.0,18.0,32,2455.0,77.0,71.8,27.3,29,83.0,19.0,3,16.0,0,0.59,18.0,40.0,-22.0,-0.81,0.03,27.4,36.5,-9.1,-0.33,-0.02,5.0,1.0,1.0,33.0,25.0,1.0,12.0,35.0,20.0,0.0,0.0,0.0,188.0,76.0,56.0,57.6
Dídac Vilà,es ESP,DF,30.0,27.7,0.0,16.0,3.0,18.8,0.58,0.11,0.0,0.0,18.9,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,898.0,1287.0,69.8,15006.0,5597.0,445.0,534.0,83.3,366.0,492.0,74.4,69.0,177.0,39.0,0.0,0.9,1.3,-0.9,17.0,54.0,14.0,9.0,85.0,1287.0,1047.0,237.0,14.0,0.0,8.0,61.0,222.0,1.0,0.0,0.0,0.0,898.0,3.0,43.0,34.0,1.23,27.0,2.0,0.0,3.0,1.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,73.0,42.0,44.0,23.0,6.0,25.0,61.0,41.0,36.0,31.0,5.0,26.0,40.0,113.0,63.0,0.0,1580.0,76.0,478.0,763.0,351.0,39.0,1580.0,17.0,9.0,52.9,8.0,47.1,701.0,4477.0,2359.0,77.0,55.0,6.0,29.0,11.0,790.0,99.0,30,2492.0,83.0,72.9,27.7,28,86.0,24.0,2,47.0,5,0.77,19.0,41.0,-22.0,-0.79,0.08,28.2,39.0,-10.8,-0.39,-0.23,9.0,0.0,0.0,39.0,28.0,2.0,61.0,40.0,42.0,0.0,0.0,0.0,116.0,57.0,69.0,45.2
Bernardo Espinosa,co COL,DF,30.0,25.1,3.0,22.0,8.0,36.4,0.88,0.32,0.14,0.38,10.5,0.0,0.0,0.0,2.3,2.3,0.1,0.7,0.7,827.0,1122.0,73.7,17130.0,6785.0,217.0,259.0,83.8,500.0,620.0,80.6,97.0,198.0,49.0,0.0,0.5,0.7,-0.5,4.0,36.0,3.0,0.0,56.0,1122.0,1078.0,37.0,35.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,827.0,7.0,7.0,6.0,0.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,18.0,4.0,2.0,16.0,28.0,57.1,12.0,19.0,11.0,8.0,24.0,48.0,108.0,2.0,1345.0,162.0,771.0,507.0,74.0,41.0,1345.0,4.0,3.0,75.0,1.0,25.0,578.0,2571.0,1245.0,6.0,4.0,3.0,9.0,2.0,699.0,9.0,26,2259.0,87.0,66.1,25.1,26,87.0,24.0,0,,3,0.73,21.0,38.0,-17.0,-0.68,0.41,24.8,35.1,-10.3,-0.41,-0.25,5.0,1.0,0.0,33.0,18.0,3.0,1.0,24.0,16.0,0.0,1.0,0.0,126.0,115.0,56.0,67.3
Wu Lei,cn CHN,"FW,MF",27.0,19.1,4.0,45.0,15.0,33.3,2.36,0.79,0.09,0.27,13.6,0.0,0.0,0.0,6.8,6.8,0.15,-2.8,-2.8,201.0,312.0,64.4,2650.0,594.0,116.0,161.0,72.0,67.0,99.0,67.7,3.0,13.0,23.1,0.0,1.9,1.5,-1.9,17.0,14.0,7.0,3.0,21.0,312.0,299.0,11.0,1.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,201.0,2.0,10.0,27.0,1.41,15.0,0.0,4.0,6.0,2.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,13.0,8.0,5.0,6.0,2.0,4.0,38.0,10.5,34.0,32.0,1.0,31.0,15.0,28.0,19.0,1.0,522.0,17.0,94.0,189.0,248.0,87.0,522.0,27.0,15.0,55.6,12.0,44.4,274.0,1668.0,804.0,26.0,17.0,15.0,37.0,15.0,309.0,99.0,33,1719.0,52.0,50.3,19.1,21,71.0,4.0,12,19.0,5,0.36,14.0,27.0,-13.0,-0.68,0.27,19.5,25.0,-5.5,-0.29,0.08,3.0,0.0,0.0,16.0,18.0,15.0,27.0,15.0,8.0,0.0,0.0,0.0,55.0,30.0,48.0,38.5
Jonathan Calleri,ar ARG,FW,25.0,20.1,1.0,47.0,13.0,27.7,2.34,0.65,0.02,0.08,12.1,0.0,0.0,0.0,4.5,4.5,0.1,-3.5,-3.5,186.0,367.0,50.7,2555.0,644.0,113.0,197.0,57.4,43.0,94.0,45.7,13.0,26.0,50.0,3.0,2.6,2.5,0.4,18.0,17.0,10.0,3.0,28.0,367.0,344.0,19.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,186.0,4.0,8.0,44.0,2.19,24.0,0.0,3.0,7.0,10.0,0.0,7.0,0.35,5.0,0.0,0.0,1.0,1.0,0.0,12.0,8.0,6.0,4.0,2.0,3.0,24.0,12.5,21.0,11.0,3.0,8.0,7.0,19.0,22.0,0.0,592.0,25.0,58.0,239.0,302.0,97.0,592.0,33.0,19.0,57.6,14.0,42.4,299.0,1784.0,609.0,32.0,14.0,12.0,56.0,31.0,445.0,111.0,27,1811.0,67.0,53.0,20.1,20,82.0,10.0,7,26.0,1,0.7,19.0,34.0,-15.0,-0.75,0.15,21.7,28.8,-7.0,-0.35,-0.05,6.0,1.0,1.0,47.0,51.0,7.0,22.0,7.0,8.0,0.0,0.0,0.0,43.0,127.0,120.0,51.4
Víctor Sánchez,es ESP,MF,31.0,18.8,0.0,10.0,1.0,10.0,0.53,0.05,0.0,0.0,27.6,1.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,731.0,954.0,76.6,12198.0,3722.0,347.0,401.0,86.5,272.0,335.0,81.2,75.0,154.0,48.7,1.0,1.5,1.4,-0.5,24.0,70.0,10.0,6.0,86.0,954.0,871.0,81.0,41.0,0.0,10.0,71.0,17.0,23.0,7.0,5.0,2.0,731.0,2.0,12.0,52.0,2.77,35.0,14.0,1.0,1.0,0.0,1.0,3.0,0.16,2.0,0.0,1.0,0.0,0.0,0.0,66.0,36.0,36.0,23.0,7.0,30.0,71.0,42.3,41.0,31.0,8.0,23.0,27.0,93.0,23.0,1.0,1171.0,46.0,262.0,645.0,277.0,9.0,1171.0,16.0,12.0,75.0,4.0,25.0,580.0,2995.0,1280.0,24.0,16.0,5.0,29.0,22.0,693.0,44.0,25,1688.0,68.0,49.4,18.8,20,80.0,12.0,5,16.0,7,0.77,13.0,31.0,-18.0,-0.96,-0.28,18.0,26.0,-8.0,-0.43,-0.2,11.0,1.0,1.0,48.0,31.0,0.0,71.0,27.0,36.0,0.0,2.0,0.0,117.0,37.0,33.0,52.9
Leandro Cabrera,uy URU,DF,28.0,17.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,,19.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,562.0,860.0,65.3,12870.0,6134.0,133.0,168.0,79.2,314.0,401.0,78.3,107.0,251.0,42.6,1.0,0.9,0.7,0.1,7.0,41.0,4.0,1.0,53.0,860.0,747.0,108.0,36.0,0.0,11.0,8.0,70.0,0.0,0.0,0.0,0.0,562.0,5.0,16.0,15.0,0.88,11.0,4.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,27.0,11.0,17.0,9.0,1.0,17.0,28.0,60.7,11.0,19.0,12.0,7.0,21.0,48.0,78.0,1.0,1026.0,107.0,503.0,440.0,90.0,9.0,1026.0,5.0,5.0,100.0,0.0,0.0,524.0,2998.0,1626.0,9.0,5.0,0.0,9.0,2.0,533.0,6.0,17,1530.0,90.0,44.7,17.0,17,90.0,17.0,0,,0,0.65,11.0,20.0,-9.0,-0.53,0.52,16.7,21.6,-4.9,-0.29,0.07,2.0,0.0,0.0,10.0,7.0,1.0,8.0,21.0,11.0,0.0,0.0,0.0,85.0,46.0,27.0,63.0
