player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jonathan Silva,ar ARG,DF,25.0,30.9,1.0,20.0,4.0,20.0,0.65,0.13,0.05,0.25,20.1,3.0,0.0,0.0,1.3,1.3,0.07,-0.3,-0.3,931.0,1392.0,66.9,15795.0,8223.0,471.0,540.0,87.2,315.0,481.0,65.5,102.0,267.0,38.2,2.0,2.7,2.5,-0.7,30.0,84.0,37.0,24.0,100.0,1392.0,1076.0,309.0,54.0,1.0,11.0,133.0,241.0,13.0,2.0,10.0,0.0,931.0,7.0,38.0,62.0,2.0,47.0,9.0,2.0,1.0,3.0,0.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,60.0,34.0,32.0,22.0,6.0,27.0,52.0,51.9,25.0,12.0,4.0,8.0,34.0,94.0,46.0,0.0,1623.0,63.0,449.0,728.0,464.0,40.0,1623.0,28.0,15.0,53.6,13.0,46.4,734.0,3540.0,2109.0,50.0,42.0,5.0,25.0,16.0,879.0,133.0,33,2785.0,84.0,81.4,30.9,32,86.0,28.0,1,30.0,2,0.88,22.0,45.0,-23.0,-0.74,-1.03,31.3,36.2,-4.9,-0.16,-0.45,13.0,1.0,0.0,45.0,36.0,4.0,133.0,34.0,34.0,0.0,1.0,1.0,128.0,39.0,47.0,45.3
Unai Bustinza,es ESP,DF,27.0,29.8,0.0,6.0,3.0,50.0,0.2,0.1,0.0,0.0,13.1,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,904.0,1350.0,67.0,17307.0,7521.0,369.0,447.0,82.6,405.0,559.0,72.5,116.0,281.0,41.3,1.0,1.8,1.7,-0.8,16.0,93.0,11.0,7.0,109.0,1350.0,1137.0,204.0,55.0,1.0,24.0,46.0,149.0,0.0,0.0,0.0,0.0,904.0,9.0,20.0,37.0,1.24,28.0,4.0,1.0,2.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,66.0,40.0,40.0,19.0,7.0,32.0,53.0,60.4,21.0,30.0,9.0,21.0,65.0,131.0,77.0,0.0,1649.0,90.0,649.0,781.0,234.0,21.0,1649.0,16.0,7.0,43.8,9.0,56.3,684.0,3468.0,1960.0,22.0,23.0,4.0,18.0,5.0,755.0,33.0,33,2684.0,81.0,78.5,29.8,31,84.0,22.0,2,40.0,1,0.88,20.0,41.0,-21.0,-0.7,-0.7,27.5,32.4,-4.9,-0.16,-0.41,8.0,0.0,0.0,49.0,56.0,3.0,46.0,65.0,40.0,0.0,1.0,0.0,124.0,79.0,61.0,56.4
Iván Cuéllar,es ESP,GK,35.0,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,421.0,825.0,51.0,17357.0,14551.0,27.0,29.0,93.1,130.0,135.0,96.3,264.0,657.0,40.2,0.0,0.0,0.1,0.0,0.0,28.0,0.0,0.0,2.0,825.0,474.0,348.0,131.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,3.0,1.0,7.0,0.26,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,890.0,670.0,874.0,16.0,0.0,0.0,890.0,0.0,0.0,,0.0,,392.0,3273.0,2165.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,27,2429.0,90.0,71.0,27.0,27,90.0,26.0,0,,1,1.11,25.0,33.0,-8.0,-0.3,0.88,29.7,28.2,1.6,0.06,0.46,4.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,100.0
Rubén Pérez,es ESP,MF,30.0,24.4,1.0,20.0,2.0,10.0,0.82,0.08,0.0,0.0,28.5,0.0,1.0,1.0,1.3,0.5,0.03,-0.3,-0.5,876.0,1140.0,76.8,15977.0,5570.0,372.0,442.0,84.2,373.0,447.0,83.4,107.0,185.0,57.8,1.0,0.4,0.5,0.6,7.0,102.0,4.0,0.0,119.0,1140.0,1090.0,42.0,35.0,1.0,21.0,6.0,2.0,0.0,0.0,0.0,0.0,876.0,8.0,17.0,36.0,1.48,26.0,4.0,0.0,1.0,3.0,2.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,21.0,23.0,6.0,16.0,47.0,34.0,31.0,21.0,4.0,17.0,38.0,88.0,33.0,0.0,1366.0,47.0,351.0,861.0,169.0,3.0,1365.0,26.0,15.0,57.7,11.0,42.3,651.0,2655.0,1039.0,8.0,14.0,0.0,19.0,5.0,730.0,7.0,26,2194.0,84.0,64.2,24.4,25,86.0,22.0,1,36.0,4,0.92,18.0,29.0,-11.0,-0.45,0.28,23.2,25.7,-2.5,-0.1,-0.08,9.0,0.0,0.0,35.0,41.0,0.0,6.0,38.0,27.0,0.0,1.0,0.0,205.0,35.0,29.0,54.7
Dimitris Siovas,gr GRE,DF,30.0,21.3,0.0,12.0,4.0,33.3,0.56,0.19,0.0,0.0,14.4,0.0,0.0,0.0,1.1,1.1,0.09,-1.1,-1.1,599.0,876.0,68.4,11902.0,4946.0,198.0,237.0,83.5,306.0,391.0,78.3,78.0,202.0,38.6,0.0,0.1,0.8,-0.1,3.0,53.0,5.0,1.0,59.0,876.0,764.0,110.0,29.0,1.0,8.0,9.0,81.0,0.0,0.0,0.0,0.0,599.0,2.0,16.0,16.0,0.75,11.0,2.0,1.0,2.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,42.0,31.0,24.0,15.0,3.0,19.0,28.0,67.9,9.0,14.0,1.0,13.0,46.0,88.0,69.0,0.0,1082.0,71.0,494.0,520.0,78.0,33.0,1082.0,8.0,7.0,87.5,1.0,12.5,438.0,2393.0,1310.0,12.0,10.0,0.0,16.0,2.0,474.0,6.0,24,1918.0,80.0,56.1,21.3,23,83.0,18.0,1,16.0,3,0.84,17.0,27.0,-10.0,-0.47,0.19,23.0,22.9,0.1,0.01,0.19,7.0,0.0,0.0,24.0,9.0,3.0,9.0,46.0,31.0,0.0,1.0,0.0,108.0,79.0,44.0,64.2
Roque Mesa,es ESP,MF,30.0,22.4,1.0,27.0,10.0,37.0,1.21,0.45,0.04,0.1,25.2,1.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4,716.0,898.0,79.7,11529.0,3817.0,383.0,424.0,90.3,231.0,272.0,84.9,74.0,136.0,54.4,3.0,2.6,2.1,0.4,29.0,96.0,24.0,5.0,129.0,898.0,828.0,61.0,25.0,3.0,15.0,56.0,11.0,21.0,4.0,13.0,0.0,716.0,9.0,14.0,74.0,3.31,54.0,9.0,4.0,2.0,5.0,0.0,7.0,0.31,7.0,0.0,0.0,0.0,0.0,0.0,40.0,21.0,17.0,18.0,5.0,13.0,44.0,29.5,31.0,13.0,4.0,9.0,11.0,51.0,8.0,0.0,1142.0,16.0,149.0,651.0,371.0,18.0,1142.0,65.0,41.0,63.1,24.0,36.9,755.0,4512.0,2183.0,43.0,47.0,4.0,50.0,32.0,761.0,55.0,29,2012.0,69.0,58.8,22.4,22,79.0,9.0,7,40.0,4,1.0,23.0,31.0,-8.0,-0.36,0.47,26.2,23.5,2.7,0.12,0.48,11.0,0.0,0.0,36.0,51.0,1.0,56.0,11.0,21.0,0.0,0.0,0.0,156.0,11.0,31.0,26.2
Kévin Rodrigues,pt POR,"DF,MF",25.0,21.5,1.0,23.0,8.0,34.8,1.07,0.37,0.04,0.13,23.7,2.0,0.0,0.0,1.2,1.2,0.05,-0.2,-0.2,502.0,773.0,64.9,8549.0,3556.0,246.0,304.0,80.9,178.0,258.0,69.0,58.0,147.0,39.5,2.0,2.8,3.3,-0.8,33.0,31.0,19.0,12.0,50.0,773.0,625.0,146.0,34.0,1.0,2.0,143.0,69.0,41.0,11.0,22.0,1.0,502.0,2.0,20.0,63.0,2.94,36.0,14.0,5.0,4.0,4.0,0.0,4.0,0.19,3.0,1.0,0.0,0.0,0.0,0.0,56.0,31.0,31.0,17.0,8.0,25.0,46.0,54.3,21.0,30.0,3.0,27.0,31.0,87.0,26.0,1.0,1060.0,43.0,250.0,413.0,407.0,28.0,1060.0,51.0,36.0,70.6,15.0,29.4,487.0,2308.0,1043.0,27.0,27.0,6.0,52.0,29.0,546.0,106.0,26,1931.0,74.0,56.5,21.5,22,82.0,15.0,4,33.0,7,1.12,19.0,25.0,-6.0,-0.28,0.63,22.4,21.7,0.7,0.03,0.25,6.0,1.0,1.0,42.0,29.0,2.0,143.0,31.0,31.0,0.0,0.0,0.0,101.0,21.0,49.0,30.0
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",21.0,21.3,9.0,60.0,26.0,43.3,2.82,1.22,0.12,0.27,25.6,16.0,2.0,2.0,4.8,3.2,0.05,4.2,3.8,549.0,811.0,67.7,9167.0,2685.0,299.0,373.0,80.2,160.0,222.0,72.1,69.0,146.0,47.3,2.0,2.9,2.5,-0.9,31.0,56.0,24.0,8.0,97.0,811.0,687.0,119.0,37.0,4.0,11.0,96.0,6.0,41.0,15.0,17.0,1.0,549.0,5.0,21.0,84.0,3.95,51.0,14.0,8.0,4.0,7.0,0.0,5.0,0.24,3.0,0.0,0.0,1.0,1.0,0.0,23.0,10.0,11.0,7.0,5.0,13.0,41.0,31.7,28.0,19.0,0.0,19.0,14.0,37.0,13.0,0.0,1114.0,11.0,119.0,524.0,494.0,53.0,1112.0,84.0,43.0,51.2,41.0,48.8,617.0,4151.0,1872.0,65.0,59.0,15.0,56.0,17.0,681.0,111.0,30,1914.0,64.0,56.0,21.3,22,78.0,7.0,8,26.0,0,0.87,20.0,34.0,-14.0,-0.66,-0.24,22.4,27.1,-4.7,-0.22,-0.33,6.0,1.0,0.0,32.0,38.0,1.0,96.0,14.0,10.0,0.0,0.0,0.0,110.0,17.0,38.0,30.9
Kenneth Omeruo,ng NGA,DF,25.0,20.8,1.0,4.0,1.0,25.0,0.19,0.05,0.25,1.0,12.1,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,471.0,673.0,70.0,10398.0,4410.0,130.0,164.0,79.3,239.0,303.0,78.9,95.0,183.0,51.9,0.0,0.5,0.5,-0.5,5.0,36.0,3.0,2.0,43.0,673.0,649.0,19.0,18.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,471.0,5.0,4.0,7.0,0.34,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,25.0,3.0,0.0,11.0,18.0,61.1,7.0,21.0,12.0,9.0,36.0,64.0,112.0,2.0,902.0,131.0,515.0,374.0,19.0,10.0,902.0,4.0,4.0,100.0,0.0,0.0,329.0,1451.0,600.0,0.0,6.0,0.0,6.0,1.0,346.0,2.0,23,1874.0,81.0,54.8,20.8,22,84.0,17.0,1,23.0,6,0.78,16.0,30.0,-14.0,-0.67,-0.26,18.6,23.4,-4.8,-0.23,-0.35,5.0,0.0,0.0,15.0,7.0,0.0,3.0,36.0,17.0,0.0,1.0,0.0,105.0,69.0,34.0,67.0
Chidozie Awaziem,ng NGA,DF,22.0,22.2,0.0,11.0,0.0,0.0,0.5,0.0,0.0,,14.0,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,604.0,821.0,73.6,11649.0,5056.0,243.0,278.0,87.4,253.0,320.0,79.1,94.0,190.0,49.5,0.0,0.3,0.4,-0.3,5.0,56.0,7.0,2.0,59.0,821.0,715.0,105.0,41.0,2.0,15.0,8.0,64.0,0.0,0.0,0.0,0.0,604.0,1.0,12.0,13.0,0.59,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,29.0,5.0,0.0,16.0,27.0,59.3,11.0,26.0,15.0,11.0,28.0,62.0,73.0,1.0,1024.0,102.0,445.0,522.0,65.0,18.0,1024.0,8.0,6.0,75.0,2.0,25.0,458.0,2351.0,1270.0,12.0,8.0,0.0,8.0,4.0,487.0,8.0,26,1997.0,77.0,58.4,22.2,21,87.0,19.0,5,32.0,8,1.15,17.0,31.0,-14.0,-0.63,-0.19,24.1,27.6,-3.4,-0.15,-0.19,10.0,0.0,0.0,22.0,14.0,2.0,8.0,28.0,22.0,0.0,0.0,0.0,105.0,42.0,54.0,43.8
