player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jesús Navas,es ESP,DF,33.0,37.4,0.0,11.0,2.0,18.2,0.29,0.05,0.0,0.0,22.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,2041.0,2660.0,76.7,33977.0,10181.0,1040.0,1175.0,88.5,746.0,966.0,77.2,191.0,340.0,56.2,7.0,7.7,8.2,-0.7,62.0,134.0,100.0,39.0,244.0,2660.0,2237.0,411.0,27.0,4.0,30.0,232.0,382.0,2.0,0.0,0.0,0.0,2041.0,12.0,65.0,111.0,2.97,100.0,5.0,3.0,1.0,2.0,0.0,16.0,0.43,13.0,0.0,2.0,0.0,1.0,0.0,27.0,15.0,16.0,7.0,4.0,15.0,32.0,46.9,17.0,20.0,7.0,13.0,31.0,58.0,70.0,0.0,2923.0,88.0,691.0,1182.0,1069.0,60.0,2923.0,60.0,37.0,61.7,23.0,38.3,1594.0,10317.0,6692.0,203.0,113.0,40.0,32.0,17.0,1902.0,349.0,38,3369.0,89.0,98.5,37.4,37,90.0,35.0,1,45.0,0,1.84,53.0,32.0,21.0,0.56,2.33,52.8,34.7,18.1,0.48,2.17,4.0,0.0,0.0,18.0,28.0,3.0,232.0,31.0,15.0,0.0,0.0,0.0,210.0,15.0,37.0,28.8
Diego Carlos,br BRA,DF,26.0,34.8,2.0,21.0,3.0,14.3,0.6,0.09,0.1,0.67,16.5,0.0,0.0,0.0,2.3,2.3,0.11,-0.3,-0.3,1613.0,1919.0,84.1,33573.0,13082.0,509.0,558.0,91.2,831.0,908.0,91.5,241.0,396.0,60.9,0.0,0.6,0.8,-0.6,10.0,76.0,4.0,3.0,76.0,1919.0,1843.0,72.0,61.0,1.0,59.0,4.0,9.0,0.0,0.0,0.0,0.0,1613.0,4.0,6.0,18.0,0.52,14.0,0.0,1.0,1.0,0.0,2.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,25.0,9.0,1.0,15.0,25.0,60.0,10.0,33.0,24.0,9.0,37.0,72.0,176.0,1.0,2256.0,361.0,1289.0,917.0,56.0,29.0,2256.0,7.0,7.0,100.0,0.0,0.0,1237.0,4327.0,1879.0,6.0,8.0,0.0,8.0,2.0,1474.0,2.0,35,3134.0,90.0,91.6,34.8,35,90.0,34.0,0,,2,1.86,49.0,31.0,18.0,0.52,-0.11,48.2,32.8,15.4,0.44,-0.12,7.0,0.0,0.0,46.0,11.0,2.0,4.0,37.0,23.0,0.0,1.0,1.0,182.0,95.0,56.0,62.9
Tomáš Vaclík,cz CZE,GK,30.0,32.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,668.0,929.0,71.9,19783.0,13746.0,90.0,90.0,100.0,326.0,332.0,98.2,250.0,500.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,929.0,626.0,300.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,3.0,1.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,969.0,872.0,963.0,6.0,0.0,0.0,969.0,0.0,0.0,,0.0,,449.0,2251.0,1420.0,0.0,0.0,0.0,1.0,0.0,395.0,0.0,33,2925.0,89.0,85.5,32.5,33,89.0,32.0,0,,0,1.73,44.0,31.0,13.0,0.4,-0.87,44.4,31.0,13.4,0.41,-0.27,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.0,1.0,83.3
Lucas Ocampos,ar ARG,"FW,MF",25.0,30.5,14.0,79.0,31.0,39.2,2.59,1.02,0.11,0.29,17.1,0.0,5.0,5.0,12.7,8.8,0.11,1.3,0.2,711.0,959.0,74.1,10099.0,2265.0,426.0,492.0,86.6,177.0,239.0,74.1,52.0,88.0,59.1,3.0,3.2,4.0,-0.2,24.0,44.0,27.0,7.0,93.0,959.0,924.0,29.0,3.0,0.0,18.0,89.0,25.0,1.0,0.0,0.0,0.0,711.0,6.0,51.0,75.0,2.46,48.0,0.0,9.0,5.0,12.0,1.0,8.0,0.26,5.0,0.0,2.0,0.0,1.0,0.0,54.0,31.0,30.0,19.0,5.0,30.0,72.0,41.7,42.0,33.0,2.0,31.0,22.0,76.0,27.0,0.0,1461.0,26.0,186.0,514.0,777.0,176.0,1456.0,152.0,68.0,44.7,84.0,55.3,960.0,6934.0,3611.0,131.0,71.0,64.0,92.0,71.0,1089.0,312.0,33,2745.0,83.0,80.3,30.5,31,86.0,18.0,2,38.0,0,1.97,45.0,24.0,21.0,0.69,0.82,43.5,28.5,15.0,0.49,0.2,10.0,1.0,1.0,42.0,56.0,12.0,89.0,22.0,31.0,1.0,0.0,0.0,141.0,30.0,39.0,43.5
Fernando,br BRA,MF,32.0,29.5,2.0,15.0,5.0,33.3,0.51,0.17,0.13,0.4,10.2,0.0,0.0,0.0,2.6,2.6,0.17,-0.6,-0.6,1382.0,1582.0,87.4,26395.0,7033.0,502.0,578.0,86.9,644.0,704.0,91.5,189.0,224.0,84.4,3.0,0.4,0.9,2.6,10.0,77.0,6.0,1.0,101.0,1582.0,1525.0,52.0,42.0,1.0,27.0,2.0,10.0,0.0,0.0,0.0,0.0,1382.0,5.0,14.0,42.0,1.42,35.0,0.0,2.0,3.0,1.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,62.0,33.0,37.0,24.0,1.0,34.0,58.0,58.6,24.0,38.0,15.0,23.0,67.0,129.0,73.0,1.0,1907.0,142.0,672.0,1066.0,187.0,34.0,1907.0,18.0,12.0,66.7,6.0,33.3,930.0,4044.0,1793.0,16.0,13.0,2.0,25.0,7.0,1134.0,29.0,34,2659.0,78.0,77.7,29.5,30,86.0,27.0,4,19.0,0,1.82,41.0,28.0,13.0,0.44,-0.39,42.2,26.4,15.8,0.54,0.38,13.0,0.0,0.0,39.0,22.0,2.0,2.0,67.0,33.0,0.0,0.0,0.0,187.0,76.0,60.0,55.9
Sergio Reguilón,es ESP,DF,22.0,27.9,2.0,28.0,7.0,25.0,1.0,0.25,0.07,0.29,17.3,0.0,0.0,0.0,2.3,2.3,0.08,-0.3,-0.3,1419.0,1808.0,78.5,22507.0,7931.0,750.0,836.0,89.7,504.0,653.0,77.2,103.0,189.0,54.5,4.0,4.0,4.9,0.0,41.0,82.0,42.0,20.0,128.0,1808.0,1542.0,261.0,28.0,0.0,26.0,100.0,233.0,0.0,0.0,0.0,0.0,1419.0,5.0,38.0,79.0,2.83,63.0,4.0,6.0,3.0,2.0,1.0,9.0,0.32,5.0,1.0,1.0,1.0,1.0,0.0,57.0,30.0,28.0,25.0,4.0,27.0,64.0,42.2,37.0,25.0,5.0,20.0,33.0,90.0,53.0,0.0,2126.0,68.0,555.0,898.0,698.0,78.0,2126.0,69.0,49.0,71.0,20.0,29.0,1153.0,7217.0,4205.0,121.0,93.0,26.0,49.0,26.0,1367.0,237.0,31,2509.0,81.0,73.4,27.9,29,86.0,26.0,2,9.0,4,2.03,39.0,22.0,17.0,0.61,0.31,39.6,27.0,12.6,0.45,0.0,8.0,0.0,0.0,56.0,46.0,4.0,100.0,33.0,30.0,0.0,0.0,0.0,165.0,38.0,39.0,49.4
Éver Banega,ar ARG,MF,31.0,27.5,3.0,38.0,8.0,21.1,1.38,0.29,0.03,0.13,24.9,4.0,2.0,2.0,3.2,1.6,0.04,-0.2,-0.6,1959.0,2401.0,81.6,38746.0,12477.0,763.0,843.0,90.5,785.0,899.0,87.3,340.0,500.0,68.0,7.0,6.1,5.6,0.9,59.0,262.0,28.0,5.0,363.0,2401.0,2122.0,263.0,132.0,9.0,70.0,164.0,10.0,121.0,46.0,49.0,3.0,1959.0,16.0,39.0,132.0,4.8,79.0,43.0,2.0,2.0,5.0,1.0,11.0,0.4,6.0,3.0,1.0,0.0,1.0,0.0,43.0,28.0,16.0,18.0,9.0,21.0,70.0,30.0,49.0,19.0,1.0,18.0,15.0,58.0,5.0,0.0,2633.0,20.0,380.0,1561.0,720.0,26.0,2631.0,81.0,59.0,72.8,22.0,27.2,1690.0,8624.0,4733.0,66.0,60.0,9.0,52.0,38.0,2039.0,77.0,33,2475.0,75.0,72.4,27.5,28,83.0,16.0,5,30.0,2,1.67,34.0,29.0,5.0,0.18,-1.25,37.1,28.2,8.9,0.32,-0.46,10.0,0.0,0.0,31.0,57.0,2.0,164.0,15.0,28.0,0.0,0.0,0.0,199.0,16.0,21.0,43.2
Joan Jordán,es ESP,MF,25.0,25.0,2.0,29.0,7.0,24.1,1.16,0.28,0.07,0.29,23.0,8.0,0.0,0.0,1.9,1.9,0.07,0.1,0.1,1482.0,1759.0,84.3,26468.0,6433.0,711.0,783.0,90.8,492.0,569.0,86.5,210.0,278.0,75.5,2.0,3.4,2.8,-1.4,36.0,152.0,21.0,8.0,184.0,1759.0,1622.0,132.0,60.0,0.0,55.0,88.0,7.0,60.0,12.0,25.0,3.0,1482.0,5.0,21.0,88.0,3.51,56.0,20.0,4.0,3.0,5.0,0.0,8.0,0.32,5.0,2.0,0.0,0.0,1.0,0.0,64.0,34.0,27.0,31.0,6.0,21.0,76.0,27.6,55.0,25.0,5.0,20.0,26.0,90.0,20.0,4.0,1998.0,40.0,332.0,1127.0,556.0,38.0,1998.0,54.0,40.0,74.1,14.0,25.9,1125.0,5212.0,2335.0,40.0,40.0,6.0,36.0,21.0,1416.0,82.0,34,2254.0,66.0,65.9,25.0,27,76.0,10.0,7,30.0,0,1.85,30.0,15.0,15.0,0.6,0.21,33.9,20.6,13.3,0.53,0.23,7.0,0.0,0.0,64.0,37.0,2.0,88.0,26.0,34.0,1.0,0.0,0.0,190.0,34.0,28.0,54.8
Jules Koundé,fr FRA,DF,20.0,25.7,1.0,23.0,5.0,21.7,0.9,0.19,0.04,0.2,11.8,0.0,0.0,0.0,2.2,2.2,0.1,-1.2,-1.2,1279.0,1511.0,84.6,24144.0,8245.0,470.0,520.0,90.4,661.0,728.0,90.8,132.0,215.0,61.4,1.0,1.0,0.8,0.0,4.0,78.0,3.0,2.0,82.0,1511.0,1438.0,70.0,26.0,0.0,3.0,16.0,44.0,0.0,0.0,0.0,0.0,1279.0,3.0,11.0,21.0,0.82,14.0,2.0,3.0,1.0,0.0,1.0,5.0,0.19,3.0,0.0,1.0,1.0,0.0,0.0,23.0,12.0,14.0,5.0,4.0,10.0,18.0,55.6,8.0,16.0,12.0,4.0,23.0,46.0,91.0,2.0,1732.0,167.0,832.0,800.0,112.0,40.0,1732.0,21.0,18.0,85.7,3.0,14.3,1003.0,5134.0,2725.0,27.0,14.0,4.0,16.0,5.0,1186.0,31.0,29,2309.0,80.0,67.5,25.7,25,89.0,24.0,4,23.0,8,2.03,39.0,22.0,17.0,0.66,0.42,34.8,24.2,10.6,0.41,-0.11,6.0,0.0,0.0,21.0,11.0,0.0,16.0,23.0,12.0,0.0,1.0,0.0,108.0,93.0,47.0,66.4
Luuk de Jong,nl NED,FW,28.0,22.9,6.0,57.0,24.0,42.1,2.49,1.05,0.11,0.25,10.7,0.0,0.0,0.0,9.5,9.5,0.17,-3.5,-3.5,367.0,539.0,68.1,4691.0,833.0,218.0,296.0,73.6,89.0,137.0,65.0,18.0,24.0,75.0,1.0,3.3,1.8,-2.3,22.0,22.0,8.0,1.0,42.0,539.0,495.0,36.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,367.0,8.0,10.0,42.0,1.84,31.0,0.0,2.0,7.0,1.0,1.0,6.0,0.26,2.0,0.0,1.0,2.0,1.0,0.0,21.0,10.0,4.0,8.0,9.0,6.0,17.0,35.3,11.0,12.0,1.0,11.0,7.0,28.0,22.0,0.0,774.0,24.0,74.0,377.0,327.0,124.0,774.0,16.0,8.0,50.0,8.0,50.0,321.0,1197.0,458.0,15.0,11.0,7.0,47.0,20.0,563.0,109.0,35,2059.0,59.0,60.2,22.9,24,78.0,11.0,11,17.0,3,1.94,36.0,18.0,18.0,0.79,0.65,34.6,20.1,14.5,0.64,0.46,2.0,0.0,0.0,29.0,37.0,14.0,3.0,7.0,10.0,1.0,0.0,0.0,60.0,142.0,114.0,55.5
