player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jordi Masip,es ESP,GK,30.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,560.0,1053.0,53.2,21109.0,18071.0,52.0,52.0,100.0,197.0,198.0,99.5,311.0,800.0,38.9,0.0,0.0,0.1,0.0,1.0,20.0,0.0,0.0,0.0,1053.0,595.0,455.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,3.0,0.0,8.0,0.23,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,3.0,1112.0,969.0,1108.0,4.0,0.0,0.0,1112.0,0.0,0.0,,0.0,,492.0,3583.0,2689.0,0.0,0.0,0.0,2.0,0.0,338.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,3,1.11,29.0,39.0,-10.0,-0.29,0.05,33.1,50.1,-17.0,-0.49,-0.17,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,5.0,1.0,83.3
Kiko Olivas,es ESP,DF,30.0,32.7,2.0,9.0,4.0,44.4,0.28,0.12,0.22,0.5,9.0,0.0,0.0,0.0,1.7,1.6,0.18,0.3,0.4,1106.0,1276.0,86.7,20743.0,7188.0,416.0,444.0,93.7,530.0,569.0,93.1,128.0,212.0,60.4,0.0,0.1,0.1,-0.1,3.0,56.0,0.0,0.0,69.0,1276.0,1213.0,60.0,59.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1106.0,3.0,9.0,18.0,0.55,13.0,1.0,0.0,2.0,2.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,33.0,16.0,25.0,7.0,1.0,13.0,35.0,37.1,22.0,30.0,16.0,14.0,61.0,94.0,112.0,2.0,1575.0,200.0,821.0,728.0,38.0,16.0,1575.0,12.0,9.0,75.0,3.0,25.0,851.0,5215.0,2951.0,21.0,14.0,0.0,14.0,8.0,898.0,2.0,35,2943.0,84.0,86.1,32.7,33,88.0,32.0,2,16.0,2,1.0,26.0,40.0,-14.0,-0.43,-0.99,31.1,49.2,-18.2,-0.56,-0.59,2.0,0.0,0.0,14.0,29.0,4.0,0.0,61.0,16.0,0.0,1.0,0.0,193.0,46.0,46.0,50.0
Sergi Guardiola,es ESP,FW,28.0,29.5,8.0,56.0,19.0,33.9,1.9,0.64,0.14,0.42,18.8,3.0,0.0,1.0,6.3,5.4,0.1,1.7,2.6,458.0,678.0,67.6,6335.0,1399.0,278.0,337.0,82.5,110.0,174.0,63.2,32.0,57.0,56.1,2.0,2.4,1.9,-0.4,17.0,31.0,10.0,0.0,49.0,678.0,635.0,41.0,1.0,2.0,7.0,35.0,1.0,0.0,0.0,0.0,0.0,458.0,2.0,24.0,55.0,1.86,38.0,0.0,6.0,3.0,8.0,0.0,6.0,0.2,3.0,0.0,2.0,1.0,0.0,0.0,14.0,6.0,3.0,7.0,4.0,4.0,24.0,16.7,20.0,23.0,0.0,23.0,6.0,20.0,18.0,1.0,983.0,23.0,87.0,482.0,433.0,75.0,982.0,66.0,41.0,62.1,25.0,37.9,626.0,3573.0,1405.0,53.0,57.0,18.0,88.0,46.0,771.0,164.0,35,2655.0,76.0,77.6,29.5,31,82.0,18.0,4,32.0,0,1.14,26.0,29.0,-3.0,-0.1,0.84,29.7,42.2,-12.5,-0.42,0.22,6.0,0.0,0.0,52.0,65.0,20.0,35.0,6.0,6.0,1.0,0.0,0.0,66.0,30.0,92.0,24.6
Mohammed Salisu,gh GHA,DF,20.0,30.3,1.0,7.0,1.0,14.3,0.23,0.03,0.14,1.0,10.1,0.0,0.0,0.0,1.4,1.4,0.2,-0.4,-0.4,894.0,1115.0,80.2,17504.0,7079.0,277.0,320.0,86.6,512.0,579.0,88.4,94.0,181.0,51.9,1.0,0.5,0.2,0.5,2.0,45.0,1.0,1.0,62.0,1115.0,1080.0,29.0,25.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,894.0,6.0,10.0,3.0,0.1,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,28.0,13.0,0.0,21.0,34.0,61.8,13.0,32.0,26.0,6.0,35.0,76.0,158.0,3.0,1422.0,232.0,805.0,604.0,25.0,16.0,1422.0,10.0,10.0,100.0,0.0,0.0,709.0,4033.0,1557.0,2.0,6.0,1.0,13.0,6.0,751.0,2.0,31,2725.0,88.0,79.7,30.3,30,89.0,28.0,1,59.0,3,1.13,24.0,33.0,-9.0,-0.3,-0.04,29.4,44.6,-15.2,-0.5,-0.15,4.0,0.0,0.0,22.0,13.0,1.0,1.0,35.0,24.0,0.0,2.0,0.0,149.0,77.0,49.0,61.1
Óscar Plano,es ESP,MF,28.0,27.8,4.0,39.0,12.0,30.8,1.4,0.43,0.1,0.33,17.9,0.0,0.0,0.0,4.2,4.2,0.11,-0.2,-0.2,521.0,747.0,69.7,8489.0,2302.0,274.0,355.0,77.2,168.0,226.0,74.3,53.0,98.0,54.1,2.0,2.7,2.3,-0.7,24.0,58.0,18.0,5.0,83.0,747.0,721.0,21.0,8.0,5.0,6.0,39.0,3.0,8.0,1.0,4.0,0.0,521.0,5.0,18.0,49.0,1.76,35.0,0.0,1.0,2.0,9.0,2.0,5.0,0.18,3.0,0.0,1.0,0.0,1.0,0.0,48.0,30.0,25.0,19.0,4.0,20.0,61.0,32.8,41.0,36.0,3.0,33.0,35.0,83.0,29.0,0.0,1049.0,34.0,217.0,517.0,330.0,45.0,1049.0,26.0,17.0,65.4,9.0,34.6,551.0,3005.0,1349.0,38.0,26.0,6.0,47.0,26.0,647.0,104.0,36,2505.0,70.0,73.2,27.8,28,84.0,15.0,8,20.0,1,1.17,27.0,28.0,-1.0,-0.04,0.95,30.5,37.5,-7.1,-0.25,0.82,6.0,0.0,0.0,47.0,62.0,5.0,39.0,35.0,30.0,1.0,0.0,0.0,147.0,37.0,67.0,35.6
Míchel,es ESP,MF,31.0,24.2,1.0,12.0,2.0,16.7,0.5,0.08,0.0,0.0,25.6,2.0,1.0,1.0,1.3,0.5,0.04,-0.3,-0.5,1098.0,1425.0,77.1,21233.0,6098.0,452.0,507.0,89.2,402.0,487.0,82.5,196.0,340.0,57.6,2.0,2.4,2.5,-0.4,29.0,86.0,19.0,5.0,121.0,1425.0,1231.0,188.0,102.0,1.0,44.0,100.0,3.0,79.0,24.0,32.0,0.0,1098.0,6.0,18.0,61.0,2.52,44.0,14.0,0.0,3.0,0.0,0.0,4.0,0.17,2.0,2.0,0.0,0.0,0.0,0.0,50.0,28.0,26.0,19.0,5.0,22.0,75.0,29.3,53.0,22.0,4.0,18.0,33.0,83.0,41.0,1.0,1644.0,66.0,387.0,955.0,319.0,7.0,1643.0,27.0,19.0,70.4,8.0,29.6,800.0,3671.0,1585.0,12.0,20.0,0.0,32.0,23.0,966.0,33.0,29,2178.0,75.0,63.7,24.2,27,79.0,13.0,2,22.0,4,1.14,17.0,21.0,-4.0,-0.17,0.34,21.3,32.6,-11.2,-0.46,0.02,6.0,0.0,0.0,35.0,16.0,2.0,100.0,33.0,28.0,0.0,0.0,0.0,181.0,15.0,30.0,33.3
Javi Moyano,es ESP,DF,33.0,24.7,0.0,6.0,0.0,0.0,0.24,0.0,0.0,,14.8,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,759.0,1062.0,71.5,11804.0,5120.0,410.0,481.0,85.2,275.0,367.0,74.9,52.0,147.0,35.4,0.0,1.0,0.8,-1.0,13.0,46.0,7.0,4.0,61.0,1062.0,826.0,228.0,19.0,1.0,4.0,35.0,209.0,0.0,0.0,0.0,0.0,759.0,8.0,21.0,33.0,1.33,26.0,1.0,3.0,0.0,3.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,11.0,8.0,0.0,8.0,20.0,40.0,12.0,18.0,5.0,13.0,27.0,46.0,63.0,0.0,1249.0,91.0,440.0,565.0,255.0,13.0,1249.0,20.0,17.0,85.0,3.0,15.0,525.0,2272.0,1110.0,25.0,18.0,2.0,21.0,12.0,591.0,75.0,26,2227.0,86.0,65.1,24.7,26,86.0,22.0,0,,8,1.46,24.0,20.0,4.0,0.16,1.29,24.8,32.2,-7.4,-0.3,0.49,4.0,0.0,0.0,21.0,23.0,1.0,35.0,27.0,8.0,0.0,1.0,0.0,134.0,43.0,35.0,55.1
Enes Ünal,tr TUR,FW,22.0,26.0,6.0,57.0,23.0,40.4,2.19,0.88,0.07,0.17,16.5,2.0,2.0,3.0,9.7,7.4,0.13,-3.7,-3.4,399.0,625.0,63.8,5713.0,1410.0,235.0,331.0,71.0,105.0,167.0,62.9,32.0,44.0,72.7,2.0,2.6,1.2,-0.6,26.0,38.0,8.0,2.0,65.0,625.0,612.0,11.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,399.0,2.0,17.0,58.0,2.23,39.0,0.0,7.0,5.0,7.0,0.0,5.0,0.19,3.0,0.0,0.0,0.0,2.0,0.0,20.0,12.0,6.0,11.0,3.0,6.0,28.0,21.4,22.0,17.0,5.0,12.0,6.0,26.0,13.0,0.0,902.0,17.0,79.0,436.0,396.0,97.0,899.0,40.0,26.0,65.0,14.0,35.0,506.0,2402.0,1162.0,45.0,32.0,16.0,81.0,57.0,728.0,130.0,35,2344.0,67.0,68.5,26.0,23,87.0,17.0,12,29.0,1,1.14,27.0,31.0,-4.0,-0.15,0.43,27.3,39.0,-11.6,-0.45,0.08,4.0,0.0,0.0,41.0,55.0,19.0,8.0,6.0,12.0,3.0,0.0,0.0,65.0,126.0,154.0,45.0
Nacho,es ESP,DF,30.0,21.0,0.0,9.0,2.0,22.2,0.43,0.1,0.0,0.0,23.3,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,820.0,1162.0,70.6,15124.0,6687.0,382.0,440.0,86.8,325.0,412.0,78.9,99.0,239.0,41.4,2.0,2.9,2.6,-0.9,26.0,82.0,25.0,8.0,110.0,1162.0,873.0,278.0,47.0,3.0,15.0,78.0,231.0,0.0,0.0,0.0,0.0,820.0,11.0,30.0,51.0,2.42,42.0,4.0,1.0,0.0,2.0,2.0,5.0,0.24,4.0,0.0,0.0,0.0,1.0,0.0,43.0,22.0,24.0,15.0,4.0,17.0,48.0,35.4,31.0,36.0,8.0,28.0,25.0,68.0,61.0,0.0,1369.0,71.0,441.0,591.0,358.0,19.0,1369.0,23.0,12.0,52.2,11.0,47.8,611.0,2876.0,1595.0,38.0,28.0,1.0,18.0,6.0,694.0,96.0,23,1893.0,82.0,55.4,21.0,21,86.0,18.0,2,44.0,6,1.13,19.0,21.0,-2.0,-0.1,0.44,23.6,27.8,-4.2,-0.2,0.62,2.0,0.0,0.0,28.0,11.0,2.0,78.0,25.0,22.0,0.0,1.0,0.0,121.0,10.0,20.0,33.3
Rubén Alcaraz,es ESP,MF,28.0,21.4,2.0,33.0,8.0,24.2,1.54,0.37,0.06,0.25,25.9,9.0,0.0,0.0,1.9,1.9,0.06,0.1,0.1,830.0,1066.0,77.9,17151.0,5017.0,316.0,366.0,86.3,353.0,406.0,86.9,148.0,248.0,59.7,2.0,1.0,1.2,1.0,16.0,99.0,4.0,1.0,100.0,1066.0,956.0,106.0,82.0,1.0,48.0,26.0,3.0,21.0,10.0,3.0,0.0,830.0,4.0,13.0,51.0,2.38,31.0,7.0,4.0,3.0,6.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,61.0,30.0,37.0,20.0,4.0,30.0,63.0,47.6,33.0,46.0,15.0,31.0,15.0,76.0,41.0,0.0,1340.0,73.0,341.0,848.0,167.0,10.0,1340.0,28.0,23.0,82.1,5.0,17.9,663.0,3258.0,1591.0,26.0,15.0,1.0,23.0,15.0,734.0,21.0,27,1927.0,71.0,56.3,21.4,20,85.0,16.0,7,33.0,3,1.15,17.0,25.0,-8.0,-0.37,-0.19,19.7,30.1,-10.5,-0.49,-0.04,10.0,0.0,0.0,37.0,58.0,0.0,26.0,15.0,30.0,0.0,2.0,0.0,178.0,49.0,52.0,48.5
