player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Fernando Pacheco,es ESP,GK,28.0,37.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,748.0,1083.0,69.1,25926.0,21077.0,118.0,119.0,99.2,259.0,267.0,97.0,368.0,686.0,53.6,0.0,0.0,0.1,0.0,0.0,24.0,0.0,0.0,0.0,1083.0,640.0,436.0,137.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,7.0,0.0,7.0,0.19,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,2.0,4.0,19.0,0.0,1161.0,982.0,1159.0,2.0,0.0,0.0,1161.0,0.0,0.0,,0.0,,504.0,2754.0,1815.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,38,3349.0,88.0,97.9,37.2,37,90.0,37,1,19.0,0,1.0,36.0,57.0,-21.0,-0.56,-0.56,42.1,49.7,-7.7,-0.21,-0.63,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,7.0,1.0,87.5
Joselu,es ESP,FW,30.0,33.6,11.0,89.0,28.0,31.5,2.65,0.83,0.1,0.32,16.3,4.0,2.0,4.0,12.8,9.6,0.11,-1.8,-0.6,600.0,1050.0,57.1,8740.0,2199.0,353.0,541.0,65.2,164.0,296.0,55.4,46.0,95.0,48.4,3.0,3.8,2.2,-0.8,30.0,66.0,19.0,5.0,99.0,1050.0,1024.0,18.0,0.0,0.0,14.0,26.0,3.0,1.0,0.0,0.0,0.0,600.0,8.0,27.0,70.0,2.08,45.0,1.0,4.0,7.0,11.0,2.0,8.0,0.24,5.0,0.0,1.0,0.0,1.0,1.0,27.0,14.0,6.0,15.0,6.0,8.0,28.0,28.6,20.0,26.0,3.0,23.0,15.0,42.0,58.0,1.0,1449.0,61.0,163.0,735.0,558.0,134.0,1445.0,55.0,28.0,50.9,27.0,49.1,692.0,2185.0,702.0,25.0,16.0,11.0,87.0,36.0,1121.0,137.0,37,3026.0,82.0,88.5,33.6,34,87.0,20,3,25.0,0,1.03,32.0,50.0,-18.0,-0.54,0.15,38.6,42.8,-4.2,-0.12,0.59,1.0,0.0,0.0,43.0,74.0,14.0,26.0,15.0,14.0,1.0,0.0,0.0,118.0,249.0,109.0,69.6
Florian Lejeune,fr FRA,DF,29.0,33.5,1.0,23.0,6.0,26.1,0.69,0.18,0.04,0.17,18.6,5.0,0.0,0.0,2.4,2.4,0.13,-1.4,-1.4,1130.0,1477.0,76.5,25072.0,11097.0,350.0,421.0,83.1,582.0,668.0,87.1,192.0,357.0,53.8,1.0,0.9,0.3,0.1,7.0,55.0,2.0,0.0,66.0,1477.0,1395.0,78.0,75.0,0.0,41.0,7.0,3.0,0.0,0.0,0.0,0.0,1130.0,4.0,11.0,22.0,0.66,17.0,2.0,0.0,3.0,0.0,0.0,3.0,0.09,1.0,0.0,0.0,2.0,0.0,0.0,43.0,32.0,36.0,7.0,0.0,21.0,35.0,60.0,14.0,38.0,24.0,14.0,51.0,94.0,149.0,1.0,1820.0,274.0,1071.0,685.0,75.0,34.0,1820.0,13.0,10.0,76.9,3.0,23.1,924.0,4024.0,1833.0,5.0,11.0,2.0,13.0,2.0,1000.0,5.0,34,3015.0,89.0,88.2,33.5,34,89.0,33,0,,0,1.0,34.0,53.0,-19.0,-0.57,-0.12,38.7,45.4,-6.7,-0.2,-0.05,10.0,0.0,0.0,33.0,17.0,2.0,7.0,51.0,32.0,0.0,1.0,0.0,160.0,96.0,50.0,65.8
Tomás Pina Isla,es ESP,MF,32.0,28.6,1.0,9.0,1.0,11.1,0.31,0.03,0.11,1.0,18.5,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,752.0,918.0,81.9,11631.0,3990.0,417.0,485.0,86.0,284.0,324.0,87.7,33.0,62.0,53.2,1.0,1.0,0.7,0.0,7.0,88.0,4.0,1.0,94.0,918.0,905.0,11.0,10.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,752.0,2.0,12.0,24.0,0.84,19.0,0.0,2.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,18.0,16.0,5.0,16.0,42.0,38.1,26.0,28.0,8.0,20.0,37.0,76.0,42.0,0.0,1157.0,69.0,309.0,707.0,151.0,24.0,1157.0,19.0,15.0,78.9,4.0,21.1,572.0,2472.0,879.0,11.0,14.0,2.0,30.0,12.0,634.0,9.0,33,2575.0,78.0,75.3,28.6,31,81.0,15,2,28.0,0,1.12,29.0,40.0,-11.0,-0.38,0.68,32.3,33.4,-1.1,-0.04,0.62,12.0,0.0,0.0,69.0,30.0,2.0,6.0,37.0,18.0,0.0,0.0,0.0,156.0,44.0,41.0,51.8
Víctor Laguardia,es ESP,DF,30.0,29.2,0.0,8.0,3.0,37.5,0.27,0.1,0.0,0.0,9.2,0.0,0.0,0.0,1.3,1.3,0.16,-1.3,-1.3,823.0,1088.0,75.6,19166.0,9092.0,214.0,248.0,86.3,431.0,491.0,87.8,172.0,323.0,53.3,1.0,0.6,0.8,0.4,4.0,61.0,4.0,0.0,50.0,1088.0,1003.0,79.0,76.0,1.0,14.0,5.0,3.0,0.0,0.0,0.0,0.0,823.0,6.0,6.0,11.0,0.38,9.0,1.0,0.0,1.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,13.0,6.0,1.0,14.0,31.0,45.2,17.0,25.0,13.0,12.0,37.0,57.0,104.0,0.0,1319.0,178.0,775.0,518.0,32.0,17.0,1319.0,0.0,0.0,,0.0,,644.0,2766.0,1678.0,10.0,4.0,0.0,6.0,1.0,710.0,3.0,32,2631.0,82.0,76.9,29.2,30,85.0,25,2,45.0,5,1.03,32.0,46.0,-14.0,-0.48,0.32,35.5,39.9,-4.4,-0.15,0.18,5.0,1.0,0.0,25.0,11.0,1.0,5.0,37.0,12.0,0.0,0.0,0.0,107.0,52.0,36.0,59.1
Rubén Duarte,es ESP,DF,24.0,28.3,1.0,14.0,2.0,14.3,0.5,0.07,0.07,0.5,20.6,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4,938.0,1348.0,69.6,16839.0,8824.0,468.0,541.0,86.5,335.0,468.0,71.6,119.0,279.0,42.7,1.0,2.8,2.7,-1.8,29.0,85.0,27.0,11.0,111.0,1348.0,1029.0,315.0,55.0,1.0,11.0,110.0,240.0,20.0,7.0,10.0,2.0,938.0,4.0,29.0,62.0,2.19,39.0,20.0,0.0,1.0,1.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,55.0,30.0,28.0,21.0,6.0,23.0,52.0,44.2,29.0,44.0,6.0,38.0,66.0,121.0,72.0,0.0,1661.0,93.0,542.0,763.0,359.0,12.0,1661.0,13.0,5.0,38.5,8.0,61.5,658.0,2698.0,1382.0,27.0,21.0,0.0,16.0,9.0,761.0,54.0,31,2545.0,82.0,74.4,28.3,29,85.0,22,2,45.0,1,1.06,28.0,43.0,-15.0,-0.53,0.09,33.2,34.8,-1.5,-0.05,0.54,5.0,1.0,1.0,41.0,39.0,0.0,110.0,66.0,30.0,0.0,1.0,0.0,120.0,45.0,27.0,62.5
Rodrigo Battaglia,ar ARG,MF,29.0,27.7,1.0,17.0,5.0,29.4,0.61,0.18,0.06,0.2,16.8,0.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2,870.0,1039.0,83.7,14718.0,3574.0,396.0,450.0,88.0,362.0,406.0,89.2,77.0,117.0,65.8,0.0,0.2,0.4,-0.2,3.0,59.0,4.0,0.0,73.0,1039.0,988.0,49.0,44.0,1.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,870.0,2.0,17.0,20.0,0.72,12.0,0.0,0.0,5.0,2.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,38.0,16.0,21.0,14.0,3.0,16.0,50.0,32.0,34.0,30.0,14.0,16.0,29.0,67.0,40.0,1.0,1253.0,84.0,366.0,770.0,129.0,20.0,1253.0,25.0,18.0,72.0,7.0,28.0,717.0,3705.0,1663.0,22.0,13.0,0.0,18.0,15.0,765.0,14.0,32,2492.0,78.0,72.9,27.7,29,85.0,22,3,11.0,2,1.03,30.0,46.0,-16.0,-0.58,-0.09,33.5,41.3,-7.8,-0.28,-0.33,10.0,1.0,0.0,35.0,30.0,1.0,3.0,29.0,16.0,0.0,0.0,0.0,139.0,43.0,22.0,66.2
Ximo Navarro,es ESP,DF,30.0,26.4,1.0,13.0,3.0,23.1,0.49,0.11,0.08,0.33,25.9,0.0,0.0,0.0,0.4,0.4,0.03,0.6,0.6,802.0,1077.0,74.5,14278.0,5611.0,365.0,442.0,82.6,330.0,430.0,76.7,92.0,157.0,58.6,1.0,0.6,1.0,0.4,8.0,54.0,12.0,8.0,59.0,1077.0,800.0,275.0,32.0,0.0,11.0,43.0,243.0,0.0,0.0,0.0,0.0,802.0,2.0,18.0,30.0,1.14,19.0,6.0,2.0,1.0,2.0,0.0,4.0,0.15,1.0,1.0,1.0,0.0,1.0,0.0,54.0,30.0,36.0,17.0,1.0,14.0,30.0,46.7,16.0,14.0,4.0,10.0,47.0,101.0,75.0,3.0,1371.0,85.0,526.0,639.0,224.0,9.0,1371.0,29.0,16.0,55.2,13.0,44.8,615.0,3897.0,1653.0,28.0,31.0,1.0,27.0,19.0,610.0,27.0,31,2375.0,77.0,69.4,26.4,28,83.0,21,3,18.0,4,1.16,21.0,34.0,-13.0,-0.49,0.2,30.0,31.7,-1.7,-0.06,0.42,6.0,0.0,0.0,33.0,34.0,0.0,43.0,47.0,30.0,1.0,0.0,0.0,129.0,19.0,35.0,35.2
Édgar Méndez,es ESP,"MF,FW",30.0,23.2,5.0,35.0,10.0,28.6,1.51,0.43,0.14,0.5,16.5,0.0,0.0,0.0,5.5,5.5,0.16,-0.5,-0.5,259.0,475.0,54.5,4339.0,1237.0,136.0,201.0,67.7,89.0,156.0,57.1,28.0,72.0,38.9,1.0,1.6,0.8,-0.6,18.0,14.0,15.0,9.0,23.0,475.0,437.0,32.0,2.0,0.0,6.0,62.0,21.0,1.0,0.0,0.0,0.0,259.0,6.0,19.0,33.0,1.42,20.0,1.0,2.0,4.0,5.0,1.0,3.0,0.13,1.0,1.0,0.0,0.0,1.0,0.0,39.0,29.0,18.0,13.0,8.0,15.0,48.0,31.3,33.0,20.0,3.0,17.0,19.0,58.0,14.0,0.0,743.0,18.0,138.0,325.0,294.0,55.0,743.0,39.0,18.0,46.2,21.0,53.8,413.0,2610.0,1055.0,47.0,21.0,15.0,66.0,25.0,458.0,115.0,33,2090.0,63.0,61.1,23.2,26,74.0,3,7,25.0,2,0.91,20.0,29.0,-9.0,-0.39,0.42,22.4,28.0,-5.6,-0.24,-0.13,12.0,1.0,1.0,52.0,51.0,8.0,62.0,19.0,29.0,0.0,0.0,0.0,107.0,58.0,50.0,53.7
Luis Rioja,es ESP,"MF,FW",26.0,23.2,4.0,24.0,9.0,37.5,1.03,0.39,0.17,0.44,18.1,0.0,0.0,0.0,3.3,3.3,0.14,0.7,0.7,435.0,660.0,65.9,6391.0,1871.0,275.0,331.0,83.1,122.0,195.0,62.6,29.0,67.0,43.3,2.0,2.7,3.1,-0.7,25.0,31.0,19.0,13.0,42.0,660.0,578.0,79.0,9.0,0.0,0.0,90.0,55.0,15.0,5.0,8.0,0.0,435.0,3.0,28.0,54.0,2.33,38.0,4.0,3.0,2.0,5.0,2.0,9.0,0.39,4.0,1.0,1.0,0.0,1.0,2.0,21.0,14.0,11.0,7.0,3.0,7.0,39.0,17.9,32.0,23.0,1.0,22.0,20.0,41.0,30.0,0.0,904.0,30.0,172.0,362.0,387.0,57.0,904.0,72.0,40.0,55.6,32.0,44.4,490.0,3526.0,1989.0,71.0,44.0,30.0,49.0,24.0,533.0,130.0,35,2090.0,60.0,61.1,23.2,25,74.0,3,10,23.0,3,0.91,27.0,39.0,-12.0,-0.52,0.09,28.8,34.2,-5.4,-0.23,-0.1,4.0,0.0,0.0,19.0,28.0,7.0,90.0,20.0,14.0,1.0,0.0,0.0,107.0,18.0,23.0,43.9
