player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Emerson,br BRA,DF,21.0,33.2,1.0,11.0,3.0,27.3,0.33,0.09,0.09,0.33,16.6,0.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,1533.0,1936.0,79.2,22046.0,8020.0,886.0,998.0,88.8,490.0,588.0,83.3,83.0,180.0,46.1,4.0,2.7,2.8,1.3,33.0,90.0,38.0,18.0,132.0,1936.0,1573.0,357.0,46.0,0.0,4.0,90.0,311.0,0.0,0.0,0.0,0.0,1533.0,6.0,52.0,70.0,2.11,57.0,7.0,1.0,0.0,4.0,1.0,4.0,0.12,3.0,0.0,0.0,0.0,1.0,0.0,91.0,52.0,62.0,25.0,4.0,43.0,78.0,55.1,35.0,33.0,6.0,27.0,61.0,152.0,102.0,2.0,2362.0,115.0,636.0,1018.0,721.0,80.0,2362.0,47.0,24.0,51.1,23.0,48.9,1184.0,5814.0,3265.0,91.0,63.0,19.0,54.0,34.0,1384.0,186.0,34,2991.0,88.0,87.5,33.2,34,88.0,32,0,,0,1.71,49.0,39.0,10.0,0.3,2.4,46.5,37.9,8.6,0.26,1.59,9.0,1.0,0.0,57.0,73.0,3.0,90.0,61.0,52.0,1.0,1.0,1.0,165.0,58.0,35.0,62.4
Guido Rodríguez,ar ARG,MF,26.0,31.8,1.0,30.0,9.0,30.0,0.94,0.28,0.03,0.11,19.8,0.0,0.0,0.0,2.3,2.3,0.08,-1.3,-1.3,1378.0,1645.0,83.8,24007.0,6634.0,624.0,708.0,88.1,553.0,621.0,89.0,156.0,224.0,69.6,0.0,0.7,0.6,-0.7,11.0,119.0,7.0,0.0,127.0,1645.0,1584.0,58.0,49.0,1.0,21.0,2.0,9.0,0.0,0.0,0.0,0.0,1378.0,3.0,23.0,42.0,1.32,32.0,0.0,4.0,2.0,2.0,2.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,98.0,56.0,52.0,40.0,6.0,40.0,85.0,47.1,45.0,52.0,14.0,38.0,68.0,166.0,58.0,2.0,2017.0,104.0,527.0,1302.0,201.0,25.0,2017.0,43.0,35.0,81.4,8.0,18.6,1064.0,4061.0,1848.0,14.0,17.0,4.0,25.0,22.0,1234.0,12.0,35,2864.0,82.0,83.7,31.8,34,84.0,25,1,16.0,0,1.54,37.0,45.0,-8.0,-0.25,-1.55,38.7,39.4,-0.7,-0.02,-0.49,10.0,0.0,0.0,59.0,47.0,0.0,2.0,68.0,56.0,0.0,1.0,0.0,229.0,56.0,47.0,54.4
Nabil Fekir,fr FRA,"MF,FW",27.0,29.1,5.0,83.0,24.0,28.9,2.85,0.82,0.05,0.17,21.9,9.0,1.0,3.0,7.0,4.6,0.06,-2.0,-0.6,1048.0,1309.0,80.1,15519.0,4235.0,555.0,611.0,90.8,325.0,399.0,81.5,85.0,155.0,54.8,6.0,5.2,5.5,0.8,51.0,105.0,43.0,7.0,152.0,1309.0,1150.0,152.0,41.0,4.0,11.0,115.0,11.0,83.0,27.0,30.0,2.0,1048.0,7.0,26.0,148.0,5.08,85.0,19.0,20.0,9.0,12.0,3.0,19.0,0.65,11.0,3.0,2.0,0.0,2.0,1.0,45.0,23.0,9.0,22.0,14.0,7.0,43.0,16.3,36.0,31.0,2.0,29.0,8.0,53.0,2.0,0.0,1669.0,4.0,83.0,723.0,891.0,106.0,1666.0,117.0,85.0,72.6,32.0,27.4,1053.0,6519.0,3165.0,103.0,88.0,39.0,78.0,83.0,1323.0,182.0,33,2622.0,79.0,76.7,29.1,33,79.0,17,0,,0,1.64,39.0,37.0,2.0,0.07,0.29,38.6,32.5,6.1,0.21,0.65,5.0,1.0,0.0,79.0,93.0,13.0,115.0,8.0,23.0,3.0,0.0,0.0,103.0,26.0,61.0,29.9
Sergio Canales,es ESP,"MF,FW",29.0,27.8,8.0,44.0,10.0,22.7,1.59,0.36,0.14,0.6,22.4,5.0,2.0,3.0,5.3,2.9,0.07,2.7,3.1,1497.0,1779.0,84.1,27142.0,5662.0,659.0,731.0,90.2,545.0,619.0,88.0,211.0,300.0,70.3,6.0,6.7,5.4,-0.7,59.0,120.0,47.0,12.0,200.0,1779.0,1645.0,128.0,61.0,1.0,41.0,103.0,15.0,46.0,11.0,25.0,0.0,1497.0,6.0,24.0,121.0,4.36,89.0,18.0,4.0,7.0,3.0,0.0,15.0,0.54,11.0,2.0,1.0,1.0,0.0,0.0,16.0,9.0,9.0,6.0,1.0,3.0,21.0,14.3,18.0,18.0,0.0,18.0,13.0,29.0,5.0,0.0,1967.0,16.0,209.0,1046.0,737.0,60.0,1964.0,43.0,32.0,74.4,11.0,25.6,1279.0,7483.0,4000.0,102.0,76.0,10.0,42.0,26.0,1556.0,127.0,31,2498.0,81.0,73.0,27.8,28,87.0,20,3,17.0,0,1.65,38.0,30.0,8.0,0.29,1.07,38.0,31.0,7.0,0.25,0.72,4.0,0.0,0.0,15.0,21.0,2.0,103.0,13.0,9.0,0.0,0.0,0.0,157.0,8.0,24.0,25.0
Aïssa Mandi,dz ALG,DF,28.0,26.6,3.0,8.0,7.0,87.5,0.3,0.26,0.38,0.43,6.3,0.0,0.0,0.0,2.1,2.1,0.26,0.9,0.9,1387.0,1526.0,90.9,27767.0,10336.0,450.0,484.0,93.0,748.0,785.0,95.3,173.0,228.0,75.9,1.0,0.8,0.2,0.2,4.0,46.0,1.0,0.0,62.0,1526.0,1459.0,66.0,61.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,1387.0,1.0,6.0,9.0,0.34,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,30.0,17.0,20.0,10.0,0.0,10.0,16.0,62.5,6.0,21.0,13.0,8.0,39.0,69.0,90.0,0.0,1734.0,180.0,867.0,837.0,37.0,21.0,1734.0,2.0,2.0,100.0,0.0,0.0,1053.0,4257.0,2214.0,5.0,5.0,0.0,7.0,2.0,1224.0,3.0,28,2392.0,85.0,69.9,26.6,27,89.0,25,1,1.0,5,1.57,37.0,31.0,6.0,0.23,0.75,36.3,30.4,5.9,0.22,0.54,6.0,2.0,1.0,20.0,13.0,2.0,1.0,39.0,17.0,0.0,2.0,0.0,129.0,41.0,25.0,62.1
Víctor Ruiz,es ESP,DF,31.0,24.0,2.0,4.0,4.0,100.0,0.17,0.17,0.5,0.5,11.5,0.0,0.0,0.0,1.5,1.5,0.38,0.5,0.5,1121.0,1301.0,86.2,21084.0,8706.0,404.0,447.0,90.4,594.0,642.0,92.5,106.0,178.0,59.6,0.0,0.1,0.2,-0.1,2.0,42.0,5.0,0.0,76.0,1301.0,1240.0,59.0,52.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,1121.0,2.0,9.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,4.0,0.0,4.0,13.0,30.8,9.0,17.0,13.0,4.0,44.0,55.0,85.0,0.0,1487.0,152.0,731.0,735.0,32.0,9.0,1487.0,7.0,6.0,85.7,1.0,14.3,850.0,4245.0,2372.0,13.0,8.0,0.0,9.0,2.0,954.0,3.0,27,2157.0,80.0,63.1,24.0,24,88.0,22,3,18.0,7,1.63,33.0,31.0,2.0,0.08,0.23,30.5,28.1,2.3,0.1,0.1,9.0,0.0,0.0,23.0,5.0,3.0,0.0,44.0,7.0,0.0,0.0,2.0,130.0,65.0,41.0,61.3
Aitor Ruibal,es ESP,"FW,MF",24.0,17.7,2.0,33.0,14.0,42.4,1.86,0.79,0.06,0.14,17.9,0.0,0.0,0.0,2.9,2.9,0.09,-0.9,-0.9,411.0,556.0,73.9,5304.0,1786.0,271.0,305.0,88.9,91.0,131.0,69.5,21.0,38.0,55.3,2.0,2.1,1.7,-0.1,24.0,31.0,20.0,3.0,54.0,556.0,543.0,10.0,1.0,0.0,2.0,18.0,9.0,0.0,0.0,0.0,0.0,411.0,3.0,33.0,54.0,3.05,40.0,0.0,9.0,3.0,1.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,14.0,14.0,4.0,10.0,35.0,28.6,25.0,26.0,0.0,26.0,11.0,43.0,8.0,0.0,776.0,5.0,105.0,320.0,370.0,64.0,776.0,60.0,37.0,61.7,23.0,38.3,462.0,2663.0,1365.0,40.0,26.0,14.0,50.0,36.0,545.0,148.0,28,1593.0,57.0,46.6,17.7,21,68.0,2,7,22.0,8,1.5,17.0,25.0,-8.0,-0.45,-0.85,21.1,19.9,1.3,0.07,0.02,2.0,0.0,0.0,37.0,17.0,5.0,18.0,11.0,18.0,0.0,0.0,0.0,91.0,14.0,15.0,48.3
Claudio Bravo,cl CHI,GK,37.0,20.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,422.0,648.0,65.1,12642.0,9294.0,78.0,78.0,100.0,175.0,177.0,98.9,162.0,385.0,42.1,0.0,0.1,0.0,-0.1,3.0,13.0,0.0,0.0,1.0,648.0,442.0,205.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,1.0,0.0,5.0,0.25,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,699.0,590.0,696.0,3.0,0.0,0.0,699.0,3.0,3.0,100.0,0.0,0.0,367.0,1849.0,1229.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,20,1800.0,90.0,52.6,20.0,20,90.0,20,0,,5,1.6,25.0,25.0,0.0,0.0,0.0,27.4,24.6,2.8,0.14,0.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,100.0
Álex Moreno,es ESP,DF,27.0,19.8,0.0,11.0,3.0,27.3,0.55,0.15,0.0,0.0,18.7,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,897.0,1163.0,77.1,13461.0,4579.0,508.0,572.0,88.8,302.0,374.0,80.7,51.0,132.0,38.6,2.0,2.8,2.5,-0.8,17.0,53.0,16.0,7.0,65.0,1163.0,974.0,184.0,14.0,1.0,5.0,42.0,170.0,0.0,0.0,0.0,0.0,897.0,5.0,29.0,35.0,1.76,27.0,3.0,3.0,0.0,1.0,1.0,4.0,0.2,3.0,1.0,0.0,0.0,0.0,0.0,42.0,26.0,25.0,12.0,5.0,20.0,43.0,46.5,23.0,18.0,4.0,14.0,35.0,77.0,48.0,0.0,1398.0,80.0,430.0,654.0,327.0,40.0,1398.0,43.0,26.0,60.5,17.0,39.5,766.0,4081.0,2133.0,61.0,36.0,16.0,33.0,11.0,774.0,84.0,23,1786.0,78.0,52.2,19.8,20,86.0,17,3,22.0,13,1.39,27.0,32.0,-5.0,-0.25,-0.53,25.4,28.8,-3.4,-0.17,-0.48,4.0,0.0,0.0,21.0,22.0,0.0,42.0,35.0,26.0,0.0,1.0,0.0,132.0,23.0,23.0,50.0
Marc Bartra,es ESP,DF,29.0,18.8,0.0,10.0,4.0,40.0,0.53,0.21,0.0,0.0,18.5,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,776.0,971.0,79.9,15090.0,4832.0,263.0,303.0,86.8,425.0,479.0,88.7,78.0,164.0,47.6,1.0,1.0,0.9,0.0,3.0,30.0,2.0,0.0,31.0,971.0,917.0,49.0,43.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,776.0,5.0,4.0,9.0,0.48,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,18.0,8.0,1.0,12.0,22.0,54.5,10.0,19.0,5.0,14.0,40.0,67.0,74.0,3.0,1173.0,132.0,605.0,530.0,44.0,14.0,1173.0,8.0,7.0,87.5,1.0,12.5,599.0,2610.0,1394.0,4.0,9.0,0.0,12.0,1.0,722.0,4.0,19,1694.0,89.0,49.5,18.8,19,89.0,18,0,,6,1.47,23.0,27.0,-4.0,-0.21,-0.42,21.7,25.6,-3.9,-0.21,-0.52,3.0,0.0,0.0,29.0,15.0,2.0,2.0,40.0,16.0,0.0,4.0,0.0,86.0,58.0,41.0,58.6
