player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jens Jønsson,dk DEN,MF,27.0,29.1,0.0,15.0,2.0,13.3,0.52,0.07,0.0,0.0,19.0,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,526.0,696.0,75.6,8337.0,2373.0,253.0,324.0,78.1,201.0,256.0,78.5,44.0,68.0,64.7,0.0,1.7,0.6,-1.7,12.0,40.0,6.0,0.0,58.0,696.0,679.0,14.0,13.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,526.0,3.0,10.0,37.0,1.27,32.0,1.0,0.0,2.0,2.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,55.0,29.0,25.0,25.0,5.0,22.0,52.0,42.3,30.0,39.0,7.0,32.0,51.0,106.0,45.0,0.0,972.0,71.0,307.0,521.0,153.0,15.0,972.0,21.0,15.0,71.4,6.0,28.6,385.0,2063.0,803.0,12.0,14.0,3.0,22.0,10.0,411.0,13.0,35,2615.0,75.0,76.5,29.1,33,78.0,16,2,21.0,1,1.23,32.0,38.0,-6.0,-0.21,1.58,26.4,35.3,-8.9,-0.31,1.01,6.0,0.0,0.0,34.0,24.0,0.0,3.0,51.0,29.0,0.0,1.0,0.0,143.0,40.0,34.0,54.1
Jeremías Ledesma,ar ARG,GK,27.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,480.0,1007.0,47.7,23277.0,21612.0,34.0,35.0,97.1,69.0,80.0,86.3,374.0,884.0,42.3,0.0,0.0,0.1,0.0,0.0,53.0,0.0,0.0,1.0,1007.0,543.0,462.0,165.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,2.0,3.0,10.0,0.31,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,6.0,1108.0,883.0,1100.0,8.0,0.0,0.0,1108.0,2.0,1.0,50.0,1.0,50.0,468.0,3815.0,2681.0,0.0,0.0,0.0,3.0,0.0,271.0,0.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,,3,1.25,28.0,45.0,-17.0,-0.53,0.3,28.4,45.9,-17.5,-0.55,-0.02,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,9.0,1.0,90.0
Alfonso Espino,uy URU,DF,28.0,28.9,0.0,8.0,4.0,50.0,0.28,0.14,0.0,0.0,23.7,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,650.0,1043.0,62.3,12016.0,6219.0,265.0,331.0,80.1,288.0,417.0,69.1,75.0,210.0,35.7,3.0,1.4,1.4,1.6,15.0,43.0,13.0,11.0,63.0,1043.0,772.0,262.0,23.0,0.0,15.0,80.0,239.0,0.0,0.0,0.0,0.0,650.0,9.0,28.0,23.0,0.8,19.0,4.0,0.0,0.0,0.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,92.0,48.0,63.0,28.0,1.0,43.0,85.0,50.6,42.0,30.0,5.0,25.0,41.0,133.0,74.0,0.0,1363.0,93.0,586.0,548.0,250.0,17.0,1363.0,28.0,16.0,57.1,12.0,42.9,506.0,2606.0,1191.0,31.0,17.0,4.0,32.0,16.0,516.0,59.0,32,2601.0,81.0,76.1,28.9,31,83.0,24,1,31.0,1,1.13,26.0,37.0,-11.0,-0.38,0.83,27.0,38.7,-11.7,-0.4,0.59,6.0,0.0,0.0,33.0,21.0,3.0,80.0,41.0,48.0,0.0,0.0,0.0,178.0,36.0,37.0,49.3
Isaac Carcelen,es ESP,DF,27.0,28.7,0.0,11.0,3.0,27.3,0.38,0.1,0.0,0.0,26.3,6.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,769.0,1112.0,69.2,13578.0,6381.0,346.0,421.0,82.2,319.0,432.0,73.8,81.0,193.0,42.0,1.0,1.1,1.2,-0.1,13.0,71.0,9.0,6.0,92.0,1112.0,798.0,309.0,46.0,0.0,9.0,82.0,245.0,18.0,5.0,12.0,0.0,769.0,5.0,24.0,43.0,1.5,26.0,11.0,2.0,1.0,2.0,1.0,4.0,0.14,3.0,0.0,1.0,0.0,0.0,0.0,68.0,43.0,36.0,25.0,7.0,33.0,60.0,55.0,27.0,37.0,12.0,25.0,49.0,117.0,89.0,0.0,1422.0,125.0,545.0,578.0,312.0,8.0,1422.0,40.0,34.0,85.0,6.0,15.0,539.0,2693.0,1325.0,31.0,26.0,5.0,27.0,25.0,525.0,43.0,32,2581.0,81.0,75.5,28.7,31,82.0,24,1,33.0,0,1.13,28.0,44.0,-16.0,-0.56,0.09,24.4,40.0,-15.6,-0.54,0.01,3.0,0.0,0.0,17.0,51.0,0.0,82.0,49.0,43.0,0.0,3.0,0.0,171.0,28.0,33.0,45.9
Fali,es ESP,"DF,MF",26.0,29.3,0.0,10.0,2.0,20.0,0.34,0.07,0.0,0.0,13.0,1.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,505.0,731.0,69.1,10976.0,3814.0,157.0,192.0,81.8,232.0,289.0,80.3,105.0,228.0,46.1,0.0,0.6,1.3,-0.6,8.0,54.0,9.0,3.0,68.0,731.0,671.0,58.0,51.0,2.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,505.0,2.0,4.0,21.0,0.72,17.0,0.0,1.0,1.0,1.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,42.0,25.0,24.0,15.0,3.0,16.0,37.0,43.2,21.0,28.0,15.0,13.0,32.0,74.0,119.0,0.0,995.0,161.0,424.0,484.0,96.0,19.0,995.0,5.0,4.0,80.0,1.0,20.0,418.0,1764.0,859.0,10.0,12.0,2.0,11.0,4.0,470.0,12.0,34,2637.0,78.0,77.1,29.3,29,87.0,23,5,25.0,2,1.24,28.0,44.0,-16.0,-0.55,0.14,27.3,43.0,-15.7,-0.54,0.04,11.0,0.0,0.0,20.0,23.0,0.0,19.0,32.0,25.0,0.0,1.0,0.0,109.0,36.0,37.0,49.3
Álvaro Negredo,es ESP,FW,34.0,24.4,8.0,48.0,20.0,41.7,1.97,0.82,0.17,0.4,15.4,2.0,0.0,0.0,5.7,5.7,0.12,2.3,2.3,322.0,578.0,55.7,4793.0,997.0,170.0,268.0,63.4,95.0,158.0,60.1,26.0,58.0,44.8,4.0,3.9,1.9,0.1,20.0,29.0,14.0,0.0,44.0,578.0,512.0,60.0,1.0,5.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,322.0,6.0,13.0,46.0,1.88,31.0,1.0,5.0,4.0,3.0,2.0,9.0,0.37,7.0,0.0,0.0,1.0,0.0,1.0,11.0,5.0,3.0,4.0,4.0,5.0,11.0,45.5,6.0,7.0,2.0,5.0,3.0,14.0,19.0,0.0,798.0,27.0,54.0,436.0,319.0,73.0,798.0,39.0,29.0,74.4,10.0,25.6,355.0,1398.0,491.0,18.0,13.0,7.0,63.0,21.0,602.0,69.0,35,2198.0,63.0,64.3,24.4,29,73.0,4,6,15.0,0,1.2,21.0,41.0,-20.0,-0.82,-0.67,20.9,37.2,-16.3,-0.67,-0.35,5.0,1.0,1.0,21.0,37.0,7.0,10.0,3.0,5.0,0.0,1.0,0.0,43.0,126.0,135.0,48.3
Cala,es ESP,DF,30.0,25.2,3.0,14.0,5.0,35.7,0.55,0.2,0.21,0.6,13.4,0.0,0.0,0.0,1.9,1.9,0.14,1.1,1.1,523.0,750.0,69.7,12396.0,4893.0,126.0,158.0,79.7,272.0,342.0,79.5,120.0,231.0,51.9,0.0,0.2,0.1,-0.2,3.0,37.0,1.0,0.0,47.0,750.0,696.0,52.0,51.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,523.0,2.0,4.0,8.0,0.32,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,21.0,12.0,15.0,6.0,0.0,11.0,21.0,52.4,10.0,18.0,8.0,10.0,35.0,56.0,91.0,0.0,971.0,139.0,503.0,443.0,33.0,20.0,971.0,4.0,4.0,100.0,0.0,0.0,425.0,1868.0,925.0,3.0,4.0,0.0,9.0,2.0,439.0,2.0,28,2272.0,81.0,66.4,25.2,26,85.0,22,2,29.0,1,1.21,22.0,37.0,-15.0,-0.59,-0.05,23.1,36.4,-13.3,-0.53,0.05,8.0,0.0,0.0,31.0,30.0,1.0,0.0,35.0,12.0,1.0,1.0,0.0,117.0,58.0,36.0,61.7
Salvi,es ESP,"MF,FW",29.0,21.5,2.0,17.0,5.0,29.4,0.79,0.23,0.12,0.4,19.2,0.0,0.0,0.0,2.0,2.0,0.12,0.0,0.0,323.0,594.0,54.4,4685.0,1935.0,175.0,234.0,74.8,94.0,171.0,55.0,26.0,98.0,26.5,0.0,1.5,1.7,-1.5,18.0,13.0,20.0,15.0,29.0,594.0,501.0,91.0,14.0,0.0,1.0,141.0,51.0,26.0,6.0,18.0,0.0,323.0,2.0,41.0,34.0,1.58,18.0,9.0,1.0,0.0,5.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,14.0,3.0,1.0,8.0,26.0,30.8,18.0,14.0,1.0,13.0,20.0,38.0,24.0,0.0,785.0,29.0,184.0,251.0,364.0,24.0,785.0,33.0,12.0,36.4,21.0,63.6,404.0,2739.0,1156.0,51.0,32.0,4.0,49.0,23.0,462.0,131.0,28,1933.0,69.0,56.5,21.5,25,72.0,5,3,46.0,1,1.11,17.0,31.0,-14.0,-0.65,-0.17,15.4,31.4,-16.0,-0.74,-0.46,5.0,0.0,0.0,16.0,29.0,7.0,141.0,20.0,10.0,0.0,1.0,0.0,98.0,19.0,33.0,36.5
Marcos Mauro López Gutiérrez,ar ARG,DF,29.0,20.3,2.0,6.0,4.0,66.7,0.3,0.2,0.33,0.5,8.4,0.0,0.0,0.0,1.5,1.5,0.25,0.5,0.5,405.0,492.0,82.3,8712.0,2623.0,92.0,107.0,86.0,247.0,270.0,91.5,57.0,95.0,60.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,13.0,492.0,460.0,30.0,29.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,405.0,2.0,2.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,23.0,15.0,15.0,8.0,0.0,15.0,24.0,62.5,9.0,18.0,12.0,6.0,22.0,45.0,78.0,0.0,659.0,110.0,336.0,307.0,17.0,9.0,659.0,0.0,0.0,,0.0,,259.0,850.0,296.0,2.0,0.0,0.0,3.0,1.0,299.0,0.0,24,1825.0,76.0,53.4,20.3,22,80.0,18,2,32.0,6,1.04,17.0,31.0,-14.0,-0.69,-0.24,18.0,29.3,-11.4,-0.56,-0.03,2.0,1.0,0.0,11.0,5.0,0.0,0.0,22.0,15.0,0.0,1.0,0.0,75.0,34.0,24.0,58.6
Álex Fernández,es ESP,MF,27.0,21.6,4.0,8.0,2.0,25.0,0.37,0.09,0.25,1.0,19.3,0.0,2.0,2.0,3.3,1.8,0.22,0.7,0.2,692.0,936.0,73.9,12283.0,3707.0,307.0,353.0,87.0,271.0,332.0,81.6,86.0,183.0,47.0,1.0,1.5,1.9,-0.5,23.0,66.0,13.0,5.0,104.0,936.0,760.0,171.0,74.0,0.0,14.0,123.0,13.0,75.0,34.0,32.0,1.0,692.0,5.0,22.0,51.0,2.36,27.0,23.0,0.0,0.0,1.0,0.0,5.0,0.23,3.0,2.0,0.0,0.0,0.0,0.0,19.0,9.0,8.0,8.0,3.0,8.0,30.0,26.7,22.0,14.0,1.0,13.0,22.0,41.0,15.0,0.0,1086.0,26.0,194.0,587.0,322.0,16.0,1084.0,22.0,15.0,68.2,7.0,31.8,537.0,2738.0,1188.0,26.0,21.0,3.0,33.0,16.0,628.0,43.0,25,1946.0,78.0,56.9,21.6,21,86.0,14,4,33.0,0,1.16,21.0,29.0,-8.0,-0.37,0.48,21.2,24.3,-3.1,-0.14,0.93,1.0,0.0,0.0,11.0,31.0,0.0,123.0,22.0,9.0,0.0,0.0,0.0,130.0,21.0,22.0,48.8
