player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kike,es ESP,FW,30.0,34.3,12.0,87.0,34.0,39.1,2.54,0.99,0.14,0.35,13.7,1.0,0.0,0.0,10.8,10.8,0.13,1.2,1.2,574.0,885.0,64.9,7558.0,869.0,353.0,460.0,76.7,142.0,234.0,60.7,31.0,62.0,50.0,2.0,2.1,1.0,-0.1,27.0,30.0,10.0,6.0,53.0,885.0,831.0,49.0,2.0,0.0,5.0,47.0,2.0,0.0,0.0,0.0,0.0,574.0,5.0,31.0,73.0,2.13,39.0,0.0,7.0,8.0,17.0,2.0,6.0,0.17,1.0,0.0,3.0,0.0,0.0,2.0,24.0,18.0,5.0,7.0,12.0,6.0,22.0,27.3,16.0,24.0,1.0,23.0,7.0,31.0,29.0,0.0,1336.0,33.0,73.0,541.0,733.0,141.0,1336.0,54.0,36.0,66.7,18.0,33.3,771.0,3263.0,914.0,36.0,33.0,9.0,140.0,64.0,1071.0,247.0,37,3087.0,83.0,90.3,34.3,36,85.0,17,1,29.0,0,0.73,26.0,49.0,-23.0,-0.67,-0.67,40.2,39.8,0.4,0.01,0.26,4.0,1.0,1.0,68.0,92.0,15.0,47.0,7.0,18.0,0.0,0.0,0.0,128.0,185.0,203.0,47.7
Marko Dmitrović,rs SRB,GK,28.0,34.7,1.0,1.0,0.0,0.0,0.03,0.0,0.0,,46.8,0.0,1.0,2.0,1.6,0.0,0.04,-0.6,0.0,585.0,1071.0,54.6,25494.0,21674.0,51.0,52.0,98.1,175.0,175.0,100.0,356.0,838.0,42.5,0.0,0.7,0.2,-0.7,4.0,71.0,3.0,0.0,3.0,1071.0,714.0,355.0,122.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,2.0,0.0,11.0,0.32,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,4.0,16.0,2.0,1149.0,914.0,1137.0,8.0,4.0,2.0,1147.0,1.0,1.0,100.0,0.0,0.0,552.0,2982.0,1764.0,0.0,0.0,0.0,1.0,0.0,417.0,0.0,35,3120.0,89.0,91.2,34.7,35,89.0,34,0,,1,0.83,28.0,49.0,-21.0,-0.61,-0.01,41.1,44.5,-3.3,-0.1,-0.96,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,59.0,8.0,0.0,100.0
Anaitz Arbilla,es ESP,DF,33.0,31.2,0.0,27.0,2.0,7.4,0.87,0.06,0.0,0.0,27.1,5.0,0.0,0.0,1.8,1.8,0.07,-1.8,-1.8,1459.0,1932.0,75.5,31846.0,12343.0,482.0,547.0,88.1,656.0,790.0,83.0,300.0,543.0,55.2,1.0,0.9,1.3,0.1,10.0,179.0,17.0,8.0,173.0,1932.0,1652.0,278.0,88.0,0.0,82.0,43.0,190.0,0.0,0.0,0.0,0.0,1459.0,2.0,21.0,44.0,1.41,31.0,3.0,4.0,2.0,2.0,2.0,4.0,0.13,2.0,0.0,1.0,1.0,0.0,0.0,45.0,26.0,31.0,11.0,3.0,27.0,54.0,50.0,27.0,36.0,11.0,25.0,69.0,114.0,73.0,1.0,2222.0,119.0,720.0,1256.0,284.0,13.0,2222.0,30.0,25.0,83.3,5.0,16.7,1109.0,6550.0,3244.0,37.0,26.0,3.0,22.0,9.0,1156.0,19.0,34,2807.0,83.0,82.1,31.2,30,90.0,30,4,27.0,0,0.79,23.0,46.0,-23.0,-0.74,-0.74,37.8,36.9,0.9,0.03,0.22,8.0,0.0,0.0,36.0,13.0,0.0,43.0,69.0,26.0,0.0,2.0,0.0,245.0,68.0,53.0,56.2
Paulo Oliveira,pt POR,DF,28.0,29.3,0.0,13.0,3.0,23.1,0.44,0.1,0.0,0.0,11.5,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,835.0,1226.0,68.1,19006.0,7200.0,195.0,245.0,79.6,466.0,577.0,80.8,166.0,366.0,45.4,1.0,0.8,1.0,0.2,2.0,87.0,8.0,0.0,80.0,1226.0,1175.0,48.0,46.0,0.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,835.0,3.0,11.0,13.0,0.44,11.0,0.0,0.0,2.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,42.0,21.0,32.0,8.0,2.0,19.0,36.0,52.8,17.0,39.0,14.0,25.0,59.0,101.0,112.0,0.0,1518.0,143.0,679.0,804.0,45.0,23.0,1518.0,6.0,5.0,83.3,1.0,16.7,683.0,3359.0,1697.0,6.0,4.0,0.0,6.0,3.0,695.0,3.0,31,2641.0,85.0,77.2,29.3,29,89.0,28,2,23.0,3,0.81,23.0,38.0,-15.0,-0.51,0.41,34.0,34.9,-0.9,-0.03,-0.08,4.0,0.0,0.0,27.0,8.0,1.0,2.0,59.0,21.0,0.0,0.0,0.0,150.0,95.0,60.0,61.3
Papakouli Diop,sn SEN,MF,34.0,25.8,1.0,28.0,9.0,32.1,1.08,0.35,0.04,0.11,18.7,0.0,0.0,0.0,1.7,1.6,0.06,-0.7,-0.6,605.0,882.0,68.6,11709.0,3289.0,229.0,303.0,75.6,283.0,394.0,71.8,81.0,137.0,59.1,1.0,0.8,1.0,0.2,12.0,93.0,10.0,4.0,98.0,882.0,864.0,12.0,12.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,605.0,6.0,15.0,31.0,1.2,25.0,1.0,0.0,3.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,43.0,29.0,15.0,22.0,6.0,12.0,41.0,29.3,29.0,23.0,5.0,18.0,39.0,82.0,34.0,1.0,1112.0,56.0,214.0,700.0,206.0,26.0,1112.0,9.0,7.0,77.8,2.0,22.2,496.0,1963.0,700.0,12.0,9.0,3.0,23.0,13.0,540.0,21.0,33,2324.0,70.0,68.0,25.8,28,79.0,12,5,23.0,1,0.85,20.0,31.0,-11.0,-0.43,0.56,29.6,29.5,0.1,0.01,0.06,9.0,2.0,1.0,41.0,20.0,2.0,10.0,39.0,29.0,0.0,0.0,0.0,183.0,86.0,70.0,55.1
Edu Expósito,es ESP,MF,23.0,27.3,0.0,41.0,8.0,19.5,1.5,0.29,0.0,0.0,23.8,0.0,0.0,2.0,3.3,1.7,0.04,-3.3,-1.7,853.0,1162.0,73.4,15309.0,4661.0,347.0,436.0,79.6,349.0,430.0,81.2,112.0,203.0,55.2,3.0,3.6,2.9,-0.6,43.0,109.0,22.0,3.0,169.0,1162.0,1092.0,61.0,20.0,2.0,9.0,84.0,4.0,35.0,18.0,17.0,0.0,853.0,9.0,20.0,88.0,3.23,56.0,18.0,4.0,3.0,6.0,1.0,5.0,0.18,4.0,0.0,0.0,1.0,0.0,0.0,51.0,30.0,16.0,31.0,4.0,20.0,66.0,30.3,46.0,25.0,4.0,21.0,22.0,73.0,17.0,0.0,1440.0,24.0,183.0,779.0,496.0,45.0,1438.0,56.0,41.0,73.2,15.0,26.8,758.0,3650.0,1684.0,45.0,36.0,8.0,46.0,34.0,866.0,81.0,31,2455.0,79.0,71.8,27.3,27,86.0,19,4,31.0,0,0.9,24.0,33.0,-9.0,-0.33,0.98,36.1,31.7,4.4,0.16,0.61,4.0,0.0,0.0,29.0,27.0,0.0,84.0,22.0,30.0,0.0,0.0,0.0,206.0,33.0,34.0,49.3
Bryan,es ESP,"MF,FW",19.0,25.2,4.0,40.0,16.0,40.0,1.59,0.64,0.1,0.25,17.4,1.0,0.0,0.0,3.6,3.4,0.08,0.4,0.6,682.0,1007.0,67.7,9883.0,3099.0,415.0,484.0,85.7,191.0,280.0,68.2,45.0,142.0,31.7,3.0,5.0,4.6,-2.0,49.0,32.0,48.0,18.0,79.0,1007.0,906.0,99.0,23.0,0.0,8.0,192.0,23.0,53.0,23.0,29.0,0.0,682.0,2.0,42.0,104.0,4.13,68.0,15.0,11.0,3.0,6.0,1.0,8.0,0.32,5.0,1.0,2.0,0.0,0.0,0.0,28.0,18.0,12.0,11.0,5.0,6.0,23.0,26.1,17.0,20.0,0.0,20.0,17.0,45.0,6.0,0.0,1318.0,9.0,115.0,406.0,826.0,84.0,1318.0,121.0,67.0,55.4,54.0,44.6,876.0,6218.0,2953.0,123.0,69.0,38.0,86.0,36.0,932.0,217.0,28,2265.0,81.0,66.2,25.2,26,84.0,16,2,38.0,1,0.89,20.0,29.0,-9.0,-0.36,0.73,34.0,29.5,4.5,0.18,0.56,6.0,0.0,0.0,24.0,47.0,12.0,192.0,17.0,18.0,0.0,0.0,0.0,139.0,12.0,35.0,25.5
Alejandro Pozo Pozo,es ESP,"DF,MF",21.0,24.3,0.0,11.0,1.0,9.1,0.45,0.04,0.0,0.0,23.6,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,829.0,1161.0,71.4,14342.0,5725.0,406.0,473.0,85.8,294.0,396.0,74.2,106.0,225.0,47.1,0.0,1.1,1.5,-1.1,12.0,90.0,19.0,12.0,75.0,1161.0,959.0,200.0,14.0,0.0,7.0,89.0,186.0,0.0,0.0,0.0,0.0,829.0,2.0,23.0,42.0,1.73,31.0,3.0,4.0,1.0,2.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,38.0,22.0,17.0,15.0,6.0,17.0,38.0,44.7,21.0,35.0,2.0,33.0,27.0,65.0,40.0,1.0,1370.0,43.0,316.0,649.0,412.0,15.0,1370.0,27.0,14.0,51.9,13.0,48.1,649.0,3143.0,1531.0,37.0,23.0,6.0,26.0,9.0,767.0,80.0,30,2190.0,73.0,64.0,24.3,24,87.0,21,6,19.0,0,0.63,17.0,38.0,-21.0,-0.86,-0.72,27.0,34.0,-7.0,-0.29,-0.76,4.0,0.0,0.0,20.0,18.0,2.0,89.0,27.0,22.0,0.0,0.0,0.0,136.0,8.0,28.0,22.2
Takashi Inui,jp JPN,"MF,FW",32.0,20.2,1.0,37.0,17.0,45.9,1.83,0.84,0.03,0.06,20.2,0.0,0.0,0.0,2.4,2.4,0.07,-1.4,-1.4,353.0,531.0,66.5,5492.0,1266.0,194.0,229.0,84.7,109.0,161.0,67.7,33.0,84.0,39.3,0.0,1.7,1.6,-1.7,14.0,26.0,16.0,10.0,55.0,531.0,499.0,31.0,3.0,1.0,10.0,87.0,19.0,1.0,0.0,0.0,0.0,353.0,1.0,20.0,43.0,2.13,25.0,1.0,9.0,7.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,6.0,3.0,4.0,3.0,12.0,25.0,9.0,19.0,0.0,19.0,12.0,25.0,7.0,0.0,757.0,10.0,71.0,265.0,429.0,48.0,757.0,63.0,26.0,41.3,37.0,58.7,473.0,3001.0,1375.0,59.0,22.0,17.0,53.0,22.0,532.0,119.0,28,1819.0,65.0,53.2,20.2,22,75.0,8,6,27.0,10,0.82,15.0,25.0,-10.0,-0.49,0.24,24.5,24.4,0.1,0.01,0.04,0.0,0.0,0.0,28.0,18.0,7.0,87.0,12.0,8.0,1.0,0.0,0.0,89.0,6.0,20.0,23.1
Pedro Bigas,es ESP,DF,29.0,17.0,0.0,10.0,0.0,0.0,0.59,0.0,0.0,,13.6,0.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9,474.0,676.0,70.1,11166.0,4436.0,113.0,149.0,75.8,246.0,304.0,80.9,111.0,203.0,54.7,0.0,0.0,0.1,0.0,1.0,31.0,1.0,0.0,42.0,676.0,603.0,68.0,31.0,0.0,17.0,9.0,37.0,0.0,0.0,0.0,0.0,474.0,5.0,7.0,9.0,0.53,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,7.0,4.0,0.0,7.0,14.0,50.0,7.0,12.0,6.0,6.0,23.0,34.0,54.0,0.0,807.0,63.0,376.0,375.0,72.0,14.0,807.0,2.0,1.0,50.0,1.0,50.0,315.0,1755.0,919.0,9.0,9.0,0.0,10.0,0.0,347.0,7.0,21,1529.0,73.0,44.7,17.0,19,79.0,15,2,16.0,5,0.67,13.0,22.0,-9.0,-0.53,0.14,20.9,20.2,0.7,0.04,0.1,1.0,0.0,0.0,21.0,6.0,0.0,9.0,23.0,9.0,0.0,2.0,0.0,93.0,50.0,39.0,56.2
