player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gonzalo Verdú,es ESP,DF,31.0,32.7,0.0,11.0,4.0,36.4,0.34,0.12,0.0,0.0,12.6,2.0,0.0,0.0,1.6,1.6,0.15,-1.6,-1.6,1335.0,1592.0,83.9,28046.0,11436.0,420.0,447.0,94.0,701.0,764.0,91.8,204.0,355.0,57.5,2.0,2.0,1.1,0.0,6.0,59.0,5.0,0.0,63.0,1592.0,1500.0,87.0,81.0,1.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,1335.0,5.0,8.0,15.0,0.46,11.0,2.0,0.0,2.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,26.0,8.0,0.0,16.0,28.0,57.1,12.0,40.0,30.0,10.0,52.0,86.0,113.0,0.0,1872.0,276.0,1167.0,686.0,32.0,18.0,1872.0,12.0,11.0,91.7,1.0,8.3,1064.0,5157.0,2527.0,10.0,4.0,2.0,10.0,4.0,1219.0,1.0,33,2944.0,89.0,86.1,32.7,33,89.0,32,0,,3,0.97,30.0,48.0,-18.0,-0.55,0.02,24.9,55.9,-31.0,-0.95,-0.94,11.0,0.0,0.0,31.0,40.0,2.0,3.0,52.0,19.0,0.0,4.0,0.0,154.0,58.0,42.0,58.0
Raúl Guti,es ESP,MF,23.0,31.8,3.0,27.0,6.0,22.2,0.85,0.19,0.11,0.5,22.6,0.0,0.0,0.0,1.8,1.8,0.07,1.2,1.2,1078.0,1297.0,83.1,18831.0,4470.0,484.0,542.0,89.3,431.0,473.0,91.1,115.0,183.0,62.8,1.0,0.6,0.7,0.4,7.0,88.0,6.0,2.0,95.0,1297.0,1244.0,50.0,28.0,0.0,24.0,13.0,4.0,0.0,0.0,0.0,0.0,1078.0,3.0,28.0,28.0,0.88,23.0,0.0,1.0,2.0,2.0,0.0,3.0,0.09,1.0,0.0,0.0,1.0,1.0,0.0,48.0,28.0,21.0,22.0,5.0,16.0,52.0,30.8,36.0,25.0,3.0,22.0,49.0,97.0,25.0,0.0,1577.0,29.0,402.0,949.0,244.0,23.0,1577.0,47.0,29.0,61.7,18.0,38.3,906.0,4233.0,1672.0,25.0,21.0,2.0,35.0,33.0,1055.0,22.0,36,2862.0,80.0,83.7,31.8,33,83.0,17,3,36.0,1,0.97,30.0,39.0,-9.0,-0.28,1.65,24.5,47.9,-23.4,-0.74,0.48,4.0,1.0,0.0,33.0,53.0,1.0,13.0,49.0,28.0,0.0,0.0,0.0,185.0,14.0,19.0,42.4
Lucas Boyé,ar ARG,FW,24.0,29.9,7.0,58.0,22.0,37.9,1.94,0.73,0.12,0.32,16.6,3.0,0.0,0.0,5.2,5.2,0.09,1.8,1.8,491.0,645.0,76.1,6856.0,1198.0,294.0,354.0,83.1,129.0,164.0,78.7,30.0,39.0,76.9,2.0,1.1,0.6,0.9,14.0,34.0,7.0,1.0,54.0,645.0,599.0,43.0,0.0,1.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,491.0,3.0,24.0,43.0,1.44,31.0,0.0,4.0,3.0,4.0,1.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,13.0,27.0,7.0,10.0,49.0,20.4,39.0,37.0,2.0,35.0,19.0,66.0,21.0,0.0,1137.0,31.0,112.0,619.0,427.0,95.0,1137.0,117.0,66.0,56.4,51.0,43.6,690.0,3281.0,1164.0,43.0,29.0,17.0,163.0,79.0,815.0,117.0,34,2694.0,79.0,78.8,29.9,32,83.0,16,2,25.0,0,0.82,28.0,41.0,-13.0,-0.43,0.56,25.1,45.6,-20.5,-0.68,0.62,9.0,1.0,1.0,95.0,34.0,10.0,11.0,19.0,31.0,0.0,0.0,0.0,93.0,43.0,102.0,29.7
Édgar Badía,es ESP,GK,28.0,30.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,865.0,1150.0,75.2,24979.0,18958.0,154.0,155.0,99.4,385.0,396.0,97.2,306.0,578.0,52.9,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1150.0,776.0,373.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,1228.0,1117.0,1226.0,2.0,1.0,1.0,1228.0,0.0,0.0,,0.0,,591.0,2683.0,1693.0,1.0,1.0,1.0,1.0,0.0,507.0,0.0,30,2700.0,90.0,78.9,30.0,30,90.0,30,0,,8,0.87,27.0,46.0,-19.0,-0.63,-0.38,21.5,52.4,-30.9,-1.03,-1.02,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,2.0,75.0
Iván Marcone,ar ARG,MF,30.0,29.4,0.0,2.0,0.0,0.0,0.07,0.0,0.0,,18.4,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,1319.0,1521.0,86.7,23990.0,7582.0,547.0,606.0,90.3,581.0,636.0,91.4,152.0,203.0,74.9,0.0,0.6,0.5,-0.6,10.0,107.0,5.0,1.0,103.0,1521.0,1471.0,46.0,45.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,1319.0,4.0,19.0,25.0,0.85,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,64.0,41.0,42.0,17.0,5.0,35.0,84.0,41.7,49.0,27.0,8.0,19.0,36.0,100.0,33.0,3.0,1735.0,110.0,611.0,1019.0,115.0,5.0,1735.0,17.0,13.0,76.5,4.0,23.5,1045.0,4871.0,2357.0,15.0,7.0,0.0,21.0,12.0,1171.0,11.0,33,2645.0,80.0,77.3,29.4,30,85.0,22,3,28.0,0,0.94,25.0,43.0,-18.0,-0.61,-0.26,21.7,43.8,-22.0,-0.75,0.29,10.0,1.0,1.0,29.0,19.0,0.0,4.0,36.0,41.0,0.0,2.0,0.0,195.0,21.0,16.0,56.8
Fidel,es ESP,"MF,DF",30.0,26.6,6.0,15.0,6.0,40.0,0.56,0.23,0.27,0.67,20.9,3.0,2.0,3.0,4.3,1.9,0.13,1.7,2.1,892.0,1237.0,72.1,14752.0,5014.0,476.0,552.0,86.2,265.0,378.0,70.1,109.0,204.0,53.4,3.0,5.0,4.2,-2.0,46.0,63.0,24.0,13.0,97.0,1237.0,1027.0,204.0,56.0,0.0,20.0,165.0,89.0,59.0,24.0,27.0,0.0,892.0,6.0,31.0,79.0,2.97,42.0,28.0,4.0,1.0,4.0,0.0,7.0,0.26,4.0,3.0,0.0,0.0,0.0,0.0,46.0,30.0,28.0,15.0,3.0,25.0,64.0,39.1,39.0,22.0,2.0,20.0,16.0,62.0,14.0,0.0,1510.0,33.0,388.0,669.0,481.0,53.0,1507.0,88.0,51.0,58.0,37.0,42.0,882.0,5112.0,2655.0,82.0,51.0,19.0,62.0,40.0,1011.0,123.0,30,2396.0,80.0,70.1,26.6,28,83.0,19,2,33.0,0,1.0,26.0,31.0,-5.0,-0.19,1.22,22.1,40.3,-18.1,-0.68,0.45,8.0,0.0,0.0,30.0,42.0,5.0,165.0,16.0,30.0,0.0,0.0,0.0,137.0,10.0,22.0,31.3
Antonio Barragán,es ESP,DF,33.0,24.8,0.0,6.0,0.0,0.0,0.24,0.0,0.0,,12.3,0.0,0.0,0.0,0.9,0.9,0.15,-0.9,-0.9,1091.0,1326.0,82.3,18850.0,7126.0,522.0,562.0,92.9,422.0,508.0,83.1,117.0,190.0,61.6,3.0,0.7,0.8,2.3,10.0,67.0,14.0,9.0,69.0,1326.0,1115.0,206.0,47.0,0.0,12.0,53.0,159.0,0.0,0.0,0.0,0.0,1091.0,5.0,16.0,27.0,1.09,21.0,2.0,1.0,1.0,2.0,0.0,7.0,0.28,4.0,1.0,1.0,0.0,1.0,0.0,28.0,14.0,21.0,5.0,2.0,12.0,21.0,57.1,9.0,22.0,8.0,14.0,33.0,61.0,67.0,1.0,1527.0,133.0,691.0,630.0,210.0,11.0,1527.0,16.0,11.0,68.8,5.0,31.3,831.0,3526.0,1829.0,34.0,29.0,3.0,15.0,7.0,985.0,63.0,27,2235.0,83.0,65.4,24.8,26,84.0,22,1,45.0,5,0.96,26.0,35.0,-9.0,-0.36,0.55,19.9,39.9,-20.0,-0.81,0.03,8.0,0.0,0.0,35.0,25.0,2.0,53.0,33.0,14.0,1.0,1.0,0.0,92.0,33.0,19.0,63.5
Josan,es ESP,"MF,DF",30.0,21.4,4.0,15.0,8.0,53.3,0.7,0.37,0.27,0.5,16.4,0.0,0.0,0.0,1.2,1.2,0.08,2.8,2.8,600.0,805.0,74.5,8969.0,2881.0,338.0,385.0,87.8,179.0,231.0,77.5,46.0,101.0,45.5,2.0,1.5,1.6,0.5,16.0,30.0,13.0,10.0,40.0,805.0,699.0,101.0,11.0,0.0,4.0,102.0,75.0,15.0,2.0,9.0,1.0,600.0,5.0,28.0,32.0,1.5,19.0,7.0,1.0,2.0,2.0,1.0,3.0,0.14,2.0,0.0,0.0,0.0,0.0,1.0,34.0,18.0,23.0,11.0,0.0,13.0,39.0,33.3,26.0,24.0,1.0,23.0,21.0,55.0,26.0,1.0,1022.0,39.0,329.0,404.0,304.0,24.0,1022.0,75.0,40.0,53.3,35.0,46.7,605.0,4104.0,1928.0,65.0,38.0,10.0,38.0,23.0,669.0,92.0,33,1926.0,58.0,56.3,21.4,24,72.0,7,9,21.0,3,1.0,17.0,28.0,-11.0,-0.51,0.09,15.7,37.0,-21.2,-0.99,-0.41,3.0,0.0,0.0,23.0,29.0,1.0,102.0,21.0,18.0,0.0,0.0,0.0,101.0,6.0,11.0,35.3
Tete Morente,es ESP,"MF,FW",23.0,22.4,2.0,19.0,3.0,15.8,0.85,0.13,0.11,0.67,16.5,0.0,0.0,0.0,1.7,1.7,0.09,0.3,0.3,539.0,734.0,73.4,8133.0,1919.0,330.0,373.0,88.5,134.0,178.0,75.3,46.0,97.0,47.4,5.0,1.9,1.9,3.1,15.0,23.0,21.0,13.0,48.0,734.0,696.0,36.0,11.0,0.0,7.0,88.0,3.0,22.0,10.0,4.0,0.0,539.0,2.0,34.0,38.0,1.69,23.0,6.0,4.0,1.0,4.0,0.0,9.0,0.4,4.0,2.0,1.0,1.0,1.0,0.0,31.0,17.0,17.0,9.0,5.0,9.0,39.0,23.1,30.0,20.0,0.0,20.0,13.0,44.0,28.0,0.0,1007.0,33.0,216.0,426.0,381.0,33.0,1007.0,75.0,45.0,60.0,30.0,40.0,573.0,3335.0,1404.0,45.0,33.0,7.0,51.0,34.0,695.0,130.0,30,2019.0,67.0,59.0,22.4,23,78.0,10,7,31.0,4,0.93,17.0,29.0,-12.0,-0.53,0.04,14.7,35.2,-20.6,-0.92,-0.25,5.0,0.0,0.0,28.0,34.0,5.0,88.0,13.0,17.0,0.0,0.0,0.0,100.0,21.0,28.0,42.9
Pere Milla,es ESP,"FW,MF",27.0,22.0,4.0,30.0,11.0,36.7,1.36,0.5,0.13,0.36,12.1,0.0,0.0,0.0,5.0,5.0,0.17,-1.0,-1.0,428.0,595.0,71.9,5725.0,1143.0,273.0,326.0,83.7,102.0,137.0,74.5,24.0,41.0,58.5,3.0,2.1,1.1,0.9,14.0,30.0,7.0,0.0,46.0,595.0,566.0,25.0,3.0,4.0,3.0,9.0,5.0,2.0,1.0,0.0,0.0,428.0,4.0,32.0,40.0,1.82,21.0,0.0,2.0,8.0,8.0,1.0,7.0,0.32,5.0,0.0,1.0,1.0,0.0,0.0,24.0,17.0,12.0,10.0,2.0,8.0,37.0,21.6,29.0,17.0,5.0,12.0,13.0,37.0,17.0,1.0,821.0,29.0,140.0,485.0,211.0,42.0,821.0,30.0,19.0,63.3,11.0,36.7,487.0,2052.0,1081.0,27.0,30.0,1.0,61.0,33.0,595.0,79.0,32,1981.0,62.0,57.9,22.0,22,78.0,9,10,27.0,5,0.91,20.0,29.0,-9.0,-0.41,0.34,18.0,34.8,-16.8,-0.76,0.12,6.0,0.0,0.0,31.0,54.0,5.0,9.0,13.0,17.0,0.0,1.0,0.0,84.0,41.0,43.0,48.8
