player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Dimitris Siovas,gr GRE,DF,31.0,34.1,2.0,29.0,8.0,27.6,0.85,0.23,0.07,0.25,11.3,0.0,0.0,0.0,3.1,3.1,0.12,-1.1,-1.1,1508.0,1873.0,80.5,30207.0,10101.0,459.0,533.0,86.1,868.0,966.0,89.9,162.0,330.0,49.1,0.0,0.7,0.3,-0.7,6.0,72.0,0.0,0.0,69.0,1873.0,1780.0,84.0,75.0,0.0,13.0,7.0,5.0,0.0,0.0,0.0,0.0,1508.0,9.0,9.0,25.0,0.73,18.0,0.0,0.0,5.0,2.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,46.0,24.0,34.0,10.0,2.0,20.0,30.0,66.7,10.0,38.0,17.0,21.0,62.0,108.0,125.0,2.0,2216.0,248.0,1261.0,868.0,99.0,61.0,2216.0,10.0,9.0,90.0,1.0,10.0,1219.0,6343.0,3725.0,22.0,15.0,0.0,13.0,2.0,1406.0,7.0,36,3071.0,85.0,89.8,34.1,34,88.0,31,2,36.0,1,0.92,30.0,49.0,-19.0,-0.56,-0.56,36.0,43.4,-7.4,-0.22,0.34,5.0,0.0,0.0,40.0,9.0,1.0,7.0,62.0,24.0,0.0,0.0,0.0,161.0,120.0,61.0,66.3
Javi Galán,es ESP,DF,25.0,34.1,1.0,9.0,1.0,11.1,0.26,0.03,0.11,1.0,25.7,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,1399.0,1806.0,77.5,22559.0,7966.0,747.0,835.0,89.5,485.0,607.0,79.9,122.0,255.0,47.8,2.0,4.0,4.5,-2.0,42.0,79.0,47.0,34.0,100.0,1806.0,1404.0,394.0,40.0,0.0,23.0,156.0,331.0,23.0,15.0,4.0,0.0,1399.0,8.0,47.0,80.0,2.35,59.0,11.0,6.0,0.0,4.0,0.0,6.0,0.18,3.0,3.0,0.0,0.0,0.0,0.0,88.0,54.0,47.0,35.0,6.0,46.0,72.0,63.9,26.0,30.0,4.0,26.0,39.0,127.0,61.0,0.0,2219.0,82.0,715.0,963.0,582.0,21.0,2219.0,151.0,121.0,80.1,30.0,19.9,1209.0,8336.0,4426.0,94.0,65.0,13.0,65.0,39.0,1282.0,167.0,37,3065.0,83.0,89.6,34.1,34,88.0,29,3,29.0,0,0.89,32.0,47.0,-15.0,-0.44,0.57,34.0,44.1,-10.1,-0.3,-0.43,5.0,0.0,0.0,61.0,97.0,5.0,156.0,39.0,54.0,0.0,0.0,0.0,224.0,15.0,30.0,33.3
Jorge Pulido,es ESP,DF,29.0,32.1,1.0,17.0,2.0,11.8,0.53,0.06,0.06,0.5,14.4,0.0,0.0,0.0,2.6,2.6,0.16,-1.6,-1.6,1358.0,1637.0,83.0,26618.0,8801.0,453.0,504.0,89.9,741.0,816.0,90.8,151.0,273.0,55.3,0.0,0.3,0.5,-0.3,5.0,96.0,8.0,2.0,99.0,1637.0,1559.0,75.0,53.0,0.0,10.0,13.0,21.0,0.0,0.0,0.0,0.0,1358.0,3.0,17.0,26.0,0.81,21.0,1.0,1.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,39.0,24.0,31.0,8.0,0.0,17.0,29.0,58.6,12.0,32.0,18.0,14.0,52.0,91.0,98.0,0.0,1908.0,227.0,1003.0,762.0,155.0,27.0,1908.0,10.0,6.0,60.0,4.0,40.0,1093.0,5903.0,3626.0,39.0,34.0,0.0,7.0,9.0,1234.0,19.0,33,2885.0,87.0,84.4,32.1,32,89.0,29,1,39.0,3,0.94,30.0,45.0,-15.0,-0.47,0.2,32.4,40.8,-8.4,-0.26,-0.07,6.0,1.0,1.0,35.0,26.0,4.0,13.0,52.0,24.0,0.0,1.0,0.0,128.0,61.0,48.0,56.0
Rafa Mir,es ESP,FW,23.0,32.0,13.0,117.0,44.0,37.6,3.66,1.38,0.09,0.25,15.5,2.0,2.0,3.0,15.3,13.0,0.11,-2.3,-2.0,249.0,457.0,54.5,3664.0,1017.0,139.0,204.0,68.1,80.0,140.0,57.1,14.0,40.0,35.0,1.0,1.0,1.0,0.0,9.0,23.0,4.0,0.0,39.0,457.0,421.0,26.0,0.0,0.0,5.0,21.0,3.0,0.0,0.0,0.0,0.0,249.0,10.0,21.0,31.0,0.97,22.0,2.0,3.0,3.0,1.0,0.0,4.0,0.13,2.0,1.0,0.0,0.0,1.0,0.0,15.0,9.0,4.0,4.0,7.0,7.0,22.0,31.8,15.0,14.0,2.0,12.0,15.0,30.0,25.0,0.0,802.0,33.0,86.0,344.0,389.0,142.0,799.0,27.0,15.0,55.6,12.0,44.4,380.0,2278.0,1106.0,42.0,27.0,19.0,82.0,19.0,543.0,117.0,38,2877.0,76.0,84.1,32.0,32,86.0,24,6,23.0,0,0.89,31.0,45.0,-14.0,-0.44,0.39,34.0,41.4,-7.4,-0.23,0.12,2.0,0.0,0.0,62.0,20.0,36.0,21.0,15.0,9.0,1.0,0.0,0.0,80.0,103.0,119.0,46.4
David Ferreiro,es ESP,"MF,FW",32.0,28.1,2.0,26.0,12.0,46.2,0.93,0.43,0.08,0.17,19.8,0.0,0.0,0.0,1.8,1.8,0.07,0.2,0.2,701.0,1090.0,64.3,13216.0,4057.0,316.0,384.0,82.3,254.0,372.0,68.3,114.0,257.0,44.4,4.0,6.0,5.5,-2.0,73.0,60.0,46.0,27.0,113.0,1090.0,910.0,169.0,68.0,0.0,19.0,245.0,11.0,88.0,31.0,37.0,0.0,701.0,11.0,40.0,121.0,4.31,73.0,32.0,7.0,4.0,4.0,1.0,10.0,0.36,7.0,1.0,0.0,1.0,0.0,1.0,25.0,12.0,12.0,8.0,5.0,8.0,49.0,16.3,41.0,21.0,1.0,20.0,25.0,50.0,15.0,0.0,1325.0,13.0,180.0,523.0,649.0,43.0,1325.0,64.0,44.0,68.8,20.0,31.3,788.0,5108.0,2292.0,68.0,47.0,12.0,41.0,36.0,845.0,182.0,37,2527.0,68.0,73.9,28.1,29,80.0,9,8,26.0,1,0.89,28.0,34.0,-6.0,-0.21,1.1,30.5,28.8,1.7,0.06,1.19,5.0,0.0,0.0,52.0,38.0,15.0,245.0,25.0,12.0,0.0,0.0,0.0,152.0,9.0,21.0,30.0
Mikel Rico,es ESP,MF,35.0,24.3,1.0,19.0,6.0,31.6,0.78,0.25,0.05,0.17,16.0,0.0,0.0,0.0,2.4,2.4,0.13,-1.4,-1.4,698.0,898.0,77.7,12226.0,3120.0,331.0,373.0,88.7,269.0,324.0,83.0,79.0,131.0,60.3,4.0,1.3,1.0,2.7,20.0,50.0,13.0,8.0,88.0,898.0,863.0,30.0,8.0,0.0,12.0,32.0,7.0,3.0,0.0,0.0,0.0,698.0,5.0,29.0,45.0,1.86,38.0,2.0,0.0,1.0,3.0,1.0,7.0,0.29,7.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,14.0,8.0,2.0,11.0,34.0,32.4,23.0,20.0,3.0,17.0,23.0,47.0,22.0,0.0,1109.0,39.0,289.0,578.0,264.0,34.0,1109.0,39.0,22.0,56.4,17.0,43.6,640.0,3077.0,1350.0,21.0,24.0,1.0,41.0,21.0,732.0,72.0,32,2183.0,68.0,63.8,24.3,27,76.0,4,5,24.0,1,1.0,22.0,30.0,-8.0,-0.33,0.47,26.0,30.4,-4.4,-0.18,0.19,2.0,0.0,0.0,19.0,21.0,3.0,32.0,23.0,12.0,0.0,0.0,0.0,141.0,9.0,30.0,23.1
Pablo Maffeo,es ESP,DF,23.0,21.8,1.0,11.0,5.0,45.5,0.5,0.23,0.09,0.2,18.8,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,753.0,1098.0,68.6,12999.0,4707.0,375.0,440.0,85.2,294.0,400.0,73.5,74.0,192.0,38.5,4.0,2.7,2.5,1.3,17.0,49.0,26.0,16.0,60.0,1098.0,856.0,237.0,21.0,0.0,6.0,102.0,216.0,0.0,0.0,0.0,0.0,753.0,5.0,36.0,54.0,2.47,34.0,4.0,9.0,1.0,4.0,2.0,7.0,0.32,6.0,0.0,0.0,0.0,0.0,1.0,26.0,17.0,21.0,4.0,1.0,12.0,26.0,46.2,14.0,18.0,6.0,12.0,35.0,61.0,27.0,0.0,1292.0,52.0,402.0,548.0,358.0,22.0,1292.0,42.0,30.0,71.4,12.0,28.6,603.0,3341.0,1859.0,47.0,36.0,11.0,26.0,20.0,691.0,112.0,25,1964.0,79.0,57.4,21.8,25,79.0,11,0,,2,1.0,25.0,33.0,-8.0,-0.37,0.31,21.4,27.1,-5.8,-0.26,-0.03,4.0,0.0,0.0,12.0,43.0,2.0,102.0,35.0,17.0,0.0,2.0,0.0,113.0,40.0,23.0,63.5
Pedro Mosquera,es ESP,MF,32.0,22.8,0.0,8.0,2.0,25.0,0.35,0.09,0.0,0.0,28.1,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,1033.0,1215.0,85.0,19068.0,5624.0,448.0,498.0,90.0,422.0,473.0,89.2,137.0,195.0,70.3,0.0,0.7,0.9,-0.7,13.0,105.0,10.0,4.0,141.0,1215.0,1134.0,77.0,77.0,0.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,1033.0,4.0,10.0,27.0,1.19,23.0,1.0,0.0,1.0,2.0,0.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,38.0,18.0,19.0,18.0,1.0,13.0,53.0,24.5,40.0,23.0,6.0,17.0,31.0,69.0,38.0,1.0,1390.0,63.0,399.0,902.0,103.0,5.0,1390.0,13.0,10.0,76.9,3.0,23.1,745.0,3527.0,1795.0,18.0,9.0,3.0,9.0,13.0,902.0,8.0,27,2050.0,76.0,59.9,22.8,24,84.0,17,3,11.0,3,0.89,20.0,33.0,-13.0,-0.57,-0.18,19.6,30.5,-11.0,-0.48,-0.58,1.0,0.0,0.0,26.0,21.0,0.0,7.0,31.0,18.0,0.0,0.0,0.0,132.0,25.0,39.0,39.1
Jaime Seoane,es ESP,MF,23.0,22.9,1.0,24.0,9.0,37.5,1.05,0.39,0.04,0.11,21.8,0.0,0.0,0.0,1.5,1.5,0.06,-0.5,-0.5,663.0,877.0,75.6,11828.0,2704.0,292.0,342.0,85.4,243.0,288.0,84.4,90.0,153.0,58.8,1.0,1.1,1.3,-0.1,11.0,66.0,9.0,5.0,87.0,877.0,851.0,22.0,16.0,0.0,22.0,27.0,1.0,4.0,2.0,1.0,0.0,663.0,4.0,27.0,44.0,1.92,34.0,1.0,3.0,1.0,4.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,20.0,23.0,7.0,24.0,65.0,36.9,41.0,27.0,6.0,21.0,17.0,67.0,14.0,0.0,1087.0,31.0,240.0,605.0,258.0,36.0,1087.0,35.0,20.0,57.1,15.0,42.9,639.0,3793.0,1882.0,42.0,33.0,4.0,39.0,21.0,721.0,47.0,29,2064.0,71.0,60.4,22.9,23,84.0,16,6,22.0,7,0.93,23.0,27.0,-4.0,-0.17,0.82,21.7,29.8,-8.1,-0.35,-0.26,5.0,0.0,0.0,43.0,33.0,0.0,27.0,17.0,30.0,0.0,1.0,0.0,114.0,26.0,21.0,55.3
Álvaro Fernández,es ESP,GK,22.0,22.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,,17.8,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,615.0,816.0,75.4,17429.0,11546.0,95.0,96.0,99.0,283.0,286.0,99.0,231.0,420.0,55.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,816.0,572.0,236.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,8.0,0.0,6.0,0.27,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,869.0,740.0,862.0,5.0,2.0,2.0,869.0,0.0,0.0,,0.0,,415.0,1898.0,1180.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,22,1980.0,90.0,57.9,22.0,22,90.0,22,0,,16,0.91,21.0,32.0,-11.0,-0.5,0.0,24.3,29.7,-5.3,-0.24,0.02,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,31.0,5.0,0.0,100.0
