player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
David García,es ESP,DF,26.0,35.0,1.0,13.0,2.0,15.4,0.37,0.06,0.08,0.5,12.8,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,988.0,1380.0,71.6,20898.0,9501.0,299.0,392.0,76.3,515.0,636.0,81.0,163.0,320.0,50.9,0.0,0.6,0.6,-0.6,5.0,85.0,1.0,0.0,124.0,1380.0,1322.0,52.0,49.0,0.0,21.0,1.0,3.0,0.0,0.0,0.0,0.0,988.0,6.0,5.0,10.0,0.29,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,13.0,13.0,0.0,13.0,24.0,54.2,11.0,36.0,19.0,17.0,59.0,85.0,171.0,0.0,1733.0,208.0,799.0,901.0,40.0,24.0,1733.0,2.0,2.0,100.0,0.0,0.0,706.0,3414.0,1566.0,4.0,1.0,0.0,5.0,4.0,772.0,2.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,1,1.23,35.0,41.0,-6.0,-0.17,1.5,34.3,42.9,-8.6,-0.24,-0.09,8.0,0.0,0.0,45.0,23.0,1.0,1.0,59.0,17.0,0.0,1.0,1.0,175.0,159.0,56.0,74.0
Rubén García,es ESP,"MF,FW",27.0,30.2,3.0,29.0,7.0,24.1,0.96,0.23,0.07,0.29,23.6,2.0,1.0,1.0,2.6,1.8,0.06,0.4,0.2,778.0,1210.0,64.3,14011.0,4660.0,389.0,507.0,76.7,239.0,361.0,66.2,120.0,234.0,51.3,5.0,5.5,5.6,-0.5,53.0,76.0,37.0,19.0,98.0,1210.0,1063.0,140.0,50.0,0.0,37.0,162.0,27.0,57.0,24.0,27.0,1.0,778.0,7.0,34.0,92.0,3.04,59.0,24.0,3.0,0.0,5.0,1.0,10.0,0.33,7.0,1.0,0.0,0.0,1.0,1.0,50.0,29.0,21.0,22.0,7.0,14.0,45.0,31.1,31.0,28.0,2.0,26.0,29.0,79.0,20.0,0.0,1530.0,29.0,218.0,709.0,628.0,52.0,1529.0,47.0,25.0,53.2,22.0,46.8,798.0,3738.0,1664.0,40.0,49.0,9.0,64.0,33.0,984.0,197.0,37,2718.0,73.0,79.5,30.2,33,79.0,9,4,30.0,0,1.19,29.0,38.0,-9.0,-0.3,-0.04,28.5,37.0,-8.5,-0.28,-0.22,2.0,0.0,0.0,42.0,41.0,6.0,162.0,29.0,29.0,1.0,0.0,0.0,158.0,51.0,67.0,43.2
Sergio Herrera,es ESP,GK,27.0,32.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,613.0,1156.0,53.0,27751.0,24684.0,38.0,38.0,100.0,122.0,131.0,93.1,453.0,981.0,46.2,0.0,0.2,0.2,-0.2,1.0,66.0,2.0,0.0,1.0,1156.0,729.0,422.0,163.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,5.0,0.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,29.0,3.0,1257.0,963.0,1244.0,13.0,0.0,0.0,1257.0,1.0,1.0,100.0,0.0,0.0,587.0,3908.0,2446.0,0.0,0.0,0.0,5.0,0.0,383.0,0.0,33,2958.0,90.0,86.5,32.9,32,90.0,32,1,78.0,4,1.18,31.0,40.0,-9.0,-0.27,0.12,33.1,39.6,-6.6,-0.2,0.28,2.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,37.0,10.0,1.0,90.9
Jon Moncayola,es ESP,MF,22.0,29.6,2.0,38.0,10.0,26.3,1.29,0.34,0.05,0.2,26.5,0.0,0.0,0.0,1.4,1.4,0.04,0.6,0.6,934.0,1165.0,80.2,18043.0,4945.0,372.0,438.0,84.9,391.0,461.0,84.8,148.0,209.0,70.8,0.0,1.4,2.0,-1.4,18.0,92.0,16.0,3.0,111.0,1165.0,1142.0,23.0,16.0,0.0,24.0,29.0,6.0,0.0,0.0,0.0,0.0,934.0,0.0,12.0,45.0,1.52,42.0,0.0,2.0,1.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,61.0,36.0,27.0,23.0,11.0,24.0,67.0,35.8,43.0,27.0,9.0,18.0,23.0,84.0,38.0,0.0,1440.0,63.0,349.0,853.0,253.0,21.0,1440.0,15.0,8.0,53.3,7.0,46.7,666.0,3001.0,1439.0,27.0,25.0,3.0,32.0,13.0,823.0,45.0,36,2660.0,74.0,77.8,29.6,28,87.0,18,8,30.0,0,1.11,28.0,39.0,-11.0,-0.37,-0.37,30.0,38.8,-8.9,-0.3,-0.28,7.0,1.0,1.0,39.0,10.0,0.0,29.0,23.0,36.0,0.0,1.0,0.0,205.0,35.0,33.0,51.5
Nacho Vidal,es ESP,DF,25.0,26.1,0.0,10.0,2.0,20.0,0.38,0.08,0.0,0.0,19.1,1.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,709.0,1030.0,68.8,11857.0,5696.0,339.0,415.0,81.7,296.0,416.0,71.2,56.0,134.0,41.8,0.0,1.6,1.6,-1.6,12.0,52.0,20.0,9.0,87.0,1030.0,805.0,220.0,8.0,1.0,7.0,50.0,212.0,0.0,0.0,0.0,0.0,709.0,5.0,20.0,29.0,1.11,18.0,5.0,0.0,1.0,5.0,0.0,2.0,0.08,0.0,1.0,0.0,1.0,0.0,0.0,56.0,28.0,27.0,22.0,7.0,22.0,31.0,71.0,9.0,39.0,10.0,29.0,43.0,99.0,68.0,0.0,1335.0,96.0,461.0,576.0,305.0,22.0,1335.0,33.0,15.0,45.5,18.0,54.5,509.0,2915.0,1330.0,18.0,27.0,1.0,25.0,15.0,586.0,58.0,34,2348.0,69.0,68.7,26.1,25,89.0,21,9,15.0,2,1.21,25.0,31.0,-6.0,-0.23,0.19,26.4,33.6,-7.2,-0.28,-0.12,10.0,0.0,0.0,43.0,35.0,1.0,50.0,43.0,28.0,0.0,0.0,0.0,130.0,54.0,28.0,65.9
Oier Sanjurjo,es ESP,MF,34.0,23.2,0.0,16.0,4.0,25.0,0.69,0.17,0.0,0.0,15.9,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,569.0,859.0,66.2,9047.0,3444.0,281.0,370.0,75.9,219.0,305.0,71.8,41.0,105.0,39.0,2.0,2.2,2.7,-0.2,15.0,74.0,15.0,6.0,80.0,859.0,833.0,17.0,12.0,3.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0,569.0,9.0,17.0,36.0,1.56,29.0,1.0,0.0,0.0,2.0,4.0,5.0,0.22,3.0,0.0,0.0,0.0,0.0,2.0,39.0,16.0,8.0,27.0,4.0,17.0,60.0,28.3,43.0,24.0,6.0,18.0,29.0,68.0,41.0,0.0,1082.0,62.0,235.0,656.0,204.0,30.0,1082.0,8.0,5.0,62.5,3.0,37.5,404.0,1465.0,636.0,8.0,13.0,1.0,33.0,16.0,535.0,35.0,32,2084.0,65.0,60.9,23.2,24,79.0,11,8,24.0,2,1.21,20.0,34.0,-14.0,-0.6,-0.81,22.4,32.2,-9.8,-0.43,-0.48,10.0,0.0,0.0,58.0,40.0,4.0,13.0,29.0,16.0,0.0,2.0,0.0,174.0,61.0,65.0,48.4
Aridane Hernández,gq EQG,DF,31.0,22.5,0.0,2.0,0.0,0.0,0.09,0.0,0.0,,11.3,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,568.0,724.0,78.5,12383.0,4416.0,156.0,193.0,80.8,291.0,332.0,87.7,110.0,170.0,64.7,0.0,0.4,0.2,-0.4,5.0,40.0,2.0,0.0,43.0,724.0,687.0,34.0,30.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,568.0,3.0,5.0,10.0,0.44,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,13.0,6.0,1.0,7.0,12.0,58.3,5.0,22.0,19.0,3.0,34.0,54.0,127.0,1.0,971.0,145.0,538.0,420.0,19.0,9.0,971.0,6.0,5.0,83.3,1.0,16.7,404.0,1804.0,687.0,3.0,3.0,0.0,13.0,4.0,379.0,0.0,24,2026.0,84.0,59.2,22.5,24,84.0,22,0,,1,1.33,19.0,22.0,-3.0,-0.13,0.38,20.0,22.5,-2.4,-0.11,0.32,3.0,1.0,0.0,21.0,20.0,0.0,0.0,34.0,11.0,0.0,0.0,0.0,137.0,59.0,37.0,61.5
Juan Cruz Armada,es ESP,DF,28.0,21.8,0.0,1.0,0.0,0.0,0.05,0.0,0.0,,20.4,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,592.0,872.0,67.9,10021.0,5152.0,286.0,338.0,84.6,240.0,344.0,69.8,50.0,131.0,38.2,0.0,0.5,0.6,-0.5,11.0,49.0,11.0,8.0,58.0,872.0,645.0,225.0,4.0,0.0,1.0,40.0,221.0,0.0,0.0,0.0,0.0,592.0,2.0,25.0,19.0,0.87,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,36.0,22.0,17.0,16.0,3.0,19.0,35.0,54.3,16.0,19.0,5.0,14.0,15.0,51.0,50.0,0.0,1052.0,67.0,347.0,509.0,200.0,3.0,1052.0,11.0,8.0,72.7,3.0,27.3,396.0,1988.0,836.0,19.0,19.0,1.0,18.0,8.0,456.0,41.0,26,1962.0,75.0,57.4,21.8,23,80.0,15,3,39.0,10,1.15,16.0,29.0,-13.0,-0.6,-0.72,19.3,28.5,-9.1,-0.42,-0.43,4.0,0.0,0.0,12.0,4.0,2.0,40.0,15.0,22.0,0.0,1.0,0.0,97.0,28.0,28.0,50.0
Jonathan Calleri,ar ARG,FW,26.0,17.2,5.0,47.0,16.0,34.0,2.74,0.93,0.11,0.31,14.4,0.0,0.0,0.0,5.7,5.5,0.12,-0.7,-0.5,211.0,354.0,59.6,2763.0,560.0,139.0,196.0,70.9,57.0,91.0,62.6,3.0,20.0,15.0,2.0,0.7,0.9,1.3,10.0,13.0,10.0,0.0,31.0,354.0,322.0,30.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,211.0,2.0,7.0,28.0,1.63,19.0,0.0,2.0,5.0,1.0,1.0,5.0,0.29,4.0,0.0,0.0,1.0,0.0,0.0,15.0,6.0,2.0,4.0,9.0,3.0,17.0,17.6,14.0,18.0,2.0,16.0,1.0,16.0,10.0,1.0,570.0,10.0,35.0,239.0,307.0,89.0,570.0,40.0,17.0,42.5,22.0,55.0,291.0,1452.0,504.0,20.0,16.0,5.0,60.0,30.0,414.0,97.0,25,1544.0,62.0,45.1,17.2,20,71.0,3,5,26.0,2,1.2,14.0,18.0,-4.0,-0.23,0.1,16.9,17.0,-0.2,-0.01,0.41,4.0,0.0,0.0,42.0,39.0,17.0,9.0,1.0,6.0,0.0,0.0,0.0,52.0,86.0,92.0,48.3
Roberto Torres,es ESP,"MF,FW",31.0,21.0,7.0,43.0,10.0,23.3,2.04,0.48,0.07,0.3,24.1,3.0,4.0,5.0,5.9,2.5,0.06,1.1,0.5,519.0,781.0,66.5,9509.0,3102.0,245.0,303.0,80.9,166.0,234.0,70.9,80.0,166.0,48.2,1.0,1.6,2.1,-0.6,19.0,57.0,26.0,10.0,79.0,781.0,686.0,90.0,49.0,0.0,23.0,101.0,10.0,31.0,12.0,15.0,0.0,519.0,5.0,21.0,52.0,2.47,27.0,13.0,4.0,7.0,1.0,0.0,3.0,0.14,2.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,6.0,5.0,4.0,8.0,29.0,27.6,21.0,12.0,0.0,12.0,16.0,31.0,13.0,0.0,953.0,18.0,161.0,426.0,378.0,44.0,948.0,30.0,17.0,56.7,13.0,43.3,531.0,2459.0,1131.0,27.0,23.0,3.0,29.0,22.0,623.0,95.0,35,1894.0,54.0,55.4,21.0,19,81.0,9,16,22.0,0,1.11,22.0,33.0,-11.0,-0.52,-0.52,22.2,24.6,-2.4,-0.11,0.28,0.0,0.0,0.0,13.0,32.0,0.0,101.0,16.0,8.0,1.0,0.0,0.0,117.0,7.0,16.0,30.4
