player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Sergio Busquets,es ESP,MF,33.0,35.5,2.0,14.0,4.0,28.6,0.39,0.11,0.14,0.5,21.3,0.0,0.0,0.0,0.6,0.6,0.05,1.4,1.4,2430.0,2793.0,87.0,42404.0,12095.0,1078.0,1187.0,90.8,984.0,1090.0,90.3,272.0,355.0,76.6,0.0,1.7,2.7,-1.7,33.0,274.0,25.0,1.0,291.0,2793.0,2676.0,99.0,95.0,13.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0,2430.0,18.0,21.0,92.0,2.59,85.0,0.0,0.0,0.0,4.0,3.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,93.0,49.0,31.0,48.0,14.0,46.0,83.0,55.4,37.0,44.0,8.0,36.0,45.0,138.0,31.0,0.0,3086.0,80.0,543.0,2055.0,498.0,23.0,3086.0,26.0,21.0,80.8,5.0,19.2,1725.0,6238.0,3114.0,24.0,33.0,0.0,20.0,15.0,2260.0,36.0,36,3198.0,89.0,93.5,35.5,36,89.0,32,0,,0,1.86,60.0,36.0,24.0,0.68,-1.76,57.7,32.0,25.6,0.72,-0.64,12.0,0.0,0.0,53.0,67.0,2.0,3.0,45.0,49.0,0.0,0.0,0.0,281.0,57.0,68.0,45.6
Marc-André ter Stegen,de GER,GK,29.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1113.0,1281.0,86.9,27465.0,18908.0,242.0,245.0,98.8,564.0,577.0,97.7,300.0,447.0,67.1,0.0,0.1,0.0,-0.1,1.0,10.0,0.0,0.0,2.0,1281.0,1014.0,263.0,57.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1113.0,4.0,1.0,8.0,0.23,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,5.0,1335.0,1097.0,1323.0,12.0,0.0,0.0,1335.0,2.0,2.0,100.0,0.0,0.0,777.0,3585.0,2393.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,0,1.89,61.0,34.0,27.0,0.77,-0.23,58.4,31.5,26.9,0.77,0.07,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,5.0,0.0,100.0
Jordi Alba,es ESP,DF,32.0,29.4,2.0,31.0,6.0,19.4,1.06,0.2,0.06,0.33,23.2,1.0,0.0,0.0,1.5,1.5,0.05,0.5,0.5,2334.0,2795.0,83.5,36392.0,12699.0,1218.0,1329.0,91.6,868.0,995.0,87.2,154.0,273.0,56.4,10.0,7.1,5.8,2.9,58.0,212.0,60.0,18.0,291.0,2795.0,2416.0,365.0,96.0,13.0,12.0,121.0,268.0,1.0,0.0,0.0,0.0,2334.0,14.0,38.0,89.0,3.03,82.0,3.0,0.0,2.0,2.0,0.0,14.0,0.48,13.0,0.0,0.0,1.0,0.0,0.0,47.0,34.0,12.0,26.0,9.0,27.0,47.0,57.4,20.0,26.0,6.0,20.0,33.0,80.0,41.0,1.0,3031.0,82.0,668.0,1469.0,908.0,68.0,3031.0,22.0,6.0,27.3,16.0,72.7,1738.0,5754.0,3133.0,47.0,52.0,9.0,25.0,4.0,2142.0,213.0,30,2644.0,88.0,77.3,29.4,30,88.0,26,0,,1,2.0,54.0,32.0,22.0,0.75,-0.18,50.4,28.2,22.2,0.76,-0.03,11.0,0.0,0.0,26.0,19.0,11.0,121.0,33.0,34.0,0.0,0.0,0.0,214.0,13.0,23.0,36.1
Frenkie de Jong,nl NED,MF,24.0,27.5,3.0,17.0,7.0,41.2,0.62,0.25,0.18,0.43,14.4,0.0,0.0,0.0,4.8,4.8,0.28,-1.8,-1.8,1504.0,1680.0,89.5,23427.0,5811.0,797.0,856.0,93.1,519.0,568.0,91.4,112.0,139.0,80.6,3.0,3.4,4.1,-0.4,43.0,170.0,36.0,3.0,206.0,1680.0,1643.0,30.0,19.0,9.0,12.0,31.0,4.0,7.0,3.0,3.0,0.0,1504.0,7.0,20.0,83.0,3.02,71.0,2.0,7.0,2.0,1.0,0.0,9.0,0.33,9.0,0.0,0.0,0.0,0.0,0.0,35.0,19.0,12.0,18.0,5.0,12.0,23.0,52.2,11.0,19.0,5.0,14.0,20.0,55.0,16.0,0.0,1876.0,35.0,261.0,1141.0,498.0,66.0,1876.0,60.0,51.0,85.0,9.0,15.0,1264.0,7247.0,4393.0,78.0,71.0,8.0,37.0,28.0,1484.0,121.0,32,2476.0,77.0,72.4,27.5,30,81.0,17,2,28.0,1,2.0,49.0,30.0,19.0,0.69,-0.36,43.1,24.2,18.9,0.69,-0.27,7.0,1.0,1.0,24.0,35.0,6.0,31.0,20.0,19.0,0.0,0.0,0.0,154.0,25.0,15.0,62.5
Gavi,es ESP,"MF,FW",16.0,25.7,2.0,30.0,8.0,26.7,1.17,0.31,0.07,0.25,15.3,0.0,0.0,0.0,3.6,3.6,0.12,-1.6,-1.6,1086.0,1262.0,86.1,14787.0,2659.0,658.0,697.0,94.4,300.0,350.0,85.7,55.0,88.0,62.5,5.0,3.2,4.1,1.8,20.0,104.0,25.0,6.0,115.0,1262.0,1237.0,17.0,5.0,11.0,12.0,48.0,10.0,2.0,0.0,0.0,0.0,1086.0,8.0,28.0,61.0,2.37,52.0,1.0,5.0,0.0,3.0,0.0,16.0,0.62,13.0,0.0,2.0,0.0,1.0,0.0,38.0,18.0,13.0,18.0,7.0,9.0,33.0,27.3,24.0,36.0,0.0,36.0,25.0,63.0,13.0,0.0,1581.0,16.0,146.0,829.0,624.0,84.0,1581.0,86.0,53.0,61.6,33.0,38.4,1116.0,5830.0,2515.0,72.0,60.0,8.0,61.0,49.0,1235.0,160.0,34,2316.0,68.0,67.7,25.7,28,78.0,11,6,23.0,2,1.85,44.0,27.0,17.0,0.66,-0.4,41.0,19.8,21.2,0.82,0.19,11.0,1.0,1.0,63.0,69.0,12.0,48.0,25.0,18.0,1.0,0.0,0.0,122.0,32.0,35.0,47.8
Ronald Araújo,uy URU,DF,22.0,25.2,4.0,18.0,10.0,55.6,0.71,0.4,0.22,0.4,12.6,0.0,0.0,0.0,1.5,1.5,0.09,2.5,2.5,1491.0,1662.0,89.7,28250.0,8838.0,511.0,544.0,93.9,828.0,876.0,94.5,133.0,209.0,63.6,0.0,1.2,0.8,-1.2,8.0,74.0,4.0,3.0,91.0,1662.0,1566.0,92.0,47.0,0.0,21.0,7.0,44.0,0.0,0.0,0.0,0.0,1491.0,4.0,6.0,15.0,0.59,12.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,23.0,29.0,12.0,0.0,21.0,25.0,84.0,4.0,37.0,20.0,17.0,23.0,64.0,66.0,1.0,1868.0,181.0,790.0,996.0,94.0,28.0,1868.0,8.0,6.0,75.0,2.0,25.0,1200.0,6865.0,4382.0,30.0,19.0,4.0,17.0,6.0,1328.0,14.0,30,2272.0,76.0,66.4,25.2,25,86.0,22,5,25.0,1,2.13,48.0,29.0,19.0,0.75,-0.11,42.2,23.8,18.4,0.73,-0.11,6.0,0.0,0.0,25.0,12.0,1.0,7.0,23.0,23.0,0.0,0.0,0.0,135.0,60.0,24.0,71.4
Gerard Piqué,es ESP,DF,34.0,23.2,1.0,19.0,2.0,10.5,0.82,0.09,0.05,0.5,13.3,1.0,0.0,0.0,1.6,1.6,0.09,-0.6,-0.6,1514.0,1688.0,89.7,30235.0,9975.0,439.0,486.0,90.3,871.0,913.0,95.4,175.0,242.0,72.3,0.0,0.5,0.6,-0.5,5.0,114.0,3.0,0.0,132.0,1688.0,1625.0,57.0,47.0,2.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,1514.0,6.0,7.0,24.0,1.03,18.0,1.0,1.0,4.0,0.0,0.0,6.0,0.26,3.0,1.0,0.0,2.0,0.0,0.0,22.0,12.0,18.0,4.0,0.0,11.0,14.0,78.6,3.0,19.0,16.0,3.0,34.0,56.0,86.0,1.0,1902.0,219.0,825.0,1023.0,58.0,29.0,1902.0,6.0,6.0,100.0,0.0,0.0,1181.0,6118.0,3942.0,25.0,8.0,1.0,8.0,3.0,1319.0,4.0,27,2092.0,77.0,61.2,23.2,25,83.0,19,2,13.0,1,1.96,44.0,19.0,25.0,1.08,0.74,45.3,20.0,25.2,1.09,0.83,10.0,1.0,1.0,30.0,15.0,1.0,0.0,34.0,12.0,0.0,0.0,0.0,165.0,80.0,42.0,65.6
Eric García,es ESP,DF,20.0,22.7,0.0,6.0,4.0,66.7,0.26,0.18,0.0,0.0,24.6,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1568.0,1689.0,92.8,29467.0,10517.0,565.0,596.0,94.8,844.0,885.0,95.4,139.0,172.0,80.8,0.0,0.1,0.7,-0.1,4.0,157.0,3.0,0.0,137.0,1689.0,1630.0,58.0,40.0,2.0,20.0,2.0,14.0,0.0,0.0,0.0,0.0,1568.0,1.0,7.0,27.0,1.19,25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,13.0,13.0,1.0,11.0,26.0,42.3,15.0,22.0,12.0,10.0,44.0,71.0,53.0,3.0,1862.0,134.0,681.0,1136.0,52.0,10.0,1862.0,3.0,2.0,66.7,1.0,33.3,1301.0,7382.0,4972.0,36.0,12.0,2.0,12.0,1.0,1445.0,3.0,26,2039.0,78.0,59.6,22.7,23,82.0,16,3,48.0,7,2.0,46.0,20.0,26.0,1.15,0.89,42.1,21.7,20.4,0.9,0.34,5.0,1.0,0.0,34.0,5.0,2.0,2.0,44.0,18.0,0.0,1.0,0.0,95.0,32.0,21.0,60.4
Memphis,nl NED,FW,27.0,20.6,12.0,56.0,29.0,51.8,2.72,1.41,0.14,0.28,19.4,6.0,4.0,5.0,11.2,7.3,0.13,0.8,0.7,705.0,945.0,74.6,9485.0,2460.0,454.0,518.0,87.6,136.0,195.0,69.7,52.0,119.0,43.7,2.0,4.4,5.7,-2.4,45.0,29.0,31.0,9.0,72.0,945.0,784.0,154.0,37.0,2.0,7.0,125.0,4.0,89.0,33.0,24.0,0.0,705.0,7.0,16.0,82.0,3.99,44.0,20.0,10.0,3.0,5.0,0.0,10.0,0.49,4.0,1.0,2.0,1.0,2.0,0.0,10.0,4.0,2.0,4.0,4.0,3.0,13.0,23.1,10.0,9.0,1.0,8.0,3.0,13.0,4.0,0.0,1183.0,7.0,51.0,433.0,708.0,129.0,1178.0,74.0,45.0,60.8,29.0,39.2,676.0,3682.0,1992.0,83.0,51.0,45.0,76.0,34.0,926.0,239.0,28,1851.0,66.0,54.1,20.6,20,85.0,15,8,19.0,1,1.75,31.0,21.0,10.0,0.49,-0.66,31.5,19.3,12.2,0.59,-0.37,3.0,0.0,0.0,23.0,44.0,13.0,125.0,3.0,4.0,3.0,0.0,0.0,52.0,10.0,15.0,40.0
Sergiño Dest,us USA,"DF,FW",20.0,16.8,0.0,12.0,3.0,25.0,0.71,0.18,0.0,0.0,16.6,0.0,0.0,0.0,1.1,1.1,0.1,-1.1,-1.1,876.0,999.0,87.7,12393.0,3470.0,530.0,561.0,94.5,281.0,327.0,85.9,29.0,48.0,60.4,3.0,2.5,2.8,0.5,18.0,63.0,15.0,4.0,81.0,999.0,863.0,134.0,12.0,1.0,3.0,59.0,122.0,0.0,0.0,0.0,0.0,876.0,2.0,15.0,43.0,2.56,32.0,2.0,7.0,0.0,2.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,21.0,10.0,1.0,13.0,18.0,72.2,5.0,22.0,4.0,18.0,2.0,34.0,18.0,0.0,1183.0,27.0,255.0,527.0,418.0,48.0,1183.0,66.0,37.0,56.1,29.0,43.9,758.0,4574.0,2643.0,75.0,40.0,23.0,33.0,24.0,846.0,158.0,21,1512.0,72.0,44.2,16.8,17,84.0,9,4,20.0,4,1.67,23.0,15.0,8.0,0.48,-0.56,27.0,13.5,13.5,0.8,0.07,2.0,0.0,0.0,17.0,19.0,1.0,59.0,2.0,15.0,0.0,0.0,0.0,93.0,7.0,13.0,35.0
