player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
David Soria,es ESP,GK,28.0,37.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,647.0,1185.0,54.6,27061.0,23563.0,42.0,42.0,100.0,163.0,169.0,96.4,442.0,968.0,45.7,0.0,0.0,0.1,0.0,0.0,34.0,0.0,0.0,0.0,1185.0,716.0,464.0,172.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,5.0,0.0,4.0,0.11,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,1257.0,1017.0,1252.0,5.0,0.0,0.0,1257.0,0.0,0.0,,0.0,,606.0,3471.0,2311.0,0.0,0.0,0.0,2.0,0.0,398.0,0.0,38,3414.0,90.0,99.8,37.9,38,90.0,37,0,,0,1.03,32.0,41.0,-9.0,-0.24,-15.24,29.1,38.5,-9.4,-0.25,-0.79,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,14.0,0.0,100.0
Djené,tg TOG,DF,29.0,34.6,0.0,4.0,1.0,25.0,0.12,0.03,0.0,0.0,19.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,1031.0,1348.0,76.5,19481.0,7885.0,404.0,442.0,91.4,491.0,597.0,82.2,119.0,259.0,45.9,1.0,0.4,1.1,0.6,10.0,74.0,8.0,4.0,89.0,1348.0,1309.0,38.0,33.0,1.0,6.0,22.0,5.0,0.0,0.0,0.0,0.0,1031.0,1.0,26.0,29.0,0.84,21.0,1.0,2.0,1.0,2.0,2.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,44.0,26.0,24.0,16.0,4.0,23.0,34.0,67.6,11.0,24.0,5.0,19.0,59.0,103.0,109.0,2.0,1653.0,187.0,779.0,782.0,101.0,12.0,1653.0,18.0,18.0,100.0,0.0,0.0,918.0,4227.0,2118.0,24.0,21.0,0.0,32.0,9.0,879.0,9.0,35,3115.0,89.0,91.1,34.6,35,89.0,33,0,,0,1.0,30.0,37.0,-7.0,-0.2,0.09,26.9,32.3,-5.4,-0.16,1.01,11.0,1.0,0.0,47.0,36.0,1.0,22.0,59.0,26.0,0.0,2.0,0.0,222.0,52.0,31.0,62.7
Nemanja Maksimović,rs SRB,MF,26.0,32.6,1.0,31.0,5.0,16.1,0.95,0.15,0.03,0.2,15.9,0.0,0.0,0.0,2.6,2.6,0.08,-1.6,-1.6,661.0,865.0,76.4,9614.0,2172.0,390.0,460.0,84.8,205.0,269.0,76.2,36.0,64.0,56.3,2.0,0.8,1.0,1.2,19.0,47.0,7.0,1.0,51.0,865.0,836.0,22.0,7.0,1.0,5.0,13.0,11.0,1.0,0.0,0.0,0.0,661.0,7.0,12.0,42.0,1.29,36.0,0.0,0.0,3.0,1.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,56.0,32.0,24.0,26.0,6.0,18.0,49.0,36.7,31.0,42.0,13.0,29.0,71.0,127.0,41.0,0.0,1186.0,59.0,261.0,632.0,303.0,59.0,1186.0,16.0,10.0,62.5,6.0,37.5,542.0,2600.0,1213.0,28.0,24.0,5.0,25.0,11.0,569.0,44.0,35,2936.0,84.0,85.8,32.6,34,86.0,26,1,17.0,1,0.97,25.0,37.0,-12.0,-0.37,-1.11,23.4,31.9,-8.5,-0.26,-0.1,5.0,0.0,0.0,13.0,13.0,0.0,13.0,71.0,32.0,0.0,0.0,0.0,143.0,47.0,42.0,52.8
Enes Ünal,tr TUR,FW,24.0,31.1,16.0,82.0,24.0,29.3,2.64,0.77,0.17,0.58,16.5,7.0,2.0,4.0,10.4,7.3,0.09,5.6,6.7,394.0,653.0,60.3,5030.0,1089.0,255.0,372.0,68.5,91.0,164.0,55.5,18.0,27.0,66.7,1.0,1.5,1.5,-0.5,29.0,39.0,11.0,2.0,44.0,653.0,618.0,32.0,0.0,4.0,3.0,14.0,3.0,1.0,1.0,0.0,0.0,394.0,3.0,24.0,78.0,2.51,44.0,1.0,8.0,8.0,15.0,2.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,37.0,22.0,2.0,18.0,17.0,5.0,42.0,11.9,37.0,25.0,5.0,20.0,5.0,42.0,36.0,0.0,1077.0,34.0,70.0,512.0,504.0,129.0,1073.0,48.0,25.0,52.1,23.0,47.9,561.0,2152.0,697.0,24.0,20.0,11.0,109.0,55.0,818.0,127.0,37,2798.0,76.0,81.8,31.1,33,81.0,14,4,28.0,0,1.03,28.0,35.0,-7.0,-0.23,-0.08,24.6,30.1,-5.5,-0.18,0.37,8.0,0.0,0.0,77.0,71.0,14.0,14.0,5.0,22.0,0.0,0.0,0.0,77.0,142.0,164.0,46.4
Mathías Olivera,uy URU,DF,23.0,31.1,1.0,24.0,7.0,29.2,0.77,0.22,0.04,0.14,12.0,0.0,0.0,0.0,2.4,2.0,0.08,-1.4,-1.0,1017.0,1430.0,71.1,15178.0,6057.0,596.0,707.0,84.3,329.0,488.0,67.4,61.0,133.0,45.9,3.0,2.4,1.9,0.6,31.0,78.0,22.0,10.0,101.0,1430.0,1094.0,332.0,21.0,0.0,6.0,63.0,311.0,0.0,0.0,0.0,0.0,1017.0,4.0,42.0,84.0,2.7,54.0,8.0,3.0,5.0,9.0,5.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,79.0,47.0,39.0,34.0,6.0,40.0,69.0,58.0,29.0,45.0,4.0,41.0,55.0,134.0,67.0,1.0,1859.0,85.0,473.0,879.0,536.0,64.0,1859.0,54.0,27.0,50.0,27.0,50.0,829.0,4743.0,2616.0,73.0,57.0,18.0,62.0,38.0,889.0,95.0,32,2803.0,88.0,82.0,31.1,32,88.0,28,0,,0,1.06,24.0,28.0,-4.0,-0.13,0.46,22.3,27.8,-5.6,-0.18,0.37,10.0,0.0,0.0,55.0,46.0,3.0,63.0,55.0,47.0,0.0,0.0,0.0,195.0,111.0,111.0,50.0
Damián Suárez,uy URU,DF,33.0,30.1,0.0,14.0,4.0,28.6,0.46,0.13,0.0,0.0,29.7,2.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,997.0,1475.0,67.6,18512.0,8916.0,481.0,564.0,85.3,382.0,555.0,68.8,121.0,284.0,42.6,3.0,3.0,2.9,0.0,46.0,106.0,39.0,26.0,116.0,1475.0,1081.0,390.0,67.0,1.0,50.0,130.0,300.0,23.0,13.0,7.0,0.0,997.0,4.0,36.0,80.0,2.66,57.0,15.0,2.0,2.0,2.0,2.0,6.0,0.2,4.0,1.0,0.0,0.0,1.0,0.0,74.0,47.0,34.0,30.0,10.0,42.0,91.0,46.2,49.0,46.0,5.0,41.0,31.0,105.0,30.0,0.0,1767.0,64.0,405.0,873.0,510.0,12.0,1767.0,42.0,15.0,35.7,27.0,64.3,780.0,3098.0,1561.0,33.0,41.0,5.0,40.0,14.0,859.0,96.0,35,2711.0,77.0,79.3,30.1,31,84.0,19,4,26.0,1,1.11,26.0,28.0,-2.0,-0.07,0.7,22.8,30.4,-7.6,-0.25,-0.03,13.0,0.0,0.0,46.0,33.0,1.0,130.0,31.0,47.0,0.0,0.0,0.0,193.0,25.0,29.0,46.3
Jorge Cuenca,es ESP,DF,21.0,29.8,1.0,16.0,7.0,43.8,0.54,0.23,0.06,0.14,12.4,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,742.0,1108.0,67.0,14772.0,6181.0,269.0,345.0,78.0,374.0,464.0,80.6,93.0,260.0,35.8,0.0,0.1,0.3,-0.1,2.0,49.0,1.0,1.0,61.0,1108.0,1047.0,53.0,32.0,0.0,23.0,5.0,21.0,0.0,0.0,0.0,0.0,742.0,8.0,13.0,9.0,0.3,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,46.0,32.0,30.0,15.0,1.0,21.0,28.0,75.0,7.0,29.0,14.0,15.0,39.0,85.0,155.0,0.0,1440.0,177.0,748.0,654.0,48.0,26.0,1440.0,6.0,3.0,50.0,3.0,50.0,663.0,2483.0,1095.0,4.0,8.0,0.0,14.0,3.0,715.0,6.0,32,2683.0,84.0,78.5,29.8,31,86.0,26,1,10.0,0,1.09,26.0,32.0,-6.0,-0.2,0.04,22.6,31.8,-9.2,-0.31,-0.29,6.0,2.0,0.0,33.0,14.0,0.0,5.0,39.0,32.0,0.0,0.0,0.0,144.0,79.0,38.0,67.5
Stefan Mitrović,rs SRB,DF,31.0,29.6,0.0,4.0,1.0,25.0,0.13,0.03,0.0,0.0,12.4,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,710.0,905.0,78.5,14987.0,5805.0,200.0,226.0,88.5,390.0,460.0,84.8,113.0,203.0,55.7,0.0,0.0,0.2,0.0,2.0,22.0,1.0,0.0,29.0,905.0,844.0,59.0,59.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,2.0,2.0,12.0,0.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,12.0,4.0,0.0,8.0,13.0,61.5,5.0,28.0,18.0,10.0,22.0,38.0,114.0,1.0,1125.0,171.0,660.0,449.0,22.0,13.0,1125.0,2.0,2.0,100.0,0.0,0.0,508.0,2622.0,989.0,2.0,2.0,2.0,9.0,4.0,554.0,1.0,32,2667.0,83.0,78.0,29.6,31,85.0,24,1,24.0,4,1.09,31.0,32.0,-1.0,-0.03,0.8,23.6,29.3,-5.8,-0.19,0.23,8.0,1.0,0.0,18.0,4.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,106.0,56.0,30.0,65.1
Mauro Arambarri,uy URU,MF,25.0,29.6,0.0,37.0,8.0,21.6,1.25,0.27,0.0,0.0,27.7,2.0,0.0,0.0,1.2,1.2,0.03,-1.2,-1.2,933.0,1266.0,73.7,19318.0,5465.0,347.0,418.0,83.0,364.0,456.0,79.8,200.0,325.0,61.5,5.0,2.2,2.7,2.8,45.0,87.0,8.0,5.0,79.0,1266.0,1104.0,157.0,88.0,0.0,32.0,116.0,2.0,66.0,28.0,34.0,0.0,933.0,5.0,29.0,75.0,2.53,35.0,31.0,2.0,2.0,3.0,2.0,10.0,0.34,4.0,4.0,1.0,0.0,0.0,1.0,62.0,37.0,19.0,32.0,11.0,20.0,68.0,29.4,48.0,35.0,5.0,30.0,32.0,94.0,18.0,0.0,1563.0,32.0,284.0,977.0,328.0,15.0,1563.0,50.0,32.0,64.0,18.0,36.0,794.0,3923.0,1573.0,32.0,22.0,4.0,42.0,36.0,903.0,47.0,31,2663.0,86.0,77.9,29.6,31,86.0,27,0,,0,1.23,31.0,27.0,4.0,0.14,1.56,25.0,28.2,-3.2,-0.11,0.62,13.0,0.0,0.0,51.0,48.0,0.0,116.0,32.0,37.0,0.0,1.0,0.0,182.0,27.0,26.0,50.9
Carles Aleñá,es ESP,MF,23.0,25.8,1.0,46.0,14.0,30.4,1.78,0.54,0.02,0.07,24.2,0.0,0.0,0.0,1.8,1.8,0.04,-0.8,-0.8,683.0,869.0,78.6,11604.0,2454.0,330.0,382.0,86.4,266.0,309.0,86.1,62.0,106.0,58.5,2.0,1.3,1.4,0.7,20.0,66.0,14.0,5.0,81.0,869.0,827.0,39.0,24.0,2.0,10.0,44.0,2.0,11.0,5.0,5.0,0.0,683.0,3.0,25.0,64.0,2.48,50.0,2.0,2.0,4.0,6.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,11.0,13.0,3.0,9.0,48.0,18.8,39.0,21.0,2.0,19.0,15.0,42.0,16.0,0.0,1095.0,9.0,137.0,635.0,334.0,14.0,1095.0,35.0,17.0,48.6,18.0,51.4,660.0,3215.0,1324.0,33.0,27.0,1.0,45.0,32.0,778.0,65.0,33,2320.0,70.0,67.8,25.8,30,76.0,6,3,15.0,1,1.12,23.0,20.0,3.0,0.12,1.02,18.0,23.5,-5.6,-0.22,0.09,6.0,1.0,0.0,50.0,37.0,1.0,44.0,15.0,19.0,0.0,0.0,0.0,129.0,13.0,25.0,34.2
