player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Luís Maximiano,pt POR,GK,22.0,34.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,641.0,1177.0,54.5,22171.0,18032.0,89.0,89.0,100.0,250.0,258.0,96.9,301.0,826.0,36.4,0.0,0.0,0.1,0.0,0.0,33.0,1.0,0.0,1.0,1177.0,708.0,466.0,131.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,3.0,0.0,5.0,0.14,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,6.0,50.0,3.0,0.0,0.0,0.0,1.0,4.0,16.0,2.0,1262.0,1055.0,1256.0,10.0,0.0,0.0,1262.0,2.0,2.0,100.0,0.0,0.0,602.0,3624.0,2517.0,0.0,0.0,0.0,0.0,3.0,374.0,0.0,35,3136.0,90.0,91.7,34.8,35,90.0,34,0,,2,1.03,43.0,55.0,-12.0,-0.34,1.24,36.6,56.2,-19.6,-0.56,0.26,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,50.0,6.0,1.0,85.7
Luis Javier Suárez,co COL,FW,23.0,31.6,8.0,85.0,25.0,29.4,2.69,0.79,0.09,0.32,17.1,1.0,0.0,1.0,9.8,9.1,0.11,-1.8,-1.1,427.0,664.0,64.3,6379.0,1310.0,243.0,319.0,76.2,140.0,213.0,65.7,22.0,59.0,37.3,4.0,3.1,3.5,0.9,30.0,23.0,27.0,5.0,63.0,664.0,623.0,39.0,1.0,0.0,10.0,38.0,7.0,0.0,0.0,0.0,0.0,427.0,2.0,21.0,75.0,2.37,49.0,1.0,9.0,8.0,6.0,2.0,5.0,0.16,4.0,0.0,0.0,0.0,0.0,1.0,26.0,14.0,9.0,9.0,8.0,8.0,27.0,29.6,19.0,25.0,3.0,22.0,6.0,32.0,23.0,0.0,1046.0,28.0,85.0,442.0,532.0,111.0,1045.0,79.0,44.0,55.7,35.0,44.3,595.0,3573.0,1588.0,62.0,48.0,26.0,103.0,42.0,750.0,196.0,37,2844.0,77.0,83.2,31.6,34,82.0,19,3,22.0,0,1.03,33.0,51.0,-18.0,-0.57,-0.73,32.2,50.6,-18.3,-0.58,0.03,6.0,0.0,0.0,40.0,36.0,5.0,38.0,6.0,14.0,0.0,0.0,0.0,86.0,55.0,115.0,32.4
Luis Milla,es ESP,MF,26.0,30.8,3.0,19.0,3.0,15.8,0.62,0.1,0.0,0.0,25.6,3.0,3.0,3.0,3.7,1.3,0.07,-0.7,-1.3,1150.0,1464.0,78.6,20993.0,7352.0,509.0,575.0,88.5,445.0,508.0,87.6,156.0,298.0,52.3,3.0,3.5,3.8,-0.5,42.0,151.0,21.0,12.0,167.0,1464.0,1251.0,206.0,106.0,5.0,30.0,132.0,2.0,70.0,34.0,26.0,1.0,1150.0,7.0,16.0,79.0,2.56,49.0,21.0,2.0,1.0,4.0,2.0,8.0,0.26,3.0,4.0,0.0,1.0,0.0,0.0,59.0,29.0,25.0,30.0,4.0,25.0,64.0,39.1,39.0,28.0,4.0,24.0,25.0,84.0,34.0,0.0,1705.0,64.0,327.0,1017.0,380.0,22.0,1702.0,38.0,28.0,73.7,10.0,26.3,842.0,5202.0,3036.0,52.0,44.0,3.0,34.0,23.0,989.0,45.0,34,2773.0,82.0,81.1,30.8,33,83.0,21,1,45.0,0,1.09,37.0,45.0,-8.0,-0.26,0.99,30.0,46.5,-16.5,-0.54,0.26,4.0,0.0,0.0,26.0,64.0,1.0,132.0,25.0,29.0,0.0,0.0,0.0,217.0,30.0,30.0,50.0
Quini,es ESP,DF,31.0,25.6,0.0,17.0,2.0,11.8,0.66,0.08,0.0,0.0,23.1,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,663.0,972.0,68.2,10870.0,4507.0,331.0,393.0,84.2,251.0,351.0,71.5,54.0,150.0,36.0,1.0,1.4,0.7,-0.4,18.0,37.0,13.0,6.0,52.0,972.0,739.0,228.0,5.0,1.0,6.0,72.0,223.0,0.0,0.0,0.0,0.0,663.0,5.0,27.0,34.0,1.33,25.0,3.0,3.0,1.0,0.0,2.0,4.0,0.16,2.0,0.0,0.0,0.0,0.0,2.0,73.0,34.0,48.0,21.0,4.0,42.0,79.0,53.2,37.0,28.0,10.0,18.0,36.0,109.0,62.0,0.0,1261.0,100.0,453.0,505.0,313.0,26.0,1261.0,33.0,17.0,51.5,16.0,48.5,454.0,2197.0,1040.0,26.0,23.0,4.0,33.0,20.0,505.0,67.0,32,2304.0,72.0,67.4,25.6,27,82.0,19,5,19.0,4,1.0,28.0,41.0,-13.0,-0.51,-0.19,24.3,41.7,-17.4,-0.68,-0.29,11.0,0.0,0.0,39.0,13.0,1.0,72.0,36.0,34.0,0.0,0.0,0.0,135.0,26.0,34.0,43.3
Germán Sánchez,es ESP,DF,34.0,25.5,2.0,13.0,4.0,30.8,0.51,0.16,0.15,0.5,9.4,0.0,0.0,0.0,1.4,1.4,0.11,0.6,0.6,781.0,1049.0,74.5,15625.0,6426.0,265.0,296.0,89.5,390.0,466.0,83.7,112.0,253.0,44.3,1.0,0.2,0.7,0.8,5.0,46.0,1.0,0.0,41.0,1049.0,992.0,55.0,47.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,781.0,2.0,4.0,17.0,0.67,12.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,18.0,9.0,0.0,11.0,20.0,55.0,9.0,19.0,16.0,3.0,28.0,55.0,137.0,0.0,1300.0,203.0,734.0,516.0,54.0,28.0,1300.0,2.0,0.0,0.0,2.0,100.0,607.0,2814.0,1389.0,10.0,9.0,1.0,2.0,1.0,710.0,5.0,32,2299.0,72.0,67.2,25.5,25,85.0,21,7,24.0,2,0.97,30.0,47.0,-17.0,-0.67,-0.67,27.2,43.6,-16.5,-0.64,-0.18,11.0,1.0,1.0,23.0,25.0,1.0,1.0,28.0,19.0,0.0,1.0,0.0,114.0,62.0,45.0,57.9
Antonio Puertas,es ESP,"MF,FW",29.0,25.1,6.0,33.0,14.0,42.4,1.31,0.56,0.18,0.43,14.2,0.0,0.0,0.0,3.5,3.5,0.1,2.5,2.5,482.0,690.0,69.9,7080.0,1803.0,278.0,349.0,79.7,139.0,190.0,73.2,35.0,65.0,53.8,1.0,0.9,1.0,0.1,18.0,30.0,18.0,8.0,54.0,690.0,651.0,36.0,2.0,3.0,5.0,42.0,31.0,2.0,0.0,0.0,0.0,482.0,3.0,29.0,46.0,1.83,32.0,3.0,6.0,1.0,3.0,1.0,6.0,0.24,4.0,0.0,1.0,0.0,0.0,1.0,34.0,20.0,18.0,12.0,4.0,17.0,44.0,38.6,27.0,33.0,3.0,30.0,11.0,45.0,36.0,0.0,989.0,34.0,184.0,428.0,391.0,64.0,989.0,56.0,31.0,55.4,25.0,44.6,520.0,3214.0,1426.0,51.0,37.0,14.0,56.0,40.0,640.0,126.0,33,2261.0,69.0,66.1,25.1,25,79.0,8,8,36.0,5,1.09,27.0,34.0,-7.0,-0.28,0.5,24.6,36.1,-11.5,-0.46,0.37,4.0,0.0,0.0,44.0,30.0,9.0,42.0,11.0,20.0,0.0,1.0,0.0,114.0,48.0,74.0,39.3
Carlos Neva,es ESP,DF,25.0,23.4,0.0,6.0,1.0,16.7,0.26,0.04,0.0,0.0,18.7,0.0,0.0,0.0,1.0,1.0,0.17,-1.0,-1.0,676.0,955.0,70.8,10825.0,4259.0,371.0,424.0,87.5,232.0,326.0,71.2,57.0,135.0,42.2,0.0,1.2,0.8,-1.2,13.0,36.0,20.0,17.0,37.0,955.0,699.0,252.0,18.0,0.0,2.0,84.0,234.0,0.0,0.0,0.0,0.0,676.0,4.0,37.0,35.0,1.5,30.0,3.0,2.0,0.0,0.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,31.0,19.0,24.0,7.0,0.0,16.0,28.0,57.1,12.0,27.0,9.0,18.0,32.0,63.0,81.0,0.0,1200.0,98.0,473.0,465.0,271.0,11.0,1200.0,16.0,9.0,56.3,7.0,43.8,509.0,2547.0,1148.0,27.0,15.0,4.0,22.0,8.0,550.0,89.0,26,2108.0,81.0,61.6,23.4,24,84.0,15,2,41.0,2,1.04,19.0,36.0,-17.0,-0.73,-0.73,19.6,37.8,-18.2,-0.78,-0.5,1.0,0.0,0.0,8.0,22.0,0.0,84.0,32.0,19.0,0.0,0.0,0.0,111.0,20.0,31.0,39.2
Maxime Gonalons,fr FRA,MF,32.0,17.2,0.0,11.0,2.0,18.2,0.64,0.12,0.0,0.0,25.3,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,550.0,657.0,83.7,10419.0,3543.0,218.0,245.0,89.0,249.0,278.0,89.6,73.0,102.0,71.6,2.0,0.7,0.4,1.3,13.0,63.0,3.0,0.0,73.0,657.0,638.0,19.0,18.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,12.0,32.0,1.86,27.0,0.0,1.0,1.0,2.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,17.0,22.0,4.0,14.0,39.0,35.9,25.0,33.0,10.0,23.0,18.0,61.0,29.0,0.0,830.0,56.0,241.0,521.0,82.0,7.0,830.0,21.0,14.0,66.7,7.0,33.3,447.0,2599.0,1094.0,13.0,14.0,2.0,14.0,17.0,471.0,6.0,25,1550.0,62.0,45.3,17.2,20,72.0,9,5,24.0,1,1.0,19.0,25.0,-6.0,-0.35,0.18,14.1,29.1,-15.1,-0.88,-0.53,6.0,0.0,0.0,29.0,31.0,0.0,6.0,18.0,28.0,0.0,0.0,0.0,110.0,33.0,16.0,67.3
Jorge Molina,es ESP,FW,39.0,21.8,10.0,45.0,22.0,48.9,2.06,1.01,0.22,0.45,14.0,0.0,0.0,1.0,6.4,5.6,0.12,3.6,4.4,331.0,522.0,63.4,4457.0,1164.0,201.0,275.0,73.1,88.0,133.0,66.2,17.0,34.0,50.0,5.0,3.4,3.1,1.6,31.0,26.0,12.0,2.0,51.0,522.0,505.0,13.0,0.0,6.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,331.0,4.0,16.0,51.0,2.34,39.0,0.0,2.0,4.0,6.0,0.0,6.0,0.27,5.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,18.0,11.1,16.0,13.0,2.0,11.0,6.0,10.0,11.0,0.0,722.0,19.0,60.0,304.0,361.0,98.0,721.0,17.0,7.0,41.2,10.0,58.8,371.0,1203.0,446.0,11.0,6.0,4.0,53.0,25.0,571.0,105.0,35,1966.0,56.0,57.5,21.8,19,84.0,10,16,23.0,2,0.97,30.0,35.0,-5.0,-0.23,0.51,27.0,33.3,-6.3,-0.29,0.7,2.0,0.0,0.0,19.0,39.0,11.0,9.0,6.0,2.0,0.0,0.0,0.0,47.0,89.0,93.0,48.9
Domingos Duarte,pt POR,DF,26.0,18.7,1.0,6.0,1.0,16.7,0.32,0.05,0.17,1.0,9.2,0.0,0.0,0.0,0.9,0.9,0.16,0.1,0.1,567.0,738.0,76.8,11907.0,5152.0,182.0,215.0,84.7,286.0,337.0,84.9,92.0,164.0,56.1,0.0,0.5,0.1,-0.5,3.0,37.0,1.0,0.0,44.0,738.0,702.0,33.0,30.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,567.0,3.0,7.0,10.0,0.53,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,9.0,9.0,0.0,6.0,11.0,54.5,5.0,27.0,20.0,7.0,22.0,40.0,82.0,0.0,906.0,139.0,490.0,397.0,24.0,15.0,906.0,3.0,2.0,66.7,1.0,33.3,409.0,1938.0,1008.0,4.0,4.0,0.0,6.0,1.0,485.0,3.0,21,1687.0,80.0,49.3,18.7,19,85.0,16,2,34.0,4,0.81,21.0,31.0,-10.0,-0.53,-0.17,19.1,30.3,-11.1,-0.59,-0.02,7.0,1.0,0.0,24.0,15.0,0.0,1.0,22.0,14.0,0.0,3.0,0.0,93.0,39.0,23.0,62.9
